sequence,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhFZmBtmB?0iB6oB/qBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB9nB?TjBuqBcrBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9nB?TjByqBXtB0qB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB3iB?9oBuqBcrBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhF3hB9nB?6oBetBxqBzqB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB6nB?TjBmlB0qBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhF0hBxiB?/qBNrBqsBTtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhFRiB9oB?erBCnB3lBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBctB6sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBStB0sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9oB?/qBarB0nBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB0iB?2qBStBzqBXtB
ITZSLOJ,O,O,O,O,X,O,O,X,X,X,O,X
ITZSJLO,O,O,X,O,O,O,O,X,X,X,O,X
ITZSJOL,O,O,O,O,O,O,O,X,O,X,X,X
ITZSOLJ,O,O,O,O,X,O,X,X,X,X,X,X
ITZSOJL,O,O,O,X,O,O,O,X,X,X,X,X
ITZOLJS,O,X,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,X,O,X,O,X,X,X,X,X,X
ITZOJLS,O,X,X,X,O,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,O,X,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,O,O,O,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,X,O,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,O,O,X,X,X,X
ITOLSJZ,O,O,O,X,X,O,O,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,O,O,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,O,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,X,O,X,X,X,X,X
ITOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X
ITOJLZS,O,X,X,X,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,O,X,O,X,X,X,X,X,X,X
ITOJSZL,O,X,O,X,O,X,X,X,X,X,X,X
ITOJZLS,O,X,X,X,O,X,X,X,X,X,X,X
ITOJZSL,O,X,X,X,O,X,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,X,O,O,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,O,O,O,X,X,X,X,X
ITOSJZL,O,X,O,X,O,X,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,O,X,X,X,X,X,X
ITOSZJL,O,X,O,X,O,X,X,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,X,O,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X
ITOZSJL,O,X,X,X,O,X,X,X,X,X,X,X
ILTJSZO,O,X,O,X,O,X,O,O,X,X,X,X
ILTJSOZ,O,O,O,X,O,O,O,X,X,O,X,X
ILTJZSO,O,X,O,X,O,X,O,O,X,X,X,X
ILTJZOS,X,X,X,X,O,X,X,O,X,X,X,O
ILTJOSZ,X,X,O,X,O,X,X,X,X,O,X,O
ILTJOZS,X,X,X,X,O,X,X,O,X,O,X,O
ILTSJZO,O,X,O,O,O,X,O,O,X,X,X,X
ILTSJOZ,O,O,O,X,O,O,O,X,X,O,X,X
ILTSZJO,O,O,O,O,O,X,O,X,X,X,X,X
ILTSZOJ,O,O,O,O,X,O,O,X,X,X,X,X
ILTSOJZ,O,O,O,X,X,O,O,X,X,X,X,X
ILTSOZJ,O,O,O,O,X,O,O,X,X,X,X,X
ILTZJSO,O,O,O,O,O,X,O,O,X,X,X,X
ILTZJOS,X,O,X,O,O,X,X,O,X,X,X,O
ILTZSJO,O,O,O,O,O,X,O,X,X,X,X,X
ILTZSOJ,O,O,O,O,X,O,O,X,X,X,X,X
ILTZOJS,X,X,X,X,X,X,O,X,X,X,X,X
ILTZOSJ,O,O,X,O,X,X,O,X,X,X,X,X
ILTOJSZ,O,X,O,X,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,O,O,X,X,X,X
ILTOSJZ,O,O,O,X,X,O,O,X,X,X,X,X
ILTOSZJ,O,O,O,X,X,O,O,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,O,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,O,X,X,X,X,X
ILJTSZO,O,X,O,X,O,X,O,O,X,X,X,X
ILJTSOZ,O,X,O,X,O,X,O,X,X,O,X,X
ILJTZSO,O,X,O,X,O,X,O,O,X,X,X,X
ILJTZOS,X,X,X,X,O,X,X,O,X,X,X,O
ILJTOSZ,X,X,O,X,O,X,X,X,X,O,X,O
ILJTOZS,X,X,X,X,O,X,X,O,X,O,X,O
ILJSTZO,O,X,O,X,O,X,O,X,X,X,X,X
ILJSTOZ,O,X,O,X,O,X,O,X,X,O,X,X
ILJSZTO,O,X,O,X,O,X,O,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,O,X,X,O,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,O,X,X
ILJZTSO,X,X,O,X,O,X,O,O,X,X,X,X
ILJZTOS,X,X,X,X,O,X,X,O,X,X,X,O
ILJZSTO,X,X,O,X,O,X,X,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,O,X,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,X,O,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,O,X,X,X,X,O,X,X
ILJOSTZ,X,X,O,X,X,X,X,X,X,O,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,O,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,O,X,X
ILJOZST,X,X,X,X,X,X,X,X,X,O,X,X
ILSTJZO,O,X,O,X,O,X,O,X,X,X,X,X
ILSTJOZ,O,O,O,X,O,O,O,X,X,O,X,X
ILSTZJO,O,O,O,X,O,X,O,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,O,O,X,X,X,X,X
ILSTOJZ,O,O,O,X,X,O,O,X,X,X,X,X
ILSTOZJ,O,O,O,X,X,O,O,X,X,X,X,X
ILSJTZO,O,X,O,X,X,X,O,X,X,X,X,X
ILSJTOZ,O,X,O,X,X,X,O,X,X,O,X,X
ILSJZTO,O,X,O,X,X,X,O,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,O,X,O,X,X,X,O,X,X,O,X,X
ILSJOZT,O,X,X,X,X,X,O,X,X,O,X,X
ILSZTJO,O,O,O,X,O,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,O,O,X,X,X,X,X
ILSZJTO,O,O,O,X,X,O,O,X,X,X,X,X
ILSZJOT,X,O,X,X,X,O,X,X,X,X,X,X
ILSZOTJ,X,O,O,X,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,X,X,O,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,X,O,O,X,X,X,X,X
ILSOTZJ,O,O,O,X,X,O,O,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,O,X,X,O,X,X
ILSOJZT,O,X,X,X,X,X,O,X,X,O,X,X
ILSOZTJ,O,O,O,X,X,O,O,X,X,X,X,X
ILSOZJT,O,O,X,X,X,O,O,X,X,X,X,X
ILZTJSO,O,O,O,O,O,O,O,O,X,X,X,X
ILZTJOS,X,O,X,O,O,X,X,O,X,X,X,O
ILZTSJO,O,O,O,O,O,O,O,X,X,X,X,X
ILZTSOJ,O,O,O,O,X,O,O,X,X,X,X,X
ILZTOJS,X,X,X,O,X,X,O,X,X,X,X,X
ILZTOSJ,O,O,X,O,X,O,O,X,X,X,X,X
ILZJTSO,X,O,O,O,O,O,O,O,X,X,X,X
ILZJTOS,X,O,X,O,O,O,X,O,X,X,X,O
ILZJSTO,X,O,O,O,O,O,X,X,X,X,X,X
ILZJSOT,X,O,X,O,X,O,X,X,X,X,X,X
ILZJOTS,X,O,X,O,O,X,X,X,X,X,X,X
ILZJOST,X,O,X,O,X,X,X,X,X,X,X,X
ILZSTJO,O,O,O,O,O,O,O,X,X,X,X,X
ILZSTOJ,O,O,O,O,X,O,O,X,X,X,X,X
ILZSJTO,O,O,O,X,X,O,O,X,X,X,X,X
ILZSJOT,X,O,X,X,X,O,X,X,X,X,X,X
ILZSOTJ,X,O,O,O,X,O,X,X,X,X,X,X
ILZSOJT,X,O,X,X,X,O,X,X,X,X,X,X
ILZOTJS,X,X,X,O,X,X,O,X,X,X,X,X
ILZOTSJ,X,O,X,O,X,X,O,X,X,X,X,X
ILZOJTS,X,X,X,O,X,X,O,X,X,X,X,X
ILZOJST,X,X,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,X,O,X,O,X,X,O,X,X,X,X,X
ILZOSJT,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,O,X,X,X,O,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,O,X,X,X,X,X
ILOTSJZ,O,X,O,O,X,X,O,X,X,X,X,X
ILOTSZJ,O,X,O,O,X,X,O,X,X,X,X,X
ILOTZJS,O,X,X,O,X,X,O,X,X,X,X,X
ILOTZSJ,O,X,X,O,X,X,O,X,X,X,X,X
ILOJTSZ,O,X,O,X,X,X,O,X,X,O,X,X
ILOJTZS,O,X,X,X,X,X,O,X,X,O,X,X
ILOJSTZ,O,X,O,X,X,X,O,X,X,O,X,X
ILOJSZT,O,X,X,X,X,X,O,X,X,O,X,X
ILOJZTS,X,X,X,X,X,X,O,X,X,O,X,X
ILOJZST,X,X,X,X,X,X,X,X,X,O,X,X
ILOSTJZ,O,X,O,X,X,X,O,X,X,X,X,X
ILOSTZJ,O,X,O,X,X,X,O,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,O,X,X,O,X,X
ILOSJZT,O,X,X,X,X,X,O,X,X,O,X,X
ILOSZTJ,O,X,O,X,X,X,O,X,X,X,X,X
ILOSZJT,O,X,X,X,X,X,O,X,X,X,X,X
ILOZTJS,O,X,X,O,X,X,O,X,X,X,X,X
ILOZTSJ,O,X,X,O,X,X,O,X,X,X,X,X
ILOZJTS,X,X,X,O,X,X,O,X,X,X,X,X
ILOZJST,X,X,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,O,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,O,X,X,X,X,X
IJTLSZO,O,X,O,X,O,X,X,O,X,X,X,X
IJTLSOZ,O,X,O,X,O,O,X,X,X,O,X,X
IJTLZSO,O,X,O,X,O,X,X,O,X,X,X,X
IJTLZOS,X,X,X,X,O,X,X,O,X,X,X,O
IJTLOSZ,X,X,O,X,O,X,X,X,X,O,X,O
IJTLOZS,X,X,X,X,O,X,X,O,X,O,X,O
IJTSLZO,O,X,O,X,O,X,X,X,X,X,O,X
IJTSLOZ,O,X,O,X,O,O,X,X,X,X,O,X
IJTSZLO,O,X,X,X,O,X,X,X,X,X,O,X
IJTSZOL,O,X,O,X,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,O,X,O,O,X,X,X,X,X,X
IJTSOZL,O,X,O,X,O,X,X,X,X,X,X,X
IJTZLSO,O,X,X,X,O,X,X,O,X,X,X,X
IJTZLOS,X,X,X,X,O,X,X,O,X,X,X,O
IJTZSLO,O,X,X,X,O,X,X,X,X,X,O,X
IJTZSOL,O,X,O,X,O,X,X,X,O,X,X,X
IJTZOLS,X,X,X,X,O,X,X,X,O,X,X,X
IJTZOSL,X,X,X,X,O,X,X,X,O,X,X,X
IJTOLSZ,O,X,X,X,O,X,X,X,X,O,X,X
IJTOLZS,O,X,X,X,O,X,X,X,O,O,X,X
IJTOSLZ,O,X,O,X,O,X,X,X,X,O,X,X
IJTOSZL,O,X,O,X,O,X,X,X,O,X,X,X
IJTOZLS,O,X,X,X,O,X,X,X,O,O,X,X
IJTOZSL,O,X,X,X,O,X,X,X,O,X,X,X
IJLTSZO,O,X,O,X,O,X,X,O,X,X,X,X
IJLTSOZ,O,X,O,X,O,X,X,X,X,O,X,X
IJLTZSO,O,X,O,X,O,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,O,X,X,O,X,X,X,O
IJLTOSZ,X,X,O,X,O,X,X,X,X,O,X,O
IJLTOZS,X,X,X,X,O,X,X,O,X,O,X,O
IJLSTZO,O,X,O,X,O,X,X,X,X,X,X,X
IJLSTOZ,O,X,O,X,O,X,X,X,X,O,X,X
IJLSZTO,O,X,O,X,O,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,X,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,X,X,X,X,O,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,O,X,X
IJLZTSO,X,X,O,X,O,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,O,X,X,O,X,X,X,O
IJLZSTO,X,X,O,X,O,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,O,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,O,X,X,X,X,O,X,X
IJLOSTZ,X,X,O,X,X,X,X,X,X,O,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X,O,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X,O,X,X
IJLOZST,X,X,X,X,X,X,X,X,X,O,X,X
IJSTLZO,O,X,O,X,O,X,X,X,X,X,O,X
IJSTLOZ,O,X,O,X,O,O,X,X,X,X,O,X
IJSTZLO,O,X,X,X,O,X,X,X,X,X,O,X
IJSTZOL,O,X,O,X,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,O,X,O,O,X,X,X,X,X,X
IJSTOZL,O,X,O,X,O,X,X,X,X,X,X,X
IJSLTZO,O,X,O,X,O,X,X,X,X,X,O,X
IJSLTOZ,O,X,O,X,O,X,X,X,X,X,O,X
IJSLZTO,O,X,O,X,O,X,X,X,X,X,O,X
IJSLZOT,X,X,X,X,X,X,X,X,X,X,O,X
IJSLOTZ,O,X,O,X,X,X,X,X,X,X,O,X
IJSLOZT,O,X,X,X,X,X,X,X,X,X,O,X
IJSZTLO,O,X,X,X,O,O,X,X,X,X,O,X
IJSZTOL,O,X,O,X,O,O,X,X,X,X,X,X
IJSZLTO,O,X,X,X,O,O,X,X,X,X,O,X
IJSZLOT,X,X,X,X,X,O,X,X,X,X,O,X
IJSZOTL,O,X,X,X,X,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,O,X,X,X,X,X,X
IJSOTLZ,O,X,O,X,X,O,X,X,X,X,X,X
IJSOTZL,O,X,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,O,X,X,X,X,O,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,O,X,X,X,X,X,X
IJZTLSO,X,X,X,X,O,O,X,O,X,X,X,X
IJZTLOS,X,X,X,X,O,O,X,O,X,X,X,X
IJZTSLO,X,X,X,X,O,O,X,X,X,X,O,X
IJZTSOL,X,X,O,X,O,O,X,X,O,X,X,X
IJZTOLS,X,X,X,X,O,O,X,X,O,X,X,X
IJZTOSL,X,X,X,X,O,O,X,X,O,X,X,X
IJZLTSO,X,X,X,X,O,O,X,O,X,X,X,X
IJZLTOS,X,X,X,X,O,O,X,O,X,X,X,X
IJZLSTO,X,X,X,X,O,O,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,O,X,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,X,X,X,X,O,O,X,X,X,X,O,X
IJZSTOL,X,X,O,X,O,O,X,X,O,X,X,X
IJZSLTO,X,X,X,X,O,O,X,X,X,X,O,X
IJZSLOT,X,X,X,X,X,O,X,X,X,X,O,X
IJZSOTL,X,X,X,X,X,O,X,X,O,X,X,X
IJZSOLT,X,X,X,X,X,O,X,X,O,X,X,X
IJZOTLS,X,X,X,X,O,O,X,O,O,X,X,X
IJZOTSL,X,X,X,X,O,O,X,X,O,X,X,X
IJZOLTS,X,X,X,X,O,X,X,O,O,X,X,X
IJZOLST,X,X,X,X,X,X,X,X,O,X,X,X
IJZOSTL,X,X,X,X,X,O,X,X,O,X,X,X
IJZOSLT,X,X,X,X,X,O,X,X,O,X,X,X
IJOTLSZ,O,X,X,X,O,X,X,O,X,O,X,X
IJOTLZS,O,X,X,X,O,X,X,O,O,O,X,X
IJOTSLZ,O,X,O,X,O,X,X,X,X,O,X,X
IJOTSZL,O,X,O,X,O,X,X,X,O,X,X,X
IJOTZLS,O,X,X,X,O,X,X,O,O,O,X,X
IJOTZSL,O,X,X,X,O,X,X,X,O,X,X,X
IJOLTSZ,O,X,X,X,O,X,X,O,X,O,X,X
IJOLTZS,O,X,X,X,O,X,X,O,O,O,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,X,O,X,X
IJOLSZT,O,X,X,X,X,X,X,X,X,O,X,X
IJOLZTS,X,X,X,X,O,X,X,O,O,O,X,X
IJOLZST,X,X,X,X,X,X,X,X,O,O,X,X
IJOSTLZ,O,X,O,X,X,X,X,X,X,O,X,X
IJOSTZL,O,X,O,X,X,X,X,X,O,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,O,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,O,X,X
IJOSZTL,O,X,X,X,X,X,X,X,O,X,X,X
IJOSZLT,O,X,X,X,X,X,X,X,O,X,X,X
IJOZTLS,X,X,X,X,O,X,X,O,O,O,X,X
IJOZTSL,X,X,X,X,O,X,X,X,O,X,X,X
IJOZLTS,X,X,X,X,O,X,X,O,O,O,X,X
IJOZLST,X,X,X,X,X,X,X,X,O,O,X,X
IJOZSTL,X,X,X,X,X,X,X,X,O,X,X,X
IJOZSLT,X,X,X,X,X,X,X,X,O,X,X,X
ISTLJZO,O,X,O,X,O,X,O,X,X,X,O,X
ISTLJOZ,O,O,O,X,O,O,O,X,X,X,O,X
ISTLZJO,O,O,O,X,O,O,O,X,X,X,O,X
ISTLZOJ,O,O,O,X,X,O,O,X,X,X,O,X
ISTLOJZ,O,O,O,X,X,O,O,X,X,X,O,X
ISTLOZJ,O,O,O,X,X,O,O,X,X,X,O,X
ISTJLZO,O,X,O,X,O,X,O,X,X,X,O,X
ISTJLOZ,O,O,O,X,O,O,O,X,X,X,O,X
ISTJZLO,O,X,X,X,O,X,O,X,X,X,O,X
ISTJZOL,O,X,O,X,O,X,O,X,X,X,X,X
ISTJOLZ,O,O,O,X,O,O,O,X,X,X,X,X
ISTJOZL,O,X,O,X,O,X,X,X,X,X,X,X
ISTZLJO,O,O,O,X,O,O,O,X,X,X,O,X
ISTZLOJ,O,O,O,X,X,O,O,X,X,X,O,X
ISTZJLO,O,O,X,X,O,O,O,X,X,X,O,X
ISTZJOL,O,O,O,X,O,O,O,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,O,X,X,X,X,X,X
ISTZOJL,O,O,O,X,O,O,O,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,O,O,X,X,X,X,X
ISTOLZJ,O,O,O,X,X,O,O,X,X,X,X,X
ISTOJLZ,O,O,O,X,O,O,O,X,X,X,X,X
ISTOJZL,O,X,O,X,O,X,X,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
ISTOZJL,O,O,O,X,O,O,X,X,X,X,X,X
ISLTJZO,O,X,O,X,O,X,O,X,X,X,O,X
ISLTJOZ,O,O,O,X,O,O,O,X,X,X,O,X
ISLTZJO,O,O,O,X,O,O,O,X,X,X,O,X
ISLTZOJ,O,O,O,X,X,O,O,X,X,X,O,X
ISLTOJZ,O,O,O,X,X,O,O,X,X,X,O,X
ISLTOZJ,O,O,O,X,X,O,O,X,X,X,O,X
ISLJTZO,O,X,O,X,X,X,O,X,X,X,O,X
ISLJTOZ,O,X,O,X,X,X,O,X,X,X,O,X
ISLJZTO,O,X,O,X,X,X,O,X,X,X,O,X
ISLJZOT,X,X,X,X,X,X,X,X,X,X,O,X
ISLJOTZ,O,X,O,X,X,X,O,X,X,X,O,X
ISLJOZT,O,X,X,X,X,X,O,X,X,X,O,X
ISLZTJO,O,O,O,X,O,O,O,X,X,X,O,X
ISLZTOJ,O,O,O,X,X,O,O,X,X,X,O,X
ISLZJTO,O,O,O,X,X,O,O,X,X,X,O,X
ISLZJOT,X,O,X,X,X,O,X,X,X,X,O,X
ISLZOTJ,X,O,O,X,X,O,X,X,X,X,O,X
ISLZOJT,X,O,X,X,X,O,X,X,X,X,O,X
ISLOTJZ,O,O,O,X,X,O,O,X,X,X,O,X
ISLOTZJ,O,O,O,X,X,O,O,X,X,X,O,X
ISLOJTZ,O,X,O,X,X,X,O,X,X,X,O,X
ISLOJZT,O,X,X,X,X,X,O,X,X,X,O,X
ISLOZTJ,O,O,O,X,X,O,O,X,X,X,O,X
ISLOZJT,O,O,X,X,X,O,O,X,X,X,O,X
ISJTLZO,O,X,O,X,O,X,O,X,X,X,O,X
ISJTLOZ,O,X,O,X,O,O,O,X,X,X,O,X
ISJTZLO,O,X,X,X,O,X,O,X,X,X,O,X
ISJTZOL,O,X,O,X,O,X,O,X,X,X,X,X
ISJTOLZ,O,X,O,X,O,O,O,X,X,X,X,X
ISJTOZL,O,X,O,X,O,X,X,X,X,X,X,X
ISJLTZO,O,X,O,X,O,X,O,X,X,X,O,X
ISJLTOZ,O,X,O,X,O,X,O,X,X,X,O,X
ISJLZTO,O,X,O,X,O,X,O,X,X,X,O,X
ISJLZOT,X,X,X,X,X,X,X,X,X,X,O,X
ISJLOTZ,O,X,O,X,X,X,O,X,X,X,O,X
ISJLOZT,O,X,X,X,X,X,O,X,X,X,O,X
ISJZTLO,O,X,X,X,O,O,X,X,X,X,O,X
ISJZTOL,O,X,O,X,O,O,X,X,X,X,X,X
ISJZLTO,O,X,X,X,O,O,X,X,X,X,O,X
ISJZLOT,X,X,X,X,X,O,X,X,X,X,O,X
ISJZOTL,O,X,X,X,X,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,O,X,X,X,X,X,X
ISJOTLZ,O,X,O,X,X,O,O,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,O,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,O,X,X,X,X,X
ISJOZTL,O,X,X,X,X,O,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,O,X,X,X,X,X,X
ISZTLJO,O,O,O,X,O,O,X,X,X,X,O,X
ISZTLOJ,O,O,O,X,X,O,X,X,X,X,O,X
ISZTJLO,O,O,X,X,O,O,X,X,X,X,O,X
ISZTJOL,O,O,O,X,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,O,X,X,X,X,X,X
ISZTOJL,O,O,O,X,O,O,X,X,X,X,X,X
ISZLTJO,O,O,O,X,O,O,X,X,X,X,O,X
ISZLTOJ,O,O,O,X,X,O,X,X,X,X,O,X
ISZLJTO,O,O,O,X,X,O,X,X,X,X,O,X
ISZLJOT,X,O,X,X,X,O,X,X,X,X,O,X
ISZLOTJ,X,O,O,X,X,O,X,X,X,X,O,X
ISZLOJT,X,O,X,X,X,O,X,X,X,X,O,X
ISZJTLO,O,O,X,X,O,O,X,X,X,X,O,X
ISZJTOL,O,O,O,X,O,O,X,X,X,X,X,X
ISZJLTO,O,O,X,X,O,O,X,X,X,X,O,X
ISZJLOT,X,O,X,X,X,O,X,X,X,X,O,X
ISZJOTL,O,O,X,X,X,O,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,O,X,X,X,X,X,X
ISZOTJL,O,O,O,X,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,O,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,O,X,X,X,X,X,X
ISZOJTL,O,O,X,X,X,O,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,X,O,O,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,O,O,X,X,X,X,X
ISOTJLZ,O,O,O,X,O,O,O,X,X,X,X,X
ISOTJZL,O,X,O,X,O,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,O,X,X,X,X,X,X
ISOTZJL,O,O,O,X,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,X,O,O,X,X,X,X,X
ISOLTZJ,O,O,O,X,X,O,O,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,O,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,O,O,X,X,X,X,X
ISOLZJT,O,O,X,X,X,O,O,X,X,X,X,X
ISOJTLZ,O,X,O,X,X,O,O,X,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,X,X,X,O,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,O,X,X,X,X,X
ISOJZTL,O,X,X,X,X,O,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,O,X,X,X,X,X,X
ISOZTJL,O,O,O,X,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,O,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,O,X,X,X,X,X,X
ISOZJTL,O,O,X,X,X,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,O,X,X,X,X,X,X
IZTLJSO,O,O,O,O,O,O,O,O,X,X,X,X
IZTLJOS,X,O,X,O,O,O,X,O,X,X,X,X
IZTLSJO,O,O,O,O,O,O,O,X,X,X,X,X
IZTLSOJ,O,O,O,O,X,O,O,X,X,X,X,X
IZTLOJS,X,X,X,O,X,X,O,X,X,X,X,X
IZTLOSJ,O,O,X,O,X,O,O,X,X,X,X,X
IZTJLSO,O,O,X,O,O,O,X,O,X,X,X,X
IZTJLOS,X,O,X,O,O,O,X,O,X,X,X,X
IZTJSLO,O,O,X,O,O,O,O,X,X,X,O,X
IZTJSOL,O,O,O,O,O,O,O,X,O,X,X,X
IZTJOLS,X,O,X,O,O,O,X,X,O,X,X,X
IZTJOSL,X,O,X,O,O,O,X,X,O,X,X,X
IZTSLJO,O,O,O,O,O,O,O,X,X,X,O,X
IZTSLOJ,O,O,O,O,X,O,O,X,X,X,O,X
IZTSJLO,O,O,X,O,O,O,O,X,X,X,O,X
IZTSJOL,O,O,O,O,O,O,O,X,O,X,X,X
