sequence,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBlmBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBimBlmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFOmBSoBzmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB1nB6oB2rB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBlmBToBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFSoBmmBTmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFXjBzmBStBlqBOr?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB6sBToB2rB0q?BFtB,v115@HhD8FeB8HeC8BeB8BeA8JeUBJvhFRiBSoBVsBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF1nBTmBStBmmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+oBlmB3nBimB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8JeRBJvhF1nB0mBStBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Je3BJvhFlnBctBmkBRrBzq?BCtB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhFXjBStBmkBRrBzq?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhF0iBStBmkBRrBzq?BXtB
JSTOLZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSTOZLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSITLZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSITZOL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSITOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSILZOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSILOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSILOZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSIZTOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSIZLTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSIZLOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSIZOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSIZOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSIOLZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSIOZTL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSIOZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTZIO,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSLTZOI,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSLTOIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLTOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLITZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLIZOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLIOZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLZTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLZITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLZIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLZOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOITZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOIZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOZTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZTIOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZTLIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZTLOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZTOIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZTOLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZITLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZITOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZILTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZILOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZIOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZOTLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZOITL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZOILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOTZLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOITLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOIZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOZTLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOZITL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JSOZILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTILOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTISLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
JZTISOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZTIOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTLISO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTLIOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JZTLSIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTLSOI,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
JZTLOIS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JZTLOSI,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JZTSILO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
JZTSIOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZTSLIO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
JZTSLOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZTSOIL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZTSOLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTOILS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTOLIS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTOSLI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZITLSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZITLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
JZITSOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZITOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZILTSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZILSTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZILSOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZILOTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZILOST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
JZISTOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JZISLTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZISLOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZISOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZIOLTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZIOLST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZIOSTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZIOSLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTIOS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZLTSIO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTSOI,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
JZLTOIS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZLTOSI,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JZLITSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZLISTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLISOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZLIOTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLIOST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLSTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSIOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZLSOTI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZLOTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLOTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLOITS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZLOIST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLOSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLOSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSTIOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSTLIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSTLOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSTOIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSTOLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSITLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSITOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSILTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSILOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSIOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSOTLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSOITL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSOILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOTILS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTISL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZOTLIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZOTSLI,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZOITLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOITSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZOILTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOILST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOISTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOISLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOLTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOLITS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOLIST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOSTIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOSTLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOSITL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JZOSILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZSL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTSZLI,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTZILS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZSIL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZSLI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOILZST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISTLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOISLZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOISZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOIZLTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZLST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZSTL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOIZSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOLTZSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOLITSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSTIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLSZIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLZTIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZTSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZIST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZSTI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSTILZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSTZLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSITLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSILZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSIZTL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSIZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLTZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLITZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLIZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLZTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSZTIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSZTLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSZITL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSZILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTISL,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZTLIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTLSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTSIL,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZTSLI,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZITLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZITSL,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOZILTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZILST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZISTL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLTSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLITS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLIST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLSTI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZLSIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZSTIL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZSTLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZSITL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOZSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZSLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILJZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
STILJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
STILZJO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
STILZOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
STILOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
STILOZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
STIJLZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
STIJLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STIJZLO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
STIJZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
