sequence,v115@FhB8HeB8HeB8CeA8AeE8Jem/IvhFtlBxhBKpBfqBcr?BTsB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFUgBzhB+nBqpBNr?B3qB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxgBTiBNpBarBWs?BXqB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhF3gBzhB+nBqpBNr?BUqB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFRgBfnB6nBcqBNr?BTpB,v115@FhB8HeB8HeB8CeA8AeE8Jei/IvhFtlBxhBcrBTnBmp?B3pB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFalBtlBxhBcrBTn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFSmBTiBNpBXqBxr?BmqB,v115@FhB8HeB8HeB8CeA8AeE8Je3AJvhFzhB+nBNrBxpB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8JeZFJvhFUhB9nBOpBfrB6p?BzrB,v115@FhB8HeB8HeB8CeA8AeE8JetFJvhFxhBikBcrBTnB3p?BmpB,v115@FhB8HeB8HeB8CeA8AeE8JeXAJvhFCiBTnB0pBxqBOp?BdrB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFRgBSnBTlBNrBUn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFtlBxhBcrBTnB3k?ByuB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFtkBCiBUmBTnBXq?BmqB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nBxkBNrB3lB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxhBKpBGmBTnBdq?BfrB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nB/pBRlBcqBNr?BipB
JLZTIOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JLZTSIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLZTOIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JLZTOSI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLZITSO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JLZISTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JLZIOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTIO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLZSITO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLZSOIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JLZOTSI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLZOITS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLZOIST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZOSTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLZOSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLOTIZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JLOTSIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLOTSZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JLOTZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JLOTZSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
JLOITSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITZS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JLOISTZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOIZTS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLOIZST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOSTZI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JLOSITZ,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JLOSIZT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLOSZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JLOZTSI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLOZITS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLOZIST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JLOZSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTILOZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSTIZLO,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTIZOL,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSTIOLZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O
JSTIOZL,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,X,X,O
JSTLIZO,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSTLIOZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSTLZIO,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTLZOI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTLOIZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSTLOZI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTZILO,X,X,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JSTZIOL,X,X,O,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X
JSTZLIO,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTZLOI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTZOIL,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,X,X
JSTZOLI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X
JSTOILZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JSTOIZL,X,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,O
JSTOLIZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSTOLZI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTOZIL,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,X,X
JSTOZLI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X
JSITLZO,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSITLOZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSITZLO,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSITZOL,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
JSITOLZ,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O
JSITOZL,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,X,X,O
JSILTZO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSILTOZ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSILZTO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSILZOT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JSILOZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZTOL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JSIZLTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZLOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O
JSIZOLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSIOTLZ,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JSIOTZL,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,O
JSIOLTZ,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JSIOLZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O
JSIOZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSLTIZO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSLTIOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JSLTZIO,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLTZOI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSLTOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSLTOZI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSLITZO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSLITOZ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLIZTO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLIZOT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JSLIOZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLZTOI,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSLZITO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLZIOT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JSLZOIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSLOTZI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSLOITZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSLOIZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JSLOZIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZTIOL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X
JSZTLIO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZTLOI,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
JSZTOIL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X
JSZTOLI,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X
JSZITLO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZITOL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X
JSZILTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZILOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O
JSZIOLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZLTIO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZLTOI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSZLITO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSZLIOT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSZLOIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X
JSZOTLI,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X
JSZOITL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,O
JSZOILT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSZOLTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JSZOLIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOTILZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JSOTIZL,X,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,O
JSOTLIZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSOTLZI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOTZIL,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,X,X
JSOTZLI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X
JSOITLZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSOITZL,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O
JSOILTZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSOILZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,O
JSOIZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOLTIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOLTZI,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOLITZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSOLIZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JSOLZIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X
JSOZTLI,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X
JSOZITL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,O
JSOZILT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSOZLTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JSOZLIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZTILSO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZTILOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
JZTISLO,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JZTISOL,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X
JZTIOLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JZTIOSL,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZTLISO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JZTLSIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZTLOIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JZTLOSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JZTSILO,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JZTSIOL,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X
JZTSLIO,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTSLOI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTSOIL,X,X,O,X,O,O,O,X,O,O,O,X,O,X,X,O,X,X
JZTSOLI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZTOILS,O,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X
JZTOISL,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X
JZTOLIS,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X
JZTOLSI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZTOSIL,X,X,O,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X
JZTOSLI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZITLSO,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
JZITSLO,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JZITSOL,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X
JZITOLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JZITOSL,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZILTSO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZILSTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZISTOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JZISLTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZISLOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JZISOLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZIOTLS,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X
JZIOTSL,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JZIOLTS,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZIOLST,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZIOSTL,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
JZIOSLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZLTISO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JZLTSIO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLTOIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JZLTOSI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JZLITSO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JZLISTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JZLIOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JZLSOIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JZLOTSI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JZLOITS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JZLOIST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X
JZLOSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSTIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JZSTLIO,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSTLOI,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZSTOIL,X,X,O,X,O,O,O,X,X,O,O,X,O,X,O,O,X,X
JZSTOLI,X,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X
JZSITLO,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSITOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JZSILTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,X,O,X,X,X,O,X,X,O,X,O,O,X,O,X,X,O
JZSIOLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZSLTIO,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLTOI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZSLITO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSLIOT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZSLOIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,X,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X
JZSOTLI,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X
JZSOITL,X,X,O,X,X,O,O,X,X,O,O,O,O,X,O,X,X,O
JZSOILT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZSOLTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZSOLIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOTILS,O,O,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,X
JZOTISL,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X
JZOTLIS,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X
JZOTLSI,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JZOTSIL,X,X,O,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X
JZOTSLI,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JZOITLS,O,O,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,X
JZOITSL,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X
JZOILTS,O,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X
JZOILST,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZOISTL,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
JZOISLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZOLTIS,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,O,X
JZOLTSI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X
JZOLITS,O,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X,O,X
JZOLIST,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZOLSTI,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,O,X
JZOLSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSTIL,X,X,O,X,O,O,O,X,X,X,O,X,O,X,O,O,X,X
JZOSTLI,X,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X
JZOSITL,X,X,O,X,O,O,O,X,X,X,O,O,O,X,O,X,X,O
JZOSILT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
JZOSLTI,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZOSLIT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTILSZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOTILZS,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOTISZL,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
JOTIZLS,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JOTIZSL,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JOTLISZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOTLIZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOTLSIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOTLSZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JOTLZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
JOTLZSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
