sequence,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBmiBUlBF?nBClBzsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBVnBaoBz?kBGlB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBFhBRnBm?nBipB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFzfBFhBXiBS?qBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBUhBRiBi?pBmsBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBzkBUnBa?tBGlBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhFxgBXiBllBi?pBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeUBJvhFRiBOpBTlB/?sBatBlpB
ISLTJZO,O,X,X,O,X,X,X,X
ISLTJOZ,X,O,O,O,X,X,X,O
ISLTZJO,O,O,O,X,X,X,X,X
ISLTZOJ,X,O,O,X,X,O,X,O
ISLTOJZ,X,O,O,O,X,X,X,O
ISLTOZJ,X,O,O,X,X,O,X,O
ISLJTZO,X,X,X,O,O,X,X,X
ISLJTOZ,X,X,O,O,O,X,X,O
ISLJZTO,X,X,X,O,O,X,X,X
ISLJZOT,X,X,X,O,O,O,X,O
ISLJOTZ,X,X,O,O,O,X,X,O
ISLJOZT,X,X,X,O,O,O,X,O
ISLZTJO,O,O,O,X,X,X,X,X
ISLZTOJ,X,O,O,X,O,O,X,O
ISLZJTO,X,X,O,X,O,X,X,X
ISLZJOT,X,X,O,X,O,O,X,O
ISLZOTJ,O,O,O,X,O,O,X,O
ISLZOJT,X,X,O,X,O,O,X,O
ISLOTJZ,O,O,O,O,X,X,X,O
ISLOTZJ,O,O,O,X,X,O,X,O
ISLOJTZ,X,X,O,O,O,X,X,O
ISLOJZT,X,X,X,O,O,O,X,O
ISLOZTJ,O,O,O,X,O,O,X,O
ISLOZJT,X,X,O,X,O,O,X,O
ISJTLZO,O,X,X,O,X,X,X,X
ISJTLOZ,X,O,O,O,X,X,X,X
ISJTZLO,O,O,X,X,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X
ISJTOZL,O,O,X,X,X,X,X,X
ISJLTZO,X,X,X,O,O,X,X,X
ISJLTOZ,X,X,O,O,O,X,X,O
ISJLZTO,X,X,X,O,O,X,X,X
ISJLZOT,X,X,X,O,O,O,X,O
ISJLOTZ,X,X,O,O,O,X,X,O
ISJLOZT,X,X,X,O,O,O,X,O
ISJZTLO,O,O,X,X,O,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X
ISJZLTO,X,X,X,X,O,X,X,X
ISJZLOT,X,X,X,X,O,O,X,X
ISJZOTL,O,O,X,X,X,X,X,X
ISJZOLT,X,X,X,X,O,O,X,X
ISJOTLZ,O,O,X,X,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,O
ISJOLZT,X,X,X,X,X,O,X,O
ISJOZTL,O,O,X,X,X,X,X,X
ISJOZLT,X,X,X,X,X,O,X,O
ISZTLJO,O,O,O,X,X,X,X,X
ISZTLOJ,X,O,O,X,O,O,X,X
ISZTJLO,O,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,O,X,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X,X
ISZLTOJ,X,O,O,X,O,O,X,O
ISZLJTO,X,X,O,X,O,X,X,X
ISZLJOT,X,X,O,X,O,O,X,O
ISZLOTJ,O,O,O,X,O,O,X,O
ISZLOJT,X,X,O,X,O,O,X,O
ISZJTLO,O,O,O,X,O,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X
ISZJLTO,X,X,O,X,O,X,X,X
ISZJLOT,X,X,O,X,O,O,X,X
ISZJOTL,O,O,X,X,X,X,X,X
ISZJOLT,X,X,X,X,O,O,X,X
ISZOTLJ,O,O,O,X,X,O,X,X
ISZOTJL,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,O,O,X,O
ISZOLJT,X,X,O,X,O,O,X,O
ISZOJTL,O,O,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,O,X,O
ISOTLJZ,O,O,O,X,X,X,X,X
ISOTLZJ,O,O,O,X,X,O,X,X
ISOTJLZ,O,O,X,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,O,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,X,X,X,O
ISOLTZJ,O,O,O,X,X,O,X,O
ISOLJTZ,X,X,O,X,X,X,X,O
ISOLJZT,X,X,X,X,X,O,X,O
ISOLZTJ,O,O,O,X,X,O,X,O
ISOLZJT,X,X,X,X,X,O,X,O
ISOJTLZ,O,O,X,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,X,O
ISOJLZT,X,X,X,X,X,O,X,O
ISOJZTL,O,O,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,O,X,O
ISOZTLJ,O,O,X,X,X,O,X,X
ISOZTJL,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,O,X,O
ISOZLJT,X,X,X,X,X,O,X,O
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,O,X,O
IZTLJSO,O,O,X,O,X,X,X,X
IZTLJOS,X,O,X,O,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X,X
IZTLSOJ,X,O,O,X,X,O,X,X
IZTLOJS,X,O,X,O,X,X,X,X
IZTLOSJ,X,O,O,X,X,O,X,X
IZTJLSO,O,O,X,O,X,X,X,X
IZTJLOS,X,O,X,O,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X,X
IZTSLOJ,X,O,O,X,O,O,X,X
IZTSJLO,O,O,O,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,O,X,X
IZTSOJL,O,O,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,O,X,X
IZTOJLS,O,O,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,O,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,O,O,X,O,X,X,X,X
IZLTJOS,X,O,X,O,X,X,X,X
IZLTSJO,O,O,O,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,O,X,X
IZLTOJS,X,O,X,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,O,X,X
IZLJTSO,X,O,X,O,X,X,X,X
IZLJTOS,X,O,X,O,X,X,X,X
IZLJSTO,X,X,O,O,X,X,X,X
IZLJSOT,X,X,O,O,X,O,X,X
IZLJOTS,X,O,X,O,X,X,X,X
IZLJOST,X,X,O,O,X,O,X,X
IZLSTJO,O,O,O,X,X,X,X,X
IZLSTOJ,X,O,O,X,O,O,X,X
IZLSJTO,X,X,O,X,X,X,X,X
IZLSJOT,X,X,O,X,O,O,X,X
IZLSOTJ,O,O,O,X,O,O,X,X
IZLSOJT,X,X,O,X,O,O,X,X
IZLOTJS,O,O,X,O,X,X,X,X
IZLOTSJ,O,O,O,X,X,O,X,X
IZLOJTS,X,O,X,O,X,X,X,X
IZLOJST,X,X,O,O,X,O,X,X
IZLOSTJ,O,O,O,X,X,O,X,X
IZLOSJT,X,X,O,X,X,O,X,X
IZJTLSO,O,O,X,O,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X
IZJTSLO,O,O,O,X,O,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X
IZJTOLS,X,O,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X
IZJLTSO,X,O,X,O,X,X,X,X
IZJLTOS,X,O,X,O,X,X,X,X
IZJLSTO,X,X,O,O,O,X,X,X
IZJLSOT,X,X,O,O,O,O,X,X
IZJLOTS,X,O,X,O,X,X,X,X
IZJLOST,X,X,O,O,X,O,X,X
IZJSTLO,O,O,O,X,O,X,X,X
IZJSTOL,O,O,X,X,X,X,X,X
IZJSLTO,X,X,O,X,O,X,X,X
IZJSLOT,X,X,O,X,O,O,X,X
IZJSOTL,O,O,X,X,X,X,X,X
IZJSOLT,X,X,X,X,O,O,X,X
IZJOTLS,O,O,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,O,X,X
IZJOSTL,O,O,X,X,X,X,X,X
IZJOSLT,X,X,X,X,O,O,X,X
IZSTLJO,O,O,O,X,X,X,X,X
IZSTLOJ,X,O,O,X,O,O,X,X
IZSTJLO,O,O,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,O,X,X
IZSTOJL,O,O,X,X,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X,X
IZSLTOJ,X,O,O,X,O,O,X,O
IZSLJTO,X,X,O,X,O,X,X,X
IZSLJOT,X,X,O,X,O,O,X,O
IZSLOTJ,O,O,O,X,O,O,X,O
IZSLOJT,X,X,O,X,O,O,X,O
IZSJTLO,O,O,O,X,O,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X
IZSJLTO,X,X,O,X,O,X,X,X
IZSJLOT,X,X,O,X,O,O,X,X
IZSJOTL,O,O,X,X,X,X,X,X
IZSJOLT,X,X,X,X,O,O,X,X
IZSOTLJ,O,O,O,X,X,O,X,X
IZSOTJL,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,O,O,X,O
IZSOLJT,X,X,O,X,O,O,X,O
IZSOJTL,O,O,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,O,X,O
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,O,X,X
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,O,X,X,O,X,X
IZOLJTS,X,O,X,X,X,X,X,X
IZOLJST,X,X,O,X,X,O,X,X
IZOLSTJ,O,O,O,X,X,O,X,X
IZOLSJT,X,X,O,X,X,O,X,X
IZOJTLS,O,O,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,O,X,X
IZOJSTL,O,O,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,O,X,O
IZOSTLJ,O,O,O,X,X,O,X,X
IZOSTJL,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,O,O,X,O
IZOSLJT,X,X,O,X,O,O,X,O
IZOSJTL,O,O,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,O,X,O
IOTLJSZ,O,O,X,O,X,X,X,X
IOTLJZS,O,X,X,O,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,X
IOTLSZJ,O,O,X,X,X,O,X,X
IOTLZJS,O,O,X,O,X,X,X,X
IOTLZSJ,O,O,X,X,X,O,X,X
IOTJLSZ,O,O,X,O,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,O,X,X
IOTSJLZ,O,O,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,O,X,X
IOTSZJL,O,O,X,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,O,X,X
IOTZJLS,O,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,O,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,X,X,X,X
IOLTJZS,O,X,X,O,X,X,X,X
IOLTSJZ,O,O,O,O,X,X,X,X
IOLTSZJ,O,O,O,X,X,O,X,X
IOLTZJS,O,O,X,O,X,X,X,X
IOLTZSJ,O,O,X,X,X,O,X,X
IOLJTSZ,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X
IOLJSTZ,X,X,O,O,X,X,X,X
IOLJSZT,X,X,X,O,X,O,X,X
IOLJZTS,X,X,X,O,X,X,X,X
IOLJZST,X,X,X,O,X,O,X,X
IOLSTJZ,O,O,O,O,X,X,X,X
IOLSTZJ,O,O,O,X,X,O,X,X
IOLSJTZ,X,X,O,O,X,X,X,X
IOLSJZT,X,X,X,O,X,O,X,X
IOLSZTJ,O,O,O,X,X,O,X,X
IOLSZJT,X,X,X,X,X,O,X,X
IOLZTJS,O,O,X,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,O,X,X
IOLZJTS,X,O,X,O,X,X,X,X
IOLZJST,X,X,X,O,X,O,X,X
IOLZSTJ,O,O,O,X,X,O,X,X
IOLZSJT,X,X,X,X,X,O,X,X
IOJTLSZ,O,O,X,O,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X
IOJLSZT,X,X,X,O,X,O,X,X
IOJLZTS,X,X,X,O,X,X,X,X
IOJLZST,X,X,X,O,X,O,X,X
IOJSTLZ,O,O,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,X,X,O
IOJSLZT,X,X,X,X,X,O,X,O
IOJSZTL,O,O,X,X,X,X,X,X
IOJSZLT,X,X,X,X,X,O,X,O
IOJZTLS,O,O,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X
IOJZLST,X,X,X,X,X,O,X,X
IOJZSTL,O,O,X,X,X,X,X,X
IOJZSLT,X,X,X,X,X,O,X,O
IOSTLJZ,O,O,O,X,X,X,X,X
IOSTLZJ,O,O,O,X,X,O,X,X
IOSTJLZ,O,O,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,O,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,O,X,X,X,X,O
IOSLTZJ,O,O,O,X,X,O,X,O
IOSLJTZ,X,X,O,X,X,X,X,O
IOSLJZT,X,X,X,X,X,O,X,O
IOSLZTJ,O,O,O,X,X,O,X,O
IOSLZJT,X,X,X,X,X,O,X,O
IOSJTLZ,O,O,X,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,X,X,O
IOSJLZT,X,X,X,X,X,O,X,O
IOSJZTL,O,O,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,O,X,O
IOSZTLJ,O,O,X,X,X,O,X,X
IOSZTJL,O,O,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,O,X,O
IOSZLJT,X,X,X,X,X,O,X,O
IOSZJTL,O,O,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,O,X,O
IOZTLJS,O,O,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,O,X,X
IOZTJLS,O,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,O,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,O,X,X
IOZLJTS,X,O,X,X,X,X,X,X
IOZLJST,X,X,X,X,X,O,X,X
IOZLSTJ,O,O,X,X,X,O,X,X
IOZLSJT,X,X,X,X,X,O,X,X
IOZJTLS,O,O,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X
IOZJLTS,X,O,X,X,X,X,X,X
IOZJLST,X,X,X,X,X,O,X,X
IOZJSTL,O,O,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,O,X,O
IOZSTLJ,O,O,X,X,X,O,X,X
IOZSTJL,O,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,O,X,O
IOZSLJT,X,X,X,X,X,O,X,O
IOZSJTL,O,O,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,O,X,O
LTIJSZO,O,X,X,O,X,X,O,X
LTIJSOZ,X,O,X,O,X,X,O,X
LTIJZSO,O,X,X,O,X,X,O,X
LTIJZOS,X,X,X,O,X,X,O,X
LTIJOSZ,X,O,X,O,X,X,O,X
LTIJOZS,X,X,X,O,X,X,O,X
LTISJZO,O,X,X,O,X,X,O,X
LTISJOZ,X,O,O,O,X,X,O,X
LTISZJO,O,O,X,X,X,X,X,X
LTISZOJ,X,O,O,X,X,O,X,X
LTISOJZ,X,O,O,O,X,X,O,X
LTISOZJ,X,O,O,X,X,O,X,X
LTIZJSO,O,O,X,O,X,X,O,X
LTIZJOS,X,O,X,O,X,X,O,X
LTIZSJO,O,O,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,X,X
LTIZOJS,X,O,X,O,X,X,O,X
LTIZOSJ,X,O,X,X,X,O,X,X
LTIOJSZ,X,O,X,O,X,X,O,X
LTIOJZS,X,X,X,O,X,X,O,X
LTIOSJZ,X,O,O,O,X,X,O,X
LTIOSZJ,X,O,O,X,X,O,X,X
LTIOZJS,X,O,X,O,X,X,O,X
LTIOZSJ,X,O,X,X,X,O,X,X
LTJISZO,O,X,X,O,X,X,O,X
LTJISOZ,X,O,X,O,X,X,O,X
LTJIZSO,O,X,X,O,X,X,O,X
LTJIZOS,X,X,X,O,X,X,O,X
LTJIOSZ,X,O,X,O,X,X,O,X
LTJIOZS,X,X,X,O,X,X,O,X
LTJSIZO,O,X,X,O,O,X,O,X
LTJSIOZ,X,O,X,O,O,X,O,X
LTJSZIO,O,X,X,X,O,X,O,X
LTJSZOI,X,X,X,X,O,X,O,X
LTJSOIZ,X,O,X,O,O,X,O,X
LTJSOZI,X,X,X,X,O,X,O,X
LTJZISO,O,X,X,O,X,X,O,X
LTJZIOS,X,X,X,O,X,X,O,X
LTJZSIO,O,X,X,X,X,X,O,X
LTJZSOI,X,X,X,X,X,X,O,X
LTJZOIS,X,X,X,O,X,X,O,X
LTJZOSI,X,X,X,X,X,X,O,X
LTJOISZ,X,O,X,O,X,X,O,X
LTJOIZS,X,X,X,O,X,X,O,X
LTJOSIZ,X,O,X,O,O,X,O,X
LTJOSZI,X,X,X,X,O,X,O,X
LTJOZIS,X,X,X,O,X,X,O,X
LTJOZSI,X,X,X,X,X,X,O,X
LTSIJZO,O,X,X,O,X,X,O,X
LTSIJOZ,X,O,O,O,X,X,O,X
LTSIZJO,O,O,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,O,X,X
LTSIOJZ,X,O,O,O,X,X,O,X
LTSIOZJ,X,O,O,X,X,O,X,X
LTSJIZO,O,X,X,O,O,X,O,X
LTSJIOZ,X,O,O,O,O,X,O,X
LTSJZIO,O,X,O,X,O,X,O,X
LTSJZOI,X,X,O,X,O,X,O,X
LTSJOIZ,X,O,O,O,O,X,O,X
LTSJOZI,X,X,O,X,O,X,O,X
LTSZIJO,O,O,O,X,X,X,X,X
LTSZIOJ,X,O,O,X,O,O,X,X
LTSZJIO,O,O,O,X,O,X,X,X
LTSZJOI,X,O,O,X,O,X,X,X
LTSZOIJ,X,O,O,X,O,O,X,X
LTSZOJI,X,O,O,X,O,X,X,X
LTSOIJZ,X,O,O,O,X,X,O,X
LTSOIZJ,X,O,O,X,X,O,X,X
LTSOJIZ,X,O,O,O,O,X,O,X
LTSOJZI,X,X,O,X,O,X,O,X
LTSOZIJ,X,O,O,X,O,O,X,X
LTSOZJI,X,O,O,X,O,X,X,X
LTZIJSO,O,O,X,O,X,X,O,X
LTZIJOS,X,O,X,O,X,X,O,X
LTZISJO,O,O,O,X,X,X,X,X
LTZISOJ,X,O,O,X,X,O,X,X
LTZIOJS,X,O,X,O,X,X,O,X
LTZIOSJ,X,O,O,X,X,O,X,X
LTZJISO,O,O,X,O,X,X,O,X
LTZJIOS,X,O,X,O,X,X,O,X
LTZJSIO,O,O,X,X,X,X,O,X
LTZJSOI,X,O,X,X,X,X,O,X
LTZJOIS,X,O,X,O,X,X,O,X
LTZJOSI,X,O,X,X,X,X,O,X
LTZSIJO,O,O,O,X,X,X,X,X
LTZSIOJ,X,O,O,X,X,O,X,X
LTZSJIO,O,O,O,X,X,X,X,X
LTZSJOI,X,O,O,X,X,X,X,X
LTZSOIJ,X,O,O,X,X,O,X,X
LTZSOJI,X,O,O,X,X,X,X,X
LTZOIJS,X,O,X,O,X,X,O,X
LTZOISJ,X,O,O,X,X,O,X,X
LTZOJIS,X,O,X,O,X,X,O,X
LTZOJSI,X,O,X,X,X,X,O,X
LTZOSIJ,X,O,O,X,X,O,X,X
LTZOSJI,X,O,O,X,X,X,X,X
LTOIJSZ,X,O,X,O,X,X,O,X
LTOIJZS,X,X,X,O,X,X,O,X
LTOISJZ,X,O,O,O,X,X,O,X
LTOISZJ,X,O,O,X,X,O,X,X
LTOIZJS,X,O,X,O,X,X,O,X
LTOIZSJ,X,O,X,X,X,O,X,X
LTOJISZ,X,O,X,O,X,X,O,X
LTOJIZS,X,X,X,O,X,X,O,X
LTOJSIZ,X,O,X,O,O,X,O,X
LTOJSZI,X,X,X,X,O,X,O,X
LTOJZIS,X,X,X,O,X,X,O,X
LTOJZSI,X,X,X,X,X,X,O,X
LTOSIJZ,X,O,O,O,X,X,O,X
LTOSIZJ,X,O,O,X,X,O,X,X
LTOSJIZ,X,O,O,O,O,X,O,X
LTOSJZI,X,X,O,X,O,X,O,X
LTOSZIJ,X,O,O,X,O,O,X,X
LTOSZJI,X,O,O,X,O,X,X,X
LTOZIJS,X,O,X,O,X,X,O,X
LTOZISJ,X,O,O,X,X,O,X,X
LTOZJIS,X,O,X,O,X,X,O,X
LTOZJSI,X,O,X,X,X,X,O,X
LTOZSIJ,X,O,O,X,X,O,X,X
LTOZSJI,X,O,O,X,X,X,X,X
LITJSZO,O,X,X,O,X,X,O,X
LITJSOZ,X,O,X,O,X,X,O,X
LITJZSO,O,X,X,O,X,X,O,X
LITJZOS,X,X,X,O,X,X,O,X
LITJOSZ,X,O,X,O,X,X,O,X
LITJOZS,X,X,X,O,X,X,O,X
LITSJZO,O,X,X,O,X,X,O,X
LITSJOZ,X,O,O,O,X,X,O,X
LITSZJO,O,O,X,X,X,X,X,X
LITSZOJ,X,O,O,X,X,O,X,X
LITSOJZ,X,O,O,O,X,X,O,X
LITSOZJ,X,O,O,X,X,O,X,X
LITZJSO,O,O,X,O,X,X,O,X
LITZJOS,X,O,X,O,X,X,O,X
LITZSJO,O,O,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,O,X,X
LITZOJS,X,O,X,O,X,X,O,X
LITZOSJ,X,O,X,X,X,O,X,X
LITOJSZ,X,O,X,O,X,X,O,X
LITOJZS,X,X,X,O,X,X,O,X
LITOSJZ,X,O,O,O,X,X,O,X
LITOSZJ,X,O,O,X,X,O,X,X
LITOZJS,X,O,X,O,X,X,O,X
LITOZSJ,X,O,X,X,X,O,X,X
LIJTSZO,X,X,X,O,X,X,O,X
LIJTSOZ,X,X,X,O,X,X,O,X
LIJTZSO,X,X,X,O,X,X,O,X
LIJTZOS,X,X,X,O,X,X,O,X
LIJTOSZ,X,X,X,O,X,X,O,X
LIJTOZS,X,X,X,O,X,X,O,X
LIJSTZO,X,X,X,O,O,X,X,X
LIJSTOZ,X,X,O,O,O,X,X,X
LIJSZTO,X,X,X,O,O,X,X,X
LIJSZOT,X,X,X,O,O,O,X,X
LIJSOTZ,X,X,O,O,O,X,X,X
LIJSOZT,X,X,X,O,O,O,X,X
LIJZTSO,X,X,X,O,X,X,X,X
LIJZTOS,X,X,X,O,X,X,X,X
LIJZSTO,X,X,X,O,X,X,X,X
LIJZSOT,X,X,X,O,X,O,X,X
LIJZOTS,X,X,X,O,X,X,X,X
LIJZOST,X,X,X,O,X,O,X,X
LIJOTSZ,X,X,X,O,X,X,O,X
LIJOTZS,X,X,X,O,X,X,O,X
LIJOSTZ,X,X,O,O,O,X,X,X
LIJOSZT,X,X,X,O,O,O,X,X
LIJOZTS,X,X,X,O,X,X,X,X
LIJOZST,X,X,X,O,X,O,X,X
LISTJZO,O,X,X,O,X,X,X,X
LISTJOZ,X,O,O,O,X,X,X,X
LISTZJO,O,O,O,X,X,X,X,X
LISTZOJ,X,O,O,X,X,O,X,X
LISTOJZ,X,O,O,O,X,X,X,X
LISTOZJ,X,O,O,X,X,O,X,X
LISJTZO,X,X,X,O,O,X,X,X
LISJTOZ,X,X,O,O,O,X,X,X
LISJZTO,X,X,X,O,O,X,X,X
LISJZOT,X,X,X,O,O,O,X,X
LISJOTZ,X,X,O,O,O,X,X,X
LISJOZT,X,X,X,O,O,O,X,X
LISZTJO,O,O,O,X,X,X,X,X
LISZTOJ,X,O,O,X,O,O,X,X
LISZJTO,X,X,O,X,O,X,X,X
LISZJOT,X,X,O,X,O,O,X,X
LISZOTJ,O,O,O,X,O,O,X,X
LISZOJT,X,X,O,X,O,O,X,X
LISOTJZ,O,O,O,O,X,X,X,X
LISOTZJ,O,O,O,X,X,O,X,X
LISOJTZ,X,X,O,O,O,X,X,X
LISOJZT,X,X,X,O,O,O,X,X
LISOZTJ,O,O,O,X,O,O,X,X
LISOZJT,X,X,O,X,O,O,X,X
LIZTJSO,O,O,X,O,X,X,X,X
LIZTJOS,X,O,X,O,X,X,X,X
LIZTSJO,O,O,O,X,X,X,X,X
LIZTSOJ,X,O,O,X,X,O,X,X
LIZTOJS,X,O,X,O,X,X,X,X
LIZTOSJ,X,O,O,X,X,O,X,X
LIZJTSO,X,O,X,O,X,X,X,X
LIZJTOS,X,O,X,O,X,X,X,X
LIZJSTO,X,X,O,O,X,X,X,X
LIZJSOT,X,X,O,O,X,O,X,X
LIZJOTS,X,O,X,O,X,X,X,X
LIZJOST,X,X,O,O,X,O,X,X
LIZSTJO,O,O,O,X,X,X,X,X
LIZSTOJ,X,O,O,X,X,O,X,X
LIZSJTO,X,X,O,X,X,X,X,X
LIZSJOT,X,X,O,X,X,O,X,X
LIZSOTJ,O,O,O,X,X,O,X,X
LIZSOJT,X,X,O,X,X,O,X,X
LIZOTJS,O,O,X,O,X,X,X,X
LIZOTSJ,O,O,O,X,X,O,X,X
LIZOJTS,X,O,X,O,X,X,X,X
LIZOJST,X,X,O,O,X,O,X,X
LIZOSTJ,O,O,O,X,X,O,X,X
LIZOSJT,X,X,O,X,X,O,X,X
LIOTJSZ,O,O,X,O,X,X,O,X
LIOTJZS,O,X,X,O,X,X,O,X
LIOTSJZ,O,O,O,O,X,X,O,X
LIOTSZJ,O,O,O,X,X,O,X,X
LIOTZJS,O,O,X,O,X,X,O,X
LIOTZSJ,O,O,X,X,X,O,X,X
LIOJTSZ,X,X,X,O,X,X,O,X
LIOJTZS,X,X,X,O,X,X,O,X
