sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
TOLZJSI,X,O,X,X
TOLZSIJ,X,O,X,X
TOLZSJI,X,O,X,X
TOJILSZ,O,X,X,O
TOJILZS,X,O,X,O
TOJISLZ,O,X,X,X
TOJISZL,O,O,X,X
TOJIZLS,X,O,X,X
TOJIZSL,O,O,X,X
TOJLISZ,O,X,X,O
TOJLIZS,X,O,X,O
TOJLSIZ,O,X,X,X
TOJLSZI,O,X,X,X
TOJLZIS,X,O,X,X
TOJLZSI,X,O,X,X
TOJSILZ,O,X,X,X
TOJSIZL,O,O,X,X
TOJSLIZ,O,X,X,X
TOJSLZI,O,X,X,X
TOJSZIL,O,O,X,X
TOJSZLI,O,O,X,X
TOJZILS,X,O,X,X
TOJZISL,O,O,X,X
TOJZLIS,X,O,X,X
TOJZLSI,X,O,X,X
TOJZSIL,O,O,X,X
TOJZSLI,O,O,X,X
TOSILJZ,O,X,X,X
TOSILZJ,O,X,X,X
TOSIJLZ,O,X,X,X
TOSIJZL,O,O,X,X
TOSIZLJ,O,O,X,X
TOSIZJL,O,O,X,X
TOSLIJZ,O,X,X,X
TOSLIZJ,O,X,X,X
TOSLJIZ,O,X,X,X
TOSLJZI,O,X,X,X
TOSLZIJ,O,X,X,X
TOSLZJI,O,X,X,X
TOSJILZ,O,X,X,X
TOSJIZL,O,O,X,X
TOSJLIZ,O,X,X,X
TOSJLZI,O,X,X,X
TOSJZIL,O,O,X,X
TOSJZLI,O,O,X,X
TOSZILJ,O,O,X,X
TOSZIJL,O,O,X,X
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,O,X,X
TOSZJLI,O,O,X,X
TOZILJS,X,O,X,X
TOZILSJ,X,O,X,X
TOZIJLS,X,O,X,X
TOZIJSL,O,O,X,X
TOZISLJ,O,O,X,X
TOZISJL,O,O,X,X
TOZLIJS,X,O,X,X
TOZLISJ,X,O,X,X
TOZLJIS,X,O,X,X
TOZLJSI,X,O,X,X
TOZLSIJ,X,O,X,X
TOZLSJI,X,O,X,X
TOZJILS,X,O,X,X
TOZJISL,O,O,X,X
TOZJLIS,X,O,X,X
TOZJLSI,X,O,X,X
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,X
TOZSILJ,O,O,X,X
TOZSIJL,O,O,X,X
TOZSLIJ,O,O,X,X
