sequence,v115@DhD8IeA8HeE8EeB8JeOEJvhF8kB3lBRnBFmBSwBTsB,v115@DhD8IeA8HeE8EeB8Jei/IvhF3kBRmBusBFmB0qBzrB,v115@DhD8IeA8HeE8EeB8Jex/IvhF0hBTkBmqBCsBlqB3sB,v115@DhD8IeA8HeE8EeB8Jex/IvhFXhBTkB2qBlnBUsBSwB,v115@DhD8IeA8HeE8EeB8JeT/IvhFxgBypBXmBlnBUsBWwB,v115@DhD8IeA8HeE8EeB8JeKEJvhFflBxgBlnBzqBUsBGrB,v115@DhD8IeA8HeE8EeB8Je1GJvhFTkB6qB3nBmkBUmBxwB,v115@DhD8IeA8HeE8EeB8JeKEJvhFzfBRnBlqBGsBfrB0rB,v115@DhD8IeA8HeE8EeB8Jex/IvhFylB+mBTkB0qBXsBlsB,v115@DhD8IeA8HeE8EeB8Jem/IvhFChBTkB0qBxrBlrB3sB,v115@DhD8IeA8HeE8EeB8Je1FJvhF0hBTkB3nBmkBCrBxwB,v115@DhD8IeA8HeE8EeB8Jem/IvhFChBTkB3nBxqBVwBUsB,v115@DhD8IeA8HeE8EeB8JeTEJvhF0lBlmB3nBmkBCrBxwB,v115@DhD8IeA8HeE8EeB8Je0EJvhFllBRnBikBXrBTsBGrB,v115@DhD8IeA8HeE8EeB8Je3AJvhFqmBTkB8qBlnBmkBxwB,v115@DhD8IeA8HeE8EeB8Je3/IvhF1lBRnB2pB0mBzqBSxB,v115@DhD8IeA8HeE8EeB8JeOEJvhF0hBzkBVrB3nB6qBxwB,v115@DhD8IeA8HeE8EeB8JeOEJvhFxgBzkBVsBUrBCrB3sB,v115@DhD8IeA8HeE8EeB8JeyEJvhFRmB3nBTkBFmB0qBWxB,v115@DhD8IeA8HeE8EeB8JeOEJvhFThBClB3nBxqBVxB0qB,v115@DhD8IeA8HeE8EeB8JeOEJvhFXgBlnBRqBUsBCrBTrB
JSLTOZI,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLITZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLITOZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIZTO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIZOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIOZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSLZTOI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSLZIOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSLZOTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSLOTIZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLOITZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JSLOIZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLOZIT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTIOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZTLOI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZITOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSZILOT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZIOTL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZLTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZLTOI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSZLIOT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZLOTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSZOILT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOLTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSOTILZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOTIZL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JSOTLIZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOITZL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JSOILTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JSOILZT,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JSOIZLT,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOLITZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
JSOLIZT,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSOZTLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JSOZITL,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JSOZILT,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
JSOZLTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZTILSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTILOS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JZTISLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTISOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTIOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JZTIOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JZTLISO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZTLIOS,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZTLSIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTSIOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTSLIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JZTOISL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZTOLIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTOLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTOSIL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTOSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZITLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZITSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZITOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZILTSO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZISOLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZIOTSL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZIOLTS,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
JZIOSLT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JZLSIOT,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZLSOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JZSILOT,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSIOTL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JZSLIOT,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSLOTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSOILT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZOTISL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JZOTLIS,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOTLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTSIL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOITLS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZOITSL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JZOILTS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOILST,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
JZOISLT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOLTSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOLITS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZOLIST,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOSTLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOSITL,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
JZOSILT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTISLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTISZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTIZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTIZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLISZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLIZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLSZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JOTSIZL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JOTSLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JOTZISL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JOTZLIS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTZLSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTZSIL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTZSLI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOITLSZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITSLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOITSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOITZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOITZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOILTSZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILTZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOILSZT,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOILZST,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISTLZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOISTZL,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
JOISLTZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JOISLZT,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X
JOISZLT,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JOIZTSL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
JOIZLTS,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JOIZLST,O,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOIZSTL,O,O,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X
JOIZSLT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTIZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTSZI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JOLITZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOLISZT,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLIZST,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JOLSIZT,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOLSZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLZTSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZITS,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLZIST,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTILZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOSTIZL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JOSTLIZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
