sequence,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhF6oBRlBznBF?mB0qBWxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhF6oBFlB8qBz?nBGmBxwB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeCBJvhFxiBUlB+sBT?oBXrBlrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeTCJvhF6oBFlBXmB8?sBGmBRwB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFGjBUlB3mBV?tBzqBSxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFFjBUlBStBX?rBGrBTsB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhFRlBCoBFmBT?oB0qBWxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je3BJvhFFjBStBxqBG?qBTsBUrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFTjBFlBGrBC?tBcsBXrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je8GJvhFziB+oBRlB1?qBSxBXrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhF+oBUlBlnBT?rBCrB3sB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je1GJvhFXjBStBxqBG?qBUrBTsB
ITZOLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITZOJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,O,X,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X,X,X,X,X
ITZOSJL,X,O,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,X,X,X,X,X,O
ITOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,X,X,X,X,X,X,O
ITOLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITOSZJL,X,O,X,O,X,X,X,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,O,X,O,X,X,X,X,X,X,X,X
ITOZSJL,X,O,X,O,X,X,X,X,X,X,X,X
ILTJSZO,X,X,X,O,X,X,X,X,O,X,X,O
ILTJSOZ,X,X,X,X,X,X,X,O,O,X,X,O
ILTJZSO,X,X,X,O,X,X,X,X,O,X,X,O
ILTJZOS,X,X,X,O,X,X,X,O,O,O,X,X
ILTJOSZ,X,X,X,X,X,X,X,O,O,X,X,O
ILTJOZS,X,X,X,X,X,X,X,O,O,O,X,X
ILTSJZO,X,X,X,O,X,X,X,X,X,X,X,O
ILTSJOZ,X,X,X,X,X,X,X,O,X,X,X,O
ILTSZJO,X,X,X,O,X,O,X,X,X,X,X,O
ILTSZOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,O,X,X,X,O
ILTSOZJ,X,O,X,O,X,X,X,O,X,X,X,X
ILTZJSO,X,X,X,O,X,X,X,X,X,X,X,O
ILTZJOS,X,X,X,O,X,X,X,O,X,O,X,X
ILTZSJO,X,X,X,O,X,O,X,X,X,X,X,O
ILTZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILTZOJS,X,O,X,O,X,X,X,O,X,X,X,X
ILTZOSJ,X,O,X,O,X,X,X,O,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,O,O,X,X,O
ILTOJZS,X,O,X,X,X,X,X,O,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,O,X,X,X,O
ILTOSZJ,X,O,X,O,X,X,X,O,X,X,X,X
ILTOZJS,X,O,X,O,X,X,X,O,X,X,X,X
ILTOZSJ,X,O,X,O,X,X,X,O,X,X,X,X
ILJTSZO,X,X,X,O,X,X,O,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,O,O,X,X,X,X
ILJTZSO,X,X,X,O,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,O,X,X,X,O,X,O,X,X
ILJTOSZ,X,X,X,X,X,X,X,O,X,X,X,X
ILJTOZS,X,X,X,X,X,X,X,O,X,O,X,X
ILJSTZO,X,X,X,X,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,O,O,X,X,X,X
ILJSZTO,X,X,X,X,X,X,O,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,O,X,X,O,X,X
ILJSOTZ,O,X,X,X,X,X,O,O,X,X,X,X
ILJSOZT,O,X,X,X,X,X,O,O,X,O,X,X
ILJZTSO,X,X,X,O,X,X,X,X,X,X,X,X
ILJZTOS,X,X,X,O,X,X,X,O,X,O,X,X
ILJZSTO,X,X,X,X,X,X,O,X,X,X,X,X
ILJZSOT,X,X,X,X,X,X,O,X,X,O,X,X
ILJZOTS,X,X,X,O,X,X,X,O,X,O,X,X
ILJZOST,X,X,X,X,X,X,X,O,X,O,X,X
ILJOTSZ,O,X,X,X,X,X,X,O,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,O,X,O,X,X
ILJOSTZ,O,X,X,X,X,X,O,O,X,X,X,X
ILJOSZT,O,X,X,X,X,X,O,O,X,O,X,X
ILJOZTS,X,X,X,X,X,X,X,O,X,O,X,X
ILJOZST,O,X,X,X,X,X,X,O,X,O,X,X
ILSTJZO,X,X,X,O,X,X,X,X,X,X,X,O
ILSTJOZ,X,X,X,X,X,X,X,O,X,X,X,O
ILSTZJO,X,X,X,O,X,O,X,X,X,X,X,O
ILSTZOJ,X,O,X,O,X,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,O,X,X,X,O
ILSTOZJ,X,O,X,O,X,X,X,O,X,X,X,X
ILSJTZO,X,X,X,X,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,O,O,X,X,X,X
ILSJZTO,X,X,X,X,X,X,O,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,O,X,X,O,X,X
ILSJOTZ,O,X,X,X,X,X,O,O,X,X,X,X
ILSJOZT,O,X,X,X,X,X,O,O,X,O,X,X
ILSZTJO,X,X,X,O,X,O,X,X,X,X,X,X
ILSZTOJ,X,X,X,O,X,O,X,X,X,X,X,X
ILSZJTO,X,X,X,X,X,O,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,O,X,X,X,O,X,X
ILSZOTJ,X,X,X,O,X,O,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,O,X,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOJZT,O,X,X,X,X,X,X,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOZJT,O,X,X,X,X,X,X,O,X,X,X,X
ILZTJSO,X,X,X,O,X,X,X,X,X,X,X,X
ILZTJOS,X,X,X,O,X,X,X,O,X,O,X,X
ILZTSJO,X,X,X,O,X,O,X,X,X,X,X,X
ILZTSOJ,X,X,X,O,X,O,X,X,X,X,X,X
ILZTOJS,X,X,X,O,X,X,X,O,X,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,O,X,X,X,X
ILZJTSO,X,X,X,O,X,X,O,X,X,X,X,X
ILZJTOS,X,X,X,O,X,X,X,O,X,O,X,X
ILZJSTO,X,X,X,X,X,X,O,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X,O,X,X,O,X,X
ILZJOTS,O,X,X,O,X,X,X,O,X,O,X,X
ILZJOST,O,X,X,X,X,X,O,O,X,O,X,X
ILZSTJO,X,X,X,O,X,O,X,X,X,X,X,X
ILZSTOJ,X,X,X,O,X,O,X,X,X,X,X,X
ILZSJTO,X,X,X,X,X,O,O,X,X,X,X,X
ILZSJOT,O,X,X,X,X,O,O,X,X,O,X,X
ILZSOTJ,O,X,X,O,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,X,X,O,X,X,X,X,X,X
ILZOTJS,O,X,X,O,X,X,X,O,X,X,X,X
ILZOTSJ,O,X,X,O,X,X,X,O,X,X,X,X
ILZOJTS,O,X,X,O,X,X,X,O,X,O,X,X
ILZOJST,O,X,X,X,X,X,X,O,X,O,X,X
ILZOSTJ,O,X,X,O,X,X,X,O,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,O,X,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,O,O,X,X,X
ILOTJZS,X,O,X,X,X,X,X,O,O,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,O,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,X,O,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,O,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,X,O,X,X,X,X
ILOJTSZ,O,O,X,X,X,X,X,O,X,X,X,X
ILOJTZS,X,O,X,X,X,X,X,O,X,O,X,X
ILOJSTZ,O,O,X,X,X,X,X,O,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,O,X,O,X,X
ILOJZTS,O,X,X,X,X,X,X,O,X,O,X,X
ILOJZST,O,X,X,X,X,X,X,O,X,O,X,X
ILOSTJZ,O,O,X,X,X,X,X,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,O,X,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,O,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,O,X,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,O,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X,O,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,O,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,X,O,X,X,X,X
ILOZJTS,O,X,X,O,X,X,X,O,X,O,X,X
ILOZJST,O,X,X,X,X,X,X,O,X,O,X,X
ILOZSTJ,O,O,X,O,X,X,X,O,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,O,X,X,X,X
IJTLSZO,X,X,X,O,X,X,O,X,X,X,X,O
IJTLSOZ,X,X,X,X,X,X,O,X,X,X,X,O
IJTLZSO,X,X,X,O,X,X,X,X,X,X,X,O
IJTLZOS,X,X,X,O,X,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,X,X,X,X,X,X,X,O
IJTLOZS,X,X,X,X,X,X,X,X,X,O,X,X
IJTSLZO,X,X,X,O,X,X,O,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,O,X,X,X,X,X
IJTSZLO,X,X,O,O,X,X,X,X,X,X,X,X
IJTSZOL,X,O,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X,X,X,X,X,X
IJTZLSO,X,X,O,O,X,X,X,X,X,X,X,X
IJTZLOS,X,X,O,O,X,X,X,X,X,X,X,X
IJTZSLO,X,X,O,O,X,X,X,X,X,X,X,X
IJTZSOL,X,O,X,O,X,X,X,X,X,X,X,X
IJTZOLS,X,O,X,O,X,X,X,X,X,X,O,X
IJTZOSL,X,O,X,O,X,X,X,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X,X,X,X
IJTOSLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X,X,O,X
IJTOZSL,X,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,X,X,X,O,X,X,O,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,O,O,X,X,X,X
IJLTZSO,X,X,X,O,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,O,X,X,X,O,X,O,X,X
IJLTOSZ,X,X,X,X,X,X,X,O,X,X,X,X
IJLTOZS,X,X,X,X,X,X,X,O,X,O,X,X
IJLSTZO,X,X,X,X,X,X,O,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O,O,X,X,X,X
IJLSZTO,X,X,O,X,X,X,O,X,X,X,X,X
IJLSZOT,X,X,O,X,X,X,O,X,X,O,X,X
IJLSOTZ,O,X,X,X,X,X,O,O,X,X,X,X
IJLSOZT,O,X,X,X,X,X,O,O,X,O,X,X
IJLZTSO,X,X,O,O,X,X,O,X,X,X,X,X
IJLZTOS,X,X,O,O,X,X,X,O,X,O,X,X
IJLZSTO,X,X,O,X,X,X,O,X,X,X,X,X
IJLZSOT,X,X,O,X,X,X,O,X,X,O,X,X
IJLZOTS,X,X,O,O,X,X,X,O,X,O,X,X
IJLZOST,X,X,O,X,X,X,O,O,X,O,X,X
IJLOTSZ,O,X,X,X,X,X,X,O,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,O,X,O,X,X
IJLOSTZ,O,X,X,X,X,X,O,O,X,X,X,X
IJLOSZT,O,X,X,X,X,X,O,O,X,O,X,X
IJLOZTS,X,X,X,X,X,X,X,O,X,O,X,X
IJLOZST,O,X,X,X,X,X,X,O,X,O,X,X
IJSTLZO,X,X,X,X,X,X,O,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,O,X,X,X,X,X
IJSTZLO,X,X,O,X,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,O,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,O,X,X,X,X,X
IJSLZTO,X,X,O,X,X,X,O,X,X,X,X,X
IJSLZOT,X,X,O,X,X,X,O,X,X,O,X,X
IJSLOTZ,O,X,X,X,X,X,O,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,O,X,X,O,X,X
IJSZTLO,X,X,O,X,X,X,O,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X,O,X,X,X,X,X
IJSZLOT,O,X,O,X,X,X,O,X,X,X,X,X
IJSZOTL,O,X,O,X,X,X,X,X,X,X,X,X
IJSZOLT,O,X,O,X,X,X,O,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,X,O,X,X,X,X,X
IJSOLZT,O,X,O,X,X,X,O,X,X,X,X,X
IJSOZTL,O,X,O,X,X,X,X,X,X,X,X,X
IJSOZLT,O,X,O,X,X,X,X,X,X,X,X,X
IJZTLSO,X,X,O,O,X,X,O,X,X,X,X,X
IJZTLOS,X,X,O,O,X,X,X,X,X,X,X,X
IJZTSLO,X,X,O,O,X,X,O,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X,X,X,X
IJZTOLS,O,X,X,O,X,X,X,X,X,X,O,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,O,O,X,X,O,X,X,X,X,X
IJZLTOS,X,X,O,O,X,X,X,X,X,O,X,X
IJZLSTO,X,X,O,X,X,X,O,X,X,X,X,X
IJZLSOT,O,X,O,X,X,X,O,X,X,O,X,X
IJZLOTS,O,X,O,O,X,X,X,X,X,O,X,X
IJZLOST,O,X,O,X,X,X,O,X,X,O,X,X
IJZSTLO,X,X,O,X,X,X,O,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,O,X,X,X,X,X
IJZSLOT,O,X,O,X,X,X,O,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,X,X,X,X,X,X
IJZSOLT,O,X,O,X,X,X,O,X,X,X,X,X
IJZOTLS,O,X,O,O,X,X,X,X,X,X,O,X
IJZOTSL,O,X,O,O,X,X,X,X,X,X,X,X
IJZOLTS,O,X,O,O,X,X,X,X,X,X,X,X
IJZOLST,O,X,O,X,X,X,O,X,X,X,X,X
IJZOSTL,O,X,O,X,X,X,X,X,X,X,X,X
IJZOSLT,O,X,O,X,X,X,O,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOTSZL,X,O,O,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,O,X,X,X,X,X,X,X,O,X
IJOTZSL,X,O,O,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X,O,X,X
IJOLSTZ,O,O,X,X,X,X,O,X,X,X,X,X
IJOLSZT,O,X,O,X,X,X,O,X,X,O,X,X
IJOLZTS,O,X,O,X,X,X,X,X,X,O,X,X
IJOLZST,O,X,O,X,X,X,X,X,X,O,X,X
IJOSTLZ,O,O,X,X,X,X,X,X,X,X,X,X
IJOSTZL,X,O,O,X,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,X,X,X,X,O,X,X,X,X,X
IJOSLZT,O,X,O,X,X,X,O,X,X,X,X,X
IJOSZTL,O,X,O,X,X,X,X,X,X,X,X,X
IJOSZLT,O,X,O,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X,X,X,O,X
IJOZTSL,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLST,O,X,O,X,X,X,X,X,X,X,X,X
IJOZSTL,O,X,O,X,X,X,X,X,X,X,X,X
IJOZSLT,O,X,O,X,X,X,X,X,X,X,X,X
ISTLJZO,X,X,X,O,O,X,X,X,X,X,X,O
ISTLJOZ,X,X,X,X,X,X,X,X,X,X,X,O
ISTLZJO,X,X,X,O,X,X,X,X,X,X,X,O
ISTLZOJ,X,O,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X,X,X,X,O
ISTLOZJ,X,O,X,O,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,O,O,X,O,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,O,X,X,X,X,X
ISTJZLO,X,X,X,O,O,X,X,X,X,X,X,X
ISTJZOL,X,O,X,O,O,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,X,O,X,X,X,X,X,X,X
ISTZLJO,X,X,X,O,O,X,X,X,X,X,X,X
ISTZLOJ,X,O,X,O,O,X,X,X,X,X,X,X
ISTZJLO,X,X,X,O,O,X,X,X,X,X,X,X
ISTZJOL,X,O,X,O,O,X,X,X,X,X,X,X
ISTZOLJ,X,O,X,O,O,X,X,X,X,X,X,X
ISTZOJL,X,O,X,O,O,X,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,O,X,X,X,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,O,O,X,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,X,X,O,X,X,X,X
ISLTZJO,X,X,X,O,X,O,X,X,X,X,X,X
ISLTZOJ,X,O,X,O,X,O,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,O,X,X,X,X
ISLTOZJ,X,O,X,O,X,X,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,X,O,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,O,O,X,X,X,X
ISLJZTO,X,X,X,X,X,X,O,X,X,X,X,X
ISLJZOT,X,X,X,X,X,X,O,X,X,O,X,X
ISLJOTZ,O,X,X,X,X,X,O,O,X,X,X,X
ISLJOZT,O,X,X,X,X,X,O,O,X,O,X,X
ISLZTJO,X,X,X,O,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,X,O,X,O,X,X,X,X,X,X
ISLZJTO,X,X,X,X,X,O,X,X,X,X,X,X
ISLZJOT,X,X,X,X,X,O,X,X,X,O,X,X
ISLZOTJ,X,X,X,O,X,O,X,X,X,X,X,X
ISLZOJT,X,X,X,X,X,O,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,O,X,X,X,X
ISLOZTJ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,O,X,X,X,X
ISJTLZO,X,X,X,X,O,X,O,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,O,X,X,X,X,X
ISJTZLO,X,X,O,X,O,X,X,X,X,X,X,X
ISJTZOL,X,O,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,O,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,O,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,O,X,X,X,X,X
ISJLZTO,X,X,O,X,X,X,O,X,X,X,X,X
ISJLZOT,X,X,O,X,X,X,O,X,X,O,X,X
ISJLOTZ,O,X,X,X,X,X,O,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,O,X,X,O,X,X
ISJZTLO,X,X,O,X,X,X,O,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,X,X,O,X,X,X,O,X,X,X,X,X
ISJZLOT,O,X,O,X,X,X,O,X,X,X,X,X
ISJZOTL,O,X,O,X,X,X,X,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,O,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,O,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,O,X,X,X,X,X
ISJOZTL,O,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X,X,X,X,X,X
ISZTLJO,X,X,X,O,O,X,X,X,X,X,X,X
ISZTLOJ,X,O,X,O,O,X,X,X,X,X,X,X
ISZTJLO,X,X,X,O,O,X,O,X,X,X,X,X
ISZTJOL,O,O,X,O,O,X,X,X,X,X,X,X
ISZTOLJ,O,O,X,O,O,X,X,X,X,X,X,X
ISZTOJL,X,O,X,O,O,X,X,X,X,X,X,X
ISZLTJO,X,X,X,O,O,O,X,X,X,X,X,X
ISZLTOJ,X,X,X,O,X,O,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,O,O,X,X,X,X,X
ISZLJOT,O,X,O,X,X,O,O,X,X,X,X,X
ISZLOTJ,O,X,X,O,X,O,X,X,X,X,X,X
ISZLOJT,O,X,X,X,X,O,X,X,X,X,X,X
ISZJTLO,X,X,O,X,O,X,O,X,X,X,X,X
ISZJTOL,O,X,X,X,O,X,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X,O,X,X,X,X,X
ISZJLOT,O,X,O,X,X,X,O,X,X,X,X,X
ISZJOTL,O,X,O,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,O,X,X,X,O,X,X,X,X,X
ISZOTLJ,O,O,X,O,X,X,X,X,X,X,X,X
ISZOTJL,X,O,X,O,O,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,O,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,O,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,X,X,X,X,X,X
ISOTZJL,X,O,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,O,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,O,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,O,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,O,X,X,X,X,X,X,X,O
IZTLJOS,X,X,X,O,X,X,X,X,X,X,X,X
IZTLSJO,X,X,X,O,X,X,X,X,X,X,X,O
IZTLSOJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,X,O,X,O,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,X,X,O,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,X,X,X,X,X
IZTJSLO,X,X,X,O,O,X,O,X,X,X,X,X
IZTJSOL,O,O,X,O,O,X,X,X,X,X,X,X
IZTJOLS,O,O,X,O,X,X,X,X,X,X,X,X
IZTJOSL,O,O,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,O,O,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,O,O,X,X,X,X,X,X,X
IZTSJLO,X,X,X,O,O,X,O,X,X,X,X,X
IZTSJOL,O,O,X,O,O,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,O,O,X,X,X,X,X,X,X
IZTSOJL,X,O,X,O,O,X,X,X,X,X,X,X
IZTOLJS,O,O,X,O,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,X,X,X,X,X
IZTOJLS,O,O,X,O,X,X,X,X,X,X,X,X
IZTOJSL,O,O,X,O,X,X,X,X,X,X,X,X
