sequence,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFCgBmiB?/qBFmB0nBTrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBfmB?aoBGnB0qBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBGhB?/nBaoBlqBUrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflBlgB?cmBiiBznBWwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB0gB?aoBGnBzqBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBmiB?0nBlqBfrB6rB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB6lB?ThBmiB0nBVwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFThB/nB?aoBFlBUrBGqB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8Jex/IvhFynBOpB?/qBFmB0nBTrB
IJSTLOZ,X,X,O,X,O,X,O,X,O
IJSTZLO,O,X,O,O,X,X,O,O,O
IJSTZOL,O,X,O,O,X,X,O,O,X
IJSTOLZ,X,X,O,O,O,X,O,X,O
IJSTOZL,X,X,O,O,O,X,O,X,X
IJSLTZO,O,X,O,O,X,X,X,O,O
IJSLTOZ,X,X,O,X,O,X,X,X,O
IJSLZTO,O,O,O,O,X,X,X,O,O
IJSLZOT,O,O,O,O,O,X,X,O,X
IJSLOTZ,X,X,O,O,O,X,X,X,O
IJSLOZT,X,O,O,O,O,X,X,O,X
IJSZTLO,O,O,O,O,X,X,O,O,O
IJSZTOL,O,O,O,O,X,X,O,O,X
IJSZLTO,O,O,O,O,X,X,O,O,O
IJSZLOT,O,O,O,O,O,X,X,O,X
IJSZOTL,O,O,X,O,O,X,O,O,X
IJSZOLT,O,O,O,O,O,X,X,O,X
IJSOTLZ,X,X,O,O,O,X,X,X,O
IJSOTZL,X,X,O,O,O,X,X,X,X
IJSOLTZ,X,X,O,O,O,X,X,X,O
IJSOLZT,X,O,O,O,O,X,X,O,X
IJSOZTL,X,O,X,O,O,X,X,O,X
IJSOZLT,X,O,O,O,O,X,X,O,X
IJZTLSO,O,O,X,X,X,O,X,X,X
IJZTLOS,X,O,X,X,X,O,X,X,X
IJZTSLO,O,O,O,X,X,O,O,O,X
IJZTSOL,O,O,O,X,X,O,O,O,X
IJZTOLS,X,O,X,X,X,O,X,X,X
IJZTOSL,X,O,O,X,X,O,X,O,X
IJZLTSO,O,O,X,X,X,O,X,X,X
IJZLTOS,X,O,X,X,X,O,X,X,X
IJZLSTO,O,O,X,O,X,X,O,X,O
IJZLSOT,O,O,X,X,O,X,X,X,X
IJZLOTS,X,O,X,X,X,O,X,X,X
IJZLOST,O,O,X,X,O,X,X,X,X
IJZSTLO,O,O,O,O,X,O,O,O,O
IJZSTOL,O,O,O,O,X,O,O,O,X
IJZSLTO,O,O,O,O,X,X,O,O,O
IJZSLOT,O,O,O,X,O,X,X,O,X
IJZSOTL,O,O,X,O,O,O,O,O,X
IJZSOLT,O,O,O,O,O,X,X,O,X
IJZOTLS,X,O,X,X,X,O,X,X,X
IJZOTSL,X,O,X,X,X,O,X,O,X
IJZOLTS,X,O,X,X,X,O,X,X,X
IJZOLST,O,O,X,O,O,X,X,X,X
IJZOSTL,O,O,X,O,O,O,O,O,X
IJZOSLT,O,O,O,O,O,X,X,O,X
IJOTLSZ,X,X,O,X,O,X,X,X,X
IJOTLZS,X,O,X,X,X,X,X,X,X
IJOTSLZ,X,X,O,X,O,X,X,X,X
IJOTSZL,X,X,O,X,O,X,X,X,X
IJOTZLS,X,O,X,X,X,O,X,X,X
IJOTZSL,X,O,O,X,X,O,X,X,X
IJOLTSZ,X,X,X,X,O,X,X,X,X
IJOLTZS,X,O,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,O,O,X,X,X,O
IJOLSZT,X,O,O,O,O,X,X,X,X
IJOLZTS,X,O,X,X,X,X,X,X,X
IJOLZST,X,O,X,O,O,X,X,X,X
IJOSTLZ,X,X,O,O,O,X,X,X,O
IJOSTZL,X,X,O,O,O,X,X,X,X
IJOSLTZ,X,X,O,O,O,X,X,X,O
IJOSLZT,X,O,O,O,O,X,X,O,X
IJOSZTL,X,O,X,O,O,X,X,O,X
IJOSZLT,X,O,O,O,O,X,X,O,X
IJOZTLS,X,O,X,X,X,O,X,X,X
IJOZTSL,X,O,X,X,X,O,X,O,X
IJOZLTS,X,O,X,X,X,O,X,X,X
IJOZLST,X,O,X,O,O,X,X,X,X
IJOZSTL,X,O,X,O,O,O,X,O,X
IJOZSLT,X,O,O,O,O,X,X,O,X
ISTLJZO,O,X,O,O,X,X,O,O,O
ISTLJOZ,X,X,O,X,O,X,O,X,O
ISTLZJO,O,X,O,O,X,X,O,O,X
ISTLZOJ,O,X,O,O,X,X,O,O,X
ISTLOJZ,X,X,O,X,O,X,O,X,X
ISTLOZJ,O,X,O,X,X,X,O,O,X
ISTJLZO,O,X,O,O,X,X,O,O,O
ISTJLOZ,X,X,O,X,O,X,O,X,O
ISTJZLO,O,X,O,O,X,X,O,O,O
ISTJZOL,O,X,O,O,X,X,O,O,X
ISTJOLZ,X,X,O,O,O,X,O,X,O
ISTJOZL,X,X,O,O,O,X,O,X,X
ISTZLJO,O,X,O,O,X,O,O,O,X
ISTZLOJ,O,X,O,O,X,O,O,O,X
ISTZJLO,O,X,O,O,X,O,O,O,X
ISTZJOL,O,X,O,O,X,O,O,O,X
ISTZOLJ,O,X,O,O,X,O,O,O,X
ISTZOJL,O,X,O,O,X,O,O,O,X
ISTOLJZ,X,X,O,O,O,X,O,X,X
ISTOLZJ,O,X,O,O,X,X,O,O,X
ISTOJLZ,X,X,O,O,O,X,O,X,X
ISTOJZL,X,X,O,O,O,X,O,X,X
ISTOZLJ,O,X,O,O,X,O,O,O,X
ISTOZJL,O,X,O,O,O,O,O,O,X
ISLTJZO,O,X,O,O,X,X,O,O,O
ISLTJOZ,X,X,O,X,O,X,O,X,O
ISLTZJO,O,X,O,O,X,X,O,O,X
ISLTZOJ,O,X,O,O,X,X,O,O,X
ISLTOJZ,X,X,O,X,O,X,O,X,X
ISLTOZJ,O,X,O,X,X,X,O,O,X
ISLJTZO,O,X,O,O,X,X,X,O,O
ISLJTOZ,X,X,O,X,O,X,X,X,O
ISLJZTO,O,O,O,O,X,X,X,O,O
ISLJZOT,O,O,O,O,O,X,X,O,X
ISLJOTZ,X,X,O,O,O,X,X,X,O
ISLJOZT,X,O,O,O,O,X,X,O,X
ISLZTJO,O,X,O,O,X,X,O,O,X
ISLZTOJ,O,X,O,O,X,X,O,O,X
ISLZJTO,O,O,O,O,X,X,O,O,X
ISLZJOT,O,O,O,O,O,X,X,O,X
ISLZOTJ,O,X,O,O,X,X,X,O,X
ISLZOJT,O,O,O,O,O,X,X,O,X
ISLOTJZ,X,X,O,O,O,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,O,X
ISLOJTZ,X,X,O,O,O,X,X,X,X
ISLOJZT,X,O,O,O,O,X,X,O,X
ISLOZTJ,O,X,O,O,X,X,X,O,X
ISLOZJT,O,O,O,O,O,X,X,O,X
ISJTLZO,O,X,O,O,X,X,O,O,O
ISJTLOZ,X,X,O,X,O,X,O,X,O
ISJTZLO,O,X,O,O,X,X,O,O,O
ISJTZOL,O,X,O,O,X,X,O,O,X
ISJTOLZ,X,X,O,O,O,X,O,X,O
ISJTOZL,X,X,O,O,O,X,O,X,X
ISJLTZO,O,X,O,O,X,X,X,O,O
ISJLTOZ,X,X,O,X,O,X,X,X,O
ISJLZTO,O,O,O,O,X,X,X,O,O
ISJLZOT,O,O,O,O,O,X,X,O,X
ISJLOTZ,X,X,O,O,O,X,X,X,O
ISJLOZT,X,O,O,O,O,X,X,O,X
ISJZTLO,O,O,O,O,X,X,O,O,O
ISJZTOL,O,O,O,O,X,X,O,O,X
ISJZLTO,O,O,O,O,X,X,O,O,O
ISJZLOT,O,O,O,O,O,X,X,O,X
ISJZOTL,O,O,X,O,O,X,O,O,X
ISJZOLT,O,O,O,O,O,X,X,O,X
ISJOTLZ,X,X,O,O,O,X,X,X,O
ISJOTZL,X,X,O,O,O,X,X,X,X
ISJOLTZ,X,X,O,O,O,X,X,X,O
ISJOLZT,X,O,O,O,O,X,X,O,X
ISJOZTL,X,O,X,O,O,X,X,O,X
ISJOZLT,X,O,O,O,O,X,X,O,X
ISZTLJO,O,X,O,O,X,O,O,O,X
ISZTLOJ,O,X,O,O,X,O,O,O,X
ISZTJLO,O,O,O,O,X,O,O,O,X
ISZTJOL,O,O,O,O,X,O,O,O,X
ISZTOLJ,O,X,O,O,X,O,O,O,X
ISZTOJL,O,O,O,O,X,O,O,O,X
ISZLTJO,O,X,O,O,X,X,O,O,X
ISZLTOJ,O,X,O,O,X,X,O,O,X
ISZLJTO,O,O,O,O,X,X,O,O,X
ISZLJOT,O,O,O,O,O,X,X,O,X
ISZLOTJ,O,X,O,O,X,X,X,O,X
ISZLOJT,O,O,O,O,O,X,X,O,X
ISZJTLO,O,O,O,O,X,O,O,O,X
ISZJTOL,O,O,O,O,X,O,O,O,X
ISZJLTO,O,O,O,O,X,X,O,O,X
ISZJLOT,O,O,O,O,O,X,X,O,X
ISZJOTL,O,O,X,O,O,O,O,O,X
ISZJOLT,O,O,O,O,O,X,X,O,X
ISZOTLJ,O,X,O,O,X,O,O,O,X
ISZOTJL,O,O,O,O,O,O,O,O,X
ISZOLTJ,O,X,O,O,X,X,X,O,X
ISZOLJT,O,O,O,O,O,X,X,O,X
ISZOJTL,O,O,X,O,O,O,O,O,X
ISZOJLT,O,O,O,O,O,X,X,O,X
ISOTLJZ,X,X,O,O,O,X,O,X,X
ISOTLZJ,O,X,O,O,X,X,O,O,X
ISOTJLZ,X,X,O,O,O,X,O,X,X
ISOTJZL,X,X,O,O,O,X,O,X,X
ISOTZLJ,O,X,O,O,X,O,O,O,X
ISOTZJL,O,X,O,O,O,O,O,O,X
ISOLTJZ,X,X,O,O,O,X,X,X,X
ISOLTZJ,O,X,O,O,X,X,X,O,X
ISOLJTZ,X,X,O,O,O,X,X,X,X
ISOLJZT,X,O,O,O,O,X,X,O,X
ISOLZTJ,O,X,O,O,X,X,X,O,X
ISOLZJT,O,O,O,O,O,X,X,O,X
ISOJTLZ,X,X,O,O,O,X,X,X,X
ISOJTZL,X,X,O,O,O,X,X,X,X
ISOJLTZ,X,X,O,O,O,X,X,X,X
ISOJLZT,X,O,O,O,O,X,X,O,X
ISOJZTL,X,O,X,O,O,X,X,O,X
ISOJZLT,X,O,O,O,O,X,X,O,X
ISOZTLJ,O,X,O,O,X,O,O,O,X
ISOZTJL,O,O,O,O,O,O,O,O,X
ISOZLTJ,O,X,O,O,X,X,X,O,X
ISOZLJT,O,O,O,O,O,X,X,O,X
ISOZJTL,O,O,X,O,O,O,O,O,X
ISOZJLT,O,O,O,O,O,X,X,O,X
IZTLJSO,O,O,X,X,X,O,X,X,X
IZTLJOS,X,O,X,X,X,O,X,X,X
IZTLSJO,O,X,X,O,X,O,X,O,X
IZTLSOJ,O,X,X,O,X,O,X,O,X
IZTLOJS,X,O,X,X,X,O,X,X,X
IZTLOSJ,X,X,X,X,X,O,X,O,X
IZTJLSO,O,O,X,X,X,O,X,X,X
IZTJLOS,X,O,X,X,X,O,X,X,X
IZTJSLO,O,O,O,X,X,O,O,O,X
IZTJSOL,O,O,O,X,X,O,O,O,X
IZTJOLS,X,O,X,X,X,O,X,X,X
IZTJOSL,X,O,O,X,X,O,X,O,X
IZTSLJO,O,X,O,O,X,O,O,O,X
IZTSLOJ,O,X,O,O,X,O,O,O,X
IZTSJLO,O,O,O,O,X,O,O,O,X
IZTSJOL,O,O,O,O,X,O,O,O,X
IZTSOLJ,O,X,O,O,X,O,O,O,X
IZTSOJL,O,O,O,O,X,O,O,O,X
IZTOLJS,X,O,X,X,X,O,X,X,X
IZTOLSJ,X,X,X,O,X,O,X,O,X
IZTOJLS,X,O,X,X,X,O,X,X,X
IZTOJSL,X,O,O,X,X,O,X,O,X
IZTOSLJ,X,X,O,O,X,O,X,O,X
IZTOSJL,X,O,O,O,X,O,X,O,X
IZLTJSO,O,O,X,X,X,O,X,X,X
IZLTJOS,X,O,X,X,X,O,X,X,X
IZLTSJO,O,X,X,O,X,O,X,O,X
IZLTSOJ,O,X,X,O,X,O,X,O,X
IZLTOJS,X,O,X,X,X,O,X,X,X
IZLTOSJ,X,X,X,X,X,O,X,O,X
IZLJTSO,O,O,X,X,X,O,X,X,X
IZLJTOS,X,O,X,X,X,O,X,X,X
IZLJSTO,O,O,X,O,X,X,O,X,X
IZLJSOT,O,O,X,X,O,X,X,X,X
IZLJOTS,X,O,X,X,X,O,X,X,X
IZLJOST,O,O,X,X,O,X,X,X,X
IZLSTJO,O,X,X,O,X,X,O,O,X
IZLSTOJ,O,X,X,O,X,X,O,O,X
IZLSJTO,O,O,X,O,X,X,O,O,X
IZLSJOT,O,O,X,O,O,X,X,O,X
IZLSOTJ,O,X,X,O,X,X,X,O,X
IZLSOJT,O,O,X,O,O,X,X,O,X
IZLOTJS,X,O,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,O,X,O,X,O,X
IZLOJTS,X,O,X,X,X,O,X,X,X
IZLOJST,O,O,X,O,O,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,O,X
IZLOSJT,O,O,X,O,O,X,X,O,X
IZJTLSO,O,O,X,X,X,O,X,X,X
IZJTLOS,X,O,X,X,X,O,X,X,X
IZJTSLO,O,O,O,X,X,O,O,O,X
IZJTSOL,O,O,O,X,X,O,O,O,X
IZJTOLS,X,O,X,X,X,O,X,X,X
IZJTOSL,X,O,O,X,X,O,X,O,X
IZJLTSO,O,O,X,X,X,O,X,X,X
IZJLTOS,X,O,X,X,X,O,X,X,X
IZJLSTO,O,O,X,O,X,X,O,X,X
IZJLSOT,O,O,X,X,O,X,X,X,X
IZJLOTS,X,O,X,X,X,O,X,X,X
IZJLOST,O,O,X,X,O,X,X,X,X
IZJSTLO,O,O,O,O,X,O,O,O,X
IZJSTOL,O,O,O,O,X,O,O,O,X
IZJSLTO,O,O,O,O,X,X,O,O,X
IZJSLOT,O,O,O,X,O,X,X,O,X
IZJSOTL,O,O,X,O,O,O,O,O,X
IZJSOLT,O,O,O,O,O,X,X,O,X
IZJOTLS,X,O,X,X,X,O,X,X,X
IZJOTSL,X,O,X,X,X,O,X,O,X
IZJOLTS,X,O,X,X,X,O,X,X,X
IZJOLST,O,O,X,O,O,X,X,X,X
IZJOSTL,O,O,X,O,O,O,O,O,X
IZJOSLT,O,O,O,O,O,X,X,O,X
IZSTLJO,O,X,O,O,X,O,O,O,X
IZSTLOJ,O,X,O,O,X,O,O,O,X
IZSTJLO,O,O,O,O,X,O,O,O,X
IZSTJOL,O,O,O,O,X,O,O,O,X
IZSTOLJ,O,X,O,O,X,O,O,O,X
IZSTOJL,O,O,O,O,X,O,O,O,X
IZSLTJO,O,X,O,O,X,X,O,O,X
IZSLTOJ,O,X,O,O,X,X,O,O,X
IZSLJTO,O,O,O,O,X,X,O,O,X
IZSLJOT,O,O,O,O,O,X,X,O,X
IZSLOTJ,O,X,O,O,X,X,X,O,X
IZSLOJT,O,O,O,O,O,X,X,O,X
IZSJTLO,O,O,O,O,X,O,O,O,X
IZSJTOL,O,O,O,O,X,O,O,O,X
IZSJLTO,O,O,O,O,X,X,O,O,X
IZSJLOT,O,O,O,O,O,X,X,O,X
IZSJOTL,O,O,X,O,O,O,O,O,X
IZSJOLT,O,O,O,O,O,X,X,O,X
IZSOTLJ,O,X,O,O,X,O,O,O,X
IZSOTJL,O,O,O,O,O,O,O,O,X
IZSOLTJ,O,X,O,O,X,X,X,O,X
IZSOLJT,O,O,O,O,O,X,X,O,X
IZSOJTL,O,O,X,O,O,O,O,O,X
IZSOJLT,O,O,O,O,O,X,X,O,X
IZOTLJS,X,O,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,O,X,O,X,O,X
IZOTJLS,X,O,X,X,X,O,X,X,X
IZOTJSL,X,O,O,X,X,O,X,O,X
IZOTSLJ,X,X,O,O,X,O,X,O,X
IZOTSJL,X,O,O,O,X,O,X,O,X
IZOLTJS,X,O,X,X,X,O,X,X,X
IZOLTSJ,X,X,X,O,X,O,X,O,X
IZOLJTS,X,O,X,X,X,O,X,X,X
IZOLJST,O,O,X,O,O,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,O,X
IZOLSJT,O,O,X,O,O,X,X,O,X
IZOJTLS,X,O,X,X,X,O,X,X,X
IZOJTSL,X,O,X,X,X,O,X,O,X
IZOJLTS,X,O,X,X,X,O,X,X,X
IZOJLST,O,O,X,O,O,X,X,X,X
IZOJSTL,O,O,X,O,O,O,O,O,X
IZOJSLT,O,O,O,O,O,X,X,O,X
IZOSTLJ,O,X,O,O,X,O,O,O,X
IZOSTJL,O,O,O,O,O,O,O,O,X
IZOSLTJ,O,X,O,O,X,X,X,O,X
IZOSLJT,O,O,O,O,O,X,X,O,X
IZOSJTL,O,O,X,O,O,O,O,O,X
IZOSJLT,O,O,O,O,O,X,X,O,X
IOTLJSZ,X,X,O,X,O,X,X,X,X
IOTLJZS,X,O,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,O,O,X,X,X,X
IOTLSZJ,X,X,O,O,X,X,X,X,X
IOTLZJS,X,O,X,X,X,O,X,X,X
IOTLZSJ,X,X,X,O,X,O,X,X,X
IOTJLSZ,X,X,O,X,O,X,X,X,X
IOTJLZS,X,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,O,X,X,X,X
IOTJSZL,X,X,O,X,O,X,X,X,X
IOTJZLS,X,O,X,X,X,O,X,X,X
IOTJZSL,X,O,O,X,X,O,X,X,X
IOTSLJZ,X,X,O,O,O,X,X,X,X
IOTSLZJ,X,X,O,O,X,X,X,O,X
IOTSJLZ,X,X,O,O,O,X,X,X,X
IOTSJZL,X,X,O,O,O,X,X,X,X
IOTSZLJ,X,X,O,O,X,O,X,O,X
IOTSZJL,X,X,O,O,O,O,X,O,X
IOTZLJS,X,O,X,X,X,O,X,X,X
IOTZLSJ,X,X,X,O,X,O,X,O,X
IOTZJLS,X,O,X,X,X,O,X,X,X
IOTZJSL,X,O,O,X,X,O,X,O,X
IOTZSLJ,X,X,O,O,X,O,X,O,X
IOTZSJL,X,O,O,O,X,O,X,O,X
IOLTJSZ,X,X,O,X,O,X,X,X,X
IOLTJZS,X,O,X,X,X,X,X,X,X
IOLTSJZ,X,X,O,O,O,X,X,X,X
IOLTSZJ,X,X,O,O,X,X,X,X,X
IOLTZJS,X,O,X,X,X,O,X,X,X
IOLTZSJ,X,X,X,O,X,O,X,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,X
IOLJTZS,X,O,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,O,X,X,X,X
IOLJSZT,X,O,O,O,O,X,X,X,X
IOLJZTS,X,O,X,X,X,X,X,X,X
IOLJZST,X,O,X,O,O,X,X,X,X
IOLSTJZ,X,X,O,O,O,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,X,O,X
IOLSJTZ,X,X,O,O,O,X,X,X,X
IOLSJZT,X,O,O,O,O,X,X,O,X
IOLSZTJ,O,X,O,O,X,X,X,O,X
IOLSZJT,O,O,O,O,O,X,X,O,X
IOLZTJS,X,O,X,X,X,O,X,X,X
IOLZTSJ,X,X,X,O,X,O,X,O,X
IOLZJTS,X,O,X,X,X,O,X,X,X
IOLZJST,O,O,X,O,O,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,X,O,X
IOLZSJT,O,O,X,O,O,X,X,O,X
IOJTLSZ,X,X,O,X,O,X,X,X,X
IOJTLZS,X,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,O,X,X,X,X
IOJTSZL,X,X,O,X,O,X,X,X,X
IOJTZLS,X,O,X,X,X,O,X,X,X
IOJTZSL,X,O,O,X,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,X,X,X,X
IOJLTZS,X,O,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,O,O,X,X,X,X
IOJLSZT,X,O,O,O,O,X,X,X,X
IOJLZTS,X,O,X,X,X,X,X,X,X
IOJLZST,X,O,X,O,O,X,X,X,X
IOJSTLZ,X,X,O,O,O,X,X,X,X
IOJSTZL,X,X,O,O,O,X,X,X,X
IOJSLTZ,X,X,O,O,O,X,X,X,X
IOJSLZT,X,O,O,O,O,X,X,O,X
IOJSZTL,X,O,X,O,O,X,X,O,X
IOJSZLT,X,O,O,O,O,X,X,O,X
IOJZTLS,X,O,X,X,X,O,X,X,X
IOJZTSL,X,O,X,X,X,O,X,O,X
IOJZLTS,X,O,X,X,X,O,X,X,X
IOJZLST,X,O,X,O,O,X,X,X,X
IOJZSTL,X,O,X,O,O,O,X,O,X
IOJZSLT,X,O,O,O,O,X,X,O,X
IOSTLJZ,X,X,O,O,O,X,O,X,X
IOSTLZJ,O,X,O,O,X,X,O,O,X
IOSTJLZ,X,X,O,O,O,X,O,X,X
IOSTJZL,X,X,O,O,O,X,O,X,X
IOSTZLJ,O,X,O,O,X,O,O,O,X
IOSTZJL,O,X,O,O,O,O,O,O,X
IOSLTJZ,X,X,O,O,O,X,X,X,X
IOSLTZJ,O,X,O,O,X,X,X,O,X
IOSLJTZ,X,X,O,O,O,X,X,X,X
IOSLJZT,X,O,O,O,O,X,X,O,X
IOSLZTJ,O,X,O,O,X,X,X,O,X
IOSLZJT,O,O,O,O,O,X,X,O,X
IOSJTLZ,X,X,O,O,O,X,X,X,X
IOSJTZL,X,X,O,O,O,X,X,X,X
IOSJLTZ,X,X,O,O,O,X,X,X,X
IOSJLZT,X,O,O,O,O,X,X,O,X
IOSJZTL,X,O,X,O,O,X,X,O,X
IOSJZLT,X,O,O,O,O,X,X,O,X
IOSZTLJ,O,X,O,O,X,O,O,O,X
IOSZTJL,O,O,O,O,O,O,O,O,X
IOSZLTJ,O,X,O,O,X,X,X,O,X
IOSZLJT,O,O,O,O,O,X,X,O,X
IOSZJTL,O,O,X,O,O,O,O,O,X
IOSZJLT,O,O,O,O,O,X,X,O,X
IOZTLJS,X,O,X,X,X,O,X,X,X
IOZTLSJ,X,X,X,O,X,O,X,O,X
IOZTJLS,X,O,X,X,X,O,X,X,X
IOZTJSL,X,O,O,X,X,O,X,O,X
IOZTSLJ,X,X,O,O,X,O,X,O,X
IOZTSJL,X,O,O,O,X,O,X,O,X
IOZLTJS,X,O,X,X,X,O,X,X,X
IOZLTSJ,X,X,X,O,X,O,X,O,X
IOZLJTS,X,O,X,X,X,O,X,X,X
IOZLJST,O,O,X,O,O,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,X,O,X
IOZLSJT,O,O,X,O,O,X,X,O,X
IOZJTLS,X,O,X,X,X,O,X,X,X
IOZJTSL,X,O,X,X,X,O,X,O,X
IOZJLTS,X,O,X,X,X,O,X,X,X
IOZJLST,O,O,X,O,O,X,X,X,X
IOZJSTL,O,O,X,O,O,O,O,O,X
IOZJSLT,O,O,O,O,O,X,X,O,X
IOZSTLJ,O,X,O,O,X,O,O,O,X
IOZSTJL,O,O,O,O,O,O,O,O,X
IOZSLTJ,O,X,O,O,X,X,X,O,X
IOZSLJT,O,O,O,O,O,X,X,O,X
IOZSJTL,O,O,X,O,O,O,O,O,X
IOZSJLT,O,O,O,O,O,X,X,O,X
LTIJSZO,X,X,O,X,X,X,X,X,X
LTIJSOZ,X,X,O,X,O,X,X,X,X
LTIJZSO,X,O,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,X,O,X,O,X,X,X,X
LTIJOZS,X,O,X,X,X,X,X,X,X
LTISJZO,O,X,O,O,X,X,X,O,X
LTISJOZ,X,X,O,X,O,X,X,X,X
LTISZJO,O,X,O,O,X,X,X,O,X
LTISZOJ,O,X,O,O,X,X,X,O,X
LTISOJZ,X,X,O,X,O,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X,O,X
LTIZJSO,O,O,X,X,X,O,X,X,X
LTIZJOS,X,O,X,X,X,O,X,X,X
LTIZSJO,O,X,X,O,X,O,X,O,X
LTIZSOJ,O,X,X,O,X,O,X,O,X
LTIZOJS,X,O,X,X,X,O,X,X,X
LTIZOSJ,X,X,X,X,X,O,X,O,X
LTIOJSZ,X,X,O,X,O,X,X,X,X
LTIOJZS,X,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,O,X,O,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,X,X,X
LTIOZJS,X,O,X,X,X,O,X,X,X
LTIOZSJ,X,X,X,X,X,O,X,X,X
LTJISZO,X,X,O,X,X,X,X,X,O
LTJISOZ,X,X,O,X,O,X,X,X,O
LTJIZSO,X,O,X,X,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,X,O,X,O,X,X,X,X
LTJIOZS,X,O,X,X,X,X,X,X,X
LTJSIZO,X,X,O,X,X,X,X,X,O
LTJSIOZ,X,X,O,X,O,X,X,X,O
LTJSZIO,X,X,O,X,X,X,X,X,O
LTJSZOI,X,X,O,X,X,X,X,X,O
LTJSOIZ,X,X,O,X,O,X,X,X,O
LTJSOZI,X,X,O,X,O,X,X,X,O
LTJZISO,X,O,X,X,X,X,X,X,X
LTJZIOS,X,O,X,X,X,X,X,X,X
LTJZSIO,X,O,X,X,X,X,X,X,X
LTJZSOI,X,O,X,X,X,X,X,X,X
LTJZOIS,X,O,X,X,X,X,X,X,X
LTJZOSI,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,O,X,O,X,X,X,X
LTJOIZS,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,O,X,X,X,X
LTJOSZI,X,X,O,X,O,X,X,X,X
LTJOZIS,X,O,X,X,X,X,X,X,X
LTJOZSI,X,O,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,O,O
LTSIJOZ,X,X,O,X,O,X,X,X,O
LTSIZJO,O,X,O,O,X,X,X,O,X
LTSIZOJ,O,X,O,O,X,X,X,O,X
LTSIOJZ,X,X,O,X,O,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,X,O,X
LTSJIZO,O,X,O,O,X,X,X,O,O
LTSJIOZ,X,X,O,X,O,X,X,X,O
LTSJZIO,O,X,O,O,X,X,X,O,O
LTSJZOI,O,X,O,O,X,X,X,O,O
LTSJOIZ,X,X,O,X,O,X,X,X,O
LTSJOZI,X,X,O,X,O,X,X,X,O
LTSZIJO,O,X,O,O,X,X,X,O,X
LTSZIOJ,O,X,O,O,X,X,X,O,X
LTSZJIO,O,X,O,O,X,X,X,O,O
LTSZJOI,O,X,O,X,X,X,X,O,O
LTSZOIJ,O,X,O,O,X,X,X,O,X
LTSZOJI,O,X,O,X,X,X,X,O,X
LTSOIJZ,X,X,O,X,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,O,X
LTSOJIZ,X,X,O,X,O,X,X,X,O
LTSOJZI,X,X,O,X,O,X,X,X,O
LTSOZIJ,O,X,O,X,X,X,X,O,X
LTSOZJI,O,X,O,X,X,X,X,O,X
LTZIJSO,O,O,X,X,X,O,X,X,X
LTZIJOS,X,O,X,X,X,O,X,X,X
LTZISJO,O,X,X,O,X,O,X,O,X
LTZISOJ,O,X,X,O,X,O,X,O,X
LTZIOJS,X,O,X,X,X,O,X,X,X
LTZIOSJ,X,X,X,X,X,O,X,O,X
LTZJISO,O,O,X,X,X,O,X,X,X
LTZJIOS,X,O,X,X,X,O,X,X,X
LTZJSIO,O,O,X,X,X,X,X,X,X
