sequence,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oBXrB0rB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oB0rBXrB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFdmBUiBaoB5?oBfsBWwB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFxhBUoBmrBt?qB6tB3rB
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,X
TOSLJZI,O,X,O,X
TOSLZIJ,O,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,O,O,X
TOSJIZL,O,X,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,X,O,X
TOSJZIL,O,X,O,X
TOSJZLI,O,X,O,X
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,X
TOZILJS,O,O,X,X
TOZILSJ,O,O,O,X
TOZIJLS,O,O,X,X
TOZIJSL,X,O,X,X
TOZISLJ,O,O,O,X
TOZISJL,O,O,O,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,O,X
TOZLJIS,O,O,X,X
TOZLJSI,X,O,X,X
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,X
TOZJILS,O,O,X,O
TOZJISL,X,O,X,O
TOZJLIS,O,O,X,O
TOZJLSI,X,O,X,O
TOZJSIL,X,O,X,O
TOZJSLI,X,O,X,O
TOZSILJ,O,O,O,X
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,O,O,O,X
TOZSJLI,O,O,O,X
ITLJSZO,O,X,O,X
ITLJSOZ,O,O,O,X
ITLJZSO,X,O,X,X
ITLJZOS,O,O,X,X
ITLJOSZ,O,O,O,X
ITLJOZS,O,O,X,X
ITLSJZO,O,X,O,X
ITLSJOZ,O,O,O,X
ITLSZJO,O,O,O,X
ITLSZOJ,O,O,O,X
ITLSOJZ,O,O,O,X
ITLSOZJ,O,O,O,X
ITLZJSO,X,O,X,X
ITLZJOS,O,O,X,X
ITLZSJO,O,O,O,X
ITLZSOJ,O,O,O,X
ITLZOJS,O,O,X,X
ITLZOSJ,O,O,O,X
ITLOJSZ,O,O,O,X
ITLOJZS,O,O,X,X
ITLOSJZ,O,O,O,X
ITLOSZJ,O,O,O,X
ITLOZJS,O,O,X,X
ITLOZSJ,O,O,O,X
ITJLSZO,O,X,O,X
ITJLSOZ,O,O,O,X
ITJLZSO,X,O,X,X
ITJLZOS,O,O,X,X
ITJLOSZ,O,O,O,X
ITJLOZS,O,O,X,X
ITJSLZO,O,X,O,X
ITJSLOZ,O,O,O,X
ITJSZLO,O,X,O,X
ITJSZOL,O,X,O,X
ITJSOLZ,O,O,O,X
ITJSOZL,O,X,O,X
ITJZLSO,X,O,X,X
ITJZLOS,O,O,X,X
ITJZSLO,X,O,X,X
ITJZSOL,X,O,X,X
ITJZOLS,O,O,X,X
ITJZOSL,X,O,X,X
ITJOLSZ,O,O,O,X
ITJOLZS,O,O,X,X
ITJOSLZ,O,O,O,X
ITJOSZL,O,X,O,X
ITJOZLS,O,O,X,X
ITJOZSL,X,O,X,X
ITSLJZO,O,X,O,X
ITSLJOZ,O,O,O,X
ITSLZJO,O,O,O,X
ITSLZOJ,O,O,O,X
ITSLOJZ,O,O,O,X
ITSLOZJ,O,O,O,X
ITSJLZO,O,X,O,X
ITSJLOZ,O,O,O,X
