sequence,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFihBziB5oB3?mB0qBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhF8mBziB5oBy?qBlsBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnBxiB6tBU?lBXrBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFliB5oByqBz?mB8sBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8Ke0BJvhF5oB3lBznBi?rBGqBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFxhBTmB/sBF?oB6tB0qB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnB5oBysBU?lBXrBlsB
IZTJOSL,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X
IZTSJOL,O,X,X,X,X,X,X
IZTSOLJ,O,O,X,O,X,X,X
IZTSOJL,O,X,X,X,X,X,X
IZTOLJS,O,O,X,O,X,X,X
IZTOLSJ,O,O,X,O,X,X,X
IZTOJLS,O,O,X,O,X,X,X
IZTOJSL,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,O,X,X,X
IZTOSJL,O,X,X,X,X,X,X
IZLTJSO,O,O,X,X,X,X,X
IZLTJOS,O,O,X,O,X,X,X
IZLTSJO,O,O,X,X,X,X,X
IZLTSOJ,O,O,X,X,O,X,X
IZLTOJS,O,O,X,O,X,X,X
IZLTOSJ,O,O,X,O,O,X,X
IZLJTSO,O,O,X,X,X,X,X
IZLJTOS,O,O,X,O,X,X,X
IZLJSTO,O,O,X,X,X,X,X
IZLJSOT,O,X,X,O,O,X,O
IZLJOTS,X,O,X,O,X,X,X
IZLJOST,X,X,X,O,O,X,X
IZLSTJO,O,O,X,X,X,X,X
IZLSTOJ,O,O,X,X,O,X,X
IZLSJTO,O,O,X,X,X,X,X
IZLSJOT,O,X,X,O,O,X,O
IZLSOTJ,O,X,X,O,O,X,X
IZLSOJT,O,X,X,O,O,X,O
IZLOTJS,X,O,X,O,X,X,X
IZLOTSJ,X,O,X,O,O,X,X
IZLOJTS,X,O,X,O,X,X,X
IZLOJST,X,X,X,O,O,X,X
IZLOSTJ,X,X,X,O,O,X,X
IZLOSJT,X,X,X,O,O,X,X
IZJTLSO,O,O,X,X,X,X,X
IZJTLOS,O,O,X,O,X,X,X
IZJTSLO,O,X,X,X,X,X,X
IZJTSOL,O,X,X,X,X,X,X
IZJTOLS,O,O,X,O,X,X,X
IZJTOSL,O,X,X,X,X,X,X
IZJLTSO,O,O,X,X,X,X,X
IZJLTOS,O,O,X,O,X,X,X
IZJLSTO,O,O,X,X,X,X,X
IZJLSOT,O,X,X,O,X,X,X
IZJLOTS,X,O,X,O,X,X,X
IZJLOST,X,X,X,O,X,X,X
IZJSTLO,O,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,O,X
IZJSLTO,O,X,X,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X
IZJSOTL,O,X,X,X,X,O,X
IZJSOLT,O,X,X,X,X,O,X
IZJOTLS,O,X,X,O,X,X,X
IZJOTSL,O,X,X,X,X,O,X
IZJOLTS,X,X,X,O,X,X,X
IZJOLST,X,X,X,O,X,O,X
IZJOSTL,O,X,X,X,X,O,X
IZJOSLT,O,X,X,X,X,O,X
IZSTLJO,O,O,X,X,X,X,X
IZSTLOJ,O,O,X,X,O,X,X
IZSTJLO,O,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,O,X
IZSTOLJ,O,O,X,O,O,O,X
IZSTOJL,O,X,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,O,X,X
IZSLJTO,O,O,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,O
IZSLOTJ,O,X,X,O,O,X,X
IZSLOJT,O,X,X,O,O,X,O
IZSJTLO,O,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,O,X
IZSJLTO,O,X,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,O
IZSJOTL,O,X,X,X,X,O,X
IZSJOLT,O,X,X,X,O,O,O
IZSOTLJ,O,X,X,O,O,O,X
IZSOTJL,O,X,X,X,X,O,X
IZSOLTJ,O,X,X,O,O,O,X
IZSOLJT,O,X,X,O,O,O,O
IZSOJTL,O,X,X,X,X,O,X
IZSOJLT,O,X,X,X,O,O,O
IZOTLJS,O,O,X,O,X,X,X
IZOTLSJ,O,O,X,O,X,X,X
IZOTJLS,O,O,X,O,X,X,X
IZOTJSL,O,X,X,X,X,O,X
IZOTSLJ,O,O,X,O,X,O,X
IZOTSJL,O,X,X,X,X,O,X
IZOLTJS,X,O,X,O,X,X,X
IZOLTSJ,X,O,X,O,O,X,X
IZOLJTS,X,O,X,O,X,X,X
IZOLJST,X,X,X,O,O,O,X
IZOLSTJ,X,X,X,O,O,O,X
IZOLSJT,X,X,X,O,O,O,X
IZOJTLS,O,X,X,O,X,X,X
IZOJTSL,O,X,X,X,X,O,X
IZOJLTS,X,X,X,O,X,X,X
IZOJLST,X,X,X,O,X,O,X
IZOJSTL,O,X,X,X,X,O,X
IZOJSLT,O,X,X,X,X,O,X
IZOSTLJ,O,X,X,O,O,O,X
IZOSTJL,O,X,X,X,X,O,X
IZOSLTJ,O,X,X,O,O,O,X
IZOSLJT,O,X,X,O,O,O,X
IZOSJTL,O,X,X,X,X,O,X
IZOSJLT,O,X,X,X,O,O,X
IOTLJSZ,O,O,X,X,X,X,X
IOTLJZS,O,O,X,O,X,X,X
IOTLSJZ,O,O,X,X,X,X,X
IOTLSZJ,O,O,X,X,O,X,X
IOTLZJS,O,O,X,O,X,X,X
IOTLZSJ,O,O,X,O,O,X,X
IOTJLSZ,O,O,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,O,X
IOTJSZL,O,X,X,X,X,O,X
IOTJZLS,O,O,X,X,X,X,X
IOTJZSL,O,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,O,X
IOTSLZJ,O,O,X,X,O,X,X
IOTSJLZ,O,X,X,X,X,O,X
IOTSJZL,O,X,X,X,X,O,X
IOTSZLJ,O,O,X,X,O,X,X
IOTSZJL,O,X,X,X,X,O,X
IOTZLJS,O,O,X,O,X,X,X
IOTZLSJ,O,O,X,O,X,X,X
IOTZJLS,O,O,X,O,X,X,X
IOTZJSL,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,O,X,X,X
IOTZSJL,O,X,X,X,X,X,X
IOLTJSZ,X,O,X,X,X,X,X
IOLTJZS,X,O,X,O,X,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,X,O,X,X
IOLTZJS,X,O,X,O,X,X,X
IOLTZSJ,X,O,X,O,O,X,X
IOLJTSZ,X,O,X,X,X,X,X
IOLJTZS,X,O,X,O,X,X,X
IOLJSTZ,X,X,X,X,X,O,O
IOLJSZT,X,X,X,O,O,X,O
IOLJZTS,X,O,X,O,X,X,X
IOLJZST,X,X,X,O,O,X,X
IOLSTJZ,X,X,X,X,X,O,O
IOLSTZJ,X,X,X,X,O,X,X
IOLSJTZ,X,X,X,X,X,O,O
IOLSJZT,X,X,X,O,O,X,O
IOLSZTJ,X,X,X,O,O,X,X
IOLSZJT,X,X,X,O,O,X,O
IOLZTJS,X,O,X,O,X,X,X
IOLZTSJ,X,O,X,O,O,X,X
IOLZJTS,X,O,X,O,X,X,X
IOLZJST,X,X,X,O,O,X,X
IOLZSTJ,X,X,X,O,O,X,X
IOLZSJT,X,X,X,O,O,X,X
IOJTLSZ,O,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,O,X
IOJTSZL,O,X,X,X,X,O,X
IOJTZLS,O,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,X,X
IOJLTZS,X,O,X,O,X,X,X
IOJLSTZ,X,X,X,X,X,O,X
IOJLSZT,X,X,X,O,O,X,X
IOJLZTS,X,O,X,O,X,X,X
IOJLZST,X,X,X,O,O,X,X
IOJSTLZ,O,X,X,X,X,O,X
IOJSTZL,O,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,X,O,X
IOJSLZT,X,X,X,X,O,X,X
IOJSZTL,X,X,X,X,X,O,X
IOJSZLT,X,X,X,X,O,X,X
IOJZTLS,O,X,X,O,X,X,X
IOJZTSL,O,X,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X,X
IOJZLST,X,X,X,O,X,X,X
IOJZSTL,O,X,X,X,X,O,X
IOJZSLT,O,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,O,O
IOSTLZJ,O,X,X,X,O,X,X
IOSTJLZ,O,X,X,X,X,O,O
IOSTJZL,O,X,X,X,X,O,X
IOSTZLJ,O,X,X,X,O,X,X
IOSTZJL,O,X,X,X,X,O,X
IOSLTJZ,O,X,X,X,X,O,O
IOSLTZJ,O,X,X,X,O,X,X
IOSLJTZ,O,X,X,X,X,O,O
IOSLJZT,X,X,X,O,O,X,O
IOSLZTJ,X,X,X,O,O,X,X
IOSLZJT,X,X,X,O,O,X,O
IOSJTLZ,O,X,X,X,X,O,O
IOSJTZL,O,X,X,X,X,O,X
IOSJLTZ,O,X,X,X,X,O,O
IOSJLZT,X,X,X,X,O,X,O
IOSJZTL,X,X,X,X,X,O,X
IOSJZLT,X,X,X,X,O,X,O
IOSZTLJ,O,X,X,O,O,X,X
IOSZTJL,O,X,X,X,X,O,X
IOSZLTJ,O,X,X,O,O,X,X
IOSZLJT,O,X,X,O,O,X,O
IOSZJTL,O,X,X,X,X,O,X
IOSZJLT,O,X,X,X,O,X,O
IOZTLJS,O,O,X,O,X,X,X
IOZTLSJ,O,O,X,O,X,X,X
IOZTJLS,O,O,X,O,X,X,X
IOZTJSL,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,O,X,X,X
IOZTSJL,O,X,X,X,X,X,X
IOZLTJS,X,O,X,O,X,X,X
IOZLTSJ,X,O,X,O,O,X,X
IOZLJTS,X,O,X,O,X,X,X
IOZLJST,X,X,X,O,O,X,X
IOZLSTJ,X,X,X,O,O,X,X
IOZLSJT,X,X,X,O,O,X,X
IOZJTLS,O,X,X,O,X,X,X
IOZJTSL,O,X,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X
IOZJLST,X,X,X,O,X,X,X
IOZJSTL,O,X,X,X,X,O,X
IOZJSLT,O,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,O,X,X
IOZSTJL,O,X,X,X,X,O,X
IOZSLTJ,O,X,X,O,O,X,X
IOZSLJT,O,X,X,O,O,X,X
IOZSJTL,O,X,X,X,X,O,X
IOZSJLT,O,X,X,X,O,X,X
LTIJSZO,O,O,O,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,O
LTIJZSO,O,O,O,X,X,X,X
LTIJZOS,O,O,X,O,X,X,X
LTIJOSZ,O,O,O,X,X,X,X
LTIJOZS,O,O,X,O,X,X,X
LTISJZO,O,O,O,X,X,X,X
LTISJOZ,O,O,O,X,X,X,O
LTISZJO,O,O,O,X,X,X,X
LTISZOJ,O,O,O,X,O,X,X
LTISOJZ,O,O,O,X,X,X,O
LTISOZJ,O,O,O,X,O,X,X
LTIZJSO,O,O,O,X,X,X,X
LTIZJOS,O,O,X,O,X,X,X
LTIZSJO,O,O,O,X,X,X,X
LTIZSOJ,O,O,O,X,O,X,X
LTIZOJS,O,O,X,O,X,X,X
LTIZOSJ,O,O,X,O,O,X,X
LTIOJSZ,O,O,O,X,X,X,X
LTIOJZS,O,O,X,O,X,X,X
LTIOSJZ,O,O,O,X,X,X,X
LTIOSZJ,O,O,O,X,O,X,X
LTIOZJS,O,O,X,O,X,X,X
LTIOZSJ,O,O,X,O,O,X,X
LTJISZO,O,O,O,X,X,X,X
LTJISOZ,O,O,O,X,X,X,O
LTJIZSO,O,O,O,X,X,X,X
LTJIZOS,O,O,X,O,X,X,X
LTJIOSZ,O,O,O,X,X,X,X
LTJIOZS,O,O,X,O,X,X,X
LTJSIZO,O,O,O,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,O
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,O
LTJSOZI,O,O,O,X,X,X,X
LTJZISO,O,O,O,X,X,X,X
LTJZIOS,O,O,X,O,X,X,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,O,X,O,X,X,X
LTJZOSI,O,O,X,O,X,X,X
LTJOISZ,O,O,O,X,X,X,X
LTJOIZS,O,O,X,O,X,X,X
LTJOSIZ,O,O,O,X,X,X,X
LTJOSZI,O,O,O,X,X,X,X
LTJOZIS,O,O,X,O,X,X,X
LTJOZSI,O,O,X,O,X,X,X
LTSIJZO,O,O,O,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,O
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,O,X,X
LTSIOJZ,O,O,O,X,X,X,O
LTSIOZJ,O,O,O,X,O,X,X
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,O
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X
LTSJOIZ,O,O,O,X,X,X,O
LTSJOZI,O,O,O,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,O,X,X
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X
LTSZOIJ,O,O,O,X,O,X,X
LTSZOJI,O,O,O,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,O
LTSOIZJ,O,O,O,X,O,X,X
LTSOJIZ,O,O,O,X,X,X,O
LTSOJZI,O,O,O,X,X,X,X
LTSOZIJ,O,O,O,X,O,X,X
LTSOZJI,O,O,O,X,X,X,X
LTZIJSO,O,O,O,X,X,X,X
LTZIJOS,O,O,X,O,X,X,X
LTZISJO,O,O,O,X,X,X,X
LTZISOJ,O,O,O,X,O,X,X
LTZIOJS,O,O,X,O,X,X,X
LTZIOSJ,O,O,X,O,O,X,X
LTZJISO,O,O,O,X,X,X,X
LTZJIOS,O,O,X,O,X,X,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X
LTZJOIS,O,O,X,O,X,X,X
LTZJOSI,O,O,X,O,X,X,X
LTZSIJO,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,X,O,X,X
LTZSJIO,O,O,O,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X
LTZSOIJ,O,O,O,X,O,X,X
LTZSOJI,O,O,O,X,X,X,X
LTZOIJS,O,O,X,O,X,X,X
LTZOISJ,O,O,X,O,O,X,X
LTZOJIS,O,O,X,O,X,X,X
LTZOJSI,O,O,X,O,X,X,X
LTZOSIJ,O,O,X,O,O,X,X
LTZOSJI,O,O,X,O,X,X,X
LTOIJSZ,O,O,O,X,X,X,X
LTOIJZS,O,O,X,O,X,X,X
LTOISJZ,O,O,O,X,X,X,X
LTOISZJ,O,O,O,X,O,X,X
LTOIZJS,O,O,X,O,X,X,X
LTOIZSJ,O,O,X,O,O,X,X
LTOJISZ,O,O,O,X,X,X,X
LTOJIZS,O,O,X,O,X,X,X
LTOJSIZ,O,O,O,X,X,X,X
LTOJSZI,O,O,O,X,X,X,X
LTOJZIS,O,O,X,O,X,X,X
LTOJZSI,O,O,X,O,X,X,X
LTOSIJZ,O,O,O,X,X,X,X
LTOSIZJ,O,O,O,X,O,X,X
LTOSJIZ,O,O,O,X,X,X,X
LTOSJZI,O,O,O,X,X,X,X
LTOSZIJ,O,O,O,X,O,X,X
LTOSZJI,O,O,O,X,X,X,X
LTOZIJS,O,O,X,O,X,X,X
LTOZISJ,O,O,X,O,O,X,X
LTOZJIS,O,O,X,O,X,X,X
LTOZJSI,O,O,X,O,X,X,X
LTOZSIJ,O,O,X,O,O,X,X
LTOZSJI,O,O,X,O,X,X,X
LITJSZO,O,O,O,X,X,X,X
LITJSOZ,O,O,O,X,X,X,O
LITJZSO,O,O,O,X,X,X,X
LITJZOS,O,O,X,O,X,X,X
LITJOSZ,O,O,O,X,X,X,X
LITJOZS,O,O,X,O,X,X,X
LITSJZO,O,O,O,X,X,X,X
LITSJOZ,O,O,O,X,X,X,O
LITSZJO,O,O,O,X,X,X,X
LITSZOJ,O,O,O,X,O,X,X
LITSOJZ,O,O,O,X,X,X,O
LITSOZJ,O,O,O,X,O,X,X
LITZJSO,O,O,O,X,X,X,X
LITZJOS,O,O,X,O,X,X,X
LITZSJO,O,O,O,X,X,X,X
LITZSOJ,O,O,O,X,O,X,X
LITZOJS,O,O,X,O,X,X,X
LITZOSJ,O,O,X,O,O,X,X
LITOJSZ,O,O,O,X,X,X,X
LITOJZS,O,O,X,O,X,X,X
LITOSJZ,O,O,O,X,X,X,X
LITOSZJ,O,O,O,X,O,X,X
LITOZJS,O,O,X,O,X,X,X
LITOZSJ,O,O,X,O,O,X,X
LIJTSZO,O,O,O,X,X,X,X
LIJTSOZ,O,O,O,X,X,X,O
LIJTZSO,O,O,O,X,X,X,X
LIJTZOS,O,O,X,O,X,X,X
LIJTOSZ,O,O,O,X,X,X,X
LIJTOZS,O,O,X,O,X,X,X
LIJSTZO,O,O,X,X,X,X,X
LIJSTOZ,O,O,O,X,X,X,O
LIJSZTO,O,O,X,X,X,X,X
LIJSZOT,X,X,O,O,O,X,O
LIJSOTZ,O,X,O,X,X,X,O
LIJSOZT,X,X,O,O,O,X,O
LIJZTSO,O,O,X,X,X,X,X
LIJZTOS,O,O,X,O,X,X,X
LIJZSTO,O,O,X,X,X,X,X
LIJZSOT,O,X,X,O,O,X,O
LIJZOTS,X,O,X,O,X,X,X
LIJZOST,X,X,X,O,O,X,X
LIJOTSZ,X,O,X,X,X,X,X
LIJOTZS,X,O,X,O,X,X,X
LIJOSTZ,X,X,X,X,X,X,O
LIJOSZT,X,X,X,O,O,X,O
LIJOZTS,X,O,X,O,X,X,X
LIJOZST,X,X,X,O,O,X,X
LISTJZO,O,O,O,X,X,X,X
LISTJOZ,O,O,O,X,X,X,O
LISTZJO,O,O,O,X,X,X,X
LISTZOJ,O,O,O,X,O,X,X
LISTOJZ,O,O,O,X,X,X,O
LISTOZJ,O,O,O,X,O,X,X
LISJTZO,O,O,X,X,X,X,X
LISJTOZ,O,O,O,X,X,X,O
LISJZTO,O,O,X,X,X,X,X
LISJZOT,X,X,O,O,O,X,O
LISJOTZ,O,X,O,X,X,X,O
LISJOZT,X,X,O,O,O,X,O
LISZTJO,O,O,X,X,X,X,X
LISZTOJ,O,O,X,X,O,X,X
LISZJTO,O,O,X,X,X,X,X
LISZJOT,O,X,O,O,O,X,O
LISZOTJ,O,X,X,O,O,X,X
LISZOJT,O,X,O,O,O,X,O
LISOTJZ,O,X,O,X,X,X,O
LISOTZJ,O,X,O,X,O,X,X
LISOJTZ,O,X,O,X,X,X,O
LISOJZT,X,X,O,O,O,X,O
LISOZTJ,X,X,X,O,O,X,X
LISOZJT,X,X,O,O,O,X,O
LIZTJSO,O,O,O,X,X,X,X
LIZTJOS,O,O,X,O,X,X,X
LIZTSJO,O,O,O,X,X,X,X
LIZTSOJ,O,O,O,X,O,X,X
LIZTOJS,O,O,X,O,X,X,X
LIZTOSJ,O,O,X,O,O,X,X
LIZJTSO,O,O,X,X,X,X,X
LIZJTOS,O,O,X,O,X,X,X
LIZJSTO,O,O,X,X,X,X,X
LIZJSOT,O,X,X,O,O,X,O
LIZJOTS,X,O,X,O,X,X,X
LIZJOST,X,X,X,O,O,X,X
LIZSTJO,O,O,X,X,X,X,X
LIZSTOJ,O,O,X,X,O,X,X
LIZSJTO,O,O,X,X,X,X,X
LIZSJOT,O,X,O,O,O,X,O
LIZSOTJ,O,X,X,O,O,X,X
LIZSOJT,O,X,O,O,O,X,O
LIZOTJS,X,O,X,O,X,X,X
LIZOTSJ,X,O,X,O,O,X,X
LIZOJTS,X,O,X,O,X,X,X
LIZOJST,X,X,X,O,O,X,X
LIZOSTJ,X,X,X,O,O,X,X
LIZOSJT,X,X,X,O,O,X,X
LIOTJSZ,X,O,O,X,X,X,X
LIOTJZS,X,O,X,O,X,X,X
LIOTSJZ,X,O,O,X,X,X,X
LIOTSZJ,X,O,O,X,O,X,X
LIOTZJS,X,O,X,O,X,X,X
LIOTZSJ,X,O,X,O,O,X,X
LIOJTSZ,X,O,X,X,X,X,X
LIOJTZS,X,O,X,O,X,X,X
LIOJSTZ,X,X,X,X,X,X,O
LIOJSZT,X,X,X,O,O,X,O
LIOJZTS,X,O,X,O,X,X,X
LIOJZST,X,X,X,O,O,X,X
LIOSTJZ,X,X,O,X,X,X,O
LIOSTZJ,X,X,X,X,O,X,X
LIOSJTZ,X,X,O,X,X,X,O
LIOSJZT,X,X,O,O,O,X,O
LIOSZTJ,X,X,X,O,O,X,X
LIOSZJT,X,X,O,O,O,X,O
LIOZTJS,X,O,X,O,X,X,X
LIOZTSJ,X,O,X,O,O,X,X
LIOZJTS,X,O,X,O,X,X,X
LIOZJST,X,X,X,O,O,X,X
LIOZSTJ,X,X,X,O,O,X,X
LIOZSJT,X,X,X,O,O,X,X
LJTISZO,O,O,O,X,X,X,X
LJTISOZ,O,O,O,X,X,X,O
LJTIZSO,O,O,O,X,X,X,X
LJTIZOS,O,O,X,O,X,X,X
LJTIOSZ,O,O,O,X,X,X,X
LJTIOZS,O,O,X,O,X,X,X
LJTSIZO,O,O,O,X,X,X,X
LJTSIOZ,O,O,O,X,X,X,O
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,O,X,X,X,X
LJTSOIZ,O,O,O,X,X,X,O
LJTSOZI,O,O,O,X,X,X,X
LJTZISO,O,O,O,X,X,X,X
LJTZIOS,O,O,X,O,X,X,X
LJTZSIO,O,O,O,X,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,O,O,X,O,X,X,X
LJTZOSI,O,O,X,O,X,X,X
LJTOISZ,O,O,O,X,X,X,X
LJTOIZS,O,O,X,O,X,X,X
LJTOSIZ,O,O,O,X,X,X,X
LJTOSZI,O,O,O,X,X,X,X
LJTOZIS,O,O,X,O,X,X,X
LJTOZSI,O,O,X,O,X,X,X
LJITSZO,O,O,O,X,X,X,X
LJITSOZ,O,O,O,X,X,X,O
LJITZSO,O,O,O,X,X,X,X
LJITZOS,O,O,X,O,X,X,X
LJITOSZ,O,O,O,X,X,X,X
LJITOZS,O,O,X,O,X,X,X
LJISTZO,O,O,X,X,X,X,X
LJISTOZ,O,O,O,X,X,X,O
LJISZTO,O,O,X,X,X,X,X
LJISZOT,X,X,O,O,O,X,O
LJISOTZ,O,X,O,X,X,X,O
LJISOZT,X,X,O,O,O,X,O
LJIZTSO,O,O,X,X,X,X,X
LJIZTOS,O,O,X,O,X,X,X
LJIZSTO,O,O,X,X,X,X,X
LJIZSOT,O,X,X,O,O,X,O
LJIZOTS,X,O,X,O,X,X,X
LJIZOST,X,X,X,O,O,X,X
LJIOTSZ,X,O,X,X,X,X,X
LJIOTZS,X,O,X,O,X,X,X
LJIOSTZ,X,X,X,X,X,X,O
LJIOSZT,X,X,X,O,O,X,O
LJIOZTS,X,O,X,O,X,X,X
LJIOZST,X,X,X,O,O,X,X
LJSTIZO,O,O,O,X,X,X,X
LJSTIOZ,O,O,O,X,X,X,O
LJSTZIO,O,O,O,X,X,X,X
LJSTZOI,O,O,O,X,X,O,X
LJSTOIZ,O,O,O,X,X,O,O
LJSTOZI,O,O,O,X,X,O,X
LJSITZO,O,O,X,X,X,X,X
LJSITOZ,O,O,O,X,X,X,O
LJSIZTO,O,O,X,X,X,X,X
LJSIZOT,X,X,O,O,O,X,O
LJSIOTZ,O,X,O,X,X,X,O
LJSIOZT,X,X,O,O,O,X,O
LJSZTIO,O,O,X,X,X,X,X
LJSZTOI,O,O,X,X,X,O,X
LJSZITO,O,O,X,X,X,X,X
LJSZIOT,X,X,O,O,O,X,O
LJSZOTI,X,X,O,O,X,O,X
LJSZOIT,X,X,O,O,O,O,O
LJSOTIZ,O,X,O,X,X,O,O
LJSOTZI,O,X,O,X,X,O,X
LJSOITZ,O,X,O,X,X,O,O
LJSOIZT,X,X,O,O,O,X,O
LJSOZTI,X,X,O,O,X,X,X
LJSOZIT,X,X,O,O,O,X,O
LJZTISO,O,O,X,X,X,X,X
LJZTIOS,O,O,X,O,X,X,X
LJZTSIO,O,O,X,X,X,X,X
LJZTSOI,O,O,X,X,X,X,X
LJZTOIS,O,O,X,O,X,X,X
LJZTOSI,O,O,X,O,X,X,X
LJZITSO,O,O,X,X,X,X,X
LJZITOS,O,O,X,O,X,X,X
LJZISTO,O,O,X,X,X,X,X
LJZISOT,O,X,X,O,O,X,O
LJZIOTS,X,O,X,O,X,X,X
LJZIOST,X,X,X,O,O,X,X
LJZSTIO,O,O,X,X,X,X,X
LJZSTOI,O,O,X,X,X,O,X
LJZSITO,O,O,X,X,X,X,X
LJZSIOT,O,X,X,O,O,X,O
LJZSOTI,O,X,X,O,X,O,X
LJZSOIT,O,X,X,O,O,O,O
LJZOTIS,X,O,X,O,X,X,X
LJZOTSI,X,O,X,O,X,X,X
LJZOITS,X,O,X,O,X,X,X
LJZOIST,X,X,X,O,O,O,X
LJZOSTI,X,X,X,O,X,O,X
LJZOSIT,X,X,X,O,O,O,X
LJOTISZ,X,O,X,X,X,X,X
LJOTIZS,X,O,X,O,X,X,X
LJOTSIZ,X,O,X,X,X,X,X
LJOTSZI,X,O,X,X,X,X,X
LJOTZIS,X,O,X,O,X,X,X
LJOTZSI,X,O,X,O,X,X,X
LJOITSZ,X,O,X,X,X,X,X
LJOITZS,X,O,X,O,X,X,X
LJOISTZ,X,X,X,X,X,O,O
LJOISZT,X,X,X,O,O,X,O
LJOIZTS,X,O,X,O,X,X,X
LJOIZST,X,X,X,O,O,X,X
LJOSTIZ,X,X,X,X,X,O,O
LJOSTZI,X,X,X,X,X,O,X
LJOSITZ,X,X,X,X,X,O,O
LJOSIZT,X,X,X,O,O,X,O
LJOSZTI,X,X,X,O,X,X,X
LJOSZIT,X,X,X,O,O,X,O
LJOZTIS,X,O,X,O,X,X,X
LJOZTSI,X,O,X,O,X,X,X
LJOZITS,X,O,X,O,X,X,X
LJOZIST,X,X,X,O,O,X,X
LJOZSTI,X,X,X,O,X,X,X
LJOZSIT,X,X,X,O,O,X,X
LSTIJZO,O,O,O,X,X,X,X
LSTIJOZ,O,O,O,X,X,X,O
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,X,O,X,X
LSTIOJZ,O,O,O,X,X,X,O
LSTIOZJ,O,O,O,X,O,X,X
LSTJIZO,O,O,O,X,X,X,X
LSTJIOZ,O,O,O,X,X,X,O
LSTJZIO,O,O,O,X,X,X,X
LSTJZOI,O,O,O,X,X,O,X
LSTJOIZ,O,O,O,X,X,O,O
LSTJOZI,O,O,O,X,X,O,X
LSTZIJO,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,O,X,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,X,O,X
LSTZOIJ,O,O,O,X,O,O,X
LSTZOJI,O,O,O,X,X,O,X
LSTOIJZ,O,O,O,X,X,O,O
LSTOIZJ,O,O,O,X,O,X,X
LSTOJIZ,O,O,O,X,X,O,O
LSTOJZI,O,O,O,X,X,O,X
LSTOZIJ,O,O,O,X,O,X,X
LSTOZJI,O,O,O,X,X,X,X
LSITJZO,O,O,O,X,X,X,X
LSITJOZ,O,O,O,X,X,X,O
