sequence,v115@9gB8HeB8HeA8HeE8DeB8JeTAJvhFihBGjB8sBRqB3r?BFsB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFXiBTjBUmB1sBCm?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFRhBqnBTjBfrBUs?BlrB,v115@9gB8HeB8HeA8HeE8DeB8JeiAJvhFGiBTjB8rBRqB3s?BFrB,v115@9gB8HeB8HeA8HeE8DeB8JemAJvhFTjBXlBSrB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFqlB/mBTjB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeqHJvhFTjBVqBRmBmlBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeSIJvhFVqBRmBmlBznBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeGDJvhFXlBxmB8sBllBas?BTrB
IJSLZOT,O,X,O,O,O,O,X,X,X
IJSLOTZ,O,X,O,O,O,O,X,X,X
IJSLOZT,O,X,O,O,O,O,X,X,X
IJSZTLO,O,O,O,O,X,X,X,X,O
IJSZTOL,O,O,X,O,X,X,X,X,O
IJSZLTO,O,X,O,O,O,O,X,X,O
IJSZLOT,O,X,O,O,O,O,X,X,O
IJSZOTL,O,X,X,O,X,X,X,X,O
IJSZOLT,O,X,O,O,O,O,X,X,O
IJSOTLZ,O,O,X,O,O,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,O,O,O,O,X,X,X
IJSOLZT,O,X,O,O,O,O,X,X,X
IJSOZTL,O,X,X,O,X,X,X,X,O
IJSOZLT,O,X,O,O,O,O,X,X,O
IJZTLSO,X,O,X,X,X,O,X,X,X
IJZTLOS,O,O,X,X,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X,O
IJZTSOL,O,O,X,X,X,X,X,X,O
IJZTOLS,O,O,X,X,X,O,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,O,X,X,X
IJZLTOS,O,O,X,X,X,O,X,X,X
IJZLSTO,O,X,O,X,X,O,X,X,O
IJZLSOT,O,X,O,X,X,O,X,X,O
IJZLOTS,O,X,X,X,X,O,X,X,X
IJZLOST,O,X,O,X,X,O,X,X,X
IJZSTLO,O,O,O,X,X,X,X,X,O
IJZSTOL,O,O,X,X,X,X,X,X,O
IJZSLTO,O,X,O,X,O,O,X,X,O
IJZSLOT,O,X,O,X,O,O,X,X,O
IJZSOTL,O,X,X,X,X,X,X,X,O
IJZSOLT,O,X,O,X,O,O,X,X,O
IJZOTLS,O,O,X,X,X,O,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X,O
IJZOLTS,O,X,X,X,X,O,X,X,X
IJZOLST,O,X,O,X,X,O,X,X,O
IJZOSTL,O,X,X,X,X,X,X,X,O
IJZOSLT,O,X,O,X,O,O,X,X,O
IJOTLSZ,O,O,X,X,X,O,X,X,X
IJOTLZS,O,O,X,X,X,O,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,O,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,O,X,X,X
IJOLTZS,O,O,X,X,X,O,X,X,X
IJOLSTZ,O,X,O,O,X,O,X,X,X
IJOLSZT,O,X,O,O,X,O,X,X,X
IJOLZTS,O,X,X,X,X,O,X,X,X
IJOLZST,O,X,O,X,X,O,X,X,X
IJOSTLZ,O,O,X,O,O,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X,X
IJOSLTZ,O,X,O,O,O,O,X,X,X
IJOSLZT,O,X,O,O,O,O,X,X,X
IJOSZTL,O,X,X,O,X,X,X,X,O
IJOSZLT,O,X,O,O,O,O,X,X,O
IJOZTLS,O,O,X,X,X,O,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X,O
IJOZLTS,O,X,X,X,X,O,X,X,X
IJOZLST,O,X,O,X,X,O,X,X,O
IJOZSTL,O,X,X,X,X,X,X,X,O
IJOZSLT,O,X,O,X,O,O,X,X,O
ISTLJZO,X,O,X,X,O,X,X,X,X
ISTLJOZ,O,O,X,O,O,X,X,X,X
ISTLZJO,O,O,X,O,O,X,X,X,X
ISTLZOJ,O,O,X,O,O,X,X,X,X
ISTLOJZ,O,O,X,O,O,X,X,X,X
ISTLOZJ,O,O,X,O,O,X,X,X,X
ISTJLZO,X,O,X,X,O,X,X,X,X
ISTJLOZ,O,O,X,O,O,X,X,X,X
ISTJZLO,X,O,X,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,O,O,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X,X
ISTZLJO,O,O,X,O,O,X,X,X,X
ISTZLOJ,O,O,X,O,O,X,X,X,X
ISTZJLO,O,O,X,O,X,X,X,X,X
ISTZJOL,O,O,X,O,X,X,X,X,X
ISTZOLJ,O,O,X,O,O,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X,X
ISTOLJZ,O,O,X,O,O,X,X,X,X
ISTOLZJ,O,O,X,O,O,X,X,X,X
ISTOJLZ,O,O,X,O,O,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X
ISTOZLJ,O,O,X,O,O,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,X,X,X
ISLTJOZ,O,X,X,O,O,X,X,X,X
ISLTZJO,O,X,X,O,O,X,X,X,X
ISLTZOJ,O,X,X,O,O,X,X,X,X
ISLTOJZ,O,X,X,O,O,X,X,X,X
ISLTOZJ,O,X,X,O,O,X,X,X,X
ISLJTZO,X,X,X,X,O,X,X,X,X
ISLJTOZ,O,X,O,O,O,X,X,X,X
ISLJZTO,O,X,O,O,O,X,X,X,X
ISLJZOT,O,X,O,O,O,X,X,X,X
ISLJOTZ,O,X,O,O,O,X,X,X,X
ISLJOZT,O,X,O,O,O,X,X,X,X
ISLZTJO,O,X,X,O,O,X,X,X,X
ISLZTOJ,O,X,X,O,O,X,X,X,X
ISLZJTO,O,X,O,O,O,X,X,X,X
ISLZJOT,O,X,O,O,O,X,X,X,X
ISLZOTJ,O,X,X,O,O,X,X,X,X
ISLZOJT,O,X,O,O,O,X,X,X,X
ISLOTJZ,O,X,X,O,O,X,X,X,X
ISLOTZJ,O,X,X,O,O,X,X,X,X
ISLOJTZ,O,X,O,O,O,X,X,X,X
ISLOJZT,O,X,O,O,O,X,X,X,X
ISLOZTJ,O,X,X,O,O,X,X,X,X
ISLOZJT,O,X,O,O,O,X,X,X,X
ISJTLZO,X,O,X,X,O,X,X,X,X
ISJTLOZ,O,O,O,O,O,X,X,X,X
ISJTZLO,X,O,O,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,O,O,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,O,O,X,X,X
ISJLTOZ,O,X,O,O,O,O,X,X,X
ISJLZTO,O,X,O,O,O,O,X,X,X
ISJLZOT,O,X,O,O,O,O,X,X,X
ISJLOTZ,O,X,O,O,O,O,X,X,X
ISJLOZT,O,X,O,O,O,O,X,X,X
ISJZTLO,O,O,O,O,X,X,X,X,O
ISJZTOL,O,O,X,O,X,X,X,X,O
ISJZLTO,O,X,O,O,O,O,X,X,O
ISJZLOT,O,X,O,O,O,O,X,X,O
ISJZOTL,O,X,X,O,X,X,X,X,O
ISJZOLT,O,X,O,O,O,O,X,X,O
ISJOTLZ,O,O,X,O,O,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,O,O,O,O,X,X,X
ISJOLZT,O,X,O,O,O,O,X,X,X
ISJOZTL,O,X,X,O,X,X,X,X,O
ISJOZLT,O,X,O,O,O,O,X,X,O
ISZTLJO,O,O,X,O,O,X,X,X,X
ISZTLOJ,O,O,X,O,O,X,X,X,X
ISZTJLO,O,O,X,O,X,X,X,X,O
ISZTJOL,O,O,X,O,X,X,X,X,O
ISZTOLJ,O,O,X,O,O,X,X,X,X
ISZTOJL,O,O,X,O,X,X,X,X,X
ISZLTJO,O,X,X,O,O,X,X,X,X
ISZLTOJ,O,X,X,O,O,X,X,X,X
ISZLJTO,O,X,O,O,O,X,X,X,O
ISZLJOT,O,X,O,O,O,X,X,X,O
ISZLOTJ,O,X,X,O,O,X,X,X,X
ISZLOJT,O,X,O,O,O,X,X,X,X
ISZJTLO,O,O,O,O,X,X,X,X,O
ISZJTOL,O,O,X,O,X,X,X,X,O
ISZJLTO,O,X,O,O,O,O,X,X,O
ISZJLOT,O,X,O,O,O,O,X,X,O
ISZJOTL,O,X,X,O,X,X,X,X,O
ISZJOLT,O,X,O,O,O,O,X,X,O
ISZOTLJ,O,X,X,O,O,X,X,X,X
ISZOTJL,O,X,X,O,X,X,X,X,O
ISZOLTJ,O,X,X,O,O,X,X,X,X
ISZOLJT,O,X,O,O,O,X,X,X,O
ISZOJTL,O,X,X,O,X,X,X,X,O
ISZOJLT,O,X,O,O,O,O,X,X,O
ISOTLJZ,O,O,X,O,O,X,X,X,X
ISOTLZJ,O,O,X,O,O,X,X,X,X
ISOTJLZ,O,O,X,O,O,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,X
ISOTZLJ,O,O,X,O,O,X,X,X,X
ISOTZJL,O,O,X,O,X,X,X,X,X
ISOLTJZ,O,X,X,O,O,X,X,X,X
ISOLTZJ,O,X,X,O,O,X,X,X,X
ISOLJTZ,O,X,O,O,O,X,X,X,X
ISOLJZT,O,X,O,O,O,X,X,X,X
ISOLZTJ,O,X,X,O,O,X,X,X,X
ISOLZJT,O,X,O,O,O,X,X,X,X
ISOJTLZ,O,O,X,O,O,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,O,O,O,O,X,X,X
ISOJLZT,O,X,O,O,O,O,X,X,X
ISOJZTL,O,X,X,O,X,X,X,X,O
ISOJZLT,O,X,O,O,O,O,X,X,O
ISOZTLJ,O,X,X,O,O,X,X,X,X
ISOZTJL,O,X,X,O,X,X,X,X,O
ISOZLTJ,O,X,X,O,O,X,X,X,X
ISOZLJT,O,X,O,O,O,X,X,X,O
ISOZJTL,O,X,X,O,X,X,X,X,O
ISOZJLT,O,X,O,O,O,O,X,X,O
IZTLJSO,X,O,X,X,X,X,X,O,X
IZTLJOS,O,O,X,X,X,X,O,O,X
IZTLSJO,X,O,X,X,X,X,X,O,X
IZTLSOJ,X,O,X,X,X,X,O,O,X
IZTLOJS,O,O,X,X,X,X,O,O,X
IZTLOSJ,X,O,X,X,X,X,O,O,X
IZTJLSO,X,O,X,X,X,O,X,O,X
IZTJLOS,O,O,X,X,X,O,O,O,X
IZTJSLO,O,O,X,X,X,X,X,X,O
IZTJSOL,O,O,X,X,X,X,X,X,O
IZTJOLS,O,O,X,X,X,O,O,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,O,X,X,O,X
IZTSLOJ,O,O,X,X,O,X,O,O,X
IZTSJLO,O,O,X,X,X,X,X,X,O
IZTSJOL,O,O,X,X,X,X,X,X,O
IZTSOLJ,O,O,X,X,O,X,O,X,X
IZTSOJL,O,O,X,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,O,O,X
IZTOLSJ,X,O,X,X,X,X,O,O,X
IZTOJLS,O,O,X,X,X,O,O,X,X
IZTOJSL,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,O,X,O,X,X
IZTOSJL,O,O,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,O,X
IZLTJOS,O,O,X,X,X,X,O,O,X
IZLTSJO,X,O,X,X,X,X,X,O,X
IZLTSOJ,X,O,X,X,X,X,O,O,X
IZLTOJS,O,O,X,X,X,X,O,O,X
IZLTOSJ,X,O,X,X,X,X,O,O,X
IZLJTSO,X,O,X,X,X,O,X,X,X
IZLJTOS,O,O,X,X,X,O,X,X,X
IZLJSTO,O,X,O,X,X,O,X,X,O
IZLJSOT,O,X,O,X,X,O,X,X,O
IZLJOTS,O,X,X,X,X,O,X,X,X
IZLJOST,O,X,O,X,X,O,X,X,X
IZLSTJO,O,X,X,O,O,X,X,X,X
IZLSTOJ,O,X,X,O,O,X,X,X,X
IZLSJTO,O,X,O,O,O,X,X,X,O
IZLSJOT,O,X,O,O,O,X,X,X,O
IZLSOTJ,O,X,X,O,O,X,X,X,X
IZLSOJT,O,X,O,O,O,X,X,X,X
IZLOTJS,O,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,X,X,O,X,X
IZLOJTS,O,X,X,X,X,O,X,X,X
IZLOJST,O,X,O,X,X,O,X,X,X
IZLOSTJ,O,X,X,O,O,X,X,X,X
IZLOSJT,O,X,O,O,O,X,X,X,X
IZJTLSO,X,O,X,X,X,O,X,X,X
IZJTLOS,O,O,X,X,X,O,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,O
IZJTSOL,O,O,X,X,X,X,X,X,O
IZJTOLS,O,O,X,X,X,O,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,O,X,X,X
IZJLTOS,O,O,X,X,X,O,X,X,X
IZJLSTO,O,X,O,X,X,O,X,X,O
IZJLSOT,O,X,O,X,X,O,X,X,O
IZJLOTS,O,X,X,X,X,O,X,X,X
IZJLOST,O,X,O,X,X,O,X,X,X
IZJSTLO,O,O,O,X,X,X,X,X,O
IZJSTOL,O,O,X,X,X,X,X,X,O
IZJSLTO,O,X,O,X,O,O,X,X,O
IZJSLOT,O,X,O,X,O,O,X,X,O
IZJSOTL,O,X,X,X,X,X,X,X,O
IZJSOLT,O,X,O,X,O,O,X,X,O
IZJOTLS,O,O,X,X,X,O,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X,O
IZJOLTS,O,X,X,X,X,O,X,X,X
IZJOLST,O,X,O,X,X,O,X,X,O
IZJOSTL,O,X,X,X,X,X,X,X,O
IZJOSLT,O,X,O,X,O,O,X,X,O
IZSTLJO,O,O,X,O,O,X,X,X,X
IZSTLOJ,O,O,X,O,O,X,X,X,X
IZSTJLO,O,O,X,O,X,X,X,X,O
IZSTJOL,O,O,X,O,X,X,X,X,O
IZSTOLJ,O,O,X,O,O,X,X,X,X
IZSTOJL,O,O,X,O,X,X,X,X,X
IZSLTJO,O,X,X,O,O,X,X,X,X
IZSLTOJ,O,X,X,O,O,X,X,X,X
IZSLJTO,O,X,O,O,O,X,X,X,O
IZSLJOT,O,X,O,O,O,X,X,X,O
IZSLOTJ,O,X,X,O,O,X,X,X,X
IZSLOJT,O,X,O,O,O,X,X,X,X
IZSJTLO,O,O,O,O,X,X,X,X,O
IZSJTOL,O,O,X,O,X,X,X,X,O
IZSJLTO,O,X,O,O,O,O,X,X,O
IZSJLOT,O,X,O,O,O,O,X,X,O
IZSJOTL,O,X,X,O,X,X,X,X,O
IZSJOLT,O,X,O,O,O,O,X,X,O
IZSOTLJ,O,X,X,O,O,X,X,X,X
IZSOTJL,O,X,X,O,X,X,X,X,O
IZSOLTJ,O,X,X,O,O,X,X,X,X
IZSOLJT,O,X,O,O,O,X,X,X,O
IZSOJTL,O,X,X,O,X,X,X,X,O
IZSOJLT,O,X,O,O,O,O,X,X,O
IZOTLJS,O,O,X,X,X,X,O,X,X
IZOTLSJ,X,O,X,X,X,X,O,X,X
IZOTJLS,O,O,X,X,X,O,O,X,X
IZOTJSL,O,O,X,X,X,X,X,X,O
IZOTSLJ,O,O,X,X,O,X,O,X,X
IZOTSJL,O,O,X,X,X,X,X,X,O
IZOLTJS,O,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,X,X,O,X,X
IZOLJTS,O,X,X,X,X,O,X,X,X
IZOLJST,O,X,O,X,X,O,X,X,O
IZOLSTJ,O,X,X,O,O,X,X,X,X
IZOLSJT,O,X,O,O,O,X,X,X,O
IZOJTLS,O,O,X,X,X,O,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X,O
IZOJLTS,O,X,X,X,X,O,X,X,X
IZOJLST,O,X,O,X,X,O,X,X,O
IZOJSTL,O,X,X,X,X,X,X,X,O
IZOJSLT,O,X,O,X,O,O,X,X,O
IZOSTLJ,O,X,X,O,O,X,X,X,X
IZOSTJL,O,X,X,O,X,X,X,X,O
IZOSLTJ,O,X,X,O,O,X,X,X,X
IZOSLJT,O,X,O,O,O,X,X,X,O
IZOSJTL,O,X,X,O,X,X,X,X,O
IZOSJLT,O,X,O,O,O,O,X,X,O
IOTLJSZ,O,O,X,X,X,X,O,X,X
IOTLJZS,O,O,X,X,X,X,O,X,X
IOTLSJZ,O,O,X,O,X,X,O,X,X
IOTLSZJ,O,O,X,O,X,X,O,X,X
IOTLZJS,O,O,X,X,X,X,O,X,X
IOTLZSJ,X,O,X,X,X,X,O,X,X
IOTJLSZ,O,O,X,X,X,O,O,X,X
IOTJLZS,O,O,X,X,X,O,O,X,X
IOTJSLZ,O,O,X,X,X,X,X,X,X
IOTJSZL,X,O,X,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,O,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,O,O,X,O,X,X
IOTSLZJ,O,O,X,O,O,X,O,X,X
IOTSJLZ,O,O,X,O,O,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,O,O,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X,X,X
IOTZLJS,O,O,X,X,X,X,O,X,X
IOTZLSJ,X,O,X,X,X,X,O,X,X
IOTZJLS,O,O,X,X,X,O,O,X,X
IOTZJSL,O,O,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,O,X,O,X,X
IOTZSJL,O,O,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,O,X,X
IOLTJZS,O,O,X,X,X,X,O,X,X
IOLTSJZ,O,O,X,O,X,X,O,X,X
IOLTSZJ,O,O,X,O,X,X,O,X,X
IOLTZJS,O,O,X,X,X,X,O,X,X
IOLTZSJ,X,O,X,X,X,X,O,X,X
IOLJTSZ,O,O,X,X,X,O,X,X,X
IOLJTZS,O,O,X,X,X,O,X,X,X
IOLJSTZ,O,X,O,O,X,O,X,X,X
IOLJSZT,O,X,O,O,X,O,X,X,X
IOLJZTS,O,X,X,X,X,O,X,X,X
IOLJZST,O,X,O,X,X,O,X,X,X
IOLSTJZ,O,X,X,O,O,X,X,X,X
IOLSTZJ,O,X,X,O,O,X,X,X,X
IOLSJTZ,O,X,O,O,O,X,X,X,X
IOLSJZT,O,X,O,O,O,X,X,X,X
IOLSZTJ,O,X,X,O,O,X,X,X,X
IOLSZJT,O,X,O,O,O,X,X,X,X
IOLZTJS,O,X,X,X,X,X,O,X,X
IOLZTSJ,X,X,X,X,X,X,O,X,X
IOLZJTS,O,X,X,X,X,O,X,X,X
IOLZJST,O,X,O,X,X,O,X,X,X
IOLZSTJ,O,X,X,O,O,X,X,X,X
IOLZSJT,O,X,O,O,O,X,X,X,X
IOJTLSZ,O,O,X,X,X,O,X,X,X
IOJTLZS,O,O,X,X,X,O,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,X,O,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,O,X,X,X
IOJLTZS,O,O,X,X,X,O,X,X,X
IOJLSTZ,O,X,O,O,X,O,X,X,X
IOJLSZT,O,X,O,O,X,O,X,X,X
IOJLZTS,O,X,X,X,X,O,X,X,X
IOJLZST,O,X,O,X,X,O,X,X,X
IOJSTLZ,O,O,X,O,O,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,O,O,O,O,X,X,X
IOJSLZT,O,X,O,O,O,O,X,X,X
IOJSZTL,O,X,X,O,X,X,X,X,O
IOJSZLT,O,X,O,O,O,O,X,X,O
IOJZTLS,O,O,X,X,X,O,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,O
IOJZLTS,O,X,X,X,X,O,X,X,X
IOJZLST,O,X,O,X,X,O,X,X,O
IOJZSTL,O,X,X,X,X,X,X,X,O
IOJZSLT,O,X,O,X,O,O,X,X,O
IOSTLJZ,O,O,X,O,O,X,X,X,X
IOSTLZJ,O,O,X,O,O,X,X,X,X
IOSTJLZ,O,O,X,O,O,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,O,O,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,X,X
IOSLTJZ,O,X,X,O,O,X,X,X,X
IOSLTZJ,O,X,X,O,O,X,X,X,X
IOSLJTZ,O,X,O,O,O,X,X,X,X
IOSLJZT,O,X,O,O,O,X,X,X,X
IOSLZTJ,O,X,X,O,O,X,X,X,X
IOSLZJT,O,X,O,O,O,X,X,X,X
IOSJTLZ,O,O,X,O,O,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,O,O,O,X,X,X
IOSJLZT,O,X,O,O,O,O,X,X,X
IOSJZTL,O,X,X,O,X,X,X,X,O
IOSJZLT,O,X,O,O,O,O,X,X,O
IOSZTLJ,O,X,X,O,O,X,X,X,X
IOSZTJL,O,X,X,O,X,X,X,X,O
IOSZLTJ,O,X,X,O,O,X,X,X,X
IOSZLJT,O,X,O,O,O,X,X,X,O
IOSZJTL,O,X,X,O,X,X,X,X,O
IOSZJLT,O,X,O,O,O,O,X,X,O
IOZTLJS,O,O,X,X,X,X,O,X,X
IOZTLSJ,X,O,X,X,X,X,O,X,X
IOZTJLS,O,O,X,X,X,O,O,X,X
IOZTJSL,O,O,X,X,X,X,X,X,O
IOZTSLJ,O,O,X,X,O,X,O,X,X
IOZTSJL,O,O,X,X,X,X,X,X,O
IOZLTJS,O,X,X,X,X,X,O,X,X
IOZLTSJ,X,X,X,X,X,X,O,X,X
IOZLJTS,O,X,X,X,X,O,X,X,X
IOZLJST,O,X,O,X,X,O,X,X,O
IOZLSTJ,O,X,X,O,O,X,X,X,X
IOZLSJT,O,X,O,O,O,X,X,X,O
IOZJTLS,O,O,X,X,X,O,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X,O
IOZJLTS,O,X,X,X,X,O,X,X,X
IOZJLST,O,X,O,X,X,O,X,X,O
IOZJSTL,O,X,X,X,X,X,X,X,O
IOZJSLT,O,X,O,X,O,O,X,X,O
IOZSTLJ,O,X,X,O,O,X,X,X,X
IOZSTJL,O,X,X,O,X,X,X,X,O
IOZSLTJ,O,X,X,O,O,X,X,X,X
IOZSLJT,O,X,O,O,O,X,X,X,O
IOZSJTL,O,X,X,O,X,X,X,X,O
IOZSJLT,O,X,O,O,O,O,X,X,O
LTIJSZO,X,X,X,X,X,X,X,O,X
LTIJSOZ,X,X,X,X,X,X,X,O,X
LTIJZSO,X,X,X,X,X,X,X,O,X
LTIJZOS,X,X,X,X,X,X,X,O,X
LTIJOSZ,X,X,X,X,X,X,O,O,X
LTIJOZS,X,X,X,X,X,X,O,O,X
LTISJZO,X,X,X,X,X,X,X,O,X
LTISJOZ,X,X,X,X,X,X,X,O,X
LTISZJO,X,X,X,X,X,X,X,O,X
LTISZOJ,X,X,X,X,X,X,X,O,X
LTISOJZ,X,X,X,X,X,X,O,O,X
LTISOZJ,X,X,X,X,X,X,O,O,X
LTIZJSO,X,X,X,X,X,X,X,O,X
LTIZJOS,X,X,X,X,X,X,O,O,X
LTIZSJO,X,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,X,X,X,X,O,O,X
LTIZOJS,X,X,X,X,X,X,O,O,X
LTIZOSJ,X,X,X,X,X,X,O,O,X
LTIOJSZ,X,X,X,X,X,X,O,O,X
LTIOJZS,X,X,X,X,X,X,O,O,X
LTIOSJZ,X,X,X,X,X,X,O,O,X
LTIOSZJ,X,X,X,X,X,X,O,O,X
LTIOZJS,X,X,X,X,X,X,O,O,X
LTIOZSJ,X,X,X,X,X,X,O,O,X
LTJISZO,X,O,X,X,X,X,X,O,X
LTJISOZ,X,O,X,X,X,X,X,O,X
LTJIZSO,X,O,X,X,X,X,X,O,X
LTJIZOS,X,O,X,X,X,X,X,O,X
LTJIOSZ,X,O,X,X,X,X,O,O,X
LTJIOZS,X,O,X,X,X,X,O,O,X
LTJSIZO,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,O,O,X,X,X,X,X,X
LTJSZIO,X,X,O,X,X,X,X,X,X
LTJSZOI,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,O,O,X,X,X,X,X,X
LTJSOZI,X,X,O,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,O,X
LTJZIOS,X,X,X,X,X,X,O,O,X
LTJZSIO,X,X,O,X,X,X,X,X,X
LTJZSOI,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,O,X,X
LTJZOSI,X,X,O,X,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X,O,X,X
LTJOIZS,X,O,X,X,X,X,O,X,X
LTJOSIZ,X,O,O,X,X,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,O,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X
LTSIJZO,X,O,X,X,X,X,X,O,X
LTSIJOZ,X,O,X,X,X,X,X,O,X
LTSIZJO,X,O,X,X,X,X,X,O,X
LTSIZOJ,X,O,X,X,X,X,X,O,X
LTSIOJZ,X,O,X,X,X,X,O,O,X
LTSIOZJ,X,O,X,X,X,X,O,O,X
LTSJIZO,X,O,X,X,X,X,X,X,X
LTSJIOZ,X,O,O,X,X,X,X,X,X
LTSJZIO,X,X,O,X,X,X,X,X,X
LTSJZOI,X,X,O,X,X,X,X,X,X
LTSJOIZ,X,O,O,X,X,X,X,X,X
LTSJOZI,X,X,O,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,O,X
LTSZIOJ,X,X,X,X,X,X,O,O,X
LTSZJIO,X,X,O,X,X,X,X,X,X
LTSZJOI,X,X,O,X,X,X,X,X,X
LTSZOIJ,X,X,X,X,X,X,O,X,X
LTSZOJI,X,X,O,X,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,O,X,X
LTSOIZJ,X,O,X,X,X,X,O,X,X
LTSOJIZ,X,O,O,X,X,X,X,X,X
LTSOJZI,X,X,O,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,X,X,O,X,X
LTSOZJI,X,X,O,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,O,X
LTZIJOS,X,X,X,X,X,X,O,O,X
LTZISJO,X,X,X,X,X,X,X,O,X
LTZISOJ,X,X,X,X,X,X,O,O,X
LTZIOJS,X,X,X,X,X,X,O,O,X
LTZIOSJ,X,X,X,X,X,X,O,O,X
LTZJISO,X,X,X,X,X,X,X,O,X
LTZJIOS,X,X,X,X,X,X,O,O,X
LTZJSIO,X,X,O,X,X,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,O,X,X
LTZJOSI,X,X,O,X,X,X,X,X,X
LTZSIJO,X,X,X,X,X,X,X,O,X
LTZSIOJ,X,X,X,X,X,X,O,O,X
LTZSJIO,X,X,O,X,X,X,X,X,X
LTZSJOI,X,X,O,X,X,X,X,X,X
LTZSOIJ,X,X,X,X,X,X,O,X,X
LTZSOJI,X,X,O,X,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,O,O,X
LTZOISJ,X,X,X,X,X,X,O,O,X
