sequence,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBcnBTjBWx?BFtB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBFjBTnBct?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBziB+oB8r?B1xB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF3hBGjBVsBUoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeTDJvhFOpBxmB0kBFsBXt?BCsB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mBxiB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhFCjB0kBVsBToBOp?BRxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhF0kBxnBOpBzrBFt?BCtB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mB8nB+oBXnBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFFiB0mBGoBXoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFxiBlmB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkBGjB0mBlnBXt?BzrB,v115@/gC8GeB8IeB8FeD8DeA8Je1GJvhFxiBOpBCoB0kBzr?BXtB
ITJOLZS,O,X,O,X,X,O,O,X,O,X,X,X,X
ITJOSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
ITJOSZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ITJOZLS,O,X,O,X,X,X,O,X,O,X,X,X,X
ITJOZSL,O,X,O,X,X,X,O,X,X,X,X,X,X
ITSLJZO,X,X,X,O,X,X,X,X,O,X,X,X,O
ITSLJOZ,X,X,X,O,O,X,X,X,O,X,X,X,O
ITSLZJO,X,X,X,O,X,X,X,X,X,X,X,X,O
ITSLZOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSLOJZ,X,X,X,O,O,O,O,X,O,X,X,X,O
ITSLOZJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ITSJLZO,X,X,X,O,X,X,X,X,O,X,X,X,O
ITSJLOZ,X,X,X,O,O,X,X,X,O,X,X,X,O
ITSJZLO,X,X,X,O,X,X,X,X,O,X,X,X,X
ITSJZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITSJOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ITSZLJO,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSZJLO,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJOL,X,X,X,O,O,X,O,X,X,X,X,X,X
ITSZOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSZOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
ITSOLJZ,X,X,X,O,O,X,O,X,X,X,X,X,X
ITSOLZJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITSOJZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ITSOZLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZLJSO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITZLJOS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITZLSJO,O,X,O,O,X,O,X,X,X,O,O,X,X
ITZLSOJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ITZLOJS,O,X,O,O,X,O,O,X,O,O,X,X,X
ITZLOSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ITZJLSO,X,X,O,O,X,O,X,X,O,O,X,X,X
ITZJLOS,X,X,O,O,X,O,X,X,O,O,X,X,X
ITZJSLO,X,X,O,O,X,O,X,X,O,O,X,X,X
ITZJSOL,X,X,O,O,O,O,O,X,X,X,X,X,X
ITZJOLS,X,X,O,O,X,O,O,X,O,O,X,X,X
ITZJOSL,X,X,O,O,X,X,O,X,X,X,X,X,X
ITZSLJO,O,X,O,O,X,O,X,X,X,O,O,X,X
ITZSLOJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ITZSJLO,X,X,O,O,X,O,X,X,X,O,O,X,X
ITZSJOL,X,X,O,O,O,X,O,X,X,X,X,X,X
ITZSOLJ,O,X,X,O,X,O,O,X,X,X,O,X,X
ITZSOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
ITZOLJS,O,X,X,O,X,O,O,X,X,O,X,X,X
ITZOLSJ,O,X,X,O,X,O,O,O,X,O,X,X,X
ITZOJLS,X,X,X,O,X,X,O,X,X,O,X,X,X
ITZOJSL,X,X,X,O,X,X,O,O,X,X,X,X,X
ITZOSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ITZOSJL,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOLJSZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOLJZS,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOLSJZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOLSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
ITOLZJS,O,X,X,O,X,O,O,X,O,X,X,X,X
ITOLZSJ,O,X,X,O,X,O,O,O,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,O,X,O,X,X,X,X
ITOJLZS,O,X,X,X,X,X,O,X,O,X,X,X,X
ITOJSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
ITOJSZL,X,X,X,X,O,X,O,O,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,O,X,O,X,X,X,X
ITOJZSL,O,X,X,X,X,X,O,O,X,X,X,X,X
ITOSLJZ,X,X,X,O,O,X,O,X,X,X,X,X,O
ITOSLZJ,X,X,X,O,X,X,O,O,X,X,X,X,O
ITOSJLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
ITOSJZL,X,X,X,X,O,X,O,O,X,X,X,X,X
ITOSZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOSZJL,X,X,X,O,O,X,O,O,X,X,X,X,X
ITOZLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ITOZJLS,X,X,X,O,X,X,O,X,X,X,X,X,X
ITOZJSL,X,X,X,O,X,X,O,O,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ITOZSJL,X,X,X,O,X,X,O,O,X,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X,X,O,X,X,X,X
ILTJSOZ,O,O,O,O,O,O,X,X,O,X,X,X,X
ILTJZSO,O,O,O,O,X,O,X,X,O,O,X,X,X
ILTJZOS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILTJOSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILTJOZS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILTSJZO,O,O,O,O,X,X,X,X,O,X,X,O,X
ILTSJOZ,O,O,O,O,O,X,X,X,O,X,X,O,X
ILTSZJO,O,O,O,O,X,X,X,X,X,X,X,O,X
ILTSZOJ,O,O,O,O,X,X,O,X,X,X,X,O,X
ILTSOJZ,O,X,X,O,O,O,O,X,O,X,X,O,X
ILTSOZJ,O,X,X,O,X,O,O,X,X,X,X,O,X
ILTZJSO,O,O,O,O,X,O,X,X,O,O,X,X,X
ILTZJOS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILTZSJO,O,O,O,O,X,O,X,X,X,O,O,O,X
ILTZSOJ,O,O,O,O,X,O,O,X,X,O,O,O,X
ILTZOJS,O,O,O,O,X,O,O,X,O,O,X,X,X
ILTZOSJ,O,O,O,O,X,O,O,X,X,O,O,X,X
ILTOJSZ,O,X,O,O,X,O,O,X,O,X,X,X,X
ILTOJZS,O,X,O,O,X,O,O,X,O,O,X,X,X
ILTOSJZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ILTOSZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
ILTOZJS,O,X,O,O,X,O,O,X,O,O,X,X,X
ILTOZSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ILJTSZO,O,O,O,O,X,X,X,X,O,X,X,X,X
ILJTSOZ,O,O,O,O,O,O,X,X,O,X,X,X,X
ILJTZSO,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJTZOS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJTOSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILJTOZS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJSTZO,O,O,O,O,X,X,X,X,O,X,X,O,X
ILJSTOZ,O,O,O,O,X,X,X,X,O,X,X,O,X
ILJSZTO,O,O,X,X,X,X,X,X,O,O,X,O,X
ILJSZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJSOTZ,X,O,O,O,O,X,X,X,O,X,X,O,X
ILJSOZT,O,O,X,X,O,X,X,X,O,O,X,X,X
ILJZTSO,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJZTOS,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJZSTO,O,O,X,X,X,X,X,X,O,O,X,O,X
ILJZSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJZOTS,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJZOST,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJOTSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILJOTZS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILJOSTZ,X,O,O,O,X,X,X,X,O,X,X,X,X
ILJOSZT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILJOZTS,O,O,O,X,X,O,X,X,O,O,X,X,X
ILJOZST,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSTJZO,O,O,O,O,X,X,X,X,O,X,X,O,X
ILSTJOZ,O,O,O,O,X,X,X,X,O,X,X,O,X
ILSTZJO,O,O,O,O,X,X,X,X,X,X,X,O,X
ILSTZOJ,O,O,O,O,X,X,O,X,X,X,X,O,X
ILSTOJZ,O,X,X,O,X,X,O,X,O,X,X,O,X
ILSTOZJ,O,X,X,O,X,X,O,X,X,X,X,O,X
ILSJTZO,O,O,O,O,X,X,X,X,O,X,X,O,X
ILSJTOZ,O,O,O,O,X,X,X,X,O,X,X,O,X
ILSJZTO,O,O,X,X,X,X,X,X,O,O,X,O,X
ILSJZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILSJOTZ,X,O,O,O,O,X,X,X,O,X,X,O,X
ILSJOZT,O,O,X,X,O,X,X,X,O,O,X,X,X
ILSZTJO,X,O,X,O,X,X,X,X,X,O,X,O,X
ILSZTOJ,X,O,X,O,X,X,O,X,X,O,X,O,X
ILSZJTO,O,O,X,X,X,X,X,X,X,O,X,O,X
ILSZJOT,O,O,X,X,X,X,X,X,X,O,X,X,X
ILSZOTJ,X,O,X,O,X,X,X,X,X,O,X,O,X
ILSZOJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ILSOTJZ,X,X,X,O,X,X,X,X,O,X,X,O,X
ILSOTZJ,X,X,X,O,X,X,X,X,X,X,X,O,X
ILSOJTZ,X,O,X,O,O,X,X,X,O,X,X,O,X
ILSOJZT,O,O,X,X,O,X,X,X,O,O,X,X,X
ILSOZTJ,X,O,X,O,X,X,X,X,X,O,X,O,X
ILSOZJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZTJSO,O,O,O,O,X,O,X,X,O,O,X,X,X
ILZTJOS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILZTSJO,O,O,O,O,X,O,X,X,X,O,O,O,X
ILZTSOJ,O,O,O,O,X,O,O,X,X,O,O,O,X
ILZTOJS,O,O,O,O,X,O,O,X,O,O,X,X,X
ILZTOSJ,O,O,O,O,X,O,O,X,X,O,O,X,X
ILZJTSO,O,O,O,X,X,O,X,X,O,O,X,X,X
ILZJTOS,O,O,O,X,X,O,X,X,O,O,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X,O,O,X,O,X
ILZJSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZJOTS,O,O,O,X,X,O,X,X,O,O,X,X,X
ILZJOST,O,O,X,X,X,X,X,X,O,O,X,X,X
ILZSTJO,X,O,X,O,X,O,X,X,X,O,O,O,X
ILZSTOJ,X,O,X,O,X,O,O,X,X,O,O,O,X
ILZSJTO,O,O,X,X,X,X,X,X,X,O,X,O,X
ILZSJOT,O,O,X,X,X,X,X,X,X,O,X,X,X
ILZSOTJ,X,O,X,O,X,O,X,X,X,O,O,O,X
ILZSOJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZOTJS,X,O,X,O,X,O,O,X,O,O,X,X,X
ILZOTSJ,X,O,X,O,X,O,O,X,X,O,O,X,X
ILZOJTS,X,O,X,X,X,O,X,X,O,O,X,X,X
ILZOJST,X,O,X,X,X,X,X,X,O,O,X,X,X
ILZOSTJ,X,O,X,O,X,O,X,X,X,O,O,O,X
ILZOSJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ILOTJSZ,O,X,O,O,X,O,O,X,O,X,X,X,X
ILOTJZS,O,X,O,O,X,O,O,X,O,O,X,X,X
ILOTSJZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ILOTSZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
ILOTZJS,O,X,O,O,X,O,O,X,O,O,X,X,X
ILOTZSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ILOJTSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
ILOJTZS,O,O,O,O,X,O,X,X,O,O,X,X,X
ILOJSTZ,X,O,O,O,X,X,X,X,O,X,X,X,X
ILOJSZT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILOJZTS,O,O,O,X,X,O,X,X,O,O,X,X,X
ILOJZST,O,O,X,X,X,X,X,X,O,O,X,X,X
ILOSTJZ,X,X,X,O,X,X,X,X,O,X,X,O,X
ILOSTZJ,X,X,X,O,X,X,X,X,X,X,X,O,X
ILOSJTZ,X,O,X,O,X,X,X,X,O,X,X,O,X
ILOSJZT,O,O,X,X,X,X,X,X,O,O,X,X,X
ILOSZTJ,X,O,X,O,X,X,X,X,X,O,X,O,X
ILOSZJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ILOZTJS,X,O,X,O,X,O,O,X,O,O,X,X,X
ILOZTSJ,X,O,X,O,X,O,O,X,X,O,O,X,X
ILOZJTS,X,O,X,X,X,O,X,X,O,O,X,X,X
ILOZJST,X,O,X,X,X,X,X,X,O,O,X,X,X
ILOZSTJ,X,O,X,O,X,O,X,X,X,O,O,O,X
ILOZSJT,X,O,X,X,X,X,X,X,X,O,X,X,X
IJTLSZO,O,X,O,O,X,X,X,X,O,X,X,X,X
IJTLSOZ,O,X,O,O,O,O,X,X,O,X,X,X,X
IJTLZSO,O,X,O,O,X,O,X,X,O,O,X,X,X
IJTLZOS,O,X,O,O,X,O,X,X,O,O,X,X,X
IJTLOSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
IJTLOZS,O,X,O,O,X,O,X,X,O,O,X,X,X
IJTSLZO,X,X,X,O,X,X,X,X,O,X,X,X,O
IJTSLOZ,X,X,X,O,O,O,X,X,O,X,X,X,O
IJTSZLO,X,X,X,O,X,X,X,X,O,X,X,X,X
IJTSZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
IJTSOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
IJTZLSO,O,X,O,O,X,O,X,X,O,O,X,X,X
IJTZLOS,O,X,O,O,X,O,X,X,O,O,X,X,X
IJTZSLO,O,X,O,O,X,O,X,X,O,O,X,X,X
IJTZSOL,O,X,O,O,O,O,O,X,X,X,X,X,X
IJTZOLS,O,X,O,O,X,O,O,X,O,O,X,X,X
IJTZOSL,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTOLSZ,O,X,O,X,X,O,O,X,O,X,X,X,X
IJTOLZS,O,X,O,X,X,O,O,X,O,X,X,X,X
IJTOSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
IJTOSZL,X,X,X,X,O,X,O,X,X,X,X,X,X
IJTOZLS,O,X,O,X,X,X,O,X,O,X,X,X,X
IJTOZSL,O,X,O,X,X,X,O,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X,X,O,X,X,X,X
IJLTSOZ,O,O,O,O,O,O,X,X,O,X,X,X,X
IJLTZSO,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLTZOS,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLTOSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
IJLTOZS,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLSTZO,O,O,O,O,X,X,X,X,O,X,X,X,X
IJLSTOZ,O,O,O,O,X,X,X,X,O,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLSZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLSOTZ,X,O,O,O,O,X,X,X,O,X,X,X,X
IJLSOZT,O,O,X,X,O,X,X,X,O,O,X,X,X
IJLZTSO,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLZTOS,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLZSTO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLZSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLZOTS,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLZOST,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLOTSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
IJLOTZS,O,O,O,O,X,O,X,X,O,O,X,X,X
IJLOSTZ,X,O,O,O,X,X,X,X,O,X,X,X,X
IJLOSZT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJLOZTS,O,O,O,X,X,O,X,X,O,O,X,X,X
IJLOZST,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSTLZO,X,X,X,O,X,X,X,X,O,X,X,X,O
IJSTLOZ,X,X,X,O,O,X,X,X,O,X,X,X,O
IJSTZLO,X,X,X,O,X,X,X,X,O,X,X,X,X
IJSTZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
IJSTOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
IJSLTZO,O,O,X,O,X,X,X,X,O,X,X,X,O
IJSLTOZ,X,O,X,O,X,X,X,X,O,X,X,X,O
IJSLZTO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSLOTZ,X,O,X,O,O,X,X,X,O,X,X,X,X
IJSLOZT,O,O,X,X,O,X,X,X,O,O,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSZTOL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJSZOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
IJSOTZL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSOLZT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,X,X,O,X,X,O,O,X,X,X
IJZTLOS,O,O,X,X,X,O,X,X,O,O,X,X,X
IJZTSLO,O,O,X,X,X,O,X,X,O,O,X,X,X
IJZTSOL,O,X,X,X,O,O,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,O,O,X,O,O,X,X,X
IJZTOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,O,X,X,O,O,X,X,X
IJZLTOS,O,O,X,X,X,O,X,X,O,O,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZLSOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZLOTS,O,O,X,X,X,O,X,X,O,O,X,X,X
IJZLOST,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZSTOL,O,X,X,X,X,X,O,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X,O,O,X,X,X
IJZSOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOTLS,X,O,X,X,X,X,O,X,O,O,X,X,X
IJZOTSL,X,O,X,X,X,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X,O,O,X,X,X
IJZOLST,X,O,X,X,X,X,X,X,O,O,X,X,X
IJZOSTL,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,O,X,O,X,X,X,X
IJOTLZS,X,X,O,X,X,X,O,X,O,X,X,X,X
IJOTSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
IJOTSZL,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOTZLS,X,X,O,X,X,X,O,X,O,X,X,X,X
IJOTZSL,X,X,O,X,X,X,O,X,X,X,X,X,X
IJOLTSZ,X,O,O,X,X,X,X,X,O,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X,O,O,X,X,X
IJOLSTZ,X,O,O,X,X,X,X,X,O,X,X,X,X
IJOLSZT,X,O,X,X,X,X,X,X,O,O,X,X,X
IJOLZTS,X,O,O,X,X,X,X,X,O,O,X,X,X
IJOLZST,X,O,X,X,X,X,X,X,O,O,X,X,X
IJOSTLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
IJOSTZL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOSLZT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOSZLT,X,O,X,X,O,X,X,X,X,X,X,X,X
IJOZTLS,X,O,X,X,X,X,O,X,O,O,X,X,X
IJOZTSL,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,X,O,O,X,X,X
IJOZLST,X,O,X,X,X,X,X,X,O,O,X,X,X
IJOZSTL,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSLT,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,X,X,O,X,X,X,X,O,X,X,O,O
ISTLJOZ,X,X,X,O,O,X,X,X,O,X,X,O,O
ISTLZJO,X,X,X,O,X,X,X,X,X,X,X,O,O
ISTLZOJ,X,X,X,O,X,X,O,X,X,X,X,O,X
ISTLOJZ,X,X,X,O,O,X,O,X,O,X,X,O,O
ISTLOZJ,X,X,X,O,X,X,O,X,X,X,X,O,X
ISTJLZO,X,X,X,O,X,X,X,X,O,X,X,O,O
ISTJLOZ,X,X,X,O,O,X,X,X,O,X,X,O,O
ISTJZLO,X,X,X,O,X,X,X,X,O,X,X,O,X
ISTJZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTJOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTZLJO,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZLOJ,X,X,X,O,X,X,O,X,X,X,X,O,X
ISTZJLO,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZJOL,X,X,X,O,O,X,O,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTZOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
ISTOLJZ,X,X,X,O,O,X,O,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTOJZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,X,O,O,X,O,X,X,X,X,X,X
ISLTJZO,O,O,X,O,X,X,X,X,O,X,X,O,O
ISLTJOZ,X,O,X,O,X,X,X,X,O,X,X,O,O
ISLTZJO,X,O,X,O,X,X,X,X,X,X,X,O,O
ISLTZOJ,X,O,X,O,X,X,O,X,X,X,X,O,X
ISLTOJZ,X,X,X,O,X,X,O,X,O,X,X,O,O
ISLTOZJ,X,X,X,O,X,X,O,X,X,X,X,O,X
ISLJTZO,O,O,X,O,X,X,X,X,O,X,X,O,O
ISLJTOZ,X,O,X,O,X,X,X,X,O,X,X,O,O
ISLJZTO,O,O,X,X,X,X,X,X,O,O,X,O,X
ISLJZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ISLJOTZ,X,O,X,O,O,X,X,X,O,X,X,O,X
ISLJOZT,O,O,X,X,O,X,X,X,O,O,X,X,X
ISLZTJO,X,O,X,O,X,X,X,X,X,O,X,O,X
ISLZTOJ,X,O,X,O,X,X,O,X,X,O,X,O,X
ISLZJTO,O,O,X,X,X,X,X,X,X,O,X,O,X
ISLZJOT,O,O,X,X,X,X,X,X,X,O,X,X,X
ISLZOTJ,X,O,X,O,X,X,X,X,X,O,X,O,X
ISLZOJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISLOTJZ,X,X,X,O,X,X,X,X,O,X,X,O,X
ISLOTZJ,X,X,X,O,X,X,X,X,X,X,X,O,X
ISLOJTZ,X,O,X,O,O,X,X,X,O,X,X,O,X
ISLOJZT,O,O,X,X,O,X,X,X,O,O,X,X,X
ISLOZTJ,X,O,X,O,X,X,X,X,X,O,X,O,X
ISLOZJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISJTLZO,X,X,X,O,X,X,X,X,O,X,X,O,O
ISJTLOZ,X,X,X,O,O,X,X,X,O,X,X,O,O
ISJTZLO,X,X,X,O,X,X,X,X,O,X,X,O,X
ISJTZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISJTOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ISJLTZO,O,O,X,O,X,X,X,X,O,X,X,O,O
ISJLTOZ,X,O,X,O,X,X,X,X,O,X,X,O,O
ISJLZTO,O,O,X,X,X,X,X,X,O,O,X,O,X
ISJLZOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ISJLOTZ,X,O,X,O,O,X,X,X,O,X,X,O,X
ISJLOZT,O,O,X,X,O,X,X,X,O,O,X,X,X
ISJZTLO,O,O,X,X,X,X,X,X,O,O,X,X,X
ISJZTOL,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,O,O,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,O,O,X,X,X
ISJZOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
ISJOTZL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,O,X,X,X,X,X,X,X,X
