sequence,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBXjBUnBCnBlqBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBxiBTmB0qBXsBlsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFFiBXjBxqBTsBCrBUrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFjB2qBCnBTsB8qB3rB,v115@HhB8GeC8FeE8EeB8Jex/IvhF2nB/qBFmBCoBUsBTrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFymBXjBTlB0mB+sBVwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFXjBRmBFmB0qBCsBTsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnBCoBlqB3rBUsB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFiBXjBilB+rB8qBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBlqBCsBmqBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBmqBCsBlqBTsB,v115@HhB8GeC8FeE8EeB8Je3AJvhFFjBxmBmkBzqBCsBUsB,v115@HhB8GeC8FeE8EeB8Je1FJvhF0hBXjBmkBTnBCrBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnB3mBCoB0qBVxB,v115@HhB8GeC8FeE8EeB8Jex/IvhFzhBFjBilB+sB8qB3rB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBXjB0qBxrBlrBTsB
JLZSTIO,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
JLZSTOI,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X
JLZSITO,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JLZSIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZSOTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JLZSOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOTIS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JLZOTSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLZOITS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JLZOIST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZOSTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JLZOSIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLOTISZ,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
JLOTIZS,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JLOTSIZ,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
JLOTSZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JLOTZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLOTZSI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JLOITSZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JLOITZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JLOISZT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
JLOSTZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JLOSITZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X
JLOSIZT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOSZTI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JLOSZIT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOZTIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JLOZTSI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JLOZITS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOZSTI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JLOZSIT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSTILZO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSTILOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JSTIZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JSTIOLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JSTIOZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTLIZO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
JSTLIOZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JSTLZIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
JSTLZOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
JSTLOIZ,X,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X
JSTLOZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
JSTZILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSTZIOL,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
JSTZLIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTZLOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JSTZOIL,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JSTZOLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JSTOILZ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
JSTOIZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOLIZ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
JSTOLZI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JSTOZIL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSTOZLI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSITLZO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JSITLOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JSITZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JSITOLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JSITOZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
JSILTOZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JSILZTO,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JSILZOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSILOZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSIZTOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
JSIZLTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSIZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIZOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JSIZOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
JSIOTZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSIOLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
JSLTIOZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JSLTZIO,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
JSLTZOI,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X
JSLTOIZ,X,X,O,X,X,X,X,O,X,O,O,X,X,X,O,X
JSLTOZI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
JSLITZO,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
JSLITOZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
JSLIZTO,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSLIZOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIOZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLZTIO,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
JSLZTOI,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X
JSLZITO,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JSLZIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLZOTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSLZOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
JSLOTZI,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
JSLOITZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSLOIZT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOZTI,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
JSLOZIT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZTILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSZTIOL,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
JSZTLIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSZTLOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JSZTOIL,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JSZTOLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JSZITLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSZITOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
JSZILTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSZILOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JSZIOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLTIO,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X
JSZLTOI,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X
JSZLITO,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JSZLIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLOTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSZLOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOTIL,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSZOTLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JSZOITL,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
JSZOILT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSZOLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOTILZ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
JSOTIZL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
JSOTLZI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JSOTZIL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOTZLI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSOITLZ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
JSOITZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSOILTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JSOILZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
JSOLTZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JSOLITZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
JSOLIZT,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZTI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JSOLZIT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOZTIL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JSOZITL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O
JSOZILT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSOZLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSOZLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTILOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZTISLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZTISOL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JZTIOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
JZTIOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
JZTLISO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZTLIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZTLSIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTLSOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZTLOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTLOSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZTSIOL,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
JZTSLIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JZTSLOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JZTSOIL,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
JZTSOLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZTOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZTOISL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZTOLIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTOLSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZTOSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZITLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZITSLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZITSOL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JZITOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
JZITOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
JZILTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZILTOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZILSTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZILSOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZILOST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZISTOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
JZISLTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZISLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JZISOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZIOTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZIOTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZIOLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
JZIOLST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZIOSTL,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
JZIOSLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JZLTIOS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
JZLTSIO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JZLTSOI,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
JZLTOIS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLTOSI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLITSO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O
JZLITOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLISTO,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JZLISOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZLIOST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X
JZLSTOI,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X
JZLSITO,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JZLSIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLSOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLOTSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZLOITS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JZLOIST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZLOSIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZSTIOL,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
JZSTLIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JZSTLOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JZSTOIL,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
JZSTOLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZSITLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZSITOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
JZSILTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZSILOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
JZSIOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLTIO,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X
JZSLTOI,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X
JZSLITO,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JZSLIOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSLOTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZSLOIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOTIL,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZSOTLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JZSOITL,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
JZSOILT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSOLTI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSOLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOTILS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOTISL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOTLIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOTLSI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOTSIL,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOTSLI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOITLS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZOITSL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZOILTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
JZOILST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOISTL,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
JZOISLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLTIS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZOLTSI,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOLITS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JZOLIST,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOLSTI,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSIT,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZOSTIL,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOSTLI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZOSITL,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
JZOSILT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSLIT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOTILZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTISLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
JOTISZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOTIZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOTIZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOTLISZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X
JOTLIZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,O,X,O,X,O,O,X,X,X,X,X,O,X
JOTLSZI,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X
JOTLZIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JOTSILZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,O,X
JOTSIZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOTSLIZ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
JOTSLZI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JOTSZIL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSZLI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JOTZILS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOTZISL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOTZLIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTZLSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTZSIL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOTZSLI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITLSZ,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOITLZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOITSLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
JOITSZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOITZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOITZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOILTSZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOILTZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOILSZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
JOISTZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOISLTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOISLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOIZTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOIZLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOIZLST,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOIZSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
JOLTIZS,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLTSIZ,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
JOLTSZI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
JOLTZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZSI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
JOLITSZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
JOLITZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
