sequence,v115@GhA8GeC8BeA8EeB8AeB8DeC8Jei/IvhF3gBRiBcpBT?mBNsBWwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhFxgBiiBNpBG?mBzqBXsB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFukB9mBiiB0?lBXsBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFtkB0gBmhBq?rB3nBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhF6lBmhBNpBT?mB3nBRwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je9FJvhFOmB8mBTkB3?nBipBRwB
TZLOIJS,O,O,X,O,O,X
TZLOISJ,O,O,X,O,O,X
TZLOJIS,O,O,X,O,X,X
TZLOJSI,O,O,X,O,X,X
TZLOSIJ,O,O,X,O,X,X
TZLOSJI,O,O,X,O,X,X
TZJILSO,O,O,O,O,X,X
TZJILOS,O,O,X,O,O,X
TZJISLO,O,X,O,X,X,X
TZJISOL,O,X,O,X,X,X
TZJIOLS,O,X,X,O,O,X
TZJIOSL,O,X,X,X,O,X
TZJLISO,O,O,O,O,X,X
TZJLIOS,O,O,X,O,O,X
TZJLSIO,O,O,O,O,X,X
TZJLSOI,O,O,O,X,X,X
TZJLOIS,O,O,X,O,X,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,O,O,O,X,X,X
TZJSIOL,O,O,O,X,X,X
TZJSLIO,O,O,O,X,X,X
TZJSLOI,O,O,O,X,X,X
TZJSOIL,O,O,O,X,X,X
TZJSOLI,O,O,O,X,X,X
TZJOILS,O,O,X,O,X,X
TZJOISL,O,O,X,X,X,X
TZJOLIS,O,O,X,O,X,X
TZJOLSI,O,O,X,O,X,X
TZJOSIL,O,O,X,X,X,X
TZJOSLI,O,O,X,X,X,X
TZSILJO,O,O,O,O,X,X
TZSILOJ,O,O,O,X,O,X
TZSIJLO,O,O,O,X,X,X
TZSIJOL,O,O,O,X,X,X
TZSIOLJ,O,O,O,O,O,X
TZSIOJL,X,O,O,X,O,X
TZSLIJO,O,O,O,O,X,X
TZSLIOJ,O,O,O,X,O,X
TZSLJIO,O,O,O,O,X,X
TZSLJOI,O,O,O,X,X,X
TZSLOIJ,O,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X
TZSJILO,O,O,O,X,X,X
TZSJIOL,O,O,O,X,X,X
TZSJLIO,O,O,O,X,X,X
TZSJLOI,O,O,O,X,X,X
TZSJOIL,O,O,O,X,X,X
TZSJOLI,O,O,O,X,X,X
TZSOILJ,O,O,O,O,X,X
TZSOIJL,X,O,O,X,X,X
TZSOLIJ,O,O,O,O,X,X
TZSOLJI,O,O,O,O,X,X
TZSOJIL,O,O,O,X,X,X
TZSOJLI,O,O,O,X,X,X
TZOILJS,O,O,X,O,O,O
TZOILSJ,O,O,X,O,O,X
TZOIJLS,O,O,X,O,O,O
TZOIJSL,O,O,X,X,O,O
TZOISLJ,O,O,X,O,O,X
TZOISJL,X,O,X,X,O,O
TZOLIJS,O,O,X,O,O,X
TZOLISJ,O,O,X,O,O,X
TZOLJIS,O,O,X,O,X,X
TZOLJSI,O,O,X,O,X,X
TZOLSIJ,O,O,X,O,X,X
TZOLSJI,O,O,X,O,X,X
TZOJILS,O,O,X,O,X,X
TZOJISL,O,O,X,X,X,X
TZOJLIS,O,O,X,O,X,X
TZOJLSI,O,O,X,O,X,X
TZOJSIL,O,O,X,X,X,X
TZOJSLI,O,O,X,X,X,X
TZOSILJ,O,O,X,O,X,X
TZOSIJL,X,O,X,X,X,X
TZOSLIJ,O,O,X,O,X,X
TZOSLJI,O,O,X,O,X,X
TZOSJIL,O,O,X,X,X,X
TZOSJLI,O,O,X,X,X,X
