sequence,v115@PhC8FeE8DeD8JeT/IvhFcmBenBCjBXlBllBxvB,v115@PhC8FeE8DeD8JeT/IvhF/lBWnBxiBUqBlrBarB,v115@PhC8FeE8DeD8JeT/IvhFelBRhBCjB8rB3qBFrB,v115@PhC8FeE8DeD8Je/EJvhFzgBWnBxiB0qBlrBaqB,v115@PhC8FeE8DeD8Je/EJvhFUgBxiBKrBFnBGmBTqB,v115@PhC8FeE8DeD8JeyEJvhFXhBxiBFnB0kB+qBTrB,v115@PhC8FeE8DeD8Je2EJvhFXhBxiBFnBSqBTrBUqB
IZTOSJL,O,O,X,O,O,X,O
IZLTJSO,X,O,X,O,X,X,X
IZLTJOS,X,O,O,O,X,X,X
IZLTSJO,X,O,O,O,X,O,X
IZLTSOJ,X,O,X,O,X,X,X
IZLTOJS,X,O,X,O,X,X,X
IZLTOSJ,X,O,X,O,X,O,X
IZLJTSO,O,O,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X
IZLJSTO,O,X,O,X,X,X,X
IZLJSOT,O,X,O,X,X,X,X
IZLJOTS,O,O,O,X,X,X,X
IZLJOST,O,X,O,X,X,X,X
IZLSTJO,X,O,O,O,X,X,X
IZLSTOJ,X,O,X,O,X,X,X
IZLSJTO,O,X,O,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X,X
IZLOJST,O,X,O,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X
IZLOSJT,O,X,O,X,X,X,X
IZJTLSO,O,O,X,O,X,X,X
IZJTLOS,O,O,O,O,X,X,X
IZJTSLO,O,O,X,O,X,X,X
IZJTSOL,O,O,X,O,X,X,O
IZJTOLS,O,O,O,O,X,X,X
IZJTOSL,O,O,X,O,X,X,O
IZJLTSO,O,O,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X
IZJLSTO,O,X,O,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X
IZJLOTS,O,O,O,X,X,X,X
IZJLOST,O,X,O,X,X,X,X
IZJSTLO,O,O,O,O,X,X,X
IZJSTOL,O,O,O,O,X,X,X
IZJSLTO,O,X,O,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X
IZJSOTL,O,O,O,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X
IZJOTLS,O,O,O,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X
IZJOLTS,O,O,O,X,X,X,X
IZJOLST,O,X,O,X,X,X,X
IZJOSTL,O,O,O,X,X,X,X
IZJOSLT,O,X,O,X,X,X,X
IZSTLJO,X,O,O,O,O,X,X
IZSTLOJ,X,O,X,O,O,X,X
IZSTJLO,O,O,O,O,O,X,X
IZSTJOL,O,O,O,O,X,X,X
IZSTOLJ,X,O,X,O,O,X,X
IZSTOJL,O,O,X,O,O,X,X
IZSLTJO,X,O,O,O,O,X,X
IZSLTOJ,X,O,X,O,O,X,X
IZSLJTO,O,X,O,X,X,X,X
IZSLJOT,O,X,O,X,X,X,X
IZSLOTJ,X,O,X,X,O,X,X
IZSLOJT,O,X,O,X,X,X,X
IZSJTLO,O,O,O,O,O,X,X
IZSJTOL,O,O,O,O,X,X,X
IZSJLTO,O,X,O,X,X,X,X
IZSJLOT,O,X,O,X,X,X,X
IZSJOTL,O,O,O,X,O,X,X
IZSJOLT,O,X,O,X,X,X,X
IZSOTLJ,X,O,X,O,O,X,X
IZSOTJL,O,O,X,O,O,X,X
IZSOLTJ,X,O,X,X,O,X,X
IZSOLJT,O,X,O,X,X,X,X
IZSOJTL,O,O,O,X,O,X,X
IZSOJLT,O,X,O,X,X,X,X
IZOTLJS,X,O,X,O,X,X,X
IZOTLSJ,X,O,X,O,O,X,X
IZOTJLS,O,O,X,O,X,X,X
IZOTJSL,O,O,X,O,X,X,X
IZOTSLJ,X,O,X,O,O,X,X
IZOTSJL,O,O,X,O,O,X,X
IZOLTJS,X,O,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X
IZOLJST,O,X,O,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X
IZOLSJT,O,X,O,X,X,X,X
IZOJTLS,O,O,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X
IZOJLTS,O,O,O,X,X,X,X
IZOJLST,O,X,O,X,X,X,X
IZOJSTL,O,O,O,X,X,X,X
IZOJSLT,O,X,O,X,X,X,X
IZOSTLJ,X,O,X,O,O,X,X
IZOSTJL,O,O,X,O,O,X,X
IZOSLTJ,X,O,X,X,O,X,X
IZOSLJT,O,X,O,X,X,X,X
IZOSJTL,O,O,O,X,O,X,X
IZOSJLT,O,X,O,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,O
IOTLJZS,O,O,X,O,X,X,X
IOTLSJZ,O,X,X,X,O,O,O
IOTLSZJ,X,X,X,X,O,O,X
IOTLZJS,X,O,X,O,X,X,X
IOTLZSJ,X,O,X,O,O,O,X
IOTJLSZ,O,X,X,X,O,O,O
IOTJLZS,O,O,X,O,X,X,X
IOTJSLZ,O,X,X,X,O,O,O
IOTJSZL,O,O,X,O,O,X,O
IOTJZLS,O,O,X,O,X,X,X
IOTJZSL,O,O,X,O,X,X,O
IOTSLJZ,O,X,X,X,O,O,O
IOTSLZJ,X,X,X,X,O,O,X
IOTSJLZ,O,X,X,X,O,O,O
IOTSJZL,O,O,X,O,O,X,O
IOTSZLJ,X,O,X,O,O,O,X
IOTSZJL,O,O,X,O,O,X,O
IOTZLJS,X,O,X,O,X,X,X
IOTZLSJ,X,O,X,O,O,O,X
IOTZJLS,O,O,X,O,X,X,X
IOTZJSL,O,O,X,O,X,X,O
IOTZSLJ,X,O,X,O,O,O,X
IOTZSJL,O,O,X,O,O,X,O
IOLTJSZ,O,X,X,X,O,O,X
IOLTJZS,O,O,X,X,X,X,X
IOLTSJZ,O,X,X,X,O,O,X
IOLTSZJ,X,X,X,X,O,O,X
IOLTZJS,X,O,X,X,X,X,X
IOLTZSJ,X,O,X,X,O,O,X
IOLJTSZ,O,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,X
IOLJSTZ,O,X,X,X,X,X,X
IOLJSZT,O,X,O,X,X,X,X
IOLJZTS,O,O,O,X,X,X,X
IOLJZST,O,X,O,X,X,X,X
IOLSTJZ,O,X,X,X,O,O,X
IOLSTZJ,X,X,X,X,O,O,X
IOLSJTZ,O,X,X,X,X,X,X
IOLSJZT,O,X,O,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,X
IOLSZJT,O,X,O,X,X,X,X
IOLZTJS,X,O,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X
IOLZJST,O,X,O,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X
IOLZSJT,O,X,O,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,O
IOJTLZS,O,O,X,O,X,X,X
IOJTSLZ,O,X,X,X,O,X,O
IOJTSZL,O,O,X,O,O,X,O
IOJTZLS,O,O,X,O,X,X,X
IOJTZSL,O,O,X,O,X,X,O
IOJLTSZ,O,X,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X
IOJLSTZ,O,X,X,X,X,X,X
IOJLSZT,O,X,O,X,X,X,X
IOJLZTS,O,O,O,X,X,X,X
IOJLZST,O,X,O,X,X,X,X
IOJSTLZ,O,X,X,X,O,X,O
IOJSTZL,O,O,X,O,O,X,O
IOJSLTZ,O,X,X,X,X,X,X
IOJSLZT,O,X,O,X,X,X,X
IOJSZTL,O,O,O,X,O,X,X
IOJSZLT,O,X,O,X,X,X,X
IOJZTLS,O,O,O,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X
IOJZLTS,O,O,O,X,X,X,X
IOJZLST,O,X,O,X,X,X,X
IOJZSTL,O,O,O,X,X,X,X
IOJZSLT,O,X,O,X,X,X,X
IOSTLJZ,O,X,X,X,O,O,O
IOSTLZJ,X,X,X,X,O,O,X
IOSTJLZ,O,X,X,X,O,O,O
IOSTJZL,O,O,X,O,O,X,O
IOSTZLJ,X,O,X,O,O,O,X
IOSTZJL,O,O,X,O,O,X,O
IOSLTJZ,O,X,X,X,O,O,X
IOSLTZJ,X,X,X,X,O,O,X
IOSLJTZ,O,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,X
IOSLZJT,O,X,O,X,X,X,X
IOSJTLZ,O,X,X,X,O,X,O
IOSJTZL,O,O,X,O,O,X,O
IOSJLTZ,O,X,X,X,X,X,X
IOSJLZT,O,X,O,X,X,X,X
IOSJZTL,O,O,O,X,O,X,X
IOSJZLT,O,X,O,X,X,X,X
IOSZTLJ,X,O,X,O,O,X,X
IOSZTJL,O,O,X,O,O,X,X
IOSZLTJ,X,O,X,X,O,X,X
IOSZLJT,O,X,O,X,X,X,X
IOSZJTL,O,O,O,X,O,X,X
IOSZJLT,O,X,O,X,X,X,X
IOZTLJS,X,O,X,O,X,X,X
IOZTLSJ,X,O,X,O,O,X,X
IOZTJLS,O,O,X,O,X,X,X
IOZTJSL,O,O,X,O,X,X,X
IOZTSLJ,X,O,X,O,O,X,X
IOZTSJL,O,O,X,O,O,X,X
IOZLTJS,X,O,X,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X
IOZLJST,O,X,O,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X
IOZLSJT,O,X,O,X,X,X,X
IOZJTLS,O,O,O,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X
IOZJLTS,O,O,O,X,X,X,X
IOZJLST,O,X,O,X,X,X,X
IOZJSTL,O,O,O,X,X,X,X
IOZJSLT,O,X,O,X,X,X,X
IOZSTLJ,X,O,X,O,O,X,X
IOZSTJL,O,O,X,O,O,X,X
IOZSLTJ,X,O,X,X,O,X,X
IOZSLJT,O,X,O,X,X,X,X
IOZSJTL,O,O,O,X,O,X,X
IOZSJLT,O,X,O,X,X,X,X
LTIJSZO,O,X,X,O,O,O,X
LTIJSOZ,O,X,X,X,O,O,O
LTIJZSO,O,O,X,O,X,X,X
LTIJZOS,O,O,X,O,X,X,X
LTIJOSZ,O,X,X,X,O,O,O
LTIJOZS,O,O,X,O,X,X,X
LTISJZO,O,X,X,O,O,O,X
LTISJOZ,O,X,X,X,O,O,O
LTISZJO,X,X,X,O,O,O,X
LTISZOJ,X,X,X,O,O,X,X
LTISOJZ,O,X,X,X,O,O,X
LTISOZJ,X,X,X,X,O,O,X
LTIZJSO,X,O,X,O,X,X,X
LTIZJOS,X,O,X,O,X,X,X
LTIZSJO,X,O,X,O,O,O,X
LTIZSOJ,X,O,X,O,O,X,X
LTIZOJS,X,O,X,O,X,X,X
LTIZOSJ,X,O,X,O,O,O,X
LTIOJSZ,O,X,X,X,O,O,O
LTIOJZS,O,O,X,O,X,X,X
LTIOSJZ,O,X,X,X,O,O,O
LTIOSZJ,X,X,X,X,O,O,X
LTIOZJS,X,O,X,O,X,X,X
LTIOZSJ,X,O,X,O,O,O,X
LTJISZO,O,X,X,O,O,O,X
LTJISOZ,O,X,X,X,O,O,O
LTJIZSO,O,O,X,O,X,X,X
LTJIZOS,O,O,X,O,X,X,X
LTJIOSZ,O,X,X,X,O,O,O
LTJIOZS,O,O,X,O,X,X,X
LTJSIZO,X,X,X,O,O,O,X
LTJSIOZ,X,X,X,X,O,O,O
LTJSZIO,X,X,O,O,O,O,X
LTJSZOI,O,X,O,O,O,O,X
LTJSOIZ,X,X,X,X,O,O,O
LTJSOZI,O,X,O,X,O,O,O
LTJZISO,O,O,X,O,X,X,X
LTJZIOS,O,O,O,O,X,X,X
LTJZSIO,X,O,O,O,X,X,X
LTJZSOI,O,O,O,O,X,X,X
LTJZOIS,O,O,O,O,X,X,X
LTJZOSI,O,O,O,O,X,X,X
LTJOISZ,O,X,X,X,O,O,O
LTJOIZS,O,O,X,O,X,X,X
LTJOSIZ,X,X,X,X,O,O,O
LTJOSZI,O,X,O,X,O,O,O
LTJOZIS,O,O,O,O,X,X,X
LTJOZSI,O,O,O,O,X,X,X
LTSIJZO,O,X,X,O,O,O,X
LTSIJOZ,O,X,X,X,O,O,O
LTSIZJO,X,X,X,O,O,O,X
LTSIZOJ,X,X,X,O,O,X,X
LTSIOJZ,O,X,X,X,O,O,X
LTSIOZJ,X,X,X,X,O,O,X
LTSJIZO,X,X,X,O,O,O,X
LTSJIOZ,X,X,X,X,O,O,O
LTSJZIO,X,X,O,O,O,O,X
LTSJZOI,O,X,O,O,O,O,X
LTSJOIZ,X,X,X,X,O,O,O
LTSJOZI,O,X,O,X,O,O,O
LTSZIJO,X,X,O,O,O,O,X
LTSZIOJ,X,X,X,O,O,X,X
LTSZJIO,X,X,O,O,O,O,X
LTSZJOI,X,X,O,O,O,O,X
LTSZOIJ,X,X,X,O,O,X,X
LTSZOJI,X,X,O,O,O,X,X
LTSOIJZ,O,X,X,X,O,O,X
LTSOIZJ,X,X,X,X,O,O,X
LTSOJIZ,X,X,X,X,O,O,X
LTSOJZI,O,X,O,X,O,O,X
LTSOZIJ,X,X,X,X,O,O,X
LTSOZJI,X,X,O,X,O,O,X
LTZIJSO,X,O,X,O,X,X,X
LTZIJOS,X,O,O,O,X,X,X
LTZISJO,X,O,O,O,O,O,X
LTZISOJ,X,O,X,O,O,X,X
LTZIOJS,X,O,X,O,X,X,X
LTZIOSJ,X,O,X,O,O,O,X
LTZJISO,X,O,X,O,X,X,X
LTZJIOS,X,O,O,O,X,X,X
LTZJSIO,X,O,O,O,X,X,X
LTZJSOI,X,O,O,O,X,X,X
LTZJOIS,X,O,O,O,X,X,X
LTZJOSI,X,O,O,O,X,X,X
LTZSIJO,X,O,O,O,O,O,X
LTZSIOJ,X,O,X,O,O,X,X
LTZSJIO,X,O,O,O,O,O,X
LTZSJOI,X,O,O,O,O,O,X
LTZSOIJ,X,O,X,O,O,X,X
LTZSOJI,X,O,O,O,O,X,X
LTZOIJS,X,O,X,O,X,X,X
LTZOISJ,X,O,X,O,O,O,X
LTZOJIS,X,O,O,O,X,X,X
LTZOJSI,X,O,O,O,X,X,X
LTZOSIJ,X,O,X,O,O,O,X
LTZOSJI,X,O,O,O,O,O,X
LTOIJSZ,O,X,X,X,O,O,O
LTOIJZS,O,O,X,O,X,X,X
LTOISJZ,O,X,X,X,O,O,O
LTOISZJ,X,X,X,X,O,O,X
LTOIZJS,X,O,X,O,X,X,X
LTOIZSJ,X,O,X,O,O,O,X
LTOJISZ,O,X,X,X,O,O,O
LTOJIZS,O,O,X,O,X,X,X
LTOJSIZ,X,X,X,X,O,O,O
LTOJSZI,O,X,O,X,O,O,O
LTOJZIS,O,O,O,O,X,X,X
LTOJZSI,O,O,O,O,X,X,X
LTOSIJZ,O,X,X,X,O,O,O
LTOSIZJ,X,X,X,X,O,O,X
LTOSJIZ,X,X,X,X,O,O,O
LTOSJZI,O,X,O,X,O,O,O
LTOSZIJ,X,X,X,X,O,O,X
LTOSZJI,X,X,O,X,O,O,X
LTOZIJS,X,O,X,O,X,X,X
LTOZISJ,X,O,X,O,O,O,X
LTOZJIS,X,O,O,O,X,X,X
LTOZJSI,X,O,O,O,X,X,X
LTOZSIJ,X,O,X,O,O,O,X
LTOZSJI,X,O,O,O,O,O,X
LITJSZO,O,X,X,O,O,O,X
LITJSOZ,O,X,X,X,O,O,O
LITJZSO,O,O,X,O,X,X,X
LITJZOS,O,O,X,O,X,X,X
LITJOSZ,O,X,X,X,O,O,O
LITJOZS,O,O,X,O,X,X,X
LITSJZO,O,X,X,O,O,O,X
LITSJOZ,O,X,X,X,O,O,O
LITSZJO,X,X,X,O,O,O,X
LITSZOJ,X,X,X,O,O,X,X
LITSOJZ,O,X,X,X,O,O,X
LITSOZJ,X,X,X,X,O,O,X
LITZJSO,X,O,X,O,X,X,X
LITZJOS,X,O,X,O,X,X,X
LITZSJO,X,O,X,O,O,O,X
LITZSOJ,X,O,X,O,O,X,X
LITZOJS,X,O,X,O,X,X,X
LITZOSJ,X,O,X,O,O,O,X
LITOJSZ,O,X,X,X,O,O,O
LITOJZS,O,O,X,O,X,X,X
LITOSJZ,O,X,X,X,O,O,O
LITOSZJ,X,X,X,X,O,O,X
LITOZJS,X,O,X,O,X,X,X
LITOZSJ,X,O,X,O,O,O,X
LIJTSZO,O,X,X,O,X,O,X
LIJTSOZ,O,X,X,X,X,O,O
LIJTZSO,O,O,X,O,X,X,X
LIJTZOS,O,O,X,O,X,X,X
LIJTOSZ,O,X,X,X,X,O,O
LIJTOZS,O,O,X,O,X,X,X
LIJSTZO,O,X,X,O,X,X,X
LIJSTOZ,O,X,X,X,X,X,X
LIJSZTO,O,X,O,X,X,X,X
LIJSZOT,O,X,O,X,X,X,X
LIJSOTZ,O,X,X,X,X,X,X
LIJSOZT,O,X,O,X,X,X,X
LIJZTSO,O,O,X,X,X,X,X
LIJZTOS,O,O,O,X,X,X,X
LIJZSTO,O,X,O,X,X,X,X
LIJZSOT,O,X,O,X,X,X,X
LIJZOTS,O,O,O,X,X,X,X
LIJZOST,O,X,O,X,X,X,X
LIJOTSZ,O,X,X,X,X,X,X
LIJOTZS,O,O,X,X,X,X,X
LIJOSTZ,O,X,X,X,X,X,X
LIJOSZT,O,X,O,X,X,X,X
LIJOZTS,O,O,O,X,X,X,X
LIJOZST,O,X,O,X,X,X,X
LISTJZO,O,X,X,O,O,O,X
LISTJOZ,O,X,X,X,O,O,X
LISTZJO,X,X,X,O,O,O,X
LISTZOJ,X,X,X,O,O,X,X
LISTOJZ,O,X,X,X,O,O,X
LISTOZJ,X,X,X,X,O,O,X
LISJTZO,O,X,X,O,X,X,X
LISJTOZ,O,X,X,X,X,X,X
LISJZTO,O,X,O,X,X,X,X
LISJZOT,O,X,O,X,X,X,X
LISJOTZ,O,X,X,X,X,X,X
LISJOZT,O,X,O,X,X,X,X
LISZTJO,X,X,O,O,O,X,X
LISZTOJ,X,X,X,O,O,X,X
LISZJTO,O,X,O,X,X,X,X
LISZJOT,O,X,O,X,X,X,X
LISZOTJ,X,X,X,X,O,X,X
LISZOJT,O,X,O,X,X,X,X
LISOTJZ,O,X,X,X,O,X,X
LISOTZJ,X,X,X,X,O,X,X
LISOJTZ,O,X,X,X,X,X,X
LISOJZT,O,X,O,X,X,X,X
LISOZTJ,X,X,X,X,O,X,X
LISOZJT,O,X,O,X,X,X,X
LIZTJSO,X,O,X,O,X,X,X
LIZTJOS,X,O,O,O,X,X,X
LIZTSJO,X,O,O,O,X,O,X
LIZTSOJ,X,O,X,O,X,X,X
LIZTOJS,X,O,X,O,X,X,X
LIZTOSJ,X,O,X,O,X,O,X
LIZJTSO,O,O,X,X,X,X,X
LIZJTOS,O,O,O,X,X,X,X
LIZJSTO,O,X,O,X,X,X,X
LIZJSOT,O,X,O,X,X,X,X
LIZJOTS,O,O,O,X,X,X,X
LIZJOST,O,X,O,X,X,X,X
LIZSTJO,X,O,O,O,X,X,X
LIZSTOJ,X,O,X,O,X,X,X
LIZSJTO,O,X,O,X,X,X,X
LIZSJOT,O,X,O,X,X,X,X
LIZSOTJ,X,O,X,X,X,X,X
LIZSOJT,O,X,O,X,X,X,X
LIZOTJS,X,O,X,X,X,X,X
LIZOTSJ,X,O,X,X,X,X,X
LIZOJTS,O,O,O,X,X,X,X
LIZOJST,O,X,O,X,X,X,X
LIZOSTJ,X,O,X,X,X,X,X
LIZOSJT,O,X,O,X,X,X,X
LIOTJSZ,O,X,X,X,O,O,X
LIOTJZS,O,O,X,X,X,X,X
LIOTSJZ,O,X,X,X,O,O,X
LIOTSZJ,X,X,X,X,O,O,X
LIOTZJS,X,O,X,X,X,X,X
LIOTZSJ,X,O,X,X,O,O,X
LIOJTSZ,O,X,X,X,X,X,X
LIOJTZS,O,O,X,X,X,X,X
LIOJSTZ,O,X,X,X,X,X,X
LIOJSZT,O,X,O,X,X,X,X
LIOJZTS,O,O,O,X,X,X,X
LIOJZST,O,X,O,X,X,X,X
LIOSTJZ,O,X,X,X,O,O,X
LIOSTZJ,X,X,X,X,O,O,X
LIOSJTZ,O,X,X,X,X,X,X
LIOSJZT,O,X,O,X,X,X,X
LIOSZTJ,X,X,X,X,O,X,X
LIOSZJT,O,X,O,X,X,X,X
LIOZTJS,X,O,X,X,X,X,X
LIOZTSJ,X,O,X,X,X,X,X
LIOZJTS,O,O,O,X,X,X,X
LIOZJST,O,X,O,X,X,X,X
LIOZSTJ,X,O,X,X,X,X,X
LIOZSJT,O,X,O,X,X,X,X
LJTISZO,O,X,X,O,O,O,X
LJTISOZ,O,X,X,X,O,O,O
LJTIZSO,O,O,X,O,X,X,X
LJTIZOS,O,O,X,O,X,X,X
LJTIOSZ,O,X,X,X,O,O,O
LJTIOZS,O,O,X,O,X,X,X
LJTSIZO,X,X,X,O,O,O,X
LJTSIOZ,X,X,X,X,O,O,O
LJTSZIO,X,X,O,O,O,O,X
LJTSZOI,O,X,O,O,O,O,X
LJTSOIZ,X,X,X,X,O,O,O
LJTSOZI,O,X,O,X,O,O,O
LJTZISO,O,O,X,O,X,X,X
LJTZIOS,O,O,O,O,X,X,X
LJTZSIO,X,O,O,O,X,X,X
LJTZSOI,O,O,O,O,X,X,X
LJTZOIS,O,O,O,O,X,X,X
LJTZOSI,O,O,O,O,X,X,X
LJTOISZ,O,X,X,X,O,O,O
LJTOIZS,O,O,X,O,X,X,X
LJTOSIZ,X,X,X,X,O,O,O
LJTOSZI,O,X,O,X,O,O,O
LJTOZIS,O,O,O,O,X,X,X
LJTOZSI,O,O,O,O,X,X,X
LJITSZO,O,X,X,O,X,O,X
LJITSOZ,O,X,X,X,X,O,O
LJITZSO,O,O,X,O,X,X,X
LJITZOS,O,O,X,O,X,X,X
LJITOSZ,O,X,X,X,X,O,O
LJITOZS,O,O,X,O,X,X,X
LJISTZO,O,X,X,O,X,X,X
LJISTOZ,O,X,X,X,X,X,X
LJISZTO,O,X,O,X,X,X,X
LJISZOT,O,X,O,X,X,X,X
LJISOTZ,O,X,X,X,X,X,X
LJISOZT,O,X,O,X,X,X,X
LJIZTSO,O,O,X,X,X,X,X
LJIZTOS,O,O,O,X,X,X,X
LJIZSTO,O,X,O,X,X,X,X
LJIZSOT,O,X,O,X,X,X,X
LJIZOTS,O,O,O,X,X,X,X
LJIZOST,O,X,O,X,X,X,X
LJIOTSZ,O,X,X,X,X,X,X
LJIOTZS,O,O,X,X,X,X,X
LJIOSTZ,O,X,X,X,X,X,X
LJIOSZT,O,X,O,X,X,X,X
LJIOZTS,O,O,O,X,X,X,X
LJIOZST,O,X,O,X,X,X,X
LJSTIZO,X,X,X,O,O,X,X
LJSTIOZ,X,X,X,X,O,X,X
LJSTZIO,X,X,O,O,O,X,X
LJSTZOI,O,X,O,O,O,X,X
LJSTOIZ,X,X,X,X,O,X,X
LJSTOZI,O,X,O,X,O,X,X
LJSITZO,O,X,X,O,X,X,X
LJSITOZ,O,X,X,X,X,X,X
LJSIZTO,O,X,O,X,X,X,X
LJSIZOT,O,X,O,X,X,X,X
LJSIOTZ,O,X,X,X,X,X,X
LJSIOZT,O,X,O,X,X,X,X
LJSZTIO,X,X,O,X,O,X,X
LJSZTOI,O,X,O,X,O,X,X
LJSZITO,O,X,O,X,X,X,X
LJSZIOT,O,X,O,X,X,X,X
LJSZOTI,O,X,O,X,X,X,X
LJSZOIT,O,X,O,X,X,X,X
LJSOTIZ,X,X,X,X,O,X,X
LJSOTZI,O,X,O,X,O,X,X
LJSOITZ,O,X,X,X,X,X,X
LJSOIZT,O,X,O,X,X,X,X
LJSOZTI,O,X,O,X,O,X,X
LJSOZIT,O,X,O,X,X,X,X
LJZTISO,O,O,X,X,X,X,X
LJZTIOS,O,O,O,X,X,X,X
LJZTSIO,X,O,O,X,X,X,X
LJZTSOI,O,O,O,X,X,X,X
LJZTOIS,O,O,O,X,X,X,X
LJZTOSI,O,O,O,X,X,X,X
LJZITSO,O,O,X,X,X,X,X
LJZITOS,O,O,O,X,X,X,X
LJZISTO,O,X,O,X,X,X,X
LJZISOT,O,X,O,X,X,X,X
LJZIOTS,O,O,O,X,X,X,X
LJZIOST,O,X,O,X,X,X,X
LJZSTIO,X,X,O,X,X,X,X
LJZSTOI,O,X,O,X,X,X,X
LJZSITO,O,X,O,X,X,X,X
LJZSIOT,O,X,O,X,X,X,X
LJZSOTI,O,X,O,X,X,X,X
LJZSOIT,O,X,O,X,X,X,X
LJZOTIS,O,O,O,X,X,X,X
LJZOTSI,O,O,O,X,X,X,X
LJZOITS,O,O,O,X,X,X,X
LJZOIST,O,X,O,X,X,X,X
LJZOSTI,O,X,O,X,X,X,X
LJZOSIT,O,X,O,X,X,X,X
LJOTISZ,O,X,X,X,O,O,O
LJOTIZS,O,O,X,X,X,X,X
LJOTSIZ,X,X,X,X,O,O,O
LJOTSZI,O,X,O,X,O,O,O
LJOTZIS,O,O,O,X,X,X,X
LJOTZSI,O,O,O,X,X,X,X
LJOITSZ,O,X,X,X,X,X,X
LJOITZS,O,O,X,X,X,X,X
LJOISTZ,O,X,X,X,X,X,X
LJOISZT,O,X,O,X,X,X,X
LJOIZTS,O,O,O,X,X,X,X
LJOIZST,O,X,O,X,X,X,X
LJOSTIZ,X,X,X,X,O,O,O
LJOSTZI,O,X,O,X,O,O,O
LJOSITZ,O,X,X,X,X,X,X
LJOSIZT,O,X,O,X,X,X,X
LJOSZTI,O,X,O,X,O,X,X
LJOSZIT,O,X,O,X,X,X,X
LJOZTIS,O,O,O,X,X,X,X
LJOZTSI,O,O,O,X,X,X,X
LJOZITS,O,O,O,X,X,X,X
LJOZIST,O,X,O,X,X,X,X
LJOZSTI,O,X,O,X,X,X,X
LJOZSIT,O,X,O,X,X,X,X
LSTIJZO,O,X,X,O,O,O,X
LSTIJOZ,O,X,X,X,O,O,X
LSTIZJO,X,X,X,O,O,O,X
LSTIZOJ,X,X,X,O,O,X,X
LSTIOJZ,O,X,X,X,O,O,X
LSTIOZJ,X,X,X,X,O,O,X
LSTJIZO,X,X,X,O,O,O,X
LSTJIOZ,X,X,X,X,O,O,X
LSTJZIO,X,X,O,O,O,O,X
LSTJZOI,O,X,O,O,O,O,X
LSTJOIZ,X,X,X,X,O,O,X
LSTJOZI,O,X,O,X,O,O,X
LSTZIJO,X,X,O,O,O,O,X
LSTZIOJ,X,X,X,O,O,X,X
LSTZJIO,X,X,O,O,O,O,X
LSTZJOI,X,X,O,O,O,O,X
LSTZOIJ,X,X,X,O,O,X,X
LSTZOJI,X,X,O,O,O,X,X
LSTOIJZ,O,X,X,X,O,O,X
LSTOIZJ,X,X,X,X,O,O,X
LSTOJIZ,X,X,X,X,O,O,X
LSTOJZI,O,X,O,X,O,O,X
LSTOZIJ,X,X,X,X,O,O,X
LSTOZJI,X,X,O,X,O,O,X
LSITJZO,O,X,X,O,O,O,X
LSITJOZ,O,X,X,X,O,O,X
LSITZJO,X,X,X,O,O,O,X
LSITZOJ,X,X,X,O,O,X,X
LSITOJZ,O,X,X,X,O,O,X
LSITOZJ,X,X,X,X,O,O,X
LSIJTZO,O,X,X,O,X,X,X
LSIJTOZ,O,X,X,X,X,X,X
LSIJZTO,O,X,O,X,X,X,X
LSIJZOT,O,X,O,X,X,X,X
LSIJOTZ,O,X,X,X,X,X,X
LSIJOZT,O,X,O,X,X,X,X
LSIZTJO,X,X,O,O,O,X,X
LSIZTOJ,X,X,X,O,O,X,X
LSIZJTO,O,X,O,X,X,X,X
LSIZJOT,O,X,O,X,X,X,X
LSIZOTJ,X,X,X,X,O,X,X
LSIZOJT,O,X,O,X,X,X,X
