sequence,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFFiBTjB?XlBSsBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBCsBupBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBFsBupBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBGjB?lnBUqBzrBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je0BJvhFTjBRlB?SsBFlBWvBXsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhF1mBxiB?CoBUqBzrBupB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBlhB?xnBCoBWvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBTjB?FlBWvBCsBcsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeXCJvhFTjBRlB?SsBFlBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBxhB?TjBWvBFsBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JexBJvhFTjBfqB?urBcsBlqBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeuEJvhF3gB0mB?xnBCoBVvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeTDJvhFRlBGnB?ClBXnBVvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je5EJvhF3hBTjB?OqBCsBcsBlqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFGiBTjB?lmBUqBXsBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhF1mBxiB?CoB8pBzrB3qB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhFTjBxmB?8pBCsB3qBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeFFJvhF0mBxnB?upBCoB3qBzrB
JSILOTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSILOZT,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSIZTLO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZTOL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZLTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZLOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIZOTL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIZOLT,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSIOTZL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSIOLTZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSIOLZT,O,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JSIOZTL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSIOZLT,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
JSLTIZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSLTZIO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLTZOI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLTOIZ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JSLTOZI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JSLITZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLIZTO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSLIZOT,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLIOTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLIOZT,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JSLZTIO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLZTOI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLZIOT,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JSLZOTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLZOIT,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JSLOTZI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JSLOITZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLOIZT,O,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JSLOZTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLOZIT,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSZTILO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZTIOL,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZTLIO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZTLOI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JSZTOIL,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZTOLI,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZITLO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZITOL,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZILTO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZILOT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JSZIOTL,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZIOLT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZLTIO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZLTOI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JSZLITO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZLIOT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JSZLOTI,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZOTIL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZOTLI,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSZOITL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZOILT,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZOLTI,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSZOLIT,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSOTILZ,X,X,X,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
JSOTIZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X
JSOTLIZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X
JSOTLZI,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X
JSOTZIL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JSOTZLI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JSOITLZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSOITZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSOILTZ,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSOILZT,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JSOIZTL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSOIZLT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X
JSOLTIZ,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JSOLTZI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JSOLITZ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOLIZT,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JSOLZTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSOLZIT,O,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSOZTIL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSOZTLI,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JSOZITL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSOZILT,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSOZLTI,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSOZLIT,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZTILSO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
JZTILOS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZTISLO,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
JZTISOL,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZTIOLS,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JZTIOSL,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JZTLISO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTLIOS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTLSOI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSILO,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTSIOL,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTSLIO,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTSLOI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZTSOIL,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTSOLI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZTOILS,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZTOISL,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
JZTOLIS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOLSI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZTOSLI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZITLSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZITLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZITSLO,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
JZITSOL,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JZITOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZITOSL,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZILTSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSTO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZILSOT,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZILOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILOST,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZISTLO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZISTOL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZISLTO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZISLOT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZISOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZIOTLS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZIOTSL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZIOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JZIOLST,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
JZIOSTL,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZIOSLT,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JZLTISO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISTO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZLISOT,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JZLIOTS,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLIOST,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
JZLSTIO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSTOI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSITO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSIOT,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSOIT,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZLOTIS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JZLOTSI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZLOITS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JZLOIST,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,O,X
JZLOSTI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZLOSIT,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZSTILO,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZSTIOL,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZSTLIO,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZSTLOI,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JZSTOIL,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZSTOLI,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZSITLO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSITOL,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSILTO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZSIOTL,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSIOLT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSLTIO,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSLTOI,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZSLITO,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSLIOT,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JZSLOTI,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSLOIT,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSOTIL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZSOTLI,X,X,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JZSOITL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSOILT,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSOLTI,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZSOLIT,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOTILS,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOTISL,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JZOTLIS,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZOTLSI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZOTSIL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOTSLI,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
JZOITLS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZOITSL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JZOILTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JZOILST,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
JZOISTL,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
JZOISLT,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X
JZOLTIS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JZOLTSI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JZOLITS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JZOLIST,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,O,X
JZOLSTI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZOLSIT,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JZOSTIL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X
JZOSTLI,X,X,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
JZOSITL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOSILT,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JZOSLIT,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTILSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOTILZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
JOTISLZ,X,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JOTISZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOTIZLS,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X
JOTIZSL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTLISZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOTLIZS,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOTLSIZ,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOTLSZI,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOTLZIS,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTLZSI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTSILZ,X,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JOTSIZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOTSLIZ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOTSLZI,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOTSZIL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTSZLI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTZILS,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOTZISL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTZLIS,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTZLSI,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTZSIL,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTZSLI,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOITLSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOITLZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
JOITSLZ,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
JOITSZL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOITZLS,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X
JOITZSL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOILTSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOILTZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
JOILSTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOILSZT,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOILZTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JOILZST,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JOISTLZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOISTZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOISLTZ,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOISLZT,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOISZTL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOISZLT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X
JOIZTLS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JOIZTSL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOIZLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JOIZLST,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
JOIZSTL,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOIZSLT,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JOLTISZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOLTIZS,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOLTSIZ,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOLTSZI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOLTZIS,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTZSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLITSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
JOLITZS,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
JOLISTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOLISZT,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOLIZTS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOLIZST,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JOLSTIZ,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOLSTZI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOLSITZ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOLSIZT,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOLSZTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLSZIT,O,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JOLZTIS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLZTSI,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLZITS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JOLZIST,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
JOLZSTI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSTILZ,X,X,X,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X
JOSTIZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X
JOSTLIZ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X
JOSTLZI,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X
JOSTZIL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JOSTZLI,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JOSITLZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOSITZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOSILTZ,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOSILZT,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOSIZTL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOSIZLT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X
JOSLTIZ,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X
JOSLTZI,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOSLITZ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSLIZT,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JOSLZTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOSLZIT,O,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
