sequence,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF3hBcnB6oBT?lBdtBWxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBTjBu?rBcsBXtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBXjBu?rBctBTsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB2nBTlBc?tBXsBCtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBTjBx?sBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeUAJvhF9mBOnB6oBz?nB3lBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBXiBTjBW?tB0mBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oB0sBXsB
JLZTSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JLZTOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JLZTOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JLZITSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JLZITOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
JLZISTO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JLZISOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JLZIOTS,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X
JLZIOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JLZSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JLZSTOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JLZSITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JLZSOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZOTIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JLZOTSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JLZOITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JLZOIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLZOSTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JLZOSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOTISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JLOTIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JLOTSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JLOTSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JLOTZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JLOTZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JLOITSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JLOITZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
JLOISTZ,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JLOISZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOIZTS,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X
JLOIZST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLOSTIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JLOSTZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JLOSITZ,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JLOSIZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOSZTI,O,X,O,O,O,X,X,O,X,X,O,X,O,X,X
JLOSZIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JLOZTSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JLOZITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JLOZIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLOZSTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JLOZSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
JSTILOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
JSTIZLO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
JSTIZOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JSTIOLZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
JSTIOZL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X
JSTLIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
JSTLIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
JSTLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSTLZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
JSTLOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSTLOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
JSTZILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSTZIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSTZLOI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSTZOIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
JSTZOLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSTOILZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSTOIZL,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X
JSTOLIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSTOLZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
JSTOZIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
JSTOZLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSITLZO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
JSITLOZ,X,X,O,O,X,X,O,O,X,X,O,X,O,O,X
JSITZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
JSITZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,X,X,O,O,X,X,O,O,X,X,O,X,O,O,X
JSITOZL,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JSILTZO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JSILTOZ,X,X,X,O,X,X,O,O,X,X,O,X,O,O,X
JSILZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JSILOZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,O,O,X,X,O,O,X,X,O,X,O,X,X
JSIOTZL,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JSIOLTZ,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JSIOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JSIOZLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
JSLTIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
JSLTZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSLTZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
JSLTOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSLTOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
JSLITZO,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JSLITOZ,X,X,X,O,X,X,O,O,X,X,O,X,O,O,X
JSLIZTO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLIZOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLIOTZ,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JSLIOZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLZTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSLZTOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
JSLZITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
JSLZOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSLOTZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
JSLOITZ,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JSLOIZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLOZTI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
JSLOZIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZTIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZTLOI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSZTOIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
JSZTOLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSZITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZLTOI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSZLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSZLOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
JSZOTLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSZOITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JSZOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSZOLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSOTIZL,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X
JSOTLIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSOTLZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
JSOTZIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
JSOTZLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSOITLZ,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X
JSOITZL,O,X,O,O,X,O,X,O,X,X,O,O,X,X,X
JSOILTZ,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JSOILZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JSOIZLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
JSOLTZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
JSOLITZ,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JSOLIZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLZTI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
JSOLZIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
JSOZTLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSOZITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JSOZILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
JSOZLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZTILOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
JZTISLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
JZTISOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
JZTIOLS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
JZTIOSL,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X
JZTLISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZTLIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
JZTLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTLSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JZTLOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZTLOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JZTSILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTSIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZTSLOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZTSOIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JZTSOLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZTOILS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZTOISL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
JZTOLIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZTOLSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JZTOSIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JZTOSLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZITLSO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZITLOS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O
JZITSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZITSOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZITOLS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O
JZITOSL,O,O,O,X,O,X,X,X,O,O,X,O,X,X,X
JZILTSO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JZILTOS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O
JZILSTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X
JZILOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZISTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZISLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZISOLT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZIOTLS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,X
JZIOTSL,O,O,O,X,O,X,X,X,O,O,X,O,X,X,X
JZIOLTS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X
JZIOLST,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZIOSTL,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
JZIOSLT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLTISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZLTIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
JZLTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZLTSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JZLTOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZLTOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JZLITSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
JZLITOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
JZLISTO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLISOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLIOTS,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X
JZLIOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZLSTOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JZLSITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JZLSOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZLOTSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JZLOITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JZLOIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZLOSTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JZLOSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZSTIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZSTLOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZSTOIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JZSTOLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZSITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZSLTOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZSLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZSLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JZSOTLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZSOITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JZSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZSOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZOTISL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
JZOTLIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZOTLSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JZOTSIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JZOTSLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZOITLS,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X
JZOITSL,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X
JZOILTS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X
JZOILST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JZOISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JZOLTSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JZOLITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JZOLIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZOLSTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
JZOLSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JZOSTLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZOSITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JZOSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JZOSLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOTILZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JOTISLZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOTISZL,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X
JOTIZLS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JOTIZSL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
JOTLISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOTLIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JOTLSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JOTLSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JOTLZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JOTLZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JOTSILZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JOTSIZL,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X
JOTSLIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JOTSLZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JOTSZIL,O,X,O,O,O,O,X,O,X,X,O,O,X,X,X
JOTSZLI,O,X,O,O,O,O,X,O,X,X,O,O,O,X,X
JOTZILS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JOTZISL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
JOTZLIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JOTZLSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JOTZSIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
JOTZSLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
JOITLSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOITLZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JOITSLZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOITSZL,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X
JOITZLS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JOITZSL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
JOILTSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOILTZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
JOILSTZ,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JOILSZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILZTS,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X
JOILZST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOISTLZ,O,X,O,O,X,X,O,O,X,X,O,O,O,X,X
JOISTZL,O,X,O,O,X,O,X,O,X,X,O,O,X,X,X
JOISLTZ,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JOISLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JOISZLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,O,O,O,X,O,X,O,X,O,X,O,O,X,X,X
JOIZTSL,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X
JOIZLTS,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X
JOIZLST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
JOIZSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOLTIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
JOLTSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JOLTSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JOLTZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
JOLTZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
JOLITSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
JOLITZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
JOLISTZ,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X
JOLISZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLIZTS,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X
JOLIZST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
JOLSTZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
JOLSITZ,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
