sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
IOTZLJS,X,O,X,X,O,X
IOTZLSJ,X,O,X,X,O,O
IOTZJLS,X,O,X,O,O,X
IOTZJSL,X,O,X,O,O,X
IOTZSLJ,X,O,X,X,O,O
IOTZSJL,O,O,X,O,O,X
IOLTJSZ,X,O,X,O,O,O
IOLTJZS,X,O,X,O,O,X
IOLTSJZ,O,O,X,O,O,O
IOLTSZJ,O,O,X,X,O,O
IOLTZJS,X,O,X,X,O,X
IOLTZSJ,O,O,X,X,O,O
IOLJTSZ,X,O,X,O,O,O
IOLJTZS,X,O,X,O,O,X
IOLJSTZ,X,O,X,O,O,O
IOLJSZT,X,X,O,X,X,X
IOLJZTS,X,O,O,O,O,X
IOLJZST,X,X,O,X,X,X
IOLSTJZ,O,O,X,X,O,O
IOLSTZJ,O,O,X,X,O,O
IOLSJTZ,O,O,X,X,O,O
IOLSJZT,O,X,O,X,X,X
IOLSZTJ,X,X,O,X,X,O
IOLSZJT,O,X,O,X,X,X
IOLZTJS,X,O,O,X,O,X
IOLZTSJ,X,O,O,X,O,O
IOLZJTS,X,O,O,X,O,X
IOLZJST,X,X,O,X,X,X
IOLZSTJ,X,X,O,X,X,O
IOLZSJT,O,X,O,X,X,X
IOJTLSZ,X,O,X,O,O,O
IOJTLZS,X,O,X,O,O,X
IOJTSLZ,X,O,X,O,O,O
IOJTSZL,X,O,X,O,O,X
IOJTZLS,X,X,X,O,O,X
IOJTZSL,X,X,X,O,O,X
IOJLTSZ,X,O,X,O,O,O
IOJLTZS,X,O,X,O,O,X
IOJLSTZ,X,O,X,O,O,O
IOJLSZT,X,X,O,X,X,X
IOJLZTS,X,O,O,O,O,X
IOJLZST,X,X,O,X,X,X
IOJSTLZ,X,X,X,O,O,O
IOJSTZL,X,X,X,O,O,X
IOJSLTZ,X,X,X,O,O,O
IOJSLZT,X,X,O,X,X,X
IOJSZTL,X,X,O,X,X,X
IOJSZLT,X,X,O,X,X,X
IOJZTLS,X,X,O,O,O,X
IOJZTSL,X,X,O,O,O,X
IOJZLTS,X,X,O,O,O,X
IOJZLST,X,X,O,X,X,X
IOJZSTL,X,X,O,X,X,X
IOJZSLT,X,X,O,X,X,X
IOSTLJZ,O,X,X,O,O,O
IOSTLZJ,O,X,X,X,O,O
IOSTJLZ,O,X,X,O,O,O
IOSTJZL,O,X,X,O,O,X
IOSTZLJ,X,X,X,X,O,O
IOSTZJL,O,X,X,O,O,X
IOSLTJZ,O,X,X,X,O,O
IOSLTZJ,O,X,X,X,O,O
IOSLJTZ,O,X,X,X,O,O
IOSLJZT,O,X,O,X,X,X
IOSLZTJ,X,X,O,X,X,O
IOSLZJT,O,X,O,X,X,X
IOSJTLZ,O,X,X,O,O,O
IOSJTZL,O,X,X,O,O,X
IOSJLTZ,O,X,X,O,O,O
IOSJLZT,O,X,O,X,X,X
IOSJZTL,O,X,O,X,X,X
IOSJZLT,O,X,O,X,X,X
IOSZTLJ,X,X,O,X,X,O
IOSZTJL,X,X,O,X,X,X
IOSZLTJ,X,X,O,X,X,O
IOSZLJT,X,X,O,X,X,X
IOSZJTL,O,X,O,X,X,X
IOSZJLT,O,X,O,X,X,X
IOZTLJS,X,O,O,X,O,X
IOZTLSJ,X,O,O,X,O,O
IOZTJLS,X,O,O,O,O,X
IOZTJSL,X,O,O,O,O,X
IOZTSLJ,X,O,O,X,O,O
IOZTSJL,X,O,O,O,O,X
IOZLTJS,X,O,O,X,O,X
IOZLTSJ,X,O,O,X,O,O
IOZLJTS,X,O,O,X,O,X
IOZLJST,X,O,O,X,X,X
IOZLSTJ,X,O,O,X,X,O
IOZLSJT,X,O,O,X,X,X
IOZJTLS,X,O,O,O,O,X
IOZJTSL,X,O,O,O,O,X
IOZJLTS,X,O,O,O,O,X
IOZJLST,X,O,O,X,X,X
IOZJSTL,X,X,O,X,X,X
IOZJSLT,X,X,O,X,X,X
IOZSTLJ,X,X,O,X,X,O
IOZSTJL,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,X,O
IOZSLJT,X,X,O,X,X,X
IOZSJTL,O,X,O,X,X,X
IOZSJLT,O,X,O,X,X,X
LTIJSZO,O,X,O,O,X,X
LTIJSOZ,O,X,X,O,O,O
LTIJZSO,O,X,O,O,X,X
LTIJZOS,X,X,O,X,X,X
LTIJOSZ,X,X,X,O,O,O
LTIJOZS,X,X,X,O,O,X
LTISJZO,O,X,O,O,X,X
LTISJOZ,O,X,X,O,O,O
LTISZJO,O,X,O,X,X,X
LTISZOJ,O,X,O,X,X,O
LTISOJZ,O,X,X,O,O,O
LTISOZJ,O,X,X,X,O,O
LTIZJSO,O,X,O,X,X,X
LTIZJOS,X,X,O,X,X,X
LTIZSJO,O,X,O,X,X,X
LTIZSOJ,O,X,O,X,X,O
LTIZOJS,X,X,O,X,X,X
LTIZOSJ,O,X,O,X,X,O
LTIOJSZ,O,X,X,O,O,O
LTIOJZS,O,X,X,O,O,X
LTIOSJZ,O,X,X,O,O,O
LTIOSZJ,O,X,X,X,O,O
LTIOZJS,O,X,X,X,O,X
LTIOZSJ,O,X,X,X,O,O
LTJISZO,O,X,O,O,X,X
LTJISOZ,O,X,X,O,X,X
LTJIZSO,O,X,O,O,X,X
LTJIZOS,X,X,O,X,X,X
LTJIOSZ,X,X,X,O,X,X
LTJIOZS,X,X,X,O,X,X
LTJSIZO,O,O,O,O,X,X
LTJSIOZ,O,O,X,O,X,X
LTJSZIO,O,O,O,O,X,X
LTJSZOI,O,O,O,X,X,X
LTJSOIZ,O,O,X,O,X,X
LTJSOZI,O,O,X,X,X,X
LTJZISO,O,O,O,O,X,X
LTJZIOS,X,O,O,X,X,X
LTJZSIO,O,O,O,O,X,X
LTJZSOI,O,O,O,X,X,X
LTJZOIS,X,O,O,X,X,X
LTJZOSI,X,O,O,X,X,X
LTJOISZ,O,O,X,O,X,X
LTJOIZS,O,O,X,O,X,X
LTJOSIZ,O,O,X,O,X,X
LTJOSZI,O,O,X,O,X,X
LTJOZIS,O,O,X,O,X,X
LTJOZSI,O,O,X,O,X,X
LTSIJZO,O,O,O,O,X,X
LTSIJOZ,O,O,X,O,O,X
LTSIZJO,O,X,O,X,X,X
LTSIZOJ,O,X,O,X,X,X
LTSIOJZ,O,X,X,O,O,X
LTSIOZJ,O,X,X,X,O,X
LTSJIZO,O,O,O,O,X,X
LTSJIOZ,O,O,X,O,O,X
LTSJZIO,O,O,O,O,X,X
LTSJZOI,O,O,O,X,X,X
LTSJOIZ,O,O,X,O,X,X
LTSJOZI,O,O,X,X,X,X
LTSZIJO,O,O,O,X,X,X
LTSZIOJ,O,O,O,X,X,X
LTSZJIO,O,O,O,X,X,X
LTSZJOI,O,O,O,X,X,X
LTSZOIJ,O,O,O,X,X,X
LTSZOJI,O,O,O,X,X,X
LTSOIJZ,O,O,X,O,X,X
LTSOIZJ,O,O,X,X,X,X
LTSOJIZ,O,O,X,O,X,X
LTSOJZI,O,O,X,O,X,X
LTSOZIJ,O,O,X,X,X,X
LTSOZJI,O,O,X,X,X,X
LTZIJSO,O,O,O,X,X,X
LTZIJOS,X,O,O,X,X,X
LTZISJO,O,O,O,X,X,X
LTZISOJ,O,O,O,X,X,X
LTZIOJS,X,O,O,X,X,X
LTZIOSJ,O,O,O,X,X,X
LTZJISO,O,O,O,X,X,X
LTZJIOS,X,O,O,X,X,X
LTZJSIO,O,O,O,X,X,X
LTZJSOI,O,O,O,X,X,X
LTZJOIS,X,O,O,X,X,X
LTZJOSI,X,O,O,X,X,X
LTZSIJO,O,O,O,X,X,X
LTZSIOJ,O,O,O,X,X,X
LTZSJIO,O,O,O,X,X,X
LTZSJOI,O,O,O,X,X,X
LTZSOIJ,O,O,O,X,X,X
LTZSOJI,O,O,O,X,X,X
LTZOIJS,O,O,O,X,X,X
LTZOISJ,O,O,O,X,X,X
LTZOJIS,O,O,O,X,X,X
LTZOJSI,O,O,O,X,X,X
LTZOSIJ,O,O,O,X,X,X
LTZOSJI,O,O,O,X,X,X
LTOIJSZ,O,O,X,O,X,O
LTOIJZS,O,O,X,O,X,X
LTOISJZ,O,O,X,O,X,O
LTOISZJ,O,O,X,X,X,O
LTOIZJS,O,O,X,X,X,X
LTOIZSJ,O,O,X,X,X,O
LTOJISZ,O,O,X,O,X,X
LTOJIZS,O,O,X,O,X,X
LTOJSIZ,O,O,X,O,X,X
LTOJSZI,O,O,X,O,X,X
LTOJZIS,O,O,X,O,X,X
LTOJZSI,O,O,X,O,X,X
LTOSIJZ,O,O,X,O,X,X
LTOSIZJ,O,O,X,X,X,X
LTOSJIZ,O,O,X,O,X,X
LTOSJZI,O,O,X,O,X,X
LTOSZIJ,O,O,X,X,X,X
LTOSZJI,O,O,X,X,X,X
LTOZIJS,O,O,X,X,X,X
LTOZISJ,O,O,X,X,X,X
LTOZJIS,O,O,X,X,X,X
LTOZJSI,O,O,X,X,X,X
LTOZSIJ,O,O,X,X,X,X
LTOZSJI,O,O,X,X,X,X
LITJSZO,O,X,O,O,X,X
LITJSOZ,O,X,X,O,O,O
LITJZSO,O,X,O,O,X,X
LITJZOS,X,X,O,X,X,X
LITJOSZ,X,X,X,O,O,O
LITJOZS,X,X,X,O,O,X
LITSJZO,O,X,O,O,X,X
LITSJOZ,O,X,X,O,O,O
LITSZJO,O,X,O,X,X,X
LITSZOJ,O,X,O,X,X,O
LITSOJZ,O,X,X,O,O,O
LITSOZJ,O,X,X,X,O,O
LITZJSO,O,X,O,X,X,X
LITZJOS,X,X,O,X,X,X
LITZSJO,O,X,O,X,X,X
LITZSOJ,O,X,O,X,X,O
LITZOJS,X,X,O,X,X,X
LITZOSJ,O,X,O,X,X,O
LITOJSZ,O,X,X,O,O,O
LITOJZS,O,X,X,O,O,X
LITOSJZ,O,X,X,O,O,O
LITOSZJ,O,X,X,X,O,O
LITOZJS,O,X,X,X,O,X
LITOZSJ,O,X,X,X,O,O
LIJTSZO,O,X,O,O,X,X
LIJTSOZ,O,X,X,O,O,O
LIJTZSO,O,X,O,O,X,X
LIJTZOS,X,X,O,X,X,X
LIJTOSZ,X,X,X,O,O,O
LIJTOZS,X,X,X,O,O,X
LIJSTZO,O,X,O,O,X,X
LIJSTOZ,O,X,X,O,X,O
LIJSZTO,O,X,O,X,X,X
LIJSZOT,O,X,O,X,X,X
LIJSOTZ,O,X,X,X,X,O
LIJSOZT,O,X,O,X,X,X
LIJZTSO,X,X,O,O,X,X
LIJZTOS,X,X,O,X,X,X
LIJZSTO,O,X,O,X,X,X
LIJZSOT,O,X,O,X,X,X
LIJZOTS,X,X,O,X,X,X
LIJZOST,X,X,O,X,X,X
LIJOTSZ,X,X,X,O,O,O
LIJOTZS,X,X,X,O,O,X
LIJOSTZ,X,X,X,O,O,O
LIJOSZT,X,X,O,X,X,X
LIJOZTS,X,X,O,O,O,X
LIJOZST,X,X,O,X,X,X
LISTJZO,O,X,O,X,X,X
LISTJOZ,O,X,X,X,X,O
LISTZJO,O,X,O,X,X,X
LISTZOJ,O,X,O,X,X,O
LISTOJZ,O,X,X,X,X,O
LISTOZJ,O,X,X,X,X,O
LISJTZO,O,X,O,X,X,X
LISJTOZ,O,X,X,X,X,O
LISJZTO,O,X,O,X,X,X
LISJZOT,O,X,O,X,X,X
LISJOTZ,O,X,X,X,X,O
LISJOZT,O,X,O,X,X,X
LISZTJO,O,X,O,X,X,X
LISZTOJ,O,X,O,X,X,O
LISZJTO,O,X,O,X,X,X
LISZJOT,O,X,O,X,X,X
LISZOTJ,X,X,O,X,X,O
LISZOJT,O,X,O,X,X,X
LISOTJZ,O,X,X,X,X,O
LISOTZJ,O,X,X,X,X,O
LISOJTZ,O,X,X,X,X,O
LISOJZT,O,X,O,X,X,X
LISOZTJ,X,X,O,X,X,O
LISOZJT,O,X,O,X,X,X
LIZTJSO,O,X,O,X,X,X
LIZTJOS,X,X,O,X,X,X
LIZTSJO,O,X,O,X,X,X
LIZTSOJ,O,X,O,X,X,O
LIZTOJS,X,X,O,X,X,X
LIZTOSJ,O,X,O,X,X,O
LIZJTSO,X,X,O,X,X,X
LIZJTOS,X,X,O,X,X,X
LIZJSTO,O,X,O,X,X,X
LIZJSOT,O,X,O,X,X,X
LIZJOTS,X,X,O,X,X,X
LIZJOST,X,X,O,X,X,X
LIZSTJO,O,X,O,X,X,X
LIZSTOJ,O,X,O,X,X,O
LIZSJTO,O,X,O,X,X,X
LIZSJOT,O,X,O,X,X,X
LIZSOTJ,X,X,O,X,X,O
LIZSOJT,O,X,O,X,X,X
LIZOTJS,X,X,O,X,X,X
LIZOTSJ,X,X,O,X,X,O
LIZOJTS,X,X,O,X,X,X
LIZOJST,X,X,O,X,X,X
LIZOSTJ,X,X,O,X,X,O
LIZOSJT,O,X,O,X,X,X
LIOTJSZ,X,X,X,O,O,O
LIOTJZS,X,X,X,O,O,X
LIOTSJZ,O,X,X,O,O,O
LIOTSZJ,O,X,X,X,O,O
LIOTZJS,X,X,X,X,O,X
LIOTZSJ,O,X,X,X,O,O
LIOJTSZ,X,X,X,O,O,O
LIOJTZS,X,X,X,O,O,X
LIOJSTZ,X,X,X,O,O,O
LIOJSZT,X,X,O,X,X,X
LIOJZTS,X,X,O,O,O,X
LIOJZST,X,X,O,X,X,X
LIOSTJZ,O,X,X,X,O,O
LIOSTZJ,O,X,X,X,O,O
LIOSJTZ,O,X,X,X,O,O
LIOSJZT,O,X,O,X,X,X
LIOSZTJ,X,X,O,X,X,O
LIOSZJT,O,X,O,X,X,X
LIOZTJS,X,X,O,X,O,X
LIOZTSJ,X,X,O,X,O,O
LIOZJTS,X,X,O,X,O,X
LIOZJST,X,X,O,X,X,X
LIOZSTJ,X,X,O,X,X,O
LIOZSJT,O,X,O,X,X,X
LJTISZO,O,X,O,O,X,X
LJTISOZ,O,X,X,O,X,X
LJTIZSO,O,X,O,O,X,X
LJTIZOS,X,X,O,X,X,X
LJTIOSZ,X,X,X,O,X,X
LJTIOZS,X,X,X,O,X,X
LJTSIZO,O,O,O,O,X,X
LJTSIOZ,O,O,X,O,X,X
LJTSZIO,O,O,O,O,X,X
LJTSZOI,O,O,O,X,X,X
LJTSOIZ,O,O,X,O,X,X
LJTSOZI,O,O,X,X,X,X
LJTZISO,O,O,O,O,X,X
LJTZIOS,X,O,O,X,X,X
LJTZSIO,O,O,O,O,X,X
LJTZSOI,O,O,O,X,X,X
LJTZOIS,X,O,O,X,X,X
LJTZOSI,X,O,O,X,X,X
LJTOISZ,O,O,X,O,X,X
LJTOIZS,O,O,X,O,X,X
LJTOSIZ,O,O,X,O,X,X
LJTOSZI,O,O,X,O,X,X
LJTOZIS,O,O,X,O,X,X
LJTOZSI,O,O,X,O,X,X
LJITSZO,O,X,O,O,X,X
LJITSOZ,O,X,X,O,X,X
LJITZSO,O,X,O,O,X,X
LJITZOS,X,X,O,X,X,X
LJITOSZ,X,X,X,O,X,X
LJITOZS,X,X,X,O,X,X
LJISTZO,O,X,O,O,X,X
LJISTOZ,O,X,X,O,X,X
LJISZTO,O,X,O,X,X,X
LJISZOT,O,X,O,X,X,X
LJISOTZ,O,X,X,X,X,X
LJISOZT,O,X,O,X,X,X
LJIZTSO,X,X,O,O,X,X
LJIZTOS,X,X,O,X,X,X
LJIZSTO,O,X,O,X,X,X
LJIZSOT,O,X,O,X,X,X
LJIZOTS,X,X,O,X,X,X
LJIZOST,X,X,O,X,X,X
LJIOTSZ,X,X,X,O,X,X
LJIOTZS,X,X,X,O,X,X
LJIOSTZ,X,X,X,O,X,X
LJIOSZT,X,X,O,X,X,X
LJIOZTS,X,X,O,O,X,X
LJIOZST,X,X,O,X,X,X
LJSTIZO,O,X,O,O,X,X
LJSTIOZ,O,X,X,O,X,X
LJSTZIO,O,X,O,O,X,X
LJSTZOI,O,X,O,X,X,X
LJSTOIZ,O,X,X,O,X,X
LJSTOZI,O,X,X,X,X,X
LJSITZO,O,X,O,O,X,X
LJSITOZ,O,X,X,O,X,X
LJSIZTO,O,X,O,X,X,X
LJSIZOT,O,X,O,X,X,X
LJSIOTZ,O,X,X,X,X,X
LJSIOZT,O,X,O,X,X,X
LJSZTIO,O,X,O,X,X,X
LJSZTOI,O,X,O,X,X,X
LJSZITO,O,X,O,X,X,X
LJSZIOT,O,X,O,X,X,X
LJSZOTI,O,X,O,X,X,X
LJSZOIT,O,X,O,X,X,X
LJSOTIZ,O,X,X,X,X,X
LJSOTZI,O,X,X,X,X,X
LJSOITZ,O,X,X,X,X,X
LJSOIZT,O,X,O,X,X,X
LJSOZTI,O,X,O,X,X,X
LJSOZIT,O,X,O,X,X,X
LJZTISO,O,O,O,O,X,X
LJZTIOS,X,O,O,X,X,X
LJZTSIO,O,O,O,O,X,X
LJZTSOI,O,O,O,X,X,X
LJZTOIS,X,O,O,X,X,X
LJZTOSI,X,O,O,X,X,X
LJZITSO,X,O,O,O,X,X
LJZITOS,X,O,O,X,X,X
LJZISTO,O,O,O,X,X,X
LJZISOT,O,X,O,X,X,X
LJZIOTS,X,O,O,X,X,X
LJZIOST,X,X,O,X,X,X
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,O,X,X,X
LJZSITO,O,O,O,X,X,X
LJZSIOT,O,X,O,X,X,X
LJZSOTI,O,X,O,X,X,X
LJZSOIT,O,X,O,X,X,X
LJZOTIS,X,O,O,X,X,X
LJZOTSI,X,O,O,X,X,X
LJZOITS,X,O,O,X,X,X
LJZOIST,X,O,O,X,X,X
LJZOSTI,X,O,O,X,X,X
LJZOSIT,X,O,O,X,X,X
LJOTISZ,X,O,X,O,X,X
LJOTIZS,X,O,X,O,X,X
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,X,O,X,O,X,X
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,X
LJOITSZ,X,O,X,O,X,X
LJOITZS,X,O,X,O,X,X
LJOISTZ,X,O,X,O,X,X
LJOISZT,X,X,O,X,X,X
LJOIZTS,X,O,O,O,X,X
LJOIZST,X,X,O,X,X,X
LJOSTIZ,X,O,X,O,X,X
LJOSTZI,X,O,X,O,X,X
LJOSITZ,X,O,X,O,X,X
LJOSIZT,X,X,O,X,X,X
LJOSZTI,X,X,O,O,X,X
LJOSZIT,X,X,O,X,X,X
LJOZTIS,X,O,O,O,X,X
LJOZTSI,X,O,O,O,X,X
LJOZITS,X,O,O,O,X,X
LJOZIST,X,X,O,X,X,X
LJOZSTI,X,X,O,O,X,X
LJOZSIT,X,X,O,X,X,X
LSTIJZO,O,X,O,X,X,X
LSTIJOZ,O,X,X,X,X,X
LSTIZJO,O,X,O,X,X,X
LSTIZOJ,O,X,O,X,X,X
LSTIOJZ,O,X,X,X,X,X
LSTIOZJ,O,X,X,X,X,X
LSTJIZO,O,X,O,X,X,X
LSTJIOZ,O,X,X,X,X,X
LSTJZIO,O,X,O,X,X,X
LSTJZOI,O,X,O,X,X,X
LSTJOIZ,O,X,X,X,X,X
LSTJOZI,O,X,X,X,X,X
LSTZIJO,O,X,O,X,X,X
LSTZIOJ,O,X,O,X,X,X
LSTZJIO,O,X,O,X,X,X
LSTZJOI,O,X,O,X,X,X
LSTZOIJ,O,X,O,X,X,X
LSTZOJI,O,X,O,X,X,X
LSTOIJZ,O,X,X,X,X,X
LSTOIZJ,O,X,X,X,X,X
LSTOJIZ,O,X,X,X,X,X
LSTOJZI,O,X,X,X,X,X
LSTOZIJ,O,X,X,X,X,X
LSTOZJI,O,X,X,X,X,X
LSITJZO,O,X,O,X,X,X
LSITJOZ,O,X,X,X,X,X
LSITZJO,O,X,O,X,X,X
LSITZOJ,O,X,O,X,X,X
LSITOJZ,O,X,X,X,X,X
LSITOZJ,O,X,X,X,X,X
LSIJTZO,O,X,O,X,X,X
LSIJTOZ,O,X,X,X,X,X
LSIJZTO,O,X,O,X,X,X
LSIJZOT,O,X,O,X,X,X
LSIJOTZ,O,X,X,X,X,X
LSIJOZT,O,X,O,X,X,X
LSIZTJO,O,X,O,X,X,X
LSIZTOJ,O,X,O,X,X,X
LSIZJTO,O,X,O,X,X,X
LSIZJOT,O,X,O,X,X,X
LSIZOTJ,X,X,O,X,X,X
LSIZOJT,O,X,O,X,X,X
LSIOTJZ,O,X,X,X,X,X
LSIOTZJ,O,X,X,X,X,X
LSIOJTZ,O,X,X,X,X,X
LSIOJZT,O,X,O,X,X,X
LSIOZTJ,X,X,O,X,X,X
LSIOZJT,O,X,O,X,X,X
LSJTIZO,O,X,O,X,X,X
LSJTIOZ,O,X,X,X,X,X
LSJTZIO,O,X,O,X,X,X
LSJTZOI,O,X,O,X,X,X
LSJTOIZ,O,X,X,X,X,X
LSJTOZI,O,X,X,X,X,X
LSJITZO,O,X,O,X,X,X
LSJITOZ,O,X,X,X,X,X
LSJIZTO,O,X,O,X,X,X
LSJIZOT,O,X,O,X,X,X
LSJIOTZ,O,X,X,X,X,X
LSJIOZT,O,X,O,X,X,X
LSJZTIO,O,X,O,X,X,X
LSJZTOI,O,X,O,X,X,X
LSJZITO,O,X,O,X,X,X
LSJZIOT,O,X,O,X,X,X
LSJZOTI,O,X,O,X,X,X
LSJZOIT,O,X,O,X,X,X
LSJOTIZ,O,X,X,X,X,X
LSJOTZI,O,X,X,X,X,X
LSJOITZ,O,X,X,X,X,X
LSJOIZT,O,X,O,X,X,X
LSJOZTI,O,X,O,X,X,X
LSJOZIT,O,X,O,X,X,X
LSZTIJO,O,X,O,X,X,X
LSZTIOJ,O,X,O,X,X,X
LSZTJIO,O,X,O,X,X,X
LSZTJOI,O,X,O,X,X,X
LSZTOIJ,O,X,O,X,X,X
LSZTOJI,O,X,O,X,X,X
LSZITJO,O,X,O,X,X,X
LSZITOJ,O,X,O,X,X,X
LSZIJTO,O,X,O,X,X,X
LSZIJOT,O,X,O,X,X,X
LSZIOTJ,X,X,O,X,X,X
LSZIOJT,O,X,O,X,X,X
LSZJTIO,O,X,O,X,X,X
LSZJTOI,O,X,O,X,X,X
LSZJITO,O,X,O,X,X,X
LSZJIOT,O,X,O,X,X,X
LSZJOTI,O,X,O,X,X,X
LSZJOIT,O,X,O,X,X,X
LSZOTIJ,O,X,O,X,X,X
LSZOTJI,O,X,O,X,X,X
LSZOITJ,X,X,O,X,X,X
LSZOIJT,O,X,O,X,X,X
LSZOJTI,O,X,O,X,X,X
LSZOJIT,O,X,O,X,X,X
LSOTIJZ,O,X,X,X,X,X
LSOTIZJ,O,X,X,X,X,X
LSOTJIZ,O,X,X,X,X,X
LSOTJZI,O,X,X,X,X,X
LSOTZIJ,O,X,X,X,X,X
LSOTZJI,O,X,X,X,X,X
LSOITJZ,O,X,X,X,X,X
LSOITZJ,O,X,X,X,X,X
LSOIJTZ,O,X,X,X,X,X
LSOIJZT,O,X,O,X,X,X
LSOIZTJ,X,X,O,X,X,X
LSOIZJT,O,X,O,X,X,X
LSOJTIZ,O,X,X,X,X,X
LSOJTZI,O,X,X,X,X,X
LSOJITZ,O,X,X,X,X,X
LSOJIZT,O,X,O,X,X,X
LSOJZTI,O,X,O,X,X,X
LSOJZIT,O,X,O,X,X,X
LSOZTIJ,O,X,O,X,X,X
LSOZTJI,O,X,O,X,X,X
LSOZITJ,X,X,O,X,X,X
LSOZIJT,O,X,O,X,X,X
LSOZJTI,O,X,O,X,X,X
LSOZJIT,O,X,O,X,X,X
LZTIJSO,O,O,O,X,X,X
LZTIJOS,X,O,O,X,X,X
LZTISJO,O,O,O,X,X,X
LZTISOJ,O,O,O,X,X,X
LZTIOJS,X,O,O,X,X,X
LZTIOSJ,O,O,O,X,X,X
LZTJISO,O,O,O,X,X,X
LZTJIOS,X,O,O,X,X,X
LZTJSIO,O,O,O,X,X,X
LZTJSOI,O,O,O,X,X,X
LZTJOIS,X,O,O,X,X,X
LZTJOSI,X,O,O,X,X,X
LZTSIJO,O,O,O,X,X,X
LZTSIOJ,O,O,O,X,X,X
LZTSJIO,O,O,O,X,X,X
LZTSJOI,O,O,O,X,X,X
LZTSOIJ,O,O,O,X,X,X
LZTSOJI,O,O,O,X,X,X
LZTOIJS,O,O,O,X,X,X
LZTOISJ,O,O,O,X,X,X
LZTOJIS,O,O,O,X,X,X
LZTOJSI,O,O,O,X,X,X
LZTOSIJ,O,O,O,X,X,X
LZTOSJI,O,O,O,X,X,X
LZITJSO,O,O,O,X,X,X
LZITJOS,X,O,O,X,X,X
LZITSJO,O,O,O,X,X,X
LZITSOJ,O,O,O,X,X,X
LZITOJS,X,O,O,X,X,X
LZITOSJ,O,O,O,X,X,X
LZIJTSO,X,O,O,X,X,X
LZIJTOS,X,O,O,X,X,X
LZIJSTO,O,O,O,X,X,X
LZIJSOT,O,X,O,X,X,X
LZIJOTS,X,O,O,X,X,X
LZIJOST,X,X,O,X,X,X
LZISTJO,O,O,O,X,X,X
LZISTOJ,O,O,O,X,X,X
LZISJTO,O,O,O,X,X,X
LZISJOT,O,X,O,X,X,X
LZISOTJ,X,X,O,X,X,X
LZISOJT,O,X,O,X,X,X
LZIOTJS,X,O,O,X,X,X
LZIOTSJ,X,O,O,X,X,X
LZIOJTS,X,O,O,X,X,X
LZIOJST,X,X,O,X,X,X
LZIOSTJ,X,X,O,X,X,X
LZIOSJT,O,X,O,X,X,X
LZJTISO,O,O,O,X,X,X
LZJTIOS,X,O,O,X,X,X
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,O,O,X,X,X
LZJTOIS,X,O,O,X,X,X
LZJTOSI,X,O,O,X,X,X
LZJITSO,X,O,O,X,X,X
LZJITOS,X,O,O,X,X,X
LZJISTO,O,O,O,X,X,X
LZJISOT,O,X,O,X,X,X
LZJIOTS,X,O,O,X,X,X
LZJIOST,X,X,O,X,X,X
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,O,X,X,X
LZJSITO,O,O,O,X,X,X
LZJSIOT,O,X,O,X,X,X
LZJSOTI,O,X,O,X,X,X
LZJSOIT,O,X,O,X,X,X
LZJOTIS,X,O,O,X,X,X
LZJOTSI,X,O,O,X,X,X
LZJOITS,X,O,O,X,X,X
LZJOIST,X,O,O,X,X,X
LZJOSTI,X,O,O,X,X,X
LZJOSIT,X,O,O,X,X,X
LZSTIJO,O,O,O,X,X,X
LZSTIOJ,O,O,O,X,X,X
LZSTJIO,O,O,O,X,X,X
LZSTJOI,O,O,O,X,X,X
LZSTOIJ,O,O,O,X,X,X
LZSTOJI,O,O,O,X,X,X
LZSITJO,O,O,O,X,X,X
LZSITOJ,O,O,O,X,X,X
LZSIJTO,O,O,O,X,X,X
LZSIJOT,O,X,O,X,X,X
LZSIOTJ,X,X,O,X,X,X
LZSIOJT,O,X,O,X,X,X
LZSJTIO,O,O,O,X,X,X
LZSJTOI,O,O,O,X,X,X
LZSJITO,O,O,O,X,X,X
LZSJIOT,O,X,O,X,X,X
LZSJOTI,O,X,O,X,X,X
LZSJOIT,O,X,O,X,X,X
LZSOTIJ,O,X,O,X,X,X
LZSOTJI,O,X,O,X,X,X
LZSOITJ,X,X,O,X,X,X
LZSOIJT,O,X,O,X,X,X
LZSOJTI,O,X,O,X,X,X
LZSOJIT,O,X,O,X,X,X
LZOTIJS,X,O,O,X,X,X
LZOTISJ,O,O,O,X,X,X
