sequence,v115@GhA8HeC8GeD8DeD8Jei/IvhFRhBunBfqBzmBUrBlqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBXlBUnBGrByvB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBSqB/rBUnB2vB,v115@GhA8HeC8GeD8DeD8Je/EJvhFzgBRiBGnB0qBlrBaqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFylB3iBFqBxrBurB0qB,v115@GhA8HeC8GeD8DeD8JeT/IvhF0gBlhB3iBRqBCsB2vB,v115@GhA8HeC8GeD8DeD8JeT/IvhF3iBxlBmlBUnBFqBSwB,v115@GhA8HeC8GeD8DeD8JeT/IvhFUiBxlBmlB3nBFqBSwB,v115@GhA8HeC8GeD8DeD8Je2EJvhF/mBRiBcqBTnBClBVwB,v115@GhA8HeC8GeD8DeD8Je3AJvhFRiB0kBSsBzqBlrBmpB
ILOJSZT,O,X,O,X,X,O,O,X,X,X
ILOJZTS,O,X,X,X,X,O,X,O,X,X
ILOJZST,O,X,X,X,X,O,X,O,X,X
ILOSTJZ,O,X,O,X,O,O,O,X,X,X
ILOSTZJ,X,X,O,X,O,O,O,X,X,X
ILOSJTZ,O,X,O,X,X,O,O,X,X,X
ILOSJZT,O,X,O,X,X,O,O,X,X,X
ILOSZTJ,O,X,O,X,X,O,O,O,X,O
ILOSZJT,O,X,O,X,X,O,O,O,X,X
ILOZTJS,O,X,X,X,X,O,X,O,X,O
ILOZTSJ,X,X,O,X,X,O,X,O,X,O
ILOZJTS,O,X,X,X,X,O,X,O,X,X
ILOZJST,O,X,X,X,X,O,X,O,X,X
ILOZSTJ,X,X,O,X,X,O,O,O,X,O
ILOZSJT,O,X,O,X,X,O,O,O,X,X
IJTLSZO,X,X,X,O,O,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,X,X,X,X,X
IJTLZSO,X,X,X,O,O,X,X,X,X,X
IJTLZOS,X,X,X,O,O,X,X,X,X,X
IJTLOSZ,X,X,X,X,O,X,X,X,X,X
IJTLOZS,X,X,X,O,O,X,X,X,X,X
IJTSLZO,X,X,X,O,O,X,X,X,X,X
IJTSLOZ,X,O,X,X,O,X,X,X,X,X
IJTSZLO,X,X,X,O,O,X,X,X,X,X
IJTSZOL,X,O,X,O,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,O,X,X,X,X,X
IJTSOZL,X,O,X,O,O,X,X,X,X,X
IJTZLSO,X,X,X,O,O,X,X,X,X,X
IJTZLOS,X,X,X,O,O,X,X,X,X,X
IJTZSLO,X,X,X,O,O,X,X,X,X,X
IJTZSOL,X,X,X,O,O,X,X,X,X,X
IJTZOLS,X,X,X,O,O,X,X,X,X,X
IJTZOSL,X,X,X,O,O,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,X,X,X,X,X
IJTOLZS,X,X,X,O,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,O,X,X,X,X,X
IJTOSZL,X,X,X,O,O,X,X,X,X,X
IJTOZLS,X,X,X,O,O,X,X,X,X,X
IJTOZSL,X,X,X,O,O,X,X,X,X,X
IJLTSZO,X,X,X,O,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,X,X,X,X
IJLTZSO,X,X,X,O,X,O,X,X,X,X
IJLTZOS,X,X,X,O,X,O,X,X,X,X
IJLTOSZ,X,X,X,X,X,O,X,X,X,X
IJLTOZS,X,X,X,O,X,O,X,X,X,X
IJLSTZO,X,X,X,O,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,X,X,X,X
IJLSZTO,X,X,X,X,X,O,X,X,X,X
IJLSZOT,O,X,X,X,X,O,X,X,X,X
IJLSOTZ,O,X,X,X,X,O,X,X,X,X
IJLSOZT,O,X,X,X,X,O,X,X,X,X
IJLZTSO,X,X,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,X,O,X,X,X,X
IJLZSTO,X,X,X,X,X,O,X,X,X,X
IJLZSOT,X,X,X,X,X,O,X,X,X,X
IJLZOTS,O,X,X,X,X,O,X,X,X,X
IJLZOST,O,X,X,X,X,O,X,X,X,X
IJLOTSZ,O,X,X,X,X,O,X,X,X,X
IJLOTZS,O,X,X,X,X,O,X,X,X,X
IJLOSTZ,O,X,X,X,X,O,X,X,X,X
IJLOSZT,O,X,X,X,X,O,X,X,X,X
IJLOZTS,O,X,X,X,X,O,X,X,X,X
IJLOZST,O,X,X,X,X,O,X,X,X,X
IJSTLZO,X,X,X,O,O,X,X,X,X,X
IJSTLOZ,X,O,X,X,O,X,X,X,X,X
IJSTZLO,X,O,X,O,O,X,X,X,X,X
IJSTZOL,X,O,X,O,O,X,X,X,X,X
IJSTOLZ,X,O,X,X,O,X,X,X,X,X
IJSTOZL,X,O,X,O,O,X,X,X,X,X
IJSLTZO,X,X,X,O,X,O,X,X,X,X
IJSLTOZ,X,O,X,X,X,O,X,X,X,X
IJSLZTO,X,O,X,X,X,O,X,X,X,X
IJSLZOT,O,O,X,X,X,O,X,X,X,X
IJSLOTZ,O,O,X,X,X,O,X,X,X,X
IJSLOZT,O,O,X,X,X,O,X,X,X,X
IJSZTLO,X,O,X,O,X,X,X,X,X,X
IJSZTOL,X,O,X,O,X,X,X,X,X,X
IJSZLTO,X,O,X,X,X,O,X,X,X,X
IJSZLOT,O,O,X,X,X,O,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,O,X,X,X,X
IJSOTLZ,O,O,X,X,O,X,X,X,X,X
IJSOTZL,X,O,X,O,O,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,O,X,X,X,X
IJSOLZT,O,O,X,X,X,O,X,X,X,X
IJSOZTL,O,O,X,X,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,O,X,X,X,X
IJZTLSO,X,O,X,O,X,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X,X,X
IJZTSLO,X,O,X,O,X,X,X,X,X,X
IJZTSOL,X,O,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,O,X,X,X,X,X,X
IJZTOSL,X,O,X,O,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,O,X,X,X,X
IJZLTOS,X,O,X,X,X,O,X,X,X,X
IJZLSTO,X,O,X,X,X,O,X,X,X,X
IJZLSOT,X,O,X,X,X,O,X,X,X,X
IJZLOTS,O,O,X,X,X,O,X,X,X,X
IJZLOST,O,X,X,X,X,O,X,X,X,X
IJZSTLO,X,O,X,O,X,X,X,X,X,X
IJZSTOL,X,O,X,O,X,X,X,X,X,X
IJZSLTO,X,O,X,X,X,O,X,X,X,X
IJZSLOT,O,O,X,X,X,O,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X,X,X,X
IJZSOLT,O,O,X,X,X,O,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X,O,X
IJZOLTS,O,O,X,X,X,O,X,X,X,X
IJZOLST,O,X,X,X,X,O,X,X,X,X
IJZOSTL,O,O,X,X,X,X,X,X,X,X
IJZOSLT,O,O,X,X,X,O,X,X,X,X
IJOTLSZ,O,X,X,X,O,X,X,X,X,X
IJOTLZS,O,X,X,O,O,X,X,X,X,X
IJOTSLZ,O,X,X,X,O,X,X,X,X,X
IJOTSZL,X,X,X,O,O,X,X,X,X,X
IJOTZLS,O,X,X,O,O,X,X,X,X,X
IJOTZSL,O,X,X,O,O,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,O,X,X,X,X
IJOLTZS,O,X,X,X,X,O,X,X,X,X
IJOLSTZ,O,X,X,X,X,O,X,X,X,X
IJOLSZT,O,X,X,X,X,O,X,X,X,X
IJOLZTS,O,X,X,X,X,O,X,X,X,X
IJOLZST,O,X,X,X,X,O,X,X,X,X
IJOSTLZ,O,X,X,X,O,X,X,X,X,X
IJOSTZL,X,X,X,O,O,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,O,X,X,X,X
IJOSLZT,O,X,X,X,X,O,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,X,O,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X,O,X
IJOZLTS,O,O,X,X,X,O,X,X,X,X
IJOZLST,O,X,X,X,X,O,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,X
IJOZSLT,O,X,X,X,X,O,X,X,X,X
ISTLJZO,X,X,X,O,O,O,X,X,X,X
ISTLJOZ,X,X,O,X,O,O,O,X,X,X
ISTLZJO,X,X,O,O,O,O,X,X,X,X
ISTLZOJ,X,X,O,X,O,O,O,X,X,X
ISTLOJZ,X,O,O,X,O,O,O,X,X,X
ISTLOZJ,X,O,O,X,O,O,O,X,X,X
ISTJLZO,X,X,X,O,O,X,X,X,X,X
ISTJLOZ,X,O,O,X,O,X,X,X,X,X
ISTJZLO,X,O,X,O,O,X,X,X,X,X
ISTJZOL,X,O,X,O,O,X,X,X,X,X
ISTJOLZ,X,O,O,X,O,X,O,X,X,X
ISTJOZL,X,O,O,O,O,X,O,X,X,X
ISTZLJO,X,X,O,O,O,O,X,X,X,X
ISTZLOJ,X,O,O,X,O,O,X,X,X,X
ISTZJLO,X,O,O,O,O,X,X,X,X,X
ISTZJOL,X,O,O,O,O,X,X,X,X,X
ISTZOLJ,X,O,O,X,O,O,O,X,X,X
ISTZOJL,X,O,O,O,O,X,O,X,X,X
ISTOLJZ,X,O,O,X,O,O,O,X,X,X
ISTOLZJ,X,O,O,X,O,O,O,X,X,X
ISTOJLZ,X,O,O,X,O,X,O,X,X,X
ISTOJZL,X,O,O,O,O,X,O,X,X,X
ISTOZLJ,X,O,O,X,O,O,O,X,X,X
ISTOZJL,X,O,O,O,O,X,O,X,X,X
ISLTJZO,X,X,X,O,O,O,X,X,X,X
ISLTJOZ,X,X,O,X,O,O,O,X,X,X
ISLTZJO,X,X,O,O,O,O,X,X,X,X
ISLTZOJ,X,X,O,X,O,O,O,X,X,X
ISLTOJZ,X,O,O,X,O,O,O,X,X,X
ISLTOZJ,X,O,O,X,O,O,O,X,X,X
ISLJTZO,X,X,X,O,X,O,X,X,X,X
ISLJTOZ,X,O,O,X,X,O,X,X,X,X
ISLJZTO,X,O,O,X,X,O,X,X,X,X
ISLJZOT,O,O,O,X,X,O,X,X,X,X
ISLJOTZ,O,O,O,X,X,O,O,X,X,X
ISLJOZT,O,O,O,X,X,O,O,X,X,X
ISLZTJO,X,X,O,O,X,O,X,X,X,X
ISLZTOJ,X,O,O,X,X,O,X,X,X,X
ISLZJTO,X,X,O,X,X,O,X,X,X,X
ISLZJOT,O,X,O,X,X,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,O,O,X,X,X
ISLZOJT,O,X,O,X,X,O,O,X,X,X
ISLOTJZ,O,O,O,X,O,O,O,X,X,X
ISLOTZJ,X,O,O,X,O,O,O,X,X,X
ISLOJTZ,O,O,O,X,X,O,O,X,X,X
ISLOJZT,O,O,O,X,X,O,O,X,X,X
ISLOZTJ,O,O,O,X,X,O,O,X,X,X
ISLOZJT,O,X,O,X,X,O,O,X,X,X
ISJTLZO,X,X,X,O,O,X,X,X,X,X
ISJTLOZ,X,O,O,X,O,X,X,X,X,X
ISJTZLO,X,O,X,O,O,X,X,X,X,X
ISJTZOL,X,O,X,O,O,X,X,X,X,X
ISJTOLZ,X,O,O,X,O,X,X,X,X,X
ISJTOZL,X,O,O,O,O,X,X,X,X,X
ISJLTZO,X,X,X,O,X,O,X,X,X,X
ISJLTOZ,X,O,O,X,X,O,X,X,X,X
ISJLZTO,X,O,O,X,X,O,X,X,X,X
ISJLZOT,O,O,O,X,X,O,X,X,X,X
ISJLOTZ,O,O,O,X,X,O,X,X,X,X
ISJLOZT,O,O,O,X,X,O,X,X,X,X
ISJZTLO,X,O,O,O,X,X,X,X,X,X
ISJZTOL,X,O,O,O,X,X,X,X,X,X
ISJZLTO,X,O,O,X,X,O,X,X,X,X
ISJZLOT,O,O,O,X,X,O,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,O,X,X,X,X
ISJOTLZ,O,O,O,X,O,X,X,X,X,X
ISJOTZL,X,O,O,O,O,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,O,X,X,X,X
ISJOLZT,O,O,X,X,X,O,X,X,X,X
ISJOZTL,O,O,O,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,O,X,X,X,X
ISZTLJO,X,X,O,O,O,O,X,X,X,X
ISZTLOJ,X,O,O,X,O,O,X,X,X,X
ISZTJLO,X,O,O,O,O,X,X,X,X,X
ISZTJOL,X,O,O,O,O,X,X,X,X,X
ISZTOLJ,X,O,O,X,O,O,X,X,X,X
ISZTOJL,X,O,O,O,O,X,X,X,X,X
ISZLTJO,X,X,O,O,X,O,X,X,X,X
ISZLTOJ,X,O,O,X,X,O,X,X,X,X
ISZLJTO,X,X,O,X,X,O,X,X,X,X
ISZLJOT,O,X,O,X,X,O,X,X,X,X
ISZLOTJ,O,O,O,X,X,O,X,X,X,X
ISZLOJT,O,X,O,X,X,O,X,X,X,X
ISZJTLO,X,O,O,O,X,X,X,X,X,X
ISZJTOL,X,O,O,O,X,X,X,X,X,X
ISZJLTO,X,O,O,X,X,O,X,X,X,X
ISZJLOT,O,O,O,X,X,O,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,O,X,X,X,X
ISZOTLJ,O,O,O,X,O,O,X,X,X,X
ISZOTJL,O,O,O,O,O,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,O,X,X,X,X
ISZOLJT,O,X,O,X,X,O,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,O,X,X,X,X
ISOTLJZ,O,O,O,X,O,O,O,X,X,X
ISOTLZJ,X,O,O,X,O,O,O,X,X,X
ISOTJLZ,O,O,O,X,O,X,O,X,X,X
ISOTJZL,X,O,O,O,O,X,O,X,X,X
ISOTZLJ,X,O,O,X,O,O,O,X,X,X
ISOTZJL,X,O,O,O,O,X,O,X,X,X
ISOLTJZ,O,O,O,X,O,O,O,X,X,X
ISOLTZJ,X,O,O,X,O,O,O,X,X,X
ISOLJTZ,O,O,O,X,X,O,O,X,X,X
ISOLJZT,O,O,O,X,X,O,O,X,X,X
ISOLZTJ,O,O,O,X,X,O,O,X,X,X
ISOLZJT,O,X,O,X,X,O,O,X,X,X
ISOJTLZ,O,O,O,X,O,X,X,X,X,X
ISOJTZL,X,O,O,O,O,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,O,X,X,X,X
ISOJLZT,O,O,X,X,X,O,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,O,X,X,X,X
ISOZTLJ,O,O,O,X,O,O,X,X,X,X
ISOZTJL,O,O,O,O,O,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,O,X,X,X,X
ISOZLJT,O,X,O,X,X,O,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,O,X,X,X,X
IZTLJSO,X,O,X,O,O,O,X,X,X,X
IZTLJOS,X,O,X,O,O,O,X,X,X,X
IZTLSJO,X,X,O,O,O,O,X,X,X,X
IZTLSOJ,X,O,O,X,O,O,X,X,X,X
IZTLOJS,X,O,X,X,O,O,X,X,X,X
IZTLOSJ,X,O,O,X,O,O,X,X,X,X
IZTJLSO,X,O,X,O,O,X,X,X,X,X
IZTJLOS,X,O,X,O,O,X,X,X,X,X
IZTJSLO,X,O,O,O,O,X,X,X,X,X
IZTJSOL,X,O,O,O,O,X,X,X,X,X
IZTJOLS,X,O,X,O,O,X,X,X,X,X
IZTJOSL,X,O,O,O,O,X,X,X,X,X
IZTSLJO,X,X,O,O,O,O,X,X,X,X
IZTSLOJ,X,O,O,X,O,O,X,X,X,X
IZTSJLO,X,O,O,O,O,X,X,X,X,X
IZTSJOL,X,O,O,O,O,X,X,X,X,X
IZTSOLJ,X,O,O,X,O,O,X,X,X,X
IZTSOJL,X,O,O,O,O,X,X,X,X,X
IZTOLJS,X,O,X,X,O,O,X,X,X,X
IZTOLSJ,X,O,O,X,O,O,X,X,X,X
IZTOJLS,X,O,X,O,O,X,X,X,X,X
IZTOJSL,X,O,O,O,O,X,X,X,X,X
IZTOSLJ,X,O,O,X,O,O,X,X,X,X
IZTOSJL,X,O,O,O,O,X,X,X,X,X
IZLTJSO,X,O,X,O,X,O,X,X,X,X
IZLTJOS,X,O,X,O,X,O,X,X,X,X
IZLTSJO,X,X,O,O,X,O,X,X,X,X
IZLTSOJ,X,O,O,X,X,O,X,X,X,X
IZLTOJS,X,O,X,X,X,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,O,X,X,X,X
IZLJTSO,X,O,X,X,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,O,X,X,X,X
IZLJSTO,X,O,X,X,X,O,X,X,X,X
IZLJSOT,X,O,X,X,X,O,X,X,X,X
IZLJOTS,O,O,X,X,X,O,X,X,X,X
IZLJOST,O,X,X,X,X,O,X,X,X,X
IZLSTJO,X,X,O,O,X,O,X,X,X,X
IZLSTOJ,X,O,O,X,X,O,X,X,X,X
IZLSJTO,X,X,O,X,X,O,X,X,X,X
IZLSJOT,X,X,O,X,X,O,X,X,X,X
IZLSOTJ,X,O,O,X,X,O,X,X,X,X
IZLSOJT,X,X,O,X,X,O,X,X,X,X
IZLOTJS,O,O,X,X,X,O,X,X,X,O
IZLOTSJ,X,O,O,X,X,O,X,X,X,O
IZLOJTS,O,X,X,X,X,O,X,X,X,X
IZLOJST,O,X,X,X,X,O,X,X,X,X
IZLOSTJ,X,X,X,X,X,O,X,X,X,O
IZLOSJT,O,X,X,X,X,O,X,X,X,X
IZJTLSO,X,O,X,O,X,X,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X,X,X
IZJTSLO,X,O,O,O,X,X,X,X,X,X
IZJTSOL,X,O,O,O,X,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,X
IZJTOSL,X,O,O,O,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,O,X,X,X,X
IZJLTOS,X,O,X,X,X,O,X,X,X,X
IZJLSTO,X,O,X,X,X,O,X,X,X,X
IZJLSOT,X,O,X,X,X,O,X,X,X,X
IZJLOTS,O,O,X,X,X,O,X,X,X,X
IZJLOST,O,X,X,X,X,O,X,X,X,X
IZJSTLO,X,O,O,O,X,X,X,X,X,X
IZJSTOL,X,O,O,O,X,X,X,X,X,X
IZJSLTO,X,O,O,X,X,O,X,X,X,X
IZJSLOT,O,O,O,X,X,O,X,X,X,X
IZJSOTL,O,O,O,X,X,X,X,X,X,X
IZJSOLT,O,O,X,X,X,O,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,X,X,O,X
IZJOLTS,O,O,X,X,X,O,X,X,X,X
IZJOLST,O,X,X,X,X,O,X,X,X,X
IZJOSTL,O,O,X,X,X,X,X,X,X,X
IZJOSLT,O,O,X,X,X,O,X,X,X,X
IZSTLJO,X,X,O,O,O,O,X,X,X,X
IZSTLOJ,X,O,O,X,O,O,X,X,X,X
IZSTJLO,X,O,O,O,O,X,X,X,X,X
IZSTJOL,X,O,O,O,O,X,X,X,X,X
IZSTOLJ,X,O,O,X,O,O,X,X,X,X
IZSTOJL,X,O,O,O,O,X,X,X,X,X
IZSLTJO,X,X,O,O,X,O,X,X,X,X
IZSLTOJ,X,O,O,X,X,O,X,X,X,X
IZSLJTO,X,X,O,X,X,O,X,X,X,X
IZSLJOT,O,X,O,X,X,O,X,X,X,X
IZSLOTJ,O,O,O,X,X,O,X,X,X,X
IZSLOJT,O,X,O,X,X,O,X,X,X,X
IZSJTLO,X,O,O,O,X,X,X,X,X,X
IZSJTOL,X,O,O,O,X,X,X,X,X,X
IZSJLTO,X,O,O,X,X,O,X,X,X,X
IZSJLOT,O,O,O,X,X,O,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,O,X,X,X,X
IZSOTLJ,O,O,O,X,O,O,X,X,X,X
IZSOTJL,O,O,O,O,O,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,O,X,X,X,O
IZSOLJT,O,X,O,X,X,O,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,O,X,X,X,X
IZOTLJS,O,O,X,X,O,O,X,X,X,X
IZOTLSJ,X,O,O,X,O,O,X,X,X,X
IZOTJLS,O,O,X,O,O,X,X,X,X,X
IZOTJSL,O,O,O,O,O,X,X,X,O,X
IZOTSLJ,O,O,O,X,O,O,X,X,O,X
IZOTSJL,O,O,O,O,O,X,X,X,O,X
IZOLTJS,O,O,X,X,X,O,X,X,X,O
IZOLTSJ,X,O,O,X,X,O,X,X,X,O
IZOLJTS,O,X,X,X,X,O,X,X,X,X
IZOLJST,O,X,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,X,O,X,X,X,O
IZOLSJT,O,X,X,X,X,O,X,X,X,X
IZOJTLS,O,O,X,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X,X,O,X
IZOJLTS,O,O,X,X,X,O,X,X,X,X
IZOJLST,O,X,X,X,X,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,X,X,X
IZOJSLT,O,O,X,X,X,O,X,X,X,X
IZOSTLJ,O,O,O,X,O,O,X,X,X,X
IZOSTJL,O,O,O,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,O,X,X,X,O
IZOSLJT,O,X,O,X,X,O,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,O,X,X,X,X
IOTLJSZ,O,X,O,X,O,O,X,X,X,X
IOTLJZS,O,X,X,X,O,O,X,X,X,X
IOTLSJZ,X,X,O,X,O,O,O,X,X,X
IOTLSZJ,X,X,O,X,O,O,O,X,X,X
IOTLZJS,X,X,X,X,O,O,X,O,X,X
IOTLZSJ,X,X,O,X,O,O,X,O,X,X
IOTJLSZ,O,X,X,X,O,X,X,X,X,X
IOTJLZS,O,X,X,O,O,X,X,X,X,X
IOTJSLZ,O,X,X,X,O,X,O,X,X,X
IOTJSZL,X,X,X,O,O,X,O,X,X,X
IOTJZLS,O,X,X,O,O,X,X,O,X,X
IOTJZSL,O,X,X,O,O,X,X,O,X,X
IOTSLJZ,O,O,O,X,O,O,O,X,X,X
IOTSLZJ,X,O,O,X,O,O,O,X,O,X
IOTSJLZ,O,O,O,X,O,X,O,X,X,X
IOTSJZL,X,O,O,O,O,X,O,X,O,X
IOTSZLJ,X,O,O,X,O,O,O,O,O,X
IOTSZJL,X,O,O,O,O,X,O,O,O,X
IOTZLJS,O,O,X,X,O,O,X,O,X,X
IOTZLSJ,X,O,O,X,O,O,X,O,X,X
IOTZJLS,O,O,X,O,O,X,X,O,X,X
IOTZJSL,O,O,O,O,O,X,X,O,O,X
IOTZSLJ,O,O,O,X,O,O,O,O,O,X
IOTZSJL,O,O,O,O,O,X,O,O,O,X
IOLTJSZ,O,X,O,X,O,O,O,X,X,X
IOLTJZS,O,X,X,X,O,O,X,O,X,X
IOLTSJZ,X,X,O,X,O,O,O,X,X,X
IOLTSZJ,X,X,O,X,O,O,O,O,X,X
IOLTZJS,X,X,X,X,O,O,X,O,X,X
IOLTZSJ,X,X,O,X,O,O,O,O,X,X
IOLJTSZ,O,X,O,X,X,O,X,X,X,X
IOLJTZS,O,X,X,X,X,O,X,X,X,X
IOLJSTZ,O,X,O,X,X,O,O,X,X,X
IOLJSZT,O,X,O,X,X,O,O,X,X,X
IOLJZTS,O,X,X,X,X,O,X,O,X,X
IOLJZST,O,X,X,X,X,O,X,O,X,X
IOLSTJZ,O,X,O,X,O,O,O,X,X,X
IOLSTZJ,X,X,O,X,O,O,O,X,X,X
IOLSJTZ,O,X,O,X,X,O,O,X,X,X
IOLSJZT,O,X,O,X,X,O,O,X,X,X
IOLSZTJ,O,X,O,X,X,O,O,O,X,O
IOLSZJT,O,X,O,X,X,O,O,O,X,X
IOLZTJS,O,X,X,X,X,O,X,O,X,O
IOLZTSJ,X,X,O,X,X,O,X,O,X,O
IOLZJTS,O,X,X,X,X,O,X,O,X,X
IOLZJST,O,X,X,X,X,O,X,O,X,X
IOLZSTJ,O,X,O,X,X,O,O,O,X,O
IOLZSJT,O,X,O,X,X,O,O,O,X,X
IOJTLSZ,O,X,X,X,O,X,X,X,X,X
IOJTLZS,O,X,X,O,O,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,O,O,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X,X,X,X,X
IOJTZSL,O,X,X,O,O,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,O,X,X,X,X
IOJLTZS,O,X,X,X,X,O,X,X,X,X
IOJLSTZ,O,X,X,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,X,O,X,X,X,X
IOJLZTS,O,X,X,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,X,X,O,X,X,X,X,X
IOJSTZL,X,X,X,O,O,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,O,X,X,X,X
IOJSLZT,O,X,X,X,X,O,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,O,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,O,X
IOJZLTS,O,O,X,X,X,O,X,X,X,X
IOJZLST,O,X,X,X,X,O,X,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,O,X,X,X,X
IOSTLJZ,O,O,O,X,O,O,O,X,X,X
IOSTLZJ,X,O,O,X,O,O,O,X,X,X
IOSTJLZ,O,O,O,X,O,X,O,X,X,X
IOSTJZL,X,O,O,O,O,X,O,X,X,X
IOSTZLJ,X,O,O,X,O,O,O,X,X,X
IOSTZJL,X,O,O,O,O,X,O,X,X,X
IOSLTJZ,O,O,O,X,O,O,O,X,X,X
IOSLTZJ,X,O,O,X,O,O,O,X,X,X
IOSLJTZ,O,O,O,X,X,O,O,X,X,X
IOSLJZT,O,O,O,X,X,O,O,X,X,X
IOSLZTJ,O,O,O,X,X,O,O,X,X,O
IOSLZJT,O,X,O,X,X,O,O,X,X,X
IOSJTLZ,O,O,O,X,O,X,X,X,X,X
IOSJTZL,X,O,O,O,O,X,X,X,X,X
IOSJLTZ,O,O,X,X,X,O,X,X,X,X
IOSJLZT,O,O,X,X,X,O,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,O,X,X,X,X
IOSZTLJ,O,O,O,X,O,O,X,X,X,X
IOSZTJL,O,O,O,O,O,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,O,X,X,X,O
IOSZLJT,O,X,O,X,X,O,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,O,X,X,X,X
IOZTLJS,O,O,X,X,O,O,X,X,X,X
IOZTLSJ,X,O,O,X,O,O,X,X,X,X
IOZTJLS,O,O,X,O,O,X,X,X,X,X
IOZTJSL,O,O,O,O,O,X,X,X,O,X
IOZTSLJ,O,O,O,X,O,O,X,X,O,X
IOZTSJL,O,O,O,O,O,X,X,X,O,X
IOZLTJS,O,O,X,X,X,O,X,X,X,O
IOZLTSJ,X,O,O,X,X,O,X,X,X,O
