sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
TIOZLSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOZJLS,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TIOZJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOZSJL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIJZSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLIJOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLISZJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLISOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLISOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIZJSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
