sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TZJLSIO,O,O,X,O,O,X
TZJLSOI,O,O,X,O,O,X
TZJLOIS,O,O,X,X,O,O
TZJLOSI,O,X,X,X,O,X
TZJSILO,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,X
TZJSLIO,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,X
TZJSOLI,O,O,O,O,O,X
TZJOILS,O,O,X,X,O,O
TZJOISL,O,O,X,X,O,X
TZJOLIS,O,O,X,X,O,O
TZJOLSI,O,X,X,X,O,X
TZJOSIL,O,O,X,X,O,X
TZJOSLI,O,O,X,X,O,X
TZSILJO,X,O,O,O,X,X
TZSILOJ,X,O,O,O,X,O
TZSIJLO,X,O,O,O,X,X
TZSIJOL,X,O,O,O,X,X
TZSIOLJ,O,O,O,X,X,O
TZSIOJL,O,O,O,O,X,X
TZSLIJO,X,O,O,O,X,X
TZSLIOJ,X,O,O,O,X,O
TZSLJIO,X,O,O,O,X,X
TZSLJOI,X,O,O,O,X,X
TZSLOIJ,X,O,O,O,X,O
TZSLOJI,X,O,O,O,X,X
TZSJILO,X,O,O,O,X,X
TZSJIOL,X,O,O,O,X,X
TZSJLIO,X,O,O,O,X,X
TZSJLOI,X,O,O,O,X,X
TZSJOIL,X,O,O,O,X,X
TZSJOLI,X,O,O,O,X,X
TZSOILJ,O,O,O,O,X,O
TZSOIJL,O,O,O,O,X,X
TZSOLIJ,O,O,O,O,X,O
TZSOLJI,O,O,O,O,X,X
TZSOJIL,O,O,O,O,X,X
TZSOJLI,O,O,O,O,X,X
TZOILJS,O,X,X,O,X,O
TZOILSJ,O,X,O,O,X,O
TZOIJLS,O,X,X,X,O,O
TZOIJSL,O,X,X,O,O,X
TZOISLJ,O,O,O,O,X,O
TZOISJL,O,O,O,O,X,X
TZOLIJS,O,X,X,O,X,O
TZOLISJ,O,X,O,O,X,O
TZOLJIS,O,X,X,O,X,O
TZOLJSI,O,X,X,O,X,X
TZOLSIJ,O,X,X,O,X,O
TZOLSJI,O,X,X,O,X,X
TZOJILS,O,X,X,X,O,O
TZOJISL,O,X,X,O,O,X
TZOJLIS,O,X,X,O,O,O
TZOJLSI,O,X,X,O,O,X
TZOJSIL,O,X,X,O,O,X
TZOJSLI,O,X,X,O,O,X
TZOSILJ,O,O,O,O,X,O
TZOSIJL,O,O,O,O,X,X
TZOSLIJ,O,O,O,O,X,O
TZOSLJI,O,O,O,O,X,X
TZOSJIL,O,O,O,O,X,X
TZOSJLI,O,O,O,O,X,X
TOILJSZ,O,X,X,O,X,X
TOILJZS,O,X,X,O,X,O
TOILSJZ,O,X,O,O,X,X
TOILSZJ,O,X,O,O,X,O
TOILZJS,O,X,X,O,X,O
TOILZSJ,O,X,O,O,X,O
TOIJLSZ,O,X,X,X,O,X
TOIJLZS,O,X,X,X,O,O
TOIJSLZ,O,X,X,O,O,X
TOIJSZL,O,X,X,O,O,X
TOIJZLS,O,X,X,X,O,O
TOIJZSL,O,X,X,O,O,X
TOISLJZ,O,O,O,O,X,X
TOISLZJ,O,O,O,O,X,O
TOISJLZ,O,O,O,O,X,X
