sequence,v115@QhB8BeA8DeG8CeB8Jei/IvhFRhBFjBzkBUmBXsBGsB,v115@QhB8BeA8DeG8CeB8Jem/IvhFChBxiB0kBTmBXsBlsB,v115@QhB8BeA8DeG8CeB8Je/EJvhFalBzgBUiBFjBxrBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBfmBxiBlnBUsB6rB,v115@QhB8BeA8DeG8CeB8Jei/IvhFWmBFjBzkBxrB/sB0rB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBXjBRmBUmBFnBSxB,v115@QhB8BeA8DeG8CeB8JeyEJvhFXjBRmB0kBFmBTnBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFxgBFjBXlBimB+sB8rB,v115@QhB8BeA8DeG8CeB8Je3BJvhFxkBlnB0kBmlBzrBCtB
IJSZLOT,X,O,O,X,X,X,O,X,X
IJSZOTL,X,O,O,O,X,O,X,X,X
IJSZOLT,X,O,O,X,X,O,X,X,X
IJSOTLZ,X,X,O,X,O,O,X,O,X
IJSOTZL,X,X,O,O,O,O,X,X,X
IJSOLTZ,X,X,O,X,O,O,O,O,X
IJSOLZT,X,O,O,X,O,O,O,X,X
IJSOZTL,X,O,O,O,O,O,X,X,X
IJSOZLT,X,O,O,X,O,O,X,X,X
IJZTLSO,X,O,X,O,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X,X
IJZTSLO,X,O,O,O,X,X,X,X,X
IJZTSOL,X,O,O,O,X,X,X,X,X
IJZTOLS,X,O,X,O,O,X,X,X,X
IJZTOSL,X,X,O,O,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,O,X,X
IJZLSOT,X,O,X,X,X,O,O,X,X
IJZLOTS,X,O,X,X,X,X,X,X,X
IJZLOST,X,O,X,X,X,O,X,X,X
IJZSTLO,X,O,O,O,X,X,X,X,X
IJZSTOL,X,O,O,O,X,X,X,X,X
IJZSLTO,X,O,O,X,X,X,O,X,X
IJZSLOT,X,O,O,X,X,X,O,X,X
IJZSOTL,X,O,O,O,X,O,X,X,X
IJZSOLT,X,O,O,X,X,O,X,X,X
IJZOTLS,X,O,X,O,O,X,X,X,X
IJZOTSL,X,X,O,O,O,X,X,X,X
IJZOLTS,X,O,X,X,O,X,X,X,X
IJZOLST,X,O,X,X,O,O,X,X,X
IJZOSTL,X,O,O,O,O,O,X,X,X
IJZOSLT,X,O,O,X,O,O,X,X,X
IJOTLSZ,X,X,X,X,O,O,X,X,X
IJOTLZS,X,X,X,O,O,X,X,X,X
IJOTSLZ,X,X,O,X,O,O,X,X,O
IJOTSZL,X,X,O,O,O,O,X,X,O
IJOTZLS,X,X,X,O,O,X,X,X,X
IJOTZSL,X,X,O,O,O,X,X,X,X
IJOLTSZ,X,X,X,X,O,O,X,X,X
IJOLTZS,X,X,X,O,O,X,X,X,X
IJOLSTZ,X,X,X,X,O,O,O,X,X
IJOLSZT,X,X,X,X,O,O,O,X,X
IJOLZTS,X,O,X,X,O,X,X,X,X
IJOLZST,X,O,X,X,O,O,X,X,X
IJOSTLZ,X,X,O,X,O,O,X,X,O
IJOSTZL,X,X,O,O,O,O,X,X,O
IJOSLTZ,X,X,O,X,O,O,O,X,X
IJOSLZT,X,X,O,X,O,O,O,X,X
IJOSZTL,X,X,O,O,O,O,X,X,X
IJOSZLT,X,X,O,X,O,O,X,X,X
IJOZTLS,X,O,X,O,O,X,X,X,X
IJOZTSL,X,X,O,O,O,X,X,X,X
IJOZLTS,X,O,X,X,O,X,X,X,X
IJOZLST,X,O,X,X,O,O,X,X,X
IJOZSTL,X,X,O,O,O,O,X,X,X
IJOZSLT,X,O,O,X,O,O,X,X,X
ISTLJZO,X,X,O,X,X,X,O,X,X
ISTLJOZ,X,X,O,X,X,X,O,X,X
ISTLZJO,O,O,O,X,X,X,O,X,X
ISTLZOJ,O,X,O,X,X,X,O,X,X
ISTLOJZ,X,X,O,X,X,X,O,X,X
ISTLOZJ,X,X,O,X,X,X,O,X,X
ISTJLZO,X,X,O,X,X,X,X,X,X
ISTJLOZ,X,X,O,X,X,X,X,O,X
ISTJZLO,X,X,O,O,X,X,X,X,X
ISTJZOL,X,X,O,O,X,X,X,X,X
ISTJOLZ,X,X,O,X,O,O,X,O,X
ISTJOZL,X,X,O,O,O,O,X,X,X
ISTZLJO,O,O,O,O,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X,X
ISTZJLO,O,O,O,O,X,X,X,X,X
ISTZJOL,O,O,O,O,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X,X,X
ISTZOJL,O,O,O,O,X,X,X,X,X
ISTOLJZ,X,X,O,X,O,X,X,X,X
ISTOLZJ,O,O,O,X,O,X,X,X,X
ISTOJLZ,X,X,O,X,O,O,X,O,X
ISTOJZL,X,X,O,O,O,O,X,X,X
ISTOZLJ,O,O,O,X,O,X,X,X,X
ISTOZJL,O,O,O,O,O,X,X,X,X
ISLTJZO,X,X,O,X,X,X,O,X,X
ISLTJOZ,X,X,O,X,X,O,O,X,X
ISLTZJO,O,O,O,X,X,X,O,X,X
ISLTZOJ,O,X,O,X,X,X,O,X,X
ISLTOJZ,X,X,O,X,X,O,O,X,X
ISLTOZJ,X,X,O,X,X,X,O,X,X
ISLJTZO,X,X,O,X,X,X,O,X,X
ISLJTOZ,X,X,O,X,X,O,O,O,X
ISLJZTO,X,O,O,X,X,X,O,X,X
ISLJZOT,X,O,O,X,X,O,O,X,X
ISLJOTZ,X,X,O,X,X,O,O,O,X
ISLJOZT,X,X,O,X,X,O,O,X,X
ISLZTJO,O,O,O,X,X,X,O,X,X
ISLZTOJ,O,X,O,X,X,X,O,X,X
ISLZJTO,O,O,O,X,X,X,O,X,X
ISLZJOT,X,O,O,X,X,O,O,X,X
ISLZOTJ,O,O,O,X,X,X,O,X,X
ISLZOJT,X,O,O,X,X,O,O,X,X
ISLOTJZ,X,X,O,X,X,O,O,X,X
ISLOTZJ,X,O,O,X,X,X,O,X,X
ISLOJTZ,X,X,O,X,X,O,O,O,X
ISLOJZT,X,O,O,X,X,O,O,X,X
ISLOZTJ,X,O,O,X,X,X,O,X,X
ISLOZJT,X,O,O,X,X,O,O,X,X
ISJTLZO,X,X,O,X,X,X,O,X,X
ISJTLOZ,X,X,O,X,X,X,O,O,X
ISJTZLO,X,X,O,O,X,X,X,X,X
ISJTZOL,X,X,O,O,X,X,X,X,X
ISJTOLZ,X,X,O,X,O,O,X,O,X
ISJTOZL,X,X,O,O,O,O,X,X,X
ISJLTZO,X,X,O,X,X,X,O,X,X
ISJLTOZ,X,X,O,X,X,O,O,O,X
ISJLZTO,X,O,O,X,X,X,O,X,X
ISJLZOT,X,O,O,X,X,O,O,X,X
ISJLOTZ,X,X,O,X,X,O,O,O,X
ISJLOZT,X,X,O,X,X,O,O,X,X
ISJZTLO,X,O,O,O,X,X,X,X,X
ISJZTOL,X,O,O,O,X,X,X,X,X
ISJZLTO,X,O,O,X,X,X,O,X,X
ISJZLOT,X,O,O,X,X,X,O,X,X
ISJZOTL,X,O,O,O,X,O,X,X,X
ISJZOLT,X,O,O,X,X,O,X,X,X
ISJOTLZ,X,X,O,X,O,O,X,O,X
ISJOTZL,X,X,O,O,O,O,X,X,X
ISJOLTZ,X,X,O,X,O,O,O,O,X
ISJOLZT,X,O,O,X,O,O,O,X,X
ISJOZTL,X,O,O,O,O,O,X,X,X
ISJOZLT,X,O,O,X,O,O,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,X
ISZTJOL,O,O,O,O,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,X
ISZTOJL,O,O,O,O,X,X,X,X,X
ISZLTJO,O,O,O,X,X,X,O,X,X
ISZLTOJ,O,X,O,X,X,X,O,X,X
ISZLJTO,O,O,O,X,X,X,O,X,X
ISZLJOT,X,O,O,X,X,X,O,X,X
ISZLOTJ,O,O,O,X,X,X,O,X,X
ISZLOJT,O,O,O,X,X,X,O,X,X
ISZJTLO,O,O,O,O,X,X,X,X,X
ISZJTOL,O,O,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X,X
ISZJOTL,O,O,O,O,X,O,X,X,X
ISZJOLT,O,O,O,X,X,O,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,O,X,X,X
ISZOJLT,O,O,O,X,X,O,X,X,X
ISOTLJZ,X,X,O,X,O,X,X,X,O
ISOTLZJ,O,O,O,X,O,X,X,X,O
ISOTJLZ,X,X,O,X,O,O,X,O,O
ISOTJZL,X,X,O,O,O,O,X,X,O
ISOTZLJ,O,O,O,X,O,X,X,X,O
ISOTZJL,O,O,O,O,O,X,X,X,O
ISOLTJZ,X,X,O,X,O,O,O,X,O
ISOLTZJ,O,O,O,X,O,X,O,X,O
ISOLJTZ,X,X,O,X,O,O,O,O,X
ISOLJZT,X,O,O,X,O,O,O,X,X
ISOLZTJ,O,O,O,X,O,X,O,X,X
ISOLZJT,O,O,O,X,O,O,O,X,X
ISOJTLZ,X,X,O,X,O,O,X,O,O
ISOJTZL,X,X,O,O,O,O,X,X,O
ISOJLTZ,X,X,O,X,O,O,X,O,X
ISOJLZT,X,O,O,X,O,O,X,X,X
ISOJZTL,X,O,O,X,O,O,X,X,X
ISOJZLT,X,O,O,X,O,O,X,X,X
ISOZTLJ,O,O,O,X,O,X,X,X,O
ISOZTJL,O,O,O,X,O,X,X,X,O
ISOZLTJ,O,O,O,X,O,X,X,X,X
ISOZLJT,O,O,O,X,O,X,X,X,X
ISOZJTL,O,O,O,X,O,O,X,X,X
ISOZJLT,O,O,O,X,O,O,X,X,X
IZTLJSO,O,O,X,O,X,X,X,X,X
IZTLJOS,O,O,X,O,X,X,X,X,X
IZTLSJO,O,X,O,O,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,X,X,X
IZTLOJS,O,X,X,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,X,X
IZTJLSO,O,O,X,O,X,X,X,X,X
IZTJLOS,O,O,X,O,X,X,X,X,X
IZTJSLO,X,O,O,O,X,X,X,X,X
IZTJSOL,X,O,O,O,X,X,X,X,X
IZTJOLS,O,O,X,O,O,X,X,X,X
IZTJOSL,X,X,O,O,O,X,X,X,X
IZTSLJO,O,O,O,O,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,X,X,X
IZTSJLO,O,O,O,O,X,X,X,X,X
IZTSJOL,O,O,O,O,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,X
IZTSOJL,O,O,O,O,X,X,X,X,X
IZTOLJS,O,O,X,O,O,X,X,X,X
IZTOLSJ,O,X,O,X,O,X,X,X,X
IZTOJLS,O,O,X,O,O,X,X,X,X
IZTOJSL,X,X,O,O,O,X,X,X,X
IZTOSLJ,O,X,O,X,O,X,X,X,X
IZTOSJL,O,X,O,O,O,X,X,X,X
IZLTJSO,O,O,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X,X
IZLJTSO,O,O,X,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,O,X,X
IZLJSOT,X,O,X,X,X,O,O,X,X
IZLJOTS,X,O,X,X,X,X,X,X,X
IZLJOST,X,O,X,X,X,O,X,X,X
IZLSTJO,O,O,O,X,X,X,O,X,X
IZLSTOJ,O,X,O,X,X,X,O,X,X
IZLSJTO,O,O,O,X,X,X,O,X,X
IZLSJOT,X,O,O,X,X,O,O,X,X
IZLSOTJ,O,O,O,X,X,X,O,X,X
IZLSOJT,O,O,O,X,X,O,O,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,O,X,X,X
IZLOSTJ,O,O,O,X,X,X,X,X,X
IZLOSJT,O,O,O,X,X,O,X,X,X
IZJTLSO,O,O,X,O,X,X,X,X,X
IZJTLOS,O,O,X,O,X,X,X,X,X
IZJTSLO,X,O,O,O,X,X,X,X,X
IZJTSOL,X,O,O,O,X,X,X,X,X
IZJTOLS,O,O,X,O,O,X,X,X,X
IZJTOSL,X,X,O,O,O,X,X,X,X
IZJLTSO,O,O,X,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,O,X,X
IZJLSOT,X,O,X,X,X,O,O,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X
IZJLOST,X,O,X,X,X,O,X,X,X
IZJSTLO,O,O,O,O,X,X,X,X,X
IZJSTOL,O,O,O,O,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,O,X,X
IZJSLOT,X,O,O,X,X,X,O,X,X
IZJSOTL,O,O,O,O,X,O,X,X,X
IZJSOLT,O,O,O,X,X,O,X,X,X
IZJOTLS,O,O,X,O,O,X,X,X,X
IZJOTSL,X,X,O,O,O,X,X,X,X
IZJOLTS,O,O,X,X,O,X,X,X,X
IZJOLST,O,O,X,X,O,O,X,X,X
IZJOSTL,O,O,O,O,O,O,X,X,X
IZJOSLT,O,O,O,X,O,O,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X,X
IZSTJOL,O,O,O,O,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X
IZSTOJL,O,O,O,O,X,X,X,X,X
IZSLTJO,O,O,O,X,X,X,O,X,X
IZSLTOJ,O,X,O,X,X,X,O,X,X
IZSLJTO,O,O,O,X,X,X,O,X,X
IZSLJOT,X,O,O,X,X,X,O,X,X
IZSLOTJ,O,O,O,X,X,X,O,X,X
IZSLOJT,O,O,O,X,X,X,O,X,X
IZSJTLO,O,O,O,O,X,X,X,X,X
IZSJTOL,O,O,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X,X
IZSJLOT,X,O,O,X,X,X,X,X,X
IZSJOTL,O,O,O,O,X,O,X,X,X
IZSJOLT,O,O,O,X,X,O,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,X,X
IZSOJTL,O,O,O,X,X,O,X,X,X
IZSOJLT,O,O,O,X,X,O,X,X,X
IZOTLJS,O,O,X,O,O,X,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,X,X
IZOTJLS,O,O,X,O,O,X,X,X,X
IZOTJSL,X,X,O,O,O,X,X,X,X
IZOTSLJ,O,X,O,X,O,X,X,X,O
IZOTSJL,O,X,O,O,O,X,X,X,O
IZOLTJS,O,O,X,X,O,X,X,X,X
IZOLTSJ,O,X,O,X,O,X,X,X,X
IZOLJTS,O,O,X,X,O,X,X,X,X
IZOLJST,O,O,X,X,O,O,X,X,X
IZOLSTJ,O,O,O,X,O,X,X,X,X
IZOLSJT,O,O,O,X,O,O,X,X,X
IZOJTLS,O,O,X,O,O,X,X,X,X
IZOJTSL,X,X,O,O,O,X,X,X,X
IZOJLTS,O,O,X,X,O,X,X,X,X
IZOJLST,O,O,X,X,O,O,X,X,X
IZOJSTL,O,O,O,O,O,O,X,X,X
IZOJSLT,O,O,O,X,O,O,X,X,X
IZOSTLJ,O,O,O,X,O,X,X,X,O
IZOSTJL,O,O,O,X,O,X,X,X,O
IZOSLTJ,O,O,O,X,O,X,X,X,X
IZOSLJT,O,O,O,X,O,X,X,X,X
IZOSJTL,O,O,O,X,O,O,X,X,X
IZOSJLT,O,O,O,X,O,O,X,X,X
IOTLJSZ,X,X,X,X,O,O,X,X,X
IOTLJZS,X,X,X,O,O,X,X,X,X
IOTLSJZ,X,X,O,X,O,O,X,X,O
IOTLSZJ,O,X,O,X,O,X,X,X,O
IOTLZJS,O,O,X,O,O,X,X,X,X
IOTLZSJ,O,X,O,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,O,O,X,X,X
IOTJLZS,X,X,X,O,O,X,X,X,X
IOTJSLZ,X,X,O,X,O,O,X,X,O
IOTJSZL,X,X,O,O,O,O,X,X,O
IOTJZLS,X,X,X,O,O,X,X,X,X
IOTJZSL,X,X,O,O,O,X,X,X,X
IOTSLJZ,X,X,O,X,O,X,X,X,O
IOTSLZJ,O,X,O,X,O,X,X,X,O
IOTSJLZ,X,X,O,X,O,O,X,X,O
IOTSJZL,X,X,O,O,O,O,X,X,O
IOTSZLJ,O,X,O,X,O,X,X,X,O
IOTSZJL,O,X,O,O,O,X,X,X,O
IOTZLJS,O,O,X,O,O,X,X,X,X
IOTZLSJ,O,X,O,X,O,X,X,X,X
IOTZJLS,O,O,X,O,O,X,X,X,X
IOTZJSL,X,X,O,O,O,X,X,X,X
IOTZSLJ,O,X,O,X,O,X,X,X,O
IOTZSJL,O,X,O,O,O,X,X,X,O
IOLTJSZ,X,X,X,X,O,O,X,X,X
IOLTJZS,X,X,X,O,O,X,X,X,X
IOLTSJZ,X,X,O,X,O,O,X,X,O
IOLTSZJ,O,X,O,X,O,X,X,X,O
IOLTZJS,O,O,X,O,O,X,X,X,X
IOLTZSJ,O,X,O,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,O,O,X,X,X
IOLJTZS,X,X,X,O,O,X,X,X,X
IOLJSTZ,X,X,X,X,O,O,O,X,X
IOLJSZT,X,X,X,X,O,O,O,X,X
IOLJZTS,X,O,X,X,O,X,X,X,X
IOLJZST,X,O,X,X,O,O,X,X,X
IOLSTJZ,X,X,O,X,O,O,O,X,O
IOLSTZJ,O,O,O,X,O,X,O,X,O
IOLSJTZ,X,X,O,X,O,O,O,X,X
IOLSJZT,X,O,O,X,O,O,O,X,X
IOLSZTJ,O,O,O,X,O,X,O,X,X
IOLSZJT,O,O,O,X,O,O,O,X,X
IOLZTJS,O,O,X,X,O,X,X,X,X
IOLZTSJ,O,X,O,X,O,X,X,X,X
IOLZJTS,O,O,X,X,O,X,X,X,X
IOLZJST,O,O,X,X,O,O,X,X,X
IOLZSTJ,O,O,O,X,O,X,X,X,X
IOLZSJT,O,O,O,X,O,O,X,X,X
IOJTLSZ,X,X,X,X,O,O,X,X,X
IOJTLZS,X,X,X,O,O,X,X,X,X
IOJTSLZ,X,X,O,X,O,O,X,X,O
IOJTSZL,X,X,O,O,O,O,X,X,O
IOJTZLS,X,X,X,O,O,X,X,X,X
IOJTZSL,X,X,O,O,O,X,X,X,X
IOJLTSZ,X,X,X,X,O,O,X,X,X
IOJLTZS,X,X,X,O,O,X,X,X,X
IOJLSTZ,X,X,X,X,O,O,O,X,X
IOJLSZT,X,X,X,X,O,O,O,X,X
IOJLZTS,X,O,X,X,O,X,X,X,X
IOJLZST,X,O,X,X,O,O,X,X,X
IOJSTLZ,X,X,O,X,O,O,X,X,O
IOJSTZL,X,X,O,O,O,O,X,X,O
IOJSLTZ,X,X,O,X,O,O,O,X,X
IOJSLZT,X,X,O,X,O,O,O,X,X
IOJSZTL,X,X,O,O,O,O,X,X,X
IOJSZLT,X,X,O,X,O,O,X,X,X
IOJZTLS,X,O,X,O,O,X,X,X,X
IOJZTSL,X,X,O,O,O,X,X,X,X
IOJZLTS,X,O,X,X,O,X,X,X,X
IOJZLST,X,O,X,X,O,O,X,X,X
IOJZSTL,X,X,O,O,O,O,X,X,X
IOJZSLT,X,O,O,X,O,O,X,X,X
IOSTLJZ,X,X,O,X,O,X,X,X,O
IOSTLZJ,O,O,O,X,O,X,X,X,O
IOSTJLZ,X,X,O,X,O,O,X,X,O
IOSTJZL,X,X,O,O,O,O,X,X,O
IOSTZLJ,O,O,O,X,O,X,X,X,O
IOSTZJL,O,O,O,O,O,X,X,X,O
IOSLTJZ,X,X,O,X,O,O,O,X,O
IOSLTZJ,O,O,O,X,O,X,O,X,O
IOSLJTZ,X,X,O,X,O,O,O,X,X
IOSLJZT,X,O,O,X,O,O,O,X,X
IOSLZTJ,O,O,O,X,O,X,O,X,X
IOSLZJT,O,O,O,X,O,O,O,X,X
IOSJTLZ,X,X,O,X,O,O,X,X,O
IOSJTZL,X,X,O,O,O,O,X,X,O
IOSJLTZ,X,X,O,X,O,O,X,X,X
IOSJLZT,X,O,O,X,O,O,X,X,X
IOSJZTL,X,O,O,X,O,O,X,X,X
IOSJZLT,X,O,O,X,O,O,X,X,X
IOSZTLJ,O,O,O,X,O,X,X,X,O
IOSZTJL,O,O,O,X,O,X,X,X,O
IOSZLTJ,O,O,O,X,O,X,X,X,X
IOSZLJT,O,O,O,X,O,X,X,X,X
IOSZJTL,O,O,O,X,O,O,X,X,X
IOSZJLT,O,O,O,X,O,O,X,X,X
IOZTLJS,O,O,X,O,O,X,X,X,X
IOZTLSJ,O,X,O,X,O,X,X,X,X
IOZTJLS,O,O,X,O,O,X,X,X,X
IOZTJSL,X,X,O,O,O,X,X,X,X
IOZTSLJ,O,X,O,X,O,X,X,X,O
IOZTSJL,O,X,O,O,O,X,X,X,O
IOZLTJS,O,O,X,X,O,X,X,X,X
IOZLTSJ,O,X,O,X,O,X,X,X,X
IOZLJTS,O,O,X,X,O,X,X,X,X
IOZLJST,O,O,X,X,O,O,X,X,X
IOZLSTJ,O,O,O,X,O,X,X,X,X
IOZLSJT,O,O,O,X,O,O,X,X,X
IOZJTLS,O,O,X,O,O,X,X,X,X
IOZJTSL,X,X,O,O,O,X,X,X,X
IOZJLTS,O,O,X,X,O,X,X,X,X
IOZJLST,O,O,X,X,O,O,X,X,X
IOZJSTL,O,O,O,O,O,O,X,X,X
IOZJSLT,O,O,O,X,O,O,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X,O
IOZSTJL,O,O,O,X,O,X,X,X,O
IOZSLTJ,O,O,O,X,O,X,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X,X
IOZSJTL,O,O,O,X,O,O,X,X,X
IOZSJLT,O,O,O,X,O,O,X,X,X
LTIJSZO,X,X,X,X,X,X,O,X,X
LTIJSOZ,X,X,X,X,X,O,O,X,X
LTIJZSO,X,X,X,O,X,X,X,X,X
LTIJZOS,X,X,X,O,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,O,X,X,X
LTIJOZS,X,X,X,O,O,X,X,X,X
LTISJZO,X,X,O,X,X,X,O,X,X
LTISJOZ,X,X,O,X,X,O,O,X,X
LTISZJO,O,X,O,X,X,X,O,X,X
LTISZOJ,O,X,O,X,X,X,O,X,X
LTISOJZ,X,X,O,X,X,O,O,X,X
LTISOZJ,X,X,O,X,X,X,O,X,X
LTIZJSO,O,O,X,O,X,X,X,X,X
LTIZJOS,O,O,X,O,X,X,X,X,X
LTIZSJO,O,X,O,O,X,X,X,X,X
LTIZSOJ,O,X,O,X,X,X,X,X,X
LTIZOJS,O,X,X,O,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,O,X,X,X
LTIOJZS,X,X,X,O,O,X,X,X,X
LTIOSJZ,X,X,O,X,O,O,X,X,X
LTIOSZJ,X,X,O,X,O,X,X,X,X
LTIOZJS,X,X,X,O,O,X,X,X,X
LTIOZSJ,X,X,O,X,O,X,X,X,X
LTJISZO,X,X,X,X,X,X,O,X,X
LTJISOZ,X,X,X,X,X,O,O,O,X
LTJIZSO,X,X,X,O,X,X,X,X,X
LTJIZOS,X,X,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,X,O,O,X,X,X
LTJIOZS,X,X,X,O,O,X,X,X,X
LTJSIZO,X,X,X,X,X,X,O,X,X
LTJSIOZ,X,X,X,X,X,O,O,O,X
LTJSZIO,O,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,O,X
LTJSOIZ,X,X,X,X,X,O,X,O,X
LTJSOZI,X,X,X,X,X,X,X,O,X
LTJZISO,O,X,X,O,X,X,X,X,X
LTJZIOS,O,X,X,O,X,X,X,X,X
LTJZSIO,O,X,X,O,X,X,X,X,X
LTJZSOI,X,X,X,O,X,X,X,O,X
LTJZOIS,X,X,X,O,X,X,X,X,X
LTJZOSI,X,X,X,O,X,X,X,X,X
LTJOISZ,X,X,X,X,O,O,X,X,X
LTJOIZS,X,X,X,O,O,X,X,X,X
LTJOSIZ,X,X,X,X,O,O,X,O,X
LTJOSZI,X,X,X,X,X,X,X,O,X
LTJOZIS,X,X,X,O,O,X,X,X,X
LTJOZSI,X,X,X,O,X,X,X,X,X
LTSIJZO,X,X,O,X,X,X,O,X,X
LTSIJOZ,X,X,O,X,X,O,O,X,X
LTSIZJO,O,O,O,X,X,X,O,X,X
LTSIZOJ,O,X,O,X,X,X,O,X,X
LTSIOJZ,X,X,O,X,X,O,O,X,X
LTSIOZJ,X,X,O,X,X,X,O,X,X
LTSJIZO,X,X,O,X,X,X,O,X,X
LTSJIOZ,X,X,O,X,X,O,O,O,X
LTSJZIO,O,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,O,X
LTSJOIZ,X,X,O,X,X,O,X,O,X
LTSJOZI,X,X,X,X,X,X,X,O,X
LTSZIJO,O,O,O,X,X,X,X,X,X
LTSZIOJ,O,X,O,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X,X,X
LTSZOJI,O,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,O,X,X,O,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,X,X
LTSOJIZ,X,X,O,X,X,O,X,O,X
LTSOJZI,O,X,X,X,X,X,X,O,X
LTSOZIJ,O,X,O,X,X,X,X,X,X
LTSOZJI,O,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,O,X,X,X,X,X
LTZIJOS,O,O,X,O,X,X,X,X,X
LTZISJO,O,X,X,O,X,X,X,X,X
LTZISOJ,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,O,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X
LTZJISO,O,O,X,O,X,X,X,X,X
LTZJIOS,O,O,X,O,X,X,X,X,X
LTZJSIO,O,O,X,O,X,X,X,X,X
LTZJSOI,X,X,X,O,X,X,X,X,X
LTZJOIS,X,O,X,O,X,X,X,X,X
LTZJOSI,X,O,X,O,X,X,X,X,X
LTZSIJO,O,O,X,O,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,X,X,X
LTZSJIO,O,O,X,O,X,X,X,X,X
LTZSJOI,X,X,X,O,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,O,X,X,X,X,X
LTZOISJ,O,X,X,X,X,X,X,X,X
LTZOJIS,O,O,X,O,X,X,X,X,X
LTZOJSI,O,O,X,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,O,O,X,X,X
LTOIJZS,X,X,X,O,O,X,X,X,X
LTOISJZ,X,X,O,X,O,O,X,X,X
LTOISZJ,O,X,O,X,O,X,X,X,X
