sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TSOJZIL,X,X,X,X,O,O
TSOJZLI,X,X,X,X,O,O
TSOZILJ,O,O,O,X,X,O
TSOZIJL,O,X,O,X,O,O
TSOZLIJ,O,O,O,X,X,O
TSOZLJI,O,O,X,X,O,O
TSOZJIL,O,X,X,X,O,O
TSOZJLI,O,X,X,X,O,O
TZILJSO,O,X,X,O,X,X
TZILJOS,O,O,X,O,X,X
TZILSJO,X,O,O,O,X,X
TZILSOJ,X,O,O,O,X,O
TZILOJS,X,O,X,O,X,O
TZILOSJ,X,O,O,O,X,O
TZIJLSO,O,X,X,O,X,X
TZIJLOS,O,O,X,O,X,X
TZIJSLO,O,X,O,X,O,X
TZIJSOL,O,X,O,X,O,O
TZIJOLS,O,X,X,X,X,O
TZIJOSL,X,X,O,X,O,O
TZISLJO,O,O,O,X,X,X
TZISLOJ,X,O,O,X,X,O
TZISJLO,O,O,O,X,O,X
TZISJOL,O,X,O,X,O,O
TZISOLJ,O,O,O,X,X,O
TZISOJL,O,X,O,X,X,O
TZIOLJS,O,O,X,X,X,O
TZIOLSJ,X,O,O,X,X,O
TZIOJLS,O,X,X,X,X,O
TZIOJSL,X,X,O,X,X,O
TZIOSLJ,X,O,O,X,X,O
TZIOSJL,X,X,O,X,X,O
TZLIJSO,O,X,X,O,X,X
TZLIJOS,O,O,X,O,X,X
TZLISJO,X,O,X,O,X,X
TZLISOJ,X,O,X,O,X,O
TZLIOJS,X,O,X,O,X,O
TZLIOSJ,X,O,X,O,X,O
TZLJISO,O,X,X,O,X,X
TZLJIOS,O,O,X,O,X,X
TZLJSIO,O,O,X,X,X,X
TZLJSOI,X,O,X,X,X,X
TZLJOIS,O,O,X,O,X,X
TZLJOSI,O,O,X,X,X,X
TZLSIJO,O,O,X,X,X,X
TZLSIOJ,X,O,X,X,X,O
TZLSJIO,O,O,X,X,X,X
TZLSJOI,X,O,X,X,X,X
TZLSOIJ,X,O,X,X,X,O
TZLSOJI,X,O,X,X,X,O
TZLOIJS,O,O,X,O,X,O
TZLOISJ,X,O,X,O,X,O
TZLOJIS,O,O,X,O,X,O
TZLOJSI,O,O,X,X,X,O
TZLOSIJ,O,O,X,X,X,O
TZLOSJI,O,O,X,X,X,O
TZJILSO,O,X,X,O,X,X
TZJILOS,O,O,X,O,X,X
TZJISLO,O,X,X,X,O,X
TZJISOL,O,X,X,X,O,O
TZJIOLS,O,X,X,X,X,O
TZJIOSL,X,X,X,X,O,O
TZJLISO,O,X,X,O,X,X
TZJLIOS,O,O,X,O,X,X
TZJLSIO,O,O,X,X,X,X
TZJLSOI,X,O,X,X,X,X
TZJLOIS,O,O,X,O,X,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,O,O,X,X,O,X
