sequence,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeT/IvhFOlBxiBFnB6?tB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgB5oBFnB8?sBzpBisB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFxiBTkBFnB6?tB3sB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgBliB5oBa?sB8sBzpB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFmkBFnBXoB6?tB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnB0?kBXqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnBX?lB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFVnB5oBTkBy?sB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Ke0/IvhFVnBaoB5oB/?pBOqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeXAJvhFVnBaoB5oB2?pBTsB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFXiBUoBmpBT?sB6tBlpB
ILJTOZS,O,X,X,X,X,O,X,O,X,X,X
ILJSTZO,O,X,O,O,X,O,O,X,X,X,X
ILJSTOZ,O,X,O,X,X,X,O,X,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,O,X,O,X
ILJSOZT,O,X,X,O,X,X,X,X,X,X,X
ILJZTSO,O,X,X,O,X,O,O,X,X,X,X
ILJZTOS,O,X,X,O,X,O,X,X,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,X,X,X,X
ILJZOTS,O,X,X,O,X,X,X,O,X,X,X
ILJZOST,O,X,X,O,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,O,X,X,O,O,X,O,X
ILJOTZS,X,X,X,O,X,O,X,O,X,O,X
ILJOSTZ,X,X,O,O,X,X,X,O,X,O,X
ILJOSZT,X,X,X,O,X,X,X,X,X,X,X
ILJOZTS,O,X,X,O,X,X,X,O,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X,X
ILSTJZO,O,X,O,O,X,X,X,X,O,X,X
ILSTJOZ,O,X,O,X,X,X,X,X,X,X,X
ILSTZJO,O,X,O,O,X,X,X,X,O,X,X
ILSTZOJ,O,X,O,O,X,X,X,X,O,X,X
ILSTOJZ,O,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,O,X,X,X,X,X,O,X,X
ILSJTZO,O,X,O,O,X,O,O,X,X,X,X
ILSJTOZ,O,X,O,X,X,X,O,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X,O,X,O,X
ILSJOZT,O,X,X,O,X,X,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X,X,X,O,X,X
ILSZTOJ,O,X,X,O,X,X,X,X,O,X,X
ILSZJTO,O,X,X,O,X,X,X,X,X,X,X
ILSZJOT,O,X,X,O,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X,O,X,X
ILSZOJT,O,X,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,O,O,X,X,X,X,O,O,X
ILSOTZJ,X,X,O,O,X,X,X,X,O,O,X
ILSOJTZ,X,X,O,O,X,X,X,O,X,O,X
ILSOJZT,O,X,X,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,X,X,O,X,X
ILSOZJT,O,X,X,O,X,X,X,X,X,X,X
ILZTJSO,O,X,X,O,X,X,X,X,X,X,X
ILZTJOS,O,X,X,O,X,X,X,X,X,X,X
ILZTSJO,O,X,X,O,X,X,X,X,X,X,X
ILZTSOJ,O,X,X,O,X,X,X,X,X,X,X
ILZTOJS,O,O,X,O,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,O,X,X,X,X,X,X,X
ILZJTSO,O,X,X,O,X,O,O,X,X,X,X
ILZJTOS,O,X,X,O,X,O,X,X,X,X,X
ILZJSTO,O,X,X,O,X,X,X,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X,X,X,X,X
ILZJOTS,O,X,X,O,X,X,X,O,X,X,X
ILZJOST,O,X,X,O,X,X,X,X,X,X,X
ILZSTJO,O,X,X,O,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,O,X,X,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X,X,X,X
ILZSJOT,O,X,X,O,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,X,X,X
ILZSOJT,O,X,X,O,X,X,X,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X,X,X,X
ILZOTSJ,O,O,X,O,X,X,X,X,X,X,X
ILZOJTS,O,O,X,O,X,X,X,O,X,X,X
ILZOJST,O,O,X,O,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,O,X,X,X,X,X,X,X
ILZOSJT,O,O,X,O,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,O,X,X,X,O,O,O,X
ILOTJZS,X,X,X,O,X,X,X,O,X,O,X
ILOTSJZ,X,X,X,O,X,X,X,O,O,O,X
ILOTSZJ,X,X,X,O,X,X,X,X,O,O,X
ILOTZJS,X,X,X,O,X,X,X,O,X,O,X
ILOTZSJ,X,X,X,O,X,X,X,X,O,O,X
ILOJTSZ,X,X,O,O,X,X,O,O,X,O,X
ILOJTZS,X,X,X,O,X,O,X,O,X,O,X
ILOJSTZ,X,X,O,O,X,X,X,O,X,O,X
ILOJSZT,X,O,X,O,X,X,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,O,X,X,X
ILOJZST,O,O,X,O,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,X,O,O,X
ILOSTZJ,X,X,O,O,X,X,X,X,O,O,X
ILOSJTZ,X,X,O,O,X,X,X,O,X,O,X
ILOSJZT,X,O,X,O,X,X,X,X,X,X,X
ILOSZTJ,X,O,X,O,X,X,X,X,O,X,X
ILOSZJT,X,O,X,O,X,X,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X,X,X
ILOZTSJ,X,O,X,O,X,X,X,X,X,X,X
ILOZJTS,O,O,X,O,X,X,X,O,X,X,X
ILOZJST,O,O,X,O,X,X,X,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,X,X,X,X,X
ILOZSJT,O,O,X,O,X,X,X,X,X,X,X
IJTLSZO,O,X,X,O,X,O,O,X,O,X,X
IJTLSOZ,X,X,X,X,X,X,O,O,X,X,X
IJTLZSO,O,X,X,O,X,O,O,X,X,X,X
IJTLZOS,O,X,X,O,X,O,X,O,X,X,X
IJTLOSZ,X,X,O,X,X,X,O,O,X,X,X
IJTLOZS,O,X,X,X,X,O,X,O,X,X,X
IJTSLZO,X,X,X,O,X,O,O,X,O,X,X
IJTSLOZ,X,X,X,X,X,X,O,O,X,X,X
IJTSZLO,X,X,X,O,X,X,X,X,O,X,X
IJTSZOL,O,X,X,O,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,O,X,O,X
IJTSOZL,X,X,X,X,X,X,X,X,X,O,X
IJTZLSO,O,X,X,O,X,O,O,X,X,X,X
IJTZLOS,O,X,X,X,X,O,X,O,X,X,X
IJTZSLO,X,X,X,O,X,X,X,X,X,X,X
IJTZSOL,O,X,X,O,X,X,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,O,X,X,X
IJTZOSL,O,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,O,X,X,X,O,O,X,O,X
IJTOLZS,X,X,X,X,X,O,X,O,X,O,X
IJTOSLZ,X,X,X,X,X,X,X,O,X,O,X
IJTOSZL,X,X,X,X,X,X,X,X,X,O,O
IJTOZLS,O,X,X,X,X,X,X,O,X,O,O
IJTOZSL,O,X,X,X,X,X,X,X,X,O,O
IJLTSZO,O,X,X,O,X,O,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,O,O,X,X,X
IJLTZSO,O,X,X,O,X,O,O,X,X,X,X
IJLTZOS,O,X,X,O,X,O,X,O,X,X,X
IJLTOSZ,X,X,O,X,X,X,O,O,X,X,X
IJLTOZS,O,X,X,X,X,O,X,O,X,X,X
IJLSTZO,O,X,O,O,X,O,O,X,X,X,X
IJLSTOZ,O,X,O,X,X,X,O,X,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X,X,X,X
IJLSZOT,O,X,X,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,O,X,O,X
IJLSOZT,O,X,X,O,X,X,X,X,X,X,X
IJLZTSO,O,X,X,O,X,O,O,X,X,X,X
IJLZTOS,O,X,X,O,X,O,X,X,X,X,X
IJLZSTO,O,X,X,O,X,X,X,X,X,X,X
IJLZSOT,O,X,X,O,X,X,X,X,X,X,X
IJLZOTS,O,X,X,O,X,X,X,O,X,X,X
IJLZOST,O,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,O,X,X,O,O,X,O,X
IJLOTZS,X,X,X,O,X,O,X,O,X,O,X
IJLOSTZ,X,X,O,O,X,X,X,O,X,O,X
IJLOSZT,X,X,X,O,X,X,X,X,X,X,O
IJLOZTS,O,X,X,O,X,X,X,O,X,X,O
IJLOZST,O,X,X,O,X,X,X,X,X,X,O
IJSTLZO,O,X,O,O,X,O,O,X,O,X,X
IJSTLOZ,O,X,O,X,X,X,O,O,X,X,X
IJSTZLO,O,X,X,O,X,X,X,X,O,X,X
IJSTZOL,O,X,X,O,X,X,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X,O,X,O,X
IJSTOZL,O,X,X,X,X,X,X,X,X,O,X
IJSLTZO,O,X,O,O,X,O,O,X,X,X,X
IJSLTOZ,O,X,O,X,X,X,O,X,X,X,X
IJSLZTO,O,X,X,O,X,X,X,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,X,O,X,O,X
IJSLOZT,O,X,X,O,X,X,X,X,X,X,X
IJSZTLO,O,X,X,O,X,X,X,X,O,X,X
IJSZTOL,O,X,X,O,X,X,X,X,X,X,X
IJSZLTO,O,X,X,O,X,X,X,X,X,X,X
IJSZLOT,O,X,X,O,X,X,X,X,X,X,X
IJSZOTL,O,X,X,O,X,X,X,X,O,O,X
IJSZOLT,O,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,X,X,O,O,O,X
IJSOTZL,X,X,X,X,X,X,X,X,O,O,O
IJSOLTZ,X,X,O,X,X,X,X,O,X,O,X
IJSOLZT,X,X,X,O,X,X,X,X,X,X,O
IJSOZTL,X,X,X,O,X,X,X,X,O,O,O
IJSOZLT,X,X,X,X,X,X,X,X,X,X,O
IJZTLSO,O,X,X,O,X,O,O,X,X,X,X
IJZTLOS,O,X,X,X,X,O,X,O,X,X,X
IJZTSLO,X,X,X,O,X,X,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X,X,X
IJZTOLS,O,O,X,O,X,X,X,O,X,X,X
IJZTOSL,O,O,X,O,X,X,X,X,X,X,X
IJZLTSO,O,X,X,O,X,O,O,X,X,X,X
IJZLTOS,O,X,X,O,X,O,X,X,X,X,X
IJZLSTO,O,X,X,O,X,X,X,X,X,X,X
IJZLSOT,O,X,X,O,X,X,X,X,X,X,X
IJZLOTS,O,X,X,O,X,X,X,O,X,X,X
IJZLOST,O,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,X,X,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,O,X,X,X,X,X,X,X
IJZSLTO,O,X,X,O,X,X,X,X,X,X,X
IJZSLOT,O,X,X,O,X,X,X,X,X,X,X
IJZSOTL,O,X,X,O,X,X,X,X,X,O,X
IJZSOLT,O,X,X,X,X,X,X,X,X,X,X
IJZOTLS,O,O,X,O,X,X,X,O,X,O,O
IJZOTSL,O,O,X,O,X,X,X,X,X,O,O
IJZOLTS,O,O,X,O,X,X,X,O,X,X,O
IJZOLST,O,O,X,O,X,X,X,X,X,X,O
IJZOSTL,O,O,X,O,X,X,X,X,X,O,O
IJZOSLT,O,O,X,O,X,X,X,X,X,X,O
IJOTLSZ,X,X,O,O,X,X,O,O,O,O,X
IJOTLZS,X,X,X,O,X,O,X,O,X,O,X
IJOTSLZ,X,X,X,O,X,X,X,O,O,O,X
IJOTSZL,X,O,X,O,X,X,X,X,O,O,O
IJOTZLS,X,O,X,O,X,X,X,O,X,O,O
IJOTZSL,X,O,X,O,X,X,X,X,X,O,O
IJOLTSZ,X,X,O,O,X,X,O,O,X,O,X
IJOLTZS,X,X,X,O,X,O,X,O,X,O,X
IJOLSTZ,X,X,O,O,X,X,X,O,X,O,X
IJOLSZT,X,O,X,O,X,X,X,X,X,X,O
IJOLZTS,X,O,X,O,X,X,X,O,X,X,O
IJOLZST,X,O,X,O,X,X,X,X,X,X,O
IJOSTLZ,X,X,O,O,X,X,X,O,O,O,X
IJOSTZL,X,O,X,O,X,X,X,X,O,O,O
IJOSLTZ,X,X,O,O,X,X,X,O,X,O,X
IJOSLZT,X,O,X,O,X,X,X,X,X,X,O
IJOSZTL,X,O,X,O,X,X,X,X,O,O,O
IJOSZLT,X,O,X,O,X,X,X,X,X,X,O
IJOZTLS,X,O,X,O,X,X,X,O,X,O,O
IJOZTSL,X,O,X,O,X,X,X,X,X,O,O
IJOZLTS,X,O,X,O,X,X,X,O,X,X,O
IJOZLST,X,O,X,O,X,X,X,X,X,X,O
IJOZSTL,X,O,X,O,X,X,X,X,X,O,O
IJOZSLT,X,O,X,O,X,X,X,X,X,X,O
ISTLJZO,O,X,O,O,X,X,X,X,O,X,X
ISTLJOZ,O,X,O,X,X,X,X,O,X,X,X
ISTLZJO,O,X,O,O,X,X,X,X,O,X,X
ISTLZOJ,O,X,O,O,X,X,X,X,O,X,X
ISTLOJZ,O,X,O,X,X,X,X,O,X,X,X
ISTLOZJ,O,X,O,X,X,X,X,X,O,X,X
ISTJLZO,O,X,O,O,X,X,X,X,O,X,X
ISTJLOZ,O,X,O,X,X,X,X,O,X,X,X
ISTJZLO,O,X,X,O,X,X,X,X,O,X,X
ISTJZOL,O,X,X,O,X,X,X,X,X,X,X
ISTJOLZ,X,X,O,X,X,X,X,O,X,O,X
ISTJOZL,O,X,X,X,X,X,X,X,X,O,X
ISTZLJO,O,X,X,O,X,X,X,X,O,X,X
ISTZLOJ,O,X,X,X,X,X,X,X,O,X,X
ISTZJLO,O,X,X,O,O,X,X,X,O,X,X
ISTZJOL,O,X,X,O,O,X,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X,X,X,O,X,X
ISTZOJL,O,X,X,O,X,X,X,X,O,X,X
ISTOLJZ,X,X,O,X,X,X,X,O,O,O,X
ISTOLZJ,X,X,O,X,X,X,X,X,O,O,X
ISTOJLZ,X,X,O,X,X,X,X,O,O,O,X
ISTOJZL,O,X,X,X,X,X,X,X,O,O,X
ISTOZLJ,O,X,X,X,X,X,X,X,O,O,X
ISTOZJL,O,X,X,X,X,X,X,X,O,O,X
ISLTJZO,O,X,O,O,X,X,X,X,O,X,X
ISLTJOZ,O,X,O,X,X,X,X,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X,X,O,X,X
ISLTZOJ,O,X,O,O,X,X,X,X,O,X,X
ISLTOJZ,O,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X,X,O,X,X
ISLJTZO,O,X,O,O,X,O,O,X,X,X,X
ISLJTOZ,O,X,O,X,X,X,O,X,X,X,X
ISLJZTO,O,X,X,O,X,X,X,X,X,X,X
ISLJZOT,O,X,X,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,X,O,X,O,X
ISLJOZT,O,X,X,O,X,X,X,X,X,X,X
ISLZTJO,O,X,X,O,X,X,X,X,O,X,X
ISLZTOJ,O,X,X,O,X,X,X,X,O,X,X
ISLZJTO,O,X,X,O,X,X,X,X,X,X,X
ISLZJOT,O,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,O,X,X,X,X,O,X,X
ISLZOJT,O,X,X,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,X,X,X,O,O,X
ISLOTZJ,X,X,O,O,X,X,X,X,O,O,X
ISLOJTZ,X,X,O,O,X,X,X,O,X,O,X
ISLOJZT,O,X,X,O,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,O,X,X,X,X,O,X,X
ISLOZJT,O,X,X,O,X,X,X,X,X,X,X
ISJTLZO,O,X,O,O,X,O,O,X,O,X,X
ISJTLOZ,O,X,O,X,X,X,O,O,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,O,X,X
ISJTZOL,O,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,X,O,X,O,X
ISJTOZL,O,X,X,X,X,X,X,X,X,O,X
ISJLTZO,O,X,O,O,X,O,O,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,O,X,X,X,X
ISJLZTO,O,X,X,O,X,X,X,X,X,X,X
ISJLZOT,O,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,X,X,O,X,O,X
ISJLOZT,O,X,X,O,X,X,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,X,X,O,X,X
ISJZTOL,O,X,X,O,X,X,X,X,X,X,X
ISJZLTO,O,X,X,O,X,X,X,X,X,X,X
ISJZLOT,O,X,X,O,X,X,X,X,X,X,X
ISJZOTL,O,X,X,O,X,X,X,X,O,O,X
ISJZOLT,O,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,X,X,O,O,O,X
ISJOTZL,X,X,X,X,X,X,X,X,O,O,X
ISJOLTZ,X,X,O,X,X,X,X,O,X,O,X
ISJOLZT,X,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,X,X,O,X,X,X,X,O,O,X
ISJOZLT,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,O,X,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,O,X,X
ISZTJLO,O,X,X,O,O,X,X,X,O,X,X
ISZTJOL,O,X,X,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,X,O,X,X,X,X,O,X,X
ISZTOJL,O,O,X,O,X,X,X,X,O,X,X
ISZLTJO,O,X,X,O,X,X,X,X,O,X,X
ISZLTOJ,O,X,X,O,X,X,X,X,O,X,X
ISZLJTO,O,X,X,O,X,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,O,X,X,X,X,O,X,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X
ISZJTLO,O,X,X,O,O,X,X,X,O,X,X
ISZJTOL,O,X,X,O,O,X,X,X,X,X,X
ISZJLTO,O,X,X,O,O,X,X,X,X,X,X
ISZJLOT,O,X,X,O,X,X,X,X,X,X,X
ISZJOTL,O,X,X,O,O,X,X,X,O,O,X
ISZJOLT,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,O,X,O,X,X,X,X,O,O,X
ISZOTJL,O,O,X,O,X,X,X,X,O,O,X
ISZOLTJ,O,O,X,O,X,X,X,X,O,X,X
ISZOLJT,O,O,X,O,X,X,X,X,X,X,X
ISZOJTL,O,O,X,O,X,X,X,X,O,O,X
ISZOJLT,O,O,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,O,X,X,X,O,O,O,X
ISOTLZJ,X,X,O,O,X,X,X,X,O,O,X
ISOTJLZ,X,X,O,O,X,X,X,O,O,O,X
ISOTJZL,X,O,X,O,X,X,X,X,O,O,X
ISOTZLJ,X,O,X,O,X,X,X,X,O,O,X
ISOTZJL,X,O,X,O,X,X,X,X,O,O,X
ISOLTJZ,X,X,O,O,X,X,X,X,O,O,X
ISOLTZJ,X,X,O,O,X,X,X,X,O,O,X
ISOLJTZ,X,X,O,O,X,X,X,O,X,O,X
ISOLJZT,X,O,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,O,X,X,X,X,O,X,X
ISOLZJT,X,O,X,O,X,X,X,X,X,X,X
ISOJTLZ,X,X,O,O,X,X,X,O,O,O,X
ISOJTZL,X,O,X,O,X,X,X,X,O,O,X
ISOJLTZ,X,X,O,O,X,X,X,O,X,O,X
ISOJLZT,X,O,X,O,X,X,X,X,X,X,X
ISOJZTL,X,O,X,O,X,X,X,X,O,O,X
ISOJZLT,X,O,X,O,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,O,X,X,X,X,O,O,X
ISOZTJL,X,O,X,O,X,X,X,X,O,O,X
ISOZLTJ,X,O,X,O,X,X,X,X,O,X,X
ISOZLJT,X,O,X,O,X,X,X,X,X,X,X
ISOZJTL,X,O,X,O,X,X,X,X,O,O,X
ISOZJLT,X,O,X,O,X,X,X,X,X,X,X
IZTLJSO,O,X,X,O,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X,X,O,X,X,X
IZTLSJO,O,X,X,O,X,X,X,X,O,X,X
IZTLSOJ,O,X,X,X,X,X,X,X,O,X,X
IZTLOJS,O,O,X,O,X,X,X,O,X,X,X
IZTLOSJ,O,O,X,O,X,X,X,X,X,X,X
IZTJLSO,O,X,X,O,O,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,O,X,X,X
IZTJSLO,X,X,X,O,O,X,X,X,X,X,X
IZTJSOL,O,X,X,O,O,X,X,X,X,X,X
IZTJOLS,O,O,X,O,X,X,X,O,X,X,X
IZTJOSL,O,O,X,O,O,X,X,X,X,X,X
IZTSLJO,X,X,X,O,X,X,X,X,O,X,X
IZTSLOJ,X,X,X,X,X,X,X,X,O,X,X
IZTSJLO,X,X,X,O,O,X,X,X,O,X,X
IZTSJOL,O,X,X,O,O,X,X,X,X,X,X
IZTSOLJ,X,O,X,O,X,X,X,X,O,X,X
IZTSOJL,O,O,X,O,X,X,X,X,X,X,X
IZTOLJS,O,O,X,O,X,X,X,O,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,X,X,X,X
IZTOJLS,O,O,X,O,X,X,X,O,X,X,X
IZTOJSL,O,O,X,O,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,X,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X,X,X,X
IZLTJSO,O,X,X,O,X,X,X,X,X,X,X
IZLTJOS,O,X,X,O,X,X,X,X,X,X,X
IZLTSJO,O,X,X,O,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,O,X,X,X,X,X,X,X
IZLTOJS,O,O,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,O,X,X,X,X,X,X,X
IZLJTSO,O,X,X,O,X,O,O,X,X,X,X
IZLJTOS,O,X,X,O,X,O,X,X,X,X,X
IZLJSTO,O,X,X,O,X,X,X,X,X,X,X
IZLJSOT,O,X,X,O,X,X,X,X,X,X,X
IZLJOTS,O,X,X,O,X,X,X,O,X,X,X
IZLJOST,O,X,X,O,X,X,X,X,X,X,X
IZLSTJO,O,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X,X,X,X,X,X
IZLSJOT,O,X,X,O,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,O,X,X,X,X,X,X,X
IZLSOJT,O,X,X,O,X,X,X,X,X,X,X
IZLOTJS,O,O,X,O,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,O,X,X,X,X,X,X,X
IZLOJTS,O,O,X,O,X,X,X,O,X,X,X
IZLOJST,O,O,X,O,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,X,X,X,X,X
IZLOSJT,O,O,X,O,X,X,X,X,X,X,X
IZJTLSO,O,X,X,O,O,O,O,X,X,X,X
IZJTLOS,O,X,X,X,X,O,X,O,X,X,X
IZJTSLO,X,X,X,O,O,X,X,X,X,X,X
IZJTSOL,O,X,X,O,O,X,X,X,X,X,X
IZJTOLS,O,O,X,O,X,X,X,O,X,X,X
IZJTOSL,O,O,X,O,O,X,X,X,X,X,X
IZJLTSO,O,X,X,O,O,O,O,X,X,X,X
IZJLTOS,O,X,X,O,X,O,X,X,X,X,X
IZJLSTO,O,X,X,O,O,X,X,X,X,X,X
IZJLSOT,O,X,X,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,O,X,X,X,O,X,X,X
IZJLOST,O,X,X,O,X,X,X,X,X,X,X
IZJSTLO,O,X,X,O,O,X,X,X,X,X,X
IZJSTOL,O,X,X,O,O,X,X,X,X,X,X
IZJSLTO,O,X,X,O,O,X,X,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,O,X,X,X,X,O,X
IZJSOLT,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,X,O,X,X,X,O,X,O,X
IZJOTSL,O,O,X,O,O,X,X,X,X,O,X
IZJOLTS,O,O,X,O,X,X,X,O,X,X,X
IZJOLST,O,O,X,O,X,X,X,X,X,X,X
IZJOSTL,O,O,X,O,O,X,X,X,X,O,X
IZJOSLT,O,O,X,O,X,X,X,X,X,X,X
IZSTLJO,O,X,X,O,X,X,X,X,O,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,O,X,X
IZSTJLO,O,X,X,O,O,X,X,X,O,X,X
IZSTJOL,O,X,X,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,X,O,X,X,X,X,O,X,X
IZSTOJL,O,O,X,O,X,X,X,X,O,X,X
IZSLTJO,O,X,X,O,X,X,X,X,O,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,O,X,X
IZSLJTO,O,X,X,O,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,O,X,X
IZSLOJT,O,X,X,O,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,O,X,X,X,O,X,X
IZSJTOL,O,X,X,O,O,X,X,X,X,X,X
IZSJLTO,O,X,X,O,O,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,O,X,X,X,O,O,X
IZSJOLT,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,O,X,X,X,X,O,O,X
IZSOTJL,O,O,X,O,X,X,X,X,O,O,X
IZSOLTJ,O,O,X,O,X,X,X,X,O,X,X
IZSOLJT,O,O,X,O,X,X,X,X,X,X,X
IZSOJTL,O,O,X,O,X,X,X,X,O,O,X
IZSOJLT,O,O,X,O,X,X,X,X,X,X,X
IZOTLJS,O,O,X,O,X,X,X,O,X,O,X
IZOTLSJ,O,O,X,O,X,X,X,X,O,O,X
IZOTJLS,O,O,X,O,X,X,X,O,X,O,X
IZOTJSL,O,O,X,O,X,X,X,X,X,O,X
IZOTSLJ,X,O,X,O,X,X,X,X,O,O,X
IZOTSJL,O,O,X,O,X,X,X,X,O,O,X
IZOLTJS,O,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,X,X,X,X,X
IZOLJTS,O,O,X,O,X,X,X,O,X,X,X
IZOLJST,O,O,X,O,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,O,X,X,X,X,X,X,X
IZOLSJT,O,O,X,O,X,X,X,X,X,X,X
IZOJTLS,O,O,X,O,X,X,X,O,X,O,X
IZOJTSL,O,O,X,O,X,X,X,X,X,O,X
IZOJLTS,O,O,X,O,X,X,X,O,X,X,X
