sequence,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFOlBXhBZoBUnBFr?B6sB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFOlBaoBfrBxmBlm?B0sB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFGiBZoBilBcrB/s?BlqB,v115@GhA8IeC8GeE8AeB8BeA8Je2EJvhFxhBynBfrB0mBFl?BzsB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFKlB0hBliBetBxr?BfrB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhF2lBZoBcrB6sB3q?BFsB,v115@GhA8IeC8GeE8AeB8BeA8Jei/IvhFmiBRlBFnB3lBcr?BzsB,v115@GhA8IeC8GeE8AeB8BeA8Je2EJvhFThBynBfrBFlBRs?B0sB,v115@GhA8IeC8GeE8AeB8BeA8Jei/IvhFmiBFlBxmBfrB0m?BzsB,v115@GhA8IeC8GeE8AeB8BeA8Jei/IvhFlhBUlBmnBxrBfr?BzsB,v115@GhA8IeC8GeE8AeB8BeA8Je2EJvhFRgBVnB3lBysBcr?BzsB
ILJSZOT,X,X,X,X,O,X,X,O,X,O,X
ILJSOTZ,X,X,X,X,O,X,X,O,X,X,X
ILJSOZT,X,X,X,X,O,X,X,O,X,X,X
ILJZTSO,X,X,X,X,O,X,X,X,X,O,X
ILJZTOS,X,X,X,X,O,O,X,X,X,X,X
ILJZSTO,X,X,X,X,O,X,X,X,X,O,X
ILJZSOT,X,X,X,X,O,O,X,O,X,O,X
ILJZOTS,X,X,X,X,O,O,X,X,X,X,X
ILJZOST,X,X,X,X,O,O,X,X,X,O,X
ILJOTSZ,O,X,X,X,O,X,O,X,X,X,X
ILJOTZS,O,X,X,X,O,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,O,X,X,O,X,X,X
ILJOSZT,X,X,X,X,O,X,X,O,X,X,X
ILJOZTS,X,X,X,X,O,O,X,X,X,X,X
ILJOZST,X,X,X,X,O,O,X,X,X,O,X
ILSTJZO,X,X,X,X,X,X,O,X,X,X,O
ILSTJOZ,X,X,X,X,X,X,X,O,X,X,X
ILSTZJO,X,X,X,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,O,X,X,X
ILSTOZJ,X,X,X,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X,X,X,X,O
ILSJTOZ,X,X,X,X,X,X,X,O,X,X,X
ILSJZTO,X,X,O,X,X,X,X,X,X,O,X
ILSJZOT,X,X,O,X,X,X,X,O,X,O,X
ILSJOTZ,X,X,X,X,X,X,X,O,X,X,X
ILSJOZT,X,X,O,X,X,X,X,O,X,X,X
ILSZTJO,X,X,O,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,O,X,X,X,X,X,X,X,X
ILSZJTO,X,X,O,X,X,X,X,X,X,O,X
ILSZJOT,X,X,O,X,X,O,X,O,X,O,X
ILSZOTJ,X,X,O,X,X,X,X,X,X,X,X
ILSZOJT,X,X,O,X,X,O,X,O,X,X,X
ILSOTJZ,X,X,X,X,X,X,O,O,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,O,X,X,X
ILSOJZT,X,X,O,X,X,X,X,O,X,X,X
ILSOZTJ,X,X,O,X,X,X,X,X,X,X,X
ILSOZJT,X,X,O,X,X,O,X,O,X,X,X
ILZTJSO,O,X,X,X,X,X,O,X,X,O,X
ILZTJOS,O,X,X,X,X,O,O,X,X,X,X
ILZTSJO,O,X,O,X,X,X,X,X,X,X,X
ILZTSOJ,O,X,O,X,X,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X,X,X,X
ILZJTSO,X,X,X,X,X,X,X,X,X,O,X
ILZJTOS,X,X,X,X,X,O,X,X,X,X,X
ILZJSTO,X,X,O,X,X,X,X,X,X,O,X
ILZJSOT,X,X,O,X,X,O,X,O,X,O,X
ILZJOTS,X,X,X,X,X,O,X,X,X,X,X
ILZJOST,X,X,O,X,X,O,X,X,X,O,X
ILZSTJO,X,X,O,X,X,X,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X,X,X,X,X
ILZSJTO,X,X,O,X,X,X,X,X,X,O,X
ILZSJOT,X,X,O,X,X,O,X,O,X,O,X
ILZSOTJ,X,X,O,X,X,X,X,X,X,X,X
ILZSOJT,X,X,O,X,X,O,X,O,X,X,X
ILZOTJS,O,X,X,X,X,O,O,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,O,X,X,X,X,X
ILZOJST,X,X,O,X,X,O,X,X,X,O,X
ILZOSTJ,X,X,O,X,X,X,X,X,X,X,X
ILZOSJT,X,X,O,X,X,O,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,O,X,O,X,X
ILOTJZS,O,X,X,X,X,X,O,X,O,X,X
ILOTSJZ,O,X,X,X,X,X,O,X,O,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,O,X,O,X,X
ILOTZSJ,O,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,O,X,X,X,O,X,O,X,O,X,X
ILOJTZS,O,X,X,X,O,X,O,X,O,X,X
ILOJSTZ,X,X,X,X,O,X,X,O,X,X,X
ILOJSZT,X,X,X,X,O,X,X,O,X,X,X
ILOJZTS,X,X,X,X,O,O,X,X,X,X,X
ILOJZST,X,X,X,X,O,O,X,X,X,O,X
ILOSTJZ,X,X,X,X,X,X,O,O,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,O,X,X,X
ILOSJZT,X,X,O,X,X,X,X,O,X,X,X
ILOSZTJ,X,X,O,X,X,X,X,X,X,X,X
ILOSZJT,X,X,O,X,X,O,X,O,X,X,X
ILOZTJS,O,X,X,X,X,O,O,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,O,X,X,X,X,X
ILOZJST,X,X,O,X,X,O,X,X,X,O,X
ILOZSTJ,X,X,O,X,X,X,X,X,X,X,X
ILOZSJT,X,X,O,X,X,O,X,X,X,X,X
IJTLSZO,O,X,X,X,O,X,O,X,X,X,X
IJTLSOZ,O,X,X,X,O,X,X,O,X,X,X
IJTLZSO,O,X,X,X,O,X,O,X,X,O,X
IJTLZOS,O,X,X,X,O,X,O,X,X,X,X
IJTLOSZ,O,X,X,X,O,X,X,X,X,X,X
IJTLOZS,O,X,X,X,O,X,O,X,X,X,X
IJTSLZO,O,X,X,X,O,X,O,X,X,X,X
IJTSLOZ,O,X,X,X,O,X,X,O,X,X,X
IJTSZLO,O,X,X,X,X,X,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,O,X,X,O,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,X,X,X,O,X,O,X,X,O,X
IJTZLOS,O,X,X,X,O,X,O,X,X,X,X
IJTZSLO,O,X,X,X,X,X,X,X,X,O,X
IJTZSOL,O,X,X,X,X,X,X,X,X,O,X
IJTZOLS,O,X,X,X,O,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,O,X,X,X,X,X,X
IJTOLZS,O,X,X,X,O,X,O,X,X,X,X
IJTOSLZ,O,X,X,X,O,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,X,O,X,X,X,O
IJLTSOZ,O,X,X,X,O,X,X,O,X,X,X
IJLTZSO,O,X,X,X,O,X,O,X,X,O,X
IJLTZOS,O,X,X,X,O,X,O,X,X,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,X,X,X
IJLTOZS,O,X,X,X,O,X,O,X,X,X,X
IJLSTZO,X,X,X,X,O,X,X,X,X,X,O
IJLSTOZ,X,X,X,X,O,X,X,O,X,X,X
IJLSZTO,X,X,X,X,O,X,X,X,X,O,X
IJLSZOT,X,X,X,X,O,X,X,O,X,O,X
IJLSOTZ,X,X,X,X,O,X,X,O,X,X,X
IJLSOZT,X,X,X,X,O,X,X,O,X,X,X
IJLZTSO,X,X,X,X,O,X,X,X,X,O,X
IJLZTOS,X,X,X,X,O,O,X,X,X,X,X
IJLZSTO,X,X,X,X,O,X,X,X,X,O,X
IJLZSOT,X,X,X,X,O,O,X,O,X,O,X
IJLZOTS,X,X,X,X,O,O,X,X,X,X,X
IJLZOST,X,X,X,X,O,O,X,X,X,O,X
IJLOTSZ,O,X,X,X,O,X,O,X,X,X,X
IJLOTZS,O,X,X,X,O,X,O,X,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,O,X,X,X
IJLOSZT,X,X,X,X,O,X,X,O,X,X,X
IJLOZTS,X,X,X,X,O,O,X,X,X,X,X
IJLOZST,X,X,X,X,O,O,X,X,X,O,X
IJSTLZO,O,X,X,X,O,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,O,X,X,O,X,X,X
IJSTZLO,O,X,O,X,X,X,X,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,X,O,X,X,O,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,O,X,X,X,X,X,O
IJSLTOZ,X,O,X,X,O,X,X,O,X,X,X
IJSLZTO,X,X,O,X,O,X,X,X,X,O,X
IJSLZOT,X,O,O,X,O,X,X,O,X,O,X
IJSLOTZ,X,O,X,X,O,X,X,O,X,X,X
IJSLOZT,X,O,O,X,O,X,X,O,X,X,X
IJSZTLO,X,O,O,O,X,X,X,X,X,O,X
IJSZTOL,X,O,O,X,X,X,X,X,X,O,X
IJSZLTO,X,O,O,O,X,X,X,X,X,O,X
IJSZLOT,X,O,O,O,X,X,X,O,X,O,X
IJSZOTL,X,O,O,O,X,X,X,X,X,O,X
IJSZOLT,X,O,O,O,X,X,X,O,X,O,X
IJSOTLZ,O,O,X,X,O,X,X,O,X,X,X
IJSOTZL,O,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,O,X,X,O,X,X,X
IJSOLZT,X,O,O,O,O,X,X,O,X,X,X
IJSOZTL,X,O,O,O,X,X,X,X,X,X,X
IJSOZLT,X,O,O,O,X,X,X,O,X,X,X
IJZTLSO,O,X,X,X,O,X,X,X,X,O,X
IJZTLOS,O,X,X,X,O,O,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X,X,O,X
IJZTSOL,O,X,X,X,X,X,X,X,X,O,X
IJZTOLS,O,X,X,X,O,O,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,O,X,X,X,X,O,X
IJZLTOS,X,X,X,X,O,O,X,X,X,X,X
IJZLSTO,X,O,O,X,O,X,X,X,X,O,X
IJZLSOT,X,O,O,X,O,O,X,O,X,O,X
IJZLOTS,X,X,X,X,O,O,X,X,X,X,X
IJZLOST,X,O,O,X,O,O,X,X,X,O,X
IJZSTLO,X,O,O,X,X,X,X,X,X,O,X
IJZSTOL,X,O,O,X,X,X,X,X,X,O,X
IJZSLTO,X,O,O,X,X,X,X,X,X,O,X
IJZSLOT,X,O,O,X,X,O,X,O,X,O,X
IJZSOTL,X,O,O,X,X,X,X,X,X,O,X
IJZSOLT,X,O,O,X,X,O,X,O,X,O,X
IJZOTLS,O,X,X,X,O,O,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,X,O,O,X,X,X,X,X
IJZOLST,X,O,O,X,O,O,X,X,X,O,X
IJZOSTL,X,O,O,X,X,X,X,X,X,O,X
IJZOSLT,X,O,O,X,X,O,X,X,X,O,X
IJOTLSZ,O,X,X,X,O,X,O,X,X,X,X
IJOTLZS,O,X,X,X,O,X,O,X,X,X,X
IJOTSLZ,O,X,X,X,O,X,O,X,X,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,O,X,O,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,O,X,O,X,X,X,X
IJOLTZS,O,X,X,X,O,X,O,X,X,X,X
IJOLSTZ,X,X,X,X,O,X,X,O,X,X,X
IJOLSZT,X,X,X,O,O,X,X,O,X,X,X
IJOLZTS,X,X,X,X,O,O,X,X,X,X,X
IJOLZST,X,X,X,X,O,O,X,X,X,O,X
IJOSTLZ,O,O,X,X,O,X,X,O,X,X,X
IJOSTZL,O,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,O,X,X,O,X,X,X
IJOSLZT,X,O,O,O,O,X,X,O,X,X,X
IJOSZTL,X,O,O,O,X,X,X,X,X,X,X
IJOSZLT,X,O,O,O,X,X,X,O,X,X,X
IJOZTLS,O,X,X,X,O,O,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,O,O,X,X,X,X,X
IJOZLST,X,O,O,X,O,O,X,X,X,O,X
IJOZSTL,X,O,O,X,X,X,X,X,X,O,X
IJOZSLT,X,O,O,X,X,O,X,X,X,O,X
ISTLJZO,O,X,X,X,X,X,O,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X,O,X,X,X
ISTLZJO,O,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,O,X,X,X
ISTLOZJ,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,X,X,X,X,X,O,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,O,X,X,X
ISTJZLO,O,X,O,X,X,X,X,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,O,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X,X,X,X
ISTZLJO,O,X,O,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X,X,X,X
ISTZJLO,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X,X,X,X,X
ISTZOJL,O,X,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,O,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,O,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,O,X,O,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,X,X,O,X,X,X,O
ISLTJOZ,X,O,X,X,X,X,X,O,X,X,X
ISLTZJO,X,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,O,X,X,X
ISLTOZJ,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,X,O
ISLJTOZ,X,O,X,X,X,X,X,O,X,X,X
ISLJZTO,X,X,O,X,X,X,X,X,X,O,X
ISLJZOT,X,O,O,X,X,X,X,O,X,O,X
ISLJOTZ,X,O,X,X,X,X,X,O,X,X,X
ISLJOZT,X,O,O,X,X,X,X,O,X,X,X
ISLZTJO,X,X,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,X,O,X
ISLZJOT,X,O,O,X,X,O,X,O,X,O,X
ISLZOTJ,X,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,O,O,X,X,O,X,O,X,X,X
ISLOTJZ,X,O,X,X,X,X,O,O,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,O,X,X,X
ISLOJZT,X,O,O,X,X,X,X,O,X,X,X
ISLOZTJ,X,X,O,X,X,X,X,X,X,X,X
ISLOZJT,X,O,O,X,X,O,X,O,X,X,X
ISJTLZO,O,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,O,X,X,X
ISJTZLO,O,X,O,X,X,X,X,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,X,X,O,X,X,X
ISJTOZL,O,X,O,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X,X,X,X,O
ISJLTOZ,X,O,X,X,X,X,X,O,X,X,X
ISJLZTO,X,X,O,X,X,X,X,X,X,O,X
ISJLZOT,X,O,O,X,X,X,X,O,X,O,X
ISJLOTZ,X,O,X,X,X,X,X,O,X,X,X
ISJLOZT,X,O,O,X,X,X,X,O,X,X,X
ISJZTLO,X,O,O,O,X,X,X,X,X,O,X
ISJZTOL,X,O,O,X,X,X,X,X,X,O,X
ISJZLTO,X,O,O,O,X,X,X,X,X,O,X
ISJZLOT,X,O,O,O,X,X,X,O,X,O,X
ISJZOTL,X,O,O,O,X,X,X,X,X,O,X
ISJZOLT,X,O,O,O,X,X,X,O,X,O,X
ISJOTLZ,O,O,X,X,X,X,X,O,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,X,O,X,X,X
ISJOLZT,X,O,O,O,X,X,X,O,X,X,X
ISJOZTL,X,O,O,O,X,X,X,X,X,X,X
ISJOZLT,X,O,O,O,X,X,X,O,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X,X,X
ISZLTJO,X,O,O,O,X,X,X,X,X,X,X
ISZLTOJ,X,O,O,X,X,X,X,X,X,X,X
ISZLJTO,X,O,O,O,X,X,X,X,X,O,X
ISZLJOT,X,O,O,O,X,O,X,O,X,O,X
ISZLOTJ,X,O,O,X,X,X,X,X,X,X,X
ISZLOJT,X,O,O,O,X,O,X,O,X,X,X
ISZJTLO,X,O,O,O,X,X,X,X,X,O,X
ISZJTOL,X,O,O,X,X,X,X,X,X,O,X
ISZJLTO,X,O,O,O,X,X,X,X,X,O,X
ISZJLOT,X,O,O,O,X,O,X,O,X,O,X
ISZJOTL,X,O,O,O,X,X,X,X,X,O,X
ISZJOLT,X,O,O,O,X,O,X,O,X,O,X
ISZOTLJ,O,O,O,O,X,X,X,X,X,X,X
ISZOTJL,O,O,O,O,X,X,X,X,X,X,X
ISZOLTJ,X,O,O,O,X,X,X,X,X,X,X
ISZOLJT,X,O,O,O,X,O,X,O,X,X,X
ISZOJTL,X,O,O,O,X,X,X,X,X,X,X
ISZOJLT,X,O,O,O,X,O,X,O,X,X,X
ISOTLJZ,O,O,X,X,X,X,O,O,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,O,O,X,X,X
ISOTJZL,O,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,O,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,X,X,O,O,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X,O,X,X,X
ISOLJZT,X,O,O,O,X,X,X,O,X,X,X
ISOLZTJ,X,X,O,O,X,X,X,X,X,X,X
ISOLZJT,X,O,O,O,X,O,X,O,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,O,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,X,O,X,X,X
ISOJLZT,X,O,O,O,X,X,X,O,X,X,X
ISOJZTL,X,O,O,O,X,X,X,X,X,X,X
ISOJZLT,X,O,O,O,X,X,X,O,X,X,X
ISOZTLJ,O,O,O,O,X,X,X,X,X,X,X
ISOZTJL,O,O,O,O,X,X,X,X,X,X,X
ISOZLTJ,X,O,O,O,X,X,X,X,X,X,X
ISOZLJT,X,O,O,O,X,O,X,O,X,X,X
ISOZJTL,X,O,O,O,X,X,X,X,X,X,X
ISOZJLT,X,O,O,O,X,O,X,O,X,X,X
IZTLJSO,O,X,X,X,X,X,O,X,X,O,X
IZTLJOS,O,X,X,X,X,O,O,X,X,X,X
IZTLSJO,O,X,O,X,X,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,O,X,X,O,X
IZTJLOS,O,X,X,X,X,O,O,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,X,O,X
IZTJSOL,O,X,X,X,X,X,X,X,X,O,X
IZTJOLS,O,X,X,X,X,O,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,X,X,X,X,X,X
IZTOJLS,O,X,X,X,X,O,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,O,X,X,X,X,X,X,X,X
IZTOSJL,O,X,O,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,O,X,X,O,X
IZLTJOS,O,X,X,X,X,O,O,X,X,X,X
IZLTSJO,O,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X,X,X,O,X
IZLJTOS,X,X,X,X,X,O,X,X,X,X,X
IZLJSTO,X,O,O,X,X,X,X,X,X,O,X
IZLJSOT,X,O,O,X,X,O,X,O,X,O,X
IZLJOTS,X,X,X,X,X,O,X,X,X,X,X
IZLJOST,X,O,O,X,X,O,X,X,X,O,X
IZLSTJO,X,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,O,X,X,X,X,X,X,X,X
IZLSJTO,X,O,O,X,X,X,X,X,X,O,X
IZLSJOT,X,O,O,X,X,O,X,O,X,O,X
IZLSOTJ,X,O,O,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,X,X,O,X,O,X,X,X
IZLOTJS,O,X,X,X,X,O,O,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,O,X,X,X,X,X
IZLOJST,X,O,O,X,X,O,X,X,X,O,X
IZLOSTJ,X,O,O,X,X,X,X,X,X,X,X
IZLOSJT,X,O,O,X,X,O,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,X,X,O,X
IZJTLOS,O,X,X,X,X,O,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,X,O,X
IZJTSOL,O,X,X,X,X,X,X,X,X,O,X
IZJTOLS,O,X,X,X,X,O,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,X,X,X,O,X
IZJLTOS,X,X,X,X,X,O,X,X,X,X,X
IZJLSTO,X,O,O,X,X,X,X,X,X,O,X
IZJLSOT,X,O,O,X,X,O,X,O,X,O,X
IZJLOTS,X,X,X,X,X,O,X,X,X,X,X
IZJLOST,X,O,O,X,X,O,X,X,X,O,X
IZJSTLO,X,O,O,X,X,X,X,X,X,O,X
IZJSTOL,X,O,O,X,X,X,X,X,X,O,X
IZJSLTO,X,O,O,X,X,X,X,X,X,O,X
IZJSLOT,X,O,O,X,X,O,X,O,X,O,X
IZJSOTL,X,O,O,X,X,X,X,X,X,O,X
IZJSOLT,X,O,O,X,X,O,X,O,X,O,X
IZJOTLS,O,X,X,X,X,O,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,X,O,O,X,X,O,X,X,X,O,X
IZJOSTL,X,O,O,X,X,X,X,X,X,O,X
IZJOSLT,X,O,O,X,X,O,X,X,X,O,X
IZSTLJO,O,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X,X,X
IZSLTJO,X,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,O,X,X,X,X,X,X,X,X
IZSLJTO,X,O,O,X,X,X,X,X,X,O,X
IZSLJOT,X,O,O,X,X,O,X,O,X,O,X
IZSLOTJ,X,O,O,X,X,X,X,X,X,X,X
IZSLOJT,X,O,O,X,X,O,X,O,X,X,X
IZSJTLO,X,O,O,X,X,X,X,X,X,O,X
IZSJTOL,X,O,O,X,X,X,X,X,X,O,X
IZSJLTO,X,O,O,X,X,X,X,X,X,O,X
IZSJLOT,X,O,O,X,X,O,X,O,X,O,X
IZSJOTL,X,O,O,X,X,X,X,X,X,O,X
IZSJOLT,X,O,O,X,X,O,X,O,X,O,X
IZSOTLJ,O,O,O,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,X,X,X,X,X,X
IZSOLJT,X,O,O,X,X,O,X,O,X,X,X
IZSOJTL,X,O,O,X,X,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,O,X,O,X,X,X
IZOTLJS,O,X,X,X,X,O,O,X,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,O,O,X,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,O,O,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,X,X,X,X,O,X,X,X,X,X
IZOLJST,X,O,O,X,X,O,X,X,X,O,X
IZOLSTJ,X,O,O,X,X,X,X,X,X,X,X
IZOLSJT,X,O,O,X,X,O,X,X,X,X,X
IZOJTLS,O,X,X,X,X,O,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,X,X,O,X,X,X,X,X
IZOJLST,X,O,O,X,X,O,X,X,X,O,X
IZOJSTL,X,O,O,X,X,X,X,X,X,O,X
IZOJSLT,X,O,O,X,X,O,X,X,X,O,X
IZOSTLJ,O,O,O,X,X,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,O,X,X,X,X,X,X,X,X
