sequence,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lBxhBOoBcsBXrBlrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lB3hBFjB0nB2rBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFfnB6nBOoBUmBllBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFlgBUiBOoBXmBSsBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFlgBxiBmnBCrBXsBcrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF0gBxiBysBGrBFsBXrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lBFjBxmB2sBXrB0rB,v115@JhA8FeD8FeD8DeC8JeT/IvhFXhBxiBysBGrBFsB0qB
ISLJZOT,O,X,O,O,O,X,X,X
ISLJOTZ,X,X,O,O,O,X,O,X
ISLJOZT,O,X,O,O,O,X,X,X
ISLZTJO,O,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,O,X,X,O,X
ISLZJTO,O,O,O,O,O,X,X,X
ISLZJOT,O,O,O,O,O,X,X,X
ISLZOTJ,O,O,O,O,X,X,O,X
ISLZOJT,O,O,O,O,O,X,X,X
ISLOTJZ,X,X,O,O,O,X,O,X
ISLOTZJ,X,O,O,O,X,X,O,X
ISLOJTZ,X,X,O,O,O,X,O,X
ISLOJZT,O,X,O,O,O,X,X,X
ISLOZTJ,O,O,O,O,X,X,O,X
ISLOZJT,O,O,O,O,O,X,X,X
ISJTLZO,X,X,O,O,O,X,X,X
ISJTLOZ,X,X,O,O,O,X,O,X
ISJTZLO,X,X,O,O,X,X,X,X
ISJTZOL,X,X,O,O,X,X,X,X
ISJTOLZ,X,X,O,O,O,X,O,X
ISJTOZL,X,X,O,O,X,X,X,X
ISJLTZO,X,X,O,O,O,X,X,X
ISJLTOZ,X,X,O,O,O,X,O,X
ISJLZTO,O,X,O,O,O,X,X,X
ISJLZOT,O,X,O,O,O,X,X,X
ISJLOTZ,X,X,O,O,O,X,O,X
ISJLOZT,O,X,O,O,O,X,X,X
ISJZTLO,O,X,O,O,X,X,X,X
ISJZTOL,O,X,O,O,X,X,X,X
ISJZLTO,O,X,O,O,O,X,X,X
ISJZLOT,O,X,O,O,O,X,X,X
ISJZOTL,O,X,O,O,X,X,X,X
ISJZOLT,O,X,O,O,O,X,X,X
ISJOTLZ,X,X,O,O,O,X,O,X
ISJOTZL,X,X,O,O,X,X,X,X
ISJOLTZ,X,X,O,O,O,X,O,X
ISJOLZT,O,X,O,O,O,X,X,X
ISJOZTL,O,X,O,O,X,X,X,X
ISJOZLT,O,X,O,O,O,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,O,X,X,O,X
ISZTJLO,O,O,O,O,X,X,X,X
ISZTJOL,O,O,O,O,X,X,X,X
ISZTOLJ,O,O,O,O,X,X,O,X
ISZTOJL,O,O,O,O,X,X,X,X
ISZLTJO,O,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,O,X,X,O,X
ISZLJTO,O,O,O,O,O,X,X,X
ISZLJOT,O,O,O,O,O,X,X,X
ISZLOTJ,O,O,O,O,X,X,O,X
ISZLOJT,O,O,O,O,O,X,X,X
ISZJTLO,O,O,O,O,X,X,X,X
ISZJTOL,O,O,O,O,X,X,X,X
ISZJLTO,O,O,O,O,O,X,X,X
ISZJLOT,O,O,O,O,O,X,X,X
ISZJOTL,O,O,O,O,X,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X
ISZOTLJ,O,O,O,O,X,X,O,X
ISZOTJL,O,O,O,O,X,X,X,X
ISZOLTJ,O,O,O,O,X,X,O,X
ISZOLJT,O,O,O,O,O,X,X,X
ISZOJTL,O,O,O,O,X,X,X,X
ISZOJLT,O,O,O,O,O,X,X,X
ISOTLJZ,X,X,O,O,O,X,O,X
ISOTLZJ,X,O,O,O,X,X,O,X
ISOTJLZ,X,X,O,O,O,X,O,X
ISOTJZL,X,X,O,O,X,X,X,X
ISOTZLJ,X,O,O,O,X,X,O,X
ISOTZJL,X,O,O,O,X,X,X,X
ISOLTJZ,X,X,O,O,O,X,O,X
ISOLTZJ,X,O,O,O,X,X,O,X
ISOLJTZ,X,X,O,O,O,X,O,X
ISOLJZT,O,X,O,O,O,X,X,X
ISOLZTJ,O,O,O,O,X,X,O,X
ISOLZJT,O,O,O,O,O,X,X,X
ISOJTLZ,X,X,O,O,O,X,O,X
ISOJTZL,X,X,O,O,X,X,X,X
ISOJLTZ,X,X,O,O,O,X,O,X
ISOJLZT,O,X,O,O,O,X,X,X
ISOJZTL,O,X,O,O,X,X,X,X
ISOJZLT,O,X,O,O,O,X,X,X
ISOZTLJ,O,O,O,O,X,X,O,X
ISOZTJL,O,O,O,O,X,X,X,X
ISOZLTJ,O,O,O,O,X,X,O,X
ISOZLJT,O,O,O,O,O,X,X,X
ISOZJTL,O,O,O,O,X,X,X,X
ISOZJLT,O,O,O,O,O,X,X,X
IZTLJSO,X,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,X
IZTJSLO,X,O,O,O,X,X,X,X
IZTJSOL,X,O,O,O,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X,X
IZTJOSL,X,O,O,O,X,X,X,X
IZTSLJO,X,O,O,O,X,X,X,X
IZTSLOJ,X,O,O,O,X,X,X,X
IZTSJLO,X,O,O,O,X,X,X,X
IZTSJOL,X,O,O,O,X,X,X,X
IZTSOLJ,X,O,O,O,X,X,X,X
IZTSOJL,X,O,O,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X
IZTOJSL,X,O,O,O,X,X,X,X
IZTOSLJ,X,O,O,O,X,X,X,X
IZTOSJL,X,O,O,O,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,O,X,X
IZLJTOS,O,O,X,X,X,O,X,X
IZLJSTO,O,O,O,X,X,X,X,X
IZLJSOT,O,O,O,X,X,X,X,X
IZLJOTS,O,O,X,X,X,O,X,X
IZLJOST,O,O,O,X,X,X,X,X
IZLSTJO,O,O,O,X,X,X,X,X
IZLSTOJ,O,O,O,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,O,X,X
IZLOJST,O,O,O,X,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X,X
IZJTLSO,X,O,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,X
IZJTSLO,X,O,O,O,X,X,X,X
IZJTSOL,X,O,O,O,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X
IZJTOSL,X,O,O,O,X,X,X,X
IZJLTSO,X,O,X,X,X,O,X,X
IZJLTOS,O,O,X,X,X,O,X,X
IZJLSTO,O,O,O,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X,X
IZJLOTS,O,O,X,X,X,O,X,X
IZJLOST,O,O,O,X,X,X,X,X
IZJSTLO,O,O,O,O,X,X,X,X
IZJSTOL,O,O,O,O,X,X,X,X
IZJSLTO,O,O,O,O,O,X,X,X
IZJSLOT,O,O,O,O,O,X,X,X
IZJSOTL,O,O,O,O,X,X,X,X
IZJSOLT,O,O,O,O,O,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X
IZJOTSL,X,O,O,O,X,X,X,X
IZJOLTS,O,O,X,X,X,O,X,X
IZJOLST,O,O,O,X,X,X,X,X
IZJOSTL,O,O,O,O,X,X,X,X
IZJOSLT,O,O,O,O,O,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X
IZSTLOJ,O,O,O,O,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X
IZSTJOL,O,O,O,O,X,X,X,X
IZSTOLJ,O,O,O,O,X,X,X,X
IZSTOJL,O,O,O,O,X,X,X,X
IZSLTJO,O,O,O,O,X,X,X,X
IZSLTOJ,O,O,O,O,X,X,X,X
IZSLJTO,O,O,O,O,O,X,X,X
IZSLJOT,O,O,O,O,O,X,X,X
IZSLOTJ,O,O,O,O,X,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X
IZSJTLO,O,O,O,O,X,X,X,X
IZSJTOL,O,O,O,O,X,X,X,X
IZSJLTO,O,O,O,O,O,X,X,X
IZSJLOT,O,O,O,O,O,X,X,X
IZSJOTL,O,O,O,O,X,X,X,X
IZSJOLT,O,O,O,O,O,X,X,X
IZSOTLJ,O,O,O,O,X,X,X,X
IZSOTJL,O,O,O,O,X,X,X,X
IZSOLTJ,O,O,O,O,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X
IZSOJTL,O,O,O,O,X,X,X,X
IZSOJLT,O,O,O,O,O,X,X,X
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,X,O,O,O,X,X,X,X
IZOTSLJ,X,O,O,O,X,X,X,X
IZOTSJL,X,O,O,O,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,O,X,X
IZOLJST,O,O,O,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,X,X
IZOJTSL,X,O,O,O,X,X,X,X
IZOJLTS,O,O,X,X,X,O,X,X
IZOJLST,O,O,O,X,X,X,X,X
IZOJSTL,O,O,O,O,X,X,X,X
IZOJSLT,O,O,O,O,O,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X
IZOSTJL,O,O,O,O,X,X,X,X
IZOSLTJ,O,O,O,O,X,X,X,X
IZOSLJT,O,O,O,O,O,X,X,X
IZOSJTL,O,O,O,O,X,X,X,X
IZOSJLT,O,O,O,O,O,X,X,X
IOTLJSZ,X,X,O,O,X,X,X,X
IOTLJZS,X,O,X,X,X,X,X,X
IOTLSJZ,X,X,O,O,X,X,O,X
IOTLSZJ,X,O,O,O,X,X,O,X
IOTLZJS,X,O,X,X,X,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,O,O,X,X,X,X
IOTJLZS,X,O,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,O,X,X,X
IOTJSZL,X,X,O,O,X,X,X,X
IOTJZLS,X,O,X,X,X,X,X,X
IOTJZSL,X,O,O,O,X,X,X,X
IOTSLJZ,X,X,O,O,O,X,O,X
IOTSLZJ,X,O,O,O,X,X,O,X
IOTSJLZ,X,X,O,O,O,X,O,X
IOTSJZL,X,X,O,O,X,X,X,X
IOTSZLJ,X,O,O,O,X,X,O,X
IOTSZJL,X,O,O,O,X,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X
IOTZJSL,X,O,O,O,X,X,X,X
IOTZSLJ,X,O,O,O,X,X,X,X
IOTZSJL,X,O,O,O,X,X,X,X
IOLTJSZ,X,X,O,O,X,X,X,X
IOLTJZS,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,O,O,X,X,O,X
IOLTSZJ,X,O,O,O,X,X,O,X
IOLTZJS,X,O,X,X,X,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,O,O,X,O,X,O
IOLJTZS,X,O,X,X,X,O,X,O
IOLJSTZ,X,X,O,O,O,X,X,X
IOLJSZT,O,X,O,O,O,X,X,X
IOLJZTS,O,O,X,X,X,O,X,X
IOLJZST,O,O,O,X,X,X,X,X
IOLSTJZ,X,X,O,O,O,X,O,X
IOLSTZJ,X,O,O,O,X,X,O,X
IOLSJTZ,X,X,O,O,O,X,O,X
IOLSJZT,O,X,O,O,O,X,X,X
IOLSZTJ,O,O,O,O,X,X,O,X
IOLSZJT,O,O,O,O,O,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X
IOLZJTS,O,O,X,X,X,O,X,X
IOLZJST,O,O,O,X,X,X,X,X
IOLZSTJ,O,O,O,X,X,X,X,X
IOLZSJT,O,O,O,X,X,X,X,X
IOJTLSZ,X,X,O,O,X,X,X,X
IOJTLZS,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,O,O,O,X,X,X
IOJTSZL,X,X,O,O,X,X,X,X
IOJTZLS,X,O,X,X,X,X,X,X
IOJTZSL,X,O,O,O,X,X,X,X
IOJLTSZ,X,X,O,O,X,O,X,O
IOJLTZS,X,O,X,X,X,O,X,O
IOJLSTZ,X,X,O,O,O,X,X,X
IOJLSZT,O,X,O,O,O,X,X,X
IOJLZTS,O,O,X,X,X,O,X,X
IOJLZST,O,O,O,X,X,X,X,X
IOJSTLZ,X,X,O,O,O,X,X,X
IOJSTZL,X,X,O,O,X,X,X,X
IOJSLTZ,X,X,O,O,O,X,X,O
IOJSLZT,O,X,O,O,O,X,X,X
IOJSZTL,O,X,O,O,X,X,X,X
IOJSZLT,O,X,O,O,O,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X
IOJZTSL,X,O,O,O,X,X,X,X
IOJZLTS,O,O,X,X,X,O,X,X
IOJZLST,O,O,O,X,X,X,X,X
IOJZSTL,O,O,O,O,X,X,X,X
IOJZSLT,O,O,O,O,O,X,X,X
IOSTLJZ,X,X,O,O,O,X,O,X
IOSTLZJ,X,O,O,O,X,X,O,X
IOSTJLZ,X,X,O,O,O,X,O,X
IOSTJZL,X,X,O,O,X,X,X,X
IOSTZLJ,X,O,O,O,X,X,O,X
IOSTZJL,X,O,O,O,X,X,X,X
IOSLTJZ,X,X,O,O,O,X,O,X
IOSLTZJ,X,O,O,O,X,X,O,X
IOSLJTZ,X,X,O,O,O,X,O,X
IOSLJZT,O,X,O,O,O,X,X,X
IOSLZTJ,O,O,O,O,X,X,O,X
IOSLZJT,O,O,O,O,O,X,X,X
IOSJTLZ,X,X,O,O,O,X,O,X
IOSJTZL,X,X,O,O,X,X,X,X
IOSJLTZ,X,X,O,O,O,X,O,X
IOSJLZT,O,X,O,O,O,X,X,X
IOSJZTL,O,X,O,O,X,X,X,X
IOSJZLT,O,X,O,O,O,X,X,X
IOSZTLJ,O,O,O,O,X,X,O,X
IOSZTJL,O,O,O,O,X,X,X,X
IOSZLTJ,O,O,O,O,X,X,O,X
IOSZLJT,O,O,O,O,O,X,X,X
IOSZJTL,O,O,O,O,X,X,X,X
IOSZJLT,O,O,O,O,O,X,X,X
IOZTLJS,O,O,X,X,X,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X,X
IOZTJSL,X,O,O,O,X,X,X,X
IOZTSLJ,X,O,O,O,X,X,X,X
IOZTSJL,X,O,O,O,X,X,X,X
IOZLTJS,O,O,X,X,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X
IOZLJTS,O,O,X,X,X,O,X,X
IOZLJST,O,O,O,X,X,X,X,X
IOZLSTJ,O,O,O,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X,X
IOZJTSL,X,O,O,O,X,X,X,X
IOZJLTS,O,O,X,X,X,O,X,X
IOZJLST,O,O,O,X,X,X,X,X
IOZJSTL,O,O,O,O,X,X,X,X
IOZJSLT,O,O,O,O,O,X,X,X
IOZSTLJ,O,O,O,O,X,X,X,X
IOZSTJL,O,O,O,O,X,X,X,X
IOZSLTJ,O,O,O,O,X,X,X,X
IOZSLJT,O,O,O,O,O,X,X,X
IOZSJTL,O,O,O,O,X,X,X,X
IOZSJLT,O,O,O,O,O,X,X,X
LTIJSZO,X,X,O,O,X,X,X,X
LTIJSOZ,X,X,O,O,X,X,X,X
LTIJZSO,X,O,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,O,X,X,X,X
LTIJOZS,X,O,X,X,X,X,X,X
LTISJZO,X,X,O,O,X,X,X,X
LTISJOZ,X,X,O,O,X,X,O,X
LTISZJO,X,O,O,O,X,X,X,X
LTISZOJ,X,O,O,O,X,X,O,X
LTISOJZ,X,X,O,O,X,X,O,X
LTISOZJ,X,O,O,O,X,X,O,X
LTIZJSO,X,O,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,O,O,X,X,X,X
LTIOJZS,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,O,O,X,X,O,X
LTIOSZJ,X,O,O,O,X,X,O,X
LTIOZJS,X,O,X,X,X,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,X
LTJISZO,X,X,O,O,X,O,X,O
LTJISOZ,X,X,O,O,X,O,X,O
LTJIZSO,X,X,X,X,X,O,X,O
LTJIZOS,X,X,X,X,X,O,X,O
LTJIOSZ,X,X,O,O,X,O,X,O
LTJIOZS,X,X,X,X,X,O,X,O
LTJSIZO,X,X,X,X,X,O,X,O
LTJSIOZ,X,X,X,X,X,O,O,O
LTJSZIO,O,X,X,X,X,O,X,O
LTJSZOI,O,X,X,X,X,O,X,O
LTJSOIZ,X,X,X,X,X,O,O,O
LTJSOZI,O,X,X,X,X,O,X,O
LTJZISO,X,X,X,X,X,O,X,O
LTJZIOS,O,X,X,X,X,O,X,O
LTJZSIO,O,X,X,X,X,O,X,O
LTJZSOI,O,X,X,X,X,O,X,O
LTJZOIS,O,X,X,X,X,O,X,O
LTJZOSI,O,X,X,X,X,O,X,O
LTJOISZ,X,X,O,O,X,O,X,O
LTJOIZS,X,X,X,X,X,O,X,O
LTJOSIZ,X,X,X,X,X,O,O,O
LTJOSZI,O,X,X,X,X,O,X,O
LTJOZIS,O,X,X,X,X,O,X,O
LTJOZSI,O,X,X,X,X,O,X,O
LTSIJZO,X,X,X,X,O,X,X,X
LTSIJOZ,X,X,X,X,O,X,O,X
LTSIZJO,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,O,X
LTSIOJZ,X,X,X,X,O,X,O,X
LTSIOZJ,X,X,X,X,X,X,O,X
LTSJIZO,X,X,X,X,O,X,X,X
LTSJIOZ,X,X,X,X,O,X,O,X
LTSJZIO,O,X,X,X,O,X,X,X
LTSJZOI,O,X,X,X,O,X,X,X
LTSJOIZ,X,X,X,X,O,X,O,X
LTSJOZI,O,X,X,X,O,X,X,X
LTSZIJO,O,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,X,X,X,O,X
LTSZJIO,O,X,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,O,X
LTSZOJI,O,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,O,X,O,X
LTSOIZJ,X,X,X,X,X,X,O,X
LTSOJIZ,X,X,X,X,O,X,O,X
LTSOJZI,O,X,X,X,O,X,X,X
LTSOZIJ,O,X,X,X,X,X,O,X
LTSOZJI,O,X,X,X,X,X,X,X
LTZIJSO,X,O,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X
LTZISJO,X,O,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X,X
LTZIOJS,O,O,X,X,X,X,X,X
LTZIOSJ,X,O,X,X,X,X,X,X
LTZJISO,X,X,X,X,X,O,X,X
LTZJIOS,O,X,X,X,X,O,X,X
LTZJSIO,O,X,X,X,X,O,X,X
LTZJSOI,O,X,X,X,X,O,X,X
LTZJOIS,O,X,X,X,X,O,X,X
LTZJOSI,O,X,X,X,X,O,X,X
LTZSIJO,O,O,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,X,X,O,X
LTZSJIO,O,X,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,O,X
LTZSOJI,O,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,X,X,X,X
LTZOISJ,X,O,X,X,X,X,X,X
LTZOJIS,O,X,X,X,X,O,X,X
LTZOJSI,O,X,X,X,X,O,X,X
LTZOSIJ,O,O,X,X,X,X,O,X
LTZOSJI,O,X,X,X,X,X,X,X
LTOIJSZ,X,X,O,O,X,X,X,X
LTOIJZS,X,O,X,X,X,X,X,X
LTOISJZ,X,X,O,O,X,X,O,X
LTOISZJ,X,O,O,O,X,X,O,X
LTOIZJS,X,O,X,X,X,X,X,X
LTOIZSJ,X,O,X,X,X,X,X,X
LTOJISZ,X,X,O,O,X,O,X,O
LTOJIZS,X,X,X,X,X,O,X,O
LTOJSIZ,X,X,X,X,X,O,O,O
LTOJSZI,O,X,X,X,X,O,X,O
LTOJZIS,O,X,X,X,X,O,X,O
LTOJZSI,O,X,X,X,X,O,X,O
LTOSIJZ,X,X,X,X,O,X,O,X
LTOSIZJ,X,X,X,X,X,X,O,X
LTOSJIZ,X,X,X,X,O,X,O,X
LTOSJZI,O,X,X,X,O,X,X,X
LTOSZIJ,O,X,X,X,X,X,O,X
LTOSZJI,O,X,X,X,X,X,X,X
LTOZIJS,O,O,X,X,X,X,X,X
LTOZISJ,X,O,X,X,X,X,X,X
LTOZJIS,O,X,X,X,X,O,X,X
LTOZJSI,O,X,X,X,X,O,X,X
LTOZSIJ,O,O,X,X,X,X,O,X
LTOZSJI,O,X,X,X,X,X,X,X
LITJSZO,X,X,O,O,X,X,X,X
LITJSOZ,X,X,O,O,X,X,X,X
LITJZSO,X,O,X,X,X,X,X,X
LITJZOS,X,O,X,X,X,X,X,X
LITJOSZ,X,X,O,O,X,X,X,X
LITJOZS,X,O,X,X,X,X,X,X
LITSJZO,X,X,O,O,X,X,X,X
LITSJOZ,X,X,O,O,X,X,O,X
LITSZJO,X,O,O,O,X,X,X,X
LITSZOJ,X,O,O,O,X,X,O,X
LITSOJZ,X,X,O,O,X,X,O,X
LITSOZJ,X,O,O,O,X,X,O,X
LITZJSO,X,O,X,X,X,X,X,X
LITZJOS,X,O,X,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X
LITZOSJ,X,O,X,X,X,X,X,X
LITOJSZ,X,X,O,O,X,X,X,X
LITOJZS,X,O,X,X,X,X,X,X
LITOSJZ,X,X,O,O,X,X,O,X
LITOSZJ,X,O,O,O,X,X,O,X
LITOZJS,X,O,X,X,X,X,X,X
LITOZSJ,X,O,X,X,X,X,X,X
LIJTSZO,X,X,O,O,X,O,X,O
LIJTSOZ,X,X,O,O,X,O,X,O
LIJTZSO,X,O,X,X,X,O,X,O
LIJTZOS,X,O,X,X,X,O,X,O
LIJTOSZ,X,X,O,O,X,O,X,O
LIJTOZS,X,O,X,X,X,O,X,O
LIJSTZO,X,X,O,O,O,X,X,X
LIJSTOZ,X,X,O,O,O,X,X,X
LIJSZTO,O,X,O,O,O,X,X,X
LIJSZOT,O,X,O,O,O,X,X,X
LIJSOTZ,X,X,O,O,O,X,X,X
LIJSOZT,O,X,O,O,O,X,X,X
LIJZTSO,X,O,X,X,X,O,X,X
LIJZTOS,O,O,X,X,X,O,X,X
LIJZSTO,O,O,O,X,X,X,X,X
LIJZSOT,O,O,O,X,X,X,X,X
LIJZOTS,O,O,X,X,X,O,X,X
LIJZOST,O,O,O,X,X,X,X,X
LIJOTSZ,X,X,O,O,X,O,X,O
LIJOTZS,X,O,X,X,X,O,X,O
LIJOSTZ,X,X,O,O,O,X,X,X
LIJOSZT,O,X,O,O,O,X,X,X
LIJOZTS,O,O,X,X,X,O,X,X
LIJOZST,O,O,O,X,X,X,X,X
LISTJZO,X,X,O,O,O,X,X,X
LISTJOZ,X,X,O,O,O,X,O,X
LISTZJO,X,O,O,O,X,X,X,X
LISTZOJ,X,O,O,O,X,X,O,X
LISTOJZ,X,X,O,O,O,X,O,X
LISTOZJ,X,O,O,O,X,X,O,X
LISJTZO,X,X,O,O,O,X,X,X
LISJTOZ,X,X,O,O,O,X,O,X
LISJZTO,O,X,O,O,O,X,X,X
LISJZOT,O,X,O,O,O,X,X,X
LISJOTZ,X,X,O,O,O,X,O,X
LISJOZT,O,X,O,O,O,X,X,X
LISZTJO,O,O,O,O,X,X,X,X
LISZTOJ,O,O,O,O,X,X,O,X
LISZJTO,O,O,O,O,O,X,X,X
LISZJOT,O,O,O,O,O,X,X,X
LISZOTJ,O,O,O,O,X,X,O,X
LISZOJT,O,O,O,O,O,X,X,X
LISOTJZ,X,X,O,O,O,X,O,X
LISOTZJ,X,O,O,O,X,X,O,X
LISOJTZ,X,X,O,O,O,X,O,X
LISOJZT,O,X,O,O,O,X,X,X
LISOZTJ,O,O,O,O,X,X,O,X
LISOZJT,O,O,O,O,O,X,X,X
LIZTJSO,X,O,X,X,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X,X
LIZTSJO,X,O,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,X,X
LIZTOJS,O,O,X,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X,X
LIZJTSO,X,O,X,X,X,O,X,X
LIZJTOS,O,O,X,X,X,O,X,X
LIZJSTO,O,O,O,X,X,X,X,X
LIZJSOT,O,O,O,X,X,X,X,X
LIZJOTS,O,O,X,X,X,O,X,X
LIZJOST,O,O,O,X,X,X,X,X
LIZSTJO,O,O,O,X,X,X,X,X
LIZSTOJ,O,O,O,X,X,X,X,X
LIZSJTO,O,O,O,X,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X,X
LIZSOTJ,O,O,O,X,X,X,X,X
LIZSOJT,O,O,O,X,X,X,X,X
LIZOTJS,O,O,X,X,X,X,X,X
LIZOTSJ,X,O,X,X,X,X,X,X
LIZOJTS,O,O,X,X,X,O,X,X
LIZOJST,O,O,O,X,X,X,X,X
LIZOSTJ,O,O,O,X,X,X,X,X
LIZOSJT,O,O,O,X,X,X,X,X
LIOTJSZ,X,X,O,O,X,X,X,X
LIOTJZS,X,O,X,X,X,X,X,X
LIOTSJZ,X,X,O,O,X,X,O,X
LIOTSZJ,X,O,O,O,X,X,O,X
LIOTZJS,X,O,X,X,X,X,X,X
LIOTZSJ,X,O,X,X,X,X,X,X
LIOJTSZ,X,X,O,O,X,O,X,O
LIOJTZS,X,O,X,X,X,O,X,O
LIOJSTZ,X,X,O,O,O,X,X,X
LIOJSZT,O,X,O,O,O,X,X,X
LIOJZTS,O,O,X,X,X,O,X,X
LIOJZST,O,O,O,X,X,X,X,X
LIOSTJZ,X,X,O,O,O,X,O,X
LIOSTZJ,X,O,O,O,X,X,O,X
LIOSJTZ,X,X,O,O,O,X,O,X
LIOSJZT,O,X,O,O,O,X,X,X
LIOSZTJ,O,O,O,O,X,X,O,X
LIOSZJT,O,O,O,O,O,X,X,X
LIOZTJS,O,O,X,X,X,X,X,X
LIOZTSJ,X,O,X,X,X,X,X,X
