sequence,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBcmBxiBSsBToB2xB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBUiBGjBTmBxsByxB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBqsBToBfsB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBRiB+oBTmB0sBisB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgB3hB+oBxrBatBTsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBStBfsBzsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFTjBRmBSsBmlBXtBFsB,v115@HhA8IeD8FeF8CeA8Jel/IvhFRhBTjBmlBCnBcsBXtB
ISLJZOT,X,X,X,X,O,X,O,X
ISLJOTZ,X,X,X,X,O,X,X,O
ISLJOZT,X,X,X,X,O,X,O,X
ISLZTJO,X,O,X,X,O,X,X,X
ISLZTOJ,X,X,X,X,X,X,O,X
ISLZJTO,X,O,X,X,O,X,X,X
ISLZJOT,X,X,X,X,O,X,O,X
ISLZOTJ,X,X,X,X,X,X,O,X
ISLZOJT,X,X,X,X,X,X,O,X
ISLOTJZ,X,X,X,X,X,X,X,O
ISLOTZJ,X,X,X,X,X,X,O,X
ISLOJTZ,X,X,X,X,X,X,X,O
ISLOJZT,X,X,X,X,X,X,O,X
ISLOZTJ,X,X,X,X,X,X,O,X
ISLOZJT,X,X,X,X,X,X,O,X
ISJTLZO,X,O,X,X,O,X,X,X
ISJTLOZ,X,X,X,X,O,X,X,O
ISJTZLO,X,O,X,X,O,X,X,X
ISJTZOL,X,O,X,X,O,X,X,X
ISJTOLZ,X,O,X,O,O,X,X,O
ISJTOZL,X,O,X,O,O,X,X,X
ISJLTZO,X,O,X,X,O,X,X,X
ISJLTOZ,X,X,X,X,O,X,X,O
ISJLZTO,X,O,X,X,O,X,X,X
ISJLZOT,X,X,X,X,O,X,O,X
ISJLOTZ,X,X,X,X,O,X,X,O
ISJLOZT,X,X,X,X,O,X,O,X
ISJZTLO,X,O,X,X,O,X,X,X
ISJZTOL,X,O,X,X,O,X,X,X
ISJZLTO,X,O,X,X,O,X,X,X
ISJZLOT,X,X,X,X,O,X,O,X
ISJZOTL,X,O,X,X,O,X,X,X
ISJZOLT,X,X,X,X,O,X,O,X
ISJOTLZ,X,O,X,O,O,X,X,O
ISJOTZL,X,O,X,O,O,X,X,X
ISJOLTZ,X,O,X,O,O,X,X,O
ISJOLZT,X,O,X,X,O,X,O,X
ISJOZTL,X,O,X,O,O,X,X,X
ISJOZLT,X,O,X,O,O,X,O,X
ISZTLJO,O,O,X,X,O,X,X,X
ISZTLOJ,O,X,X,X,X,X,O,X
ISZTJLO,X,O,X,X,O,X,X,X
ISZTJOL,X,O,X,X,O,X,X,X
ISZTOLJ,O,X,X,X,X,X,O,X
ISZTOJL,O,O,X,X,O,X,X,X
ISZLTJO,O,O,X,X,O,X,X,X
ISZLTOJ,O,X,X,X,X,X,O,X
ISZLJTO,O,O,X,X,O,X,X,X
ISZLJOT,X,X,X,X,O,X,O,X
ISZLOTJ,O,X,X,X,X,X,O,X
ISZLOJT,O,X,X,X,X,X,O,X
ISZJTLO,X,O,X,X,O,X,X,X
ISZJTOL,X,O,X,X,O,X,X,X
ISZJLTO,X,O,X,X,O,X,X,X
ISZJLOT,X,X,X,X,O,X,O,X
ISZJOTL,X,O,X,X,O,X,X,X
ISZJOLT,X,X,X,X,O,X,O,X
ISZOTLJ,O,X,X,X,X,X,O,X
ISZOTJL,O,O,X,X,O,X,X,X
ISZOLTJ,O,X,X,X,X,X,O,X
ISZOLJT,O,X,X,X,X,X,O,X
ISZOJTL,O,O,X,X,O,X,X,X
ISZOJLT,X,X,X,X,O,X,O,X
ISOTLJZ,X,O,X,X,X,X,X,O
ISOTLZJ,X,O,X,X,X,X,O,X
ISOTJLZ,X,O,X,O,O,X,X,O
ISOTJZL,X,O,X,O,O,X,X,X
ISOTZLJ,O,O,X,X,X,X,O,X
ISOTZJL,O,O,X,O,O,X,X,X
ISOLTJZ,X,O,X,X,X,X,X,O
ISOLTZJ,X,O,X,X,X,X,O,X
ISOLJTZ,X,O,X,X,X,X,X,O
ISOLJZT,X,O,X,X,X,X,O,X
ISOLZTJ,X,O,X,X,X,X,O,X
ISOLZJT,X,O,X,X,X,X,O,X
ISOJTLZ,X,O,X,O,O,X,X,O
ISOJTZL,X,O,X,O,O,X,X,X
ISOJLTZ,X,O,X,O,O,X,X,O
ISOJLZT,X,O,X,X,O,X,O,X
ISOJZTL,X,O,X,O,O,X,X,X
ISOJZLT,X,O,X,O,O,X,O,X
ISOZTLJ,O,O,X,X,X,X,O,X
ISOZTJL,O,O,X,O,O,X,X,X
ISOZLTJ,O,O,X,X,X,X,O,X
ISOZLJT,O,O,X,X,X,X,O,X
ISOZJTL,O,O,X,O,O,X,X,X
ISOZJLT,X,O,X,O,O,X,O,X
IZTLJSO,O,O,X,X,O,O,X,X
IZTLJOS,X,X,O,X,O,O,X,X
IZTLSJO,O,O,X,X,O,X,X,X
IZTLSOJ,O,X,X,X,X,X,O,X
IZTLOJS,O,X,O,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,X
IZTJLSO,X,O,X,X,O,O,X,X
IZTJLOS,X,X,O,X,O,O,X,X
IZTJSLO,X,O,X,X,O,X,X,X
IZTJSOL,X,O,X,X,O,X,X,X
IZTJOLS,X,O,O,O,O,X,X,X
IZTJOSL,X,O,X,O,O,X,X,X
IZTSLJO,O,O,X,X,O,X,X,X
IZTSLOJ,O,X,X,X,X,X,O,X
IZTSJLO,X,O,X,X,O,X,X,X
IZTSJOL,X,O,X,X,O,X,X,X
IZTSOLJ,O,X,X,X,X,X,O,X
IZTSOJL,O,O,X,X,O,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X
IZTOJLS,X,O,O,O,O,X,X,X
IZTOJSL,O,O,X,O,O,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,O,O,X,X,X
IZLTJSO,O,O,X,X,O,O,X,X
IZLTJOS,X,X,O,X,O,O,X,X
IZLTSJO,O,O,X,X,O,X,X,X
IZLTSOJ,O,X,X,X,X,X,O,X
IZLTOJS,O,X,O,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,X
IZLJTSO,O,O,X,X,O,O,X,X
IZLJTOS,X,X,O,X,O,O,X,X
IZLJSTO,O,O,X,X,O,O,X,X
IZLJSOT,X,X,X,X,O,O,O,X
IZLJOTS,X,X,O,X,O,O,X,X
IZLJOST,X,X,O,X,O,O,X,X
IZLSTJO,O,O,X,X,O,X,X,X
IZLSTOJ,O,X,X,X,X,X,O,X
IZLSJTO,O,O,X,X,O,X,X,X
IZLSJOT,X,X,X,X,O,X,O,X
IZLSOTJ,O,X,X,X,X,X,O,X
IZLSOJT,O,X,X,X,X,X,O,X
IZLOTJS,O,X,O,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,O,X
IZLOSJT,O,X,X,X,X,X,O,X
IZJTLSO,X,O,X,X,O,O,X,X
IZJTLOS,X,X,O,X,O,O,X,X
IZJTSLO,X,O,X,X,O,X,X,X
IZJTSOL,X,O,X,X,O,X,X,X
IZJTOLS,X,O,O,O,O,X,X,X
IZJTOSL,X,O,X,O,O,X,X,X
IZJLTSO,X,O,X,X,O,O,X,X
IZJLTOS,X,X,O,X,O,O,X,X
IZJLSTO,X,O,X,X,O,O,X,X
IZJLSOT,X,X,X,X,O,O,O,X
IZJLOTS,X,X,O,X,O,O,X,X
IZJLOST,X,X,O,X,O,O,X,X
IZJSTLO,X,O,X,X,O,X,X,X
IZJSTOL,X,O,X,X,O,X,X,X
IZJSLTO,X,O,X,X,O,X,X,X
IZJSLOT,X,X,X,X,O,X,O,X
IZJSOTL,X,O,X,X,O,X,X,X
IZJSOLT,X,X,X,X,O,X,O,X
IZJOTLS,X,O,O,O,O,X,X,X
IZJOTSL,X,O,X,O,O,X,X,X
IZJOLTS,X,O,O,O,O,X,X,X
IZJOLST,X,O,O,O,O,X,X,X
IZJOSTL,X,O,X,O,O,X,X,X
IZJOSLT,X,O,X,O,O,X,X,X
IZSTLJO,O,O,X,X,O,X,X,X
IZSTLOJ,O,X,X,X,X,X,O,X
IZSTJLO,X,O,X,X,O,X,X,X
IZSTJOL,X,O,X,X,O,X,X,X
IZSTOLJ,O,X,X,X,X,X,O,X
IZSTOJL,O,O,X,X,O,X,X,X
IZSLTJO,O,O,X,X,O,X,X,X
IZSLTOJ,O,X,X,X,X,X,O,X
IZSLJTO,O,O,X,X,O,X,X,X
IZSLJOT,X,X,X,X,O,X,O,X
IZSLOTJ,O,X,X,X,X,X,O,X
IZSLOJT,O,X,X,X,X,X,O,X
IZSJTLO,X,O,X,X,O,X,X,X
IZSJTOL,X,O,X,X,O,X,X,X
IZSJLTO,X,O,X,X,O,X,X,X
IZSJLOT,X,X,X,X,O,X,O,X
IZSJOTL,X,O,X,X,O,X,X,X
IZSJOLT,X,X,X,X,O,X,O,X
IZSOTLJ,O,X,X,X,X,X,O,X
IZSOTJL,O,O,X,X,O,X,X,X
IZSOLTJ,O,X,X,X,X,X,O,X
IZSOLJT,O,X,X,X,X,X,O,X
IZSOJTL,O,O,X,X,O,X,X,X
IZSOJLT,X,X,X,X,O,X,O,X
IZOTLJS,O,O,O,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,X,O,O,O,O,X,X,X
IZOTJSL,O,O,X,O,O,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,O,O,X,X,X
IZOLTJS,O,O,O,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,X
IZOLJST,O,O,O,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,O,X
IZOLSJT,O,O,X,X,X,X,O,X
IZOJTLS,X,O,O,O,O,X,X,X
IZOJTSL,O,O,X,O,O,X,X,X
IZOJLTS,X,O,O,O,O,X,X,X
IZOJLST,X,O,O,O,O,X,X,X
IZOJSTL,O,O,X,O,O,X,X,X
IZOJSLT,X,O,X,O,O,X,X,X
IZOSTLJ,O,O,X,X,X,X,O,X
IZOSTJL,O,O,X,O,O,X,X,X
IZOSLTJ,O,O,X,X,X,X,O,X
IZOSLJT,O,O,X,X,X,X,O,X
IZOSJTL,O,O,X,O,O,X,X,X
IZOSJLT,X,O,X,O,O,X,O,X
IOTLJSZ,X,O,O,X,X,X,X,X
IOTLJZS,O,O,O,X,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,O,O,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X
IOTJLSZ,X,O,O,O,O,X,X,X
IOTJLZS,O,O,O,X,O,X,X,X
IOTJSLZ,X,O,X,O,O,X,X,X
IOTJSZL,X,O,X,O,O,X,X,X
IOTJZLS,X,O,O,O,O,X,X,X
IOTJZSL,O,O,X,O,O,X,X,X
IOTSLJZ,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X
IOTSJLZ,X,O,X,O,O,X,X,X
IOTSJZL,X,O,X,O,O,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,X,O,O,X,X,X
IOTZLJS,O,O,O,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X
IOTZJLS,X,O,O,O,O,X,X,X
IOTZJSL,O,O,X,O,O,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,O,O,X,X,X
IOLTJSZ,X,O,O,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X
IOLTZJS,O,O,O,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,X
IOLJTSZ,X,O,O,X,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X,X
IOLJSTZ,X,O,O,X,X,X,X,X
IOLJSZT,X,O,O,X,X,X,X,X
IOLJZTS,O,O,O,X,X,X,X,X
IOLJZST,O,O,O,X,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,O,X
IOLSJTZ,X,O,X,X,X,X,X,X
IOLSJZT,X,O,X,X,X,X,O,X
IOLSZTJ,O,O,X,X,X,X,O,X
IOLSZJT,O,O,X,X,X,X,O,X
IOLZTJS,O,O,O,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,O,X
IOLZSJT,O,O,X,X,X,X,O,X
IOJTLSZ,X,O,O,O,O,X,X,X
IOJTLZS,O,O,O,X,O,X,X,X
IOJTSLZ,X,O,X,O,O,X,X,X
IOJTSZL,X,O,X,O,O,X,X,X
IOJTZLS,X,O,O,O,O,X,X,X
IOJTZSL,O,O,X,O,O,X,X,X
IOJLTSZ,X,O,O,O,O,X,X,X
IOJLTZS,O,O,O,X,O,X,X,X
IOJLSTZ,X,O,O,O,O,X,X,X
IOJLSZT,X,O,O,X,O,X,X,X
IOJLZTS,O,O,O,X,O,X,X,X
IOJLZST,O,O,O,X,O,X,X,X
IOJSTLZ,X,O,X,O,O,X,X,X
IOJSTZL,X,O,X,O,O,X,X,X
IOJSLTZ,X,O,X,O,O,X,X,X
IOJSLZT,X,O,X,X,O,X,X,X
IOJSZTL,X,O,X,O,O,X,X,X
IOJSZLT,X,O,X,O,O,X,X,X
IOJZTLS,X,O,O,O,O,X,X,X
IOJZTSL,O,O,X,O,O,X,X,X
IOJZLTS,X,O,O,O,O,X,X,X
IOJZLST,X,O,O,O,O,X,X,X
IOJZSTL,O,O,X,O,O,X,X,X
IOJZSLT,X,O,X,O,O,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,O,X
IOSTJLZ,X,O,X,O,O,X,X,X
IOSTJZL,X,O,X,O,O,X,X,X
IOSTZLJ,O,O,X,X,X,X,O,X
IOSTZJL,O,O,X,O,O,X,X,X
IOSLTJZ,X,O,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,O,X
IOSLJTZ,X,O,X,X,X,X,X,X
IOSLJZT,X,O,X,X,X,X,O,X
IOSLZTJ,O,O,X,X,X,X,O,X
IOSLZJT,O,O,X,X,X,X,O,X
IOSJTLZ,X,O,X,O,O,X,X,X
IOSJTZL,X,O,X,O,O,X,X,X
IOSJLTZ,X,O,X,O,O,X,X,X
IOSJLZT,X,O,X,X,O,X,O,X
IOSJZTL,X,O,X,O,O,X,X,X
IOSJZLT,X,O,X,O,O,X,O,X
IOSZTLJ,O,O,X,X,X,X,O,X
IOSZTJL,O,O,X,O,O,X,X,X
IOSZLTJ,O,O,X,X,X,X,O,X
IOSZLJT,O,O,X,X,X,X,O,X
IOSZJTL,O,O,X,O,O,X,X,X
IOSZJLT,X,O,X,O,O,X,O,X
IOZTLJS,O,O,O,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,X,O,O,O,O,X,X,X
IOZTJSL,O,O,X,O,O,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,O,O,X,X,X
IOZLTJS,O,O,O,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X
IOZLJST,O,O,O,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,O,X
IOZLSJT,O,O,X,X,X,X,O,X
IOZJTLS,X,O,O,O,O,X,X,X
IOZJTSL,O,O,X,O,O,X,X,X
IOZJLTS,X,O,O,O,O,X,X,X
IOZJLST,X,O,O,O,O,X,X,X
IOZJSTL,O,O,X,O,O,X,X,X
IOZJSLT,X,O,X,O,O,X,X,X
IOZSTLJ,O,O,X,X,X,X,O,X
IOZSTJL,O,O,X,O,O,X,X,X
IOZSLTJ,O,O,X,X,X,X,O,X
IOZSLJT,O,O,X,X,X,X,O,X
IOZSJTL,O,O,X,O,O,X,X,X
IOZSJLT,X,O,X,O,O,X,O,X
LTIJSZO,X,O,X,X,O,O,X,X
LTIJSOZ,X,X,X,X,O,O,X,O
LTIJZSO,O,O,X,X,O,O,X,X
LTIJZOS,X,X,O,X,O,O,X,X
LTIJOSZ,X,O,O,X,O,O,X,X
LTIJOZS,X,O,O,X,O,O,X,X
LTISJZO,X,O,X,X,O,X,X,X
LTISJOZ,X,X,X,X,O,X,X,O
LTISZJO,O,O,X,X,O,X,X,X
LTISZOJ,O,X,X,X,X,X,O,X
LTISOJZ,X,X,X,X,X,X,X,O
LTISOZJ,X,X,X,X,X,X,O,X
LTIZJSO,O,O,X,X,O,O,X,X
LTIZJOS,X,X,O,X,O,O,X,X
LTIZSJO,O,O,X,X,O,X,X,X
LTIZSOJ,O,X,X,X,X,X,O,X
LTIZOJS,O,X,O,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X
LTIOJSZ,X,O,O,X,X,X,X,X
LTIOJZS,O,O,O,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X
LTIOZJS,O,O,O,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X
LTJISZO,X,X,X,X,O,O,X,X
LTJISOZ,X,X,X,X,O,O,X,O
LTJIZSO,O,X,X,X,O,O,X,X
LTJIZOS,X,X,O,X,O,O,X,X
LTJIOSZ,X,X,O,X,O,O,X,X
LTJIOZS,X,X,O,X,O,O,X,X
LTJSIZO,X,X,X,X,X,O,X,X
LTJSIOZ,X,X,X,X,X,O,X,O
LTJSZIO,X,X,X,X,X,O,X,X
LTJSZOI,X,X,O,X,X,O,X,O
LTJSOIZ,X,X,O,O,X,O,X,O
LTJSOZI,X,X,O,O,X,O,X,O
LTJZISO,O,X,X,X,O,O,X,X
LTJZIOS,X,X,O,X,O,O,X,X
LTJZSIO,O,X,X,X,X,O,X,X
LTJZSOI,O,X,O,X,X,O,X,O
LTJZOIS,O,X,O,O,X,O,X,X
LTJZOSI,O,X,O,O,X,O,X,X
LTJOISZ,X,X,O,O,X,O,X,X
LTJOIZS,O,X,O,X,X,O,X,X
LTJOSIZ,X,X,O,O,X,O,X,O
LTJOSZI,X,X,O,O,X,O,X,O
LTJOZIS,O,X,O,O,X,O,X,X
LTJOZSI,O,X,O,O,X,O,X,X
LTSIJZO,X,O,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,X,X,O
LTSIZJO,O,O,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,O,X
LTSIOJZ,X,X,X,X,X,X,X,O
LTSIOZJ,X,X,X,X,X,X,O,X
LTSJIZO,X,X,X,X,X,O,X,X
LTSJIOZ,X,X,X,X,X,O,X,O
LTSJZIO,X,X,X,X,X,O,X,X
LTSJZOI,X,X,O,X,X,O,X,O
LTSJOIZ,X,X,O,O,X,O,X,O
LTSJOZI,X,X,O,O,X,O,X,O
LTSZIJO,O,X,X,X,X,X,X,X
LTSZIOJ,O,X,X,X,X,X,O,X
LTSZJIO,O,X,X,X,X,O,X,X
LTSZJOI,O,X,O,X,X,O,X,O
LTSZOIJ,O,X,X,X,X,X,O,X
LTSZOJI,O,X,O,X,X,X,X,O
LTSOIJZ,X,O,X,X,X,X,X,O
LTSOIZJ,O,O,X,X,X,X,O,X
LTSOJIZ,X,X,O,O,X,X,X,O
LTSOJZI,X,X,O,O,X,X,X,O
LTSOZIJ,O,O,X,X,X,X,O,X
LTSOZJI,O,O,O,O,X,X,X,O
LTZIJSO,O,X,X,X,O,O,X,X
LTZIJOS,X,X,O,X,O,O,X,X
LTZISJO,O,X,X,X,O,X,X,X
LTZISOJ,O,X,X,X,X,X,O,X
LTZIOJS,O,X,O,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X
LTZJISO,O,X,X,X,O,O,X,X
LTZJIOS,X,X,O,X,O,O,X,X
LTZJSIO,O,X,X,X,X,O,X,X
LTZJSOI,O,X,O,X,X,O,X,O
LTZJOIS,O,X,O,O,X,O,X,X
LTZJOSI,O,X,O,O,X,O,X,X
LTZSIJO,O,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,O,X
LTZSJIO,O,X,X,X,X,O,X,X
LTZSJOI,O,X,O,X,X,O,X,O
LTZSOIJ,O,X,X,X,X,X,O,X
LTZSOJI,O,X,O,X,X,X,X,O
LTZOIJS,O,X,O,X,X,X,X,X
LTZOISJ,O,X,X,X,X,X,X,X
LTZOJIS,O,X,O,O,X,O,X,X
LTZOJSI,O,X,O,O,X,O,X,X
LTZOSIJ,O,X,X,X,X,X,X,X
LTZOSJI,O,X,O,O,X,X,X,X
LTOIJSZ,X,O,O,X,X,X,X,X
LTOIJZS,O,O,O,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X
LTOIZJS,O,O,O,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,X
LTOJISZ,X,X,O,O,X,O,X,X
LTOJIZS,O,X,O,X,X,O,X,X
LTOJSIZ,X,X,O,O,X,O,X,O
LTOJSZI,X,X,O,O,X,O,X,O
LTOJZIS,O,X,O,O,X,O,X,X
LTOJZSI,O,X,O,O,X,O,X,X
LTOSIJZ,X,O,X,X,X,X,X,O
LTOSIZJ,O,O,X,X,X,X,X,X
LTOSJIZ,X,X,O,O,X,X,X,O
LTOSJZI,X,X,O,O,X,X,X,O
LTOSZIJ,O,O,X,X,X,X,X,X
LTOSZJI,O,O,O,O,X,X,X,O
LTOZIJS,O,O,O,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X
LTOZJIS,O,X,O,O,X,O,X,X
LTOZJSI,O,O,O,O,X,O,X,X
LTOZSIJ,O,O,X,X,X,X,X,X
LTOZSJI,O,O,O,O,X,X,X,X
LITJSZO,X,O,X,X,O,O,X,X
LITJSOZ,X,X,X,X,O,O,X,O
LITJZSO,O,O,X,X,O,O,X,X
LITJZOS,X,X,O,X,O,O,X,X
LITJOSZ,X,O,O,X,O,O,X,X
LITJOZS,X,O,O,X,O,O,X,X
LITSJZO,X,O,X,X,O,X,X,X
LITSJOZ,X,X,X,X,O,X,X,O
LITSZJO,O,O,X,X,O,X,X,X
LITSZOJ,O,X,X,X,X,X,O,X
LITSOJZ,X,X,X,X,X,X,X,O
LITSOZJ,X,X,X,X,X,X,O,X
LITZJSO,O,O,X,X,O,O,X,X
LITZJOS,X,X,O,X,O,O,X,X
LITZSJO,O,O,X,X,O,X,X,X
LITZSOJ,O,X,X,X,X,X,O,X
LITZOJS,O,X,O,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X
LITOJSZ,X,O,O,X,X,X,X,X
LITOJZS,O,O,O,X,X,X,X,X
LITOSJZ,X,O,X,X,X,X,X,X
LITOSZJ,O,O,X,X,X,X,X,X
LITOZJS,O,O,O,X,X,X,X,X
LITOZSJ,O,O,X,X,X,X,X,X
LIJTSZO,X,O,X,X,O,O,X,X
LIJTSOZ,X,X,X,X,O,O,X,O
LIJTZSO,O,O,X,X,O,O,X,X
LIJTZOS,X,X,O,X,O,O,X,X
LIJTOSZ,X,O,O,X,O,O,X,X
LIJTOZS,X,O,O,X,O,O,X,X
LIJSTZO,X,O,X,X,O,O,X,X
LIJSTOZ,X,X,X,X,O,O,X,O
LIJSZTO,X,O,X,X,O,O,X,X
LIJSZOT,X,X,X,X,O,O,O,X
LIJSOTZ,X,X,X,X,O,O,X,O
LIJSOZT,X,X,X,X,O,O,O,X
LIJZTSO,O,O,X,X,O,O,X,X
LIJZTOS,X,X,O,X,O,O,X,X
LIJZSTO,O,O,X,X,O,O,X,X
LIJZSOT,X,X,X,X,O,O,O,X
LIJZOTS,X,X,O,X,O,O,X,X
LIJZOST,X,X,O,X,O,O,X,X
LIJOTSZ,X,O,O,X,O,O,X,X
LIJOTZS,X,O,O,X,O,O,X,X
LIJOSTZ,X,O,O,X,O,O,X,X
LIJOSZT,X,O,O,X,O,O,X,X
LIJOZTS,X,O,O,X,O,O,X,X
LIJOZST,X,O,O,X,O,O,X,X
LISTJZO,X,O,X,X,O,X,X,X
LISTJOZ,X,X,X,X,O,X,X,O
LISTZJO,O,O,X,X,O,X,X,X
LISTZOJ,O,X,X,X,X,X,O,X
LISTOJZ,X,X,X,X,X,X,X,O
LISTOZJ,X,X,X,X,X,X,O,X
LISJTZO,X,O,X,X,O,X,X,X
LISJTOZ,X,X,X,X,O,X,X,O
LISJZTO,X,O,X,X,O,X,X,X
LISJZOT,X,X,X,X,O,X,O,X
LISJOTZ,X,X,X,X,O,X,X,O
LISJOZT,X,X,X,X,O,X,O,X
LISZTJO,O,O,X,X,O,X,X,X
LISZTOJ,O,X,X,X,X,X,O,X
LISZJTO,O,O,X,X,O,X,X,X
LISZJOT,X,X,X,X,O,X,O,X
LISZOTJ,O,X,X,X,X,X,O,X
LISZOJT,X,X,X,X,X,X,O,X
LISOTJZ,X,X,X,X,X,X,X,O
LISOTZJ,X,X,X,X,X,X,O,X
LISOJTZ,X,X,X,X,X,X,X,O
LISOJZT,X,X,X,X,X,X,O,X
LISOZTJ,X,X,X,X,X,X,O,X
LISOZJT,X,X,X,X,X,X,O,X
LIZTJSO,O,O,X,X,O,O,X,X
LIZTJOS,X,X,O,X,O,O,X,X
LIZTSJO,O,O,X,X,O,X,X,X
LIZTSOJ,O,X,X,X,X,X,O,X
LIZTOJS,O,X,O,X,X,X,X,X
LIZTOSJ,O,X,X,X,X,X,X,X
LIZJTSO,O,O,X,X,O,O,X,X
LIZJTOS,X,X,O,X,O,O,X,X
LIZJSTO,O,O,X,X,O,O,X,X
LIZJSOT,X,X,X,X,O,O,O,X
LIZJOTS,X,X,O,X,O,O,X,X
LIZJOST,X,X,O,X,O,O,X,X
LIZSTJO,O,O,X,X,O,X,X,X
LIZSTOJ,O,X,X,X,X,X,O,X
LIZSJTO,O,O,X,X,O,X,X,X
LIZSJOT,X,X,X,X,O,X,O,X
LIZSOTJ,O,X,X,X,X,X,O,X
LIZSOJT,O,X,X,X,X,X,O,X
LIZOTJS,O,X,O,X,X,X,X,X
LIZOTSJ,O,X,X,X,X,X,X,X
LIZOJTS,O,X,O,X,X,X,X,X
LIZOJST,O,X,O,X,X,X,X,X
LIZOSTJ,O,X,X,X,X,X,O,X
LIZOSJT,O,X,X,X,X,X,O,X
LIOTJSZ,X,O,O,X,X,X,X,X
LIOTJZS,O,O,O,X,X,X,X,X
LIOTSJZ,X,O,X,X,X,X,X,X
LIOTSZJ,O,O,X,X,X,X,X,X
LIOTZJS,O,O,O,X,X,X,X,X
LIOTZSJ,O,O,X,X,X,X,X,X
LIOJTSZ,X,O,O,X,X,X,X,X
LIOJTZS,O,O,O,X,X,X,X,X
LIOJSTZ,X,O,O,X,X,X,X,X
LIOJSZT,X,O,O,X,X,X,X,X
LIOJZTS,O,O,O,X,X,X,X,X
LIOJZST,O,O,O,X,X,X,X,X
LIOSTJZ,X,O,X,X,X,X,X,X
LIOSTZJ,O,O,X,X,X,X,O,X
LIOSJTZ,X,O,X,X,X,X,X,X
LIOSJZT,X,O,X,X,X,X,O,X
LIOSZTJ,O,O,X,X,X,X,O,X
LIOSZJT,O,O,X,X,X,X,O,X
LIOZTJS,O,O,O,X,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,X,X
