sequence,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhFFiB6oBXlB0?mBznBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je3AJvhF1mBxiBSsBT?oBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je1FJvhFxhBXjBzmBS?tBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhF3hBziB+oBV?sBUqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefIJvhF6oBRlBUnBl?mBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhF1mBxiBSsBT?oB8pB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhF6oBRlBznBF?lB0mBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JelBJvhFUjBRlBXnBS?tBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefFJvhF0gBSnBTjBl?mBWvBxxB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFRlBCoBFlB0?mBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFRlBCoBFlBX?nBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JexBJvhF8nB+oBfqBz?mBlqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFTjBRlBWtBC?lB0mBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je5EJvhFVnBilBXoB0?mBGoBTqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhFFjBxmBStB8?pBzmB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeuEJvhF3gBUjBxmBz?mBStBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFTjBRlBWtBC?lBXnBVvB
JSOZTIL,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JSOZTLI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JSOZILT,O,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X
JSOZLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZLIT,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JZTILSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTISLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JZTIOLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTIOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JZTLISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTSLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JZTSOLI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTOISL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
JZTOLIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JZTOSLI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZITLSO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITLOS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZITSLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZITOSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZILTSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZILTOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZILSTO,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZILSOT,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZILOST,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O
JZISTLO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISTOL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISLTO,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZISLOT,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
JZISOLT,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
JZIOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZIOTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZIOLTS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JZIOLST,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,O
JZIOSTL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
JZIOSLT,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O
JZLTISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLTIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLTSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZLITOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JZLISTO,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZLISOT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLIOST,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLSTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSIOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLSOTI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSOIT,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOTIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZLOSTI,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSIT,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSTILO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSTIOL,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JZSTLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSTOLI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSITLO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSILTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSILOT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZSIOLT,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZSLTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLIOT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSLOIT,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZSOTIL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSOTLI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSOITL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZSOILT,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
JZSOLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSOLIT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOTILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOTISL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
JZOTLIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOTSLI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOITLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOITSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZOILTS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOILST,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JZOISTL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JZOISLT,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O
JZOLTIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOLSTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSIT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOSTIL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOSTLI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOSITL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOSILT,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JZOSLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOSLIT,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOTILSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOTILZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOTISLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTISZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOTIZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTIZSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOTLISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOTLIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOTLSIZ,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOTLSZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOTSIZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JOTSLIZ,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JOTSLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTSZLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZILS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOTZISL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
JOTZLIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZLSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOTZSLI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOITLSZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JOITLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOITSLZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JOITSZL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O
JOITZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOITZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOILTSZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JOILTZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOILSTZ,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JOILSZT,X,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
JOILZTS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOILZST,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O
JOISTLZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JOISTZL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JOISLTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JOISLZT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JOISZTL,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O
JOISZLT,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
JOIZTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOIZTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOIZLTS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOIZLST,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O
JOIZSTL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
JOIZSLT,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
JOLTISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JOLTIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JOLTSIZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLTSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JOLITZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOLISTZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JOLISZT,X,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JOLIZTS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOLIZST,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O
JOLSTIZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOLSTZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
JOLSIZT,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JOLSZTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSZIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOLZTIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZTSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOLZSTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLZSIT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOSTILZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSTIZL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JOSTLIZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOSTLZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JOSTZLI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSITLZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JOSITZL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JOSILTZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
JOSILZT,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JOSIZTL,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O
JOSIZLT,O,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
JOSLTIZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JOSLTZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSLIZT,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JOSLZTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSLZIT,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSZTIL,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JOSZTLI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSZITL,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JOSZILT,O,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X
JOSZLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSZLIT,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOZTILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZTISL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
JOZTLIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZTSLI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZITLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZITSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOZILTS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOZILST,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JOZISTL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
JOZISLT,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O
JOZLTIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZLTSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOZLSTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZLSIT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOZSTIL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZSTLI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZSITL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZSILT,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JOZSLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZSLIT,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
STILJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STILJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STILZJO,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
STILZOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
STILOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STILOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STIJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STIJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STIJZLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STIJZOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STIJOLZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STIJOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
STIZLJO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
STIZLOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
STIZJLO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STIZJOL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
STIZOLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIZOJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STIOLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STIOLZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
STIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STIOZLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STIOZJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
STLIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STLIJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLIZJO,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
STLIZOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
STLIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLJIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STLJIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLJZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLJOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STLZIJO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
STLZIOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
STLZJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZOIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
STLZOJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLOIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
STLOIZJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
STLOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOZIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
STLOZJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STJILZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STJILOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STJIZLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STJIZOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STJIOLZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STJIOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
STJLIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
STJLIOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STJLZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLOIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
STJLOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STJZILO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STJZIOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
STJZLIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZLOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJZOIL,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
STJZOLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STJOILZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STJOIZL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
