sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
TJOLSZI,X,O,X,O,X,X,X,X
TJOLZIS,O,O,X,X,O,X,X,X
TJOLZSI,O,O,X,X,O,X,X,X
TJOSILZ,O,X,X,O,X,O,X,X
TJOSIZL,O,X,X,X,X,O,X,X
TJOSLIZ,O,X,X,O,X,O,X,X
TJOSLZI,O,O,X,O,X,X,X,X
TJOSZIL,O,O,X,X,X,O,X,X
TJOSZLI,O,O,X,X,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,X
TJOZISL,O,O,X,X,X,O,X,X
TJOZLIS,O,O,X,X,O,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X
TJOZSIL,O,O,X,X,X,O,X,X
TJOZSLI,O,O,X,X,X,X,X,X
TSILJZO,O,X,O,X,X,X,O,O
TSILJOZ,O,X,O,X,X,O,O,O
TSILZJO,O,X,O,X,X,X,X,O
TSILZOJ,O,X,O,X,X,X,X,O
TSILOJZ,O,X,O,X,X,X,X,O
TSILOZJ,O,X,O,X,X,X,X,O
TSIJLZO,O,X,X,X,X,X,O,X
TSIJLOZ,O,X,X,X,X,O,O,X
TSIJZLO,O,X,X,X,X,X,X,X
TSIJZOL,O,X,X,X,X,O,X,X
TSIJOLZ,O,X,X,X,X,O,X,X
TSIJOZL,O,X,X,X,X,O,X,X
TSIZLJO,O,X,O,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X
TSIZJOL,O,X,X,X,X,O,X,X
TSIZOLJ,O,X,O,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,X,X,X,X
TSIOLZJ,O,X,O,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,O,X,X
TSIOJZL,O,X,X,X,X,O,X,X
TSIOZLJ,O,X,O,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X
TSLIJZO,O,X,O,X,X,X,O,O
TSLIJOZ,O,X,O,X,X,O,O,O
TSLIZJO,O,X,O,X,X,X,X,O
TSLIZOJ,O,X,O,X,X,X,X,O
TSLIOJZ,O,X,O,X,X,X,X,O
TSLIOZJ,O,X,O,X,X,X,X,O
TSLJIZO,O,X,O,X,X,X,O,X
TSLJIOZ,O,X,O,X,X,O,O,X
TSLJZIO,O,O,O,X,X,X,X,X
TSLJZOI,O,X,O,X,X,X,X,X
TSLJOIZ,O,X,O,O,X,O,X,X
TSLJOZI,O,X,O,O,X,X,X,X
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,O,X,O,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X
TSLZJOI,O,X,O,X,X,X,X,X
TSLZOIJ,O,X,O,X,X,X,X,X
TSLZOJI,O,X,O,X,X,X,X,X
TSLOIJZ,O,X,O,O,X,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,X
TSLOJIZ,O,X,O,O,X,X,X,X
TSLOJZI,O,X,O,O,X,X,X,X
TSLOZIJ,O,X,O,X,X,X,X,X
TSLOZJI,O,X,O,X,X,X,X,X
TSJILZO,O,X,X,X,X,X,O,X
TSJILOZ,O,X,X,X,X,O,O,X
TSJIZLO,O,X,X,X,X,X,X,X
TSJIZOL,O,X,X,X,X,O,X,X
TSJIOLZ,O,X,X,X,X,O,X,X
TSJIOZL,O,X,X,X,X,O,X,X
TSJLIZO,O,X,X,X,X,X,O,X
TSJLIOZ,O,X,X,X,X,O,O,X
TSJLZIO,O,O,X,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,O,X,O,X,X
TSJLOZI,O,X,X,O,X,X,X,X
TSJZILO,O,O,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,O,X,X
TSJZLIO,O,O,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X,X
TSJZOIL,O,O,X,X,X,O,X,X
TSJZOLI,O,O,X,X,X,X,X,X
TSJOILZ,O,X,X,O,X,O,X,X
TSJOIZL,O,X,X,X,X,O,X,X
TSJOLIZ,O,X,X,O,X,O,X,X
TSJOLZI,O,O,X,O,X,X,X,X
TSJOZIL,O,O,X,X,X,O,X,X
TSJOZLI,O,O,X,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,X,O,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X
TSZIJOL,O,O,X,X,X,O,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X
TSZLJOI,O,X,O,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,X
TSZLOJI,O,X,O,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,O,X,X
TSZJLIO,O,O,X,X,X,X,X,X
TSZJLOI,O,X,X,X,X,X,X,X
TSZJOIL,O,O,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X,X
TSOILJZ,O,X,O,O,X,X,X,X
TSOILZJ,O,X,O,X,X,X,X,X
TSOIJLZ,O,X,X,O,X,O,X,X
TSOIJZL,O,X,X,X,X,O,X,X
TSOIZLJ,O,X,O,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,X,X
TSOLIJZ,O,X,O,O,X,X,X,X
TSOLIZJ,O,X,O,X,X,X,X,X
TSOLJIZ,O,X,O,O,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X
TSOJILZ,O,X,X,O,X,O,X,X
TSOJIZL,O,X,X,X,X,O,X,X
TSOJLIZ,O,X,X,O,X,O,X,X
TSOJLZI,O,O,X,O,X,X,X,X
TSOJZIL,O,O,X,X,X,O,X,X
TSOJZLI,O,O,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,O,X,X,X,X,X,X
TZILJSO,X,O,X,X,X,X,X,O
TZILJOS,O,X,O,X,X,X,X,O
TZILSJO,X,O,X,X,X,X,X,O
TZILSOJ,X,X,O,X,X,X,X,O
TZILOJS,O,X,O,X,X,X,X,O
TZILOSJ,X,X,O,X,X,X,X,O
TZIJLSO,X,O,X,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,X,X
TZIJSLO,X,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,O,X,X
TZIJOLS,O,O,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,O,X,X
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,O,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X
TZIOLJS,O,O,O,X,X,X,X,X
TZIOLSJ,X,O,O,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,X
TZLIJSO,X,O,X,X,O,X,X,O
