sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TJZOLSI,O,O,X,X,O,O,O,X
TJZOSIL,O,O,O,O,O,O,O,O
TJZOSLI,O,O,O,O,O,O,O,O
TJOILSZ,X,X,X,X,O,X,X,X
TJOILZS,O,X,X,X,O,X,X,X
TJOISLZ,X,X,X,X,O,X,X,X
TJOISZL,O,O,X,X,O,X,X,X
TJOIZLS,O,O,X,X,O,O,X,X
TJOIZSL,O,O,O,X,O,O,X,O
TJOLISZ,X,X,X,X,O,X,X,X
TJOLIZS,O,X,X,X,O,X,X,X
TJOLSIZ,X,X,X,X,O,X,X,X
TJOLSZI,X,X,X,X,O,X,X,X
TJOLZIS,O,X,X,X,O,X,X,X
TJOLZSI,O,X,X,X,O,X,O,X
TJOSILZ,X,X,X,X,O,X,X,X
TJOSIZL,O,O,X,X,O,X,X,X
TJOSLIZ,X,X,X,X,O,X,X,X
TJOSLZI,X,X,X,X,O,X,X,X
TJOSZIL,O,O,X,X,O,X,X,X
TJOSZLI,O,O,X,X,O,X,X,X
TJOZILS,O,O,X,X,O,O,X,X
TJOZISL,O,O,O,X,O,O,X,O
TJOZLIS,O,O,X,X,O,O,X,X
TJOZLSI,O,O,X,X,O,O,O,X
TJOZSIL,O,O,O,X,O,O,O,O
TJOZSLI,O,O,O,X,O,O,O,O
TSILJZO,X,X,X,O,O,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X
TSILZJO,X,X,X,O,O,X,X,X
TSILZOJ,X,X,X,O,O,X,X,X
TSILOJZ,X,X,X,O,X,X,X,X
TSILOZJ,X,X,X,O,X,X,X,X
TSIJLZO,X,X,X,O,O,X,X,X
TSIJLOZ,X,X,X,O,X,X,X,X
TSIJZLO,O,X,O,O,O,X,X,O
TSIJZOL,O,X,O,O,O,O,X,O
TSIJOLZ,X,X,X,O,O,X,X,X
TSIJOZL,O,O,O,O,O,X,X,X
TSIZLJO,O,X,O,O,O,X,X,O
TSIZLOJ,X,X,O,O,O,X,X,O
TSIZJLO,O,X,O,O,O,X,X,O
TSIZJOL,O,X,O,O,O,O,X,O
TSIZOLJ,X,X,O,O,O,X,X,O
TSIZOJL,O,X,O,O,O,O,X,O
TSIOLJZ,X,X,X,O,O,X,X,X
TSIOLZJ,X,X,X,O,O,X,X,X
TSIOJLZ,X,X,X,O,O,X,X,X
TSIOJZL,O,O,O,O,O,X,X,X
TSIOZLJ,O,O,O,O,O,X,X,X
TSIOZJL,O,O,O,O,O,X,X,X
TSLIJZO,X,X,X,O,O,X,X,X
TSLIJOZ,X,X,X,O,X,X,X,X
TSLIZJO,X,X,X,O,O,X,X,X
TSLIZOJ,X,X,X,O,O,X,X,X
