sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
TZISJOL,O,X,O,X,X,X,X
TZISOLJ,O,X,O,X,X,X,X
TZISOJL,O,X,O,X,X,X,X
TZIOLJS,X,O,O,X,X,X,X
TZIOLSJ,X,O,O,X,X,X,X
TZIOJLS,X,O,O,O,X,X,X
TZIOJSL,O,X,O,O,X,X,X
TZIOSLJ,O,X,O,X,X,X,X
TZIOSJL,O,X,O,X,X,X,X
TZLIJSO,X,O,O,X,X,X,X
TZLIJOS,X,O,O,X,X,X,X
TZLISJO,X,O,O,X,X,X,X
TZLISOJ,X,O,O,X,X,X,X
TZLIOJS,X,O,O,X,X,X,X
TZLIOSJ,X,O,O,X,X,X,X
TZLJISO,X,O,O,X,X,X,X
TZLJIOS,X,O,O,X,X,X,X
TZLJSIO,X,O,O,X,X,X,X
TZLJSOI,X,O,O,X,X,X,X
TZLJOIS,X,O,O,X,X,X,X
TZLJOSI,X,O,O,X,X,X,X
TZLSIJO,X,O,O,X,X,X,X
TZLSIOJ,X,O,O,X,X,X,X
TZLSJIO,X,O,O,X,X,X,X
TZLSJOI,X,O,O,X,X,X,X
TZLSOIJ,X,O,O,X,X,X,X
TZLSOJI,X,O,O,X,X,X,X
TZLOIJS,X,O,O,X,X,X,X
TZLOISJ,X,O,O,X,X,X,X
TZLOJIS,X,O,O,X,X,X,X
TZLOJSI,X,O,O,X,X,X,X
TZLOSIJ,X,O,O,X,X,X,X
TZLOSJI,X,O,O,X,X,X,X
TZJILSO,X,O,O,O,X,X,X
TZJILOS,X,O,O,O,X,X,X
TZJISLO,O,X,X,O,X,X,X
TZJISOL,O,X,O,O,X,X,X
TZJIOLS,X,O,O,O,X,X,X
TZJIOSL,O,X,O,O,X,X,X
TZJLISO,X,O,O,O,X,X,X
TZJLIOS,X,O,O,O,X,X,X
TZJLSIO,X,O,O,O,X,X,X
TZJLSOI,X,O,O,O,X,X,X
TZJLOIS,X,O,O,O,X,X,X
TZJLOSI,X,O,O,O,X,X,X
TZJSILO,O,X,X,O,X,X,X
TZJSIOL,O,X,O,O,X,X,X
TZJSLIO,O,X,X,O,X,X,X
TZJSLOI,O,X,X,O,X,X,X
TZJSOIL,O,X,O,O,X,X,X
TZJSOLI,O,X,O,O,X,X,X
TZJOILS,X,O,O,O,X,X,X
TZJOISL,O,X,O,O,X,X,X
TZJOLIS,X,O,O,O,X,X,X
TZJOLSI,X,O,O,O,X,X,X
TZJOSIL,O,X,O,O,X,X,X
TZJOSLI,O,X,O,O,X,X,X
TZSILJO,O,X,O,X,X,X,X
TZSILOJ,O,X,O,X,X,X,X
TZSIJLO,O,X,X,X,X,X,X
TZSIJOL,O,X,O,X,X,X,X
TZSIOLJ,O,X,O,X,X,X,X
TZSIOJL,O,X,O,X,X,X,X
TZSLIJO,O,X,O,X,X,X,X
TZSLIOJ,O,X,O,X,X,X,X
TZSLJIO,O,X,O,X,X,X,X
TZSLJOI,O,X,O,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,X
TZSLOJI,O,X,O,X,X,X,X
TZSJILO,O,X,X,X,X,X,X
TZSJIOL,O,X,O,X,X,X,X
