sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TZILOJS,O,O,O,X,X,X
TZILOSJ,O,O,O,X,X,X
TZIJLSO,O,O,O,X,O,X
TZIJLOS,O,O,O,X,O,X
TZIJSLO,O,X,O,O,O,X
TZIJSOL,O,X,O,O,O,O
TZIJOLS,O,O,O,X,O,X
TZIJOSL,O,X,O,O,O,X
TZISLJO,O,X,O,O,O,X
TZISLOJ,O,X,O,O,O,X
TZISJLO,O,X,O,O,O,X
TZISJOL,O,X,O,O,O,O
TZISOLJ,O,X,O,O,O,X
TZISOJL,O,X,O,O,O,O
TZIOLJS,O,O,O,X,X,X
TZIOLSJ,O,O,O,X,X,X
TZIOJLS,O,O,O,X,X,X
TZIOJSL,O,X,O,O,X,X
TZIOSLJ,O,X,O,O,X,X
TZIOSJL,O,X,O,O,X,X
TZLIJSO,O,O,O,X,O,X
TZLIJOS,O,O,O,X,O,X
TZLISJO,O,O,O,X,O,X
TZLISOJ,O,O,O,X,O,X
TZLIOJS,O,O,O,X,X,X
TZLIOSJ,O,O,O,X,X,X
TZLJISO,O,O,O,X,O,X
TZLJIOS,O,O,O,X,O,X
TZLJSIO,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,X
TZLJOIS,O,O,O,X,O,X
TZLJOSI,O,O,O,O,O,X
TZLSIJO,O,O,O,O,O,X
TZLSIOJ,O,O,O,O,O,X
TZLSJIO,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,X
TZLSOIJ,O,O,O,O,O,X
TZLSOJI,O,O,O,O,O,X
TZLOIJS,O,O,O,X,X,X
TZLOISJ,O,O,O,X,X,X
TZLOJIS,O,O,O,X,X,X
TZLOJSI,O,O,O,O,X,X
TZLOSIJ,O,O,O,O,X,X
TZLOSJI,O,O,O,O,X,X
TZJILSO,O,O,O,X,O,X
TZJILOS,O,O,O,X,O,X
TZJISLO,O,X,O,O,O,X
TZJISOL,O,X,O,O,O,O
TZJIOLS,O,O,O,X,O,X
TZJIOSL,O,X,O,O,O,X
TZJLISO,O,O,O,X,O,X
TZJLIOS,O,O,O,X,O,X
TZJLSIO,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,X
TZJLOIS,O,O,O,X,O,X
TZJLOSI,O,O,O,O,O,X
TZJSILO,O,X,O,O,O,X
TZJSIOL,O,X,O,O,O,O
TZJSLIO,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,X
