sequence,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFigBZnB?GjBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFZnBziB?+oB/pBlqBiqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFxiB/pB?OsBToBiqBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFfoB6oB?TkB2qB0pBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFSoBTkB?2qBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFZnBypB?FoB8qBGoBXqB
LZSOIJT,O,X,O,X,X,X
LZSOJTI,O,X,O,X,X,X
LZSOJIT,O,X,O,X,X,X
LZOTIJS,O,X,X,X,X,O
LZOTISJ,O,X,X,X,X,O
LZOTJIS,O,X,X,X,X,X
LZOTJSI,O,X,X,X,X,X
LZOTSIJ,O,X,X,X,X,X
LZOTSJI,O,X,X,X,X,X
LZOITJS,O,X,X,X,X,O
LZOITSJ,O,X,X,X,X,O
LZOIJTS,O,X,X,X,O,X
LZOIJST,O,X,X,X,O,X
LZOISTJ,O,X,X,X,X,X
LZOISJT,O,X,X,X,X,X
LZOJTIS,O,X,X,X,X,X
LZOJTSI,O,X,X,X,X,X
LZOJITS,O,X,X,X,O,X
LZOJIST,O,X,O,X,O,X
LZOJSTI,O,X,O,X,X,X
LZOJSIT,O,X,O,X,X,X
LZOSTIJ,O,X,X,X,X,X
LZOSTJI,O,X,O,X,X,X
LZOSITJ,O,X,X,X,X,X
LZOSIJT,O,X,O,X,X,X
LZOSJTI,O,X,O,X,X,X
LZOSJIT,O,X,O,X,X,X
LOTIJSZ,X,X,X,X,X,O
LOTIJZS,O,X,X,X,O,O
LOTISJZ,X,X,X,X,X,O
LOTISZJ,O,X,X,X,X,O
LOTIZJS,O,X,X,X,X,O
LOTIZSJ,O,X,X,X,X,O
LOTJISZ,X,X,O,X,X,O
LOTJIZS,O,X,X,X,O,O
LOTJSIZ,X,X,O,X,X,X
LOTJSZI,X,X,O,X,X,X
LOTJZIS,O,X,X,X,X,X
LOTJZSI,O,X,X,X,X,X
LOTSIJZ,X,X,X,X,X,O
LOTSIZJ,O,X,X,X,X,O
LOTSJIZ,X,X,O,X,X,X
LOTSJZI,X,X,O,X,X,X
LOTSZIJ,O,X,X,X,X,X
LOTSZJI,O,X,O,X,X,X
LOTZIJS,O,X,X,X,X,O
LOTZISJ,O,X,X,X,X,O
LOTZJIS,O,X,X,X,X,X
LOTZJSI,O,X,X,X,X,X
LOTZSIJ,O,X,X,X,X,X
LOTZSJI,O,X,X,X,X,X
LOITJSZ,X,X,X,X,X,O
LOITJZS,O,X,X,X,O,O
LOITSJZ,X,X,X,X,X,O
LOITSZJ,O,X,X,X,X,O
LOITZJS,O,X,X,X,X,O
LOITZSJ,O,X,X,X,X,O
LOIJTSZ,X,X,O,X,X,O
LOIJTZS,X,X,X,X,O,O
LOIJSTZ,X,X,O,O,X,X
LOIJSZT,X,X,O,O,O,X
LOIJZTS,X,X,X,X,O,X
LOIJZST,X,X,O,X,O,X
LOISTJZ,O,X,X,O,X,O
LOISTZJ,O,X,X,X,X,O
LOISJTZ,X,X,O,O,X,X
LOISJZT,X,X,O,O,O,X
LOISZTJ,O,X,X,X,X,X
LOISZJT,O,X,O,O,X,X
LOIZTJS,O,X,X,X,X,O
LOIZTSJ,O,X,X,X,X,O
LOIZJTS,O,X,X,X,O,X
LOIZJST,O,X,X,X,O,X
LOIZSTJ,O,X,X,X,X,X
LOIZSJT,O,X,X,X,X,X
LOJTISZ,X,X,O,X,X,O
LOJTIZS,X,X,X,X,O,O
LOJTSIZ,X,X,O,X,X,X
LOJTSZI,X,X,O,X,X,X
LOJTZIS,X,X,X,X,X,X
LOJTZSI,X,X,X,X,X,X
LOJITSZ,X,X,O,X,X,O
LOJITZS,X,X,X,X,O,O
LOJISTZ,X,X,O,O,X,X
LOJISZT,X,X,O,O,O,X
LOJIZTS,X,X,X,X,O,X
LOJIZST,X,X,O,X,O,X
LOJSTIZ,X,X,O,O,X,X
LOJSTZI,X,X,O,X,X,X
LOJSITZ,X,X,O,O,X,X
LOJSIZT,X,X,O,O,O,X
LOJSZTI,X,X,O,X,X,X
LOJSZIT,X,X,O,O,X,X
LOJZTIS,X,X,X,X,X,X
LOJZTSI,X,X,X,X,X,X
LOJZITS,X,X,X,X,O,X
LOJZIST,X,X,O,X,O,X
LOJZSTI,X,X,O,X,X,X
LOJZSIT,X,X,O,X,X,X
LOSTIJZ,O,X,X,O,X,O
LOSTIZJ,O,X,X,X,X,O
LOSTJIZ,O,X,O,O,X,X
LOSTJZI,O,X,O,X,X,X
LOSTZIJ,O,X,X,X,X,X
LOSTZJI,O,X,O,X,X,X
LOSITJZ,O,X,X,O,X,O
LOSITZJ,O,X,X,X,X,O
LOSIJTZ,X,X,O,O,X,X
LOSIJZT,X,X,O,O,O,X
LOSIZTJ,O,X,X,X,X,X
LOSIZJT,O,X,O,O,X,X
LOSJTIZ,X,X,O,O,X,X
LOSJTZI,X,X,O,X,X,X
LOSJITZ,X,X,O,O,X,X
LOSJIZT,X,X,O,O,O,X
LOSJZTI,X,X,O,X,X,X
LOSJZIT,X,X,O,O,X,X
LOSZTIJ,O,X,X,X,X,X
LOSZTJI,O,X,O,X,X,X
LOSZITJ,O,X,X,X,X,X
LOSZIJT,O,X,O,O,X,X
LOSZJTI,O,X,O,X,X,X
LOSZJIT,O,X,O,O,X,X
LOZTIJS,O,X,X,X,X,O
LOZTISJ,O,X,X,X,X,O
LOZTJIS,O,X,X,X,X,X
LOZTJSI,O,X,X,X,X,X
LOZTSIJ,O,X,X,X,X,X
LOZTSJI,O,X,X,X,X,X
LOZITJS,O,X,X,X,X,O
LOZITSJ,O,X,X,X,X,O
LOZIJTS,O,X,X,X,O,X
LOZIJST,O,X,X,X,O,X
LOZISTJ,O,X,X,X,X,X
LOZISJT,O,X,X,X,X,X
LOZJTIS,O,X,X,X,X,X
LOZJTSI,O,X,X,X,X,X
LOZJITS,O,X,X,X,O,X
LOZJIST,O,X,O,X,O,X
LOZJSTI,O,X,O,X,X,X
LOZJSIT,O,X,O,X,X,X
LOZSTIJ,O,X,X,X,X,X
LOZSTJI,O,X,O,X,X,X
LOZSITJ,O,X,X,X,X,X
LOZSIJT,O,X,O,X,X,X
LOZSJTI,O,X,O,X,X,X
LOZSJIT,O,X,O,X,X,X
JTILSZO,X,O,X,X,X,X
JTILSOZ,X,O,X,X,X,X
JTILZSO,O,X,X,X,X,X
JTILZOS,O,X,X,X,X,X
JTILOSZ,X,O,X,X,X,O
JTILOZS,O,X,X,X,O,O
JTISLZO,X,O,X,X,X,X
JTISLOZ,X,O,X,O,X,X
JTISZLO,X,O,X,X,X,X
JTISZOL,X,O,X,X,X,X
JTISOLZ,X,O,X,O,X,X
JTISOZL,X,O,X,X,X,X
JTIZLSO,O,X,X,X,X,X
JTIZLOS,O,X,X,X,X,X
JTIZSLO,O,O,X,X,X,X
JTIZSOL,O,O,X,X,X,X
JTIZOLS,O,X,X,X,X,X
JTIZOSL,O,O,X,X,X,X
JTIOLSZ,X,O,X,X,X,X
JTIOLZS,O,X,X,X,O,X
JTIOSLZ,X,O,X,O,X,X
JTIOSZL,X,O,X,X,X,X
JTIOZLS,O,X,X,X,X,X
JTIOZSL,O,O,X,X,X,X
JTLISZO,X,O,X,X,X,X
JTLISOZ,X,O,X,X,X,X
JTLIZSO,O,X,X,X,X,X
JTLIZOS,O,X,X,X,X,X
JTLIOSZ,X,O,X,X,X,O
JTLIOZS,O,X,X,X,O,O
JTLSIZO,X,O,X,X,X,X
JTLSIOZ,X,O,X,X,X,X
JTLSZIO,X,O,X,X,X,X
JTLSZOI,X,O,O,X,X,X
JTLSOIZ,X,O,O,X,X,X
JTLSOZI,X,O,O,X,X,X
JTLZISO,O,X,X,X,X,X
JTLZIOS,O,X,X,X,X,X
JTLZSIO,O,X,X,X,X,X
JTLZSOI,O,X,X,X,X,X
JTLZOIS,O,X,X,X,X,X
JTLZOSI,O,X,X,X,X,X
JTLOISZ,X,O,O,X,X,O
JTLOIZS,O,X,X,X,O,O
JTLOSIZ,X,O,O,X,X,X
JTLOSZI,X,O,O,X,X,X
JTLOZIS,O,X,X,X,X,X
JTLOZSI,O,X,X,X,X,X
JTSILZO,X,O,X,X,X,X
JTSILOZ,X,O,X,O,X,X
JTSIZLO,X,O,X,X,X,X
JTSIZOL,X,O,X,X,X,X
JTSIOLZ,X,O,X,O,X,X
JTSIOZL,X,O,X,X,X,X
JTSLIZO,X,O,X,X,X,X
JTSLIOZ,X,O,X,O,X,X
JTSLZIO,X,O,X,X,X,X
JTSLZOI,X,O,O,X,X,X
JTSLOIZ,X,O,O,O,X,X
JTSLOZI,X,O,O,X,X,X
JTSZILO,X,O,X,X,X,X
JTSZIOL,X,O,X,X,X,X
JTSZLIO,X,O,X,X,X,X
JTSZLOI,X,O,X,X,X,X
JTSZOIL,X,O,O,X,X,X
JTSZOLI,X,O,O,X,X,X
JTSOILZ,X,O,O,O,X,X
JTSOIZL,X,O,O,X,X,X
JTSOLIZ,X,O,O,O,X,X
JTSOLZI,X,O,O,X,X,X
JTSOZIL,X,O,O,X,X,X
JTSOZLI,X,O,O,X,X,X
JTZILSO,O,X,X,X,X,X
JTZILOS,O,X,X,X,X,X
JTZISLO,O,O,X,X,X,X
JTZISOL,O,O,X,X,X,X
JTZIOLS,O,X,X,X,X,X
JTZIOSL,O,O,X,X,X,X
JTZLISO,O,X,X,X,X,X
JTZLIOS,O,X,X,X,X,X
JTZLSIO,O,X,X,X,X,X
JTZLSOI,O,X,X,X,X,X
JTZLOIS,O,X,X,X,X,X
JTZLOSI,O,X,X,X,X,X
JTZSILO,O,O,X,X,X,X
JTZSIOL,O,O,X,X,X,X
JTZSLIO,O,O,X,X,X,X
JTZSLOI,O,O,X,X,X,X
JTZSOIL,O,O,X,X,X,X
JTZSOLI,O,O,X,X,X,X
JTZOILS,O,X,X,X,X,X
JTZOISL,O,O,X,X,X,X
JTZOLIS,O,X,X,X,X,X
JTZOLSI,O,X,X,X,X,X
JTZOSIL,O,O,X,X,X,X
JTZOSLI,O,O,X,X,X,X
JTOILSZ,X,O,O,X,X,X
JTOILZS,O,X,X,X,O,X
JTOISLZ,X,O,O,O,X,X
JTOISZL,X,O,O,X,X,X
JTOIZLS,O,X,X,X,X,X
JTOIZSL,O,O,X,X,X,X
JTOLISZ,X,O,O,X,X,X
JTOLIZS,O,X,X,X,O,X
JTOLSIZ,X,O,O,X,X,X
JTOLSZI,X,O,O,X,X,X
JTOLZIS,O,X,X,X,X,X
JTOLZSI,O,X,X,X,X,X
JTOSILZ,X,O,O,O,X,X
JTOSIZL,X,O,O,X,X,X
JTOSLIZ,X,O,O,O,X,X
JTOSLZI,X,O,O,X,X,X
JTOSZIL,X,O,O,X,X,X
JTOSZLI,X,O,O,X,X,X
JTOZILS,O,X,X,X,X,X
JTOZISL,O,O,X,X,X,X
JTOZLIS,O,X,X,X,X,X
JTOZLSI,O,X,X,X,X,X
JTOZSIL,O,O,X,X,X,X
JTOZSLI,O,O,X,X,X,X
JITLSZO,X,O,X,X,X,X
JITLSOZ,X,O,X,X,X,X
JITLZSO,O,X,X,X,X,X
JITLZOS,O,X,X,X,X,X
JITLOSZ,X,O,X,X,X,O
JITLOZS,O,X,X,X,O,O
JITSLZO,X,O,X,X,X,X
JITSLOZ,X,O,X,O,X,X
JITSZLO,X,O,X,X,X,X
JITSZOL,X,O,X,X,X,X
JITSOLZ,X,O,X,O,X,X
JITSOZL,X,O,X,X,X,X
JITZLSO,O,X,X,X,X,X
JITZLOS,O,X,X,X,X,X
JITZSLO,O,O,X,X,X,X
JITZSOL,O,O,X,X,X,X
JITZOLS,O,X,X,X,X,X
JITZOSL,O,O,X,X,X,X
JITOLSZ,X,O,X,X,X,X
JITOLZS,O,X,X,X,O,X
JITOSLZ,X,O,X,O,X,X
JITOSZL,X,O,X,X,X,X
JITOZLS,O,X,X,X,X,X
JITOZSL,O,O,X,X,X,X
JILTSZO,X,O,X,X,X,X
JILTSOZ,X,O,X,X,X,X
JILTZSO,O,X,X,X,X,X
JILTZOS,O,X,X,X,X,X
JILTOSZ,X,O,X,X,X,O
JILTOZS,O,X,X,X,O,O
JILSTZO,O,X,X,X,X,X
JILSTOZ,O,X,X,O,X,X
JILSZTO,O,X,X,X,X,X
JILSZOT,O,O,O,O,X,X
JILSOTZ,X,X,O,O,X,X
JILSOZT,X,O,O,O,O,X
JILZTSO,O,X,X,X,X,X
JILZTOS,O,X,X,X,X,X
JILZSTO,O,X,X,X,X,X
JILZSOT,O,X,X,X,X,X
JILZOTS,O,X,X,X,O,X
JILZOST,O,X,X,X,O,X
JILOTSZ,X,O,O,X,X,O
JILOTZS,X,X,X,X,O,O
JILOSTZ,X,X,O,O,X,X
JILOSZT,X,O,O,O,O,X
JILOZTS,X,X,X,X,O,X
JILOZST,X,X,O,X,O,X
JISTLZO,O,O,X,X,X,X
JISTLOZ,O,O,X,O,X,X
JISTZLO,O,O,X,X,X,X
JISTZOL,O,O,X,X,X,X
JISTOLZ,O,O,X,O,X,X
JISTOZL,O,O,X,X,X,X
JISLTZO,O,X,X,X,X,X
JISLTOZ,O,X,X,O,X,X
JISLZTO,O,X,X,X,X,X
JISLZOT,O,O,O,O,X,X
JISLOTZ,X,X,O,O,X,X
JISLOZT,X,O,O,O,O,X
JISZTLO,O,X,X,X,X,X
JISZTOL,O,O,X,X,X,X
JISZLTO,O,X,X,X,X,X
JISZLOT,O,O,X,O,X,X
JISZOTL,O,O,O,X,X,X
JISZOLT,O,O,O,O,X,X
JISOTLZ,X,O,O,O,X,X
JISOTZL,X,O,O,X,X,X
JISOLTZ,X,X,O,O,X,X
JISOLZT,X,O,O,O,O,X
JISOZTL,X,O,O,X,X,X
JISOZLT,X,O,O,O,X,X
JIZTLSO,O,X,X,X,X,X
JIZTLOS,O,X,X,X,X,X
JIZTSLO,O,O,X,X,X,X
JIZTSOL,O,O,X,X,X,X
JIZTOLS,O,X,X,X,X,X
JIZTOSL,O,O,X,X,X,X
JIZLTSO,O,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X
JIZLSTO,O,X,X,X,X,X
JIZLSOT,O,X,X,X,X,X
JIZLOTS,O,X,X,X,O,X
JIZLOST,O,X,X,X,O,X
JIZSTLO,O,X,X,X,X,X
JIZSTOL,O,O,X,X,X,X
JIZSLTO,O,X,X,X,X,X
JIZSLOT,O,O,X,O,X,X
JIZSOTL,O,O,X,X,X,X
JIZSOLT,O,O,X,O,X,X
JIZOTLS,O,X,X,X,X,X
JIZOTSL,O,O,X,X,X,X
JIZOLTS,O,X,X,X,O,X
JIZOLST,O,X,X,X,O,X
JIZOSTL,O,O,X,X,X,X
JIZOSLT,O,O,X,O,X,X
JIOTLSZ,X,O,O,X,X,X
JIOTLZS,X,X,X,X,O,X
JIOTSLZ,X,O,O,O,X,X
JIOTSZL,X,O,O,X,X,X
JIOTZLS,X,X,X,X,X,X
JIOTZSL,X,O,X,X,X,X
JIOLTSZ,X,O,O,X,X,X
JIOLTZS,X,X,X,X,O,X
JIOLSTZ,X,X,O,O,X,X
JIOLSZT,X,O,O,O,O,X
JIOLZTS,X,X,X,X,O,X
JIOLZST,X,X,O,X,O,X
JIOSTLZ,X,O,O,O,X,X
JIOSTZL,X,O,O,X,X,X
JIOSLTZ,X,X,O,O,X,X
JIOSLZT,X,O,O,O,O,X
JIOSZTL,X,O,O,X,X,X
JIOSZLT,X,O,O,O,X,X
JIOZTLS,X,X,X,X,X,X
JIOZTSL,X,O,X,X,X,X
JIOZLTS,X,X,X,X,O,X
JIOZLST,X,X,O,X,O,X
JIOZSTL,X,O,O,X,X,X
JIOZSLT,X,O,O,O,X,X
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,O,X,X,X,X
JLTIZSO,O,X,X,X,X,X
JLTIZOS,O,X,X,X,X,X
JLTIOSZ,X,O,X,X,X,O
JLTIOZS,O,X,X,X,O,O
JLTSIZO,X,O,X,X,X,X
JLTSIOZ,X,O,X,X,X,X
JLTSZIO,X,O,X,X,X,X
JLTSZOI,X,O,O,X,X,X
JLTSOIZ,X,O,O,X,X,X
JLTSOZI,X,O,O,X,X,X
JLTZISO,O,X,X,X,X,X
JLTZIOS,O,X,X,X,X,X
JLTZSIO,O,X,X,X,X,X
JLTZSOI,O,X,X,X,X,X
JLTZOIS,O,X,X,X,X,X
JLTZOSI,O,X,X,X,X,X
JLTOISZ,X,O,O,X,X,O
JLTOIZS,O,X,X,X,O,O
JLTOSIZ,X,O,O,X,X,X
JLTOSZI,X,O,O,X,X,X
JLTOZIS,O,X,X,X,X,X
JLTOZSI,O,X,X,X,X,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,O,X,X,X,X
JLITZSO,O,X,X,X,X,X
JLITZOS,O,X,X,X,X,X
JLITOSZ,X,O,X,X,X,O
JLITOZS,O,X,X,X,O,O
JLISTZO,O,X,X,X,X,X
JLISTOZ,O,X,X,O,X,X
JLISZTO,O,X,X,X,X,X
JLISZOT,O,O,O,O,X,X
JLISOTZ,X,X,O,O,X,X
JLISOZT,X,O,O,O,O,X
JLIZTSO,O,X,X,X,X,X
JLIZTOS,O,X,X,X,X,X
JLIZSTO,O,X,X,X,X,X
JLIZSOT,O,X,X,X,X,X
JLIZOTS,O,X,X,X,O,X
JLIZOST,O,X,X,X,O,X
JLIOTSZ,X,O,O,X,X,O
JLIOTZS,X,X,X,X,O,O
JLIOSTZ,X,X,O,O,X,X
JLIOSZT,X,O,O,O,O,X
JLIOZTS,X,X,X,X,O,X
JLIOZST,X,X,O,X,O,X
JLSTIZO,O,X,X,X,X,X
JLSTIOZ,O,X,X,O,X,X
JLSTZIO,O,X,X,X,X,X
JLSTZOI,O,X,O,X,X,X
JLSTOIZ,O,X,O,O,X,X
JLSTOZI,O,X,O,X,X,X
JLSITZO,O,X,X,X,X,X
JLSITOZ,O,X,X,O,X,X
JLSIZTO,O,X,X,X,X,X
JLSIZOT,O,O,O,O,X,X
JLSIOTZ,X,X,O,O,X,X
JLSIOZT,X,O,O,O,O,X
JLSZTIO,O,X,X,X,X,X
JLSZTOI,O,X,O,X,X,X
JLSZITO,O,X,X,X,X,X
JLSZIOT,O,O,O,O,X,X
JLSZOTI,O,X,O,X,X,X
JLSZOIT,O,O,O,O,X,X
JLSOTIZ,X,X,O,O,X,X
JLSOTZI,X,X,O,X,X,X
JLSOITZ,X,X,O,O,X,X
JLSOIZT,X,O,O,O,O,X
JLSOZTI,X,X,O,X,X,X
JLSOZIT,X,O,O,O,X,X
JLZTISO,O,X,X,X,X,X
JLZTIOS,O,X,X,X,X,X
JLZTSIO,O,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X
JLZTOIS,O,X,X,X,X,X
JLZTOSI,O,X,X,X,X,X
JLZITSO,O,X,X,X,X,X
JLZITOS,O,X,X,X,X,X
JLZISTO,O,X,X,X,X,X
JLZISOT,O,X,X,X,X,X
JLZIOTS,O,X,X,X,O,X
JLZIOST,O,X,X,X,O,X
JLZSTIO,O,X,X,X,X,X
JLZSTOI,O,X,O,X,X,X
JLZSITO,O,X,X,X,X,X
JLZSIOT,O,X,O,X,X,X
JLZSOTI,O,X,O,X,X,X
JLZSOIT,O,X,O,X,X,X
JLZOTIS,O,X,X,X,X,X
JLZOTSI,O,X,X,X,X,X
JLZOITS,O,X,X,X,O,X
JLZOIST,O,X,O,X,O,X
JLZOSTI,O,X,O,X,X,X
JLZOSIT,O,X,O,X,X,X
JLOTISZ,X,O,O,X,X,O
JLOTIZS,X,X,X,X,O,O
JLOTSIZ,X,O,O,X,X,X
JLOTSZI,X,O,O,X,X,X
JLOTZIS,X,X,X,X,X,X
JLOTZSI,X,X,X,X,X,X
JLOITSZ,X,O,O,X,X,O
JLOITZS,X,X,X,X,O,O
JLOISTZ,X,X,O,O,X,X
JLOISZT,X,O,O,O,O,X
JLOIZTS,X,X,X,X,O,X
JLOIZST,X,X,O,X,O,X
JLOSTIZ,X,X,O,O,X,X
JLOSTZI,X,X,O,X,X,X
JLOSITZ,X,X,O,O,X,X
JLOSIZT,X,O,O,O,O,X
JLOSZTI,X,X,O,X,X,X
JLOSZIT,X,O,O,O,X,X
JLOZTIS,X,X,X,X,X,X
JLOZTSI,X,X,X,X,X,X
JLOZITS,X,X,X,X,O,X
JLOZIST,X,X,O,X,O,X
JLOZSTI,X,X,O,X,X,X
JLOZSIT,X,X,O,X,X,X
JSTILZO,O,O,X,X,X,X
JSTILOZ,O,O,X,O,X,X
JSTIZLO,O,O,X,X,X,X
JSTIZOL,O,O,X,X,X,X
JSTIOLZ,O,O,X,O,X,X
JSTIOZL,O,O,X,X,X,X
JSTLIZO,O,O,X,X,X,X
JSTLIOZ,O,O,X,O,X,X
JSTLZIO,O,O,X,X,X,X
JSTLZOI,O,O,O,X,X,X
JSTLOIZ,O,O,O,O,X,X
JSTLOZI,O,O,O,X,X,X
JSTZILO,O,O,X,X,X,X
JSTZIOL,O,O,X,X,X,X
JSTZLIO,O,O,X,X,X,X
JSTZLOI,O,O,X,X,X,X
JSTZOIL,O,O,O,X,X,X
JSTZOLI,O,O,O,X,X,X
JSTOILZ,O,O,O,O,X,X
JSTOIZL,O,O,O,X,X,X
JSTOLIZ,O,O,O,O,X,X
JSTOLZI,O,O,O,X,X,X
JSTOZIL,O,O,O,X,X,X
JSTOZLI,O,O,O,X,X,X
JSITLZO,O,O,X,X,X,X
JSITLOZ,O,O,X,O,X,X
JSITZLO,O,O,X,X,X,X
JSITZOL,O,O,X,X,X,X
JSITOLZ,O,O,X,O,X,X
JSITOZL,O,O,X,X,X,X
JSILTZO,O,X,X,X,X,X
JSILTOZ,O,X,X,O,X,X
JSILZTO,O,X,X,X,X,X
JSILZOT,O,O,O,O,X,X
JSILOTZ,X,X,O,O,X,X
JSILOZT,X,O,O,O,O,X
JSIZTLO,O,X,X,X,X,X
JSIZTOL,O,O,X,X,X,X
JSIZLTO,O,X,X,X,X,X
JSIZLOT,O,O,X,O,X,X
JSIZOTL,O,O,O,X,X,X
JSIZOLT,O,O,O,O,X,X
JSIOTLZ,X,O,O,O,X,X
JSIOTZL,X,O,O,X,X,X
JSIOLTZ,X,X,O,O,X,X
JSIOLZT,X,O,O,O,O,X
JSIOZTL,X,O,O,X,X,X
JSIOZLT,X,O,O,O,X,X
JSLTIZO,O,X,X,X,X,X
JSLTIOZ,O,X,X,O,X,X
JSLTZIO,O,X,X,X,X,X
JSLTZOI,O,X,O,X,X,X
JSLTOIZ,O,X,O,O,X,X
JSLTOZI,O,X,O,X,X,X
JSLITZO,O,X,X,X,X,X
JSLITOZ,O,X,X,O,X,X
JSLIZTO,O,X,X,X,X,X
JSLIZOT,O,O,O,O,X,X
JSLIOTZ,X,X,O,O,X,X
JSLIOZT,X,O,O,O,O,X
JSLZTIO,O,X,X,X,X,X
JSLZTOI,O,X,O,X,X,X
JSLZITO,O,X,X,X,X,X
JSLZIOT,O,O,O,O,X,X
JSLZOTI,O,X,O,X,X,X
JSLZOIT,O,O,O,O,X,X
JSLOTIZ,X,X,O,O,X,X
JSLOTZI,X,X,O,X,X,X
JSLOITZ,X,X,O,O,X,X
JSLOIZT,X,O,O,O,O,X
JSLOZTI,X,X,O,X,X,X
JSLOZIT,X,O,O,O,X,X
JSZTILO,O,X,X,X,X,X
JSZTIOL,O,O,X,X,X,X
JSZTLIO,O,X,X,X,X,X
JSZTLOI,O,X,X,X,X,X
JSZTOIL,O,O,O,X,X,X
JSZTOLI,O,X,O,X,X,X
JSZITLO,O,X,X,X,X,X
JSZITOL,O,O,X,X,X,X
JSZILTO,O,X,X,X,X,X
JSZILOT,O,O,X,O,X,X
JSZIOTL,O,O,O,X,X,X
JSZIOLT,O,O,O,O,X,X
JSZLTIO,O,X,X,X,X,X
JSZLTOI,O,X,O,X,X,X
JSZLITO,O,X,X,X,X,X
JSZLIOT,O,O,O,O,X,X
JSZLOTI,O,X,O,X,X,X
JSZLOIT,O,O,O,O,X,X
JSZOTIL,O,O,O,X,X,X
JSZOTLI,O,X,O,X,X,X
JSZOITL,O,O,O,X,X,X
JSZOILT,O,O,O,O,X,X
JSZOLTI,O,X,O,X,X,X
JSZOLIT,O,O,O,O,X,X
JSOTILZ,X,O,O,O,X,X
JSOTIZL,X,O,O,X,X,X
JSOTLIZ,X,O,O,O,X,X
JSOTLZI,X,O,O,X,X,X
JSOTZIL,X,O,O,X,X,X
JSOTZLI,X,O,O,X,X,X
JSOITLZ,X,O,O,O,X,X
JSOITZL,X,O,O,X,X,X
JSOILTZ,X,X,O,O,X,X
JSOILZT,X,O,O,O,O,X
JSOIZTL,X,O,O,X,X,X
JSOIZLT,X,O,O,O,X,X
JSOLTIZ,X,X,O,O,X,X
JSOLTZI,X,X,O,X,X,X
JSOLITZ,X,X,O,O,X,X
JSOLIZT,X,O,O,O,O,X
JSOLZTI,X,X,O,X,X,X
JSOLZIT,X,O,O,O,X,X
JSOZTIL,X,O,O,X,X,X
JSOZTLI,X,X,O,X,X,X
JSOZITL,X,O,O,X,X,X
JSOZILT,X,O,O,O,X,X
JSOZLTI,X,X,O,X,X,X
JSOZLIT,X,O,O,O,X,X
JZTILSO,O,X,X,X,X,X
JZTILOS,O,X,X,X,X,X
JZTISLO,O,O,X,X,X,X
JZTISOL,O,O,X,X,X,X
JZTIOLS,O,X,X,X,X,X
JZTIOSL,O,O,X,X,X,X
JZTLISO,O,X,X,X,X,X
JZTLIOS,O,X,X,X,X,X
JZTLSIO,O,X,X,X,X,X
JZTLSOI,O,X,X,X,X,X
JZTLOIS,O,X,X,X,X,X
JZTLOSI,O,X,X,X,X,X
JZTSILO,O,O,X,X,X,X
JZTSIOL,O,O,X,X,X,X
JZTSLIO,O,O,X,X,X,X
JZTSLOI,O,O,X,X,X,X
JZTSOIL,O,O,X,X,X,X
JZTSOLI,O,O,X,X,X,X
JZTOILS,O,X,X,X,X,X
JZTOISL,O,O,X,X,X,X
JZTOLIS,O,X,X,X,X,X
JZTOLSI,O,X,X,X,X,X
JZTOSIL,O,O,X,X,X,X
JZTOSLI,O,O,X,X,X,X
JZITLSO,O,X,X,X,X,X
JZITLOS,O,X,X,X,X,X
JZITSLO,O,O,X,X,X,X
JZITSOL,O,O,X,X,X,X
JZITOLS,O,X,X,X,X,X
JZITOSL,O,O,X,X,X,X
JZILTSO,O,X,X,X,X,X
JZILTOS,O,X,X,X,X,X
JZILSTO,O,X,X,X,X,X
JZILSOT,O,X,X,X,X,X
JZILOTS,O,X,X,X,O,X
JZILOST,O,X,X,X,O,X
JZISTLO,O,X,X,X,X,X
JZISTOL,O,O,X,X,X,X
JZISLTO,O,X,X,X,X,X
JZISLOT,O,O,X,O,X,X
JZISOTL,O,O,X,X,X,X
JZISOLT,O,O,X,O,X,X
JZIOTLS,O,X,X,X,X,X
JZIOTSL,O,O,X,X,X,X
JZIOLTS,O,X,X,X,O,X
JZIOLST,O,X,X,X,O,X
JZIOSTL,O,O,X,X,X,X
JZIOSLT,O,O,X,O,X,X
JZLTISO,O,X,X,X,X,X
JZLTIOS,O,X,X,X,X,X
JZLTSIO,O,X,X,X,X,X
JZLTSOI,O,X,X,X,X,X
JZLTOIS,O,X,X,X,X,X
JZLTOSI,O,X,X,X,X,X
JZLITSO,O,X,X,X,X,X
JZLITOS,O,X,X,X,X,X
JZLISTO,O,X,X,X,X,X
JZLISOT,O,X,X,X,X,X
JZLIOTS,O,X,X,X,O,X
JZLIOST,O,X,X,X,O,X
JZLSTIO,O,X,X,X,X,X
