sequence,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBXjBlmBctBTs?BCsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBTjBlmBcsBXt?BCsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukB3hBlnBctBzr?BCtB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBFiBTjB6rBcs?BXtB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukB3hBFjB6sBct?BzrB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBFiBXjB6rBct?BTsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBfoB6oBlmB0s?BzrB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBlmBcsBToBCs?BXtB,v115@AhB8GeB8HeC8FeD8DeA8Jei/IvhFRiB+oBcpBlmBXs?BzsB,v115@AhB8GeB8HeC8FeD8DeA8Jei/IvhFWoBcpBlmBxsBzr?BXtB,v115@AhB8GeB8HeC8FeD8DeA8JexCJvhFTkBlmB3nBctBip?BWxB
ILJSZOT,X,O,X,O,O,O,X,X,X,X,X
ILJSOTZ,X,X,X,O,O,O,X,X,X,X,X
ILJSOZT,X,O,O,O,O,O,X,X,X,X,X
ILJZTSO,O,O,X,O,O,O,O,X,X,O,X
ILJZTOS,X,X,X,O,O,O,X,O,X,O,X
ILJZSTO,O,O,X,O,O,O,O,X,X,O,X
ILJZSOT,O,O,X,O,O,O,O,X,X,X,X
ILJZOTS,O,X,O,O,O,O,X,O,X,O,X
ILJZOST,O,X,O,O,O,O,X,X,X,X,X
ILJOTSZ,X,X,X,X,O,O,X,X,X,X,X
ILJOTZS,O,X,X,O,O,O,X,X,X,X,X
ILJOSTZ,X,X,X,O,O,O,X,X,X,X,X
ILJOSZT,X,X,O,O,O,O,X,X,X,X,X
ILJOZTS,O,X,O,O,O,O,X,O,X,X,X
ILJOZST,O,X,O,O,O,O,X,X,X,X,X
ILSTJZO,X,X,X,O,O,O,X,X,X,X,X
ILSTJOZ,X,X,X,O,X,O,X,X,X,X,X
ILSTZJO,X,X,X,O,O,O,X,X,X,X,X
ILSTZOJ,X,X,X,O,O,O,X,X,X,X,X
ILSTOJZ,X,X,X,O,X,O,X,X,X,X,X
ILSTOZJ,X,X,X,O,X,O,X,X,X,X,X
ILSJTZO,X,X,X,O,O,O,X,X,X,X,X
ILSJTOZ,X,X,X,O,X,O,X,X,X,X,X
ILSJZTO,X,O,X,O,O,O,X,X,X,X,X
ILSJZOT,X,O,X,O,O,O,X,X,X,X,X
ILSJOTZ,X,X,X,O,O,O,X,X,X,X,X
ILSJOZT,X,O,O,O,O,O,X,X,X,X,X
ILSZTJO,X,O,X,O,O,O,X,X,X,X,X
ILSZTOJ,X,O,X,O,O,O,X,X,X,X,X
ILSZJTO,X,O,X,O,O,O,X,X,X,X,X
ILSZJOT,X,O,X,O,O,O,X,X,X,X,X
ILSZOTJ,X,O,X,O,O,O,X,X,X,X,X
ILSZOJT,X,O,X,O,O,O,X,X,X,X,X
ILSOTJZ,X,X,X,O,O,O,X,X,X,X,X
ILSOTZJ,X,X,X,O,O,O,X,X,X,X,X
ILSOJTZ,X,X,X,O,O,O,X,X,X,X,X
ILSOJZT,X,O,O,O,O,O,X,X,X,X,X
ILSOZTJ,X,O,O,O,O,O,X,X,X,X,X
ILSOZJT,X,O,O,O,O,O,X,X,X,X,X
ILZTJSO,O,O,X,O,O,O,O,X,X,O,X
ILZTJOS,X,X,X,O,O,O,X,O,X,O,X
ILZTSJO,O,O,X,O,O,O,O,X,X,O,X
ILZTSOJ,X,O,X,O,O,O,O,X,X,X,X
ILZTOJS,X,X,X,O,O,O,X,O,X,O,X
ILZTOSJ,X,X,X,O,O,O,X,X,X,X,X
ILZJTSO,O,O,X,O,O,O,O,X,X,O,X
ILZJTOS,X,X,X,O,O,O,X,O,X,O,X
ILZJSTO,O,O,X,O,O,O,O,X,X,O,X
ILZJSOT,O,O,X,O,O,O,O,X,X,X,X
ILZJOTS,O,X,O,O,O,O,X,O,X,O,X
ILZJOST,O,X,O,O,O,O,X,X,X,X,X
ILZSTJO,O,O,X,O,O,O,O,X,X,O,X
ILZSTOJ,X,O,X,O,O,O,O,X,X,X,X
ILZSJTO,O,O,X,O,O,O,O,X,X,O,X
ILZSJOT,O,O,X,O,O,O,O,X,X,X,X
ILZSOTJ,O,O,X,O,O,O,O,X,X,X,X
ILZSOJT,O,O,X,O,O,O,O,X,X,X,X
ILZOTJS,O,X,O,O,O,O,X,O,X,O,X
ILZOTSJ,O,X,O,O,O,O,X,X,X,X,X
ILZOJTS,O,X,O,O,O,O,X,O,X,O,X
ILZOJST,O,X,O,O,O,O,X,X,X,X,X
ILZOSTJ,O,X,O,O,O,O,X,X,X,X,X
ILZOSJT,O,X,O,O,O,O,X,X,X,X,X
ILOTJSZ,X,X,X,X,O,O,X,X,X,X,X
ILOTJZS,O,X,X,O,O,O,X,X,X,X,X
ILOTSJZ,X,X,X,X,O,O,X,X,X,X,X
ILOTSZJ,X,X,X,X,O,O,X,X,X,X,X
ILOTZJS,O,X,X,O,O,O,X,X,X,X,X
ILOTZSJ,O,X,X,O,O,O,X,X,X,X,X
ILOJTSZ,X,X,X,X,O,O,X,X,X,X,X
ILOJTZS,O,X,X,O,O,O,X,X,X,X,X
ILOJSTZ,X,X,X,O,O,O,X,X,X,X,X
ILOJSZT,X,X,O,O,O,O,X,X,X,X,X
ILOJZTS,O,X,O,O,O,O,X,O,X,X,X
ILOJZST,O,X,O,O,O,O,X,X,X,X,X
ILOSTJZ,X,X,X,O,O,O,X,X,X,X,X
ILOSTZJ,X,X,X,O,O,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,O,O,X,X,X,X,X
ILOSJZT,X,X,O,O,O,O,X,X,X,X,X
ILOSZTJ,X,X,O,O,O,O,X,X,X,X,X
ILOSZJT,X,X,O,O,O,O,X,X,X,X,X
ILOZTJS,O,X,O,O,O,O,X,O,X,X,X
ILOZTSJ,O,X,O,O,O,O,X,X,X,X,X
ILOZJTS,O,X,O,O,O,O,X,O,X,X,X
ILOZJST,O,X,O,O,O,O,X,X,X,X,X
ILOZSTJ,O,X,O,O,O,O,X,X,X,X,X
ILOZSJT,O,X,O,O,O,O,X,X,X,X,X
IJTLSZO,X,X,X,O,O,O,X,X,X,X,X
IJTLSOZ,X,X,X,O,X,O,X,X,X,X,X
IJTLZSO,O,O,X,O,O,O,O,X,X,O,X
IJTLZOS,X,X,X,O,O,O,X,O,X,O,X
IJTLOSZ,X,X,X,X,X,O,X,X,X,X,X
IJTLOZS,O,X,X,O,X,O,X,X,X,X,X
IJTSLZO,X,X,X,O,O,X,X,X,X,X,X
IJTSLOZ,X,X,X,O,X,X,X,X,X,X,X
IJTSZLO,O,O,X,O,O,X,O,X,X,O,X
IJTSZOL,O,O,X,O,O,X,O,O,X,X,X
IJTSOLZ,X,X,X,O,O,X,X,X,X,X,X
IJTSOZL,O,O,O,O,O,X,X,X,X,X,X
IJTZLSO,O,O,X,O,O,O,O,X,X,O,X
IJTZLOS,X,X,X,X,O,O,X,O,X,O,X
IJTZSLO,O,O,X,O,O,O,O,X,X,O,X
IJTZSOL,O,O,X,O,O,O,O,O,X,X,X
IJTZOLS,O,X,O,X,O,O,X,O,X,O,X
IJTZOSL,O,O,O,O,O,O,O,O,X,X,X
IJTOLSZ,X,X,X,X,O,X,X,X,X,X,X
IJTOLZS,O,X,X,X,O,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,O,X,X,X,X,X,X
IJTOSZL,O,X,O,X,O,O,X,X,X,X,X
IJTOZLS,O,X,O,X,O,O,X,O,X,O,X
IJTOZSL,O,O,O,X,O,O,O,O,X,X,X
IJLTSZO,X,X,X,O,O,O,X,X,X,X,X
IJLTSOZ,X,X,X,O,X,O,X,X,X,X,X
IJLTZSO,O,O,X,O,O,O,O,X,X,O,X
IJLTZOS,X,X,X,O,O,O,X,O,X,O,X
IJLTOSZ,X,X,X,X,X,O,X,X,X,X,X
IJLTOZS,O,X,X,O,X,O,X,X,X,X,X
IJLSTZO,X,X,X,O,O,O,X,X,X,X,X
IJLSTOZ,X,X,X,O,X,O,X,X,X,X,X
IJLSZTO,X,O,X,O,O,O,X,X,X,X,X
IJLSZOT,X,O,X,O,O,O,X,X,X,X,X
IJLSOTZ,X,X,X,O,O,O,X,X,X,X,X
IJLSOZT,X,O,O,O,O,O,X,X,X,X,X
IJLZTSO,O,O,X,O,O,O,O,X,X,O,X
IJLZTOS,X,X,X,O,O,O,X,O,X,O,X
IJLZSTO,O,O,X,O,O,O,O,X,X,O,X
IJLZSOT,O,O,X,O,O,O,O,X,X,X,X
IJLZOTS,O,X,O,O,O,O,X,O,X,O,X
IJLZOST,O,X,O,O,O,O,X,X,X,X,X
IJLOTSZ,X,X,X,X,O,O,X,X,X,X,X
IJLOTZS,O,X,X,O,O,O,X,X,X,X,X
IJLOSTZ,X,X,X,O,O,O,X,X,X,X,X
IJLOSZT,X,X,O,O,O,O,X,X,X,X,X
IJLOZTS,O,X,O,O,O,O,X,O,X,X,X
IJLOZST,O,X,O,O,O,O,X,X,X,X,X
IJSTLZO,X,X,X,O,O,X,X,X,O,X,X
IJSTLOZ,X,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,O,X,O,O,X,O,X,O,O,X
IJSTZOL,O,O,X,O,O,X,O,O,O,X,X
IJSTOLZ,X,X,X,O,O,X,X,X,X,X,X
IJSTOZL,O,O,O,O,O,X,X,X,O,X,X
IJSLTZO,X,X,X,O,O,O,X,X,X,X,X
IJSLTOZ,X,X,X,O,X,O,X,X,X,X,X
IJSLZTO,X,O,X,O,O,O,X,X,X,X,X
IJSLZOT,X,O,X,O,O,O,X,X,X,X,X
IJSLOTZ,X,X,X,O,O,O,X,X,X,X,X
IJSLOZT,X,O,O,O,O,O,X,X,X,X,X
IJSZTLO,O,O,X,O,O,O,O,X,O,O,X
IJSZTOL,O,O,X,O,O,O,O,O,O,X,X
IJSZLTO,O,O,X,O,O,O,O,X,O,O,X
IJSZLOT,O,O,X,O,O,O,O,X,X,X,X
IJSZOTL,O,O,O,O,O,O,O,O,X,X,X
IJSZOLT,O,O,O,O,O,O,O,X,X,X,X
IJSOTLZ,X,X,X,O,O,X,X,X,X,X,X
IJSOTZL,O,O,O,O,O,O,X,X,X,X,X
IJSOLTZ,X,X,X,O,O,X,X,X,X,X,X
IJSOLZT,X,O,O,O,O,X,X,X,X,X,X
IJSOZTL,O,O,O,O,O,O,X,O,X,X,X
IJSOZLT,O,O,O,O,O,O,X,X,X,X,X
IJZTLSO,O,O,X,O,O,O,O,X,X,O,X
IJZTLOS,X,X,X,X,O,O,X,O,X,O,X
IJZTSLO,O,O,X,O,O,O,O,X,X,O,X
IJZTSOL,O,O,X,O,O,O,O,O,X,X,X
IJZTOLS,O,X,O,X,O,O,X,O,X,O,X
IJZTOSL,O,O,O,O,O,O,O,O,X,X,X
IJZLTSO,O,O,X,O,O,O,O,X,X,O,X
IJZLTOS,X,X,X,O,O,O,X,O,X,O,X
IJZLSTO,O,O,X,O,O,O,O,X,O,O,X
IJZLSOT,O,O,X,O,O,O,O,X,X,X,X
IJZLOTS,O,X,O,O,O,O,X,O,X,O,X
IJZLOST,O,X,O,O,O,O,X,X,X,X,X
IJZSTLO,O,O,X,O,O,O,O,X,O,O,X
IJZSTOL,O,O,X,O,O,O,O,O,O,X,X
IJZSLTO,O,O,X,O,O,O,O,X,O,O,X
IJZSLOT,O,O,X,O,O,O,O,X,X,X,X
IJZSOTL,O,O,O,O,O,O,O,O,X,X,X
IJZSOLT,O,O,O,O,O,O,O,X,X,X,X
IJZOTLS,O,X,O,X,O,O,X,O,X,O,X
IJZOTSL,O,O,O,O,O,O,O,O,X,X,X
IJZOLTS,O,X,O,X,O,O,X,O,X,O,X
IJZOLST,O,X,O,X,O,O,X,X,X,X,X
IJZOSTL,O,O,O,O,O,O,O,O,X,X,X
IJZOSLT,O,O,O,O,O,O,O,X,X,X,X
IJOTLSZ,X,X,X,X,O,X,X,X,X,X,X
IJOTLZS,O,X,X,X,O,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,O,X,X,X,X,X,X
IJOTSZL,O,X,O,X,O,O,X,X,X,X,X
IJOTZLS,O,X,O,X,O,O,X,O,X,O,X
IJOTZSL,O,O,O,X,O,O,O,O,X,X,X
IJOLTSZ,X,X,X,X,O,O,X,X,X,X,X
IJOLTZS,O,X,X,O,O,O,X,X,X,X,X
IJOLSTZ,X,X,X,O,O,O,X,X,X,X,X
IJOLSZT,X,X,O,O,O,O,X,X,X,X,X
IJOLZTS,O,X,O,O,O,O,X,O,X,X,X
IJOLZST,O,X,O,O,O,O,X,X,X,X,X
IJOSTLZ,X,X,X,O,O,X,X,X,X,X,X
IJOSTZL,O,O,O,O,O,O,X,X,X,X,X
IJOSLTZ,X,X,X,O,O,X,X,X,X,X,X
IJOSLZT,X,O,O,O,O,X,X,X,X,X,X
IJOSZTL,O,O,O,O,O,O,X,O,X,X,X
IJOSZLT,O,O,O,O,O,O,X,X,X,X,X
IJOZTLS,O,X,O,X,O,O,X,O,X,O,X
IJOZTSL,O,O,O,O,O,O,O,O,X,X,X
IJOZLTS,O,X,O,X,O,O,X,O,X,O,X
IJOZLST,O,X,O,X,O,O,X,X,X,X,X
IJOZSTL,O,O,O,O,O,O,O,O,X,X,X
IJOZSLT,O,O,O,O,O,O,O,X,X,X,X
ISTLJZO,X,X,X,O,O,X,X,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X,X,X,X
ISTLZJO,X,X,X,O,O,X,X,X,X,X,X
ISTLZOJ,X,X,X,O,O,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X,X,X,X
ISTJLZO,X,X,X,O,O,X,X,X,O,X,X
ISTJLOZ,X,X,X,O,X,X,X,X,X,X,X
ISTJZLO,O,O,X,O,O,X,O,X,O,O,X
ISTJZOL,O,O,X,O,O,X,O,O,O,X,X
ISTJOLZ,X,X,X,O,O,X,X,X,X,X,X
ISTJOZL,O,O,O,O,O,X,X,X,O,X,X
ISTZLJO,O,O,X,O,O,X,O,X,O,O,X
ISTZLOJ,X,O,X,O,X,X,O,X,X,X,X
ISTZJLO,O,O,X,O,O,X,O,X,O,O,X
ISTZJOL,O,O,X,O,O,X,O,O,O,X,X
ISTZOLJ,X,O,X,O,X,X,O,X,X,X,X
ISTZOJL,O,O,X,O,O,X,O,O,X,X,X
ISTOLJZ,X,X,X,O,O,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,O,O,X,X,X,X,X,X
ISTOJZL,O,O,O,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,O,O,O,X,X,X,X,X,X
ISTOZJL,O,O,O,O,O,X,X,X,X,X,X
ISLTJZO,X,X,X,O,O,O,X,X,X,X,X
ISLTJOZ,X,X,X,O,X,O,X,X,X,X,X
ISLTZJO,X,X,X,O,O,O,X,X,X,X,X
ISLTZOJ,X,X,X,O,O,O,X,X,X,X,X
ISLTOJZ,X,X,X,O,X,O,X,X,X,X,X
ISLTOZJ,X,X,X,O,X,O,X,X,X,X,X
ISLJTZO,X,X,X,O,O,O,X,X,X,X,X
ISLJTOZ,X,X,X,O,X,O,X,X,X,X,X
ISLJZTO,X,O,X,O,O,O,X,X,X,X,X
ISLJZOT,X,O,X,O,O,O,X,X,X,X,X
ISLJOTZ,X,X,X,O,O,O,X,X,X,X,X
ISLJOZT,X,O,O,O,O,O,X,X,X,X,X
ISLZTJO,X,O,X,O,O,O,X,X,X,X,X
ISLZTOJ,X,O,X,O,O,O,X,X,X,X,X
ISLZJTO,X,O,X,O,O,O,X,X,X,X,X
ISLZJOT,X,O,X,O,O,O,X,X,X,X,X
ISLZOTJ,X,O,X,O,O,O,X,X,X,X,X
ISLZOJT,X,O,X,O,O,O,X,X,X,X,X
ISLOTJZ,X,X,X,O,O,O,X,X,X,X,X
ISLOTZJ,X,X,X,O,O,O,X,X,X,X,X
ISLOJTZ,X,X,X,O,O,O,X,X,X,X,X
ISLOJZT,X,O,O,O,O,O,X,X,X,X,X
ISLOZTJ,X,O,O,O,O,O,X,X,X,X,X
ISLOZJT,X,O,O,O,O,O,X,X,X,X,X
ISJTLZO,X,X,X,O,O,X,X,X,O,X,X
ISJTLOZ,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,O,X,O,O,X,O,X,O,O,X
ISJTZOL,O,O,X,O,O,X,O,O,O,X,X
ISJTOLZ,X,X,X,O,O,X,X,X,X,X,X
ISJTOZL,O,O,O,O,O,X,X,X,O,X,X
ISJLTZO,X,X,X,O,O,O,X,X,X,X,X
ISJLTOZ,X,X,X,O,X,O,X,X,X,X,X
ISJLZTO,X,O,X,O,O,O,X,X,X,X,X
ISJLZOT,X,O,X,O,O,O,X,X,X,X,X
ISJLOTZ,X,X,X,O,O,O,X,X,X,X,X
ISJLOZT,X,O,O,O,O,O,X,X,X,X,X
ISJZTLO,O,O,X,O,O,O,O,X,O,O,X
ISJZTOL,O,O,X,O,O,O,O,O,O,X,X
ISJZLTO,O,O,X,O,O,O,O,X,O,O,X
ISJZLOT,O,O,X,O,O,O,O,X,X,X,X
ISJZOTL,O,O,O,O,O,O,O,O,X,X,X
ISJZOLT,O,O,O,O,O,O,O,X,X,X,X
ISJOTLZ,X,X,X,O,O,X,X,X,X,X,X
ISJOTZL,O,O,O,O,O,O,X,X,X,X,X
ISJOLTZ,X,X,X,O,O,X,X,X,X,X,X
ISJOLZT,X,O,O,O,O,X,X,X,X,X,X
ISJOZTL,O,O,O,O,O,O,X,O,X,X,X
ISJOZLT,O,O,O,O,O,O,X,X,X,X,X
ISZTLJO,O,O,X,O,O,O,O,X,O,O,X
ISZTLOJ,X,O,X,O,O,O,O,X,X,X,X
ISZTJLO,O,O,X,O,O,O,O,X,O,O,X
ISZTJOL,O,O,X,O,O,O,O,O,O,X,X
ISZTOLJ,O,O,X,O,O,O,O,X,X,X,X
ISZTOJL,O,O,X,O,O,O,O,O,X,X,X
ISZLTJO,O,O,X,O,O,O,O,X,O,O,X
ISZLTOJ,X,O,X,O,O,O,O,X,X,X,X
ISZLJTO,O,O,X,O,O,O,O,X,O,O,X
ISZLJOT,O,O,X,O,O,O,O,X,X,X,X
ISZLOTJ,O,O,X,O,O,O,O,X,X,X,X
ISZLOJT,O,O,X,O,O,O,O,X,X,X,X
ISZJTLO,O,O,X,O,O,O,O,X,O,O,X
ISZJTOL,O,O,X,O,O,O,O,O,O,X,X
ISZJLTO,O,O,X,O,O,O,O,X,O,O,X
ISZJLOT,O,O,X,O,O,O,O,X,X,X,X
ISZJOTL,O,O,O,O,O,O,O,O,X,X,X
ISZJOLT,O,O,O,O,O,O,O,X,X,X,X
ISZOTLJ,O,O,O,O,O,O,O,X,X,X,X
ISZOTJL,O,O,O,O,O,O,O,O,X,X,X
ISZOLTJ,O,O,O,O,O,O,O,X,X,X,X
ISZOLJT,O,O,O,O,O,O,O,X,X,X,X
ISZOJTL,O,O,O,O,O,O,O,O,X,X,X
ISZOJLT,O,O,O,O,O,O,O,X,X,X,X
ISOTLJZ,X,X,X,O,O,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,O,O,X,X,X,X,X,X
ISOTJZL,O,O,O,O,O,O,X,X,X,X,X
ISOTZLJ,O,O,O,O,O,O,X,X,X,X,X
ISOTZJL,O,O,O,O,O,O,X,X,X,X,X
ISOLTJZ,X,X,X,O,O,X,X,X,X,X,X
ISOLTZJ,X,X,X,O,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,O,O,X,X,X,X,X,X
ISOLJZT,X,O,O,O,O,X,X,X,X,X,X
ISOLZTJ,X,O,O,O,O,X,X,X,X,X,X
ISOLZJT,X,O,O,O,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,O,X,X,X,X,X,X
ISOJTZL,O,O,O,O,O,O,X,X,X,X,X
ISOJLTZ,X,X,X,O,O,X,X,X,X,X,X
ISOJLZT,X,O,O,O,O,X,X,X,X,X,X
ISOJZTL,O,O,O,O,O,O,X,O,X,X,X
ISOJZLT,O,O,O,O,O,O,X,X,X,X,X
ISOZTLJ,O,O,O,O,O,O,X,X,X,X,X
ISOZTJL,O,O,O,O,O,O,X,O,X,X,X
ISOZLTJ,O,O,O,O,O,O,X,X,X,X,X
ISOZLJT,O,O,O,O,O,O,X,X,X,X,X
ISOZJTL,O,O,O,O,O,O,X,O,X,X,X
ISOZJLT,O,O,O,O,O,O,X,X,X,X,X
IZTLJSO,O,O,X,O,O,O,O,X,X,O,X
IZTLJOS,X,X,X,X,O,O,X,O,X,O,X
IZTLSJO,O,O,X,O,O,O,O,X,O,O,X
IZTLSOJ,X,O,X,O,O,O,O,X,X,X,X
IZTLOJS,X,X,X,X,O,O,X,O,X,O,X
IZTLOSJ,X,X,X,X,O,O,X,X,X,X,X
IZTJLSO,O,O,X,O,O,O,O,X,X,O,X
IZTJLOS,X,X,X,X,O,O,X,O,X,O,X
IZTJSLO,O,O,X,O,O,O,O,X,X,O,X
IZTJSOL,O,O,X,O,O,O,O,O,X,X,X
IZTJOLS,O,X,O,X,O,O,X,O,X,O,X
IZTJOSL,O,O,O,O,O,O,O,O,X,X,X
IZTSLJO,O,O,X,O,O,O,O,X,O,O,X
IZTSLOJ,X,O,X,O,O,O,O,X,X,X,O
IZTSJLO,O,O,X,O,O,O,O,X,O,O,X
IZTSJOL,O,O,X,O,O,O,O,O,O,X,O
IZTSOLJ,O,O,X,O,O,O,O,X,X,X,O
IZTSOJL,O,O,X,O,O,O,O,O,X,X,O
IZTOLJS,O,X,O,X,O,O,X,O,X,O,X
IZTOLSJ,O,X,O,X,O,O,X,X,X,X,X
IZTOJLS,O,X,O,X,O,O,X,O,X,O,X
IZTOJSL,O,O,O,O,O,O,O,O,X,X,X
IZTOSLJ,O,O,O,O,O,O,O,X,X,X,O
IZTOSJL,O,O,O,O,O,O,O,O,X,X,O
IZLTJSO,O,O,X,O,O,O,O,X,X,O,X
IZLTJOS,X,X,X,O,O,O,X,O,X,O,X
IZLTSJO,O,O,X,O,O,O,O,X,O,O,X
IZLTSOJ,X,O,X,O,O,O,O,X,X,X,X
IZLTOJS,X,X,X,O,O,O,X,O,X,O,X
IZLTOSJ,X,X,X,O,O,O,X,X,X,X,X
IZLJTSO,O,O,X,O,O,O,O,X,X,O,X
IZLJTOS,X,X,X,O,O,O,X,O,X,O,X
IZLJSTO,O,O,X,O,O,O,O,X,O,O,X
IZLJSOT,O,O,X,O,O,O,O,X,X,X,X
IZLJOTS,O,X,O,O,O,O,X,O,X,O,X
IZLJOST,O,X,O,O,O,O,X,X,X,X,X
IZLSTJO,O,O,X,O,O,O,O,X,O,O,X
IZLSTOJ,X,O,X,O,O,O,O,X,X,X,X
IZLSJTO,O,O,X,O,O,O,O,X,O,O,X
IZLSJOT,O,O,X,O,O,O,O,X,X,X,X
IZLSOTJ,O,O,X,O,O,O,O,X,X,X,X
IZLSOJT,O,O,X,O,O,O,O,X,X,X,X
IZLOTJS,O,X,O,O,O,O,X,O,X,O,X
IZLOTSJ,O,X,O,O,O,O,X,X,X,X,X
IZLOJTS,O,X,O,O,O,O,X,O,X,O,X
IZLOJST,O,X,O,O,O,O,X,X,X,X,X
IZLOSTJ,O,X,O,O,O,O,X,X,X,X,X
IZLOSJT,O,X,O,O,O,O,X,X,X,X,X
IZJTLSO,O,O,X,O,O,O,O,X,X,O,X
IZJTLOS,X,X,X,X,O,O,X,O,X,O,X
IZJTSLO,O,O,X,O,O,O,O,X,X,O,X
IZJTSOL,O,O,X,O,O,O,O,O,X,X,X
IZJTOLS,O,X,O,X,O,O,X,O,X,O,X
IZJTOSL,O,O,O,O,O,O,O,O,X,X,X
IZJLTSO,O,O,X,O,O,O,O,X,X,O,X
IZJLTOS,X,X,X,O,O,O,X,O,X,O,X
IZJLSTO,O,O,X,O,O,O,O,X,O,O,X
IZJLSOT,O,O,X,O,O,O,O,X,X,X,X
IZJLOTS,O,X,O,O,O,O,X,O,X,O,X
IZJLOST,O,X,O,O,O,O,X,X,X,X,X
IZJSTLO,O,O,X,O,O,O,O,X,O,O,X
IZJSTOL,O,O,X,O,O,O,O,O,O,X,X
IZJSLTO,O,O,X,O,O,O,O,X,O,O,X
IZJSLOT,O,O,X,O,O,O,O,X,X,X,X
IZJSOTL,O,O,O,O,O,O,O,O,X,X,X
IZJSOLT,O,O,O,O,O,O,O,X,X,X,X
IZJOTLS,O,X,O,X,O,O,X,O,X,O,X
IZJOTSL,O,O,O,O,O,O,O,O,X,X,X
IZJOLTS,O,X,O,X,O,O,X,O,X,O,X
IZJOLST,O,X,O,X,O,O,X,X,X,X,X
IZJOSTL,O,O,O,O,O,O,O,O,X,X,X
IZJOSLT,O,O,O,O,O,O,O,X,X,X,X
IZSTLJO,O,O,X,O,O,O,O,X,O,O,X
IZSTLOJ,X,O,X,O,O,O,O,X,X,X,O
IZSTJLO,O,O,X,O,O,O,O,X,O,O,X
IZSTJOL,O,O,X,O,O,O,O,O,O,X,O
IZSTOLJ,O,O,X,O,O,O,O,X,X,X,O
IZSTOJL,O,O,X,O,O,O,O,O,X,X,O
IZSLTJO,O,O,X,O,O,O,O,X,O,O,X
IZSLTOJ,X,O,X,O,O,O,O,X,X,X,X
IZSLJTO,O,O,X,O,O,O,O,X,O,O,X
IZSLJOT,O,O,X,O,O,O,O,X,X,X,X
IZSLOTJ,O,O,X,O,O,O,O,X,X,X,X
IZSLOJT,O,O,X,O,O,O,O,X,X,X,X
IZSJTLO,O,O,X,O,O,O,O,X,O,O,X
IZSJTOL,O,O,X,O,O,O,O,O,O,X,X
IZSJLTO,O,O,X,O,O,O,O,X,O,O,X
IZSJLOT,O,O,X,O,O,O,O,X,X,X,X
IZSJOTL,O,O,O,O,O,O,O,O,X,X,X
IZSJOLT,O,O,O,O,O,O,O,X,X,X,X
IZSOTLJ,O,O,O,O,O,O,O,X,X,X,O
IZSOTJL,O,O,O,O,O,O,O,O,X,X,O
IZSOLTJ,O,O,O,O,O,O,O,X,X,X,X
IZSOLJT,O,O,O,O,O,O,O,X,X,X,X
IZSOJTL,O,O,O,O,O,O,O,O,X,X,X
IZSOJLT,O,O,O,O,O,O,O,X,X,X,X
IZOTLJS,O,X,O,X,O,O,X,O,X,O,X
IZOTLSJ,O,X,O,X,O,O,X,X,X,X,X
IZOTJLS,O,X,O,X,O,O,X,O,X,O,X
IZOTJSL,O,O,O,O,O,O,O,O,X,X,X
IZOTSLJ,O,O,O,O,O,O,O,X,X,X,O
IZOTSJL,O,O,O,O,O,O,O,O,X,X,O
IZOLTJS,O,X,O,X,O,O,X,O,X,O,X
IZOLTSJ,O,X,O,X,O,O,X,X,X,X,X
IZOLJTS,O,X,O,X,O,O,X,O,X,O,X
IZOLJST,O,X,O,X,O,O,X,X,X,X,X
IZOLSTJ,O,X,O,X,O,O,X,X,X,X,X
IZOLSJT,O,X,O,X,O,O,X,X,X,X,X
IZOJTLS,O,X,O,X,O,O,X,O,X,O,X
IZOJTSL,O,O,O,O,O,O,O,O,X,X,X
IZOJLTS,O,X,O,X,O,O,X,O,X,O,X
IZOJLST,O,X,O,X,O,O,X,X,X,X,X
IZOJSTL,O,O,O,O,O,O,O,O,X,X,X
IZOJSLT,O,O,O,O,O,O,O,X,X,X,X
IZOSTLJ,O,O,O,O,O,O,O,X,X,X,O
IZOSTJL,O,O,O,O,O,O,O,O,X,X,O
IZOSLTJ,O,O,O,O,O,O,O,X,X,X,X
