sequence,v115@VhB8CeB8AeH8JeT/IvhF/lBUhBRiBSoB2sBlpB,v115@VhB8CeB8AeH8JeOEJvhFXgBVmBRiBcoBTnBCqB,v115@VhB8CeB8AeH8Jel/IvhFUhBRiBSoB/pBTqB2xB,v115@VhB8CeB8AeH8Jex/IvhFVmBanBGjB/pBUqBzsB,v115@VhB8CeB8AeH8Je0/IvhF/pBRrBFtBTqBmrBCtB
TOLSIZJ,O,X,X,X,X
TOLSJIZ,O,X,X,O,X
TOLSJZI,O,X,X,O,X
TOLSZIJ,O,X,X,O,X
TOLSZJI,O,X,X,O,X
TOLZIJS,X,X,X,X,X
TOLZISJ,X,X,X,X,X
TOLZJIS,X,X,X,X,X
TOLZJSI,X,X,X,X,X
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,O,X,X,O,X
TOJILZS,X,X,X,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,O,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,X,X,X,X,X
TOJLISZ,O,X,X,O,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,O,X,X,O,X
TOJLSZI,O,X,X,O,X
TOJLZIS,X,X,X,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,O,X,X,O,X
TOJSIZL,O,X,X,X,X
TOJSLIZ,O,X,X,O,X
TOJSLZI,O,X,X,O,X
TOJSZIL,O,O,X,O,X
TOJSZLI,O,X,X,O,X
TOJZILS,X,X,X,X,X
TOJZISL,X,O,X,X,X
TOJZLIS,X,X,X,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,X,O,X,X,X
TOJZSLI,X,X,X,X,X
TOSILJZ,X,X,X,O,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,X,X,X,O,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,O,X
TOSLIZJ,O,X,X,X,X
TOSLJIZ,O,X,X,O,X
TOSLJZI,O,X,X,O,X
TOSLZIJ,O,X,X,O,X
TOSLZJI,O,X,X,O,X
TOSJILZ,O,X,X,O,X
TOSJIZL,O,X,X,X,X
TOSJLIZ,O,X,X,O,X
TOSJLZI,O,X,X,O,X
TOSJZIL,O,O,X,O,X
TOSJZLI,O,X,X,O,X
TOSZILJ,O,X,X,O,X
TOSZIJL,X,O,X,O,X
TOSZLIJ,O,X,X,O,X
TOSZLJI,O,X,X,O,X
TOSZJIL,O,O,X,O,X
TOSZJLI,O,X,X,O,X
TOZILJS,X,X,X,X,X
TOZILSJ,X,X,X,X,X
TOZIJLS,X,X,X,X,X
TOZIJSL,X,O,X,X,X
TOZISLJ,X,X,X,X,X
TOZISJL,X,O,X,X,X
TOZLIJS,X,X,X,X,X
TOZLISJ,X,X,X,X,X
TOZLJIS,X,X,X,X,X
TOZLJSI,X,X,X,X,X
TOZLSIJ,X,X,X,X,X
TOZLSJI,X,X,X,X,X
TOZJILS,X,X,X,X,X
TOZJISL,X,O,X,X,X
TOZJLIS,X,X,X,X,X
TOZJLSI,X,X,X,X,X
TOZJSIL,X,O,X,X,X
TOZJSLI,X,X,X,X,X
TOZSILJ,X,X,X,X,X
