sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
TJIOZLS,X,X,O,X,X,X,X,O,X,X
TJIOZSL,X,X,O,X,X,O,X,O,X,X
TJLISZO,X,O,X,X,X,X,X,X,O,X
TJLISOZ,X,X,X,X,X,X,O,X,O,X
TJLIZSO,X,X,O,X,X,O,X,X,O,X
TJLIZOS,X,X,O,X,X,X,X,X,O,X
TJLIOSZ,X,O,X,X,X,X,X,X,O,O
TJLIOZS,X,X,O,X,X,X,X,X,O,O
TJLSIZO,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,O,X,X,X
TJLSZIO,X,O,X,X,O,X,X,X,X,X
TJLSZOI,X,X,X,X,O,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,O,X,X,X
TJLSOZI,X,X,X,X,O,X,X,X,X,X
TJLZISO,X,X,O,X,O,O,X,X,X,X
TJLZIOS,X,X,O,X,X,X,X,X,X,X
TJLZSIO,O,X,O,X,O,O,X,X,X,X
TJLZSOI,O,X,O,X,O,O,X,X,X,X
TJLZOIS,O,X,O,X,X,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,X,X,X,O
TJLOIZS,O,X,O,X,X,X,X,X,X,O
TJLOSIZ,X,O,X,X,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X
TJSILZO,X,O,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,O,X,X,X
TJSIZLO,X,O,X,O,X,O,X,X,X,X
TJSIZOL,X,X,X,O,X,O,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,O,X,X,X
TJSIOZL,X,O,X,O,X,X,X,X,X,X
TJSLIZO,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,O,X,X,X
TJSLZIO,X,O,X,X,O,X,X,X,X,X
TJSLZOI,X,X,X,X,O,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,O,X,X,X
TJSLOZI,X,X,X,X,O,X,X,X,X,X
TJSZILO,X,O,X,O,X,O,X,X,X,X
TJSZIOL,X,X,X,O,X,O,X,X,X,X
TJSZLIO,X,O,X,O,O,O,X,X,X,X
TJSZLOI,X,X,X,O,O,O,X,X,X,X
TJSZOIL,X,X,X,O,X,O,X,X,X,X
TJSZOLI,X,X,X,O,O,O,X,X,X,X
TJSOILZ,X,O,X,X,X,X,O,X,X,X
TJSOIZL,X,O,X,O,X,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,O,X,X,X
TJSOLZI,X,O,X,X,O,X,X,X,X,X
TJSOZIL,X,O,X,O,X,X,X,X,X,X
TJSOZLI,X,O,X,O,O,X,X,X,X,X
TJZILSO,X,X,O,X,O,O,X,O,X,X
TJZILOS,X,X,O,X,X,X,X,O,X,X
TJZISLO,X,X,O,O,X,O,X,O,X,X
TJZISOL,X,X,O,O,X,O,X,O,X,X
