sequence,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mB0iB6oBes?BzsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBUiBGjB6rBNt?BTsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9nB6oB0mBet?BzrB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mBCjBToB0s?BesB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBTiBStBUsB9r?BOtB
TSOLIZJ,X,X,X,X,X
TSOLJIZ,O,X,X,X,X
TSOLJZI,O,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,O,X,X,X,X
TSOJIZL,O,O,X,X,X
TSOJLIZ,O,X,X,X,X
TSOJLZI,O,X,X,X,X
TSOJZIL,O,O,X,X,X
TSOJZLI,O,X,X,X,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,O,X,O,X
TSOZLIJ,X,X,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,O,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,X,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,X,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,O,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,O,X
TZIOJSL,X,X,X,O,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,O,X
TZLIJSO,X,X,X,X,X
