sequence,v115@PhA8AeB8AeA8DeA8AeE8CeB8JeT/IvhFOlBXhBdnB5?nB6oB0rB,v115@PhA8AeB8AeA8DeA8AeE8CeB8JeT/IvhFNlB3hB5nB6?oBesBUrB,v115@PhA8AeB8AeA8DeA8AeE8CeB8JeT/IvhFNlBUhB6oBx?rBXsBGsB
ITLJSOZ,X,O,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,O,X
ITLJOZS,X,X,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,O
ITLSOJZ,X,X,X
ITLSOZJ,X,X,O
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,O
ITLZOJS,X,X,X
ITLZOSJ,X,X,O
ITLOJSZ,X,O,X
ITLOJZS,X,X,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,O
ITLOZJS,X,X,X
ITLOZSJ,X,X,O
ITJLSZO,X,X,X
ITJLSOZ,X,O,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,O,X
ITJLOZS,X,X,X
ITJSLZO,X,X,X
ITJSLOZ,X,O,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,O,X
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,O,X
ITJOLZS,X,X,X
ITJOSLZ,X,O,X
ITJOSZL,X,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,O
ITZLOJS,X,X,X
ITZLOSJ,X,X,O
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,O
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,O,X
ITOLJZS,X,X,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,O
ITOLZJS,X,X,X
ITOLZSJ,X,X,O
ITOJLSZ,X,O,X
ITOJLZS,X,X,X
ITOJSLZ,X,O,X
ITOJSZL,X,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,O
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,X,X,X
ILTJSOZ,X,O,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,O,X
ILTJOZS,X,X,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,O
ILTSOJZ,X,X,X
ILTSOZJ,X,X,O
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,O
ILTZOJS,X,X,X
ILTZOSJ,X,X,O
ILTOJSZ,X,O,X
ILTOJZS,X,X,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,O
ILTOZJS,X,X,X
ILTOZSJ,X,X,O
ILJTSZO,X,X,X
ILJTSOZ,X,O,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,O,X
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,X,O,X
ILJSZTO,X,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,O,X
ILJSOZT,X,X,X
ILJZTSO,O,X,X
ILJZTOS,O,X,X
ILJZSTO,X,X,X
ILJZSOT,X,X,X
ILJZOTS,O,X,X
ILJZOST,X,X,X
ILJOTSZ,X,O,X
ILJOTZS,X,X,X
ILJOSTZ,X,O,X
ILJOSZT,X,X,X
ILJOZTS,O,X,X
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,X,X,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,X,X
ILSZTJO,X,X,X
ILSZTOJ,X,X,X
ILSZJTO,X,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,X,X
ILSOZTJ,X,X,X
ILSOZJT,X,X,X
ILZTJSO,O,X,X
ILZTJOS,O,X,X
ILZTSJO,O,X,X
ILZTSOJ,O,X,O
ILZTOJS,O,X,X
ILZTOSJ,O,X,O
ILZJTSO,O,X,X
ILZJTOS,O,X,X
ILZJSTO,X,X,X
ILZJSOT,X,X,X
ILZJOTS,O,X,X
ILZJOST,X,X,X
ILZSTJO,X,X,X
ILZSTOJ,X,X,X
ILZSJTO,X,X,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
