sequence,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBGhBiiBU?mBFqBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBfmBiiBW?sBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8Jex/IvhFylBzhBOpB3?nBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFFgBiiBfqBz?lBWsB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFXhBzkBUnBG?rBFqBisB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JexAJvhFiiBlkBcqBT?mBOpBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFylBzhBWqB3?nB0rBFqB
IZTJOLS,O,O,O,X,X,X,O
IZTJOSL,O,O,O,X,O,X,X
IZTSLJO,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,O,X
IZTSJLO,O,O,X,X,X,X,X
IZTSJOL,O,O,X,X,O,X,X
IZTSOLJ,O,X,X,X,X,O,X
IZTSOJL,O,O,X,X,O,O,X
IZTOLJS,O,X,O,X,X,O,O
IZTOLSJ,O,X,X,X,X,O,X
IZTOJLS,O,O,O,X,X,O,O
IZTOJSL,O,O,O,X,O,X,X
IZTOSLJ,O,X,X,X,X,O,X
IZTOSJL,O,O,X,X,O,X,X
IZLTJSO,O,X,O,X,X,X,X
IZLTJOS,O,X,O,X,X,X,O
IZLTSJO,O,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,O,X
IZLTOJS,O,X,O,X,X,O,O
IZLTOSJ,O,X,X,X,X,O,X
IZLJTSO,O,O,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,O
IZLJSTO,O,O,X,X,X,X,X
IZLJSOT,X,X,O,O,O,X,O
IZLJOTS,O,X,O,X,X,X,O
IZLJOST,X,X,O,O,O,X,O
IZLSTJO,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,O,X
IZLSJTO,O,X,X,X,X,X,X
IZLSJOT,O,X,X,O,O,X,O
IZLSOTJ,O,X,X,X,X,O,X
IZLSOJT,O,X,X,X,O,O,O
IZLOTJS,O,X,O,X,X,O,O
IZLOTSJ,O,X,X,X,X,O,X
IZLOJTS,O,X,O,X,X,O,O
IZLOJST,X,X,O,X,O,X,O
IZLOSTJ,X,X,X,X,X,O,X
IZLOSJT,X,X,X,X,O,X,O
IZJTLSO,O,O,O,X,X,X,X
IZJTLOS,O,O,O,X,X,X,O
IZJTSLO,O,O,O,X,X,X,X
IZJTSOL,O,O,O,X,O,X,X
IZJTOLS,O,O,O,X,X,X,O
IZJTOSL,O,O,O,X,O,X,X
IZJLTSO,O,O,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,O
IZJLSTO,O,O,X,X,X,X,X
IZJLSOT,X,X,O,O,O,X,O
IZJLOTS,O,X,O,X,X,X,O
IZJLOST,X,X,O,O,O,X,O
IZJSTLO,O,O,X,X,X,X,X
IZJSTOL,O,O,X,X,O,X,X
IZJSLTO,O,O,X,X,X,X,X
IZJSLOT,O,X,O,O,O,X,O
IZJSOTL,O,X,X,O,O,X,X
IZJSOLT,O,X,O,O,O,X,O
IZJOTLS,O,X,O,X,X,X,O
IZJOTSL,O,X,O,X,O,X,X
IZJOLTS,O,X,O,X,X,X,O
IZJOLST,X,X,O,O,O,X,O
IZJOSTL,X,X,X,O,O,X,X
IZJOSLT,X,X,O,O,O,X,O
IZSTLJO,O,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X,X
IZSTJOL,O,O,X,X,O,X,X
IZSTOLJ,O,X,X,X,X,O,X
IZSTOJL,O,O,X,O,O,O,X
IZSLTJO,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,O,X
IZSLJTO,O,X,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,O
IZSLOTJ,O,X,X,X,X,O,X
IZSLOJT,O,X,X,X,O,O,O
IZSJTLO,O,O,X,X,X,X,X
IZSJTOL,O,O,X,X,O,X,X
IZSJLTO,O,O,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,O
IZSJOTL,O,X,X,O,O,X,X
IZSJOLT,O,X,X,O,O,X,O
IZSOTLJ,O,X,X,X,X,O,X
IZSOTJL,O,X,X,O,O,O,X
IZSOLTJ,O,X,X,X,X,O,X
IZSOLJT,O,X,X,X,O,O,O
IZSOJTL,O,X,X,O,O,O,X
IZSOJLT,O,X,X,O,O,O,O
IZOTLJS,O,X,O,X,X,O,O
IZOTLSJ,O,X,X,X,X,O,X
IZOTJLS,O,X,O,X,X,O,O
IZOTJSL,O,X,O,X,O,X,X
IZOTSLJ,O,X,X,X,X,O,X
IZOTSJL,O,X,X,X,O,X,X
IZOLTJS,O,X,O,X,X,O,O
IZOLTSJ,O,X,X,X,X,O,X
IZOLJTS,O,X,O,X,X,O,O
IZOLJST,X,X,O,X,O,X,O
IZOLSTJ,X,X,X,X,X,O,X
IZOLSJT,X,X,X,X,O,X,O
IZOJTLS,O,X,O,X,X,O,O
IZOJTSL,O,X,O,X,O,X,X
IZOJLTS,O,X,O,X,X,O,O
IZOJLST,X,X,O,O,O,X,O
IZOJSTL,X,X,X,O,O,X,X
IZOJSLT,X,X,O,O,O,X,O
IZOSTLJ,O,X,X,X,X,O,X
IZOSTJL,O,X,X,O,O,X,X
IZOSLTJ,O,X,X,X,X,O,X
IZOSLJT,O,X,X,X,O,X,O
IZOSJTL,O,X,X,O,O,X,X
IZOSJLT,O,X,X,O,O,X,O
IOTLJSZ,O,O,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,X
IOTLZJS,O,X,X,X,X,O,X
IOTLZSJ,O,X,X,X,X,O,X
IOTJLSZ,O,O,X,O,X,X,X
IOTJLZS,O,O,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X
IOTJSZL,O,O,X,O,O,X,X
IOTJZLS,O,O,X,X,X,X,X
IOTJZSL,O,O,X,X,O,X,X
IOTSLJZ,O,O,X,O,X,X,X
IOTSLZJ,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X
IOTSJZL,O,O,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X
IOTZLJS,O,X,X,X,X,O,X
IOTZLSJ,O,X,X,X,X,O,X
IOTZJLS,O,O,X,X,X,O,X
IOTZJSL,O,O,X,X,O,X,X
IOTZSLJ,O,X,X,X,X,O,X
IOTZSJL,O,O,X,X,O,X,X
IOLTJSZ,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,O,X
IOLTZSJ,O,X,X,X,X,O,X
IOLJTSZ,X,O,X,O,X,X,X
IOLJTZS,X,O,X,X,X,X,X
IOLJSTZ,X,O,X,O,X,X,X
IOLJSZT,X,X,X,O,O,X,X
IOLJZTS,X,X,X,X,X,O,X
IOLJZST,X,X,X,O,O,X,X
IOLSTJZ,O,X,X,O,X,X,X
IOLSTZJ,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X
IOLSJZT,X,X,X,O,X,X,X
IOLSZTJ,O,X,X,X,X,O,X
IOLSZJT,O,X,X,X,X,X,X
IOLZTJS,O,X,X,X,X,O,X
IOLZTSJ,O,X,X,X,X,O,X
IOLZJTS,O,X,X,X,X,O,X
IOLZJST,X,X,X,X,O,X,X
IOLZSTJ,X,X,X,X,X,O,X
IOLZSJT,X,X,X,X,O,X,X
IOJTLSZ,X,O,X,O,X,X,X
IOJTLZS,X,O,X,X,X,X,X
IOJTSLZ,X,O,X,O,X,X,X
IOJTSZL,X,O,X,O,O,X,X
IOJTZLS,X,O,X,X,X,X,X
IOJTZSL,X,O,X,X,O,X,X
IOJLTSZ,X,O,X,O,X,X,X
IOJLTZS,X,O,X,X,X,X,X
IOJLSTZ,X,O,X,O,X,X,X
IOJLSZT,X,X,X,O,O,X,X
IOJLZTS,X,X,X,X,X,O,O
IOJLZST,X,X,X,O,O,X,O
IOJSTLZ,X,O,X,O,X,X,X
IOJSTZL,X,O,X,O,O,X,X
IOJSLTZ,X,O,X,O,X,X,X
IOJSLZT,X,X,X,O,O,X,X
IOJSZTL,X,X,X,O,O,X,X
IOJSZLT,X,X,X,O,O,X,X
IOJZTLS,X,X,X,X,X,O,O
IOJZTSL,X,X,X,X,O,X,X
IOJZLTS,X,X,X,X,X,O,O
IOJZLST,X,X,X,O,O,X,O
IOJZSTL,X,X,X,O,O,X,X
IOJZSLT,X,X,X,O,O,X,O
IOSTLJZ,O,O,X,O,X,X,X
IOSTLZJ,O,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X
IOSTJZL,O,O,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X
IOSLTJZ,O,X,X,O,X,X,X
IOSLTZJ,O,X,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,X
IOSLJZT,X,X,X,O,X,X,X
IOSLZTJ,O,X,X,X,X,O,X
IOSLZJT,O,X,X,X,X,X,X
IOSJTLZ,X,O,X,O,X,X,X
IOSJTZL,X,O,X,O,O,X,X
IOSJLTZ,X,O,X,O,X,X,X
IOSJLZT,X,X,X,O,O,X,X
IOSJZTL,X,X,X,O,O,X,X
IOSJZLT,X,X,X,O,O,X,X
IOSZTLJ,O,X,X,X,X,O,X
IOSZTJL,O,X,X,O,O,X,X
IOSZLTJ,O,X,X,X,X,O,X
IOSZLJT,O,X,X,X,O,X,X
IOSZJTL,O,X,X,O,O,X,X
IOSZJLT,O,X,X,O,O,X,X
IOZTLJS,O,X,X,X,X,O,O
IOZTLSJ,O,X,X,X,X,O,X
IOZTJLS,O,X,X,X,X,O,O
IOZTJSL,O,X,X,X,O,X,X
IOZTSLJ,O,X,X,X,X,O,X
IOZTSJL,O,X,X,X,O,X,X
IOZLTJS,O,X,X,X,X,O,O
IOZLTSJ,O,X,X,X,X,O,X
IOZLJTS,O,X,X,X,X,O,O
IOZLJST,X,X,X,X,O,X,O
IOZLSTJ,X,X,X,X,X,O,X
IOZLSJT,X,X,X,X,O,X,O
IOZJTLS,O,X,X,X,X,O,O
IOZJTSL,O,X,X,X,O,X,X
IOZJLTS,O,X,X,X,X,O,O
IOZJLST,X,X,X,O,O,X,O
IOZJSTL,X,X,X,O,O,X,X
IOZJSLT,X,X,X,O,O,X,O
IOZSTLJ,O,X,X,X,X,O,X
IOZSTJL,O,X,X,O,O,X,X
IOZSLTJ,O,X,X,X,X,O,X
IOZSLJT,O,X,X,X,O,X,O
IOZSJTL,O,X,X,O,O,X,X
IOZSJLT,O,X,X,O,O,X,O
LTIJSZO,O,O,O,X,X,X,X
LTIJSOZ,O,O,X,O,X,X,X
LTIJZSO,O,O,O,X,X,X,X
LTIJZOS,O,O,O,X,X,X,X
LTIJOSZ,O,O,X,O,X,X,X
LTIJOZS,O,O,O,X,X,X,X
LTISJZO,O,O,X,X,X,X,X
LTISJOZ,O,O,X,O,X,X,X
LTISZJO,O,X,X,X,X,X,X
LTISZOJ,O,X,X,X,X,X,X
LTISOJZ,O,O,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X
LTIZJSO,O,X,O,X,X,X,X
LTIZJOS,O,X,O,X,X,X,X
LTIZSJO,O,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,X,X
LTIZOJS,O,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X
LTIOJSZ,O,O,X,X,X,X,X
LTIOJZS,O,O,X,X,X,X,X
LTIOSJZ,O,O,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X
LTJISZO,O,O,O,X,X,X,X
LTJISOZ,O,O,X,O,X,X,X
LTJIZSO,O,O,O,X,X,X,X
LTJIZOS,O,O,O,X,X,X,X
LTJIOSZ,O,O,X,O,X,X,X
LTJIOZS,O,O,O,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X
LTJSIOZ,O,O,X,O,X,X,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,O,O,X,O,X,X,X
LTJSOZI,O,O,X,O,X,X,X
LTJZISO,O,O,O,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,O,O,X,X,X,X
LTJZOSI,O,O,O,X,X,X,X
LTJOISZ,O,O,X,O,X,X,X
LTJOIZS,O,O,O,X,X,X,X
LTJOSIZ,O,O,X,O,X,X,X
LTJOSZI,O,O,X,O,X,X,X
LTJOZIS,O,O,O,X,X,X,X
LTJOZSI,O,O,O,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X
LTSIZJO,O,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,O,O,X,O,X,X,X
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X
LTSJOIZ,O,O,X,O,X,X,X
LTSJOZI,O,O,X,O,X,X,X
LTSZIJO,O,X,X,X,X,X,X
LTSZIOJ,O,X,X,X,X,O,X
LTSZJIO,O,X,O,X,X,X,X
LTSZJOI,O,X,O,X,X,O,X
LTSZOIJ,O,X,X,X,X,O,X
LTSZOJI,O,X,O,X,X,O,X
LTSOIJZ,O,O,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,O,X
LTSOJIZ,O,O,X,X,X,X,X
LTSOJZI,O,O,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,O,X
LTSOZJI,O,X,X,X,X,O,X
LTZIJSO,O,X,O,X,X,X,X
LTZIJOS,O,X,O,X,X,X,X
LTZISJO,O,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,O,X
LTZIOJS,O,X,O,X,X,O,X
LTZIOSJ,O,X,X,X,X,O,X
LTZJISO,O,X,O,X,X,X,X
LTZJIOS,O,X,O,X,X,X,X
LTZJSIO,O,X,O,X,X,X,X
LTZJSOI,O,X,O,X,X,O,X
LTZJOIS,O,X,O,X,X,O,X
LTZJOSI,O,X,O,X,X,O,X
LTZSIJO,O,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,O,X
LTZSJIO,O,X,O,X,X,X,X
LTZSJOI,O,X,O,X,X,O,X
LTZSOIJ,O,X,X,X,X,O,X
LTZSOJI,O,X,O,X,X,O,X
LTZOIJS,O,X,O,X,X,O,X
LTZOISJ,O,X,X,X,X,O,X
LTZOJIS,O,X,O,X,X,O,X
LTZOJSI,O,X,O,X,X,O,X
LTZOSIJ,O,X,X,X,X,O,X
LTZOSJI,O,X,O,X,X,O,X
LTOIJSZ,O,O,X,X,X,X,X
LTOIJZS,O,O,X,X,X,X,X
LTOISJZ,O,O,X,X,X,X,X
LTOISZJ,O,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,O,X
LTOIZSJ,O,X,X,X,X,O,X
LTOJISZ,O,O,X,X,X,X,X
LTOJIZS,O,O,O,X,X,X,X
LTOJSIZ,O,O,X,X,X,X,X
LTOJSZI,O,O,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X
LTOJZSI,O,O,O,X,X,X,X
LTOSIJZ,O,O,X,X,X,X,X
LTOSIZJ,O,X,X,X,X,X,X
LTOSJIZ,O,O,X,X,X,X,X
LTOSJZI,O,O,X,X,X,X,X
LTOSZIJ,O,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X
LTOZIJS,O,X,O,X,X,O,X
LTOZISJ,O,X,X,X,X,O,X
LTOZJIS,O,X,O,X,X,O,X
LTOZJSI,O,X,O,X,X,O,X
LTOZSIJ,O,X,X,X,X,O,X
LTOZSJI,O,X,O,X,X,O,X
LITJSZO,O,O,X,X,X,X,X
LITJSOZ,O,O,X,O,X,X,X
LITJZSO,O,O,X,X,X,X,X
LITJZOS,O,O,X,X,X,X,X
LITJOSZ,O,O,X,O,X,X,X
LITJOZS,O,O,X,X,X,X,X
LITSJZO,O,O,X,X,X,X,X
LITSJOZ,O,O,X,O,X,X,X
LITSZJO,O,X,X,X,X,X,X
LITSZOJ,O,X,X,X,X,X,X
LITSOJZ,O,O,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X
LITZJSO,O,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X
LITZSJO,O,X,X,X,X,X,X
LITZSOJ,O,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X
LITOJSZ,O,O,X,X,X,X,X
LITOJZS,O,O,X,X,X,X,X
LITOSJZ,O,O,X,X,X,X,X
LITOSZJ,O,X,X,X,X,X,X
LITOZJS,O,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,X
LIJTSZO,O,O,X,X,X,X,X
LIJTSOZ,O,O,X,O,X,X,X
LIJTZSO,O,O,X,X,X,X,X
LIJTZOS,O,O,X,X,X,X,O
LIJTOSZ,O,O,X,O,X,X,X
LIJTOZS,O,O,X,X,X,X,X
LIJSTZO,O,O,X,X,X,X,X
LIJSTOZ,O,O,X,O,X,X,X
LIJSZTO,O,O,X,X,X,X,X
LIJSZOT,O,X,X,O,O,X,O
LIJSOTZ,X,O,X,O,X,X,X
LIJSOZT,X,X,X,O,O,X,X
LIJZTSO,O,O,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X,O
LIJZSTO,O,O,X,X,X,X,X
LIJZSOT,X,X,X,O,O,X,O
LIJZOTS,O,X,X,X,X,X,O
LIJZOST,X,X,X,O,O,X,O
LIJOTSZ,X,O,X,O,X,X,X
LIJOTZS,X,O,X,X,X,X,X
LIJOSTZ,X,O,X,O,X,X,X
LIJOSZT,X,X,X,O,O,X,X
LIJOZTS,X,X,X,X,X,X,O
LIJOZST,X,X,X,O,O,X,O
LISTJZO,O,O,X,X,X,X,X
LISTJOZ,O,O,X,O,X,X,X
LISTZJO,O,X,X,X,X,X,X
LISTZOJ,O,X,X,X,X,X,X
LISTOJZ,O,O,X,O,X,X,X
LISTOZJ,O,X,X,X,X,X,X
LISJTZO,O,O,X,X,X,X,X
LISJTOZ,O,O,X,O,X,X,X
LISJZTO,O,O,X,X,X,X,X
LISJZOT,O,X,X,O,X,X,X
LISJOTZ,X,O,X,O,X,X,X
LISJOZT,X,X,X,O,X,X,X
LISZTJO,O,X,X,X,X,X,X
LISZTOJ,O,X,X,X,X,O,X
LISZJTO,O,X,X,X,X,X,X
LISZJOT,O,X,X,O,X,X,X
LISZOTJ,O,X,X,X,X,O,X
LISZOJT,O,X,X,X,X,O,X
LISOTJZ,O,X,X,O,X,X,X
LISOTZJ,O,X,X,X,X,O,X
LISOJTZ,X,X,X,O,X,X,X
LISOJZT,X,X,X,O,X,O,X
LISOZTJ,O,X,X,X,X,O,X
LISOZJT,O,X,X,X,X,O,X
LIZTJSO,O,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,O
LIZTSJO,O,X,X,X,X,X,X
LIZTSOJ,O,X,X,X,X,O,X
LIZTOJS,O,X,X,X,X,O,O
LIZTOSJ,O,X,X,X,X,O,X
LIZJTSO,O,O,X,X,X,X,X
LIZJTOS,O,O,X,X,X,X,O
LIZJSTO,O,O,X,X,X,X,X
LIZJSOT,X,X,X,O,O,X,O
LIZJOTS,O,X,X,X,X,X,O
LIZJOST,X,X,X,O,O,X,O
LIZSTJO,O,X,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,O,X
LIZSJTO,O,X,X,X,X,X,X
LIZSJOT,O,X,X,O,O,X,O
LIZSOTJ,O,X,X,X,X,O,X
LIZSOJT,O,X,X,X,O,O,O
LIZOTJS,O,X,X,X,X,O,O
LIZOTSJ,O,X,X,X,X,O,X
LIZOJTS,O,X,X,X,X,O,O
LIZOJST,X,X,X,X,O,X,O
LIZOSTJ,X,X,X,X,X,O,X
LIZOSJT,X,X,X,X,O,X,O
LIOTJSZ,O,X,X,X,X,X,X
LIOTJZS,O,X,X,X,X,X,X
LIOTSJZ,O,X,X,X,X,X,X
LIOTSZJ,O,X,X,X,X,X,X
LIOTZJS,O,X,X,X,X,O,X
LIOTZSJ,O,X,X,X,X,O,X
LIOJTSZ,X,O,X,O,X,X,X
LIOJTZS,X,O,X,X,X,X,X
LIOJSTZ,X,O,X,O,X,X,X
LIOJSZT,X,X,X,O,O,X,X
LIOJZTS,X,X,X,X,X,O,X
LIOJZST,X,X,X,O,O,X,X
LIOSTJZ,O,X,X,O,X,X,X
LIOSTZJ,O,X,X,X,X,X,X
LIOSJTZ,X,X,X,O,X,X,X
LIOSJZT,X,X,X,O,X,X,X
LIOSZTJ,O,X,X,X,X,O,X
LIOSZJT,O,X,X,X,X,X,X
LIOZTJS,O,X,X,X,X,O,X
LIOZTSJ,O,X,X,X,X,O,X
LIOZJTS,O,X,X,X,X,O,X
LIOZJST,X,X,X,X,O,X,X
LIOZSTJ,X,X,X,X,X,O,X
LIOZSJT,X,X,X,X,O,X,X
LJTISZO,O,O,O,X,X,X,X
LJTISOZ,O,O,X,O,X,X,X
LJTIZSO,O,O,O,X,X,X,X
LJTIZOS,O,O,O,X,X,X,O
LJTIOSZ,O,O,X,O,X,X,X
LJTIOZS,O,O,O,X,X,X,X
LJTSIZO,O,O,O,X,X,X,X
LJTSIOZ,O,O,X,O,X,X,X
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,O,X,X,X,X
LJTSOIZ,O,O,X,O,X,X,X
LJTSOZI,O,O,X,O,X,X,X
LJTZISO,O,O,O,X,X,X,X
LJTZIOS,O,O,O,X,X,X,O
LJTZSIO,O,O,O,X,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,O,O,O,X,X,X,O
LJTZOSI,O,O,O,X,X,X,X
LJTOISZ,O,O,X,O,X,X,X
LJTOIZS,O,O,O,X,X,X,X
LJTOSIZ,O,O,X,O,X,X,X
LJTOSZI,O,O,X,O,X,X,X
LJTOZIS,O,O,O,X,X,X,X
LJTOZSI,O,O,O,X,X,X,X
LJITSZO,O,O,O,X,X,X,X
LJITSOZ,O,O,X,O,X,X,X
LJITZSO,O,O,O,X,X,X,X
LJITZOS,O,O,O,X,X,X,O
LJITOSZ,O,O,X,O,X,X,X
LJITOZS,O,O,O,X,X,X,X
LJISTZO,O,O,X,X,X,X,X
LJISTOZ,O,O,X,O,X,X,X
LJISZTO,O,O,X,X,X,X,X
LJISZOT,O,X,X,O,O,X,O
LJISOTZ,X,O,X,O,X,X,X
LJISOZT,X,X,X,O,O,X,X
LJIZTSO,O,O,X,X,X,X,X
LJIZTOS,O,O,O,X,X,X,O
LJIZSTO,O,O,X,X,X,X,X
LJIZSOT,X,X,O,O,O,X,O
LJIZOTS,O,X,O,X,X,X,O
LJIZOST,X,X,O,O,O,X,O
LJIOTSZ,X,O,X,O,X,X,X
LJIOTZS,X,O,X,X,X,X,X
LJIOSTZ,X,O,X,O,X,X,X
LJIOSZT,X,X,X,O,O,X,X
LJIOZTS,X,X,X,X,X,X,O
LJIOZST,X,X,X,O,O,X,O
LJSTIZO,O,O,X,X,X,X,X
LJSTIOZ,O,O,X,O,X,X,X
LJSTZIO,O,O,X,X,X,X,X
LJSTZOI,O,O,X,X,X,X,X
LJSTOIZ,O,O,X,O,X,X,X
LJSTOZI,O,O,X,O,X,X,X
LJSITZO,O,O,X,X,X,X,X
LJSITOZ,O,O,X,O,X,X,X
LJSIZTO,O,O,X,X,X,X,X
LJSIZOT,O,X,X,O,O,X,O
LJSIOTZ,X,O,X,O,X,X,X
LJSIOZT,X,X,X,O,O,X,X
LJSZTIO,O,O,X,X,X,X,X
LJSZTOI,O,O,X,X,X,O,X
LJSZITO,O,O,X,X,X,X,X
LJSZIOT,O,X,X,O,O,X,O
LJSZOTI,O,X,X,O,X,O,X
LJSZOIT,O,X,X,O,O,O,O
LJSOTIZ,X,O,X,O,X,X,X
LJSOTZI,X,O,X,O,X,X,X
LJSOITZ,X,O,X,O,X,X,X
LJSOIZT,X,X,X,O,O,O,X
LJSOZTI,X,X,X,O,X,O,X
LJSOZIT,X,X,X,O,O,O,X
LJZTISO,O,O,O,X,X,X,X
LJZTIOS,O,O,O,X,X,X,O
LJZTSIO,O,O,O,X,X,X,X
LJZTSOI,O,O,O,X,X,O,X
LJZTOIS,O,O,O,X,X,O,O
LJZTOSI,O,O,O,X,X,O,X
LJZITSO,O,O,X,X,X,X,X
LJZITOS,O,O,O,X,X,X,O
LJZISTO,O,O,X,X,X,X,X
LJZISOT,X,X,O,O,O,X,O
LJZIOTS,O,X,O,X,X,X,O
LJZIOST,X,X,O,O,O,X,O
LJZSTIO,O,O,X,X,X,X,X
LJZSTOI,O,O,X,X,X,O,X
LJZSITO,O,O,X,X,X,X,X
LJZSIOT,X,X,O,O,O,X,O
LJZSOTI,X,X,O,O,X,O,X
LJZSOIT,X,X,O,O,O,O,O
LJZOTIS,O,X,O,X,X,O,O
LJZOTSI,O,X,O,X,X,O,X
LJZOITS,O,X,O,X,X,O,O
LJZOIST,X,X,O,O,O,X,O
LJZOSTI,X,X,O,O,X,X,X
LJZOSIT,X,X,O,O,O,X,O
LJOTISZ,X,O,X,O,X,X,X
LJOTIZS,X,O,X,X,X,X,X
LJOTSIZ,X,O,X,O,X,X,X
LJOTSZI,X,O,X,O,X,X,X
LJOTZIS,X,O,X,X,X,X,X
LJOTZSI,X,O,X,X,X,X,X
LJOITSZ,X,O,X,O,X,X,X
LJOITZS,X,O,X,X,X,X,X
LJOISTZ,X,O,X,O,X,X,X
LJOISZT,X,X,X,O,O,X,X
LJOIZTS,X,X,X,X,X,O,O
LJOIZST,X,X,X,O,O,X,O
LJOSTIZ,X,O,X,O,X,X,X
LJOSTZI,X,O,X,O,X,X,X
LJOSITZ,X,O,X,O,X,X,X
LJOSIZT,X,X,X,O,O,X,X
LJOSZTI,X,X,X,O,X,X,X
LJOSZIT,X,X,X,O,O,X,X
LJOZTIS,X,X,X,X,X,O,O
LJOZTSI,X,X,X,X,X,O,X
LJOZITS,X,X,X,X,X,O,O
LJOZIST,X,X,X,O,O,X,O
LJOZSTI,X,X,X,O,X,X,X
LJOZSIT,X,X,X,O,O,X,O
LSTIJZO,O,O,X,X,X,X,X
LSTIJOZ,O,O,X,O,X,X,X
LSTIZJO,O,X,X,X,X,X,X
LSTIZOJ,O,X,X,X,X,X,X
LSTIOJZ,O,O,X,O,X,X,X
LSTIOZJ,O,X,X,X,X,X,X
LSTJIZO,O,O,X,X,X,X,X
LSTJIOZ,O,O,X,O,X,X,X
LSTJZIO,O,O,X,X,X,X,X
LSTJZOI,O,O,X,X,X,X,X
LSTJOIZ,O,O,X,O,X,X,X
LSTJOZI,O,O,X,O,X,X,X
LSTZIJO,O,X,X,X,X,X,X
LSTZIOJ,O,X,X,X,X,O,X
LSTZJIO,O,X,X,X,X,X,X
LSTZJOI,O,X,X,X,X,O,X
LSTZOIJ,O,X,X,X,X,O,X
LSTZOJI,O,X,X,X,X,O,X
LSTOIJZ,O,O,X,O,X,X,X
LSTOIZJ,O,X,X,X,X,O,X
LSTOJIZ,O,O,X,O,X,X,X
LSTOJZI,O,O,X,O,X,X,X
LSTOZIJ,O,X,X,X,X,O,X
LSTOZJI,O,X,X,X,X,O,X
LSITJZO,O,O,X,X,X,X,X
