sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TZJLISO,O,O,O,O,X,X
TZJLIOS,O,O,O,O,X,X
TZJLSIO,O,O,O,O,X,X
TZJLSOI,O,O,O,O,X,X
TZJLOIS,O,O,O,O,X,X
TZJLOSI,O,O,O,O,X,X
TZJSILO,X,O,O,O,X,X
TZJSIOL,X,O,O,O,X,O
TZJSLIO,X,O,O,O,X,X
TZJSLOI,X,O,O,O,X,X
TZJSOIL,X,O,O,O,X,O
TZJSOLI,X,O,O,O,X,X
TZJOILS,O,O,O,O,X,X
TZJOISL,O,O,O,O,X,O
TZJOLIS,O,O,O,O,X,X
TZJOLSI,O,O,O,O,X,X
TZJOSIL,O,O,O,O,X,O
TZJOSLI,O,O,O,O,X,X
TZSILJO,X,O,O,O,X,X
TZSILOJ,X,O,O,O,X,X
TZSIJLO,X,O,O,O,X,X
TZSIJOL,X,O,O,O,X,O
TZSIOLJ,O,O,O,O,X,X
TZSIOJL,O,O,O,X,X,O
TZSLIJO,X,O,O,O,X,X
TZSLIOJ,X,O,O,O,X,X
TZSLJIO,X,O,O,O,X,X
TZSLJOI,X,O,O,O,X,X
TZSLOIJ,X,O,O,O,X,X
TZSLOJI,X,O,O,O,X,X
TZSJILO,X,O,O,O,X,X
TZSJIOL,X,O,O,O,X,O
TZSJLIO,X,O,O,O,X,X
TZSJLOI,X,O,O,O,X,X
TZSJOIL,X,O,O,O,X,O
TZSJOLI,X,O,O,O,X,X
TZSOILJ,O,O,O,O,X,X
TZSOIJL,O,O,O,O,X,O
TZSOLIJ,O,O,O,O,X,X
TZSOLJI,O,O,O,O,X,X
TZSOJIL,O,O,O,O,X,O
TZSOJLI,O,O,O,O,X,X
TZOILJS,O,O,O,O,X,X
TZOILSJ,O,O,O,O,X,X
TZOIJLS,O,O,O,O,X,X
TZOIJSL,O,O,O,O,X,O
TZOISLJ,O,O,O,O,X,X
TZOISJL,O,O,O,O,X,O
TZOLIJS,O,O,O,O,X,X
TZOLISJ,O,O,O,O,X,X
TZOLJIS,O,O,O,O,X,X
TZOLJSI,O,O,O,O,X,X
TZOLSIJ,O,O,O,O,X,X
TZOLSJI,O,O,O,O,X,X
TZOJILS,O,O,O,O,X,X
TZOJISL,O,O,O,O,X,O
TZOJLIS,O,O,O,O,X,X
TZOJLSI,O,O,O,O,X,X
TZOJSIL,O,O,O,O,X,O
TZOJSLI,O,O,O,O,X,X
TZOSILJ,O,O,O,O,X,X
TZOSIJL,O,O,O,O,X,O
TZOSLIJ,O,O,O,O,X,X
TZOSLJI,O,O,O,O,X,X
TZOSJIL,O,O,O,O,X,O
TZOSJLI,O,O,O,O,X,X
TOILJSZ,O,X,X,X,O,O
TOILJZS,O,X,X,X,O,X
TOILSJZ,O,X,X,X,O,O
TOILSZJ,O,X,X,O,O,X
TOILZJS,O,X,X,O,O,X
TOILZSJ,O,X,X,O,O,X
TOIJLSZ,O,X,X,O,X,O
TOIJLZS,O,X,X,O,X,X
TOIJSLZ,O,X,X,O,X,O
TOIJSZL,O,X,O,O,X,O
TOIJZLS,O,X,O,O,X,X
TOIJZSL,O,X,O,O,X,O
TOISLJZ,O,X,X,X,O,O
TOISLZJ,O,X,X,O,O,X
TOISJLZ,O,X,X,O,X,O
TOISJZL,O,X,O,O,X,O
