sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
JLOSTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JLOSTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JLOSITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JLOSIZT,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JLOSZTI,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JLOSZIT,O,X,X,X,X,O,X,X,O,O,X,O,X,X
JLOZTIS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JLOZTSI,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JLOZITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JLOZIST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JLOZSTI,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JLOZSIT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JSTILZO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JSTILOZ,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JSTIZLO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JSTIZOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTIOLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
JSTIOZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTLIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSTLIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSTLZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSTLZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSTLOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSTLOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSTZILO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JSTZIOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTZLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JSTZLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTZOIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTZOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTOILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
JSTOIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTOLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
JSTOLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
JSTOZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSTOZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSITLZO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JSITLOZ,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JSITZLO,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JSITZOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSITOLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
JSITOZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSILTZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSILTOZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSILZTO,X,X,O,X,X,X,X,X,O,O,X,O,X,X
JSILZOT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSILOTZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSILOZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSIZTLO,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSIZTOL,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JSIZLTO,X,X,X,X,X,O,X,X,O,X,X,O,X,X
JSIZLOT,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSIZOTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSIZOLT,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSIOTLZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSIOTZL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSIOLTZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSIOLZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JSIOZTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSIOZLT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
JSLTIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSLTIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLTZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSLTZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLTOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLTOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLITZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSLITOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLIZTO,O,X,O,X,X,X,X,X,O,O,X,O,X,X
JSLIZOT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLIOTZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSLIOZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLZTIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSLZTOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLZITO,O,X,O,X,X,O,X,X,O,O,X,O,X,X
JSLZIOT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JSLZOTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JSLZOIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JSLOTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLOTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JSLOITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSLOIZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLOZTI,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JSLOZIT,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JSZTILO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JSZTIOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSZTLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JSZTLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSZTOIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSZTOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSZITLO,O,X,X,X,X,O,O,X,X,X,X,O,X,X
JSZITOL,O,X,X,X,X,O,O,O,X,X,X,O,X,X
JSZILTO,O,X,X,X,X,O,O,X,O,X,X,O,X,X
JSZILOT,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZIOTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZIOLT,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZLTIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JSZLTOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JSZLITO,O,X,X,X,X,O,O,X,O,X,X,O,X,X
JSZLIOT,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZLOTI,O,X,X,X,X,O,O,X,X,X,X,O,X,X
JSZLOIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZOTIL,O,X,X,X,X,O,O,O,X,X,X,O,X,X
JSZOTLI,O,X,X,X,X,O,O,O,X,X,X,O,X,X
JSZOITL,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZOILT,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSZOLTI,O,X,X,X,X,O,O,X,X,X,X,O,X,X
JSZOLIT,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSOTILZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOTIZL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOTLIZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSOTLZI,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSOTZIL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOTZLI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOITLZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOITZL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOILTZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSOILZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOIZTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JSOIZLT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
JSOLTIZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSOLTZI,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSOLITZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSOLIZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOLZTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOLZIT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JSOZTIL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOZTLI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOZITL,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSOZILT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JSOZLTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JSOZLIT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JZTILSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
JZTILOS,O,O,X,O,X,X,O,O,X,O,O,O,X,X
JZTISLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
JZTISOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZTIOLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
JZTIOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZTLISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
JZTLIOS,O,O,O,O,X,X,O,O,X,O,O,O,X,X
JZTLSIO,O,O,O,X,X,X,O,X,X,O,X,O,X,X
JZTLSOI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
JZTLOIS,O,O,O,O,O,X,O,O,X,O,O,O,X,X
JZTLOSI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
JZTSILO,O,O,X,O,X,X,O,X,X,X,X,O,X,X
JZTSIOL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
JZTSLIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JZTSLOI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JZTSOIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
JZTSOLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JZTOILS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
JZTOISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZTOLIS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
JZTOLSI,O,O,O,X,O,X,O,O,X,X,X,O,X,X
JZTOSIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
JZTOSLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JZITLSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
JZITLOS,O,O,X,O,X,X,O,O,X,O,O,X,X,X
JZITSLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
JZITSOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZITOLS,O,O,X,O,O,X,O,O,X,X,O,X,X,X
JZITOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZILTSO,O,O,O,O,X,X,X,X,X,O,O,X,X,X
JZILTOS,O,O,O,O,X,X,X,O,X,O,O,X,X,X
JZILSTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZILSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILOTS,O,O,O,O,X,X,X,X,X,O,O,X,X,X
JZILOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZISTLO,X,X,X,O,X,X,O,X,X,X,O,X,X,X
JZISTOL,X,X,X,O,X,X,O,O,X,X,O,X,X,X
JZISLTO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZISLOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZISOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZISOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZIOTLS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JZIOTSL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JZIOLTS,O,O,O,O,X,X,X,X,X,X,O,X,X,X
JZIOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZIOSLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLTISO,O,O,O,O,X,X,O,X,X,O,X,X,X,X
JZLTIOS,O,O,O,O,X,X,O,O,X,O,X,O,X,X
JZLTSIO,O,O,O,X,X,X,O,X,X,O,X,O,X,X
JZLTSOI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
JZLTOIS,O,O,O,O,O,X,O,O,X,O,X,O,X,X
JZLTOSI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
JZLITSO,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JZLITOS,O,O,O,O,X,X,X,O,X,O,X,X,X,X
JZLISTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JZLISOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLIOTS,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JZLIOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSTIO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JZLSTOI,X,X,O,X,O,X,O,O,X,O,X,O,X,X
JZLSITO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
JZLSIOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZLSOTI,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JZLSOIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZLOTIS,O,O,O,X,X,X,X,X,X,O,X,O,X,X
JZLOTSI,O,O,O,X,X,X,X,X,X,O,X,O,X,X
JZLOITS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLOIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOSTI,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZLOSIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JZSTILO,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JZSTIOL,O,X,X,O,X,X,O,O,X,X,X,O,X,X
JZSTLIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZSTLOI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZSTOIL,O,X,X,O,X,X,O,O,X,X,X,O,X,X
JZSTOLI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZSITLO,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JZSITOL,O,X,X,O,X,X,O,O,X,X,X,O,X,X
JZSILTO,O,X,X,O,X,X,O,X,X,X,X,O,X,X
JZSILOT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSIOTL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZSIOLT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSLTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZSLTOI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZSLITO,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZSLIOT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSLOTI,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZSLOIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSOTIL,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZSOTLI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZSOITL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JZSOILT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZSOLTI,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZSOLIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZOTILS,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JZOTISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JZOTLIS,O,O,O,O,X,X,O,O,X,X,O,O,X,X
JZOTLSI,O,O,O,X,X,X,O,O,X,X,X,O,X,X
JZOTSIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
JZOTSLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JZOITLS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JZOITSL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JZOILTS,O,O,O,O,X,X,X,X,X,X,O,X,X,X
JZOILST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOISLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZOLTIS,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOLTSI,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOLITS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOLSIT,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOSTIL,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZOSTLI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
JZOSITL,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOSILT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JZOSLTI,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZOSLIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JOTILSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
JOTILZS,X,O,O,O,O,O,O,O,X,O,O,O,X,X
JOTISLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
JOTISZL,O,O,X,X,X,O,O,O,X,X,O,O,X,X
JOTIZLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
JOTIZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JOTLISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
JOTLIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
JOTLSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOTLSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOTLZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
JOTLZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
JOTSILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
JOTSIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JOTSLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
JOTSLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
JOTSZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JOTSZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JOTZILS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
JOTZISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JOTZLIS,O,O,O,O,O,O,O,O,X,X,O,O,X,X
JOTZLSI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
JOTZSIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
JOTZSLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JOITLSZ,X,O,O,X,O,X,X,X,X,O,X,O,X,X
JOITLZS,X,O,O,O,O,X,O,O,X,O,O,O,X,X
JOITSLZ,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JOITSZL,O,O,X,X,X,X,O,O,X,X,O,O,X,X
JOITZLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
JOITZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JOILTSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOILTZS,X,O,O,O,X,X,X,X,X,O,O,O,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOILSZT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOILZTS,X,O,O,O,X,X,X,X,X,O,O,X,X,X
JOILZST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOISTLZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JOISTZL,O,O,X,X,X,X,X,X,X,X,O,O,X,X
JOISLTZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JOISLZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JOISZTL,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JOISZLT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOIZTLS,X,O,X,O,X,X,X,O,X,X,O,X,X,X
JOIZTSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X
JOIZLTS,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JOIZLST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOIZSLT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLTIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLTSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLTSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLTZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLTZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLITSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X
JOLITZS,X,O,O,X,X,O,X,X,X,O,X,O,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOLISZT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOLIZTS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLIZST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLSTIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLSTZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
JOLSITZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JOLSIZT,O,X,X,X,X,X,X,X,O,O,X,O,X,X
JOLSZTI,O,O,X,X,X,O,X,X,X,O,X,O,X,X
JOLSZIT,O,X,X,X,X,O,X,X,O,O,X,O,X,X
JOLZTIS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOLZTSI,X,O,O,X,X,X,X,X,X,O,X,O,X,X
JOLZITS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLZIST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLZSTI,X,O,X,X,X,X,X,X,X,O,X,O,X,X
JOLZSIT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOSTILZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSTIZL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSTLIZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOSTLZI,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOSTZIL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSTZLI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSITLZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSITZL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSILTZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOSILZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JOSIZTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOSIZLT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
JOSLTIZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOSLTZI,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOSLITZ,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOSLIZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JOSLZTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSLZIT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JOSZTIL,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSZTLI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSZITL,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JOSZILT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JOSZLTI,O,O,X,X,X,O,X,X,X,X,X,O,X,X
JOSZLIT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
JOZTILS,O,O,X,O,X,X,O,O,X,X,O,O,X,X
JOZTISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
JOZTLIS,O,O,O,O,X,X,O,O,X,X,O,O,X,X
JOZTLSI,O,O,O,X,X,X,O,O,X,X,X,O,X,X
JOZTSIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
JOZTSLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JOZITLS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JOZITSL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JOZILTS,O,O,O,O,X,X,X,X,X,X,O,X,X,X
JOZILST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZISTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZISLT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZLTIS,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JOZLTSI,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JOZLITS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZLSTI,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOZLSIT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JOZSTIL,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JOZSTLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
JOZSITL,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOZSILT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
