sequence,v115@FhB8IeA8GeC8CeA8AeE8JeZEJvhFFgBXhB0iBqpBzm?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBOpBzp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iB6pBOp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JemAJvhFfnB0iBxkBTkByu?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iBOpB6p?BFrB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFXhB0iBikBzmB1u?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBmpBFr?BTpB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFFhB0iBOpBfrBzm?B6pB,v115@FhB8IeA8GeC8CeA8AeE8Jei/IvhFcpBeqBzlBRnBXn?BFrB
IJSLZOT,O,X,X,X,X,O,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,O,X
IJSLOZT,O,X,X,X,X,X,X,O,X
IJSZTLO,X,O,O,X,O,O,O,X,X
IJSZTOL,X,O,O,X,O,O,O,X,X
IJSZLTO,O,X,O,X,O,O,X,X,X
IJSZLOT,O,X,X,X,X,O,X,X,O
IJSZOTL,X,X,X,X,O,O,X,O,X
IJSZOLT,X,X,X,X,X,O,X,O,O
IJSOTLZ,X,X,X,X,O,X,X,O,X
IJSOTZL,X,X,X,X,O,X,X,O,X
IJSOLTZ,X,X,X,X,X,X,X,O,X
IJSOLZT,X,X,X,X,X,X,X,O,X
IJSOZTL,X,X,X,X,O,O,X,O,X
IJSOZLT,X,X,X,X,X,O,X,O,O
IJZTLSO,X,O,X,X,X,O,X,X,X
IJZTLOS,X,X,X,X,X,O,X,X,O
IJZTSLO,X,O,X,X,O,O,X,X,X
IJZTSOL,X,O,X,X,O,O,X,X,X
IJZTOLS,X,X,X,X,X,X,X,X,O
IJZTOSL,X,X,X,X,O,X,X,O,X
IJZLTSO,O,X,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,O
IJZLSTO,O,X,O,X,O,X,X,X,X
IJZLSOT,O,X,X,X,X,X,X,X,O
IJZLOTS,O,X,X,X,X,X,X,X,O
IJZLOST,O,X,X,X,X,X,X,O,O
IJZSTLO,X,O,O,X,O,O,O,X,X
IJZSTOL,X,O,O,X,O,O,O,X,X
IJZSLTO,O,X,O,X,O,O,X,X,X
IJZSLOT,O,X,X,X,X,O,X,X,O
IJZSOTL,X,X,X,X,O,O,X,O,X
IJZSOLT,X,X,X,X,X,O,X,O,O
IJZOTLS,X,X,X,X,X,X,X,X,O
IJZOTSL,X,X,X,X,X,X,X,O,X
IJZOLTS,O,X,X,X,X,X,X,X,O
IJZOLST,O,X,X,X,X,X,X,O,O
IJZOSTL,O,X,X,X,O,X,X,O,X
IJZOSLT,O,X,X,X,X,X,X,O,O
IJOTLSZ,X,O,X,X,O,O,X,X,X
IJOTLZS,X,X,X,X,X,O,X,X,X
IJOTSLZ,X,O,X,X,O,O,X,O,X
IJOTSZL,X,O,X,X,O,O,X,O,X
IJOTZLS,X,X,X,X,X,O,X,X,O
IJOTZSL,X,X,X,X,O,O,X,O,X
IJOLTSZ,O,X,X,X,X,X,X,X,X
IJOLTZS,O,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,O,X
IJOLSZT,O,X,X,X,X,X,X,O,X
IJOLZTS,O,X,X,X,X,X,X,X,O
IJOLZST,O,X,X,X,X,X,X,O,O
IJOSTLZ,X,X,X,X,O,O,X,O,X
IJOSTZL,O,X,X,X,O,O,X,O,X
IJOSLTZ,O,X,X,X,X,X,X,O,X
IJOSLZT,O,X,X,X,X,O,X,O,X
IJOSZTL,O,X,X,X,O,O,X,O,X
IJOSZLT,O,X,X,X,X,O,X,O,O
IJOZTLS,X,X,X,X,X,O,X,X,O
IJOZTSL,X,X,X,X,X,O,X,O,X
IJOZLTS,O,X,X,X,X,X,X,X,O
IJOZLST,O,X,X,X,X,X,X,O,O
IJOZSTL,O,X,X,X,O,O,X,O,X
IJOZSLT,O,X,X,X,X,O,X,O,O
ISTLJZO,X,O,O,O,O,X,O,X,X
ISTLJOZ,X,O,O,O,O,X,O,X,X
ISTLZJO,X,O,O,O,O,X,O,X,X
ISTLZOJ,X,O,O,O,O,X,O,X,X
ISTLOJZ,X,O,O,O,O,X,X,X,X
ISTLOZJ,X,O,O,O,O,X,O,X,X
ISTJLZO,X,O,O,O,O,X,O,X,X
ISTJLOZ,X,O,O,O,O,X,O,X,X
ISTJZLO,X,O,O,O,O,X,O,X,X
ISTJZOL,X,O,O,O,O,X,O,X,X
ISTJOLZ,X,O,O,X,O,X,O,O,X
ISTJOZL,X,O,O,O,O,X,O,O,X
ISTZLJO,X,O,O,O,O,X,O,X,X
ISTZLOJ,X,O,O,O,O,X,O,X,X
ISTZJLO,X,O,O,O,O,X,O,X,X
ISTZJOL,X,O,O,O,O,X,O,X,X
ISTZOLJ,X,O,O,X,O,X,X,X,X
ISTZOJL,X,O,O,O,O,X,X,X,X
ISTOLJZ,X,O,O,X,O,X,X,O,X
ISTOLZJ,X,O,O,X,O,X,X,O,X
ISTOJLZ,X,O,O,X,O,X,X,O,X
ISTOJZL,X,O,O,O,O,X,X,O,X
ISTOZLJ,X,O,O,X,O,X,X,O,X
ISTOZJL,X,O,O,O,O,X,X,O,X
ISLTJZO,X,X,O,O,O,X,X,X,X
ISLTJOZ,X,X,O,O,O,X,X,X,X
ISLTZJO,X,X,O,O,O,X,X,X,X
ISLTZOJ,O,X,O,O,O,X,X,X,X
ISLTOJZ,O,X,O,O,O,X,X,X,X
ISLTOZJ,O,X,O,O,O,X,X,X,X
ISLJTZO,O,X,O,O,O,X,X,X,X
ISLJTOZ,O,X,O,X,O,X,X,X,X
ISLJZTO,O,X,O,O,O,X,X,X,X
ISLJZOT,O,X,X,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,O,X
ISLJOZT,O,X,X,O,X,X,X,O,X
ISLZTJO,X,X,O,O,O,X,X,X,X
ISLZTOJ,O,X,O,O,O,X,X,X,X
ISLZJTO,O,X,O,O,O,X,X,X,X
ISLZJOT,O,X,X,O,X,X,X,X,X
ISLZOTJ,O,X,O,X,X,X,X,X,X
ISLZOJT,O,X,X,O,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X,O,X
ISLOTZJ,O,X,O,X,X,X,X,O,X
ISLOJTZ,O,X,X,X,X,X,X,O,X
ISLOJZT,O,X,X,O,X,X,X,O,X
ISLOZTJ,O,X,O,X,X,X,X,O,X
ISLOZJT,O,X,X,O,X,X,X,O,X
ISJTLZO,X,O,O,X,O,X,O,X,X
ISJTLOZ,X,O,O,X,O,X,O,X,X
ISJTZLO,X,O,O,X,O,X,O,X,X
ISJTZOL,X,O,O,X,O,X,O,X,X
ISJTOLZ,X,O,O,X,O,X,O,O,X
ISJTOZL,X,O,O,X,O,X,O,O,X
ISJLTZO,X,X,O,X,O,X,X,X,X
ISJLTOZ,X,X,O,X,O,X,X,X,X
ISJLZTO,X,X,O,X,O,X,X,X,X
ISJLZOT,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,O,X
ISJLOZT,X,X,X,X,X,X,X,O,X
ISJZTLO,X,O,O,X,O,X,O,X,X
ISJZTOL,X,O,O,X,O,X,O,X,X
ISJZLTO,X,X,O,X,O,X,X,X,X
ISJZLOT,X,X,X,X,X,X,X,X,O
ISJZOTL,X,X,X,X,O,X,X,O,X
ISJZOLT,X,X,X,X,X,X,X,O,O
ISJOTLZ,X,X,X,X,O,X,X,O,X
ISJOTZL,X,X,X,X,O,X,X,O,X
ISJOLTZ,X,X,X,X,X,X,X,O,X
ISJOLZT,X,X,X,X,X,X,X,O,X
ISJOZTL,X,X,X,X,O,X,X,O,X
ISJOZLT,X,X,X,X,X,X,X,O,O
ISZTLJO,X,O,O,O,O,X,O,X,X
ISZTLOJ,X,O,O,O,O,X,O,X,X
ISZTJLO,X,O,O,O,O,X,O,X,X
ISZTJOL,X,O,O,O,O,X,O,X,X
ISZTOLJ,X,O,O,X,O,X,X,X,X
ISZTOJL,X,O,O,O,O,X,X,X,X
ISZLTJO,X,X,O,O,O,X,X,X,X
ISZLTOJ,O,X,O,O,O,X,X,X,X
ISZLJTO,O,X,O,O,O,X,X,X,X
ISZLJOT,O,X,X,O,X,X,X,X,O
ISZLOTJ,O,X,O,X,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X,X,X,X
ISZJTLO,X,O,O,X,O,X,O,X,X
ISZJTOL,X,O,O,X,O,X,O,X,X
ISZJLTO,X,X,O,X,O,X,X,X,X
ISZJLOT,X,X,X,X,X,X,X,X,O
ISZJOTL,X,X,X,X,O,X,X,O,X
ISZJOLT,X,X,X,X,X,X,X,O,O
ISZOTLJ,O,O,O,X,O,X,X,O,X
ISZOTJL,O,O,O,X,O,X,X,O,X
ISZOLTJ,O,O,O,X,X,X,X,O,X
ISZOLJT,O,O,X,X,X,X,X,O,X
ISZOJTL,O,O,X,X,O,X,X,O,X
ISZOJLT,O,O,X,X,X,X,X,O,X
ISOTLJZ,O,O,O,X,O,X,X,O,X
ISOTLZJ,O,O,O,X,O,X,X,O,X
ISOTJLZ,X,O,O,X,O,X,X,O,X
ISOTJZL,O,O,O,X,O,X,X,O,X
ISOTZLJ,O,O,O,X,O,X,X,O,X
ISOTZJL,O,O,O,X,O,X,X,O,X
ISOLTJZ,O,X,O,X,X,X,X,O,X
ISOLTZJ,O,O,O,X,X,X,X,O,X
ISOLJTZ,O,O,X,X,X,X,X,O,X
ISOLJZT,O,O,X,X,X,X,X,O,X
ISOLZTJ,O,O,O,X,X,X,X,O,X
ISOLZJT,O,O,X,X,X,X,X,O,X
ISOJTLZ,X,O,X,X,O,X,X,O,X
ISOJTZL,O,O,X,X,O,X,X,O,X
ISOJLTZ,O,O,X,X,X,X,X,O,X
ISOJLZT,O,O,X,X,X,X,X,O,X
ISOJZTL,O,O,X,X,O,X,X,O,X
ISOJZLT,O,O,X,X,X,X,X,O,O
ISOZTLJ,O,O,O,X,O,X,X,O,X
ISOZTJL,O,O,O,X,O,X,X,O,X
ISOZLTJ,O,O,O,X,X,X,X,O,X
ISOZLJT,O,O,X,X,X,X,X,O,X
ISOZJTL,O,O,X,X,O,X,X,O,X
ISOZJLT,O,O,X,X,X,X,X,O,X
IZTLJSO,O,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,O,X,X,O
IZTLSJO,X,X,O,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,O,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X
IZTLOSJ,O,X,O,X,X,O,X,X,X
IZTJLSO,X,X,X,X,X,O,X,X,X
IZTJLOS,X,X,X,X,X,O,X,X,O
IZTJSLO,X,X,X,X,O,O,X,X,X
IZTJSOL,X,X,X,X,O,O,X,X,X
IZTJOLS,X,X,X,X,X,X,X,X,O
IZTJOSL,X,X,X,X,O,X,X,O,X
IZTSLJO,X,X,O,X,O,X,X,X,X
IZTSLOJ,X,X,O,X,O,X,X,X,X
IZTSJLO,X,X,O,X,O,X,X,X,X
IZTSJOL,X,X,O,X,O,X,X,X,X
IZTSOLJ,X,X,O,X,O,X,X,X,X
IZTSOJL,X,X,O,X,O,X,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X,X
IZTOLSJ,O,X,O,X,X,O,X,X,X
IZTOJLS,X,X,X,X,X,O,X,X,X
IZTOJSL,X,X,X,X,O,O,X,O,X
IZTOSLJ,O,X,O,X,O,O,X,O,X
IZTOSJL,O,X,O,X,O,O,X,O,X
IZLTJSO,O,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,O
IZLTSJO,X,X,O,O,X,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,O
IZLJSTO,O,X,O,O,O,X,X,X,X
IZLJSOT,O,X,X,O,X,X,X,X,O
IZLJOTS,O,X,X,X,X,X,X,X,O
IZLJOST,O,X,X,X,X,X,X,O,O
IZLSTJO,X,X,O,O,O,X,X,X,X
IZLSTOJ,O,X,O,O,O,X,X,X,X
IZLSJTO,O,X,O,O,O,X,X,X,X
IZLSJOT,O,X,X,O,X,X,X,X,O
IZLSOTJ,O,X,O,X,X,X,X,X,X
IZLSOJT,O,X,X,O,X,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,O
IZLOJST,O,X,X,X,X,X,X,O,O
IZLOSTJ,O,X,O,X,X,X,X,O,X
IZLOSJT,O,X,X,O,X,X,X,O,X
IZJTLSO,X,X,X,X,X,O,X,X,X
IZJTLOS,X,X,X,X,X,O,X,X,O
IZJTSLO,X,X,X,X,O,O,X,X,X
IZJTSOL,X,X,X,X,O,O,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X,O
IZJTOSL,X,X,X,X,O,X,X,O,X
IZJLTSO,O,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,O
IZJLSTO,O,X,O,X,O,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X,O
IZJLOTS,O,X,X,X,X,X,X,X,O
IZJLOST,O,X,X,X,X,X,X,O,O
IZJSTLO,X,O,O,X,O,O,O,X,X
IZJSTOL,X,O,O,X,O,O,O,X,X
IZJSLTO,O,X,O,X,O,O,X,X,X
IZJSLOT,O,X,X,X,X,O,X,X,O
IZJSOTL,X,X,X,X,O,O,X,O,X
IZJSOLT,X,X,X,X,X,O,X,O,O
IZJOTLS,X,X,X,X,X,X,X,X,O
IZJOTSL,X,X,X,X,X,X,X,O,X
IZJOLTS,O,X,X,X,X,X,X,X,O
IZJOLST,O,X,X,X,X,X,X,O,O
IZJOSTL,O,X,X,X,O,X,X,O,X
IZJOSLT,O,X,X,X,X,X,X,O,O
IZSTLJO,X,O,O,O,O,X,O,X,X
IZSTLOJ,X,O,O,O,O,X,O,X,X
IZSTJLO,X,O,O,O,O,X,O,X,X
IZSTJOL,X,O,O,O,O,X,O,X,X
IZSTOLJ,X,O,O,X,O,X,X,X,X
IZSTOJL,X,O,O,O,O,X,X,X,X
IZSLTJO,X,X,O,O,O,X,X,X,X
IZSLTOJ,O,X,O,O,O,X,X,X,X
IZSLJTO,O,X,O,O,O,X,X,X,X
IZSLJOT,O,X,X,O,X,X,X,X,O
IZSLOTJ,O,X,O,X,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X,X,X,X
IZSJTLO,X,O,O,X,O,X,O,X,X
IZSJTOL,X,O,O,X,O,X,O,X,X
IZSJLTO,X,X,O,X,O,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,X,O
IZSJOTL,X,X,X,X,O,X,X,O,X
IZSJOLT,X,X,X,X,X,X,X,O,O
IZSOTLJ,O,O,O,X,O,X,X,O,X
IZSOTJL,O,O,O,X,O,X,X,O,X
IZSOLTJ,O,O,O,X,X,X,X,O,X
IZSOLJT,O,O,X,X,X,X,X,O,X
IZSOJTL,O,O,X,X,O,X,X,O,X
IZSOJLT,O,O,X,X,X,X,X,O,X
IZOTLJS,O,X,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,X,O,X,X,X
IZOTJLS,X,X,X,X,X,O,X,X,X
IZOTJSL,X,X,X,X,X,O,X,O,X
IZOTSLJ,O,X,X,X,X,O,X,O,X
IZOTSJL,O,X,X,X,X,O,X,O,X
IZOLTJS,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,O
IZOLJST,O,X,X,X,X,X,X,O,O
IZOLSTJ,O,X,O,X,X,X,X,O,X
IZOLSJT,O,X,X,X,X,X,X,O,X
IZOJTLS,X,X,X,X,X,O,X,X,O
IZOJTSL,X,O,X,X,X,O,X,O,X
IZOJLTS,O,X,X,X,X,X,X,X,O
IZOJLST,O,O,X,X,X,X,X,O,O
IZOJSTL,O,O,X,X,O,O,X,O,X
IZOJSLT,O,O,X,X,X,O,X,O,O
IZOSTLJ,O,O,O,X,O,O,X,O,X
IZOSTJL,O,O,O,X,O,O,X,O,X
IZOSLTJ,O,O,O,X,X,O,X,O,X
IZOSLJT,O,O,X,X,X,O,X,O,X
IZOSJTL,O,O,X,X,O,O,X,O,X
IZOSJLT,O,O,X,X,X,O,X,O,X
IOTLJSZ,O,O,O,X,O,O,X,X,X
IOTLJZS,O,O,X,X,X,O,X,X,X
IOTLSJZ,O,O,O,X,O,O,X,X,X
IOTLSZJ,O,O,O,X,O,O,X,X,X
IOTLZJS,O,X,X,X,X,O,X,X,X
IOTLZSJ,O,O,O,X,X,O,X,X,X
IOTJLSZ,X,O,O,X,O,O,X,X,X
IOTJLZS,X,O,X,X,X,O,X,X,X
IOTJSLZ,X,O,O,X,O,O,X,O,X
IOTJSZL,X,O,O,X,O,O,X,O,X
IOTJZLS,X,O,X,X,X,O,X,X,O
IOTJZSL,X,O,X,X,O,O,X,O,X
IOTSLJZ,O,O,O,X,O,O,X,O,X
IOTSLZJ,O,O,O,X,O,O,X,O,X
IOTSJLZ,X,O,O,X,O,O,X,O,X
IOTSJZL,O,O,O,X,O,O,X,O,X
IOTSZLJ,O,O,O,X,O,O,X,O,X
IOTSZJL,O,O,O,X,O,O,X,O,X
IOTZLJS,O,X,X,X,X,O,X,X,X
IOTZLSJ,O,X,O,X,X,O,X,X,X
IOTZJLS,X,X,X,X,X,O,X,X,X
IOTZJSL,X,X,X,X,O,O,X,O,X
IOTZSLJ,O,X,O,X,O,O,X,O,X
IOTZSJL,O,X,O,X,O,O,X,O,X
IOLTJSZ,O,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,O,X
IOLJSZT,O,O,X,X,X,X,X,O,X
IOLJZTS,O,X,X,X,X,X,X,X,O
IOLJZST,O,O,X,X,X,X,X,O,O
IOLSTJZ,O,X,O,X,X,X,X,O,X
IOLSTZJ,O,O,O,X,X,X,X,O,X
IOLSJTZ,O,O,X,X,X,X,X,O,X
IOLSJZT,O,O,X,X,X,X,X,O,X
IOLSZTJ,O,O,O,X,X,X,X,O,X
IOLSZJT,O,O,X,X,X,X,X,O,X
IOLZTJS,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,O,X
IOLZSTJ,O,O,O,X,X,X,X,O,X
IOLZSJT,O,O,X,X,X,X,X,O,X
IOJTLSZ,X,O,X,X,O,O,X,X,X
IOJTLZS,X,O,X,X,X,O,X,X,X
IOJTSLZ,X,O,X,X,O,O,X,O,X
IOJTSZL,X,O,X,X,O,O,X,O,X
IOJTZLS,X,O,X,X,X,O,X,X,O
IOJTZSL,X,O,X,X,O,O,X,O,X
IOJLTSZ,O,O,X,X,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,X,O,X
IOJLSZT,O,O,X,X,X,X,X,O,X
IOJLZTS,O,X,X,X,X,X,X,X,O
IOJLZST,O,O,X,X,X,X,X,O,O
IOJSTLZ,X,O,X,X,O,O,X,O,X
IOJSTZL,O,O,X,X,O,O,X,O,X
IOJSLTZ,O,O,X,X,X,X,X,O,X
IOJSLZT,O,O,X,X,X,O,X,O,X
IOJSZTL,O,O,X,X,O,O,X,O,X
IOJSZLT,O,O,X,X,X,O,X,O,O
IOJZTLS,X,O,X,X,X,O,X,X,O
IOJZTSL,X,O,X,X,X,O,X,O,X
IOJZLTS,O,X,X,X,X,X,X,X,O
IOJZLST,O,O,X,X,X,X,X,O,O
IOJZSTL,O,O,X,X,O,O,X,O,X
IOJZSLT,O,O,X,X,X,O,X,O,O
IOSTLJZ,O,O,O,X,O,O,X,O,X
IOSTLZJ,O,O,O,X,O,O,X,O,X
IOSTJLZ,X,O,O,X,O,O,X,O,X
IOSTJZL,O,O,O,X,O,O,X,O,X
IOSTZLJ,O,O,O,X,O,O,X,O,X
IOSTZJL,O,O,O,X,O,O,X,O,X
IOSLTJZ,O,X,O,X,X,X,X,O,X
IOSLTZJ,O,O,O,X,X,X,X,O,X
IOSLJTZ,O,O,X,X,X,X,X,O,X
IOSLJZT,O,O,X,X,X,X,X,O,X
IOSLZTJ,O,O,O,X,X,O,X,O,X
IOSLZJT,O,O,X,X,X,O,X,O,X
IOSJTLZ,X,O,X,X,O,O,X,O,X
IOSJTZL,O,O,X,X,O,O,X,O,X
IOSJLTZ,O,O,X,X,X,X,X,O,X
IOSJLZT,O,O,X,X,X,O,X,O,X
IOSJZTL,O,O,X,X,O,O,X,O,X
IOSJZLT,O,O,X,X,X,O,X,O,O
IOSZTLJ,O,O,O,X,O,O,X,O,X
IOSZTJL,O,O,O,X,O,O,X,O,X
IOSZLTJ,O,O,O,X,X,O,X,O,X
IOSZLJT,O,O,X,X,X,O,X,O,X
IOSZJTL,O,O,X,X,O,O,X,O,X
IOSZJLT,O,O,X,X,X,O,X,O,X
IOZTLJS,O,X,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,X,X,O,X,X,X
IOZTJLS,X,X,X,X,X,O,X,X,X
IOZTJSL,X,X,X,X,X,O,X,O,X
IOZTSLJ,O,X,X,X,X,O,X,O,X
IOZTSJL,O,X,X,X,X,O,X,O,X
IOZLTJS,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,O
IOZLJST,O,X,X,X,X,X,X,O,O
IOZLSTJ,O,X,O,X,X,X,X,O,X
IOZLSJT,O,X,X,X,X,X,X,O,X
IOZJTLS,X,X,X,X,X,O,X,X,O
IOZJTSL,X,O,X,X,X,O,X,O,X
IOZJLTS,O,X,X,X,X,X,X,X,O
IOZJLST,O,O,X,X,X,X,X,O,O
IOZJSTL,O,O,X,X,O,O,X,O,X
IOZJSLT,O,O,X,X,X,O,X,O,O
IOZSTLJ,O,O,O,X,O,O,X,O,X
IOZSTJL,O,O,O,X,O,O,X,O,X
IOZSLTJ,O,O,O,X,X,O,X,O,X
IOZSLJT,O,O,X,X,X,O,X,O,X
IOZSJTL,O,O,X,X,O,O,X,O,X
IOZSJLT,O,O,X,X,X,O,X,O,X
LTIJSZO,O,O,O,O,O,X,O,X,X
LTIJSOZ,O,O,O,O,O,X,O,X,X
LTIJZSO,O,O,X,O,X,X,O,X,X
LTIJZOS,O,X,X,X,X,O,X,X,X
LTIJOSZ,O,O,O,O,O,O,O,X,X
LTIJOZS,O,X,X,X,X,O,X,X,X
LTISJZO,X,O,O,O,O,X,O,X,X
LTISJOZ,X,O,O,O,O,X,O,X,X
LTISZJO,X,O,O,O,O,X,O,X,X
LTISZOJ,O,O,O,O,O,O,O,X,X
LTISOJZ,O,O,O,O,O,O,X,X,X
LTISOZJ,O,O,O,O,O,O,O,X,X
LTIZJSO,O,X,X,O,X,X,X,X,X
LTIZJOS,O,X,X,X,X,O,X,X,X
LTIZSJO,X,O,O,O,X,X,O,X,X
LTIZSOJ,O,O,O,O,X,O,O,X,X
LTIZOJS,O,X,X,X,X,O,X,X,X
LTIZOSJ,O,X,O,X,X,O,X,X,X
LTIOJSZ,O,O,O,O,O,O,X,X,X
LTIOJZS,O,O,X,X,X,O,X,X,X
LTIOSJZ,O,O,O,O,O,O,X,X,X
LTIOSZJ,O,O,O,O,O,O,O,X,X
LTIOZJS,O,X,X,X,X,O,X,X,X
LTIOZSJ,O,O,O,X,X,O,X,X,X
LTJISZO,O,O,O,O,O,O,O,X,X
LTJISOZ,O,O,O,O,O,O,O,X,X
LTJIZSO,O,O,X,O,X,O,O,X,X
LTJIZOS,O,X,X,X,X,O,X,X,X
LTJIOSZ,O,O,O,O,O,O,O,X,X
LTJIOZS,O,X,X,X,X,O,X,X,X
LTJSIZO,O,O,O,O,O,O,O,X,X
LTJSIOZ,O,O,O,O,O,O,O,X,X
LTJSZIO,O,O,O,O,O,O,O,X,X
LTJSZOI,O,O,O,O,O,O,O,X,X
LTJSOIZ,O,O,O,O,O,O,O,X,X
LTJSOZI,O,O,O,O,O,O,O,X,X
LTJZISO,O,O,X,O,X,O,O,X,X
LTJZIOS,O,X,X,X,X,O,X,X,X
LTJZSIO,O,O,X,O,X,O,O,X,X
LTJZSOI,O,O,X,O,X,O,O,X,X
LTJZOIS,O,X,X,X,X,O,X,X,X
LTJZOSI,O,X,X,X,X,O,X,X,X
LTJOISZ,O,O,O,O,O,O,O,X,X
LTJOIZS,O,O,X,X,X,O,X,X,X
LTJOSIZ,O,O,O,O,O,O,O,X,X
LTJOSZI,O,O,O,O,O,O,O,X,X
LTJOZIS,O,O,X,X,X,O,X,X,X
LTJOZSI,O,O,X,X,X,O,X,X,X
LTSIJZO,X,O,O,O,O,X,O,X,X
LTSIJOZ,X,O,O,O,O,X,O,X,X
LTSIZJO,X,O,O,O,O,X,O,X,X
LTSIZOJ,O,O,O,O,O,O,O,X,X
LTSIOJZ,O,O,O,O,O,O,X,X,X
LTSIOZJ,O,O,O,O,O,O,O,X,X
LTSJIZO,X,O,O,O,O,X,O,X,X
LTSJIOZ,X,O,O,O,O,X,O,X,X
LTSJZIO,X,O,O,O,O,X,O,X,X
LTSJZOI,X,O,O,O,O,X,O,X,X
LTSJOIZ,X,O,O,O,O,X,O,X,X
LTSJOZI,X,O,O,O,O,X,O,X,X
LTSZIJO,X,O,O,O,O,X,O,X,X
LTSZIOJ,O,O,O,O,O,O,O,X,X
LTSZJIO,X,O,O,O,O,X,O,X,X
LTSZJOI,X,O,O,O,O,X,O,X,X
LTSZOIJ,O,O,O,O,O,O,O,X,X
LTSZOJI,O,O,O,O,O,O,O,X,X
LTSOIJZ,O,O,O,O,O,O,X,X,X
LTSOIZJ,O,O,O,O,O,O,O,X,X
LTSOJIZ,O,O,O,O,O,O,O,X,X
LTSOJZI,O,O,O,O,O,O,O,X,X
LTSOZIJ,O,O,O,O,O,O,O,X,X
LTSOZJI,O,O,O,O,O,O,O,X,X
LTZIJSO,O,X,X,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,O,X,X,X
LTZISJO,X,O,O,O,X,X,O,X,X
LTZISOJ,O,O,O,O,X,O,O,X,X
LTZIOJS,O,X,X,X,X,O,X,X,X
LTZIOSJ,O,X,O,X,X,O,X,X,X
LTZJISO,O,O,X,O,X,O,O,X,X
LTZJIOS,O,X,X,X,X,O,X,X,X
LTZJSIO,O,O,X,O,X,O,O,X,X
LTZJSOI,O,O,X,O,X,O,O,X,X
LTZJOIS,O,X,X,X,X,O,X,X,X
LTZJOSI,O,X,X,X,X,O,X,X,X
LTZSIJO,X,O,O,O,X,X,O,X,X
LTZSIOJ,O,O,O,O,X,O,O,X,X
LTZSJIO,X,O,O,O,X,X,O,X,X
LTZSJOI,X,O,O,O,X,X,O,X,X
LTZSOIJ,O,O,O,O,X,O,O,X,X
LTZSOJI,O,O,O,O,X,O,O,X,X
LTZOIJS,O,X,X,X,X,O,X,X,X
LTZOISJ,O,O,O,X,X,O,X,X,X
