sequence,v115@DhA8HeB8HeC8FeF8JeOEJvhFxgBCjB8qBToB3pBFqB,v115@DhA8HeB8HeC8FeF8Je3/IvhFFhBCjB0lBToB2pBxuB,v115@DhA8HeB8HeC8FeF8JeFBJvhFfoB6oBTkB0lBmkBxuB,v115@DhA8HeB8HeC8FeF8JeFBJvhFCjBOpBToBRqB/qB0pB,v115@DhA8HeB8HeC8FeF8Jex/IvhFXhBziB+oB0pBlqBipB,v115@DhA8HeB8HeC8FeF8Je0/IvhFXhBKpBFoBGoBRqBTqB,v115@DhA8HeB8HeC8FeF8JeKEJvhFzfBGjB3lBUoBFmBxuB,v115@DhA8HeB8HeC8FeF8JexAJvhFfoB6oBzlBlpBOpBUqB,v115@DhA8HeB8HeC8FeF8Je0/IvhFXhBKpBGoBFoBRqBTqB,v115@DhA8HeB8HeC8FeF8JeZEJvhFzfBSoB3lBFmBUoBWvB,v115@DhA8HeB8HeC8FeF8JeT/IvhFXhBypBFoB0lBGoBxuB,v115@DhA8HeB8HeC8FeF8JeT/IvhF0gBypBFoBXmBGoBxuB,v115@DhA8HeB8HeC8FeF8JeT/IvhF0gBypBGoBXmBFoBxuB
ITSLJZO,O,X,O,X,X,O,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
ITSLZJO,X,X,O,X,X,O,O,X,X,X,X,X,X
ITSLZOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ITSLOJZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ITSLOZJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ITSJLZO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
ITSJZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSJZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,O,O,X,X,X,X,X,X,X,X
ITSJOZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSZLJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
ITSZJLO,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSZJOL,X,O,O,X,O,X,X,X,X,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZOJL,X,O,O,X,O,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ITSOLZJ,X,O,O,X,X,X,X,O,X,X,O,X,X
ITSOJLZ,O,X,X,O,O,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ITSOZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X
ITSOZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X,O,X,X,X,X,X,X
ITZLJOS,X,X,X,X,X,X,O,X,X,X,X,O,X
ITZLSJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,O,X,X,X,O,O,X
ITZLOJS,X,O,X,X,X,X,O,X,X,X,X,O,X
ITZLOSJ,X,O,O,X,X,X,O,X,X,X,O,O,X
ITZJLSO,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZJLOS,X,X,X,X,O,X,O,X,X,X,X,X,X
ITZJSLO,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZJSOL,X,O,O,X,O,X,X,X,X,X,X,X,X
ITZJOLS,X,O,X,O,O,X,X,X,X,X,X,X,X
ITZJOSL,X,O,O,O,O,X,X,X,X,X,X,X,X
ITZSLJO,O,X,O,X,O,X,O,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
ITZSJLO,O,X,O,X,O,X,O,X,X,X,X,X,X
ITZSJOL,O,O,O,X,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITZSOJL,O,O,O,X,O,X,X,X,X,X,X,X,X
ITZOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITZOJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITZOJSL,X,O,O,O,X,X,X,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X
ITOLJZS,X,O,X,O,X,X,X,X,X,X,X,O,X
ITOLSJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ITOLSZJ,X,O,X,X,X,X,X,O,X,X,O,O,X
ITOLZJS,X,O,X,O,X,X,X,X,X,X,X,O,X
ITOLZSJ,O,O,X,X,X,X,X,X,X,X,O,O,X
ITOJLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,O,X,X,X,O,X,X,X,X,X
ITOJSZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ITOJZLS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ITOSLZJ,X,O,O,X,X,X,X,O,X,X,O,X,X
ITOSJLZ,O,X,X,O,X,X,X,O,X,X,X,X,X
ITOSJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X
ITOSZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,O,O,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,O,X,X,O,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X
ILTJZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
ILTJZOS,X,X,X,X,X,X,X,X,X,X,X,O,O
ILTJOSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
ILTJOZS,X,X,X,O,X,X,X,X,X,X,X,O,O
ILTSJZO,O,X,O,X,X,O,X,X,O,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ILTSZJO,X,X,O,X,X,O,O,X,O,X,X,X,X
ILTSZOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ILTSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X
ILTSOZJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ILTZJSO,X,X,X,X,X,O,O,X,O,X,X,X,X
ILTZJOS,X,X,X,X,X,X,O,X,X,X,X,O,O
ILTZSJO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILTZSOJ,X,O,O,X,X,O,O,X,X,X,O,O,X
ILTZOJS,X,O,X,X,X,X,O,X,X,X,X,O,O
ILTZOSJ,X,O,O,X,X,O,O,X,X,X,O,O,X
ILTOJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X
ILTOJZS,X,O,X,O,X,X,X,X,X,X,X,O,O
ILTOSJZ,X,X,X,O,X,X,X,X,X,X,O,X,X
ILTOSZJ,X,O,X,X,X,O,O,X,X,X,O,O,X
ILTOZJS,X,O,X,O,X,X,O,X,X,X,X,O,O
ILTOZSJ,X,O,X,X,X,O,O,X,X,X,O,O,X
ILJTSZO,X,X,X,X,X,O,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X
ILJTZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X,X,X,X,O,O
ILJTOSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
ILJTOZS,X,X,X,O,X,X,X,X,X,X,X,O,O
ILJSTZO,O,X,X,X,X,O,X,X,O,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,X,O,O,X,X
ILJSZTO,O,X,X,X,X,O,O,X,O,X,X,X,X
ILJSZOT,O,X,X,X,X,X,O,X,O,O,X,X,O
ILJSOTZ,O,X,X,X,X,X,X,X,X,O,O,X,X
ILJSOZT,O,X,X,X,X,X,O,X,O,O,X,X,O
ILJZTSO,X,X,X,X,X,O,O,X,O,X,X,X,X
ILJZTOS,X,X,X,X,X,X,O,X,X,X,X,O,O
ILJZSTO,O,X,X,X,X,O,O,X,O,X,X,X,X
ILJZSOT,O,X,X,X,X,X,O,X,O,O,X,X,O
ILJZOTS,X,X,X,X,X,X,O,X,X,X,X,O,O
ILJZOST,X,X,X,X,X,X,O,X,O,O,X,X,O
ILJOTSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
ILJOTZS,X,X,X,O,X,X,X,X,X,X,X,O,O
ILJOSTZ,X,X,X,O,X,X,X,X,X,O,O,X,X
ILJOSZT,X,X,X,O,X,X,O,X,O,O,X,X,O
ILJOZTS,X,X,X,O,X,X,O,X,X,X,X,O,O
ILJOZST,X,X,X,O,X,X,O,X,O,O,X,X,O
ILSTJZO,O,X,O,X,X,O,X,X,O,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ILSTZJO,X,X,O,X,X,O,O,X,O,X,X,X,X
ILSTZOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ILSTOJZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ILSTOZJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ILSJTZO,O,X,O,X,X,O,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X,O,O,X,X
ILSJZTO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILSJZOT,O,X,O,X,X,X,O,X,O,O,X,X,O
ILSJOTZ,O,X,X,X,X,X,X,O,X,O,O,X,X
ILSJOZT,O,X,O,X,X,X,O,X,O,O,X,X,O
ILSZTJO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILSZTOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ILSZJTO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILSZJOT,O,X,O,X,X,X,O,X,O,X,X,X,O
ILSZOTJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ILSZOJT,O,X,O,X,X,X,O,X,O,X,X,X,O
ILSOTJZ,O,X,X,X,X,X,X,O,X,X,O,X,X
ILSOTZJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ILSOJTZ,O,X,X,X,X,X,X,O,X,X,O,X,X
ILSOJZT,O,X,O,X,X,X,O,X,O,X,X,X,O
ILSOZTJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ILSOZJT,O,X,O,X,X,X,O,X,O,X,X,X,O
ILZTJSO,X,X,X,X,X,O,O,X,O,X,X,X,X
ILZTJOS,X,X,X,X,X,X,O,X,X,X,X,O,O
ILZTSJO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILZTSOJ,X,O,O,X,X,O,O,X,X,X,O,O,X
ILZTOJS,X,O,X,X,X,X,O,X,X,X,X,O,O
ILZTOSJ,X,O,O,X,X,O,O,X,X,X,O,O,X
ILZJTSO,X,X,X,X,X,O,O,X,O,X,X,X,X
ILZJTOS,X,X,X,X,X,X,O,X,X,X,X,O,O
ILZJSTO,O,X,X,X,X,O,O,X,O,X,X,X,X
ILZJSOT,O,X,X,X,X,X,O,X,O,O,X,X,O
ILZJOTS,X,X,X,X,X,X,O,X,X,X,X,O,O
ILZJOST,X,X,X,X,X,X,O,X,O,O,X,X,O
ILZSTJO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILZSTOJ,X,O,O,X,X,O,O,X,X,X,O,O,X
ILZSJTO,O,X,O,X,X,O,O,X,O,X,X,X,X
ILZSJOT,O,X,O,X,X,X,O,X,O,X,X,X,O
ILZSOTJ,O,O,O,X,X,O,O,X,X,X,O,O,X
ILZSOJT,O,O,O,X,X,X,O,X,O,X,X,X,O
ILZOTJS,X,O,X,X,X,X,O,X,X,X,X,O,O
ILZOTSJ,O,O,O,X,X,O,O,X,X,X,O,O,X
ILZOJTS,X,O,X,X,X,X,O,X,X,X,X,O,O
ILZOJST,O,O,X,X,X,X,O,X,O,X,X,X,O
ILZOSTJ,O,O,O,X,X,O,O,X,X,X,O,O,X
ILZOSJT,O,O,O,X,X,X,O,X,O,X,X,X,O
ILOTJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X
ILOTJZS,X,O,X,O,X,X,X,X,X,X,X,O,O
ILOTSJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ILOTSZJ,X,O,X,X,X,O,O,O,X,X,O,O,X
ILOTZJS,X,O,X,O,X,X,O,X,X,X,X,O,O
ILOTZSJ,O,O,X,X,X,O,O,X,X,X,O,O,X
ILOJTSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
ILOJTZS,X,O,X,O,X,X,X,X,X,X,X,O,O
ILOJSTZ,O,X,X,O,X,X,X,X,X,O,O,X,X
ILOJSZT,O,X,X,O,X,X,O,X,O,O,X,X,O
ILOJZTS,X,O,X,O,X,X,O,X,X,X,X,O,O
ILOJZST,O,O,X,O,X,X,O,X,O,O,X,X,O
ILOSTJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ILOSTZJ,X,O,O,X,X,O,O,O,X,X,O,O,X
ILOSJTZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ILOSJZT,O,X,O,O,X,X,O,X,O,X,X,X,O
ILOSZTJ,O,O,O,X,X,O,O,O,X,X,O,O,X
ILOSZJT,O,O,O,X,X,X,O,X,O,X,X,X,O
ILOZTJS,X,O,X,O,X,X,O,X,X,X,X,O,O
ILOZTSJ,O,O,O,X,X,O,O,X,X,X,O,O,X
ILOZJTS,X,O,X,O,X,X,O,X,X,X,X,O,O
ILOZJST,O,O,X,O,X,X,O,X,O,X,X,X,O
ILOZSTJ,O,O,O,X,X,O,O,X,X,X,O,O,X
ILOZSJT,O,O,O,X,X,X,O,X,O,X,X,X,O
IJTLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X
IJTLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,X,X,X,X,O,O
IJTLOSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
IJTLOZS,X,X,X,O,X,X,X,X,X,X,X,O,O
IJTSLZO,X,X,O,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,O,X,X,X,X,O,O,X,X
IJTSZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJTSZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,O,O,X,X,X,X,O,X,X,X
IJTSOZL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTZLOS,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTZSLO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJTZSOL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJTZOLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IJTZOSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,X,X,O,X,X,X
IJTOLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,O,O,X,X,X,X,O,X,X,X
IJTOSZL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJTOZLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IJTOZSL,X,O,X,O,O,X,X,X,X,X,X,X,X
IJLTSZO,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X
IJLTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X,X,X,X,O,O
IJLTOSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
IJLTOZS,X,X,X,O,X,X,X,X,X,X,X,O,O
IJLSTZO,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,X,O,O,X,X
IJLSZTO,O,X,X,X,X,X,O,X,O,X,X,X,X
IJLSZOT,O,X,X,X,X,X,O,X,O,O,X,X,O
IJLSOTZ,O,X,X,X,X,X,X,X,X,O,O,X,X
IJLSOZT,O,X,X,X,X,X,O,X,O,O,X,X,O
IJLZTSO,X,X,X,X,X,X,O,X,O,X,X,X,X
IJLZTOS,X,X,X,X,X,X,O,X,X,X,X,O,O
IJLZSTO,O,X,X,X,X,X,O,X,O,X,X,X,X
IJLZSOT,O,X,X,X,X,X,O,X,O,O,X,X,O
IJLZOTS,X,X,X,X,X,X,O,X,X,X,X,O,O
IJLZOST,X,X,X,X,X,X,O,X,O,O,X,X,O
IJLOTSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
IJLOTZS,X,X,X,O,X,X,X,X,X,X,X,O,O
IJLOSTZ,X,X,X,O,X,X,X,X,X,O,O,X,X
IJLOSZT,X,X,X,O,X,X,O,X,O,O,X,X,O
IJLOZTS,X,X,X,O,X,X,O,X,X,X,X,O,O
IJLOZST,X,X,X,O,X,X,O,X,O,O,X,X,O
IJSTLZO,O,X,O,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,O,X,X,X,X,O,O,X,X
IJSTZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSTZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,O,O,X,X,X,X,O,X,X,X
IJSTOZL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSLTZO,O,X,O,X,X,X,X,X,O,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X,O,O,X,X
IJSLZTO,O,X,O,X,X,X,O,X,O,X,X,X,X
IJSLZOT,O,X,O,X,X,X,O,X,O,O,X,X,O
IJSLOTZ,O,X,X,X,O,X,X,O,X,O,O,X,X
IJSLOZT,O,X,O,X,X,X,O,X,O,O,X,X,O
IJSZTLO,X,X,O,X,X,X,O,X,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSZLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJSZLOT,O,X,O,X,X,X,O,X,X,O,X,X,X
IJSZOTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IJSZOLT,O,X,O,X,X,X,O,X,X,O,X,X,X
IJSOTLZ,O,X,X,O,O,X,X,O,X,O,X,X,X
IJSOTZL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,O,O,X,X,O,X,O,X,X,X
IJSOLZT,O,X,O,O,X,X,X,X,X,O,X,X,X
IJSOZTL,X,X,O,O,O,X,X,X,X,X,X,X,X
IJSOZLT,O,X,O,O,X,X,X,X,X,O,X,X,X
IJZTLSO,X,X,X,X,O,X,O,X,X,X,X,X,X
IJZTLOS,X,X,X,X,O,X,O,X,X,X,X,X,X
IJZTSLO,X,X,O,X,O,X,O,X,X,X,X,X,X
IJZTSOL,X,O,O,X,O,X,X,X,X,X,X,X,X
IJZTOLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IJZTOSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,O,X,X,X,X,X,O
IJZLSTO,O,X,X,X,X,X,O,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,O,X,X,O,X,X,O
IJZLOTS,X,X,X,X,X,X,O,X,X,X,X,X,O
IJZLOST,X,X,X,X,X,X,O,X,X,O,X,X,O
IJZSTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X,X,X,X,X,X,X
IJZSLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZSLOT,O,X,O,X,X,X,O,X,X,O,X,X,X
IJZSOTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IJZSOLT,O,O,O,X,X,X,O,X,X,O,X,X,X
IJZOTLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IJZOTSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IJZOLTS,X,O,X,O,X,X,O,X,X,X,X,X,X
IJZOLST,O,O,X,O,X,X,O,X,X,O,X,X,X
IJZOSTL,O,O,O,O,X,X,X,X,X,X,X,X,X
IJZOSLT,O,O,O,O,X,X,O,X,X,O,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X,X,O,X,X,X
IJOTLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,O,O,X,X,O,X,O,X,X,X
IJOTSZL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJOTZLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IJOTZSL,X,O,X,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,X,O,X,X,X
IJOLTZS,X,O,X,O,X,X,X,X,X,X,X,X,O
IJOLSTZ,O,X,X,O,X,X,X,X,X,O,X,X,X
IJOLSZT,O,X,X,O,X,X,X,X,X,O,X,X,O
IJOLZTS,X,O,X,O,X,X,X,X,X,X,X,X,O
IJOLZST,O,O,X,O,X,X,X,X,X,O,X,X,O
IJOSTLZ,O,X,X,O,O,X,X,O,X,O,X,X,X
IJOSTZL,X,X,X,O,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,O,X,X,O,X,O,X,X,X
IJOSLZT,O,X,O,O,X,X,X,X,X,O,X,X,X
IJOSZTL,X,X,O,O,O,X,X,X,X,X,X,X,X
IJOSZLT,O,X,O,O,X,X,X,X,X,O,X,X,X
IJOZTLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IJOZTSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IJOZLTS,X,O,X,O,X,X,X,X,X,X,X,X,X
IJOZLST,O,O,X,O,X,X,X,X,X,O,X,X,X
IJOZSTL,O,O,O,O,X,X,X,X,X,X,X,X,X
IJOZSLT,O,O,O,O,X,X,X,X,X,O,X,X,X
ISTLJZO,O,X,O,X,X,O,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
ISTLZJO,X,X,O,X,X,O,O,X,X,X,X,X,X
ISTLZOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ISTLOJZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ISTLOZJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ISTJLZO,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
ISTJZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTJZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,O,O,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTZLJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ISTZLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
ISTZJLO,X,X,O,X,O,X,O,X,X,X,X,X,X
ISTZJOL,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTZOJL,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ISTOLZJ,X,O,O,X,X,X,X,O,X,X,O,X,X
ISTOJLZ,O,X,X,O,O,X,X,O,X,X,X,X,X
ISTOJZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLTJZO,O,X,O,X,X,O,X,X,O,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ISLTZJO,X,X,O,X,X,O,O,X,O,X,X,X,X
ISLTZOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ISLTOJZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ISLTOZJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ISLJTZO,O,X,O,X,X,O,X,X,O,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X,O,O,X,X
ISLJZTO,O,X,O,X,X,O,O,X,O,X,X,X,X
ISLJZOT,O,X,O,X,X,X,O,X,O,O,X,X,O
ISLJOTZ,O,X,X,X,O,X,X,O,X,O,O,X,X
ISLJOZT,O,X,O,X,X,X,O,X,O,O,X,X,O
ISLZTJO,O,X,O,X,X,O,O,X,O,X,X,X,X
ISLZTOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
ISLZJTO,O,X,O,X,X,O,O,X,O,X,X,X,X
ISLZJOT,O,X,O,X,X,X,O,X,O,X,X,X,O
ISLZOTJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ISLZOJT,O,X,O,X,X,X,O,X,O,X,X,X,O
ISLOTJZ,O,X,X,X,X,X,X,O,X,X,O,X,X
ISLOTZJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ISLOJTZ,O,X,X,X,X,X,X,O,X,X,O,X,X
ISLOJZT,O,X,O,X,X,X,O,X,O,X,X,X,O
ISLOZTJ,X,X,O,X,X,O,O,O,X,X,O,O,X
ISLOZJT,O,X,O,X,X,X,O,X,O,X,X,X,O
ISJTLZO,O,X,O,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,O,X,X,X,X,O,O,X,X
ISJTZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJTZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,O,O,X,X,X,X,O,X,X,X
ISJTOZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJLTZO,O,X,O,X,X,X,X,X,O,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X,O,O,X,X
ISJLZTO,O,X,O,X,X,X,O,X,O,X,X,X,X
ISJLZOT,O,X,O,X,X,X,O,X,O,O,X,X,O
ISJLOTZ,O,X,X,X,O,X,X,O,X,O,O,X,X
ISJLOZT,O,X,O,X,X,X,O,X,O,O,X,X,O
ISJZTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJZTOL,O,X,O,X,X,X,X,X,X,X,X,X,X
ISJZLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJZLOT,O,X,O,X,X,X,O,X,X,O,X,X,X
ISJZOTL,O,X,O,X,O,X,X,X,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,O,X,X,O,X,X,X
ISJOTLZ,O,X,X,O,O,X,X,O,X,O,X,X,X
ISJOTZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,O,O,X,X,O,X,O,X,X,X
ISJOLZT,O,X,O,O,X,X,X,X,X,O,X,X,X
ISJOZTL,O,X,O,O,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,O,O,X,X,X,X,X,O,X,X,X
ISZTLJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZTLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
ISZTJLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
