sequence,v115@HhB8HeC8FeE8DeB8Jem/IvhFqlB/mBTjB0nBFnBxwB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBcnBTjBFrB3sBurB,v115@HhB8HeC8FeE8DeB8Jem/IvhFRhBqnBTjBfrBUsBlrB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBzhBcoBFrBXsBusB,v115@HhB8HeC8FeE8DeB8Jex/IvhF3iBcoBllB+rBimBTsB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBWoBllBKsBXoBTrB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBSoBllB2sBTrB3sB
IZTOLSJ,O,O,X,O,O,X,O
IZTOJLS,O,X,X,X,O,O,O
IZTOJSL,X,X,X,X,O,O,X
IZTOSLJ,O,O,X,O,O,X,O
IZTOSJL,X,O,X,O,O,O,X
IZLTJSO,O,X,X,O,O,X,X
IZLTJOS,O,X,X,X,O,X,O
IZLTSJO,O,O,X,O,O,X,X
IZLTSOJ,O,O,X,O,X,X,O
IZLTOJS,O,X,X,X,O,X,O
IZLTOSJ,O,O,X,O,O,X,O
IZLJTSO,O,X,X,O,X,X,X
IZLJTOS,O,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,X
IZLJSOT,O,X,O,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X
IZLSTJO,O,O,O,O,O,X,X
IZLSTOJ,O,O,O,O,X,X,X
IZLSJTO,O,X,O,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X
IZLSOTJ,O,O,O,X,O,X,X
IZLSOJT,O,X,O,X,X,X,X
IZLOTJS,O,X,X,X,O,X,X
IZLOTSJ,O,O,X,O,O,X,X
IZLOJTS,O,X,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X
IZLOSTJ,O,O,O,X,O,X,X
IZLOSJT,O,X,O,X,X,X,X
IZJTLSO,O,X,X,O,O,O,X
IZJTLOS,O,X,X,X,O,O,X
IZJTSLO,X,X,X,O,O,O,X
IZJTSOL,X,X,X,O,O,X,X
IZJTOLS,O,X,X,X,O,O,X
IZJTOSL,X,X,X,X,O,O,X
IZJLTSO,O,X,X,O,X,X,X
IZJLTOS,O,X,X,X,X,X,X
IZJLSTO,O,X,O,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X
IZJSTLO,X,X,O,O,O,X,X
IZJSTOL,X,X,X,O,O,X,X
IZJSLTO,O,X,O,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X
IZJSOTL,X,X,X,X,O,X,X
IZJSOLT,O,X,O,X,X,X,X
IZJOTLS,O,X,X,X,O,X,X
IZJOTSL,X,X,X,X,O,X,X
IZJOLTS,O,X,X,X,X,X,X
IZJOLST,O,X,O,X,X,X,X
IZJOSTL,X,X,X,X,O,X,X
IZJOSLT,O,X,O,X,X,X,X
IZSTLJO,O,O,O,O,O,X,X
IZSTLOJ,O,O,O,O,X,X,X
IZSTJLO,X,O,O,O,O,X,X
IZSTJOL,X,O,X,O,O,X,X
IZSTOLJ,O,O,X,O,O,X,X
IZSTOJL,X,O,X,O,O,X,X
IZSLTJO,O,O,O,O,O,X,X
IZSLTOJ,O,O,O,O,X,X,X
IZSLJTO,O,X,O,X,X,X,X
IZSLJOT,O,X,O,X,X,X,X
IZSLOTJ,O,O,O,X,O,X,X
IZSLOJT,O,X,O,X,X,X,X
IZSJTLO,X,O,O,O,O,X,X
IZSJTOL,X,O,X,O,O,X,X
IZSJLTO,O,X,O,X,X,X,X
IZSJLOT,O,X,O,X,X,X,X
IZSJOTL,X,O,X,X,O,X,X
IZSJOLT,O,X,O,X,X,X,X
IZSOTLJ,O,O,X,O,O,X,X
IZSOTJL,X,O,X,O,O,X,X
IZSOLTJ,O,O,O,X,O,X,X
IZSOLJT,O,X,O,X,X,X,X
IZSOJTL,X,O,X,X,O,X,X
IZSOJLT,O,X,O,X,X,X,X
IZOTLJS,O,X,X,X,O,X,X
IZOTLSJ,O,O,X,O,O,X,X
IZOTJLS,O,X,X,X,O,X,X
IZOTJSL,X,X,X,X,O,X,X
IZOTSLJ,O,O,X,O,O,X,X
IZOTSJL,X,O,X,O,O,X,X
IZOLTJS,O,X,X,X,O,X,X
IZOLTSJ,O,O,X,O,O,X,X
IZOLJTS,O,X,X,X,X,X,X
IZOLJST,O,X,O,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,X
IZOLSJT,O,X,O,X,X,X,X
IZOJTLS,O,X,X,X,O,X,X
IZOJTSL,X,X,X,X,O,X,X
IZOJLTS,O,X,X,X,X,X,X
IZOJLST,O,X,O,X,X,X,X
IZOJSTL,X,X,X,X,O,X,X
IZOJSLT,O,X,O,X,X,X,X
IZOSTLJ,O,O,X,O,O,X,X
IZOSTJL,X,O,X,O,O,X,X
IZOSLTJ,O,O,O,X,O,X,X
IZOSLJT,O,X,O,X,X,X,X
IZOSJTL,X,O,X,X,O,X,X
IZOSJLT,O,X,O,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X
IOTLJZS,O,X,X,X,O,O,O
IOTLSJZ,O,O,X,O,X,X,X
IOTLSZJ,O,O,X,O,X,X,O
IOTLZJS,O,X,X,X,O,O,O
IOTLZSJ,O,O,X,O,O,X,O
IOTJLSZ,O,O,X,O,X,X,X
IOTJLZS,O,X,X,X,O,O,O
IOTJSLZ,X,O,X,O,X,X,X
IOTJSZL,X,O,X,O,O,O,X
IOTJZLS,O,X,X,X,O,O,O
IOTJZSL,X,X,X,X,O,O,X
IOTSLJZ,O,O,X,O,X,X,X
IOTSLZJ,O,O,X,O,X,X,O
IOTSJLZ,X,O,X,O,X,X,X
IOTSJZL,X,O,X,O,O,O,X
IOTSZLJ,O,O,X,O,O,X,O
IOTSZJL,X,O,X,O,O,O,X
IOTZLJS,O,X,X,X,O,O,O
IOTZLSJ,O,O,X,O,O,X,O
IOTZJLS,O,X,X,X,O,O,O
IOTZJSL,X,X,X,X,O,O,X
IOTZSLJ,O,O,X,O,O,X,O
IOTZSJL,X,O,X,O,O,O,X
IOLTJSZ,O,O,X,O,X,X,X
IOLTJZS,O,X,X,X,O,X,O
IOLTSJZ,O,O,X,O,X,X,X
IOLTSZJ,O,O,X,O,X,X,O
IOLTZJS,O,X,X,X,O,X,O
IOLTZSJ,O,O,X,O,O,X,O
IOLJTSZ,O,O,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X
IOLJSTZ,O,O,O,X,X,X,X
IOLJSZT,O,X,O,X,X,X,X
IOLJZTS,O,X,X,X,X,X,X
IOLJZST,O,X,O,X,X,X,X
IOLSTJZ,O,O,O,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X
IOLSJTZ,O,O,O,X,X,X,X
IOLSJZT,O,X,O,X,X,X,X
IOLSZTJ,O,O,O,X,X,X,X
IOLSZJT,O,X,O,X,X,X,X
IOLZTJS,O,X,X,X,O,X,O
IOLZTSJ,O,O,X,O,O,X,O
IOLZJTS,O,X,X,X,X,X,X
IOLZJST,O,X,O,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,X
IOLZSJT,O,X,O,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X
IOJTLZS,O,X,X,X,O,O,X
IOJTSLZ,X,O,X,X,X,X,X
IOJTSZL,X,O,X,X,O,O,X
IOJTZLS,O,X,X,X,O,O,X
IOJTZSL,X,X,X,X,O,O,X
IOJLTSZ,O,O,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X
IOJLSZT,O,X,O,X,X,X,X
IOJLZTS,O,X,X,X,X,X,X
IOJLZST,O,X,O,X,X,X,X
IOJSTLZ,X,O,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X
IOJSLZT,O,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X
IOJSZLT,O,X,O,X,X,X,X
IOJZTLS,O,X,X,X,O,O,X
IOJZTSL,X,X,X,X,O,O,X
IOJZLTS,O,X,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,X
IOJZSTL,X,X,X,X,O,X,X
IOJZSLT,O,X,O,X,X,X,X
IOSTLJZ,O,O,X,O,X,X,X
IOSTLZJ,O,O,X,O,X,X,X
IOSTJLZ,X,O,X,O,X,X,X
IOSTJZL,X,O,X,O,O,X,X
IOSTZLJ,O,O,X,O,O,X,X
IOSTZJL,X,O,X,O,O,X,X
IOSLTJZ,O,O,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X
IOSLJTZ,O,O,O,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X
IOSLZTJ,O,O,O,X,X,X,X
IOSLZJT,O,X,O,X,X,X,X
IOSJTLZ,X,O,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X
IOSJLZT,O,X,O,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X
IOSJZLT,O,X,O,X,X,X,X
IOSZTLJ,O,O,X,O,O,X,X
IOSZTJL,X,O,X,O,O,X,X
IOSZLTJ,O,O,O,X,O,X,X
IOSZLJT,O,X,O,X,X,X,X
IOSZJTL,X,O,X,X,O,X,X
IOSZJLT,O,X,O,X,X,X,X
IOZTLJS,O,X,X,X,O,O,O
IOZTLSJ,O,O,X,O,O,X,O
IOZTJLS,O,X,X,X,O,O,O
IOZTJSL,X,X,X,X,O,O,X
IOZTSLJ,O,O,X,O,O,X,O
IOZTSJL,X,O,X,O,O,O,X
IOZLTJS,O,X,X,X,O,X,O
IOZLTSJ,O,O,X,O,O,X,O
IOZLJTS,O,X,X,X,X,X,X
IOZLJST,O,X,O,X,X,X,X
IOZLSTJ,O,O,O,X,O,X,X
IOZLSJT,O,X,O,X,X,X,X
IOZJTLS,O,X,X,X,O,O,X
IOZJTSL,X,X,X,X,O,O,X
IOZJLTS,O,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,X,X
IOZJSTL,X,X,X,X,O,X,X
IOZJSLT,O,X,O,X,X,X,X
IOZSTLJ,O,O,X,O,O,X,X
IOZSTJL,X,O,X,O,O,X,X
IOZSLTJ,O,O,O,X,O,X,X
IOZSLJT,O,X,O,X,X,X,X
IOZSJTL,X,O,X,X,O,X,X
IOZSJLT,O,X,O,X,X,X,X
LTIJSZO,O,O,X,O,X,X,X
LTIJSOZ,O,O,X,O,X,X,X
LTIJZSO,O,X,X,O,O,O,X
LTIJZOS,O,X,X,X,O,O,O
LTIJOSZ,O,O,X,O,X,X,X
LTIJOZS,O,X,X,X,O,O,O
LTISJZO,O,O,X,O,X,X,X
LTISJOZ,O,O,X,O,X,X,X
LTISZJO,O,O,X,O,X,X,X
LTISZOJ,O,O,X,O,X,X,O
LTISOJZ,O,O,X,O,X,X,X
LTISOZJ,O,O,X,O,X,X,O
LTIZJSO,O,X,X,O,O,O,X
LTIZJOS,O,X,X,X,O,O,O
LTIZSJO,O,O,X,O,O,X,X
LTIZSOJ,O,O,X,O,X,X,O
LTIZOJS,O,X,X,X,O,X,O
LTIZOSJ,O,O,X,O,O,X,O
LTIOJSZ,O,O,X,O,X,X,X
LTIOJZS,O,X,X,X,O,O,O
LTIOSJZ,O,O,X,O,X,X,X
LTIOSZJ,O,O,X,O,X,X,O
LTIOZJS,O,X,X,X,O,O,O
LTIOZSJ,O,O,X,O,O,X,O
LTJISZO,O,O,X,O,X,X,X
LTJISOZ,O,O,X,O,X,X,X
LTJIZSO,O,X,X,O,O,O,X
LTJIZOS,O,X,X,X,O,O,O
LTJIOSZ,O,O,X,O,X,X,X
LTJIOZS,O,X,X,X,O,O,O
LTJSIZO,O,O,X,O,X,X,X
LTJSIOZ,O,O,O,O,X,X,X
LTJSZIO,X,O,O,O,X,X,X
LTJSZOI,O,O,O,O,X,X,X
LTJSOIZ,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,X,X,X
LTJZISO,X,X,X,O,O,O,X
LTJZIOS,X,X,X,X,O,O,O
LTJZSIO,X,X,O,O,O,O,X
LTJZSOI,O,X,O,O,O,O,X
LTJZOIS,X,X,X,X,O,O,O
LTJZOSI,O,X,O,X,O,O,O
LTJOISZ,O,O,X,O,X,X,X
LTJOIZS,O,X,X,X,O,O,O
LTJOSIZ,O,O,O,O,X,X,X
LTJOSZI,O,O,O,O,X,X,X
LTJOZIS,X,X,X,X,O,O,O
LTJOZSI,O,X,O,X,O,O,O
LTSIJZO,O,O,X,O,X,X,X
LTSIJOZ,O,O,O,O,X,X,X
LTSIZJO,O,O,X,O,X,X,X
LTSIZOJ,O,O,X,O,X,X,O
LTSIOJZ,O,O,O,O,X,X,X
LTSIOZJ,O,O,X,O,X,X,O
LTSJIZO,O,O,X,O,X,X,X
LTSJIOZ,O,O,O,O,X,X,X
LTSJZIO,X,O,O,O,X,X,X
LTSJZOI,O,O,O,O,X,X,X
LTSJOIZ,O,O,O,O,X,X,X
LTSJOZI,O,O,O,O,X,X,X
LTSZIJO,X,O,O,O,X,X,X
LTSZIOJ,X,O,O,O,X,X,O
LTSZJIO,X,O,O,O,X,X,X
LTSZJOI,O,O,O,O,X,X,X
LTSZOIJ,X,O,O,O,X,X,O
LTSZOJI,O,O,O,O,X,X,O
LTSOIJZ,O,O,O,O,X,X,X
LTSOIZJ,O,O,X,O,X,X,O
LTSOJIZ,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,X,X,X
LTSOZIJ,X,O,O,O,X,X,O
LTSOZJI,O,O,O,O,X,X,O
LTZIJSO,X,X,X,O,O,O,X
LTZIJOS,X,X,X,X,O,O,O
LTZISJO,X,O,X,O,O,X,X
LTZISOJ,X,O,X,O,X,X,O
LTZIOJS,X,X,X,X,O,X,O
LTZIOSJ,X,O,X,O,O,X,O
LTZJISO,X,X,X,O,O,O,X
LTZJIOS,X,X,X,X,O,O,O
LTZJSIO,X,X,O,O,O,O,X
LTZJSOI,O,X,O,O,O,O,X
LTZJOIS,X,X,X,X,O,O,O
LTZJOSI,O,X,O,X,O,O,O
LTZSIJO,X,O,O,O,O,X,X
LTZSIOJ,X,O,O,O,X,X,O
LTZSJIO,X,O,O,O,O,X,X
LTZSJOI,O,O,O,O,O,X,X
LTZSOIJ,X,O,O,O,X,X,O
LTZSOJI,O,O,O,O,X,X,O
LTZOIJS,X,X,X,X,O,X,O
LTZOISJ,X,O,X,O,O,X,O
LTZOJIS,X,X,X,X,O,X,O
LTZOJSI,O,X,O,X,O,X,O
LTZOSIJ,X,O,O,O,O,X,O
LTZOSJI,O,O,O,O,O,X,O
LTOIJSZ,O,O,X,O,X,X,X
LTOIJZS,O,X,X,X,O,O,O
LTOISJZ,O,O,X,O,X,X,X
LTOISZJ,O,O,X,O,X,X,O
LTOIZJS,O,X,X,X,O,O,O
LTOIZSJ,O,O,X,O,O,X,O
LTOJISZ,O,O,X,O,X,X,X
LTOJIZS,O,X,X,X,O,O,O
LTOJSIZ,O,O,O,O,X,X,X
LTOJSZI,O,O,O,O,X,X,X
LTOJZIS,X,X,X,X,O,O,O
LTOJZSI,O,X,O,X,O,O,O
LTOSIJZ,O,O,O,O,X,X,X
LTOSIZJ,O,O,X,O,X,X,O
LTOSJIZ,O,O,O,O,X,X,X
LTOSJZI,O,O,O,O,X,X,X
LTOSZIJ,X,O,O,O,X,X,O
LTOSZJI,O,O,O,O,X,X,O
LTOZIJS,X,X,X,X,O,O,O
LTOZISJ,X,O,X,O,O,X,O
LTOZJIS,X,X,X,X,O,O,O
LTOZJSI,O,X,O,X,O,O,O
LTOZSIJ,X,O,O,O,O,X,O
LTOZSJI,O,O,O,O,O,X,O
LITJSZO,O,O,X,O,X,X,X
LITJSOZ,O,O,X,O,X,X,X
LITJZSO,O,X,X,O,O,O,X
LITJZOS,O,X,X,X,O,O,O
LITJOSZ,O,O,X,O,X,X,X
LITJOZS,O,X,X,X,O,O,O
LITSJZO,O,O,X,O,X,X,X
LITSJOZ,O,O,X,O,X,X,X
LITSZJO,O,O,X,O,X,X,X
LITSZOJ,O,O,X,O,X,X,O
LITSOJZ,O,O,X,O,X,X,X
LITSOZJ,O,O,X,O,X,X,O
LITZJSO,O,X,X,O,O,O,X
LITZJOS,O,X,X,X,O,O,O
LITZSJO,O,O,X,O,O,X,X
LITZSOJ,O,O,X,O,X,X,O
LITZOJS,O,X,X,X,O,X,O
LITZOSJ,O,O,X,O,O,X,O
LITOJSZ,O,O,X,O,X,X,X
LITOJZS,O,X,X,X,O,O,O
LITOSJZ,O,O,X,O,X,X,X
LITOSZJ,O,O,X,O,X,X,O
LITOZJS,O,X,X,X,O,O,O
LITOZSJ,O,O,X,O,O,X,O
LIJTSZO,O,O,X,O,X,X,X
LIJTSOZ,O,O,X,O,X,X,X
LIJTZSO,O,X,X,O,X,O,X
LIJTZOS,O,X,X,X,X,O,O
LIJTOSZ,O,O,X,O,X,X,X
LIJTOZS,O,X,X,X,X,O,O
LIJSTZO,O,O,X,X,X,X,X
LIJSTOZ,O,O,O,X,X,X,X
LIJSZTO,O,X,O,X,X,X,X
LIJSZOT,O,X,O,X,X,X,X
LIJSOTZ,O,O,O,X,X,X,X
LIJSOZT,O,X,O,X,X,X,X
LIJZTSO,O,X,X,O,X,X,X
LIJZTOS,O,X,X,X,X,X,X
LIJZSTO,O,X,O,X,X,X,X
LIJZSOT,O,X,O,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X
LIJZOST,O,X,O,X,X,X,X
LIJOTSZ,O,O,X,X,X,X,X
LIJOTZS,O,X,X,X,X,X,X
LIJOSTZ,O,O,O,X,X,X,X
LIJOSZT,O,X,O,X,X,X,X
LIJOZTS,O,X,X,X,X,X,X
LIJOZST,O,X,O,X,X,X,X
LISTJZO,O,O,X,O,X,X,X
LISTJOZ,O,O,O,O,X,X,X
LISTZJO,O,O,X,O,X,X,X
LISTZOJ,O,O,X,O,X,X,O
LISTOJZ,O,O,O,O,X,X,X
LISTOZJ,O,O,X,O,X,X,O
LISJTZO,O,O,X,X,X,X,X
LISJTOZ,O,O,O,X,X,X,X
LISJZTO,O,X,O,X,X,X,X
LISJZOT,O,X,O,X,X,X,X
LISJOTZ,O,O,O,X,X,X,X
LISJOZT,O,X,O,X,X,X,X
LISZTJO,O,O,O,O,X,X,X
LISZTOJ,O,O,O,O,X,X,X
LISZJTO,O,X,O,X,X,X,X
LISZJOT,O,X,O,X,X,X,X
LISZOTJ,O,O,O,X,X,X,X
LISZOJT,O,X,O,X,X,X,X
LISOTJZ,O,O,O,X,X,X,X
LISOTZJ,O,O,X,X,X,X,X
LISOJTZ,O,O,O,X,X,X,X
LISOJZT,O,X,O,X,X,X,X
LISOZTJ,O,O,O,X,X,X,X
LISOZJT,O,X,O,X,X,X,X
LIZTJSO,O,X,X,O,O,X,X
LIZTJOS,O,X,X,X,O,X,O
LIZTSJO,O,O,X,O,O,X,X
LIZTSOJ,O,O,X,O,X,X,O
LIZTOJS,O,X,X,X,O,X,O
LIZTOSJ,O,O,X,O,O,X,O
LIZJTSO,O,X,X,O,X,X,X
LIZJTOS,O,X,X,X,X,X,X
LIZJSTO,O,X,O,X,X,X,X
LIZJSOT,O,X,O,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X
LIZJOST,O,X,O,X,X,X,X
LIZSTJO,O,O,O,O,O,X,X
LIZSTOJ,O,O,O,O,X,X,X
LIZSJTO,O,X,O,X,X,X,X
LIZSJOT,O,X,O,X,X,X,X
LIZSOTJ,O,O,O,X,O,X,X
LIZSOJT,O,X,O,X,X,X,X
LIZOTJS,O,X,X,X,O,X,X
LIZOTSJ,O,O,X,O,O,X,X
LIZOJTS,O,X,X,X,X,X,X
LIZOJST,O,X,O,X,X,X,X
LIZOSTJ,O,O,O,X,O,X,X
LIZOSJT,O,X,O,X,X,X,X
LIOTJSZ,O,O,X,O,X,X,X
LIOTJZS,O,X,X,X,O,X,O
LIOTSJZ,O,O,X,O,X,X,X
LIOTSZJ,O,O,X,O,X,X,O
LIOTZJS,O,X,X,X,O,X,O
LIOTZSJ,O,O,X,O,O,X,O
LIOJTSZ,O,O,X,X,X,X,X
LIOJTZS,O,X,X,X,X,X,X
LIOJSTZ,O,O,O,X,X,X,X
LIOJSZT,O,X,O,X,X,X,X
LIOJZTS,O,X,X,X,X,X,X
LIOJZST,O,X,O,X,X,X,X
LIOSTJZ,O,O,O,X,X,X,X
LIOSTZJ,O,O,X,X,X,X,X
LIOSJTZ,O,O,O,X,X,X,X
LIOSJZT,O,X,O,X,X,X,X
LIOSZTJ,O,O,O,X,X,X,X
LIOSZJT,O,X,O,X,X,X,X
LIOZTJS,O,X,X,X,O,X,O
LIOZTSJ,O,O,X,O,O,X,O
LIOZJTS,O,X,X,X,X,X,X
LIOZJST,O,X,O,X,X,X,X
LIOZSTJ,O,O,O,X,O,X,X
LIOZSJT,O,X,O,X,X,X,X
LJTISZO,O,O,X,O,X,X,X
LJTISOZ,O,O,X,O,X,X,X
LJTIZSO,O,X,X,O,O,O,X
LJTIZOS,O,X,X,X,O,O,O
LJTIOSZ,O,O,X,O,X,X,X
LJTIOZS,O,X,X,X,O,O,O
LJTSIZO,O,O,X,O,X,X,X
LJTSIOZ,O,O,O,O,X,X,X
LJTSZIO,X,O,O,O,X,X,X
LJTSZOI,O,O,O,O,X,X,X
LJTSOIZ,O,O,O,O,X,X,X
LJTSOZI,O,O,O,O,X,X,X
LJTZISO,X,X,X,O,O,O,X
LJTZIOS,X,X,X,X,O,O,O
LJTZSIO,X,X,O,O,O,O,X
LJTZSOI,O,X,O,O,O,O,X
LJTZOIS,X,X,X,X,O,O,O
LJTZOSI,O,X,O,X,O,O,O
LJTOISZ,O,O,X,O,X,X,X
LJTOIZS,O,X,X,X,O,O,O
LJTOSIZ,O,O,O,O,X,X,X
LJTOSZI,O,O,O,O,X,X,X
LJTOZIS,X,X,X,X,O,O,O
LJTOZSI,O,X,O,X,O,O,O
LJITSZO,O,O,X,O,X,X,X
LJITSOZ,O,O,X,O,X,X,X
LJITZSO,O,X,X,O,X,O,X
LJITZOS,O,X,X,X,X,O,O
LJITOSZ,O,O,X,O,X,X,X
LJITOZS,O,X,X,X,X,O,O
LJISTZO,O,O,X,X,X,X,X
LJISTOZ,O,O,O,X,X,X,X
LJISZTO,O,X,O,X,X,X,X
LJISZOT,O,X,O,X,X,X,X
LJISOTZ,O,O,O,X,X,X,X
LJISOZT,O,X,O,X,X,X,X
LJIZTSO,O,X,X,O,X,X,X
LJIZTOS,O,X,X,X,X,X,X
LJIZSTO,O,X,O,X,X,X,X
LJIZSOT,O,X,O,X,X,X,X
LJIZOTS,O,X,X,X,X,X,X
LJIZOST,O,X,O,X,X,X,X
LJIOTSZ,O,O,X,X,X,X,X
LJIOTZS,O,X,X,X,X,X,X
LJIOSTZ,O,O,O,X,X,X,X
LJIOSZT,O,X,O,X,X,X,X
LJIOZTS,O,X,X,X,X,X,X
LJIOZST,O,X,O,X,X,X,X
LJSTIZO,O,O,X,X,X,X,X
LJSTIOZ,O,O,O,X,X,X,X
LJSTZIO,X,O,O,X,X,X,X
LJSTZOI,O,O,O,X,X,X,X
LJSTOIZ,O,O,O,X,X,X,X
LJSTOZI,O,O,O,X,X,X,X
LJSITZO,O,O,X,X,X,X,X
LJSITOZ,O,O,O,X,X,X,X
LJSIZTO,O,X,O,X,X,X,X
LJSIZOT,O,X,O,X,X,X,X
LJSIOTZ,O,O,O,X,X,X,X
LJSIOZT,O,X,O,X,X,X,X
LJSZTIO,X,X,O,X,X,X,X
LJSZTOI,O,X,O,X,X,X,X
LJSZITO,O,X,O,X,X,X,X
LJSZIOT,O,X,O,X,X,X,X
LJSZOTI,O,X,O,X,X,X,X
LJSZOIT,O,X,O,X,X,X,X
LJSOTIZ,O,O,O,X,X,X,X
LJSOTZI,O,O,O,X,X,X,X
LJSOITZ,O,O,O,X,X,X,X
LJSOIZT,O,X,O,X,X,X,X
LJSOZTI,O,X,O,X,X,X,X
LJSOZIT,O,X,O,X,X,X,X
LJZTISO,X,X,X,O,O,X,X
LJZTIOS,X,X,X,X,O,X,X
LJZTSIO,X,X,O,O,O,X,X
LJZTSOI,O,X,O,O,O,X,X
LJZTOIS,X,X,X,X,O,X,X
LJZTOSI,O,X,O,X,O,X,X
LJZITSO,O,X,X,O,X,X,X
LJZITOS,O,X,X,X,X,X,X
LJZISTO,O,X,O,X,X,X,X
LJZISOT,O,X,O,X,X,X,X
LJZIOTS,O,X,X,X,X,X,X
LJZIOST,O,X,O,X,X,X,X
LJZSTIO,X,X,O,X,O,X,X
LJZSTOI,O,X,O,X,O,X,X
LJZSITO,O,X,O,X,X,X,X
LJZSIOT,O,X,O,X,X,X,X
LJZSOTI,O,X,O,X,X,X,X
LJZSOIT,O,X,O,X,X,X,X
LJZOTIS,X,X,X,X,O,X,X
LJZOTSI,O,X,O,X,O,X,X
LJZOITS,O,X,X,X,X,X,X
LJZOIST,O,X,O,X,X,X,X
LJZOSTI,O,X,O,X,O,X,X
LJZOSIT,O,X,O,X,X,X,X
LJOTISZ,O,O,X,X,X,X,X
LJOTIZS,O,X,X,X,O,O,O
LJOTSIZ,O,O,O,X,X,X,X
LJOTSZI,O,O,O,X,X,X,X
LJOTZIS,X,X,X,X,O,O,O
LJOTZSI,O,X,O,X,O,O,O
LJOITSZ,O,O,X,X,X,X,X
LJOITZS,O,X,X,X,X,X,X
LJOISTZ,O,O,O,X,X,X,X
LJOISZT,O,X,O,X,X,X,X
LJOIZTS,O,X,X,X,X,X,X
LJOIZST,O,X,O,X,X,X,X
LJOSTIZ,O,O,O,X,X,X,X
LJOSTZI,O,O,O,X,X,X,X
LJOSITZ,O,O,O,X,X,X,X
LJOSIZT,O,X,O,X,X,X,X
LJOSZTI,O,X,O,X,X,X,X
LJOSZIT,O,X,O,X,X,X,X
LJOZTIS,X,X,X,X,O,O,O
LJOZTSI,O,X,O,X,O,O,O
LJOZITS,O,X,X,X,X,X,X
LJOZIST,O,X,O,X,X,X,X
LJOZSTI,O,X,O,X,O,X,X
LJOZSIT,O,X,O,X,X,X,X
LSTIJZO,O,O,X,O,X,X,X
LSTIJOZ,O,O,O,O,X,X,X
LSTIZJO,O,O,X,O,X,X,X
LSTIZOJ,O,O,X,O,X,X,O
LSTIOJZ,O,O,O,O,X,X,X
LSTIOZJ,O,O,X,O,X,X,O
LSTJIZO,O,O,X,O,X,X,X
LSTJIOZ,O,O,O,O,X,X,X
LSTJZIO,X,O,O,O,X,X,X
LSTJZOI,O,O,O,O,X,X,X
LSTJOIZ,O,O,O,O,X,X,X
LSTJOZI,O,O,O,O,X,X,X
LSTZIJO,X,O,O,O,X,X,X
LSTZIOJ,X,O,O,O,X,X,O
LSTZJIO,X,O,O,O,X,X,X
LSTZJOI,O,O,O,O,X,X,X
LSTZOIJ,X,O,O,O,X,X,O
LSTZOJI,O,O,O,O,X,X,O
LSTOIJZ,O,O,O,O,X,X,X
LSTOIZJ,O,O,X,O,X,X,O
LSTOJIZ,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X
LSTOZIJ,X,O,O,O,X,X,O
LSTOZJI,O,O,O,O,X,X,O
LSITJZO,O,O,X,O,X,X,X
LSITJOZ,O,O,O,O,X,X,X
LSITZJO,O,O,X,O,X,X,X
LSITZOJ,O,O,X,O,X,X,O
LSITOJZ,O,O,O,O,X,X,X
LSITOZJ,O,O,X,O,X,X,O
LSIJTZO,O,O,X,X,X,X,X
LSIJTOZ,O,O,O,X,X,X,X
LSIJZTO,O,X,O,X,X,X,X
LSIJZOT,O,X,O,X,X,X,X
LSIJOTZ,O,O,O,X,X,X,X
LSIJOZT,O,X,O,X,X,X,X
LSIZTJO,O,O,O,O,X,X,X
