sequence,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeC7Iv?hETcBmdB5jB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hECcBmdB5jBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEugBchBxdB6oBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEWhBxdB6oBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEchBxdB6oB1qBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hETcBxdB6oB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hExdB6oB3lBcmBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jB3lBFmBCrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBfmB6oBUlBGqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBGgB6oB8qBFqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JecBJv?hEmdB5jBqlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeSBJv?hEmdB5jBzlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hExdB6oB3lBcmBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jel7Iv?hExdB6oBuqBfqBcrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jBXhB1qBCrB
JLOSZTI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JLOSZIT,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JLOZTIS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOZTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZITS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOZIST,O,X,O,O,X,O,X,X,X,X,O,O,X,O,X
JLOZSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOZSIT,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
JSTILZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSTIZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSTIOLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSTIOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSTLIZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTLIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTLZOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTLOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTOIZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSTOLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSITZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSITOLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSITOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSILTZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSILTOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSILZTO,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JSILZOT,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSILOTZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSILOZT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZTLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSIZLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIZOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
JSIOTZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSIOLTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSIOLZT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSIOZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIOZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSLTIZO,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JSLTIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JSLTZOI,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JSLTOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JSLITOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSLIZTO,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X
JSLIZOT,O,O,X,X,X,X,O,X,O,X,O,X,O,O,X
JSLIOTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLIOZT,O,O,X,O,X,O,O,X,O,X,X,X,O,O,X
JSLZTIO,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JSLZTOI,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JSLZITO,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X
JSLZIOT,O,O,X,X,X,X,O,X,O,X,O,X,O,O,X
JSLZOTI,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X
JSLZOIT,O,O,X,X,X,X,O,X,O,X,X,X,O,O,X
JSLOTIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLOIZT,O,O,X,O,X,O,O,X,O,X,X,X,O,O,X
JSLOZTI,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X
JSLOZIT,X,O,X,O,X,O,O,X,O,X,X,X,O,O,X
JSZTILO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSZILTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLTOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLITO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLIOT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLOTI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZLOIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTILZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOTIZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
JSOITZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JSOILTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOILZT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOIZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOIZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOLTIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
JSOLIZT,O,O,X,O,X,O,O,X,O,X,X,O,O,X,X
JSOLZTI,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JSOLZIT,X,O,X,O,X,O,O,X,O,X,X,X,O,X,X
JSOZTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTLSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTLOSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTSILO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTOLSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZILSTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JZILOTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZILOST,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JZISTLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JZISLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZIOLST,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JZIOSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZIOSLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZLTISO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLTIOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLTSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLTSOI,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLTOIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLTOSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLITSO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLITOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLISTO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLISOT,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X
JZLIOTS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLIOST,O,X,O,O,X,O,X,X,X,O,O,X,X,O,X
JZLSTIO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLSTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLSITO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLSIOT,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X
JZLSOTI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLSOIT,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JZLOTIS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLOTSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLOITS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLOIST,O,X,O,O,X,O,X,X,X,O,O,X,X,O,X
JZLOSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLOSIT,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X
JZSTILO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JZSILTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZSLOTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSLOIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZSOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSOLIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOTILS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOTLSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOILTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOILST,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JZOISTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOISLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOLTIS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOLTSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLITS,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOLIST,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X
JZOLSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSIT,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JZOSTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOSLIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOTILSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTILZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOTISZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOTLIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTLZSI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTSIZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOITLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOITSZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOITZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOILTZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
JOILSZT,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
JOILZTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JOILZST,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X
JOISTLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
JOISTZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JOISLTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOISLZT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOISZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOIZTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOIZSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZSLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JOLTISZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLTIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLTZSI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOLITSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JOLITZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
JOLISZT,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X
JOLIZTS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,O,O,X,O,X,X,X,X,O,O,X,O,X
JOLSTIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
JOLSIZT,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X
JOLSZTI,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
JOLSZIT,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JOLZTIS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,O,O,X,O,X,X,X,X,O,O,X,O,X
JOLZSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLZSIT,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
JOSTILZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSTIZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSTLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
JOSITZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
JOSILTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOSILZT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSIZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSIZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLTIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSLTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
JOSLIZT,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X
JOSLZTI,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSLZIT,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X
JOSZTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTILS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
