sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
TSZLIJO,X,O,X,X,X,O,O
TSZLIOJ,X,O,X,X,X,O,O
TSZLJIO,X,O,X,X,X,O,O
TSZLJOI,X,O,X,X,X,O,X
TSZLOIJ,X,O,X,X,X,O,X
TSZLOJI,X,O,X,X,X,O,X
TSZJILO,X,O,X,X,X,X,O
TSZJIOL,X,O,X,X,X,X,O
TSZJLIO,X,O,X,X,X,O,O
TSZJLOI,X,O,X,X,X,O,X
TSZJOIL,X,O,X,X,X,X,X
TSZJOLI,X,O,X,X,X,O,X
TSZOILJ,X,O,X,X,X,X,X
TSZOIJL,X,O,X,X,X,X,X
TSZOLIJ,X,O,X,X,X,O,X
TSZOLJI,X,O,X,X,X,O,X
TSZOJIL,X,O,X,X,X,X,X
TSZOJLI,X,O,X,X,X,O,X
TSOILJZ,X,O,X,X,X,X,X
TSOILZJ,X,O,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X
TSOIZLJ,X,O,X,X,X,X,X
TSOIZJL,X,O,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X
TSOLIZJ,X,O,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,X,X
TSOLJZI,X,O,X,X,X,X,X
TSOLZIJ,X,O,X,X,X,X,X
TSOLZJI,X,O,X,X,X,X,X
TSOJILZ,X,O,X,X,X,X,X
TSOJIZL,X,O,X,X,X,X,X
TSOJLIZ,X,O,X,X,X,X,X
TSOJLZI,X,O,X,X,X,X,X
TSOJZIL,X,O,X,X,X,X,X
TSOJZLI,X,O,X,X,X,X,X
TSOZILJ,X,O,X,X,X,X,X
TSOZIJL,X,O,X,X,X,X,X
TSOZLIJ,X,O,X,X,X,X,X
TSOZLJI,X,O,X,X,X,X,X
TSOZJIL,X,O,X,X,X,X,X
TSOZJLI,X,O,X,X,X,X,X
TZILJSO,X,X,O,X,X,X,O
TZILJOS,O,X,O,X,X,X,O
TZILSJO,X,X,O,X,X,X,O
TZILSOJ,X,X,O,X,X,X,O
TZILOJS,O,X,O,X,X,X,O
TZILOSJ,O,X,O,X,X,X,O
TZIJLSO,X,X,O,X,X,X,O
TZIJLOS,O,X,O,X,X,X,O
TZIJSLO,X,X,O,X,X,X,O
TZIJSOL,X,X,O,X,X,X,O
TZIJOLS,O,X,O,X,X,X,O
TZIJOSL,O,X,O,X,X,X,O
TZISLJO,X,X,O,X,X,X,O
TZISLOJ,X,X,O,X,X,X,O
TZISJLO,X,X,O,X,X,X,O
TZISJOL,X,X,O,X,X,X,O
TZISOLJ,X,X,O,X,X,X,O
TZISOJL,X,X,O,X,X,X,O
TZIOLJS,O,X,O,X,X,X,O
TZIOLSJ,O,X,O,X,X,X,O
TZIOJLS,O,X,O,X,X,X,O
TZIOJSL,O,X,O,X,X,X,O
TZIOSLJ,O,X,O,X,X,X,O
TZIOSJL,O,X,O,X,X,X,O
TZLIJSO,X,X,X,X,X,O,O
TZLIJOS,O,X,X,X,X,O,O
TZLISJO,X,X,X,X,X,O,O
TZLISOJ,X,X,X,X,X,O,O
TZLIOJS,O,X,X,X,X,O,O
TZLIOSJ,O,X,X,X,X,O,O
TZLJISO,X,X,X,X,X,O,O
TZLJIOS,O,X,X,X,X,O,O
TZLJSIO,X,X,X,X,X,O,O
TZLJSOI,X,X,O,X,X,O,X
TZLJOIS,O,X,O,X,X,O,X
TZLJOSI,O,X,O,X,X,O,X
TZLSIJO,X,X,X,X,X,O,O
TZLSIOJ,X,X,X,X,X,O,O
TZLSJIO,X,X,X,X,X,O,O
TZLSJOI,X,X,O,X,X,O,X
TZLSOIJ,X,X,O,X,X,O,X
TZLSOJI,X,X,O,X,X,O,X
TZLOIJS,O,X,O,X,X,O,X
TZLOISJ,O,X,O,X,X,O,X
TZLOJIS,O,X,O,X,X,O,X
TZLOJSI,O,X,O,X,X,O,X
TZLOSIJ,O,X,O,X,X,O,X
TZLOSJI,O,X,O,X,X,O,X
TZJILSO,X,X,O,X,X,X,O
TZJILOS,O,X,O,X,X,X,O
TZJISLO,X,X,O,X,X,X,O
TZJISOL,X,X,O,X,X,X,O
TZJIOLS,O,X,O,X,X,X,O
TZJIOSL,O,X,O,X,X,X,O
TZJLISO,X,X,X,X,X,O,O
TZJLIOS,O,X,X,X,X,O,O
TZJLSIO,X,X,X,X,X,O,O
TZJLSOI,X,X,O,X,X,O,X
TZJLOIS,O,X,O,X,X,O,X
TZJLOSI,O,X,O,X,X,O,X
TZJSILO,X,X,O,X,X,X,O
TZJSIOL,X,X,O,X,X,X,O
TZJSLIO,X,X,X,X,X,O,O
