sequence,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXB/gBaiBThBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFTW?BxXB/hBaiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhF6W?BxXBTcBeiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBygBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBlgBzhB8qBiqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JexyIvhFGW?B/gBicBzhB8qBFqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXBzcBlgBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhFxS?B+bBicBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFCS?BOdBlbBRmBcmB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhF5b?BOcBXYBzhB8qBaqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFUX?BFYBRmBTlBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFcb?BXYB2hBCcBRmBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhFXY?BRmBamB0hBTlBGqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jea7IvhF5b?BOcBXYBzhB8qBFqB
JLOSTIZ,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JLOSTZI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JLOSITZ,O,X,O,O,X,X,O,X,O,X,X,X,X,X
JLOSIZT,O,O,O,O,O,X,X,X,O,X,X,X,X,X
JLOSZTI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZTIS,X,X,O,O,O,X,O,X,X,X,X,X,X,X
JLOZTSI,X,X,O,O,O,X,O,X,X,X,X,X,X,X
JLOZITS,X,X,O,O,X,X,O,X,O,X,X,X,X,X
JLOZIST,O,X,O,O,X,X,X,X,O,X,X,X,X,X
JLOZSTI,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLOZSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,O,O,O,X,X,X,X,X,X,O,X,X,X
JSTIZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTIZOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JSTIOZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTLIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSTLOZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSTZILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOILZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSTOLZI,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSTOZIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTOZLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSITLOZ,O,O,O,O,X,X,X,X,X,X,O,X,X,X
JSITZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSITZOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JSITOZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSILTZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,O,O,O,X,X,X,X,X,X,O,X,X,X
JSILZTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,O,X,O,O,X,X,O,X,X,X,O,X,X,X
JSILOZT,O,O,O,O,O,X,X,X,X,X,O,X,X,X
JSIZTLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSIZOLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JSIOTZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JSIOLZT,O,X,O,O,O,X,X,O,X,X,O,X,X,X
JSIOZTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSIOZLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLTOZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLITZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLIOZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JSLOTZI,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JSLOITZ,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JSLOIZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSLOZTI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSLOZIT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSZTILO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZTOLI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZITLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZIOLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZOTLI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSZOLIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X
JSOTILZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOTLZI,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSOTZIL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOTZLI,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOITLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOILZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JSOIZTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOLTZI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOLITZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOLIZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSOLZTI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSOLZIT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSOZTIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JSOZLIT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JZTILSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTISLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,O,O,X,O,X,X,X,X,O,O,X,X,X
JZTIOSL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JZTLISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTLOSI,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTSILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZTOILS,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JZTOISL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JZTOLIS,O,O,O,O,O,O,X,X,X,O,X,X,X,X
JZTOLSI,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JZTOSIL,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JZTOSLI,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JZITLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,O,X,X,X,X,X,X,X,X,O,X,X,X
JZITSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,O,O,X,O,X,X,X,X,X,O,X,X,X
JZITOSL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZILSTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,X,X,X,X,O,X,X,X,O,X,X,O
JZILOST,O,O,X,X,X,X,X,X,X,X,O,X,X,O
JZISTLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JZIOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JZIOLST,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JZIOSTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZIOSLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZLTOSI,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JZLITSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLISTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JZLIOST,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLSITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLOTIS,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JZLOTSI,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZLOITS,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLOIST,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLOSTI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZLOSIT,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZSTILO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSTOIL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZSTOLI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZSITLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZSOTLI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZSOITL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZSOLTI,O,O,O,O,O,O,X,O,X,X,X,X,X,X
JZSOLIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X
JZOTILS,X,X,O,X,O,X,X,X,X,O,X,O,X,X
JZOTISL,X,O,O,X,O,X,X,X,X,O,X,O,X,X
JZOTLIS,X,X,O,O,O,O,X,X,X,O,X,X,X,X
JZOTLSI,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JZOTSIL,X,O,O,O,O,X,X,X,X,O,X,O,X,X
JZOTSLI,X,O,O,O,O,X,X,X,X,O,X,X,X,X
JZOITLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZOITSL,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JZOILTS,X,X,O,X,X,O,X,X,X,X,X,X,X,O
JZOILST,X,O,O,X,O,O,X,X,X,X,X,O,X,O
JZOISTL,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZOISLT,O,O,O,X,O,X,X,X,X,X,X,O,X,X
JZOLTIS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JZOLTSI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZOLITS,X,X,O,O,X,O,X,X,X,X,X,X,X,O
JZOLIST,O,O,O,O,X,O,X,X,X,X,X,X,X,O
JZOLSTI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,O,O,X,X,X,X,X,X,O,X,X
JZOSILT,O,O,O,O,O,O,X,X,X,X,X,O,X,X
JZOSLTI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOTILSZ,O,O,O,O,X,X,X,O,X,X,O,X,X,X
JOTILZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JOTISLZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JOTISZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JOTIZSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,O,O,O,X,X,O,O,X,X,X,X,X,X
JOTLIZS,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JOTLSIZ,O,O,O,O,X,X,O,O,X,X,X,X,X,X
JOTLSZI,O,O,O,O,X,X,O,O,X,X,X,X,X,X
JOTLZIS,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JOTLZSI,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JOTSILZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOTSIZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JOTSLZI,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JOTSZIL,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JOTSZLI,O,O,O,O,O,X,X,O,X,O,X,X,X,X
JOTZILS,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JOTZISL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
JOTZLIS,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JOTZLSI,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JOTZSIL,O,O,O,O,O,X,X,X,X,O,X,X,X,X
JOTZSLI,O,O,O,O,O,X,X,O,X,O,X,X,X,X
JOITLSZ,O,O,O,O,X,X,X,O,X,X,O,X,X,X
JOITLZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JOITSLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOITSZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JOITZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,O,O,X,O,X,X,O,O,O,X,O,X,X,X
JOILTZS,O,X,X,X,X,X,O,X,O,X,O,X,X,X
JOILSTZ,O,X,O,O,X,X,O,O,O,X,O,X,X,X
JOILSZT,O,O,O,O,O,X,X,O,O,X,O,X,X,X
JOILZTS,X,X,O,O,X,O,O,X,O,X,O,X,X,X
JOILZST,O,X,O,O,X,O,X,O,O,X,O,X,X,X
JOISTLZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JOISTZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOISLTZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
JOISLZT,O,X,O,O,O,X,X,O,X,X,O,X,X,X
JOISZTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOISZLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOIZTLS,X,X,O,X,O,X,X,X,X,X,O,X,X,X
JOIZTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOIZLTS,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JOIZLST,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JOIZSTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOIZSLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLTISZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X
JOLTIZS,O,X,X,O,X,X,O,X,O,X,X,X,X,X
JOLTSIZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JOLTSZI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JOLTZIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLTZSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOLITSZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X
JOLITZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOLISTZ,O,X,O,O,X,X,O,O,O,X,X,X,X,X
JOLISZT,O,O,O,O,X,X,X,O,O,X,X,X,X,X
JOLIZTS,X,X,O,O,X,O,O,X,O,X,X,X,X,X
JOLIZST,O,X,O,O,X,O,X,O,O,X,X,X,X,X
JOLSTIZ,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JOLSTZI,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOLSITZ,O,X,O,O,X,X,O,O,O,X,X,X,X,X
JOLSIZT,O,O,O,O,O,X,X,O,O,X,X,X,X,X
JOLSZTI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
JOLSZIT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOLZTIS,X,X,O,O,O,O,O,X,X,X,X,X,X,X
JOLZTSI,X,X,O,O,O,X,O,X,X,X,X,X,X,X
JOLZITS,X,X,O,O,X,O,O,X,O,X,X,X,X,X
JOLZIST,O,X,O,O,X,O,X,O,O,X,X,X,X,X
JOLZSTI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
JOLZSIT,O,X,O,O,O,O,X,O,X,X,X,X,X,X
JOSTILZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSTLZI,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOSTZIL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSTZLI,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSITLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JOSILTZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSILZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JOSIZTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSIZLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSLTZI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSLITZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOSLIZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOSLZTI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOSLZIT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOSZTIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZTLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZITL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSZLTI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOSZLIT,O,O,O,O,O,X,X,O,X,X,X,X,X,X
JOZTILS,X,X,O,X,O,X,X,X,X,O,X,X,X,X
JOZTISL,X,O,O,X,O,X,X,X,X,O,X,X,X,X
JOZTLIS,X,X,O,O,O,O,X,X,X,O,X,X,X,X
JOZTLSI,X,X,O,O,O,X,X,X,X,O,X,X,X,X
JOZTSIL,X,O,O,O,O,X,X,X,X,O,X,X,X,X
JOZTSLI,X,O,O,O,O,X,X,X,X,O,X,X,X,X
JOZITLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOZITSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOZILTS,X,X,O,X,X,O,X,X,X,X,X,X,X,O
JOZILST,X,O,O,X,O,O,X,X,X,X,X,X,X,O
JOZISTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOZISLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JOZLTIS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOZLTSI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOZLITS,X,X,O,O,X,O,X,X,X,X,X,X,X,O
JOZLIST,O,O,O,O,X,O,X,X,X,X,X,X,X,O
JOZLSTI,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOZLSIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JOZSTIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
