sequence,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhEciBTeBRrBO?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeB0hBd?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeBXiBd?rB0rB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeG9IvhETeBRgBanBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeC9IvhETeBRgBOnBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeT+IvhERgBFiBOrBC?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBmmBf?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBlmBf?rBmrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8Je38IvhETeBlmBcnBG?lBarB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JecCJvhETeBRgB9mBf?rBmrB
TLOJSZI,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,O,O,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,O,X
TLOSIJZ,X,X,O,O,X,X,X,O,X,X
TLOSIZJ,X,X,O,X,X,X,X,O,X,X
TLOSJIZ,X,X,O,O,X,X,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,O,X,O
TLOZJIS,X,O,X,O,X,X,X,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,O,X
TLOZSIJ,X,O,O,X,X,X,X,X,X,X
TLOZSJI,X,O,O,X,X,X,X,X,O,X
TJILSZO,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,O,O,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,O,X,X,X,X,X
TJILOSZ,X,X,X,O,O,O,O,O,X,X
TJILOZS,X,X,X,O,O,O,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,O,O,X,X,X,X
TJISOZL,X,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,O,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X,O,X
TJIZOLS,X,X,X,X,O,O,X,X,X,X
TJIZOSL,X,X,X,X,X,O,X,X,O,X
TJIOLSZ,X,X,X,O,O,O,O,O,X,X
TJIOLZS,X,X,X,O,O,O,X,X,X,X
TJIOSLZ,X,X,X,X,O,O,X,X,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X,X
TJIOZLS,X,X,X,X,O,O,X,X,X,X
TJIOZSL,X,X,X,X,X,O,X,X,O,X
TJLISZO,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,O,O,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,O,O,O,O,X,X
TJLIOZS,X,X,X,O,O,O,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,O,O,O,X,X,X,X,X
TJLSZIO,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,O,O,X,X,X,X,X
TJLSOZI,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,O,X,O,O,X,X,X,X,X
TJLZSIO,X,O,X,X,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X,O,X
TJLZOIS,X,O,X,O,O,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X,O,X
TJLOISZ,X,X,X,O,O,O,O,O,X,X
TJLOIZS,X,X,X,O,O,O,X,X,X,X
TJLOSIZ,X,X,O,O,O,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,O,O,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X,O,X
TJSILZO,X,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,O,X,O,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,O,X,X,X,X
TJSIOZL,X,X,X,X,X,O,X,X,X,X
