sequence,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBGZB?TcByiB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRYBSeB?mcBUcBziBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFecBqcB?xYBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFxYB0cB?6iBOjBXhBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFzXBCZB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhF0XBxYB?VhB3nBmnBCtB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFSeB0bB?RiBznBfnBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFacBTZB?RiBGiB8sBFsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jei2IvhFlYBzbB?RiBusBfsBctB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jey7IvhFzXBWeB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFceBxcB?XcBGiBysBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je27IvhFqcBxdB?zbBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFTZBxcB?UcBliBysBGsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBTcB?FeB0iB2sBCtB
JLOISZT,O,O,O,X,X,X,X,X,O,O,O,O,X,X
JLOIZTS,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JLOIZST,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JLOSTIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JLOSTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOSITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOSIZT,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JLOSZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JLOZTIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JLOZTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLOZITS,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JLOZIST,X,X,X,O,X,X,X,X,O,X,O,X,X,X
JLOZSTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLOZSIT,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JSTILZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTILOZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSTIZLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTIZOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSTIOLZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X
JSTIOZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTLIZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSTLIOZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
JSTLZIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTLOIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTLOZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZIOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSTZLIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZOLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTOILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTOIZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTOLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTOLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTOZIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTOZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSITLZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSITLOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSITZLO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSITZOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSITOLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSITOZL,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSILTZO,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JSILTOZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSILZTO,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSILZOT,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JSILOTZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSILOZT,O,O,O,X,X,X,X,X,X,O,X,O,X,X
JSIZTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSIZOLT,O,X,O,X,X,X,X,X,X,X,O,X,X,X
JSIOTLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIOTZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOLTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIOLZT,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JSIOZTL,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JSIOZLT,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSLTIZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSLTIOZ,O,O,O,X,X,O,X,X,X,O,X,O,O,X
JSLTZIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLTZOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,O,X,X,O,X,X,X,X,X,X,O,X
JSLTOZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLITZO,O,O,X,X,X,X,X,X,X,X,X,O,X,X
JSLITOZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSLIZTO,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLIZOT,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JSLIOTZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JSLIOZT,O,O,O,X,X,X,X,X,X,O,X,O,X,X
JSLZTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLZIOT,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLZOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLOTIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JSLOTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSLOIZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLOZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZTILO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSZTLIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSZTOIL,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSZTOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,O
JSZITLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JSZILOT,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSZIOLT,O,X,O,X,X,X,X,O,X,X,O,X,X,X
JSZLTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZLIOT,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSZLOTI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JSZOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZOITL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSZOILT,O,X,O,X,X,X,X,O,X,X,O,X,X,X
JSZOLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSOTILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOTIZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOITLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOITZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOILTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOILZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOIZTL,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JSOIZLT,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JSOLTIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JSOLTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOLIZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOLZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JSOZTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZITL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOZILT,O,X,O,X,X,X,X,O,X,X,O,X,X,X
JSOZLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JZTILSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
JZTILOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
JZTISLO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTISOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,X,O,O,X,O,X,X,O,X,X,X,X
JZTIOSL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JZTLISO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
JZTLIOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
JZTLSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTLOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JZTSIOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZTSOLI,O,O,O,O,X,X,X,X,X,X,X,X,X,O
JZTOILS,X,O,X,O,O,X,O,X,X,X,X,X,X,X
JZTOISL,X,O,X,X,O,X,O,X,X,X,O,X,X,X
JZTOLIS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZTOLSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
JZTOSLI,O,O,O,O,X,X,X,X,X,X,X,X,X,O
JZITLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITSLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZITOSL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JZILTSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZILTOS,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JZILSTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZILSOT,X,O,X,O,O,X,X,X,X,X,X,O,X,X
JZILOTS,X,X,X,O,O,X,O,X,X,O,X,O,X,X
JZILOST,X,X,X,O,O,X,O,X,X,O,O,O,X,X
JZISTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISLTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JZISLOT,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JZISOTL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JZISOLT,X,X,X,X,O,X,O,O,X,X,O,X,X,X
JZIOTLS,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JZIOTSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
JZIOLTS,X,X,X,O,O,X,O,X,O,O,X,X,X,X
JZIOLST,X,X,X,O,O,X,O,X,O,O,O,X,X,X
JZIOSTL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
JZIOSLT,X,X,X,X,O,X,O,O,O,X,O,X,X,X
JZLTISO,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLTIOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
JZLTSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTSOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLITOS,X,X,X,O,O,X,X,X,X,X,X,O,X,X
JZLISTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZLISOT,X,O,X,O,O,X,X,X,X,X,X,O,X,X
JZLIOTS,X,X,X,O,O,X,O,X,X,O,X,O,X,X
JZLIOST,X,X,X,O,O,X,O,X,X,O,O,O,X,X
JZLSTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZLOTIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZLOTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JZLOIST,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JZLOSTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZSTILO,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZSTIOL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZSTOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JZSITLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSILTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JZSILOT,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JZSIOTL,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JZSIOLT,O,X,O,X,O,X,O,O,X,X,O,X,X,X
JZSLTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZSLIOT,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZSLOTI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,O,X,X,X,O,X,X,X,X,X,X
JZSOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSOITL,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JZSOILT,O,X,O,X,X,X,O,O,X,X,O,X,X,X
JZSOLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JZOTILS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JZOTISL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JZOTLIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOTLSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZOTSLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JZOITLS,X,X,X,X,O,X,O,X,O,X,X,X,X,X
JZOITSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
JZOILTS,X,X,X,O,O,X,O,X,O,X,X,X,X,X
JZOILST,X,X,X,O,O,X,O,X,O,X,O,X,X,X
JZOISTL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
JZOISLT,X,X,X,X,O,X,O,O,O,X,O,X,X,X
JZOLTIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JZOLTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOLITS,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JZOLIST,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JZOLSTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,X,O,O,X,X,O,X,X,X,X,X,X,X
JZOSTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZOSITL,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JZOSILT,O,X,O,X,X,X,O,O,X,X,O,X,X,X
JZOSLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JOTILSZ,O,O,O,O,X,X,X,X,O,O,X,O,X,X
JOTILZS,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JOTISLZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
JOTISZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JOTIZLS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
JOTIZSL,X,O,X,X,X,X,X,X,O,X,O,X,X,X
JOTLISZ,O,O,O,O,X,X,X,X,O,O,X,O,X,X
JOTLIZS,X,O,X,O,X,X,X,X,O,O,X,O,X,X
JOTLSIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTSZIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOTZILS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,O,X,X,X,O,X,X,X,X,O,X,X,X
JOTZLIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTZSLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOITLSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOITLZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOITSZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOITZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOILTSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOILTZS,X,X,X,X,X,X,X,X,O,O,X,O,X,X
JOILSTZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X
JOILSZT,O,O,O,X,X,X,X,X,O,O,X,O,X,X
JOILZTS,X,X,X,X,X,X,O,X,O,O,X,O,X,X
JOILZST,X,X,X,X,X,X,O,X,O,O,O,O,X,X
JOISTLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOISTZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISLTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOISLZT,O,O,O,X,X,X,X,X,O,O,X,X,X,X
JOISZTL,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOISZLT,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JOIZTLS,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JOIZTSL,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOIZLTS,X,X,X,O,X,X,O,X,O,O,X,X,X,X
JOIZLST,X,X,X,O,X,X,O,X,O,O,O,X,X,X
JOIZSTL,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOIZSLT,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOLTISZ,X,X,O,X,X,X,X,X,O,O,X,O,O,X
JOLTIZS,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JOLTSIZ,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JOLTSZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLTZSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOLITZS,X,X,X,X,X,X,X,X,O,O,O,O,X,X
JOLISTZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X
JOLISZT,O,O,O,X,X,X,X,X,O,O,O,O,X,X
JOLIZTS,X,X,X,X,X,X,O,X,O,O,O,O,X,X
JOLIZST,X,X,X,X,X,X,O,X,O,O,O,O,X,X
JOLSTIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JOLSTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOLSIZT,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JOLSZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JOLZTIS,X,X,X,O,X,X,O,X,X,X,O,X,X,X
JOLZTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOLZIST,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOLZSTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOLZSIT,O,X,O,O,X,X,O,X,X,X,O,X,X,X
JOSTILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSTIZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSTLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSTZIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSTZLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSITLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOSITZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSILTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOSILZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JOSIZTL,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOSIZLT,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JOSLTIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JOSLTZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOSLIZT,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JOSLZTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JOSZTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZITL,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSZILT,O,X,O,X,X,X,X,O,X,X,O,X,X,X
JOSZLTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JOZTILS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZTISL,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JOZTLIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZTLSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JOZTSLI,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JOZITLS,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JOZITSL,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOZILTS,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JOZILST,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOZISTL,X,X,X,X,X,X,O,X,O,X,O,X,X,X
JOZISLT,X,X,X,X,X,X,O,O,O,X,O,X,X,X
JOZLTIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOZLTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLITS,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JOZLIST,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOZLSTI,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZLSIT,O,X,O,O,X,X,O,X,X,X,X,X,X,X
