sequence,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB/dB?0bBOjBCjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYBXeB0iBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB0bB?6iBOjB/sBFtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xdB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFScBxdB?zbB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRXBzbB?FeBfoBUnBCtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRcBFeB?zbBfoBUnBCtB
TJIOZSL,O,X,X,X,X,X,X,X
TJLISZO,O,X,O,X,X,O,X,X
TJLISOZ,X,X,O,X,O,O,X,X
TJLIZSO,O,O,X,X,X,O,X,X
TJLIZOS,O,O,X,O,O,O,X,X
TJLIOSZ,X,X,O,X,O,O,X,X
TJLIOZS,X,O,X,X,O,O,X,X
TJLSIZO,O,X,O,X,X,O,X,X
TJLSIOZ,X,X,O,X,O,O,X,X
TJLSZIO,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X,X
TJLSOIZ,X,X,O,X,O,X,X,X
TJLSOZI,X,O,O,X,X,X,X,X
TJLZISO,O,O,X,X,X,O,X,X
TJLZIOS,O,O,X,O,O,O,X,X
TJLZSIO,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X,X
TJLZOIS,O,O,X,O,O,X,X,X
TJLZOSI,O,O,O,O,X,X,X,X
TJLOISZ,X,X,O,X,O,O,X,X
TJLOIZS,X,O,X,X,O,O,X,X
TJLOSIZ,X,X,O,X,O,X,X,X
TJLOSZI,X,O,O,X,X,X,X,X
TJLOZIS,X,O,X,X,O,X,X,X
TJLOZSI,X,O,O,X,X,X,X,X
TJSILZO,O,X,O,X,X,O,X,X
TJSILOZ,X,X,O,X,O,O,X,O
TJSIZLO,O,X,O,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,O
TJSIOLZ,X,X,O,X,X,X,X,O
TJSIOZL,O,X,X,X,X,X,O,O
TJSLIZO,O,X,O,X,X,O,X,X
TJSLIOZ,X,X,O,X,O,O,X,O
TJSLZIO,O,O,O,X,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X,X
TJSLOIZ,X,X,O,X,O,X,X,X
TJSLOZI,X,O,O,X,X,X,O,X
TJSZILO,O,O,O,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,O
TJSZLIO,O,O,O,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,O,X
TJSZOLI,O,X,X,X,X,X,O,X
TJSOILZ,X,X,O,X,X,X,X,O
TJSOIZL,O,X,X,X,X,X,O,O
TJSOLIZ,X,X,O,X,X,X,X,X
TJSOLZI,X,X,O,X,X,X,O,X
TJSOZIL,O,X,X,X,X,X,O,X
TJSOZLI,O,X,X,X,X,X,O,X
TJZILSO,O,O,X,X,X,O,X,X
TJZILOS,O,O,X,O,O,O,X,X
TJZISLO,O,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,X
TJZLISO,O,O,X,X,X,O,X,X
TJZLIOS,O,O,X,O,O,O,X,X
TJZLSIO,O,O,O,X,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X,X
TJZLOIS,O,O,X,O,O,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X
TJZSILO,O,O,O,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X
TJZOILS,O,O,X,O,X,X,X,X
TJZOISL,O,X,X,X,X,X,X,X
TJZOLIS,O,O,X,O,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,O,O,X,X
TJOILZS,X,X,X,X,O,O,X,X
TJOISLZ,X,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X
TJOLISZ,X,X,O,X,O,O,X,X
TJOLIZS,X,O,X,X,O,O,X,X
TJOLSIZ,X,X,O,X,O,X,X,X
TJOLSZI,X,O,O,X,X,X,X,X
TJOLZIS,X,O,X,X,O,X,X,X
TJOLZSI,X,O,O,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,O,X
TJOSLIZ,X,X,O,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X,O,X
TJOSZIL,O,X,X,X,X,X,O,X
TJOSZLI,O,X,X,X,X,X,O,X
TJOZILS,O,O,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X
TSILJZO,O,X,O,X,X,O,X,X
TSILJOZ,X,X,O,X,O,O,X,O
TSILZJO,O,X,O,X,X,X,X,X
TSILZOJ,O,X,O,X,X,X,X,X
TSILOJZ,X,X,O,X,O,X,X,X
TSILOZJ,X,X,O,X,X,X,X,X
TSIJLZO,O,X,O,X,X,O,X,X
TSIJLOZ,X,X,O,X,O,O,X,O
TSIJZLO,O,X,O,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X,X,O
TSIJOLZ,X,X,O,X,X,X,X,O
TSIJOZL,O,X,X,X,X,X,O,O
TSIZLJO,O,X,O,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X
TSIZJLO,O,X,O,X,X,X,X,X
TSIZJOL,O,X,X,X,X,X,X,O
TSIZOLJ,O,X,O,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,O,X,X,X
TSIOLZJ,X,X,O,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,X,X,O
TSIOJZL,O,X,X,X,X,X,O,O
TSIOZLJ,O,X,O,X,X,X,O,X
TSIOZJL,O,X,X,X,X,X,O,X
TSLIJZO,O,X,O,X,X,O,X,X
TSLIJOZ,X,X,O,X,O,O,X,O
TSLIZJO,O,X,O,X,X,X,X,X
TSLIZOJ,O,X,O,X,X,X,X,X
TSLIOJZ,X,X,O,X,O,X,X,X
TSLIOZJ,X,X,O,X,X,X,X,X
TSLJIZO,O,X,O,X,X,O,X,X
TSLJIOZ,X,X,O,X,O,O,X,O
TSLJZIO,O,O,O,X,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X,X
TSLJOIZ,X,X,O,X,O,X,X,X
TSLJOZI,X,O,O,X,X,X,O,X
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X
TSLZJOI,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,O,X,X,X,X,X
TSLZOJI,O,O,O,X,X,X,X,X
TSLOIJZ,X,X,O,X,O,X,X,X
TSLOIZJ,X,X,O,X,X,X,X,X
TSLOJIZ,X,X,O,X,O,X,X,X
TSLOJZI,X,O,O,X,X,X,O,X
TSLOZIJ,X,O,O,X,X,X,O,X
TSLOZJI,X,O,O,X,X,X,O,X
TSJILZO,O,X,O,X,X,O,X,X
TSJILOZ,X,X,O,X,O,O,X,O
TSJIZLO,O,X,O,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X,X,O
TSJIOLZ,X,X,O,X,X,X,X,O
TSJIOZL,O,X,X,X,X,X,O,O
TSJLIZO,O,X,O,X,X,O,X,X
TSJLIOZ,X,X,O,X,O,O,X,O
TSJLZIO,O,O,O,X,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X,X
TSJLOIZ,X,X,O,X,O,X,X,X
TSJLOZI,X,O,O,X,X,X,O,X
TSJZILO,O,O,O,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,X,O
TSJZLIO,O,O,O,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,O,X
TSJZOLI,O,X,X,X,X,X,O,X
TSJOILZ,X,X,O,X,X,X,X,O
TSJOIZL,O,X,X,X,X,X,O,O
TSJOLIZ,X,X,O,X,X,X,X,X
TSJOLZI,X,X,O,X,X,X,O,X
TSJOZIL,O,X,X,X,X,X,O,X
TSJOZLI,O,X,X,X,X,X,O,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,X,X,X,X,X,X,O
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,X,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X,X
TSZLOIJ,O,O,O,X,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,O,X,X,X,X,X,X,O
TSZJLIO,O,O,O,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X
TSZJOIL,O,X,X,X,X,X,O,X
TSZJOLI,O,X,X,X,X,X,O,X
TSZOILJ,O,O,O,X,X,X,O,X
TSZOIJL,O,X,X,X,X,X,O,X
TSZOLIJ,O,O,O,X,X,X,O,X
TSZOLJI,O,O,O,X,X,X,O,X
TSZOJIL,O,X,X,X,X,X,O,X
TSZOJLI,O,X,X,X,X,X,O,X
TSOILJZ,X,X,O,X,O,X,X,X
TSOILZJ,X,X,O,X,X,X,X,X
TSOIJLZ,X,X,O,X,X,X,X,O
TSOIJZL,O,X,X,X,X,X,O,O
TSOIZLJ,O,X,O,X,X,X,O,X
TSOIZJL,O,X,X,X,X,X,O,X
TSOLIJZ,X,X,O,X,O,X,X,X
TSOLIZJ,X,X,O,X,X,X,X,X
TSOLJIZ,X,X,O,X,O,X,X,X
TSOLJZI,X,O,O,X,X,X,O,X
TSOLZIJ,X,O,O,X,X,X,O,X
TSOLZJI,X,O,O,X,X,X,O,X
TSOJILZ,X,X,O,X,X,X,X,O
TSOJIZL,O,X,X,X,X,X,O,O
TSOJLIZ,X,X,O,X,X,X,X,X
TSOJLZI,X,X,O,X,X,X,O,X
TSOJZIL,O,X,X,X,X,X,O,X
TSOJZLI,O,X,X,X,X,X,O,X
TSOZILJ,O,O,O,X,X,X,O,X
TSOZIJL,O,X,X,X,X,X,O,X
TSOZLIJ,O,O,O,X,X,X,O,X
TSOZLJI,O,O,O,X,X,X,O,X
TSOZJIL,O,X,X,X,X,X,O,X
TSOZJLI,O,X,X,X,X,X,O,X
TZILJSO,O,O,X,X,X,O,X,X
TZILJOS,O,O,X,O,O,O,X,X
