sequence,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkB6tBFnBzsB0rB,v115@/gB8GeB8HeC8FeE8Oe6IJvhF0iBXhBOkBVyBxrBzrB,v115@/gB8GeB8HeC8FeE8OeMIJvhFliBXhBOkBSyBxrBzrB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkB6tBXnBFmBzsB0rB,v115@/gB8GeB8HeC8FeE8OexBJvhFOkB6tB0nBFmBzrBXtB,v115@/gB8GeB8HeC8FeE8OevIJvhFxhBOkB0nBFmBzrBSyB,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkBFnBCtB0rBTtB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkBXnBFmBCtBTtB0rB
LIOZJTS,O,X,O,X,O,X,X,X
LIOZJST,O,X,O,O,X,X,X,X
LIOZSTJ,O,X,O,O,X,X,X,X
LIOZSJT,O,X,O,O,X,X,X,X
LJTISZO,O,O,O,X,X,X,X,X
LJTISOZ,O,O,X,X,X,X,X,O
LJTIZSO,O,O,O,X,X,X,X,X
LJTIZOS,O,O,O,X,X,X,X,X
LJTIOSZ,O,O,X,O,X,X,X,X
LJTIOZS,O,O,X,X,O,O,X,X
LJTSIZO,O,O,O,X,X,X,X,X
LJTSIOZ,O,O,X,X,X,X,X,O
LJTSZIO,O,O,O,X,X,X,O,X
LJTSZOI,O,O,O,X,X,X,O,O
LJTSOIZ,O,O,X,O,X,X,X,O
LJTSOZI,O,O,X,O,O,X,X,O
LJTZISO,O,O,O,X,X,X,O,X
LJTZIOS,O,O,O,X,X,X,O,X
LJTZSIO,O,O,O,X,X,X,O,X
LJTZSOI,O,O,O,X,X,X,O,O
LJTZOIS,O,O,O,X,O,X,O,X
LJTZOSI,O,O,O,O,O,X,O,X
LJTOISZ,O,O,X,O,X,X,X,X
LJTOIZS,O,O,X,X,O,O,X,X
LJTOSIZ,O,O,X,O,X,X,X,O
LJTOSZI,O,O,X,O,O,X,X,O
LJTOZIS,O,O,X,X,O,O,X,X
LJTOZSI,O,O,X,O,O,O,X,X
LJITSZO,O,O,O,X,X,X,X,X
LJITSOZ,O,O,X,X,X,X,X,O
LJITZSO,O,O,O,X,X,X,X,X
LJITZOS,O,O,O,X,X,X,X,X
LJITOSZ,O,O,X,O,X,X,X,X
LJITOZS,O,O,X,X,O,X,X,X
LJISTZO,O,O,O,X,X,X,X,X
LJISTOZ,O,O,X,X,X,X,X,O
LJISZTO,O,X,O,X,X,X,O,X
LJISZOT,O,X,O,X,X,X,X,X
LJISOTZ,O,X,X,O,X,X,X,X
LJISOZT,O,X,O,O,X,X,X,X
LJIZTSO,O,X,O,X,X,X,O,X
LJIZTOS,O,X,O,X,X,X,O,X
LJIZSTO,O,X,O,X,X,X,O,X
LJIZSOT,O,X,O,X,X,X,X,X
LJIZOTS,O,X,O,X,X,X,X,X
LJIZOST,O,X,O,O,X,X,X,X
LJIOTSZ,O,X,X,O,X,X,X,X
LJIOTZS,O,X,X,X,O,X,X,X
LJIOSTZ,O,X,X,O,X,X,X,X
LJIOSZT,O,X,O,O,X,X,X,X
LJIOZTS,O,X,O,X,O,X,X,X
LJIOZST,O,X,O,O,X,X,X,X
LJSTIZO,O,O,O,X,X,X,X,X
LJSTIOZ,O,O,X,X,X,X,X,O
LJSTZIO,O,O,O,X,X,X,O,X
LJSTZOI,O,O,O,X,X,X,O,O
LJSTOIZ,O,O,X,O,X,X,X,O
LJSTOZI,O,O,X,O,O,X,X,O
LJSITZO,O,O,O,X,X,X,X,X
LJSITOZ,O,O,X,X,X,X,X,O
LJSIZTO,O,X,O,X,X,X,O,X
LJSIZOT,O,X,O,X,X,X,X,X
LJSIOTZ,O,X,X,O,X,X,X,X
LJSIOZT,O,X,O,O,X,X,X,X
LJSZTIO,O,X,O,X,X,X,O,X
LJSZTOI,O,X,O,X,X,X,O,O
LJSZITO,O,X,O,X,X,X,O,X
LJSZIOT,O,X,O,X,X,X,X,X
LJSZOTI,O,X,O,X,X,X,O,X
LJSZOIT,O,X,O,X,X,X,X,X
LJSOTIZ,O,X,X,O,X,X,X,O
LJSOTZI,O,X,X,O,O,X,X,O
LJSOITZ,O,X,X,O,X,X,X,X
LJSOIZT,O,X,O,O,X,X,X,X
LJSOZTI,O,X,O,O,O,X,O,X
LJSOZIT,O,X,O,O,X,X,X,X
LJZTISO,O,X,O,X,X,X,O,X
LJZTIOS,O,X,O,X,X,X,O,X
LJZTSIO,O,X,O,X,X,X,O,X
LJZTSOI,O,X,O,X,X,X,O,O
LJZTOIS,O,X,O,X,O,X,O,X
LJZTOSI,O,X,O,O,O,X,O,X
LJZITSO,O,X,O,X,X,X,O,X
LJZITOS,O,X,O,X,X,X,O,X
LJZISTO,O,X,O,X,X,X,O,X
LJZISOT,O,X,O,X,X,X,X,X
LJZIOTS,O,X,O,X,X,X,X,X
LJZIOST,O,X,O,O,X,X,X,X
LJZSTIO,O,X,O,X,X,X,O,X
LJZSTOI,O,X,O,X,X,X,O,O
LJZSITO,O,X,O,X,X,X,O,X
LJZSIOT,O,X,O,X,X,X,X,X
LJZSOTI,O,X,O,X,X,X,O,X
LJZSOIT,O,X,O,X,X,X,X,X
LJZOTIS,O,X,O,X,O,X,O,X
LJZOTSI,O,X,O,O,O,X,O,X
LJZOITS,O,X,O,X,O,X,X,X
LJZOIST,O,X,O,O,X,X,X,X
LJZOSTI,O,X,O,O,O,X,O,X
LJZOSIT,O,X,O,O,X,X,X,X
LJOTISZ,O,X,X,O,X,X,X,X
LJOTIZS,O,X,X,X,O,O,X,X
LJOTSIZ,O,X,X,O,X,X,X,O
LJOTSZI,O,X,X,O,O,X,X,O
LJOTZIS,O,X,X,X,O,O,X,X
LJOTZSI,O,X,X,O,O,O,X,X
LJOITSZ,O,X,X,O,X,X,X,X
LJOITZS,O,X,X,X,O,X,X,X
LJOISTZ,O,X,X,O,X,X,X,X
LJOISZT,O,X,O,O,X,X,X,X
LJOIZTS,O,X,O,X,O,X,X,X
LJOIZST,O,X,O,O,X,X,X,X
LJOSTIZ,O,X,X,O,X,X,X,O
LJOSTZI,O,X,X,O,O,X,X,O
LJOSITZ,O,X,X,O,X,X,X,X
LJOSIZT,O,X,O,O,X,X,X,X
LJOSZTI,O,X,O,O,O,X,O,X
LJOSZIT,O,X,O,O,X,X,X,X
LJOZTIS,O,X,O,X,O,O,O,X
LJOZTSI,O,X,O,O,O,O,O,X
LJOZITS,O,X,O,X,O,X,X,X
LJOZIST,O,X,O,O,X,X,X,X
LJOZSTI,O,X,O,O,O,O,O,X
LJOZSIT,O,X,O,O,X,X,X,X
LSTIJZO,O,O,O,X,X,X,X,X
LSTIJOZ,O,O,X,X,X,X,X,O
LSTIZJO,X,O,O,X,X,X,X,X
LSTIZOJ,X,O,O,X,X,X,X,X
LSTIOJZ,X,O,X,X,X,X,X,X
LSTIOZJ,X,O,X,X,X,X,X,X
LSTJIZO,O,O,O,X,X,X,X,X
LSTJIOZ,O,O,X,X,X,X,X,O
LSTJZIO,O,O,O,X,X,X,O,X
LSTJZOI,O,O,O,X,X,X,O,O
LSTJOIZ,O,O,X,O,X,X,X,O
LSTJOZI,O,O,X,O,O,X,X,O
LSTZIJO,O,O,O,X,X,X,O,X
LSTZIOJ,O,O,O,X,X,X,O,X
LSTZJIO,O,O,O,X,X,X,O,X
LSTZJOI,O,O,O,X,X,X,O,O
LSTZOIJ,O,X,X,X,X,X,O,X
LSTZOJI,O,O,O,X,X,X,O,X
LSTOIJZ,O,O,X,O,X,X,X,X
LSTOIZJ,O,O,X,O,X,X,X,X
LSTOJIZ,O,O,X,O,X,X,X,O
LSTOJZI,O,O,X,O,O,X,X,O
LSTOZIJ,O,X,X,O,O,X,X,X
LSTOZJI,O,O,X,O,O,X,X,X
LSITJZO,O,O,O,X,X,X,X,X
LSITJOZ,O,O,X,X,X,X,X,O
LSITZJO,X,O,O,X,X,X,X,X
LSITZOJ,X,O,O,X,X,X,X,X
LSITOJZ,X,O,X,X,X,X,X,X
LSITOZJ,X,O,X,X,X,X,X,X
LSIJTZO,O,O,O,X,X,X,X,X
LSIJTOZ,O,O,X,X,X,X,X,O
LSIJZTO,O,X,O,X,X,X,O,X
LSIJZOT,O,X,O,X,X,X,X,X
LSIJOTZ,O,X,X,O,X,X,X,X
LSIJOZT,O,X,O,O,X,X,X,X
LSIZTJO,O,X,O,X,X,X,O,X
LSIZTOJ,O,X,O,X,X,X,O,X
LSIZJTO,O,X,O,X,X,X,O,X
LSIZJOT,O,X,O,X,X,X,X,X
LSIZOTJ,X,X,O,X,X,X,X,X
LSIZOJT,O,X,O,X,X,X,X,X
LSIOTJZ,O,X,X,O,X,X,X,X
LSIOTZJ,O,X,X,O,X,X,X,X
LSIOJTZ,O,X,X,O,X,X,X,X
LSIOJZT,O,X,O,O,X,X,X,X
LSIOZTJ,O,X,O,O,X,X,X,X
LSIOZJT,O,X,O,O,X,X,X,X
LSJTIZO,O,O,O,X,X,X,X,X
LSJTIOZ,O,O,X,X,X,X,X,O
LSJTZIO,O,O,O,X,X,X,O,X
LSJTZOI,O,O,O,X,X,X,O,O
LSJTOIZ,O,O,X,O,X,X,X,O
LSJTOZI,O,O,X,O,O,X,X,O
LSJITZO,O,O,O,X,X,X,X,X
LSJITOZ,O,O,X,X,X,X,X,O
LSJIZTO,O,X,O,X,X,X,O,X
LSJIZOT,O,X,O,X,X,X,X,X
LSJIOTZ,O,X,X,O,X,X,X,X
LSJIOZT,O,X,O,O,X,X,X,X
LSJZTIO,O,X,O,X,X,X,O,X
LSJZTOI,O,X,O,X,X,X,O,O
LSJZITO,O,X,O,X,X,X,O,X
LSJZIOT,O,X,O,X,X,X,X,X
LSJZOTI,O,X,O,X,X,X,O,X
LSJZOIT,O,X,O,X,X,X,X,X
LSJOTIZ,O,X,X,O,X,X,X,O
LSJOTZI,O,X,X,O,O,X,X,O
LSJOITZ,O,X,X,O,X,X,X,X
LSJOIZT,O,X,O,O,X,X,X,X
LSJOZTI,O,X,O,O,O,X,O,X
LSJOZIT,O,X,O,O,X,X,X,X
LSZTIJO,O,X,O,X,X,X,O,X
LSZTIOJ,O,X,O,X,X,X,O,X
LSZTJIO,O,X,O,X,X,X,O,X
LSZTJOI,O,X,O,X,X,X,O,O
LSZTOIJ,O,X,X,X,X,X,O,X
LSZTOJI,O,X,O,X,X,X,O,X
LSZITJO,O,X,O,X,X,X,O,X
LSZITOJ,O,X,O,X,X,X,O,X
LSZIJTO,O,X,O,X,X,X,O,X
LSZIJOT,O,X,O,X,X,X,X,X
LSZIOTJ,X,X,O,X,X,X,X,X
LSZIOJT,O,X,O,X,X,X,X,X
LSZJTIO,O,X,O,X,X,X,O,X
LSZJTOI,O,X,O,X,X,X,O,O
LSZJITO,O,X,O,X,X,X,O,X
LSZJIOT,O,X,O,X,X,X,X,X
LSZJOTI,O,X,O,X,X,X,O,X
LSZJOIT,O,X,O,X,X,X,X,X
LSZOTIJ,O,X,X,X,X,X,O,X
LSZOTJI,O,X,O,X,X,X,O,X
LSZOITJ,O,X,O,X,X,X,X,X
LSZOIJT,O,X,O,X,X,X,X,X
LSZOJTI,O,X,O,X,X,X,O,X
LSZOJIT,O,X,O,X,X,X,X,X
LSOTIJZ,O,X,X,O,X,X,X,X
LSOTIZJ,O,X,X,O,X,X,X,X
LSOTJIZ,O,X,X,O,X,X,X,O
LSOTJZI,O,X,X,O,O,X,X,O
LSOTZIJ,O,X,X,O,O,X,X,X
LSOTZJI,O,X,X,O,O,X,X,X
LSOITJZ,O,X,X,O,X,X,X,X
LSOITZJ,O,X,X,O,X,X,X,X
LSOIJTZ,O,X,X,O,X,X,X,X
LSOIJZT,O,X,O,O,X,X,X,X
LSOIZTJ,O,X,O,O,X,X,X,X
LSOIZJT,O,X,O,O,X,X,X,X
LSOJTIZ,O,X,X,O,X,X,X,O
LSOJTZI,O,X,X,O,O,X,X,O
LSOJITZ,O,X,X,O,X,X,X,X
LSOJIZT,O,X,O,O,X,X,X,X
LSOJZTI,O,X,O,O,O,X,O,X
LSOJZIT,O,X,O,O,X,X,X,X
LSOZTIJ,O,X,X,O,O,X,O,X
LSOZTJI,O,X,O,O,O,X,O,X
LSOZITJ,O,X,O,O,X,X,X,X
LSOZIJT,O,X,O,O,X,X,X,X
LSOZJTI,O,X,O,O,O,X,O,X
LSOZJIT,O,X,O,O,X,X,X,X
LZTIJSO,O,X,O,X,X,X,O,X
LZTIJOS,O,X,O,X,X,X,O,X
LZTISJO,O,X,O,X,X,X,O,X
LZTISOJ,O,X,O,X,X,X,O,X
LZTIOJS,O,X,O,X,X,X,O,X
LZTIOSJ,O,X,O,X,X,X,O,X
LZTJISO,O,X,O,X,X,X,O,X
LZTJIOS,O,X,O,X,X,X,O,X
LZTJSIO,O,X,O,X,X,X,O,X
LZTJSOI,O,X,O,X,X,X,O,O
LZTJOIS,O,X,O,X,O,X,O,X
LZTJOSI,O,X,O,O,O,X,O,X
LZTSIJO,O,X,O,X,X,X,O,X
LZTSIOJ,O,X,O,X,X,X,O,X
LZTSJIO,O,X,O,X,X,X,O,X
LZTSJOI,O,X,O,X,X,X,O,O
LZTSOIJ,O,X,X,X,X,X,O,X
LZTSOJI,O,X,O,X,X,X,O,X
LZTOIJS,O,X,O,X,O,X,O,X
LZTOISJ,O,X,O,X,O,X,O,X
LZTOJIS,O,X,O,X,O,X,O,X
LZTOJSI,O,X,O,O,O,X,O,X
LZTOSIJ,O,X,X,O,O,X,O,X
LZTOSJI,O,X,O,O,O,X,O,X
LZITJSO,O,X,O,X,X,X,O,X
LZITJOS,O,X,O,X,X,X,O,X
LZITSJO,O,X,O,X,X,X,O,X
LZITSOJ,O,X,O,X,X,X,O,X
LZITOJS,O,X,O,X,X,X,O,X
LZITOSJ,O,X,O,X,X,X,O,X
LZIJTSO,O,X,O,X,X,X,O,X
LZIJTOS,O,X,O,X,X,X,O,X
LZIJSTO,O,X,O,X,X,X,O,X
LZIJSOT,O,X,O,X,X,X,X,X
LZIJOTS,O,X,O,X,X,X,X,X
LZIJOST,O,X,O,O,X,X,X,X
LZISTJO,O,X,O,X,X,X,O,X
LZISTOJ,O,X,O,X,X,X,O,X
LZISJTO,O,X,O,X,X,X,O,X
LZISJOT,O,X,O,X,X,X,X,X
LZISOTJ,X,X,O,X,X,X,X,X
LZISOJT,O,X,O,X,X,X,X,X
LZIOTJS,O,X,O,X,X,X,X,X
LZIOTSJ,O,X,O,X,X,X,X,X
LZIOJTS,O,X,O,X,X,X,X,X
LZIOJST,O,X,O,O,X,X,X,X
LZIOSTJ,O,X,O,O,X,X,X,X
LZIOSJT,O,X,O,O,X,X,X,X
LZJTISO,O,X,O,X,X,X,O,X
LZJTIOS,O,X,O,X,X,X,O,X
LZJTSIO,O,X,O,X,X,X,O,X
LZJTSOI,O,X,O,X,X,X,O,O
LZJTOIS,O,X,O,X,O,X,O,X
LZJTOSI,O,X,O,O,O,X,O,X
LZJITSO,O,X,O,X,X,X,O,X
LZJITOS,O,X,O,X,X,X,O,X
LZJISTO,O,X,O,X,X,X,O,X
LZJISOT,O,X,O,X,X,X,X,X
LZJIOTS,O,X,O,X,X,X,X,X
LZJIOST,O,X,O,O,X,X,X,X
LZJSTIO,O,X,O,X,X,X,O,X
LZJSTOI,O,X,O,X,X,X,O,O
LZJSITO,O,X,O,X,X,X,O,X
LZJSIOT,O,X,O,X,X,X,X,X
LZJSOTI,O,X,O,X,X,X,O,X
LZJSOIT,O,X,O,X,X,X,X,X
LZJOTIS,O,X,O,X,O,X,O,X
LZJOTSI,O,X,O,O,O,X,O,X
LZJOITS,O,X,O,X,O,X,X,X
LZJOIST,O,X,O,O,X,X,X,X
LZJOSTI,O,X,O,O,O,X,O,X
LZJOSIT,O,X,O,O,X,X,X,X
LZSTIJO,O,X,O,X,X,X,O,X
LZSTIOJ,O,X,O,X,X,X,O,X
LZSTJIO,O,X,O,X,X,X,O,X
LZSTJOI,O,X,O,X,X,X,O,O
LZSTOIJ,O,X,X,X,X,X,O,X
LZSTOJI,O,X,O,X,X,X,O,X
LZSITJO,O,X,O,X,X,X,O,X
LZSITOJ,O,X,O,X,X,X,O,X
LZSIJTO,O,X,O,X,X,X,O,X
LZSIJOT,O,X,O,X,X,X,X,X
LZSIOTJ,X,X,O,X,X,X,X,X
LZSIOJT,O,X,O,X,X,X,X,X
LZSJTIO,O,X,O,X,X,X,O,X
LZSJTOI,O,X,O,X,X,X,O,O
LZSJITO,O,X,O,X,X,X,O,X
LZSJIOT,O,X,O,X,X,X,X,X
LZSJOTI,O,X,O,X,X,X,O,X
LZSJOIT,O,X,O,X,X,X,X,X
LZSOTIJ,O,X,X,X,X,X,O,X
LZSOTJI,O,X,O,X,X,X,O,X
LZSOITJ,O,X,O,X,X,X,X,X
LZSOIJT,O,X,O,X,X,X,X,X
LZSOJTI,O,X,O,X,X,X,O,X
LZSOJIT,O,X,O,X,X,X,X,X
LZOTIJS,O,X,O,X,O,X,O,X
LZOTISJ,O,X,O,X,O,X,O,X
LZOTJIS,O,X,O,X,O,X,O,X
LZOTJSI,O,X,O,O,O,X,O,X
LZOTSIJ,O,X,X,O,O,X,O,X
LZOTSJI,O,X,O,O,O,X,O,X
LZOITJS,O,X,O,X,O,X,X,X
LZOITSJ,O,X,O,X,O,X,X,X
LZOIJTS,O,X,O,X,O,X,X,X
LZOIJST,O,X,O,O,X,X,X,X
LZOISTJ,O,X,O,O,X,X,X,X
LZOISJT,O,X,O,O,X,X,X,X
LZOJTIS,O,X,O,X,O,X,O,X
LZOJTSI,O,X,O,O,O,X,O,X
LZOJITS,O,X,O,X,O,X,X,X
LZOJIST,O,X,O,O,X,X,X,X
LZOJSTI,O,X,O,O,O,X,O,X
LZOJSIT,O,X,O,O,X,X,X,X
LZOSTIJ,O,X,X,O,O,X,O,X
LZOSTJI,O,X,O,O,O,X,O,X
LZOSITJ,O,X,O,O,X,X,X,X
LZOSIJT,O,X,O,O,X,X,X,X
LZOSJTI,O,X,O,O,O,X,O,X
LZOSJIT,O,X,O,O,X,X,X,X
LOTIJSZ,O,X,X,O,X,X,X,X
LOTIJZS,O,X,X,X,O,O,X,X
LOTISJZ,O,X,X,O,X,X,X,X
LOTISZJ,O,X,X,O,X,X,X,X
LOTIZJS,O,X,X,X,O,O,X,X
LOTIZSJ,O,X,X,X,O,O,X,X
LOTJISZ,O,X,X,O,X,X,X,X
LOTJIZS,O,X,X,X,O,O,X,X
LOTJSIZ,O,X,X,O,X,X,X,O
LOTJSZI,O,X,X,O,O,X,X,O
LOTJZIS,O,X,X,X,O,O,X,X
LOTJZSI,O,X,X,O,O,O,X,X
LOTSIJZ,O,X,X,O,X,X,X,X
LOTSIZJ,O,X,X,O,X,X,X,X
LOTSJIZ,O,X,X,O,X,X,X,O
LOTSJZI,O,X,X,O,O,X,X,O
LOTSZIJ,O,X,X,O,O,X,X,X
LOTSZJI,O,X,X,O,O,X,X,X
LOTZIJS,O,X,X,X,O,O,X,X
LOTZISJ,O,X,X,X,O,O,X,X
LOTZJIS,O,X,X,X,O,O,X,X
LOTZJSI,O,X,X,O,O,O,X,X
LOTZSIJ,O,X,X,O,O,O,X,X
LOTZSJI,O,X,X,O,O,O,X,X
LOITJSZ,O,X,X,O,X,X,X,X
LOITJZS,O,X,X,X,O,X,X,X
LOITSJZ,O,X,X,O,X,X,X,X
LOITSZJ,O,X,X,O,X,X,X,X
LOITZJS,O,X,X,X,O,X,X,X
LOITZSJ,O,X,X,X,O,X,X,X
LOIJTSZ,O,X,X,O,X,X,X,X
LOIJTZS,O,X,X,X,O,X,X,X
LOIJSTZ,O,X,X,O,X,X,X,X
LOIJSZT,O,X,O,O,X,X,X,X
LOIJZTS,O,X,O,X,O,X,X,X
LOIJZST,O,X,O,O,X,X,X,X
LOISTJZ,O,X,X,O,X,X,X,X
LOISTZJ,O,X,X,O,X,X,X,X
LOISJTZ,O,X,X,O,X,X,X,X
LOISJZT,O,X,O,O,X,X,X,X
LOISZTJ,O,X,O,O,X,X,X,X
LOISZJT,O,X,O,O,X,X,X,X
LOIZTJS,O,X,O,X,O,X,X,X
LOIZTSJ,O,X,O,X,O,X,X,X
LOIZJTS,O,X,O,X,O,X,X,X
LOIZJST,O,X,O,O,X,X,X,X
LOIZSTJ,O,X,O,O,X,X,X,X
LOIZSJT,O,X,O,O,X,X,X,X
LOJTISZ,O,X,X,O,X,X,X,X
LOJTIZS,O,X,X,X,O,O,X,X
LOJTSIZ,O,X,X,O,X,X,X,O
LOJTSZI,O,X,X,O,O,X,X,O
LOJTZIS,O,X,X,X,O,O,X,X
LOJTZSI,O,X,X,O,O,O,X,X
LOJITSZ,O,X,X,O,X,X,X,X
LOJITZS,O,X,X,X,O,X,X,X
LOJISTZ,O,X,X,O,X,X,X,X
LOJISZT,O,X,O,O,X,X,X,X
LOJIZTS,O,X,O,X,O,X,X,X
LOJIZST,O,X,O,O,X,X,X,X
LOJSTIZ,O,X,X,O,X,X,X,O
LOJSTZI,O,X,X,O,O,X,X,O
LOJSITZ,O,X,X,O,X,X,X,X
LOJSIZT,O,X,O,O,X,X,X,X
LOJSZTI,O,X,O,O,O,X,O,X
LOJSZIT,O,X,O,O,X,X,X,X
LOJZTIS,O,X,O,X,O,O,O,X
LOJZTSI,O,X,O,O,O,O,O,X
LOJZITS,O,X,O,X,O,X,X,X
LOJZIST,O,X,O,O,X,X,X,X
LOJZSTI,O,X,O,O,O,O,O,X
LOJZSIT,O,X,O,O,X,X,X,X
LOSTIJZ,O,X,X,O,X,X,X,X
LOSTIZJ,O,X,X,O,X,X,X,X
LOSTJIZ,O,X,X,O,X,X,X,O
LOSTJZI,O,X,X,O,O,X,X,O
LOSTZIJ,O,X,X,O,O,X,X,X
LOSTZJI,O,X,X,O,O,X,X,X
LOSITJZ,O,X,X,O,X,X,X,X
LOSITZJ,O,X,X,O,X,X,X,X
LOSIJTZ,O,X,X,O,X,X,X,X
LOSIJZT,O,X,O,O,X,X,X,X
LOSIZTJ,O,X,O,O,X,X,X,X
LOSIZJT,O,X,O,O,X,X,X,X
LOSJTIZ,O,X,X,O,X,X,X,O
LOSJTZI,O,X,X,O,O,X,X,O
LOSJITZ,O,X,X,O,X,X,X,X
LOSJIZT,O,X,O,O,X,X,X,X
LOSJZTI,O,X,O,O,O,X,O,X
LOSJZIT,O,X,O,O,X,X,X,X
LOSZTIJ,O,X,X,O,O,X,O,X
LOSZTJI,O,X,O,O,O,X,O,X
LOSZITJ,O,X,O,O,X,X,X,X
LOSZIJT,O,X,O,O,X,X,X,X
LOSZJTI,O,X,O,O,O,X,O,X
LOSZJIT,O,X,O,O,X,X,X,X
LOZTIJS,O,X,O,X,O,O,O,X
LOZTISJ,O,X,O,X,O,O,O,X
LOZTJIS,O,X,O,X,O,O,O,X
LOZTJSI,O,X,O,O,O,O,O,X
LOZTSIJ,O,X,X,O,O,O,O,X
LOZTSJI,O,X,O,O,O,O,O,X
LOZITJS,O,X,O,X,O,X,X,X
LOZITSJ,O,X,O,X,O,X,X,X
LOZIJTS,O,X,O,X,O,X,X,X
LOZIJST,O,X,O,O,X,X,X,X
LOZISTJ,O,X,O,O,X,X,X,X
LOZISJT,O,X,O,O,X,X,X,X
LOZJTIS,O,X,O,X,O,O,O,X
LOZJTSI,O,X,O,O,O,O,O,X
LOZJITS,O,X,O,X,O,X,X,X
LOZJIST,O,X,O,O,X,X,X,X
LOZJSTI,O,X,O,O,O,O,O,X
LOZJSIT,O,X,O,O,X,X,X,X
LOZSTIJ,O,X,X,O,O,O,O,X
LOZSTJI,O,X,O,O,O,O,O,X
LOZSITJ,O,X,O,O,X,X,X,X
LOZSIJT,O,X,O,O,X,X,X,X
LOZSJTI,O,X,O,O,O,O,O,X
LOZSJIT,O,X,O,O,X,X,X,X
JTILSZO,X,O,O,X,X,X,X,X
JTILSOZ,X,O,X,X,X,X,X,O
JTILZSO,X,O,O,X,X,X,X,X
JTILZOS,X,O,O,X,X,X,X,X
JTILOSZ,X,O,X,O,X,X,X,X
JTILOZS,X,O,X,X,O,O,X,X
JTISLZO,X,O,O,X,X,X,X,X
JTISLOZ,X,O,X,X,X,X,X,X
JTISZLO,X,O,X,X,X,X,X,X
JTISZOL,X,O,X,X,X,X,X,X
JTISOLZ,X,O,X,X,X,X,X,X
JTISOZL,X,O,X,X,O,O,X,X
JTIZLSO,X,O,X,X,X,X,X,X
JTIZLOS,X,O,X,X,X,X,X,X
JTIZSLO,X,O,X,X,X,X,X,X
JTIZSOL,X,O,X,X,X,X,X,X
JTIZOLS,X,O,X,X,O,O,X,X
JTIZOSL,X,O,X,X,O,O,X,X
JTIOLSZ,X,O,X,O,X,X,X,X
JTIOLZS,X,O,X,X,O,O,X,X
JTIOSLZ,X,O,X,O,X,X,X,X
JTIOSZL,X,O,X,X,O,O,X,X
JTIOZLS,X,O,X,X,O,O,X,X
JTIOZSL,X,O,X,X,O,O,X,X
JTLISZO,O,O,O,X,X,X,X,X
JTLISOZ,O,O,X,X,X,X,X,O
JTLIZSO,O,O,O,X,X,X,X,X
JTLIZOS,O,O,O,X,X,X,X,X
JTLIOSZ,O,O,X,O,X,X,X,X
JTLIOZS,O,O,X,X,O,O,X,X
JTLSIZO,O,O,O,X,X,X,X,X
JTLSIOZ,O,O,X,X,X,X,X,O
JTLSZIO,O,O,O,X,X,X,O,X
JTLSZOI,O,O,O,X,X,X,O,O
JTLSOIZ,O,O,X,O,X,X,X,O
JTLSOZI,O,O,X,O,O,X,X,O
JTLZISO,O,O,O,X,X,X,O,X
JTLZIOS,O,O,O,X,X,X,O,X
JTLZSIO,O,O,O,X,X,X,O,X
JTLZSOI,O,O,O,X,X,X,O,O
JTLZOIS,O,O,O,X,O,X,O,X
JTLZOSI,O,O,O,O,O,X,O,X
JTLOISZ,O,O,X,O,X,X,X,X
JTLOIZS,O,O,X,X,O,O,X,X
JTLOSIZ,O,O,X,O,X,X,X,O
JTLOSZI,O,O,X,O,O,X,X,O
JTLOZIS,O,O,X,X,O,O,X,X
JTLOZSI,O,O,X,O,O,O,X,X
JTSILZO,X,O,O,X,X,X,X,X
JTSILOZ,X,O,X,X,X,X,X,X
JTSIZLO,X,O,X,X,X,X,X,X
JTSIZOL,X,O,X,X,X,X,X,X
JTSIOLZ,X,O,X,X,X,X,X,X
JTSIOZL,X,O,X,X,O,O,X,X
JTSLIZO,O,O,O,X,X,X,X,X
JTSLIOZ,O,O,X,X,X,X,X,O
JTSLZIO,O,O,O,X,X,X,O,X
JTSLZOI,O,O,O,X,X,X,O,O
JTSLOIZ,O,O,X,O,X,X,X,O
JTSLOZI,O,O,X,O,O,X,X,O
JTSZILO,O,O,X,X,X,X,O,X
JTSZIOL,O,O,X,X,X,X,O,X
JTSZLIO,O,O,X,X,X,X,O,X
JTSZLOI,O,O,X,X,X,X,O,X
JTSZOIL,O,X,X,X,X,X,O,X
JTSZOLI,O,O,X,X,X,X,O,X
JTSOILZ,O,O,X,O,X,X,X,X
JTSOIZL,O,O,X,X,O,O,X,X
JTSOLIZ,O,O,X,O,X,X,X,X
JTSOLZI,O,O,X,O,O,X,X,X
JTSOZIL,O,X,X,X,O,O,X,X
JTSOZLI,O,O,X,O,O,O,X,X
JTZILSO,O,O,X,X,X,X,O,X
JTZILOS,O,O,X,X,X,X,O,X
JTZISLO,O,O,X,X,X,X,O,X
JTZISOL,O,O,X,X,X,X,O,X
JTZIOLS,O,O,X,X,O,O,X,X
JTZIOSL,O,O,X,X,O,O,O,X
JTZLISO,O,O,X,X,X,X,O,X
JTZLIOS,O,O,X,X,X,X,O,X
JTZLSIO,O,O,X,X,X,X,O,X
JTZLSOI,O,O,X,X,X,X,O,O
JTZLOIS,O,O,X,X,O,X,O,X
JTZLOSI,O,O,X,O,O,X,O,X
