sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
TZOJLIS,O,O,X,X,X
TZOJLSI,O,X,X,X,X
TZOJSIL,O,X,X,X,X
TZOJSLI,O,X,X,X,X
TZOSILJ,O,X,X,X,X
TZOSIJL,O,X,X,X,X
TZOSLIJ,O,X,X,X,X
TZOSLJI,O,X,X,X,X
TZOSJIL,O,X,X,X,X
TZOSJLI,O,X,X,X,X
TOILJSZ,X,O,X,X,X
TOILJZS,O,O,X,X,X
TOILSJZ,X,O,X,X,X
TOILSZJ,O,X,O,X,X
TOILZJS,O,O,X,X,X
TOILZSJ,O,X,X,X,X
TOIJLSZ,X,O,X,X,X
TOIJLZS,O,O,X,X,X
TOIJSLZ,X,O,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,O,O,X,X,X
TOIJZSL,O,X,X,X,X
TOISLJZ,X,O,X,X,X
TOISLZJ,O,X,O,X,X
TOISJLZ,X,O,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,O,X,X,X,X
TOISZJL,O,X,X,X,X
TOIZLJS,O,O,X,X,X
TOIZLSJ,O,X,X,X,X
TOIZJLS,O,O,X,X,X
TOIZJSL,O,X,X,X,X
TOIZSLJ,O,X,X,X,X
TOIZSJL,O,X,X,X,X
TOLIJSZ,X,O,X,X,X
TOLIJZS,O,O,X,X,X
TOLISJZ,X,O,X,X,X
TOLISZJ,O,X,O,X,X
TOLIZJS,O,O,X,X,X
TOLIZSJ,O,X,X,X,X
TOLJISZ,X,O,X,X,X
TOLJIZS,O,O,X,X,X
TOLJSIZ,X,O,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,O,O,X,X,X
TOLJZSI,O,X,X,X,X
TOLSIJZ,X,O,X,X,X
TOLSIZJ,O,X,O,X,X
TOLSJIZ,X,O,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,O,X,X,X,X
TOLSZJI,O,X,X,X,X
TOLZIJS,O,O,X,X,X
TOLZISJ,O,X,X,X,X
TOLZJIS,O,O,X,X,X
TOLZJSI,O,X,X,X,X
TOLZSIJ,O,X,X,X,X
TOLZSJI,O,X,X,X,X
TOJILSZ,X,O,X,X,X
TOJILZS,O,O,X,X,X
TOJISLZ,X,O,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,O,O,X,X,X
TOJIZSL,O,X,X,X,X
TOJLISZ,X,O,X,X,X
TOJLIZS,O,O,X,X,X
TOJLSIZ,X,O,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,O,O,X,X,X
TOJLZSI,O,X,X,X,X
TOJSILZ,X,O,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,O,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,O,O,X,X,X
TOJZISL,O,X,X,X,X
TOJZLIS,O,O,X,X,X
TOJZLSI,O,X,X,X,X
TOJZSIL,O,X,X,X,X
TOJZSLI,O,X,X,X,X
TOSILJZ,X,O,X,X,X
TOSILZJ,O,X,O,X,X
TOSIJLZ,X,O,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,O,X,X,X,X
TOSIZJL,O,X,X,X,X
TOSLIJZ,X,O,X,X,X
TOSLIZJ,O,X,O,X,X
TOSLJIZ,X,O,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,O,X,X,X,X
TOSLZJI,O,X,X,X,X
TOSJILZ,X,O,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,O,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,O,X,X,X,X
