sequence,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBRcBCeB3hBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEibBWiBxdBUhBFrB,v115@FhF8BeG8CeH8AeE8Je2/IvhERbBzcBCeBUhBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBmgBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBxdBOrB/qBCsB,v115@FhF8BeG8CeH8AeE8JeT6IvhERcBCeBOrB/qBlrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBOrB8rBlqB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBCeBOrB/qB8rB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBVrBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBXmB8mBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBxdBXmBCnBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBCeBXmB8mBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE8hBCeBZmB/qBGrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExdBmgBCiBllBcrB
JLOTZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
JLOTZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
JLOITSZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JLOITZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JLOISTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JLOISZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
JLOIZTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JLOIZST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JLOSTIZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JLOSTZI,O,X,X,X,O,O,O,O,X,X,X,O,X,X
JLOSITZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JLOSIZT,O,O,O,X,O,O,X,O,X,X,X,O,X,O
JLOSZTI,O,X,X,O,O,O,O,O,X,O,X,O,X,O
JLOSZIT,O,X,X,O,O,O,O,O,X,O,X,O,X,O
JLOZTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JLOZTSI,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JLOZITS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JLOZIST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JLOZSTI,O,X,O,O,O,O,O,O,X,X,X,X,X,O
JLOZSIT,O,O,O,O,O,O,O,O,X,X,X,X,X,O
JSTILZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTILOZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTIZLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSTIZOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTIOLZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTIOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTLIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSTLIOZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTLZIO,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JSTLZOI,O,X,O,X,O,O,O,O,X,X,X,O,X,X
JSTLOIZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTLOZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JSTZILO,O,X,O,X,X,O,O,O,X,X,X,X,X,X
JSTZIOL,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JSTZLIO,O,X,O,X,X,O,O,O,X,X,X,X,X,X
JSTZLOI,O,X,O,X,X,O,O,O,X,X,X,O,X,X
JSTZOIL,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JSTZOLI,O,X,O,X,X,O,O,O,X,X,X,O,X,X
JSTOILZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTOIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JSTOLIZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSTOLZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JSTOZIL,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JSTOZLI,O,X,X,X,X,O,O,O,X,X,X,O,X,X
JSITLZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSITLOZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSITZLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSITZOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSITOLZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSITOZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSILTZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSILTOZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSILZTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSILZOT,O,X,O,X,O,O,X,O,X,X,O,O,X,X
JSILOTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSILOZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JSIZTLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIZTOL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIZLTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIZLOT,O,X,O,X,O,O,X,O,X,X,O,O,X,X
JSIZOTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIZOLT,O,X,O,X,O,O,X,O,X,X,O,O,X,X
JSIOTLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSIOTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSIOLTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSIOLZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JSIOZTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSIOZLT,O,X,X,X,O,O,X,O,X,X,O,O,X,X
JSLTIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSLTZIO,O,X,O,X,O,O,O,O,X,X,X,X,X,X
JSLTZOI,O,X,O,X,O,O,O,O,X,X,X,O,X,X
JSLTOIZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSLTOZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JSLITZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLITOZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X
JSLIZTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSLIZOT,O,X,O,X,O,O,X,O,X,X,O,O,X,X
JSLIOTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSLIOZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JSLZTIO,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JSLZTOI,X,X,X,X,O,O,O,O,X,O,X,O,X,X
JSLZITO,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSLZIOT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSLZOTI,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSLZOIT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSLOTIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSLOTZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JSLOITZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSLOIZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JSLOZTI,O,X,X,O,O,O,O,O,X,O,O,O,X,O
JSLOZIT,O,X,X,O,O,O,O,O,X,O,O,O,X,O
JSZTILO,X,X,X,X,X,O,O,O,X,O,X,X,X,X
JSZTIOL,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZTLIO,X,X,X,X,X,O,O,O,X,O,X,X,X,X
JSZTLOI,X,X,X,X,X,O,O,O,X,O,X,O,X,X
JSZTOIL,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZTOLI,X,X,X,X,X,O,O,O,X,O,X,O,X,X
JSZITLO,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JSZITOL,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZILTO,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZILOT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZIOTL,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZIOLT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZLTIO,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZLTOI,X,X,X,X,O,O,O,O,X,O,X,O,X,X
JSZLITO,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZLIOT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZLOTI,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZLOIT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZOTIL,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZOTLI,X,X,X,X,X,O,O,O,X,O,X,O,X,X
JSZOITL,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZOILT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZOLTI,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSZOLIT,O,X,O,O,O,O,O,O,X,O,O,O,X,X
JSOTILZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOTIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOTLZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JSOTZIL,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JSOTZLI,O,X,X,X,X,O,O,O,X,X,X,O,X,X
JSOITLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOITZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSOILTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOILZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JSOIZTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOIZLT,O,X,X,X,O,O,X,O,X,X,O,O,X,X
JSOLTIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOLTZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JSOLITZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOLIZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JSOLZTI,O,X,X,O,O,O,O,O,X,O,O,O,X,O
JSOLZIT,O,X,X,O,O,O,O,O,X,O,O,O,X,O
JSOZTIL,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JSOZTLI,X,X,X,X,X,O,O,O,X,O,X,O,X,X
JSOZITL,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JSOZILT,O,X,X,O,O,O,O,O,X,O,O,O,X,X
JSOZLTI,O,X,X,O,O,O,O,O,X,O,O,O,X,X
JSOZLIT,O,X,X,O,O,O,O,O,X,O,O,O,X,X
JZTILSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTILOS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTISLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTISOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTIOLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTIOSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTLISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTLIOS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTLSIO,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTLSOI,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTLOIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTLOSI,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZTSILO,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTSIOL,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTSLIO,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTSLOI,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTSOIL,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTSOLI,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTOILS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTOISL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZTOLIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZTOLSI,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZTOSIL,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZTOSLI,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZITLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZITLOS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZITSLO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZITSOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZITOLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZITOSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILTSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILTOS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZILSTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZILSOT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JZILOTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZILOST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JZISTLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZISTOL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZISLTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZISLOT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JZISOTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZISOLT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JZIOTLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZIOTSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZIOLTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZIOLST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JZIOSTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZIOSLT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JZLTISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLTIOS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLTSIO,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZLTSOI,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZLTOIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLTOSI,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZLITSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLITOS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLISTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZLISOT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JZLIOTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZLIOST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JZLSTIO,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZLSTOI,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZLSITO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZLSIOT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZLSOTI,O,X,O,O,O,O,O,O,X,X,X,X,X,X
JZLSOIT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZLOTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZLOTSI,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JZLOITS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZLOIST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JZLOSTI,O,X,O,O,O,O,O,O,X,X,X,X,X,O
JZLOSIT,O,O,O,O,O,O,O,O,X,X,X,X,X,O
JZSTILO,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSTIOL,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSTLIO,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSTLOI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSTOIL,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSTOLI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSITLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSITOL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSILTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSILOT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZSIOTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSIOLT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZSLTIO,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSLTOI,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSLITO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSLIOT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZSLOTI,O,X,O,O,O,O,O,O,X,X,X,X,X,X
JZSLOIT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZSOTIL,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZSOTLI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZSOITL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZSOILT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZSOLTI,O,X,O,O,O,O,O,O,X,X,X,X,X,X
JZSOLIT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZOTILS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZOTISL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOTLIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZOTLSI,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZOTSIL,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOTSLI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOITLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZOITSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOILTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZOILST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JZOISTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOISLT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JZOLTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZOLTSI,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JZOLITS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZOLIST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JZOLSTI,O,X,O,O,O,O,O,O,X,X,X,X,X,O
JZOLSIT,O,O,O,O,O,O,O,O,X,X,X,X,X,O
JZOSTIL,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZOSTLI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JZOSITL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZOSILT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JZOSLTI,O,X,O,O,O,O,O,O,X,X,X,X,X,X
JZOSLIT,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JOTILSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
JOTISLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTISZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTIZLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
JOTIZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOTLISZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTLIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
JOTLSIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTLSZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
JOTLZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
JOTLZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
JOTSILZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTSIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTSLZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
JOTSZIL,O,X,X,O,O,O,O,O,X,X,X,X,X,X
JOTSZLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JOTZILS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JOTZISL,X,O,O,O,X,X,O,X,O,X,X,X,X,X
JOTZLIS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
JOTZLSI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
JOTZSIL,O,O,O,O,X,O,O,O,O,X,X,X,X,X
JOTZSLI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
JOITLSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOITLZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JOITSLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOITSZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOITZLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOITZSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOILTSZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JOILSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOILSZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
JOILZTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOILZST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JOISTLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOISTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOISLTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOISLZT,O,O,O,X,O,O,X,O,X,X,O,X,X,O
JOISZTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOISZLT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
JOIZTLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOIZTSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOIZLTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOIZLST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JOIZSTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOIZSLT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JOLTISZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOLTIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
JOLTSIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JOLTSZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
JOLTZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
JOLTZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
JOLITSZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
JOLITZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JOLISTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOLISZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
JOLIZTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOLIZST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JOLSTIZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOLSTZI,O,X,X,X,O,O,O,O,X,X,X,O,X,X
JOLSITZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOLSIZT,O,O,O,X,O,O,X,O,X,X,X,O,X,O
JOLSZTI,O,X,X,O,O,O,O,O,X,O,X,O,X,O
JOLSZIT,O,X,X,O,O,O,O,O,X,O,X,O,X,O
JOLZTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOLZTSI,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JOLZITS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOLZIST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JOLZSTI,O,X,O,O,O,O,O,O,X,X,X,X,X,O
JOLZSIT,O,O,O,O,O,O,O,O,X,X,X,X,X,O
JOSTILZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSTIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
JOSTLIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSTLZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JOSTZIL,O,X,X,X,O,O,O,O,X,X,X,X,X,X
JOSTZLI,O,X,X,X,X,O,O,O,X,X,X,O,X,X
JOSITLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSITZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JOSILTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSILZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JOSIZTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOSIZLT,O,X,X,X,O,O,X,O,X,X,O,O,X,X
JOSLTIZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSLTZI,O,X,X,X,O,O,O,O,X,X,O,O,X,X
JOSLITZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOSLIZT,O,O,O,X,O,O,X,O,X,X,O,O,X,O
JOSLZTI,O,X,X,O,O,O,O,O,X,O,O,O,X,O
JOSLZIT,O,X,X,O,O,O,O,O,X,O,O,O,X,O
JOSZTIL,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JOSZTLI,X,X,X,X,X,O,O,O,X,O,X,O,X,X
JOSZITL,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JOSZILT,O,X,X,O,O,O,O,O,X,O,O,O,X,X
JOSZLTI,O,X,X,O,O,O,O,O,X,O,O,O,X,X
JOSZLIT,O,X,X,O,O,O,O,O,X,O,O,O,X,X
JOZTILS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOZTISL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZTLIS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOZTLSI,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JOZTSIL,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOZTSLI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
JOZITLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOZITSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZILTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOZILST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JOZISTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOZISLT,X,O,O,O,O,X,O,O,X,X,X,X,O,X
JOZLTIS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOZLTSI,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JOZLITS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JOZLIST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
JOZLSTI,O,X,O,O,O,O,O,O,X,X,X,X,X,O
JOZLSIT,O,O,O,O,O,O,O,O,X,X,X,X,X,O
JOZSTIL,X,X,X,X,O,O,O,O,X,X,X,X,X,X
