sequence,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeW2IvhFxR?ByXBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFXS?B8XBibBWhBRmBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BTWBxgB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhFmR?BzSBxgBqgB0hBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhF6W?BZXBucB0gBzhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFOX?B8XBTWBRmB/qBFrB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFRS?BWcB/gB0hBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BxbBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeR2IvhF3X?BTbB0hBGgBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeZ3IvhFzS?BGWB/gBqhB8qBFqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFOX?B8XB/gB1mByqB5lB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFRW?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeRxIvhFzS?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFxb?BfbB+lB0hBamBlqB
JLOZSTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOZSIT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSTILZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTILOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTIZLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTIZOL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JSTIOLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTIOZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JSTLIZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JSTLIOZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JSTLZIO,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JSTLZOI,O,X,X,X,O,X,X,X,X,X,O,X,X,X
JSTLOIZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSTLOZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTZILO,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JSTZIOL,X,X,X,O,O,X,O,O,O,X,X,X,X,X
JSTZLIO,X,X,X,X,O,X,O,O,X,X,O,X,X,X
JSTZLOI,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JSTZOIL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
JSTZOLI,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JSTOILZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSTOIZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JSTOLIZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSTOLZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTOZIL,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JSTOZLI,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JSITLZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSITLOZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSITZLO,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JSITZOL,X,X,O,O,O,X,X,X,O,X,X,X,X,O
JSITOLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSITOZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JSILTZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILTOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSILZOT,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILOTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSILOZT,O,X,O,X,X,X,O,X,X,X,X,O,X,X
JSIZTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSIZTOL,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSIZLTO,X,X,X,X,O,X,O,X,X,X,X,X,X,O
JSIZLOT,X,X,O,X,O,X,O,X,X,X,X,X,X,O
JSIZOTL,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JSIZOLT,X,X,O,X,O,X,O,X,O,X,X,X,X,O
JSIOTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIOTZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOLZT,X,X,O,X,X,X,O,X,X,X,X,O,X,X
JSIOZTL,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JSIOZLT,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JSLTIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSLTZIO,X,X,X,X,O,X,X,O,X,X,X,X,O,X
JSLTZOI,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JSLTOIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLTOZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLITZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSLIZTO,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIZOT,X,X,O,X,X,X,X,X,X,X,X,O,O,X
JSLIOTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLIOZT,X,X,O,X,X,X,O,X,X,X,X,O,O,X
JSLZTIO,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JSLZTOI,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSLZITO,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JSLZIOT,X,X,X,X,O,X,O,O,X,X,X,O,O,X
JSLZOTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSLZOIT,O,X,X,X,O,X,O,X,X,X,X,O,O,X
JSLOTIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLOTZI,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLOITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLOIZT,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JSLOZTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSLOZIT,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JSZTILO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZTLIO,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZTLOI,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZTOIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZTOLI,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZITLO,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSZITOL,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSZILTO,X,X,X,X,O,X,O,X,X,X,X,X,X,O
JSZILOT,O,X,X,X,O,X,O,O,X,X,X,X,X,O
JSZIOTL,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JSZIOLT,X,X,X,X,O,X,O,O,O,X,X,X,X,O
JSZLTIO,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZLTOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZLITO,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSZLIOT,X,X,X,X,O,X,O,O,X,O,X,X,X,X
JSZLOTI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZLOIT,O,X,X,X,O,X,O,X,X,O,X,X,X,X
JSZOTIL,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSZOTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JSZOILT,X,X,X,X,O,X,O,X,O,X,X,X,X,O
JSZOLTI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOLIT,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JSOTILZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSOTLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOTZIL,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JSOTZLI,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JSOITLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JSOILTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOILZT,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JSOIZTL,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSOIZLT,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JSOLTIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLTZI,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOLITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLIZT,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JSOLZTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSOLZIT,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JSOZTIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZITL,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSOZILT,O,X,X,X,O,X,O,X,X,X,X,X,X,O
JSOZLTI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSOZLIT,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JZTILSO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
JZTILOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTISLO,O,O,O,X,O,O,X,O,X,X,X,X,X,O
JZTISOL,X,O,O,X,O,O,X,O,X,X,X,X,X,O
JZTIOLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTIOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,O
JZTLISO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
JZTLIOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
JZTLSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZTLSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTLOIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZTLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JZTSIOL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JZTSLIO,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JZTSLOI,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JZTSOIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTSOLI,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JZTOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZTOISL,O,O,X,X,O,X,X,O,X,X,X,X,X,O
JZTOLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZTOLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSIL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JZITLSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZITLOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JZITSLO,X,O,O,X,O,O,X,X,X,X,X,X,X,O
JZITSOL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
JZITOLS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZITOSL,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZILTSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X
JZILTOS,O,X,O,X,X,X,X,O,X,O,X,X,X,X
JZILSTO,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZILSOT,O,X,O,X,O,O,X,O,X,O,X,X,X,O
JZILOTS,O,X,O,X,X,X,X,O,X,O,X,X,X,X
JZILOST,O,X,O,X,X,O,X,O,X,O,X,X,X,O
JZISTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZISTOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JZISLTO,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZISLOT,O,X,O,X,O,O,X,O,X,X,X,X,X,O
JZISOTL,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JZISOLT,X,X,O,X,O,O,X,O,O,X,X,X,X,O
JZIOTLS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZIOTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZIOLTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZIOLST,O,X,O,X,X,O,X,O,X,X,X,X,X,O
JZIOSTL,X,X,X,X,X,O,X,O,X,X,X,X,X,O
JZIOSLT,X,X,O,X,O,O,X,O,X,X,X,X,X,O
JZLTISO,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JZLTIOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
JZLTSIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTSOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZLTOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JZLITOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
JZLISTO,X,X,X,X,O,O,X,X,X,O,X,X,X,O
JZLISOT,O,O,O,X,O,O,X,O,X,O,X,X,X,O
JZLIOTS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
JZLIOST,O,O,O,X,X,O,X,O,X,O,X,X,X,O
JZLSTIO,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSTOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSITO,X,X,X,X,O,O,X,X,X,O,X,X,X,X
JZLSIOT,X,X,X,X,O,O,X,O,X,O,X,X,X,X
JZLSOTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSOIT,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLOTIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZLOTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZLOIST,O,O,X,X,X,O,X,O,X,O,X,X,X,O
JZLOSTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOSIT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSTILO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTIOL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSTLIO,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JZSTLOI,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JZSTOIL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSTOLI,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZSITLO,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JZSITOL,X,X,X,X,X,O,O,X,X,X,X,X,X,O
JZSILTO,X,X,X,X,O,O,O,X,X,O,X,X,X,O
JZSILOT,O,X,X,X,O,O,O,O,X,O,X,X,X,O
JZSIOTL,X,X,X,X,X,O,O,X,O,X,X,X,X,O
JZSIOLT,X,X,X,X,O,O,O,O,O,X,X,X,X,O
JZSLTIO,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JZSLTOI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZSLITO,X,X,X,X,O,O,O,X,X,O,X,X,X,X
JZSLIOT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
JZSLOTI,O,X,X,X,X,X,O,X,X,O,X,X,X,X
JZSLOIT,O,O,X,X,O,X,O,X,X,O,X,X,X,X
JZSOTIL,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JZSOTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JZSOILT,X,X,X,X,O,X,O,X,O,X,X,X,X,O
JZSOLTI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JZSOLIT,X,O,X,X,O,X,O,X,X,O,X,X,X,X
JZOTILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZOTLIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZOITLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOITSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZOILTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOILST,O,X,X,X,X,O,X,O,X,X,X,X,X,O
JZOISTL,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JZOISLT,O,X,X,X,O,O,X,O,O,X,X,X,X,O
JZOLTIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JZOLIST,O,O,X,X,X,O,X,O,X,O,X,X,X,O
JZOLSTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLSIT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZOSTIL,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JZOSTLI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSITL,O,X,X,X,X,X,O,X,O,X,X,X,X,O
JZOSILT,O,X,X,X,O,X,O,X,O,X,X,X,X,O
JZOSLTI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZOSLIT,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOTILSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTLZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTSIZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTSLIZ,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOTSLZI,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JOTSZIL,O,X,X,O,O,X,O,X,X,X,X,X,X,X
JOTSZLI,O,X,X,X,O,X,O,X,X,X,O,X,X,X
JOTZILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTZISL,O,O,X,X,O,X,X,O,X,X,X,X,X,O
JOTZLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOTZLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JOTZSLI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
JOITLSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILSZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOILZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOISLZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOISZTL,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOISZLT,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOIZTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JOIZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JOIZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOIZSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JOLTISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTZSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLISZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
JOLIZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTZI,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLSITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLSZTI,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLSZIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLZTIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOLZTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOLZIST,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JOLZSTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLZSIT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOSTILZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSTIZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSTLIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JOSTLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSTZIL,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JOSTZLI,X,X,X,X,O,X,O,X,X,X,O,X,X,X
JOSITLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOSILTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSILZT,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSIZTL,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JOSIZLT,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JOSLTIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLTZI,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOSLITZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSLIZT,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JOSLZTI,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JOSLZIT,O,X,X,X,X,X,O,X,X,X,X,O,O,X
JOSZTIL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZTLI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZITL,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOSZILT,O,X,X,X,O,X,O,X,X,X,X,X,X,O
JOSZLTI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSZLIT,O,X,X,X,O,X,O,X,X,X,X,X,X,X
JOZTILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTISL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JOZTLIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSLI,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOZITLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZITSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JOZILTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOZILST,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JOZISTL,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JOZISLT,O,X,X,X,O,X,X,O,O,X,X,X,X,O
JOZLTIS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOZLTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
JOZLIST,O,O,X,X,X,X,X,O,X,O,X,X,X,O
JOZLSTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZLSIT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOZSTIL,O,X,X,X,X,X,O,X,O,X,X,X,X,X
JOZSTLI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZSITL,O,X,X,X,X,X,O,X,O,X,X,X,X,O
JOZSILT,O,X,X,X,O,X,O,X,O,X,X,X,X,O
JOZSLTI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JOZSLIT,O,O,X,X,O,X,O,X,X,X,X,X,X,X
STILJZO,X,X,O,O,X,X,X,X,X,X,O,X,X,X
STILJOZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
STILZJO,X,O,O,O,O,X,X,X,X,X,O,X,X,X
STILZOJ,X,O,X,O,O,X,X,X,O,X,O,X,X,X
STILOJZ,X,X,O,O,X,X,X,X,X,X,O,O,X,X
