sequence,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeRzXaAFLDmClc?JSAVDEHBEooRBJoAVBTHUFDqOBAAvhFXNBzLB6PB0JBOLBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVBMtPFDpOBAAvhFSTBXNB2QB0LBxOBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB03ntCM+AAAvhFVSB0LBGOB3HBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeXvXaAFLDmClc?JSAVDEHBEooRBToAVBa+dgCs/AAAvhFUNBxQBVOBTGBiHBG?PB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBKLBfMBlMBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/9tCM+AAAvhFUNBGOBlLB3MBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBiLB3MBlLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBvSltC6/AAAvhFTLB6PBROB3HB0OBm?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTrXaAFLDmClc?JSAVDEHBEooRBPoAVBqHUWCU+AAAvhF+PBsOBXJBiMBVSBx?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgCsOBAAvhF+PBsOBXJBzHBiLBl?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeUtXaAFLDmClc?JSAVDEHBEooRBaoAVBK+LgCzOBAAvhF+PBROBKLBzGB3MBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+LgC6OBAAvhF+PBROBKLBzGBUNBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgC0CBAAvhF+PBsOBXJBzHBlLBi?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+TFDvOBAAvhF+PBROByLBUNBTLBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVB0HbPCMNBAAvhFVOBUKBzHB2LBSUB3?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBqHMMCvCBAAvhF+PBsOBXJBxLBTLBi?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeV0XaAFLDmClc?JSAVDEHBEooRBUoAVBJtrgCqCBAAvhFxRB3LBUJBzHBGKBi?GB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ9aFDqOBAAvhFxRBXKBzHBsLBOLBF?JB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBzfrgC0CBAAvhF3LB+PBsOBzHBFJBi?GB
JZISLTO,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O
JZISLOT,O,O,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,O,O
JZISOTL,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
JZISOLT,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O
JZIOTLS,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,O
JZIOTSL,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZIOLTS,O,O,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O
JZIOLST,O,O,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O
JZIOSTL,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZIOSLT,O,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O,O
JZLTISO,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O
JZLTIOS,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O
JZLTSIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
JZLTSOI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
JZLTOIS,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
JZLITOS,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O
JZLISTO,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
JZLISOT,O,O,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O
JZLIOTS,O,O,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O
JZLIOST,O,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X,X,O,O
JZLSTIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
JZLSTOI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
JZLSITO,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
JZLSIOT,X,O,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,O,O
JZLSOTI,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
JZLSOIT,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,O
JZLOTIS,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLOTSI,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X
JZLOIST,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,X
JZLOSTI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JZLOSIT,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X
JZSTILO,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O
JZSTIOL,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O
JZSTLIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZSTLOI,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSTOIL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZSTOLI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSITLO,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O
JZSITOL,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O
JZSILTO,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O
JZSILOT,X,O,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,O,O
JZSIOTL,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
JZSIOLT,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O
JZSLTIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
JZSLTOI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
JZSLITO,X,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O
JZSLIOT,X,O,X,O,O,X,X,X,O,O,O,O,O,O,X,X,X,O,O
JZSLOTI,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O
JZSLOIT,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,O
JZSOTIL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZSOTLI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZSOITL,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZSOILT,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JZSOLTI,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZSOLIT,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZOTILS,X,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
JZOTISL,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O
JZOTLIS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTLSI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOTSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZOITLS,O,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,O,O
JZOITSL,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZOILTS,O,O,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O
JZOILST,O,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O
JZOISTL,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZOISLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,O
JZOLTIS,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOLTSI,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X
JZOLIST,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
JZOLSTI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JZOLSIT,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JZOSTIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOSTLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JZOSITL,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JZOSILT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JZOSLTI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JZOSLIT,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JOTILSZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTISLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTIZSL,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOTLISZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTZISL,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOTZLIS,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZSIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOTZSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JOITSLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOITSZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOITZLS,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOITZSL,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOILTSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOILTZS,O,O,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
JOILSTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JOILSZT,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,O
JOILZTS,O,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,X,O
JOILZST,O,O,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,O
JOISTLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOISTZL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JOISLTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOISLZT,O,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O
JOISZTL,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
JOISZLT,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
JOIZTLS,O,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O
JOIZTSL,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOIZLTS,O,O,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O
JOIZLST,O,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,X,O
JOIZSTL,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOIZSLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JOLTISZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLTIZS,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JOLTSIZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOLTSZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JOLTZSI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLITSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLITZS,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
JOLISTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLISZT,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JOLIZTS,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JOLIZST,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X
JOLSTIZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSTZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JOLSITZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOLSIZT,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JOLSZTI,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JOLSZIT,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
JOLZTIS,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JOLZTSI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
JOLZIST,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,X
JOLZSTI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JOLZSIT,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X
JOSTILZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSITZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSILTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOSILZT,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O
JOSIZTL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSIZLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSLTIZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JOSLTZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O
JOSLIZT,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O
JOSLZTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSLZIT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
JOSZTIL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSZITL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSZILT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSZLTI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOSZLIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JOZTILS,X,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
JOZTISL,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,O
JOZTLIS,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOZTSIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOZTSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JOZITLS,O,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,O,O
JOZITSL,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOZILTS,O,O,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O
JOZILST,O,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O
JOZISTL,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOZISLT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,O
JOZLTIS,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOZLTSI,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X
JOZLIST,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
JOZLSTI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JOZLSIT,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
JOZSTIL,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOZSTLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
JOZSITL,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O
JOZSILT,O,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JOZSLTI,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JOZSLIT,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
STILJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STILJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STILZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STILZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STILOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STILOZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STIJLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STIJLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STIJZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
STIJZOL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
STIJOLZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STIJOZL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
STIZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIZLOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STIZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIZJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIZOLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STIZOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STIOLJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STIOLZJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STIOJLZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STIOJZL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
STIOZLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STIOZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLIJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STLIJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STLIZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLIZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLIOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STLIOZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLJIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
STLJIOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O
STLJZIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STLJZOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STLJOIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
STLJOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLZIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLZIOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLZJIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLZJOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLZOIJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLZOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLOIJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLOIZJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLOJIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
STLOJZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STLOZIJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
STLOZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STJILZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
STJILOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O
STJIZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
STJIZOL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
STJIOLZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
STJIOZL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
STJLIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
STJLIOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O
STJLZIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STJLZOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
STJLOIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
STJLOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
STJZILO,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
STJZIOL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
STJZLIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
STJZLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
