sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB
JSIOLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLTIZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLTZIO,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLTZOI,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLTOZI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLITZO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLITOZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLIOZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLZTIO,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLZTOI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLZITO,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLZIOT,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLZOIT,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOTZI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLOITZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOIZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLOZTI,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZTILO,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZTLIO,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTLOI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZTOLI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZITLO,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZITOL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZILTO,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZILOT,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JSZIOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZIOLT,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JSZLTIO,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZLTOI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSZLITO,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZLIOT,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JSZLOTI,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSZLOIT,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JSZOTIL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOTLI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZOILT,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JSZOLTI,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JSZOLIT,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JSOTILZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOTIZL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTLIZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOTLZI,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JSOTZIL,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JSOTZLI,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JSOITLZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOITZL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOILTZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOILZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JSOIZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOIZLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
JSOLTIZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOLTZI,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JSOLITZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JSOLIZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JSOLZTI,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X
JSOLZIT,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X
JSOZTIL,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X
JSOZTLI,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X
JSOZITL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSOZILT,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,O,X,O
JSOZLTI,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,O,X,X
JSOZLIT,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,O,X,X
JZTILSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTILOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTISLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTISOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTIOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLIOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTLSIO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZTLSOI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTLOIS,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTLOSI,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTSILO,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTSIOL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZTSLOI,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JZTSOIL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOISL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLIS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZTOLSI,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZTOSLI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZITLSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITSLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZITOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILTOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZILSOT,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZILOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZISTLO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZISTOL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISLTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZISLOT,X,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JZISOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISOLT,X,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZIOTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOLST,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X
JZIOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZIOSLT,X,X,O,O,X,O,X,O,X,X,O,X,X,O,O,X,O,X
JZLTISO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTIOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLTSIO,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZLTSOI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLITOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLISTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLISOT,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLIOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLSTIO,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLSTOI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSITO,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JZLOTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLOTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JZLOSTI,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZLOSIT,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
JZSTILO,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSTIOL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSTLIO,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSTLOI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSTOIL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSTOLI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
JZSITLO,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSITOL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSILTO,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JZSIOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSIOLT,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
JZSLTIO,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSLTOI,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZSLIOT,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JZSLOTI,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZSLOIT,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JZSOTIL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSOTLI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
JZSOITL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSOILT,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,O,O
JZSOLTI,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X
JZSOLIT,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZOTILS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZOTISL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTLIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZOTLSI,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X
JZOTSIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X
JZOTSLI,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X
JZOITLS,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOITSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOILTS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOILST,O,X,O,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X
JZOISTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
JZOISLT,X,X,O,O,X,O,X,O,X,X,O,X,O,O,O,O,O,X
JZOLTIS,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JZOLTSI,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X
JZOLITS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOLIST,O,X,O,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X
JZOLSTI,O,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X
JZOLSIT,O,X,O,O,X,O,O,X,O,X,X,O,O,O,X,O,O,X
JZOSTIL,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,O,O,X
JZOSTLI,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,O,O,X
JZOSITL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
JZOSILT,O,X,O,O,X,O,O,O,X,X,O,O,O,O,X,O,O,X
JZOSLTI,O,X,O,O,X,O,X,O,X,X,O,O,O,O,X,O,O,X
JZOSLIT,O,X,O,O,X,O,O,O,X,X,O,O,O,O,X,O,O,X
JOTILSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTILZS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTISLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTISZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTIZSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLISZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLIZS,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTLSZI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOTLZIS,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTLZSI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOTSILZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTSIZL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTSLIZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOTSLZI,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOTSZIL,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOTSZLI,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOTZILS,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTZISL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOTZLIS,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOTZLSI,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOTZSIL,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOTZSLI,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOITLSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOITLZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOITSLZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOITSZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOITZLS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOITZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILTSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOILTZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOILSTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOILSZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JOILZTS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILZST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X
JOISTLZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISLTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOISLZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JOISZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOISZLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JOIZTLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZTSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZLTS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOIZLST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X
JOIZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOIZSLT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JOLTISZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTIZS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOLTSIZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLTSZI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOLTZIS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOLTZSI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOLITSZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLITZS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JOLISTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLISZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JOLIZTS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLIZST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X
JOLSTIZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLSTZI,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOLSITZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOLSIZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JOLSZTI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOLSZIT,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
JOLZTIS,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JOLZTSI,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X
JOLZITS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOLZIST,O,X,O,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X
JOLZSTI,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X
JOLZSIT,O,X,O,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X
JOSTILZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSTIZL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSTLIZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSTLZI,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOSTZIL,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOSTZLI,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOSITLZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSITZL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOSILTZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSILZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JOSIZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSIZLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JOSLTIZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSLTZI,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X
JOSLITZ,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JOSLIZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
JOSLZTI,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X
JOSLZIT,O,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X
JOSZTIL,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X
JOSZTLI,X,X,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X
JOSZITL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JOSZILT,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,O,X,X
JOSZLTI,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,O,X,X
JOSZLIT,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,O,X,X
JOZTILS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JOZTISL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTLIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
JOZTLSI,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X
JOZTSIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X
JOZTSLI,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X
JOZITLS,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOZITSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
