sequence,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXYBTZBUcB1?iBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBceBGdBi?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBTZBFdB0?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBSeBUdBm?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBGZBzdBi?hB8hBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFlXBGZBzdBX?mB8mBarB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFTZBFcB0dBX?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFzXBCZBXeBO?rBlrB8qB
ISLTJZO,O,O,X,O,X,X,X,X
ISLTJOZ,O,X,O,X,X,X,X,X
ISLTZJO,O,O,X,O,X,X,X,X
ISLTZOJ,O,X,O,O,X,X,O,X
ISLTOJZ,O,X,O,O,X,X,X,X
ISLTOZJ,O,X,O,O,X,X,O,X
ISLJTZO,X,X,O,X,X,X,X,O
ISLJTOZ,X,X,O,X,X,X,X,O
ISLJZTO,X,O,O,O,X,O,X,X
ISLJZOT,X,O,O,O,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,X,X
ISLJOZT,X,X,O,X,X,O,X,X
ISLZTJO,O,O,X,O,X,O,X,X
ISLZTOJ,O,X,O,X,X,O,O,X
ISLZJTO,X,O,X,O,X,O,X,X
ISLZJOT,X,O,X,O,X,X,X,X
ISLZOTJ,X,X,O,X,X,O,O,X
ISLZOJT,X,X,X,O,X,O,X,X
ISLOTJZ,O,X,O,X,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,O,X
ISLOJTZ,X,X,O,X,X,X,X,X
ISLOJZT,X,X,O,X,O,O,X,X
ISLOZTJ,X,X,O,X,O,O,O,X
ISLOZJT,X,X,X,O,O,O,X,X
ISJTLZO,X,O,X,O,X,X,X,O
ISJTLOZ,X,X,X,X,X,X,X,O
ISJTZLO,X,O,X,O,X,O,X,O
ISJTZOL,X,O,X,X,X,O,X,O
ISJTOLZ,X,X,X,X,O,X,X,O
ISJTOZL,X,O,O,X,X,O,X,O
ISJLTZO,X,X,X,X,X,X,X,O
ISJLTOZ,X,X,X,X,X,X,X,O
ISJLZTO,X,O,X,O,X,O,X,X
ISJLZOT,X,O,X,O,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,O,X,X
ISJZTLO,X,O,X,X,X,O,X,X
ISJZTOL,X,O,X,X,X,O,X,X
ISJZLTO,X,O,X,O,X,O,X,X
ISJZLOT,X,O,X,O,X,O,X,X
ISJZOTL,X,X,X,X,X,O,X,X
ISJZOLT,X,O,X,X,X,O,X,X
ISJOTLZ,X,X,X,X,O,X,X,X
ISJOTZL,X,X,O,X,X,O,X,X
ISJOLTZ,X,X,X,X,X,X,X,X
ISJOLZT,X,X,X,X,O,O,X,X
ISJOZTL,X,X,X,X,X,O,X,X
ISJOZLT,X,O,X,X,X,O,X,X
ISZTLJO,X,O,X,O,X,O,X,X
ISZTLOJ,O,X,X,O,X,O,X,X
ISZTJLO,X,O,X,O,X,O,X,X
ISZTJOL,O,O,X,X,X,O,X,X
ISZTOLJ,O,O,O,O,X,O,O,X
ISZTOJL,O,O,O,X,X,O,O,X
ISZLTJO,X,O,X,O,X,O,X,X
ISZLTOJ,X,X,X,X,X,O,O,X
ISZLJTO,X,O,X,O,X,O,X,X
ISZLJOT,X,O,X,O,X,O,X,X
ISZLOTJ,X,X,X,X,X,O,O,X
ISZLOJT,X,X,X,O,X,O,X,X
ISZJTLO,X,O,X,X,X,O,X,X
ISZJTOL,X,O,X,X,X,O,X,X
ISZJLTO,X,O,X,O,X,O,X,X
ISZJLOT,X,O,X,O,X,O,X,X
ISZJOTL,X,X,X,X,X,O,X,X
ISZJOLT,X,O,X,X,X,O,X,X
ISZOTLJ,X,X,O,X,X,O,O,X
ISZOTJL,X,O,O,X,X,O,O,X
ISZOLTJ,X,X,X,X,X,O,O,X
ISZOLJT,X,X,X,O,X,O,X,X
ISZOJTL,X,X,X,X,X,O,X,X
ISZOJLT,X,O,X,X,X,O,X,X
ISOTLJZ,O,X,X,X,O,X,X,X
ISOTLZJ,O,X,O,O,O,X,X,X
ISOTJLZ,X,X,X,X,O,X,X,X
ISOTJZL,O,O,O,X,X,O,X,X
ISOTZLJ,O,X,O,O,X,O,O,X
ISOTZJL,O,O,O,X,X,O,O,X
ISOLTJZ,O,X,O,X,X,X,X,X
ISOLTZJ,O,X,O,X,X,X,O,X
ISOLJTZ,X,X,O,X,X,X,X,X
ISOLJZT,X,X,O,X,O,O,X,X
ISOLZTJ,X,X,O,X,O,O,O,X
ISOLZJT,X,X,X,O,O,O,X,X
ISOJTLZ,X,X,X,X,O,X,X,X
ISOJTZL,X,X,O,X,X,O,X,X
ISOJLTZ,X,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,O,O,X,X
ISOJZTL,X,X,X,X,X,O,X,X
ISOJZLT,X,O,X,X,X,O,X,X
ISOZTLJ,X,X,O,X,X,O,O,X
ISOZTJL,X,O,O,X,X,O,O,X
ISOZLTJ,X,X,X,X,X,O,O,X
ISOZLJT,X,X,X,O,X,O,X,X
ISOZJTL,X,X,X,X,X,O,X,X
ISOZJLT,X,O,X,X,X,O,X,X
IZTLJSO,O,O,X,O,X,X,X,X
IZTLJOS,O,X,X,X,X,X,O,X
IZTLSJO,O,O,X,O,X,X,X,X
IZTLSOJ,O,X,X,O,X,X,O,X
IZTLOJS,O,O,X,O,O,X,O,X
IZTLOSJ,O,O,X,O,O,X,O,X
IZTJLSO,X,O,X,O,X,X,X,X
IZTJLOS,X,X,X,X,X,X,X,X
IZTJSLO,X,O,X,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X
IZTJOLS,X,O,X,X,O,X,X,X
IZTJOSL,O,O,X,X,X,X,O,X
IZTSLJO,X,O,X,O,X,X,X,X
IZTSLOJ,O,X,X,O,X,X,X,X
IZTSJLO,X,O,X,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,O,X,X,O,X
IZTSOJL,O,O,O,X,X,X,O,X
IZTOLJS,O,O,X,O,O,X,O,X
IZTOLSJ,O,O,X,O,O,X,O,X
IZTOJLS,X,O,X,O,O,X,X,X
IZTOJSL,O,O,X,O,X,X,O,X
IZTOSLJ,O,O,O,O,X,X,O,X
IZTOSJL,O,O,O,O,X,X,O,X
IZLTJSO,O,O,X,O,X,X,X,X
IZLTJOS,O,X,X,X,X,X,O,X
IZLTSJO,O,O,X,O,X,X,X,X
IZLTSOJ,O,X,O,O,X,X,O,X
IZLTOJS,O,O,X,O,X,X,O,X
IZLTOSJ,O,O,O,O,X,X,O,X
IZLJTSO,O,X,O,X,X,X,X,X
IZLJTOS,O,X,O,X,X,X,O,X
IZLJSTO,X,O,O,O,X,X,X,X
IZLJSOT,X,O,O,O,X,X,X,X
IZLJOTS,X,X,O,X,X,X,O,X
IZLJOST,X,X,O,X,X,X,X,X
IZLSTJO,O,O,X,O,X,X,X,X
IZLSTOJ,O,X,O,X,X,X,O,X
IZLSJTO,X,O,X,O,X,X,X,X
IZLSJOT,X,O,X,O,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,O,X
IZLSOJT,X,X,X,O,X,X,X,X
IZLOTJS,O,X,X,X,O,X,O,X
IZLOTSJ,O,X,O,X,O,X,O,X
IZLOJTS,X,X,O,X,O,X,O,X
IZLOJST,X,X,O,X,O,X,X,X
IZLOSTJ,X,X,O,X,O,X,O,X
IZLOSJT,X,X,X,O,O,X,X,X
IZJTLSO,X,O,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X,X,X
IZJTSLO,X,O,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X
IZJTOLS,X,O,X,X,O,X,X,X
IZJTOSL,O,O,X,X,X,X,O,X
IZJLTSO,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,O,X
IZJLSTO,X,O,X,O,X,X,X,X
IZJLSOT,X,O,X,O,X,X,X,X
IZJLOTS,X,X,X,X,X,X,O,X
IZJLOST,X,X,X,X,X,X,X,X
IZJSTLO,X,O,X,X,X,O,X,X
IZJSTOL,X,O,X,X,X,O,X,X
IZJSLTO,X,O,X,O,X,O,X,X
IZJSLOT,X,O,X,O,X,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X
IZJSOLT,X,O,X,X,X,O,X,X
IZJOTLS,X,X,X,X,O,X,X,X
IZJOTSL,X,X,X,X,X,X,O,X
IZJOLTS,X,X,X,X,O,X,O,X
IZJOLST,X,X,X,X,O,X,X,X
IZJOSTL,X,X,X,X,X,O,X,X
IZJOSLT,X,O,X,X,X,O,X,X
IZSTLJO,X,O,X,O,X,O,X,X
IZSTLOJ,O,X,X,O,X,O,X,X
IZSTJLO,X,O,X,O,X,O,X,X
IZSTJOL,O,O,X,X,X,O,X,X
IZSTOLJ,O,O,O,O,X,O,O,X
IZSTOJL,O,O,O,X,X,O,O,X
IZSLTJO,X,O,X,O,X,O,X,X
IZSLTOJ,X,X,X,X,X,O,O,X
IZSLJTO,X,O,X,O,X,O,X,X
IZSLJOT,X,O,X,O,X,X,X,X
IZSLOTJ,X,X,X,X,X,O,O,X
IZSLOJT,X,X,X,O,X,O,X,X
IZSJTLO,X,O,X,X,X,O,X,X
IZSJTOL,X,O,X,X,X,O,X,X
IZSJLTO,X,O,X,O,X,O,X,X
IZSJLOT,X,O,X,O,X,X,X,X
IZSJOTL,X,X,X,X,X,O,X,X
IZSJOLT,X,O,X,X,X,O,X,X
IZSOTLJ,X,X,O,X,X,O,O,X
IZSOTJL,X,O,O,X,X,O,O,X
IZSOLTJ,X,X,X,X,X,O,O,X
IZSOLJT,X,X,X,O,X,O,X,X
IZSOJTL,X,X,X,X,X,O,X,X
IZSOJLT,X,O,X,X,X,O,X,X
IZOTLJS,O,O,X,X,O,X,O,X
IZOTLSJ,O,O,X,X,O,X,O,X
IZOTJLS,X,O,X,X,O,X,X,X
IZOTJSL,O,O,X,X,X,X,O,X
IZOTSLJ,O,O,O,X,X,X,O,X
IZOTSJL,O,O,O,X,X,X,O,X
IZOLTJS,O,X,X,X,O,X,O,X
IZOLTSJ,O,X,O,X,O,X,O,X
IZOLJTS,X,X,O,X,O,X,O,X
IZOLJST,X,X,O,X,O,X,X,X
IZOLSTJ,X,X,O,X,O,X,O,X
IZOLSJT,X,X,X,O,O,X,X,X
IZOJTLS,X,X,X,X,O,X,X,X
IZOJTSL,X,X,X,X,X,X,O,X
IZOJLTS,X,X,X,X,O,X,O,X
IZOJLST,X,X,X,X,O,X,X,X
IZOJSTL,X,X,X,X,X,O,X,X
IZOJSLT,X,O,X,X,X,O,X,X
IZOSTLJ,X,X,O,X,X,O,O,X
IZOSTJL,X,O,O,X,X,O,O,X
IZOSLTJ,X,X,X,X,X,O,O,X
IZOSLJT,X,X,X,O,X,O,X,X
IZOSJTL,X,X,X,X,X,O,X,X
IZOSJLT,X,O,X,X,X,O,X,X
IOTLJSZ,O,O,O,O,O,X,X,X
IOTLJZS,O,O,O,O,O,X,O,X
IOTLSJZ,O,O,O,O,O,X,X,X
IOTLSZJ,O,O,O,O,O,X,O,X
IOTLZJS,O,O,X,O,O,X,O,X
IOTLZSJ,O,O,O,O,O,X,O,X
IOTJLSZ,O,O,X,O,O,X,X,X
IOTJLZS,O,O,X,O,O,X,X,X
IOTJSLZ,X,O,X,O,O,X,X,X
IOTJSZL,O,O,O,O,X,O,X,X
IOTJZLS,X,O,X,O,O,X,X,X
IOTJZSL,O,O,X,O,X,X,O,X
IOTSLJZ,O,O,X,O,O,X,X,X
IOTSLZJ,O,O,O,O,O,X,X,X
IOTSJLZ,X,O,X,O,O,X,X,X
IOTSJZL,O,O,O,O,X,O,X,X
IOTSZLJ,O,O,O,O,X,O,O,X
IOTSZJL,O,O,O,O,X,O,O,X
IOTZLJS,O,O,X,O,O,X,O,X
IOTZLSJ,O,O,X,O,O,X,O,X
IOTZJLS,X,O,X,O,O,X,X,X
IOTZJSL,O,O,X,O,X,X,O,X
IOTZSLJ,O,O,O,O,X,X,O,X
IOTZSJL,O,O,O,O,X,X,O,X
IOLTJSZ,O,X,O,O,O,X,X,X
IOLTJZS,O,X,O,O,O,X,O,X
IOLTSJZ,O,X,O,O,O,X,X,X
IOLTSZJ,O,X,O,O,O,X,O,X
IOLTZJS,O,X,X,O,O,X,O,X
IOLTZSJ,O,X,O,O,O,X,O,X
IOLJTSZ,O,X,O,X,O,X,X,X
IOLJTZS,O,X,O,X,O,X,O,X
IOLJSTZ,X,X,O,X,X,X,X,X
IOLJSZT,X,X,O,X,O,O,X,X
IOLJZTS,X,X,O,X,O,X,O,X
IOLJZST,X,X,O,X,O,X,X,X
IOLSTJZ,O,X,O,X,X,X,X,X
IOLSTZJ,O,X,O,X,X,X,O,X
IOLSJTZ,X,X,O,X,X,X,X,X
IOLSJZT,X,X,O,X,O,O,X,X
IOLSZTJ,X,X,O,X,O,O,O,X
IOLSZJT,X,X,X,O,O,O,X,X
IOLZTJS,O,X,X,X,O,X,O,X
IOLZTSJ,O,X,O,X,O,X,O,X
IOLZJTS,X,X,O,X,O,X,O,X
IOLZJST,X,X,O,X,O,X,X,X
IOLZSTJ,X,X,O,X,O,X,O,X
IOLZSJT,X,X,X,O,O,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X
IOJTSZL,O,X,O,X,X,O,X,X
IOJTZLS,X,X,X,X,O,X,X,X
IOJTZSL,O,X,X,X,X,X,O,X
IOJLTSZ,O,X,O,X,O,X,X,X
IOJLTZS,O,X,O,X,O,X,O,X
IOJLSTZ,X,X,O,X,X,X,X,X
IOJLSZT,X,X,O,X,O,O,X,X
IOJLZTS,X,X,O,X,O,X,O,X
IOJLZST,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,X,X,O,X,X,X
IOJSTZL,X,X,O,X,X,O,X,X
IOJSLTZ,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,X,O,O,X,X
IOJSZTL,X,X,X,X,X,O,X,X
IOJSZLT,X,O,X,X,X,O,X,X
IOJZTLS,X,X,X,X,O,X,X,X
IOJZTSL,X,X,X,X,X,X,O,X
IOJZLTS,X,X,X,X,O,X,O,X
IOJZLST,X,X,X,X,O,X,X,X
IOJZSTL,X,X,X,X,X,O,X,X
IOJZSLT,X,O,X,X,X,O,X,X
IOSTLJZ,O,X,X,X,O,X,X,X
IOSTLZJ,O,X,O,O,O,X,X,X
IOSTJLZ,X,X,X,X,O,X,X,X
IOSTJZL,O,O,O,X,X,O,X,X
IOSTZLJ,O,X,O,O,X,O,O,X
IOSTZJL,O,O,O,X,X,O,O,X
IOSLTJZ,O,X,O,X,X,X,X,X
IOSLTZJ,O,X,O,X,X,X,O,X
IOSLJTZ,X,X,O,X,X,X,X,X
IOSLJZT,X,X,O,X,O,O,X,X
IOSLZTJ,X,X,O,X,O,O,O,X
IOSLZJT,X,X,X,O,O,O,X,X
IOSJTLZ,X,X,X,X,O,X,X,X
IOSJTZL,X,X,O,X,X,O,X,X
IOSJLTZ,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,O,O,X,X
IOSJZTL,X,X,X,X,X,O,X,X
IOSJZLT,X,O,X,X,X,O,X,X
IOSZTLJ,X,X,O,X,X,O,O,X
IOSZTJL,X,O,O,X,X,O,O,X
IOSZLTJ,X,X,X,X,X,O,O,X
IOSZLJT,X,X,X,O,X,O,X,X
IOSZJTL,X,X,X,X,X,O,X,X
IOSZJLT,X,O,X,X,X,O,X,X
IOZTLJS,O,O,X,X,O,X,O,X
IOZTLSJ,O,O,X,X,O,X,O,X
IOZTJLS,X,O,X,X,O,X,X,X
IOZTJSL,O,O,X,X,X,X,O,X
IOZTSLJ,O,O,O,X,X,X,O,X
IOZTSJL,O,O,O,X,X,X,O,X
IOZLTJS,O,X,X,X,O,X,O,X
IOZLTSJ,O,X,O,X,O,X,O,X
IOZLJTS,X,X,O,X,O,X,O,X
IOZLJST,X,X,O,X,O,X,X,X
IOZLSTJ,X,X,O,X,O,X,O,X
IOZLSJT,X,X,X,O,O,X,X,X
IOZJTLS,X,X,X,X,O,X,X,X
IOZJTSL,X,X,X,X,X,X,O,X
IOZJLTS,X,X,X,X,O,X,O,X
IOZJLST,X,X,X,X,O,X,X,X
IOZJSTL,X,X,X,X,X,O,X,X
IOZJSLT,X,O,X,X,X,O,X,X
IOZSTLJ,X,X,O,X,X,O,O,X
IOZSTJL,X,O,O,X,X,O,O,X
IOZSLTJ,X,X,X,X,X,O,O,X
IOZSLJT,X,X,X,O,X,O,X,X
IOZSJTL,X,X,X,X,X,O,X,X
IOZSJLT,X,O,X,X,X,O,X,X
LTIJSZO,O,O,O,O,X,X,X,X
LTIJSOZ,O,X,O,X,X,X,X,X
LTIJZSO,O,O,O,O,X,X,X,X
LTIJZOS,O,X,O,X,X,X,O,X
LTIJOSZ,O,X,O,O,O,X,X,X
LTIJOZS,O,X,O,O,O,X,O,X
LTISJZO,O,O,X,O,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X,X
LTISZJO,O,O,X,O,X,X,X,X
LTISZOJ,O,X,O,O,X,X,O,X
LTISOJZ,O,X,O,O,O,X,X,X
LTISOZJ,O,X,O,O,O,X,O,X
LTIZJSO,O,O,X,O,X,X,X,X
LTIZJOS,O,X,X,X,X,X,O,X
LTIZSJO,O,O,X,O,X,X,X,X
LTIZSOJ,O,X,O,O,X,X,O,X
LTIZOJS,O,O,X,O,O,X,O,X
LTIZOSJ,O,O,O,O,O,X,O,X
LTIOJSZ,O,O,O,O,O,X,X,X
LTIOJZS,O,O,O,O,O,X,O,X
LTIOSJZ,O,O,O,O,O,X,X,X
LTIOSZJ,O,O,O,O,O,X,O,X
LTIOZJS,O,O,X,O,O,X,O,X
LTIOZSJ,O,O,O,O,O,X,O,X
LTJISZO,O,O,O,O,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X,X
LTJIZSO,O,O,O,O,X,X,X,X
LTJIZOS,O,X,O,X,X,X,O,X
LTJIOSZ,O,X,O,O,O,X,X,X
LTJIOZS,O,X,O,O,O,X,O,X
LTJSIZO,O,O,O,O,X,X,X,X
LTJSIOZ,O,X,O,X,X,X,X,X
LTJSZIO,O,O,O,O,X,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X,X,X
LTJZISO,O,O,O,O,X,X,X,X
LTJZIOS,O,X,O,X,X,X,O,X
LTJZSIO,O,O,O,O,X,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X
LTJZOIS,O,X,O,X,X,X,O,X
LTJZOSI,O,X,O,X,X,X,O,X
LTJOISZ,O,X,O,O,O,X,X,X
LTJOIZS,O,X,O,O,O,X,O,X
LTJOSIZ,O,X,O,O,O,X,X,X
LTJOSZI,O,X,O,O,O,X,X,X
LTJOZIS,O,X,O,O,O,X,O,X
LTJOZSI,O,X,O,O,O,X,O,X
LTSIJZO,O,O,X,O,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X,X
LTSIZJO,O,O,X,O,X,X,X,X
LTSIZOJ,O,X,O,O,X,X,O,X
LTSIOJZ,O,X,O,O,O,X,X,X
LTSIOZJ,O,X,O,O,O,X,O,X
LTSJIZO,O,O,X,O,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X
LTSJZIO,O,O,X,O,X,X,X,X
LTSJZOI,O,O,X,O,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X,X
LTSZIJO,O,O,X,O,X,X,X,X
LTSZIOJ,O,X,O,O,X,X,O,X
LTSZJIO,O,O,X,O,X,X,X,X
LTSZJOI,O,O,X,O,X,X,X,X
LTSZOIJ,O,X,O,O,X,X,O,X
LTSZOJI,O,X,O,O,X,X,O,X
LTSOIJZ,O,X,O,O,O,X,X,X
LTSOIZJ,O,X,O,O,O,X,O,X
LTSOJIZ,O,X,O,O,O,X,X,X
LTSOJZI,O,X,O,O,O,X,X,X
LTSOZIJ,O,X,O,O,O,X,O,X
LTSOZJI,O,X,O,O,O,X,O,X
LTZIJSO,O,O,X,O,X,X,X,X
LTZIJOS,O,X,X,X,X,X,O,X
LTZISJO,O,O,X,O,X,X,X,X
LTZISOJ,O,X,O,O,X,X,O,X
LTZIOJS,O,O,X,O,O,X,O,X
LTZIOSJ,O,O,O,O,O,X,O,X
LTZJISO,O,O,X,O,X,X,X,X
LTZJIOS,O,X,X,X,X,X,O,X
LTZJSIO,O,O,X,O,X,X,X,X
LTZJSOI,O,O,X,O,X,X,X,X
LTZJOIS,O,X,X,X,X,X,O,X
LTZJOSI,O,X,X,X,X,X,O,X
LTZSIJO,O,O,X,O,X,X,X,X
LTZSIOJ,O,X,O,O,X,X,O,X
LTZSJIO,O,O,X,O,X,X,X,X
LTZSJOI,O,O,X,O,X,X,X,X
LTZSOIJ,O,X,O,O,X,X,O,X
LTZSOJI,O,X,O,O,X,X,O,X
LTZOIJS,O,O,X,O,O,X,O,X
LTZOISJ,O,O,O,O,O,X,O,X
LTZOJIS,O,O,X,O,O,X,O,X
LTZOJSI,O,O,X,O,O,X,O,X
LTZOSIJ,O,O,O,O,O,X,O,X
LTZOSJI,O,O,O,O,O,X,O,X
LTOIJSZ,O,O,O,O,O,X,X,X
LTOIJZS,O,O,O,O,O,X,O,X
LTOISJZ,O,O,O,O,O,X,X,X
LTOISZJ,O,O,O,O,O,X,O,X
LTOIZJS,O,O,X,O,O,X,O,X
LTOIZSJ,O,O,O,O,O,X,O,X
LTOJISZ,O,O,O,O,O,X,X,X
LTOJIZS,O,O,O,O,O,X,O,X
LTOJSIZ,O,O,O,O,O,X,X,X
LTOJSZI,O,O,O,O,O,X,X,X
LTOJZIS,O,O,O,O,O,X,O,X
LTOJZSI,O,O,O,O,O,X,O,X
LTOSIJZ,O,O,O,O,O,X,X,X
LTOSIZJ,O,O,O,O,O,X,O,X
LTOSJIZ,O,O,O,O,O,X,X,X
LTOSJZI,O,O,O,O,O,X,X,X
LTOSZIJ,O,O,O,O,O,X,O,X
LTOSZJI,O,O,O,O,O,X,O,X
LTOZIJS,O,O,X,O,O,X,O,X
LTOZISJ,O,O,O,O,O,X,O,X
LTOZJIS,O,O,X,O,O,X,O,X
LTOZJSI,O,O,X,O,O,X,O,X
LTOZSIJ,O,O,O,O,O,X,O,X
LTOZSJI,O,O,O,O,O,X,O,X
LITJSZO,O,O,O,O,X,X,X,X
LITJSOZ,O,X,O,X,X,X,X,X
LITJZSO,O,O,O,O,X,X,X,X
LITJZOS,O,X,O,X,X,X,O,X
LITJOSZ,O,X,O,O,O,X,X,X
LITJOZS,O,X,O,O,O,X,O,X
LITSJZO,O,O,X,O,X,X,X,X
LITSJOZ,O,X,O,X,X,X,X,X
LITSZJO,O,O,X,O,X,X,X,X
LITSZOJ,O,X,O,O,X,X,O,X
LITSOJZ,O,X,O,O,O,X,X,X
LITSOZJ,O,X,O,O,O,X,O,X
LITZJSO,O,O,X,O,X,X,X,X
LITZJOS,O,X,X,X,X,X,O,X
LITZSJO,O,O,X,O,X,X,X,X
LITZSOJ,O,X,O,O,X,X,O,X
LITZOJS,O,O,X,O,O,X,O,X
LITZOSJ,O,O,O,O,O,X,O,X
LITOJSZ,O,O,O,O,O,X,X,X
LITOJZS,O,O,O,O,O,X,O,X
LITOSJZ,O,O,O,O,O,X,X,X
LITOSZJ,O,O,O,O,O,X,O,X
LITOZJS,O,O,X,O,O,X,O,X
LITOZSJ,O,O,O,O,O,X,O,X
LIJTSZO,O,X,O,O,X,X,X,X
LIJTSOZ,O,X,O,X,X,X,X,X
LIJTZSO,O,X,O,O,X,X,X,X
LIJTZOS,O,X,O,X,X,X,O,X
LIJTOSZ,O,X,O,O,O,X,X,X
LIJTOZS,O,X,O,O,O,X,O,X
LIJSTZO,X,X,O,X,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,X,X
LIJSZTO,X,O,O,O,X,O,X,X
LIJSZOT,X,O,O,O,X,X,X,X
LIJSOTZ,X,X,O,X,X,X,X,X
LIJSOZT,X,X,O,X,X,O,X,X
LIJZTSO,O,X,O,X,X,X,X,X
LIJZTOS,O,X,O,X,X,X,O,X
LIJZSTO,X,O,O,O,X,X,X,X
LIJZSOT,X,O,O,O,X,X,X,X
LIJZOTS,X,X,O,X,X,X,O,X
LIJZOST,X,X,O,X,X,X,X,X
LIJOTSZ,O,X,O,X,O,X,X,X
LIJOTZS,O,X,O,X,O,X,O,X
LIJOSTZ,X,X,O,X,X,X,X,X
LIJOSZT,X,X,O,X,O,O,X,X
LIJOZTS,X,X,O,X,O,X,O,X
LIJOZST,X,X,O,X,O,X,X,X
LISTJZO,O,O,X,O,X,X,X,X
LISTJOZ,O,X,O,X,X,X,X,X
LISTZJO,O,O,X,O,X,X,X,X
LISTZOJ,O,X,O,O,X,X,O,X
LISTOJZ,O,X,O,O,X,X,X,X
LISTOZJ,O,X,O,O,X,X,O,X
LISJTZO,X,X,O,X,X,X,X,X
LISJTOZ,X,X,O,X,X,X,X,X
LISJZTO,X,O,O,O,X,O,X,X
LISJZOT,X,O,O,O,X,X,X,X
LISJOTZ,X,X,O,X,X,X,X,X
LISJOZT,X,X,O,X,X,O,X,X
LISZTJO,O,O,X,O,X,O,X,X
LISZTOJ,O,X,O,X,X,O,O,X
LISZJTO,X,O,X,O,X,O,X,X
LISZJOT,X,O,X,O,X,X,X,X
LISZOTJ,X,X,O,X,X,O,O,X
LISZOJT,X,X,X,O,X,O,X,X
LISOTJZ,O,X,O,X,X,X,X,X
LISOTZJ,O,X,O,X,X,X,O,X
LISOJTZ,X,X,O,X,X,X,X,X
LISOJZT,X,X,O,X,O,O,X,X
LISOZTJ,X,X,O,X,O,O,O,X
LISOZJT,X,X,X,O,O,O,X,X
LIZTJSO,O,O,X,O,X,X,X,X
LIZTJOS,O,X,X,X,X,X,O,X
LIZTSJO,O,O,X,O,X,X,X,X
LIZTSOJ,O,X,O,O,X,X,O,X
LIZTOJS,O,O,X,O,X,X,O,X
LIZTOSJ,O,O,O,O,X,X,O,X
LIZJTSO,O,X,O,X,X,X,X,X
LIZJTOS,O,X,O,X,X,X,O,X
LIZJSTO,X,O,O,O,X,X,X,X
LIZJSOT,X,O,O,O,X,X,X,X
LIZJOTS,X,X,O,X,X,X,O,X
LIZJOST,X,X,O,X,X,X,X,X
LIZSTJO,O,O,X,O,X,X,X,X
LIZSTOJ,O,X,O,X,X,X,O,X
LIZSJTO,X,O,X,O,X,X,X,X
LIZSJOT,X,O,X,O,X,X,X,X
LIZSOTJ,X,X,O,X,X,X,O,X
LIZSOJT,X,X,X,O,X,X,X,X
LIZOTJS,O,X,X,X,O,X,O,X
LIZOTSJ,O,X,O,X,O,X,O,X
LIZOJTS,X,X,O,X,O,X,O,X
LIZOJST,X,X,O,X,O,X,X,X
LIZOSTJ,X,X,O,X,O,X,O,X
LIZOSJT,X,X,X,O,O,X,X,X
LIOTJSZ,O,X,O,O,O,X,X,X
LIOTJZS,O,X,O,O,O,X,O,X
LIOTSJZ,O,X,O,O,O,X,X,X
LIOTSZJ,O,X,O,O,O,X,O,X
LIOTZJS,O,X,X,O,O,X,O,X
LIOTZSJ,O,X,O,O,O,X,O,X
LIOJTSZ,O,X,O,X,O,X,X,X
LIOJTZS,O,X,O,X,O,X,O,X
