sequence,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBTPB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeTDJvhFKZB6UB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBJQB?uaBzLBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeaDJvhFvaBeRB?TLBUhBqcBpeB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8Jeq8IvhFKYBTjB?fZBJQBuaBUhB
LIOZLJST,O,O,O,X,O
LIOZLSTJ,O,O,X,O,O
LIOZLSJT,O,O,O,O,O
LIOZJTLS,X,O,O,X,O
LIOZJTSL,X,O,O,X,O
LIOZJLTS,O,O,O,X,O
LIOZJLST,O,O,O,X,O
LIOZJSTL,X,O,O,X,O
LIOZJSLT,O,O,O,X,O
LIOZSTLJ,X,O,X,O,O
LIOZSTJL,X,O,X,O,O
LIOZSLTJ,O,O,X,O,O
LIOZSLJT,O,O,O,O,O
LIOZSJTL,X,O,O,O,O
LIOZSJLT,O,O,O,O,O
LLTIJSZO,O,X,O,X,X
LLTIJSOZ,O,X,O,X,X
LLTIJZSO,O,X,O,X,X
LLTIJZOS,O,X,O,X,O
LLTIJOSZ,O,X,O,X,O
LLTIJOZS,O,X,O,X,O
LLTISJZO,O,X,O,O,X
LLTISJOZ,O,X,O,O,X
LLTISZJO,O,X,O,O,X
LLTISZOJ,O,X,X,O,X
LLTISOJZ,O,X,X,O,X
LLTISOZJ,O,X,X,O,X
LLTIZJSO,O,X,O,X,X
LLTIZJOS,O,X,O,X,O
LLTIZSJO,O,X,O,O,X
LLTIZSOJ,O,X,X,O,X
LLTIZOJS,O,X,X,X,O
LLTIZOSJ,O,X,X,X,O
LLTIOJSZ,O,X,X,X,O
LLTIOJZS,O,X,X,X,O
LLTIOSJZ,O,X,X,X,O
LLTIOSZJ,O,X,X,X,O
LLTIOZJS,O,X,X,X,O
LLTIOZSJ,O,X,X,X,O
LLTJISZO,O,X,O,X,X
LLTJISOZ,O,X,O,X,X
LLTJIZSO,O,X,O,X,X
LLTJIZOS,O,X,O,X,O
LLTJIOSZ,O,X,O,X,O
LLTJIOZS,O,X,O,X,O
LLTJSIZO,O,X,O,X,X
LLTJSIOZ,O,X,O,X,X
LLTJSZIO,O,X,O,X,X
LLTJSZOI,O,X,O,X,X
LLTJSOIZ,O,X,O,X,X
LLTJSOZI,O,X,O,X,X
LLTJZISO,O,X,O,X,X
LLTJZIOS,O,X,O,X,O
LLTJZSIO,O,X,O,X,X
LLTJZSOI,O,X,O,X,X
LLTJZOIS,O,X,O,X,O
LLTJZOSI,O,X,O,X,O
LLTJOISZ,O,X,O,X,O
LLTJOIZS,O,X,O,X,O
LLTJOSIZ,O,X,O,X,O
LLTJOSZI,O,X,O,X,O
LLTJOZIS,O,X,O,X,O
LLTJOZSI,O,X,O,X,O
LLTSIJZO,O,X,O,O,X
LLTSIJOZ,O,X,O,O,X
LLTSIZJO,O,X,O,O,X
LLTSIZOJ,O,X,X,O,X
LLTSIOJZ,O,X,X,O,X
LLTSIOZJ,O,X,X,O,X
LLTSJIZO,O,X,O,O,X
LLTSJIOZ,O,X,O,O,X
LLTSJZIO,O,X,O,O,X
LLTSJZOI,O,X,O,O,X
LLTSJOIZ,O,X,O,O,X
LLTSJOZI,O,X,O,O,X
LLTSZIJO,O,X,O,O,X
LLTSZIOJ,O,X,X,O,X
LLTSZJIO,O,X,O,O,X
LLTSZJOI,O,X,O,O,X
LLTSZOIJ,O,X,X,O,X
LLTSZOJI,O,X,X,O,X
LLTSOIJZ,O,X,X,O,X
LLTSOIZJ,O,X,X,O,X
LLTSOJIZ,O,X,X,O,X
LLTSOJZI,O,X,X,O,X
LLTSOZIJ,O,X,X,O,X
LLTSOZJI,O,X,X,O,X
LLTZIJSO,O,X,O,X,X
LLTZIJOS,O,X,O,X,O
LLTZISJO,O,X,O,O,X
LLTZISOJ,O,X,X,O,X
LLTZIOJS,O,X,X,X,O
LLTZIOSJ,O,X,X,X,O
LLTZJISO,O,X,O,X,X
LLTZJIOS,O,X,O,X,O
LLTZJSIO,O,X,O,X,X
LLTZJSOI,O,X,O,X,X
LLTZJOIS,O,X,O,X,O
LLTZJOSI,O,X,O,X,O
LLTZSIJO,O,X,O,O,X
LLTZSIOJ,O,X,X,O,X
LLTZSJIO,O,X,O,O,X
LLTZSJOI,O,X,O,O,X
LLTZSOIJ,O,X,X,O,X
LLTZSOJI,O,X,X,O,X
LLTZOIJS,O,X,X,X,O
LLTZOISJ,O,X,X,X,O
LLTZOJIS,O,X,X,X,O
LLTZOJSI,O,X,X,X,O
LLTZOSIJ,O,X,X,X,O
LLTZOSJI,O,X,X,X,O
LLTOIJSZ,O,X,X,X,O
LLTOIJZS,O,X,X,X,O
LLTOISJZ,O,X,X,X,O
LLTOISZJ,O,X,X,X,O
LLTOIZJS,O,X,X,X,O
LLTOIZSJ,O,X,X,X,O
LLTOJISZ,O,X,X,X,O
LLTOJIZS,O,X,X,X,O
LLTOJSIZ,O,X,X,X,O
LLTOJSZI,O,X,X,X,O
LLTOJZIS,O,X,X,X,O
LLTOJZSI,O,X,X,X,O
LLTOSIJZ,O,X,X,X,O
LLTOSIZJ,O,X,X,X,O
LLTOSJIZ,O,X,X,X,O
LLTOSJZI,O,X,X,X,O
LLTOSZIJ,O,X,X,X,O
LLTOSZJI,O,X,X,X,O
LLTOZIJS,O,X,X,X,O
LLTOZISJ,O,X,X,X,O
LLTOZJIS,O,X,X,X,O
LLTOZJSI,O,X,X,X,O
LLTOZSIJ,O,X,X,X,O
LLTOZSJI,O,X,X,X,O
LLITJSZO,O,X,O,X,X
LLITJSOZ,O,X,O,X,X
LLITJZSO,O,X,O,X,X
LLITJZOS,O,X,O,X,O
LLITJOSZ,O,X,O,X,O
LLITJOZS,O,X,O,X,O
LLITSJZO,O,X,O,O,X
LLITSJOZ,O,X,O,O,X
LLITSZJO,O,X,O,O,X
LLITSZOJ,O,X,X,O,X
LLITSOJZ,O,X,X,O,X
LLITSOZJ,O,X,X,O,X
LLITZJSO,O,X,O,X,X
LLITZJOS,O,X,O,X,O
LLITZSJO,O,X,O,O,X
LLITZSOJ,O,X,X,O,X
LLITZOJS,O,X,X,X,O
LLITZOSJ,O,X,X,X,O
LLITOJSZ,O,X,X,X,O
LLITOJZS,O,X,X,X,O
LLITOSJZ,O,X,X,X,O
LLITOSZJ,O,X,X,X,O
LLITOZJS,O,X,X,X,O
LLITOZSJ,O,X,X,X,O
LLIJTSZO,O,X,O,X,X
LLIJTSOZ,O,X,O,X,X
LLIJTZSO,O,X,O,X,X
LLIJTZOS,O,X,O,X,O
LLIJTOSZ,O,X,O,X,O
LLIJTOZS,O,X,O,X,O
LLIJSTZO,O,X,O,O,X
LLIJSTOZ,O,X,O,O,X
LLIJSZTO,O,X,O,O,X
LLIJSZOT,O,X,O,O,O
LLIJSOTZ,O,X,O,O,O
LLIJSOZT,O,X,O,O,O
LLIJZTSO,O,X,O,X,X
LLIJZTOS,O,X,O,X,O
LLIJZSTO,O,X,O,O,X
LLIJZSOT,O,X,O,O,O
LLIJZOTS,O,X,O,X,O
LLIJZOST,O,X,O,X,O
LLIJOTSZ,O,X,O,X,O
LLIJOTZS,O,X,O,X,O
LLIJOSTZ,O,X,O,X,O
LLIJOSZT,O,X,O,X,O
LLIJOZTS,O,X,O,X,O
LLIJOZST,O,X,O,X,O
LLISTJZO,O,X,O,O,X
LLISTJOZ,O,X,O,O,X
LLISTZJO,O,X,O,O,X
LLISTZOJ,O,X,X,O,X
LLISTOJZ,O,X,X,O,X
LLISTOZJ,O,X,X,O,X
LLISJTZO,O,X,O,O,X
LLISJTOZ,O,X,O,O,X
LLISJZTO,O,X,O,O,X
LLISJZOT,O,X,O,O,O
LLISJOTZ,O,X,O,O,O
LLISJOZT,O,X,O,O,O
LLISZTJO,O,X,O,O,X
LLISZTOJ,O,X,X,O,X
LLISZJTO,O,X,O,O,X
LLISZJOT,O,X,O,O,O
LLISZOTJ,O,X,X,O,O
LLISZOJT,O,X,O,O,O
LLISOTJZ,O,X,X,O,O
LLISOTZJ,O,X,X,O,O
LLISOJTZ,O,X,O,O,O
LLISOJZT,O,X,O,O,O
LLISOZTJ,O,X,X,O,O
LLISOZJT,O,X,O,O,O
LLIZTJSO,O,X,O,X,X
LLIZTJOS,O,X,O,X,O
LLIZTSJO,O,X,O,O,X
LLIZTSOJ,O,X,X,O,X
LLIZTOJS,O,X,X,X,O
LLIZTOSJ,O,X,X,X,O
LLIZJTSO,O,X,O,X,X
LLIZJTOS,O,X,O,X,O
LLIZJSTO,O,X,O,O,X
LLIZJSOT,O,X,O,O,O
LLIZJOTS,O,X,O,X,O
LLIZJOST,O,X,O,X,O
LLIZSTJO,O,X,O,O,X
LLIZSTOJ,O,X,X,O,X
LLIZSJTO,O,X,O,O,X
LLIZSJOT,O,X,O,O,O
LLIZSOTJ,O,X,X,O,O
LLIZSOJT,O,X,O,O,O
LLIZOTJS,O,X,X,X,O
LLIZOTSJ,O,X,X,X,O
LLIZOJTS,O,X,O,X,O
LLIZOJST,O,X,O,X,O
LLIZOSTJ,O,X,X,O,O
LLIZOSJT,O,X,O,O,O
LLIOTJSZ,O,X,X,X,O
LLIOTJZS,O,X,X,X,O
LLIOTSJZ,O,X,X,X,O
LLIOTSZJ,O,X,X,X,O
LLIOTZJS,O,X,X,X,O
LLIOTZSJ,O,X,X,X,O
LLIOJTSZ,O,X,O,X,O
LLIOJTZS,O,X,O,X,O
LLIOJSTZ,O,X,O,X,O
LLIOJSZT,O,X,O,X,O
LLIOJZTS,O,X,O,X,O
LLIOJZST,O,X,O,X,O
LLIOSTJZ,O,X,X,O,O
LLIOSTZJ,O,X,X,O,O
LLIOSJTZ,O,X,O,O,O
LLIOSJZT,O,X,O,O,O
LLIOSZTJ,O,X,X,O,O
LLIOSZJT,O,X,O,O,O
LLIOZTJS,O,X,X,X,O
LLIOZTSJ,O,X,X,X,O
LLIOZJTS,O,X,O,X,O
LLIOZJST,O,X,O,X,O
LLIOZSTJ,O,X,X,O,O
LLIOZSJT,O,X,O,O,O
LLJTISZO,O,X,O,X,X
LLJTISOZ,O,X,O,X,X
LLJTIZSO,O,X,O,X,X
LLJTIZOS,O,X,O,X,O
LLJTIOSZ,O,X,O,X,O
LLJTIOZS,O,X,O,X,O
LLJTSIZO,O,X,O,X,X
LLJTSIOZ,O,X,O,X,X
LLJTSZIO,O,X,O,X,X
LLJTSZOI,O,X,O,X,X
LLJTSOIZ,O,X,O,X,X
LLJTSOZI,O,X,O,X,X
LLJTZISO,O,X,O,X,X
LLJTZIOS,O,X,O,X,O
LLJTZSIO,O,X,O,X,X
LLJTZSOI,O,X,O,X,X
LLJTZOIS,O,X,O,X,O
LLJTZOSI,O,X,O,X,O
LLJTOISZ,O,X,O,X,O
LLJTOIZS,O,X,O,X,O
LLJTOSIZ,O,X,O,X,O
LLJTOSZI,O,X,O,X,O
LLJTOZIS,O,X,O,X,O
LLJTOZSI,O,X,O,X,O
LLJITSZO,O,X,O,X,X
LLJITSOZ,O,X,O,X,X
LLJITZSO,O,X,O,X,X
LLJITZOS,O,X,O,X,O
LLJITOSZ,O,X,O,X,O
LLJITOZS,O,X,O,X,O
LLJISTZO,O,X,O,O,X
LLJISTOZ,O,X,O,O,X
LLJISZTO,O,X,O,O,X
LLJISZOT,O,X,O,O,O
LLJISOTZ,O,X,O,O,O
LLJISOZT,O,X,O,O,O
LLJIZTSO,O,X,O,X,X
LLJIZTOS,O,X,O,X,O
LLJIZSTO,O,X,O,O,X
LLJIZSOT,O,X,O,O,O
LLJIZOTS,O,X,O,X,O
LLJIZOST,O,X,O,X,O
LLJIOTSZ,O,X,O,X,O
LLJIOTZS,O,X,O,X,O
LLJIOSTZ,O,X,O,X,O
LLJIOSZT,O,X,O,X,O
LLJIOZTS,O,X,O,X,O
LLJIOZST,O,X,O,X,O
LLJSTIZO,O,X,O,O,X
LLJSTIOZ,O,X,O,O,X
LLJSTZIO,O,X,O,O,X
LLJSTZOI,O,X,O,O,X
LLJSTOIZ,O,X,O,O,X
LLJSTOZI,O,X,O,O,X
LLJSITZO,O,X,O,O,X
LLJSITOZ,O,X,O,O,X
LLJSIZTO,O,X,O,O,X
LLJSIZOT,O,X,O,O,O
LLJSIOTZ,O,X,O,O,O
LLJSIOZT,O,X,O,O,O
LLJSZTIO,O,X,O,O,X
LLJSZTOI,O,X,O,O,X
LLJSZITO,O,X,O,O,X
LLJSZIOT,O,X,O,O,O
LLJSZOTI,O,X,O,O,O
LLJSZOIT,O,X,O,O,O
LLJSOTIZ,O,X,O,O,O
LLJSOTZI,O,X,O,O,O
LLJSOITZ,O,X,O,O,O
LLJSOIZT,O,X,O,O,O
LLJSOZTI,O,X,O,O,O
LLJSOZIT,O,X,O,O,O
LLJZTISO,O,X,O,X,X
LLJZTIOS,O,X,O,X,O
LLJZTSIO,O,X,O,X,X
LLJZTSOI,O,X,O,X,X
LLJZTOIS,O,X,O,X,O
LLJZTOSI,O,X,O,X,O
LLJZITSO,O,X,O,X,X
LLJZITOS,O,X,O,X,O
LLJZISTO,O,X,O,O,X
LLJZISOT,O,X,O,O,O
LLJZIOTS,O,X,O,X,O
LLJZIOST,O,X,O,X,O
LLJZSTIO,O,X,O,O,X
LLJZSTOI,O,X,O,O,X
LLJZSITO,O,X,O,O,X
LLJZSIOT,O,X,O,O,O
LLJZSOTI,O,X,O,O,O
LLJZSOIT,O,X,O,O,O
LLJZOTIS,O,X,O,X,O
LLJZOTSI,O,X,O,X,O
LLJZOITS,O,X,O,X,O
LLJZOIST,O,X,O,X,O
LLJZOSTI,O,X,O,X,O
LLJZOSIT,O,X,O,X,O
LLJOTISZ,O,X,O,X,O
LLJOTIZS,O,X,O,X,O
LLJOTSIZ,O,X,O,X,O
LLJOTSZI,O,X,O,X,O
LLJOTZIS,O,X,O,X,O
LLJOTZSI,O,X,O,X,O
LLJOITSZ,O,X,O,X,O
LLJOITZS,O,X,O,X,O
LLJOISTZ,O,X,O,X,O
LLJOISZT,O,X,O,X,O
LLJOIZTS,O,X,O,X,O
LLJOIZST,O,X,O,X,O
LLJOSTIZ,O,X,O,X,O
LLJOSTZI,O,X,O,X,O
LLJOSITZ,O,X,O,X,O
LLJOSIZT,O,X,O,X,O
LLJOSZTI,O,X,O,X,O
LLJOSZIT,O,X,O,X,O
LLJOZTIS,O,X,O,X,O
LLJOZTSI,O,X,O,X,O
LLJOZITS,O,X,O,X,O
LLJOZIST,O,X,O,X,O
LLJOZSTI,O,X,O,X,O
LLJOZSIT,O,X,O,X,O
LLSTIJZO,O,X,O,O,X
LLSTIJOZ,O,X,O,O,X
LLSTIZJO,O,X,O,O,X
LLSTIZOJ,O,X,X,O,X
LLSTIOJZ,O,X,X,O,X
LLSTIOZJ,O,X,X,O,X
LLSTJIZO,O,X,O,O,X
LLSTJIOZ,O,X,O,O,X
LLSTJZIO,O,X,O,O,X
LLSTJZOI,O,X,O,O,X
LLSTJOIZ,O,X,O,O,X
LLSTJOZI,O,X,O,O,X
LLSTZIJO,O,X,O,O,X
LLSTZIOJ,O,X,X,O,X
LLSTZJIO,O,X,O,O,X
LLSTZJOI,O,X,O,O,X
LLSTZOIJ,O,X,X,O,X
LLSTZOJI,O,X,X,O,X
LLSTOIJZ,O,X,X,O,X
LLSTOIZJ,O,X,X,O,X
LLSTOJIZ,O,X,X,O,X
LLSTOJZI,O,X,X,O,X
LLSTOZIJ,O,X,X,O,X
LLSTOZJI,O,X,X,O,X
LLSITJZO,O,X,O,O,X
LLSITJOZ,O,X,O,O,X
LLSITZJO,O,X,O,O,X
LLSITZOJ,O,X,X,O,X
LLSITOJZ,O,X,X,O,X
LLSITOZJ,O,X,X,O,X
LLSIJTZO,O,X,O,O,X
LLSIJTOZ,O,X,O,O,X
LLSIJZTO,O,X,O,O,X
LLSIJZOT,O,X,O,O,O
LLSIJOTZ,O,X,O,O,O
LLSIJOZT,O,X,O,O,O
LLSIZTJO,O,X,O,O,X
LLSIZTOJ,O,X,X,O,X
LLSIZJTO,O,X,O,O,X
LLSIZJOT,O,X,O,O,O
LLSIZOTJ,O,X,X,O,O
LLSIZOJT,O,X,O,O,O
LLSIOTJZ,O,X,X,O,O
LLSIOTZJ,O,X,X,O,O
LLSIOJTZ,O,X,O,O,O
LLSIOJZT,O,X,O,O,O
LLSIOZTJ,O,X,X,O,O
LLSIOZJT,O,X,O,O,O
LLSJTIZO,O,X,O,O,X
LLSJTIOZ,O,X,O,O,X
LLSJTZIO,O,X,O,O,X
LLSJTZOI,O,X,O,O,X
LLSJTOIZ,O,X,O,O,X
LLSJTOZI,O,X,O,O,X
LLSJITZO,O,X,O,O,X
LLSJITOZ,O,X,O,O,X
LLSJIZTO,O,X,O,O,X
LLSJIZOT,O,X,O,O,O
LLSJIOTZ,O,X,O,O,O
LLSJIOZT,O,X,O,O,O
LLSJZTIO,O,X,O,O,X
LLSJZTOI,O,X,O,O,X
LLSJZITO,O,X,O,O,X
LLSJZIOT,O,X,O,O,O
LLSJZOTI,O,X,O,O,O
LLSJZOIT,O,X,O,O,O
LLSJOTIZ,O,X,O,O,O
LLSJOTZI,O,X,O,O,O
LLSJOITZ,O,X,O,O,O
LLSJOIZT,O,X,O,O,O
LLSJOZTI,O,X,O,O,O
LLSJOZIT,O,X,O,O,O
LLSZTIJO,O,X,O,O,X
LLSZTIOJ,O,X,X,O,X
LLSZTJIO,O,X,O,O,X
LLSZTJOI,O,X,O,O,X
LLSZTOIJ,O,X,X,O,X
LLSZTOJI,O,X,X,O,X
LLSZITJO,O,X,O,O,X
LLSZITOJ,O,X,X,O,X
LLSZIJTO,O,X,O,O,X
LLSZIJOT,O,X,O,O,O
LLSZIOTJ,O,X,X,O,O
LLSZIOJT,O,X,O,O,O
LLSZJTIO,O,X,O,O,X
LLSZJTOI,O,X,O,O,X
LLSZJITO,O,X,O,O,X
LLSZJIOT,O,X,O,O,O
LLSZJOTI,O,X,O,O,O
LLSZJOIT,O,X,O,O,O
LLSZOTIJ,O,X,X,O,O
LLSZOTJI,O,X,X,O,O
LLSZOITJ,O,X,X,O,O
LLSZOIJT,O,X,O,O,O
LLSZOJTI,O,X,O,O,O
LLSZOJIT,O,X,O,O,O
LLSOTIJZ,O,X,X,O,O
LLSOTIZJ,O,X,X,O,O
LLSOTJIZ,O,X,X,O,O
LLSOTJZI,O,X,X,O,O
LLSOTZIJ,O,X,X,O,O
LLSOTZJI,O,X,X,O,O
LLSOITJZ,O,X,X,O,O
LLSOITZJ,O,X,X,O,O
LLSOIJTZ,O,X,O,O,O
LLSOIJZT,O,X,O,O,O
LLSOIZTJ,O,X,X,O,O
LLSOIZJT,O,X,O,O,O
LLSOJTIZ,O,X,O,O,O
LLSOJTZI,O,X,O,O,O
LLSOJITZ,O,X,O,O,O
LLSOJIZT,O,X,O,O,O
LLSOJZTI,O,X,O,O,O
LLSOJZIT,O,X,O,O,O
LLSOZTIJ,O,X,X,O,O
LLSOZTJI,O,X,X,O,O
LLSOZITJ,O,X,X,O,O
LLSOZIJT,O,X,O,O,O
LLSOZJTI,O,X,O,O,O
LLSOZJIT,O,X,O,O,O
LLZTIJSO,O,X,O,X,X
LLZTIJOS,O,X,O,X,O
LLZTISJO,O,X,O,O,X
LLZTISOJ,O,X,X,O,X
LLZTIOJS,O,X,X,X,O
LLZTIOSJ,O,X,X,X,O
LLZTJISO,O,X,O,X,X
LLZTJIOS,O,X,O,X,O
LLZTJSIO,O,X,O,X,X
LLZTJSOI,O,X,O,X,X
LLZTJOIS,O,X,O,X,O
LLZTJOSI,O,X,O,X,O
LLZTSIJO,O,X,O,O,X
LLZTSIOJ,O,X,X,O,X
LLZTSJIO,O,X,O,O,X
LLZTSJOI,O,X,O,O,X
LLZTSOIJ,O,X,X,O,X
LLZTSOJI,O,X,X,O,X
LLZTOIJS,O,X,X,X,O
LLZTOISJ,O,X,X,X,O
LLZTOJIS,O,X,X,X,O
LLZTOJSI,O,X,X,X,O
LLZTOSIJ,O,X,X,X,O
LLZTOSJI,O,X,X,X,O
LLZITJSO,O,X,O,X,X
LLZITJOS,O,X,O,X,O
LLZITSJO,O,X,O,O,X
LLZITSOJ,O,X,X,O,X
LLZITOJS,O,X,X,X,O
LLZITOSJ,O,X,X,X,O
LLZIJTSO,O,X,O,X,X
LLZIJTOS,O,X,O,X,O
LLZIJSTO,O,X,O,O,X
LLZIJSOT,O,X,O,O,O
LLZIJOTS,O,X,O,X,O
LLZIJOST,O,X,O,X,O
LLZISTJO,O,X,O,O,X
LLZISTOJ,O,X,X,O,X
LLZISJTO,O,X,O,O,X
LLZISJOT,O,X,O,O,O
LLZISOTJ,O,X,X,O,O
LLZISOJT,O,X,O,O,O
LLZIOTJS,O,X,X,X,O
LLZIOTSJ,O,X,X,X,O
LLZIOJTS,O,X,O,X,O
LLZIOJST,O,X,O,X,O
LLZIOSTJ,O,X,X,O,O
LLZIOSJT,O,X,O,O,O
LLZJTISO,O,X,O,X,X
LLZJTIOS,O,X,O,X,O
LLZJTSIO,O,X,O,X,X
LLZJTSOI,O,X,O,X,X
LLZJTOIS,O,X,O,X,O
LLZJTOSI,O,X,O,X,O
LLZJITSO,O,X,O,X,X
LLZJITOS,O,X,O,X,O
LLZJISTO,O,X,O,O,X
LLZJISOT,O,X,O,O,O
LLZJIOTS,O,X,O,X,O
LLZJIOST,O,X,O,X,O
LLZJSTIO,O,X,O,O,X
LLZJSTOI,O,X,O,O,X
LLZJSITO,O,X,O,O,X
LLZJSIOT,O,X,O,O,O
LLZJSOTI,O,X,O,O,O
LLZJSOIT,O,X,O,O,O
LLZJOTIS,O,X,O,X,O
LLZJOTSI,O,X,O,X,O
LLZJOITS,O,X,O,X,O
LLZJOIST,O,X,O,X,O
LLZJOSTI,O,X,O,X,O
LLZJOSIT,O,X,O,X,O
LLZSTIJO,O,X,O,O,X
LLZSTIOJ,O,X,X,O,X
LLZSTJIO,O,X,O,O,X
LLZSTJOI,O,X,O,O,X
LLZSTOIJ,O,X,X,O,X
LLZSTOJI,O,X,X,O,X
LLZSITJO,O,X,O,O,X
LLZSITOJ,O,X,X,O,X
LLZSIJTO,O,X,O,O,X
LLZSIJOT,O,X,O,O,O
LLZSIOTJ,O,X,X,O,O
LLZSIOJT,O,X,O,O,O
LLZSJTIO,O,X,O,O,X
LLZSJTOI,O,X,O,O,X
LLZSJITO,O,X,O,O,X
LLZSJIOT,O,X,O,O,O
LLZSJOTI,O,X,O,O,O
LLZSJOIT,O,X,O,O,O
LLZSOTIJ,O,X,X,O,O
LLZSOTJI,O,X,X,O,O
LLZSOITJ,O,X,X,O,O
LLZSOIJT,O,X,O,O,O
LLZSOJTI,O,X,O,O,O
LLZSOJIT,O,X,O,O,O
LLZOTIJS,O,X,X,X,O
LLZOTISJ,O,X,X,X,O
LLZOTJIS,O,X,X,X,O
LLZOTJSI,O,X,X,X,O
LLZOTSIJ,O,X,X,X,O
LLZOTSJI,O,X,X,X,O
LLZOITJS,O,X,X,X,O
LLZOITSJ,O,X,X,X,O
LLZOIJTS,O,X,O,X,O
LLZOIJST,O,X,O,X,O
LLZOISTJ,O,X,X,O,O
LLZOISJT,O,X,O,O,O
LLZOJTIS,O,X,O,X,O
LLZOJTSI,O,X,O,X,O
LLZOJITS,O,X,O,X,O
LLZOJIST,O,X,O,X,O
LLZOJSTI,O,X,O,X,O
LLZOJSIT,O,X,O,X,O
LLZOSTIJ,O,X,X,O,O
LLZOSTJI,O,X,X,O,O
LLZOSITJ,O,X,X,O,O
LLZOSIJT,O,X,O,O,O
LLZOSJTI,O,X,O,O,O
LLZOSJIT,O,X,O,O,O
LLOTIJSZ,O,X,X,X,O
LLOTIJZS,O,X,X,X,O
LLOTISJZ,O,X,X,X,O
LLOTISZJ,O,X,X,X,O
LLOTIZJS,O,X,X,X,O
LLOTIZSJ,O,X,X,X,O
LLOTJISZ,O,X,X,X,O
LLOTJIZS,O,X,X,X,O
LLOTJSIZ,O,X,X,X,O
LLOTJSZI,O,X,X,X,O
LLOTJZIS,O,X,X,X,O
LLOTJZSI,O,X,X,X,O
LLOTSIJZ,O,X,X,X,O
LLOTSIZJ,O,X,X,X,O
LLOTSJIZ,O,X,X,X,O
LLOTSJZI,O,X,X,X,O
LLOTSZIJ,O,X,X,X,O
LLOTSZJI,O,X,X,X,O
LLOTZIJS,O,X,X,X,O
LLOTZISJ,O,X,X,X,O
LLOTZJIS,O,X,X,X,O
LLOTZJSI,O,X,X,X,O
LLOTZSIJ,O,X,X,X,O
LLOTZSJI,O,X,X,X,O
LLOITJSZ,O,X,X,X,O
LLOITJZS,O,X,X,X,O
LLOITSJZ,O,X,X,X,O
LLOITSZJ,O,X,X,X,O
LLOITZJS,O,X,X,X,O
LLOITZSJ,O,X,X,X,O
LLOIJTSZ,O,X,O,X,O
LLOIJTZS,O,X,O,X,O
LLOIJSTZ,O,X,O,X,O
LLOIJSZT,O,X,O,X,O
LLOIJZTS,O,X,O,X,O
LLOIJZST,O,X,O,X,O
LLOISTJZ,O,X,X,O,O
LLOISTZJ,O,X,X,O,O
LLOISJTZ,O,X,O,O,O
LLOISJZT,O,X,O,O,O
LLOISZTJ,O,X,X,O,O
LLOISZJT,O,X,O,O,O
LLOIZTJS,O,X,X,X,O
LLOIZTSJ,O,X,X,X,O
LLOIZJTS,O,X,O,X,O
LLOIZJST,O,X,O,X,O
LLOIZSTJ,O,X,X,O,O
LLOIZSJT,O,X,O,O,O
LLOJTISZ,O,X,O,X,O
LLOJTIZS,O,X,O,X,O
LLOJTSIZ,O,X,O,X,O
LLOJTSZI,O,X,O,X,O
LLOJTZIS,O,X,O,X,O
LLOJTZSI,O,X,O,X,O
LLOJITSZ,O,X,O,X,O
LLOJITZS,O,X,O,X,O
LLOJISTZ,O,X,O,X,O
LLOJISZT,O,X,O,X,O
LLOJIZTS,O,X,O,X,O
LLOJIZST,O,X,O,X,O
LLOJSTIZ,O,X,O,X,O
LLOJSTZI,O,X,O,X,O
LLOJSITZ,O,X,O,X,O
LLOJSIZT,O,X,O,X,O
LLOJSZTI,O,X,O,X,O
LLOJSZIT,O,X,O,X,O
LLOJZTIS,O,X,O,X,O
LLOJZTSI,O,X,O,X,O
LLOJZITS,O,X,O,X,O
LLOJZIST,O,X,O,X,O
LLOJZSTI,O,X,O,X,O
LLOJZSIT,O,X,O,X,O
LLOSTIJZ,O,X,X,O,O
LLOSTIZJ,O,X,X,O,O
LLOSTJIZ,O,X,X,O,O
LLOSTJZI,O,X,X,O,O
LLOSTZIJ,O,X,X,O,O
LLOSTZJI,O,X,X,O,O
LLOSITJZ,O,X,X,O,O
LLOSITZJ,O,X,X,O,O
LLOSIJTZ,O,X,O,O,O
LLOSIJZT,O,X,O,O,O
LLOSIZTJ,O,X,X,O,O
LLOSIZJT,O,X,O,O,O
LLOSJTIZ,O,X,O,O,O
LLOSJTZI,O,X,O,O,O
LLOSJITZ,O,X,O,O,O
LLOSJIZT,O,X,O,O,O
LLOSJZTI,O,X,O,O,O
LLOSJZIT,O,X,O,O,O
LLOSZTIJ,O,X,X,O,O
LLOSZTJI,O,X,X,O,O
LLOSZITJ,O,X,X,O,O
LLOSZIJT,O,X,O,O,O
LLOSZJTI,O,X,O,O,O
LLOSZJIT,O,X,O,O,O
LLOZTIJS,O,X,X,X,O
LLOZTISJ,O,X,X,X,O
LLOZTJIS,O,X,X,X,O
LLOZTJSI,O,X,X,X,O
LLOZTSIJ,O,X,X,X,O
LLOZTSJI,O,X,X,X,O
LLOZITJS,O,X,X,X,O
LLOZITSJ,O,X,X,X,O
