sequence,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFDqOBAAvhFRmBzfB3dB0bBOfBlhB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VB6+ytCp/AAAvhF0hB1lBTfB3iBRhBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBz+aFDp/AAAvhFXiB1lBTfBUhBRiBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ9aFDqOBAAvhFxlBfiBzbBsfBOfBliB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJNegCs/AAAvhFxkB/jBFiBTaBibBGiB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBa9KxCqCBAAvhF0fB/jBTdBlgBGcBifB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KWCqOBAAvhFxlB/jBzbBifBGdBlfB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBpvbgCsOBAAvhFxkBGjBfiBTaBibBliB,v115@RhG8AeH8AeC8JeTCYaAFLDmClcJSAVDEHBEooRBPoA?VBJtjxCqCBAAvhFRlB/jBUcBVgBOfBCiB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJtHgCsOBAAvhFxkB/jBGiBTaBibBFiB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KxCqCBAAvhFxlB/jBzbBlfBGdBifB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBK9KWC6OBAAvhF2kB/jBTdBShB0aBlgB,v115@RhG8AeH8AeC8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBPtjWC0/AAAvhFTfB/jB0cB6iB1gBmfB,v115@RhG8AeH8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBadNPCvCBAAvhF0fB/jBxgBGdBzgBifB,v115@RhG8AeH8AeC8Je2FYaAFLDmClcJSAVDEHBEooRBKoA?VBPNmFDM+AAAvhFTfB/jBVhBUdBSnBxfB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUdNPCvCBAAvhFVmB/jBxfBGdBTfBigB,v115@RhG8AeH8AeC8Je0AYaAFLDmClcJSAVDEHBEooRBaoA?VBUd9VCv/AAAvhF1kB/jBxhBiaBTiBGhB,v115@RhG8AeH8AeC8JeyEYaAFLDmClcJSAVDEHBEooRBMoA?VBzPFgC6OBAAvhF/jB+iBRhBTaB0gBlhB,v115@RhG8AeH8AeC8JeWHYaAFLDmClcJSAVDEHBEooRBKoA?VBTH8LC6OBAAvhF/jBTdBKfBRgBUgBFhB,v115@RhG8AeH8AeC8Je2EYaAFLDmClcJSAVDEHBEooRBKoA?VBTejxCMHBAAvhF/jBxgBUdBlaBSnBzgB
JSZILTO,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O
JSZILOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X
JSZIOTL,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O
JSZIOLT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSZLTIO,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JSZLTOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,X,X,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSZLIOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,O,X
JSZLOTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X
JSZOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSZOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZOITL,X,X,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JSZOILT,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JSZOLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JSOTILZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOTIZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSOTLIZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JSOTLZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOTZIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOTZLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOITLZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JSOITZL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JSOILTZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,O,X
JSOILZT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JSOIZTL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JSOIZLT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JSOLTIZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JSOLTZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOLITZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
JSOLIZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JSOLZTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JSOZTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JSOZILT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOZLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZTILSO,X,O,X,O,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,O
JZTILOS,X,O,X,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZTISLO,X,X,X,O,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,O
JZTISOL,X,X,X,O,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,O
JZTIOLS,X,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X
JZTIOSL,X,O,X,O,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,O
JZTLISO,X,O,X,O,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X
JZTLIOS,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X
JZTLSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTLOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTLOSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTSILO,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,O
JZTSIOL,X,X,X,X,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,O
JZTSLIO,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X
JZTSLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTSOIL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZTSOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOILS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOISL,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZTOLIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOLSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOSIL,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZTOSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZITLSO,X,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O
JZITLOS,X,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZITSLO,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O
JZITSOL,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O
JZITOLS,X,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZITOSL,X,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O
JZILTSO,X,O,X,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O
JZILTOS,X,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZILSTO,X,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O
JZILSOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X
JZILOTS,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZILOST,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X
JZISTLO,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O
JZISTOL,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O
JZISLTO,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O
JZISLOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X
JZISOTL,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O
JZISOLT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZIOTLS,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X
JZIOTSL,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O
JZIOLTS,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZIOLST,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZIOSTL,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O
JZIOSLT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLTISO,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTIOS,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSIO,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLITOS,X,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLISTO,X,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLISOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,O,X
JZLIOTS,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLIOST,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,O,X
JZLSTIO,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLSTOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,X,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLSIOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,O,X
JZLSOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X
JZLOTIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X
JZLOSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOSIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X
JZSTILO,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,O
JZSTIOL,X,X,X,X,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,O
JZSTLIO,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X
JZSTLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSTOIL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JZSTOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSITLO,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O
JZSITOL,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O
JZSILTO,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O
JZSILOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X
JZSIOTL,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O
JZSIOLT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZSLTIO,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZSLTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZSLIOT,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,O,X
JZSLOTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X
JZSOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSOITL,X,X,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JZSOILT,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZSOLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JZOTILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOTLIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTLSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOTSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOITLS,O,X,X,O,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JZOITSL,O,X,X,O,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JZOILTS,O,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZOILST,O,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZOISTL,O,X,X,O,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JZOISLT,O,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JZOLSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JZOSTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOSTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOSITL,O,X,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JZOSILT,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZOSLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JOTILSZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTILZS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTISLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTISZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JOTIZLS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTIZSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JOTLISZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JOTLIZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JOTLSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSILZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOTSIZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JOTSLIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JOTSLZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSZIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTSZLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZILS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZISL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZLIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZLSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTZSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOITLSZ,O,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOITLZS,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JOITSLZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOITSZL,O,O,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JOITZLS,O,O,O,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X
JOITZSL,O,O,O,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O
JOILTSZ,O,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,O,X
JOILTZS,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JOILSTZ,O,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,O,X
JOILSZT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JOILZTS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOILZST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JOISTLZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOISTZL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JOISLTZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,O,X
JOISLZT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JOISZTL,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O
JOISZLT,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X
JOIZTSL,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O
JOIZLTS,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOIZSTL,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O
JOIZSLT,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOLTISZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JOLTIZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JOLTSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLTZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLITSZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
JOLITZS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOLISTZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
JOLISZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLIZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLSTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JOLSTZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLSITZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
JOLSIZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLSZTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLZTIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOLZSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOSTILZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOSTIZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JOSTLIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JOSTLZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSTZIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSTZLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSITLZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JOSITZL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JOSILTZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,O,X
JOSILZT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
JOSIZTL,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JOSIZLT,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOSLTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
JOSLTZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSLITZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
JOSLIZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOSLZTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
JOSZTIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOSZITL,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
JOSZILT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JOSZLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JOZTILS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTISL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTLIS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTLSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOZTSIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
