sequence,v115@vhFm/IXjBTkB9tByuB0sB,v115@vhFi/IXjBzkB9tB2uB0sB,v115@vhGm/I5lBXjBTkB9tByuB0sB,v115@vhGi/I5lBXjBzkB9tB2uB0sB,v115@vhGZEJCgBXjBTlB9tBWvB0sB,v115@vhGx/IXjBOpB6qB9tBzpB0sB,v115@vhGx/IXjBKpBzkB+qB9tB0sB,v115@vhGOEJ6lBXjBzkB9tB0sBxuB,v115@vhGZEJGgBXjBzkB9tBSvB0sB,v115@vhGKEJzfB+lBXjB9tB0sBxuB,v115@vhG9IJmgBTfBPrBypBUtBxuB
TJIZLSO,X,O,O,O,O,O,O,O,O,O,X
TJIZLOS,X,O,O,O,O,O,O,O,O,O,X
TJIZSLO,X,O,O,O,O,O,O,O,O,O,X
TJIZSOL,X,O,X,O,O,O,X,O,X,O,X
TJIZOLS,X,O,X,O,O,O,X,O,X,O,X
TJIZOSL,X,O,X,O,O,O,X,O,X,O,X
TJIOLSZ,X,O,X,O,O,O,X,O,X,O,X
TJIOLZS,X,O,X,O,O,O,X,O,X,O,X
TJIOSLZ,X,O,X,O,O,O,X,O,X,O,X
TJIOSZL,X,O,X,O,O,O,X,O,X,O,X
TJIOZLS,X,O,X,O,O,O,X,O,X,O,X
TJIOZSL,X,O,X,O,O,O,X,O,X,O,X
TJLISZO,X,O,O,O,O,O,O,X,O,X,X
TJLISOZ,X,O,O,O,O,O,O,X,O,X,X
TJLIZSO,X,O,O,O,O,O,O,X,O,X,X
TJLIZOS,X,O,O,O,O,O,O,X,O,X,X
TJLIOSZ,X,O,O,O,O,O,O,X,O,X,X
TJLIOZS,X,O,O,O,O,O,O,X,O,X,X
TJLSIZO,X,O,O,O,O,O,O,X,O,X,X
TJLSIOZ,X,O,O,O,O,O,O,X,O,X,X
TJLSZIO,X,O,O,O,O,O,O,X,O,X,X
TJLSZOI,O,O,O,O,O,O,O,X,O,X,X
TJLSOIZ,O,O,O,O,O,O,O,X,O,X,X
TJLSOZI,O,O,O,O,O,O,O,X,O,X,X
TJLZISO,X,O,O,O,O,O,O,X,O,X,X
TJLZIOS,X,O,O,O,O,O,O,X,O,X,X
TJLZSIO,X,O,O,O,O,O,O,X,O,X,X
TJLZSOI,O,O,O,O,O,O,O,X,O,X,X
TJLZOIS,O,O,O,O,O,O,O,X,O,X,X
TJLZOSI,O,O,O,O,O,O,O,X,O,X,X
TJLOISZ,O,O,O,O,O,O,O,X,O,X,X
TJLOIZS,O,O,O,O,O,O,O,X,O,X,X
TJLOSIZ,O,O,O,O,O,O,O,X,O,X,X
TJLOSZI,O,O,O,O,O,O,O,X,O,X,X
TJLOZIS,O,O,O,O,O,O,O,X,O,X,X
TJLOZSI,O,O,O,O,O,O,O,X,O,X,X
TJSILZO,X,O,O,O,O,O,O,O,O,O,X
TJSILOZ,X,O,O,O,O,O,O,O,O,O,X
TJSIZLO,X,O,O,O,O,O,O,O,O,O,X
TJSIZOL,X,O,X,O,O,O,X,O,X,O,X
TJSIOLZ,X,O,X,O,O,O,X,O,X,O,X
TJSIOZL,X,O,X,O,O,O,X,O,X,O,X
TJSLIZO,X,O,O,O,O,O,O,X,O,X,X
TJSLIOZ,X,O,O,O,O,O,O,X,O,X,X
TJSLZIO,X,O,O,O,O,O,O,X,O,X,X
TJSLZOI,O,O,O,O,O,O,O,X,O,X,X
TJSLOIZ,O,O,O,O,O,O,O,X,O,X,X
TJSLOZI,O,O,O,O,O,O,O,X,O,X,X
TJSZILO,X,O,O,O,O,O,O,O,O,O,X
TJSZIOL,X,O,X,O,O,O,X,O,X,O,X
TJSZLIO,X,O,O,O,O,O,O,X,O,X,X
TJSZLOI,O,O,O,O,O,O,O,X,O,X,X
TJSZOIL,X,O,X,O,O,O,X,X,X,X,X
TJSZOLI,X,O,X,O,O,O,O,X,X,X,X
TJSOILZ,X,O,X,O,O,O,X,X,X,X,X
TJSOIZL,X,O,X,O,O,O,X,X,X,X,X
TJSOLIZ,X,O,X,O,O,O,O,X,X,X,X
TJSOLZI,X,O,X,O,O,O,O,X,X,X,X
TJSOZIL,X,O,X,O,O,O,X,X,X,X,X
TJSOZLI,X,O,X,O,O,O,O,X,X,X,X
TJZILSO,X,O,O,O,O,O,O,O,O,O,X
TJZILOS,X,O,O,O,O,O,O,O,O,O,X
TJZISLO,X,O,O,O,O,O,O,O,O,O,X
TJZISOL,X,O,X,O,O,O,X,O,X,O,X
TJZIOLS,X,O,X,O,O,O,X,O,X,O,X
TJZIOSL,X,O,X,O,O,O,X,O,X,O,X
TJZLISO,X,O,O,O,O,O,O,X,O,X,X
TJZLIOS,X,O,O,O,O,O,O,X,O,X,X
TJZLSIO,X,O,O,O,O,O,O,X,O,X,X
TJZLSOI,O,O,O,O,O,O,O,X,O,X,X
TJZLOIS,O,O,O,O,O,O,O,X,O,X,X
TJZLOSI,O,O,O,O,O,O,O,X,O,X,X
TJZSILO,X,O,O,O,O,O,O,O,O,O,X
TJZSIOL,X,O,X,O,O,O,X,O,X,O,X
TJZSLIO,X,O,O,O,O,O,O,X,O,X,X
TJZSLOI,O,O,O,O,O,O,O,X,O,X,X
TJZSOIL,X,O,X,O,O,O,X,X,X,X,X
TJZSOLI,X,O,X,O,O,O,O,X,X,X,X
TJZOILS,X,O,X,O,O,O,X,X,X,X,X
TJZOISL,X,O,X,O,O,O,X,X,X,X,X
TJZOLIS,X,O,X,O,O,O,O,X,X,X,X
TJZOLSI,X,O,X,O,O,O,O,X,X,X,X
TJZOSIL,X,O,X,O,O,O,X,X,X,X,X
TJZOSLI,X,O,X,O,O,O,O,X,X,X,X
TJOILSZ,X,O,X,O,O,O,X,X,X,X,X
TJOILZS,X,O,X,O,O,O,X,X,X,X,X
TJOISLZ,X,O,X,O,O,O,X,X,X,X,X
TJOISZL,X,O,X,O,O,O,X,X,X,X,X
TJOIZLS,X,O,X,O,O,O,X,X,X,X,X
TJOIZSL,X,O,X,O,O,O,X,X,X,X,X
TJOLISZ,X,O,X,O,O,O,O,X,X,X,X
TJOLIZS,X,O,X,O,O,O,O,X,X,X,X
TJOLSIZ,X,O,X,O,O,O,O,X,X,X,X
TJOLSZI,X,O,X,O,O,O,O,X,X,X,X
TJOLZIS,X,O,X,O,O,O,O,X,X,X,X
TJOLZSI,X,O,X,O,O,O,O,X,X,X,X
TJOSILZ,X,O,X,O,O,O,X,X,X,X,X
TJOSIZL,X,O,X,O,O,O,X,X,X,X,X
TJOSLIZ,X,O,X,O,O,O,O,X,X,X,X
TJOSLZI,X,O,X,O,O,O,O,X,X,X,X
TJOSZIL,X,O,X,O,O,O,X,X,X,X,X
TJOSZLI,X,O,X,O,O,O,O,X,X,X,X
TJOZILS,X,O,X,O,O,O,X,X,X,X,X
TJOZISL,X,O,X,O,O,O,X,X,X,X,X
TJOZLIS,X,O,X,O,O,O,O,X,X,X,X
TJOZLSI,X,O,X,O,O,O,O,X,X,X,X
TJOZSIL,X,O,X,O,O,O,X,X,X,X,X
TJOZSLI,X,O,X,O,O,O,O,X,X,X,X
TSILJZO,X,X,O,O,O,X,O,O,O,O,O
TSILJOZ,X,X,O,O,O,X,O,O,O,O,O
TSILZJO,X,X,O,O,O,X,O,O,O,O,O
TSILZOJ,O,X,O,X,X,O,O,O,O,O,O
TSILOJZ,O,X,O,X,X,O,O,O,O,O,O
TSILOZJ,O,X,O,X,X,O,O,O,O,O,O
TSIJLZO,X,O,O,O,O,O,O,O,O,O,O
TSIJLOZ,X,O,O,O,O,O,O,O,O,O,O
TSIJZLO,X,O,O,O,O,O,O,O,O,O,O
TSIJZOL,X,O,X,O,O,O,X,O,X,O,O
TSIJOLZ,X,O,X,O,O,O,X,O,X,O,X
TSIJOZL,X,O,X,O,O,O,X,O,X,O,X
TSIZLJO,X,X,O,O,O,X,O,O,O,O,O
TSIZLOJ,O,X,O,X,X,O,O,O,O,O,O
TSIZJLO,X,O,O,O,O,O,O,O,O,O,O
TSIZJOL,X,O,X,O,O,O,X,O,X,O,O
TSIZOLJ,X,X,O,X,X,O,X,O,O,O,O
TSIZOJL,X,X,X,O,O,O,X,O,X,O,O
TSIOLJZ,X,X,O,X,X,O,X,O,O,O,X
TSIOLZJ,X,X,O,X,X,O,X,O,O,O,X
TSIOJLZ,X,X,X,O,O,O,X,O,X,O,X
TSIOJZL,X,X,X,O,O,O,X,O,X,O,X
TSIOZLJ,X,X,O,X,X,O,X,O,O,O,X
TSIOZJL,X,X,X,O,O,O,X,O,X,O,X
TSLIJZO,X,X,O,O,O,X,O,O,O,O,X
TSLIJOZ,X,X,O,O,O,X,O,O,O,O,X
TSLIZJO,X,X,O,O,O,X,O,O,O,O,X
TSLIZOJ,O,X,O,X,X,O,O,O,O,O,X
TSLIOJZ,O,X,O,X,X,O,O,O,O,O,X
TSLIOZJ,O,X,O,X,X,O,O,O,O,O,X
TSLJIZO,X,O,O,O,O,O,O,X,O,X,X
TSLJIOZ,X,O,O,O,O,O,O,X,O,X,X
TSLJZIO,X,O,O,O,O,O,O,X,O,X,X
TSLJZOI,O,O,O,O,O,O,O,X,O,X,X
TSLJOIZ,O,O,O,O,O,O,O,X,O,X,X
TSLJOZI,O,O,O,O,O,O,O,X,O,X,X
TSLZIJO,X,X,O,O,O,X,O,O,O,O,X
TSLZIOJ,O,X,O,X,X,O,O,O,O,O,X
TSLZJIO,X,O,O,O,O,O,O,X,O,X,X
TSLZJOI,O,O,O,O,O,O,O,X,O,X,X
TSLZOIJ,O,X,O,X,X,O,O,X,O,X,X
TSLZOJI,O,X,O,X,X,O,O,X,O,X,X
TSLOIJZ,O,X,O,X,X,O,O,X,O,X,X
TSLOIZJ,O,X,O,X,X,O,O,X,O,X,X
TSLOJIZ,O,X,O,X,X,O,O,X,O,X,X
TSLOJZI,O,X,O,X,X,O,O,X,O,X,X
TSLOZIJ,O,X,O,X,X,O,O,X,O,X,X
TSLOZJI,O,X,O,X,X,O,O,X,O,X,X
TSJILZO,X,O,O,O,O,O,O,O,O,O,O
TSJILOZ,X,O,O,O,O,O,O,O,O,O,O
TSJIZLO,X,O,O,O,O,O,O,O,O,O,O
TSJIZOL,X,O,X,O,O,O,X,O,X,O,O
TSJIOLZ,X,O,X,O,O,O,X,O,X,O,X
