sequence,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez7IvhERdBSjBUiBG?mBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeuAJvhERdBSjB/mBU?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez7IvhEfiBxdBCjBG?mBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeG8IvhExdBzgB8mBC?jBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeF9IvhETeBXhBSnBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBxqBu?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeWBJvhE6iBTeB8mBX?hBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBVmBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeWBJvhExdB8mBCjBX?hBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBUhBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhE+iBTeBUhB9?qB3rB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeX9IvhETeBSnBxqBu?qBFrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je8BJvhEGeBzgB3iBx?qBCrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeuAJvhESiBTeB/mBU?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhESjBzgBumB3?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR9IvhESjBVnB3lBT?mBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhESjBxqBuqBU?rBlsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhESjBUhBliBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeC8IvhETeBGiBxqB8?qBXsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeU8IvhETeBXiBxqBt?qBGsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhE+iBTeB3hB9?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je8BJvhESjBxqBuqBF?rB3sB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR9IvhESjB/mBUiB1?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je+CJvhETeBRhBUhB9?qB3rB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je+CJvhETeBRhB3hB9?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeU9IvhETeBFhBSnBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez8IvhESjBUhB3iBx?qBuqB
JTOZLIS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JTOZLSI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JTOZSIL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JTOZSLI,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JITLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLSOZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JITLZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JITLOSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JITLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JITSLZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITSLOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JITSZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JITSZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
JITSOLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JITSOZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X
JITZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JITZLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JITZSLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JITZSOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JITZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
JITZOSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
JITOLSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JITOLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JITOSLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
JITOSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X
JITOZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X
JITOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
JILTSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILTSOZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILTZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JILTZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JILTOSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JILTOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JILSTZO,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILSTOZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILSZTO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JILSZOT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JILSOTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILSOZT,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILZTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JILZTOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JILZSTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JILZSOT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JILZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JILZOST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JILOTSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JILOTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JILOSTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILOSZT,O,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JILOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JILOZST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JISTLZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISTLOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISTZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JISTOLZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISTOZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JISLTZO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISLTOZ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISLZTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JISLZOT,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JISLOTZ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISLOZT,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISZTLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZTOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JISZLOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JISZOTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZOLT,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JISOTLZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JISOTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JISOLTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISOLZT,X,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JISOZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOZLT,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIZTLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZTLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JIZTSLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIZTOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JIZLSTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JIZLSOT,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JIZLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JIZLOST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JIZSTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSTOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSLTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JIZSLOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JIZSOTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSOLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIZOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JIZOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JIZOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JIZOLST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JIZOSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOSLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIOTLSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JIOTLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JIOTSLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
JIOTSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X
JIOTZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
JIOTZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
JIOLTSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JIOLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JIOLSTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOLSZT,O,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOLZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JIOLZST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JIOSTLZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JIOSTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
JIOSLTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOSLZT,X,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOSZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZLT,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIOZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JIOZTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JIOZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JIOZLST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JIOZSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSLT,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLTISZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTISOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIZSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIZOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTIOSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLTIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLTSIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JLTSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JLTSOIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLTSOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLTZISO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZIOS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSIO,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSOI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOIS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOSI,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTOISZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLTOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JLTOSIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLTOSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLTOZIS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLTOZSI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLITSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITSOZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITZSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLITZOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLITOSZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLITOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLISTZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLISTOZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLISZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JLISZOT,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JLISOTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLISOZT,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLIZTSO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLIZTOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JLIZSTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JLIZSOT,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JLIZOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JLIZOST,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
JLIOTSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLIOTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLIOSTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLIOSZT,O,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLIOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JLIOZST,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JLSTIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLSTOZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JLSITZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLSITOZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLSIZTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JLSIZOT,X,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JLSIOTZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLSIOZT,O,O,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLSZTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOIT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOITZ,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOIZT,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTISO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTIOS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSIO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOIS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JLZITSO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
