sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBamBFiBf?sBGsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhETeB/mBFiBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB
ITJZOSL,O,O,X,O,O,X,X,O,X,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJOLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJOZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITJOZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJOL,O,O,X,O,X,X,X,X,X,X,X,X,X
ITSZOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ITZLJSO,X,O,X,O,X,X,X,O,X,X,X,X,X
ITZLJOS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITZLSJO,X,O,X,O,X,O,X,O,X,X,X,X,X
ITZLSOJ,X,O,X,O,X,O,X,O,X,X,X,X,X
ITZLOJS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITZLOSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
ITZJLSO,X,O,X,O,X,X,X,O,X,X,X,X,X
ITZJLOS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITZJSLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZJSOL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITZJOLS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITZJOSL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITZSLJO,O,X,X,O,X,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,X,O,O,O,X,X,X,X,X,X,X
ITZSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITZSOLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ITZSOJL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITZOLJS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITZOLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
ITZOJLS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITZOJSL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITZOSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOLJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITOLSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ITOLZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITOLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
ITOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOJZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITOJZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ITOZLJS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITOZLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
ITOZJLS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITOZJSL,O,O,X,O,X,X,X,O,X,X,X,X,X
ITOZSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ITOZSJL,O,O,X,O,X,X,X,O,X,X,X,X,X
ILTJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTJZSO,X,O,X,O,X,O,X,X,X,X,X,X,O
ILTJZOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTJOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTJOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILTSOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILTZJSO,X,O,X,O,X,X,X,X,X,X,X,X,O
ILTZJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTZSJO,X,O,X,O,X,O,X,X,X,X,X,X,X
ILTZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,O
ILTZOJS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
ILTOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILTOJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTOSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILTOZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILTOZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
ILJTSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILJTZSO,X,O,X,O,X,O,X,X,X,X,X,X,O
ILJTZOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILJTOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILJTOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILJSTZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJSZTO,X,X,X,X,X,O,O,X,X,X,X,X,O
ILJSZOT,O,X,X,X,X,O,O,X,X,X,X,X,O
ILJSOTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILJSOZT,O,X,O,X,X,X,O,X,X,X,X,X,O
ILJZTSO,X,X,X,X,X,O,X,X,X,X,X,X,O
ILJZTOS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILJZSTO,X,X,X,X,O,O,O,X,X,X,X,X,O
ILJZSOT,X,O,X,X,O,O,O,X,X,O,X,X,O
ILJZOTS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILJZOST,X,O,O,X,O,O,O,X,X,O,X,X,O
ILJOTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILJOTZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILJOSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILJOSZT,O,X,O,X,X,X,O,X,X,X,X,X,O
ILJOZTS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILJOZST,X,O,O,X,O,O,O,X,X,O,X,X,O
ILSTJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSTZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILSTOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ILSJZTO,X,X,X,X,X,O,O,X,X,X,X,X,O
ILSJZOT,O,X,X,X,X,O,O,X,X,X,X,X,O
ILSJOTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILSJOZT,O,X,O,X,X,X,O,X,X,X,X,X,O
ILSZTJO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,X,O,O,X,O,X,X,X,O
ILSZJTO,X,X,X,X,X,O,O,X,X,X,X,X,O
ILSZJOT,O,O,X,X,X,O,O,X,X,X,X,X,O
ILSZOTJ,X,X,X,X,X,O,O,X,O,X,X,X,O
ILSZOJT,O,O,X,X,X,O,O,X,X,X,X,X,O
ILSOTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILSOTZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILSOJZT,O,X,O,X,X,X,O,X,X,X,X,X,O
ILSOZTJ,X,X,X,X,X,X,O,X,O,X,X,X,O
ILSOZJT,O,O,X,X,X,X,O,X,X,X,X,X,O
ILZTJSO,X,O,X,X,X,X,X,X,X,X,X,X,O
ILZTJOS,X,O,O,X,X,X,X,X,X,O,X,X,O
ILZTSJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,O,X,X,X,X,X,X,O
ILZTOJS,X,O,O,X,X,X,X,X,X,O,X,X,O
ILZTOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
ILZJTSO,X,X,X,X,X,O,X,X,X,X,X,X,O
ILZJTOS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILZJSTO,X,X,X,X,X,O,O,X,X,X,X,X,O
ILZJSOT,X,O,X,X,X,O,O,X,X,O,X,X,O
ILZJOTS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILZJOST,X,O,O,X,X,O,O,X,X,O,X,X,O
ILZSTJO,X,X,X,X,X,O,O,X,X,X,X,X,X
ILZSTOJ,X,X,X,X,O,O,O,X,O,X,X,X,O
ILZSJTO,X,X,X,X,X,O,O,X,X,X,X,X,O
ILZSJOT,X,O,X,X,O,O,O,X,X,O,X,X,O
ILZSOTJ,X,X,X,X,O,O,O,X,O,X,X,X,O
ILZSOJT,X,O,X,X,O,O,O,X,X,O,X,X,O
ILZOTJS,X,O,O,X,X,X,X,X,X,O,X,X,O
ILZOTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
ILZOJTS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILZOJST,X,O,O,X,X,X,O,X,X,O,X,X,O
ILZOSTJ,X,X,X,X,O,O,O,X,O,X,X,X,O
ILZOSJT,X,O,X,X,O,O,O,X,X,O,X,X,O
ILOTJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOTJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILOTSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ILOTZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILOTZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
ILOJTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOJTZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ILOJSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOJSZT,O,X,O,X,X,X,O,X,X,X,X,X,O
ILOJZTS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILOJZST,X,O,O,X,O,O,O,X,X,O,X,X,O
ILOSTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOSTZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOSJZT,O,X,O,X,X,X,O,X,X,X,X,X,O
ILOSZTJ,X,X,X,X,X,X,O,X,O,X,X,X,O
ILOSZJT,O,O,X,X,X,X,O,X,X,X,X,X,O
ILOZTJS,X,O,O,X,X,X,X,X,X,O,X,X,O
ILOZTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
ILOZJTS,X,O,X,X,X,X,X,X,X,O,X,X,O
ILOZJST,X,O,O,X,X,X,O,X,X,O,X,X,O
ILOZSTJ,X,X,X,X,O,O,O,X,O,X,X,X,O
ILOZSJT,X,O,X,X,O,O,O,X,X,O,X,X,O
IJTLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
IJTLZOS,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTSLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTSZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,O,X,O,X,O,X,X,X,X,X
IJTZLOS,X,O,X,O,X,X,X,O,X,O,X,X,X
IJTZSLO,O,X,X,O,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,O,O,X,X,O,X,X,X,X,X
IJTZOLS,X,O,X,O,X,X,X,O,X,O,X,X,X
IJTZOSL,O,O,X,O,O,X,X,O,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IJTOZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
IJTOZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
IJLTSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IJLTZSO,X,O,X,O,X,O,X,X,X,X,X,X,O
IJLTZOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJLTOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IJLTOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJLSTZO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IJLSZTO,X,X,X,X,X,O,O,X,X,X,X,X,O
IJLSZOT,O,X,X,X,X,O,O,X,X,X,X,X,O
IJLSOTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IJLSOZT,O,X,O,X,X,X,O,X,X,X,X,X,O
IJLZTSO,X,X,X,X,X,O,X,X,X,X,X,X,O
IJLZTOS,X,O,X,X,X,X,X,X,X,O,X,X,O
IJLZSTO,X,X,X,X,O,O,O,X,X,X,X,X,O
IJLZSOT,X,O,X,X,O,O,O,X,X,O,X,X,O
IJLZOTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IJLZOST,X,O,O,X,O,O,O,X,X,O,X,X,O
IJLOTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IJLOTZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJLOSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IJLOSZT,O,X,O,X,X,X,O,X,X,X,X,X,O
IJLOZTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IJLOZST,X,O,O,X,O,O,O,X,X,O,X,X,O
IJSTLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
IJSTZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSTOZL,O,X,X,O,X,X,X,X,X,X,X,O,X
IJSLTZO,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSLZOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,X,X,O,O,X,X,X,X,X,X,X
IJSZTOL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSZLTO,X,X,X,X,O,O,X,X,X,X,X,X,X
IJSZLOT,O,X,X,X,O,O,X,X,X,O,X,X,X
IJSZOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,O,O,X,X,X,O,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,O,X,X,X,X,X,X,X,O,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X,X,O,X,X,X
IJZTLSO,X,X,X,O,X,O,X,X,X,X,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X,X,O,X,X,X
IJZTSLO,O,X,X,O,O,O,X,X,X,X,X,X,X
IJZTSOL,O,X,X,O,O,X,X,X,X,X,X,X,X
IJZTOLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IJZTOSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZLSTO,X,X,X,X,O,O,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,O,O,X,X,X,O,X,X,X
IJZLOTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IJZLOST,X,O,X,X,O,O,X,X,X,O,X,X,X
IJZSTLO,X,X,X,X,O,O,X,X,X,X,X,X,X
IJZSTOL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZSLTO,X,X,X,X,O,O,X,X,X,X,X,X,X
IJZSLOT,O,X,X,X,O,O,X,X,X,O,X,X,X
IJZSOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZSOLT,O,O,X,X,O,O,X,X,X,O,X,X,X
IJZOTLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IJZOTSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IJZOLST,X,O,X,X,O,O,X,X,X,O,X,X,X
IJZOSTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOSLT,O,O,X,X,O,O,X,X,X,O,X,X,X
IJOTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
IJOTZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
IJOLTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IJOLSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IJOLSZT,O,X,O,X,X,X,O,X,X,X,X,X,O
IJOLZTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IJOLZST,X,O,O,X,O,O,O,X,X,O,X,X,O
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,O,X,X,X,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X,X,O,X,X,X
IJOZTLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IJOZTSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IJOZLST,X,O,X,X,O,O,X,X,X,O,X,X,X
IJOZSTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IJOZSLT,O,O,X,X,O,O,X,X,X,O,X,X,X
ISTLJZO,O,X,X,X,X,X,X,X,X,X,O,X,X
ISTLJOZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ISTLZJO,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ISTLOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTJLZO,O,X,X,X,X,X,X,X,X,X,O,X,X
ISTJLOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ISTJZLO,O,X,X,O,X,X,X,X,X,X,O,X,X
ISTJZOL,O,X,X,O,X,X,X,X,X,X,O,X,X
ISTJOLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ISTJOZL,O,X,X,O,X,X,X,X,X,X,O,O,X
ISTZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZJLO,O,X,X,O,X,X,X,X,X,X,O,X,X
ISTZJOL,O,O,X,O,X,X,X,X,X,X,O,X,X
ISTZOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X,X,X,O,X,X
ISTOLJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ISTOLZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTOJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ISTOJZL,O,X,X,O,X,X,X,X,X,X,O,O,X
ISTOZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X,X,O,X,X
ISLTJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISLJZTO,X,X,X,X,X,O,X,X,X,X,X,X,O
ISLJZOT,O,X,X,X,X,O,X,X,X,X,X,X,O
ISLJOTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,X,X,X,X,X,O
ISLZTJO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,O,X,X,O,X,X,X,O
ISLZJTO,X,X,X,X,X,O,X,X,X,X,X,X,O
ISLZJOT,O,O,X,X,X,O,X,X,X,X,X,X,O
ISLZOTJ,X,X,X,X,X,O,X,X,O,X,X,X,O
ISLZOJT,O,O,X,X,X,O,X,X,X,X,X,X,O
ISLOTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X,X,X,X,X,X,O
ISLOZTJ,X,X,X,X,X,X,X,X,O,X,X,X,O
ISLOZJT,O,O,X,X,X,X,X,X,X,X,X,X,O
ISJTLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X,X,X,X,X,O,X
ISJLTZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,X,X,O,O,X,X,X,X,X,X,X
ISJZTOL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJZLTO,X,X,X,X,O,O,X,X,X,X,X,X,X
ISJZLOT,O,X,X,X,O,O,X,X,X,O,X,X,X
ISJZOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJZOLT,O,X,X,X,O,O,X,X,X,O,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,O,X,X,X,X,X,X,X,O,X
ISJOLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
