sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TZLOSIJ,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,X,O,X,X,O
TZJILOS,X,X,X,X,X,O
TZJISLO,X,X,O,X,X,O
TZJISOL,X,X,O,X,X,O
TZJIOLS,X,X,X,X,X,O
TZJIOSL,X,X,O,X,X,O
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,X,X,X,X,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,X,X,O,X,X,O
TZJSIOL,X,X,O,X,X,O
TZJSLIO,X,X,O,X,X,O
TZJSLOI,X,X,O,X,X,O
TZJSOIL,X,X,X,X,X,O
TZJSOLI,X,X,X,X,X,O
TZJOILS,X,X,X,X,X,O
TZJOISL,X,X,X,X,X,O
TZJOLIS,X,X,X,X,X,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,O
TZJOSLI,X,X,X,X,X,O
TZSILJO,X,X,O,X,X,O
TZSILOJ,X,X,O,X,X,O
TZSIJLO,X,X,O,X,X,O
TZSIJOL,X,X,O,X,X,O
TZSIOLJ,X,X,X,X,X,O
TZSIOJL,X,X,X,X,X,O
TZSLIJO,X,X,O,X,X,O
TZSLIOJ,X,X,O,X,X,O
TZSLJIO,X,X,O,X,X,O
