sequence,v115@FhB8IeA8AeA8BeB8CeA8AeI8Je2MJvhEflB0iBThB6?lBJkB
IZJLSTO,O
IZJLSOT,O
IZJLOTS,X
IZJLOST,O
IZJSTLO,O
IZJSTOL,O
IZJSLTO,O
IZJSLOT,O
IZJSOTL,O
IZJSOLT,O
IZJOTLS,X
IZJOTSL,O
IZJOLTS,X
IZJOLST,O
IZJOSTL,O
IZJOSLT,O
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,X
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,X
IZSLTOJ,X
IZSLJTO,O
IZSLJOT,O
IZSLOTJ,X
IZSLOJT,O
IZSJTLO,O
IZSJTOL,O
IZSJLTO,O
IZSJLOT,O
IZSJOTL,O
IZSJOLT,O
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,X
IZSOLJT,O
IZSOJTL,O
IZSOJLT,O
IZOTLJS,X
IZOTLSJ,X
IZOTJLS,X
IZOTJSL,X
IZOTSLJ,X
IZOTSJL,X
IZOLTJS,X
IZOLTSJ,X
IZOLJTS,X
IZOLJST,X
IZOLSTJ,X
IZOLSJT,X
IZOJTLS,X
IZOJTSL,O
IZOJLTS,X
IZOJLST,O
IZOJSTL,O
IZOJSLT,O
IZOSTLJ,X
IZOSTJL,X
IZOSLTJ,X
IZOSLJT,O
IZOSJTL,O
IZOSJLT,O
IOTLJSZ,X
IOTLJZS,X
IOTLSJZ,X
IOTLSZJ,X
IOTLZJS,X
IOTLZSJ,X
IOTJLSZ,X
IOTJLZS,X
IOTJSLZ,O
IOTJSZL,O
IOTJZLS,X
IOTJZSL,O
IOTSLJZ,O
IOTSLZJ,X
IOTSJLZ,O
IOTSJZL,O
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,X
IOTZLSJ,X
IOTZJLS,X
IOTZJSL,X
IOTZSLJ,X
IOTZSJL,X
IOLTJSZ,X
IOLTJZS,X
IOLTSJZ,X
IOLTSZJ,X
IOLTZJS,X
